HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",3RSDURM96ANYC0DSAR8H0S1WMSMEYR,A1I7ACFIU8U11J,Approved,"Wed Apr 20 07:30:33 PDT 2016","Wed Apr 20 07:33:25 PDT 2016",5[bigben/img0734.jpg],5[bigben/img0713.jpg],4[bigben/img0505.jpg],3[bigben/img1014.jpg],3[bigben/img0123.jpg],5[bigben/img0981.jpg],3[bigben/img0539.jpg],2[bigben/img0243.jpg],5[bigben/img0050.jpg],5[bigben/img0041.jpg],4[bigben/img1228.jpg],5[bigben/img0716.jpg],5[bigben/img1076.jpg],3[bigben/img0717.jpg],4[bigben/img1254.jpg],3[bigben/img0871.jpg],1[bigben/img1092.jpg],5[bigben/img0911.jpg],2[bigben/img0838.jpg],4[bigben/img1078.jpg],1[bigben/img0294.jpg],2[bigben/img0490.jpg],1[bigben/img0137.jpg],5[bigben/img0035.jpg],3[bigben/img1017.jpg],4[bigben/img0653.jpg],3[bigben/img0567.jpg],2[bigben/img0488.jpg],4[bigben/img0578.jpg],3[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",3IUZPWIU1O8X9VA2RC1WDQTLVHJWKV,AUBC0HIVKBOTF,Approved,"Wed Apr 20 07:47:35 PDT 2016","Wed Apr 20 07:49:29 PDT 2016",4[bigben/img0734.jpg],3[bigben/img0713.jpg],4[bigben/img0505.jpg],2[bigben/img1014.jpg],5[bigben/img0123.jpg],4[bigben/img0981.jpg],1[bigben/img0539.jpg],1[bigben/img0243.jpg],3[bigben/img0050.jpg],5[bigben/img0041.jpg],1[bigben/img1228.jpg],4[bigben/img0716.jpg],4[bigben/img1076.jpg],1[bigben/img0717.jpg],2[bigben/img1254.jpg],2[bigben/img0871.jpg],2[bigben/img1092.jpg],2[bigben/img0911.jpg],1[bigben/img0838.jpg],4[bigben/img1078.jpg],2[bigben/img0294.jpg],3[bigben/img0490.jpg],1[bigben/img0137.jpg],3[bigben/img0035.jpg],1[bigben/img1017.jpg],3[bigben/img0653.jpg],2[bigben/img0567.jpg],1[bigben/img0488.jpg],2[bigben/img0578.jpg],1[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",3S4AW7T80BJWKZ90267EXYN90P6L4K,A1YWDQZCEWGD6H,Approved,"Wed Apr 20 09:48:06 PDT 2016","Wed Apr 20 09:52:23 PDT 2016",3[bigben/img0734.jpg],4[bigben/img0713.jpg],2[bigben/img0505.jpg],3[bigben/img1014.jpg],1[bigben/img0123.jpg],5[bigben/img0981.jpg],1[bigben/img0539.jpg],1[bigben/img0243.jpg],4[bigben/img0050.jpg],5[bigben/img0041.jpg],3[bigben/img1228.jpg],5[bigben/img0716.jpg],3[bigben/img1076.jpg],3[bigben/img0717.jpg],5[bigben/img1254.jpg],4[bigben/img0871.jpg],5[bigben/img1092.jpg],5[bigben/img0911.jpg],4[bigben/img0838.jpg],2[bigben/img1078.jpg],2[bigben/img0294.jpg],2[bigben/img0490.jpg],1[bigben/img0137.jpg],3[bigben/img0035.jpg],4[bigben/img1017.jpg],4[bigben/img0653.jpg],5[bigben/img0567.jpg],4[bigben/img0488.jpg],2[bigben/img0578.jpg],3[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",358010RM5EUQE6940LBPHII9KIKVXZ,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:33:47 PDT 2016","Wed Apr 20 10:36:50 PDT 2016",4[bigben/img0734.jpg],3[bigben/img0713.jpg],1[bigben/img0505.jpg],2[bigben/img1014.jpg],1[bigben/img0123.jpg],4[bigben/img0981.jpg],1[bigben/img0539.jpg],1[bigben/img0243.jpg],5[bigben/img0050.jpg],3[bigben/img0041.jpg],3[bigben/img1228.jpg],5[bigben/img0716.jpg],3[bigben/img1076.jpg],4[bigben/img0717.jpg],4[bigben/img1254.jpg],4[bigben/img0871.jpg],2[bigben/img1092.jpg],2[bigben/img0911.jpg],2[bigben/img0838.jpg],4[bigben/img1078.jpg],2[bigben/img0294.jpg],2[bigben/img0490.jpg],2[bigben/img0137.jpg],2[bigben/img0035.jpg],2[bigben/img1017.jpg],2[bigben/img0653.jpg],2[bigben/img0567.jpg],2[bigben/img0488.jpg],4[bigben/img0578.jpg],4[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",33PPUNGG386NQUS2SJU0D69H7CARZ4,A39BR7NYRDWC01,Approved,"Wed Apr 20 11:25:29 PDT 2016","Wed Apr 20 11:28:17 PDT 2016",4[bigben/img0734.jpg],4[bigben/img0713.jpg],2[bigben/img0505.jpg],3[bigben/img1014.jpg],4[bigben/img0123.jpg],5[bigben/img0981.jpg],4[bigben/img0539.jpg],5[bigben/img0243.jpg],4[bigben/img0050.jpg],4[bigben/img0041.jpg],4[bigben/img1228.jpg],4[bigben/img0716.jpg],5[bigben/img1076.jpg],4[bigben/img0717.jpg],5[bigben/img1254.jpg],4[bigben/img0871.jpg],3[bigben/img1092.jpg],5[bigben/img0911.jpg],5[bigben/img0838.jpg],4[bigben/img1078.jpg],4[bigben/img0294.jpg],5[bigben/img0490.jpg],3[bigben/img0137.jpg],5[bigben/img0035.jpg],4[bigben/img1017.jpg],5[bigben/img0653.jpg],5[bigben/img0567.jpg],3[bigben/img0488.jpg],5[bigben/img0578.jpg],4[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",3B837J3LDOXQPI6OXR0SHDCEKYWSRO,AS6I356NBQKIG,Approved,"Wed Apr 20 14:21:46 PDT 2016","Wed Apr 20 14:24:20 PDT 2016",3[bigben/img0734.jpg],3[bigben/img0713.jpg],3[bigben/img0505.jpg],3[bigben/img1014.jpg],3[bigben/img0123.jpg],3[bigben/img0981.jpg],2[bigben/img0539.jpg],1[bigben/img0243.jpg],3[bigben/img0050.jpg],5[bigben/img0041.jpg],5[bigben/img1228.jpg],5[bigben/img0716.jpg],4[bigben/img1076.jpg],3[bigben/img0717.jpg],3[bigben/img1254.jpg],4[bigben/img0871.jpg],2[bigben/img1092.jpg],3[bigben/img0911.jpg],1[bigben/img0838.jpg],5[bigben/img1078.jpg],3[bigben/img0294.jpg],4[bigben/img0490.jpg],1[bigben/img0137.jpg],3[bigben/img0035.jpg],1[bigben/img1017.jpg],4[bigben/img0653.jpg],2[bigben/img0567.jpg],2[bigben/img0488.jpg],2[bigben/img0578.jpg],1[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",3DBQWDE4Y6Z44IGLSO63FIXC5HE5NQ,A28LWAQDAYRT7F,Approved,"Wed Apr 20 16:01:13 PDT 2016","Wed Apr 20 16:06:22 PDT 2016",4[bigben/img0734.jpg],2[bigben/img0713.jpg],4[bigben/img0505.jpg],3[bigben/img1014.jpg],1[bigben/img0123.jpg],2[bigben/img0981.jpg],4[bigben/img0539.jpg],1[bigben/img0243.jpg],4[bigben/img0050.jpg],4[bigben/img0041.jpg],4[bigben/img1228.jpg],5[bigben/img0716.jpg],4[bigben/img1076.jpg],4[bigben/img0717.jpg],5[bigben/img1254.jpg],5[bigben/img0871.jpg],5[bigben/img1092.jpg],4[bigben/img0911.jpg],3[bigben/img0838.jpg],5[bigben/img1078.jpg],2[bigben/img0294.jpg],2[bigben/img0490.jpg],4[bigben/img0137.jpg],5[bigben/img0035.jpg],3[bigben/img1017.jpg],2[bigben/img0653.jpg],2[bigben/img0567.jpg],1[bigben/img0488.jpg],2[bigben/img0578.jpg],3[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",388U7OUMF72QO9MCOPH8776VP650R1,A39J5RLVDTM6SM,Approved,"Wed Apr 20 17:29:32 PDT 2016","Wed Apr 20 17:36:21 PDT 2016",5[bigben/img0734.jpg],5[bigben/img0713.jpg],5[bigben/img0505.jpg],5[bigben/img1014.jpg],5[bigben/img0123.jpg],5[bigben/img0981.jpg],5[bigben/img0539.jpg],4[bigben/img0243.jpg],5[bigben/img0050.jpg],5[bigben/img0041.jpg],5[bigben/img1228.jpg],5[bigben/img0716.jpg],5[bigben/img1076.jpg],5[bigben/img0717.jpg],5[bigben/img1254.jpg],5[bigben/img0871.jpg],5[bigben/img1092.jpg],5[bigben/img0911.jpg],2[bigben/img0838.jpg],3[bigben/img1078.jpg],4[bigben/img0294.jpg],5[bigben/img0490.jpg],1[bigben/img0137.jpg],4[bigben/img0035.jpg],2[bigben/img1017.jpg],1[bigben/img0653.jpg],3[bigben/img0567.jpg],1[bigben/img0488.jpg],5[bigben/img0578.jpg],2[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",3RRCEFRB7MDK7QNOBTIKJVR4OXRB4Q,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:37:52 PDT 2016","Wed Apr 20 19:04:41 PDT 2016",5[bigben/img0734.jpg],5[bigben/img0713.jpg],4[bigben/img0505.jpg],4[bigben/img1014.jpg],5[bigben/img0123.jpg],5[bigben/img0981.jpg],4[bigben/img0539.jpg],4[bigben/img0243.jpg],4[bigben/img0050.jpg],5[bigben/img0041.jpg],3[bigben/img1228.jpg],4[bigben/img0716.jpg],4[bigben/img1076.jpg],4[bigben/img0717.jpg],4[bigben/img1254.jpg],3[bigben/img0871.jpg],3[bigben/img1092.jpg],4[bigben/img0911.jpg],4[bigben/img0838.jpg],4[bigben/img1078.jpg],4[bigben/img0294.jpg],4[bigben/img0490.jpg],4[bigben/img0137.jpg],4[bigben/img0035.jpg],3[bigben/img1017.jpg],4[bigben/img0653.jpg],4[bigben/img0567.jpg],4[bigben/img0488.jpg],4[bigben/img0578.jpg],4[bigben/img0329.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQKQGL,"bigben_300-329","sample#command",3SLE99ER0NE0ANBDWM8ADR4DPSXZBT,A13FVM2C914A3H,Approved,"Wed Apr 20 19:23:33 PDT 2016","Wed Apr 20 19:25:27 PDT 2016",4[bigben/img0734.jpg],3[bigben/img0713.jpg],2[bigben/img0505.jpg],4[bigben/img1014.jpg],1[bigben/img0123.jpg],3[bigben/img0981.jpg],2[bigben/img0539.jpg],2[bigben/img0243.jpg],5[bigben/img0050.jpg],5[bigben/img0041.jpg],3[bigben/img1228.jpg],4[bigben/img0716.jpg],4[bigben/img1076.jpg],2[bigben/img0717.jpg],4[bigben/img1254.jpg],4[bigben/img0871.jpg],3[bigben/img1092.jpg],3[bigben/img0911.jpg],2[bigben/img0838.jpg],3[bigben/img1078.jpg],2[bigben/img0294.jpg],2[bigben/img0490.jpg],3[bigben/img0137.jpg],2[bigben/img0035.jpg],1[bigben/img1017.jpg],3[bigben/img0653.jpg],2[bigben/img0567.jpg],2[bigben/img0488.jpg],4[bigben/img0578.jpg],4[bigben/img0329.jpg],
