HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3QJOXOW4XJSYIJOEROK66XEPDJZME2,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:55:10 PDT 2016","Wed Apr 20 10:59:02 PDT 2016",4[bigben/img0309.jpg],4[bigben/img0951.jpg],4[bigben/img0228.jpg],4[bigben/img0796.jpg],4[bigben/img0685.jpg],4[bigben/img0341.jpg],4[bigben/img1275.jpg],4[bigben/img0509.jpg],5[bigben/img0931.jpg],4[bigben/img0943.jpg],4[bigben/img0714.jpg],4[bigben/img0949.jpg],4[bigben/img0432.jpg],2[bigben/img1279.jpg],4[bigben/img0224.jpg],5[bigben/img0693.jpg],5[bigben/img0938.jpg],2[bigben/img1105.jpg],4[bigben/img0100.jpg],4[bigben/img0375.jpg],5[bigben/img0628.jpg],5[bigben/img0418.jpg],5[bigben/img0232.jpg],4[bigben/img0879.jpg],4[bigben/img0390.jpg],4[bigben/img0825.jpg],5[bigben/img1114.jpg],5[bigben/img0634.jpg],5[bigben/img0986.jpg],5[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3CTOC39K37RN8W3J1JT8KVURN3GJ7R,A39BR7NYRDWC01,Approved,"Wed Apr 20 17:19:15 PDT 2016","Wed Apr 20 17:22:15 PDT 2016",4[bigben/img0309.jpg],3[bigben/img0951.jpg],4[bigben/img0228.jpg],4[bigben/img0796.jpg],5[bigben/img0685.jpg],4[bigben/img0341.jpg],4[bigben/img1275.jpg],2[bigben/img0509.jpg],4[bigben/img0931.jpg],4[bigben/img0943.jpg],5[bigben/img0714.jpg],5[bigben/img0949.jpg],5[bigben/img0432.jpg],5[bigben/img1279.jpg],5[bigben/img0224.jpg],4[bigben/img0693.jpg],5[bigben/img0938.jpg],5[bigben/img1105.jpg],4[bigben/img0100.jpg],5[bigben/img0375.jpg],4[bigben/img0628.jpg],5[bigben/img0418.jpg],5[bigben/img0232.jpg],4[bigben/img0879.jpg],5[bigben/img0390.jpg],3[bigben/img0825.jpg],5[bigben/img1114.jpg],5[bigben/img0634.jpg],5[bigben/img0986.jpg],4[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3YMTUJH0DSHK3CH5BF95JPXQU4P4T7,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:25:03 PDT 2016","Wed Apr 20 18:32:26 PDT 2016",3[bigben/img0309.jpg],4[bigben/img0951.jpg],4[bigben/img0228.jpg],3[bigben/img0796.jpg],4[bigben/img0685.jpg],4[bigben/img0341.jpg],3[bigben/img1275.jpg],4[bigben/img0509.jpg],4[bigben/img0931.jpg],4[bigben/img0943.jpg],4[bigben/img0714.jpg],4[bigben/img0949.jpg],4[bigben/img0432.jpg],4[bigben/img1279.jpg],4[bigben/img0224.jpg],4[bigben/img0693.jpg],4[bigben/img0938.jpg],4[bigben/img1105.jpg],4[bigben/img0100.jpg],4[bigben/img0375.jpg],4[bigben/img0628.jpg],4[bigben/img0418.jpg],4[bigben/img0232.jpg],4[bigben/img0879.jpg],4[bigben/img0390.jpg],4[bigben/img0825.jpg],4[bigben/img1114.jpg],4[bigben/img0634.jpg],5[bigben/img0986.jpg],5[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",32M8BPYGATNA6EUEC4C2E7SK9SBGII,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:42:06 PDT 2016","Thu Apr 21 00:01:06 PDT 2016",3[bigben/img0309.jpg],4[bigben/img0951.jpg],3[bigben/img0228.jpg],4[bigben/img0796.jpg],5[bigben/img0685.jpg],4[bigben/img0341.jpg],3[bigben/img1275.jpg],4[bigben/img0509.jpg],4[bigben/img0931.jpg],4[bigben/img0943.jpg],5[bigben/img0714.jpg],5[bigben/img0949.jpg],5[bigben/img0432.jpg],5[bigben/img1279.jpg],5[bigben/img0224.jpg],5[bigben/img0693.jpg],5[bigben/img0938.jpg],5[bigben/img1105.jpg],5[bigben/img0100.jpg],5[bigben/img0375.jpg],5[bigben/img0628.jpg],4[bigben/img0418.jpg],5[bigben/img0232.jpg],4[bigben/img0879.jpg],5[bigben/img0390.jpg],4[bigben/img0825.jpg],4[bigben/img1114.jpg],4[bigben/img0634.jpg],4[bigben/img0986.jpg],4[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",39GHHAVOMFSQP9L0ZLV1HJAHX7XJ4R,A2V68RNQVUAY70,Approved,"Thu Apr 21 22:30:41 PDT 2016","Thu Apr 21 22:33:48 PDT 2016",3[bigben/img0309.jpg],4[bigben/img0951.jpg],4[bigben/img0228.jpg],4[bigben/img0796.jpg],4[bigben/img0685.jpg],4[bigben/img0341.jpg],4[bigben/img1275.jpg],4[bigben/img0509.jpg],4[bigben/img0931.jpg],4[bigben/img0943.jpg],4[bigben/img0714.jpg],4[bigben/img0949.jpg],4[bigben/img0432.jpg],4[bigben/img1279.jpg],4[bigben/img0224.jpg],4[bigben/img0693.jpg],4[bigben/img0938.jpg],4[bigben/img1105.jpg],4[bigben/img0100.jpg],4[bigben/img0375.jpg],4[bigben/img0628.jpg],4[bigben/img0418.jpg],4[bigben/img0232.jpg],3[bigben/img0879.jpg],3[bigben/img0390.jpg],4[bigben/img0825.jpg],3[bigben/img1114.jpg],4[bigben/img0634.jpg],4[bigben/img0986.jpg],3[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3QAVNHZ3EM5BMOPHB7H5A199T6YLA6,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:47:03 PDT 2016","Thu Apr 21 22:47:45 PDT 2016",5[bigben/img0309.jpg],5[bigben/img0951.jpg],5[bigben/img0228.jpg],5[bigben/img0796.jpg],5[bigben/img0685.jpg],5[bigben/img0341.jpg],5[bigben/img1275.jpg],5[bigben/img0509.jpg],5[bigben/img0931.jpg],5[bigben/img0943.jpg],5[bigben/img0714.jpg],5[bigben/img0949.jpg],5[bigben/img0432.jpg],5[bigben/img1279.jpg],5[bigben/img0224.jpg],5[bigben/img0693.jpg],5[bigben/img0938.jpg],5[bigben/img1105.jpg],5[bigben/img0100.jpg],5[bigben/img0375.jpg],5[bigben/img0628.jpg],5[bigben/img0418.jpg],5[bigben/img0232.jpg],5[bigben/img0879.jpg],5[bigben/img0390.jpg],5[bigben/img0825.jpg],5[bigben/img1114.jpg],5[bigben/img0634.jpg],5[bigben/img0986.jpg],5[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3TK8OJTYM1ML5X7DEU18N5W6JQ5VPK,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:18:14 PDT 2016","Fri Apr 22 00:26:20 PDT 2016",3[bigben/img0309.jpg],4[bigben/img0951.jpg],5[bigben/img0228.jpg],5[bigben/img0796.jpg],5[bigben/img0685.jpg],5[bigben/img0341.jpg],5[bigben/img1275.jpg],5[bigben/img0509.jpg],5[bigben/img0931.jpg],5[bigben/img0943.jpg],5[bigben/img0714.jpg],5[bigben/img0949.jpg],5[bigben/img0432.jpg],5[bigben/img1279.jpg],5[bigben/img0224.jpg],5[bigben/img0693.jpg],5[bigben/img0938.jpg],5[bigben/img1105.jpg],5[bigben/img0100.jpg],4[bigben/img0375.jpg],5[bigben/img0628.jpg],4[bigben/img0418.jpg],4[bigben/img0232.jpg],4[bigben/img0879.jpg],4[bigben/img0390.jpg],4[bigben/img0825.jpg],3[bigben/img1114.jpg],4[bigben/img0634.jpg],4[bigben/img0986.jpg],4[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3KMS4QQVK2RVY9O71NRW927L1MQKFZ,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:30:56 PDT 2016","Fri Apr 22 05:32:14 PDT 2016",1[bigben/img0309.jpg],2[bigben/img0951.jpg],2[bigben/img0228.jpg],2[bigben/img0796.jpg],2[bigben/img0685.jpg],2[bigben/img0341.jpg],2[bigben/img1275.jpg],3[bigben/img0509.jpg],4[bigben/img0931.jpg],2[bigben/img0943.jpg],2[bigben/img0714.jpg],2[bigben/img0949.jpg],1[bigben/img0432.jpg],1[bigben/img1279.jpg],2[bigben/img0224.jpg],3[bigben/img0693.jpg],2[bigben/img0938.jpg],2[bigben/img1105.jpg],2[bigben/img0100.jpg],3[bigben/img0375.jpg],5[bigben/img0628.jpg],2[bigben/img0418.jpg],3[bigben/img0232.jpg],2[bigben/img0879.jpg],2[bigben/img0390.jpg],3[bigben/img0825.jpg],1[bigben/img1114.jpg],2[bigben/img0634.jpg],5[bigben/img0986.jpg],2[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",37QW5D2ZRGNK7DRSYIUSQWH9VFO8SR,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:37:46 PDT 2016","Fri Apr 22 20:40:24 PDT 2016",3[bigben/img0309.jpg],3[bigben/img0951.jpg],3[bigben/img0228.jpg],4[bigben/img0796.jpg],3[bigben/img0685.jpg],3[bigben/img0341.jpg],4[bigben/img1275.jpg],3[bigben/img0509.jpg],4[bigben/img0931.jpg],4[bigben/img0943.jpg],3[bigben/img0714.jpg],4[bigben/img0949.jpg],3[bigben/img0432.jpg],4[bigben/img1279.jpg],3[bigben/img0224.jpg],4[bigben/img0693.jpg],4[bigben/img0938.jpg],4[bigben/img1105.jpg],4[bigben/img0100.jpg],3[bigben/img0375.jpg],5[bigben/img0628.jpg],4[bigben/img0418.jpg],5[bigben/img0232.jpg],4[bigben/img0879.jpg],3[bigben/img0390.jpg],4[bigben/img0825.jpg],2[bigben/img1114.jpg],2[bigben/img0634.jpg],3[bigben/img0986.jpg],4[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3J88R45B2GZD9MC8E92QBQTRZ53XPN,A1LPGEEJ8Z5NNR,Approved,"Sat Apr 23 01:57:29 PDT 2016","Sat Apr 23 02:00:34 PDT 2016",4[bigben/img0309.jpg],4[bigben/img0951.jpg],3[bigben/img0228.jpg],2[bigben/img0796.jpg],5[bigben/img0685.jpg],3[bigben/img0341.jpg],1[bigben/img1275.jpg],5[bigben/img0509.jpg],4[bigben/img0931.jpg],4[bigben/img0943.jpg],1[bigben/img0714.jpg],1[bigben/img0949.jpg],2[bigben/img0432.jpg],4[bigben/img1279.jpg],4[bigben/img0224.jpg],4[bigben/img0693.jpg],4[bigben/img0938.jpg],1[bigben/img1105.jpg],3[bigben/img0100.jpg],2[bigben/img0375.jpg],1[bigben/img0628.jpg],5[bigben/img0418.jpg],5[bigben/img0232.jpg],2[bigben/img0879.jpg],4[bigben/img0390.jpg],1[bigben/img0825.jpg],4[bigben/img1114.jpg],4[bigben/img0634.jpg],5[bigben/img0986.jpg],2[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3EF8EXOTT1W9XAOHC3CZJL3ELRUJ1T,A2WLTDIILI4K16,Approved,"Sat Apr 23 05:50:19 PDT 2016","Sat Apr 23 05:58:55 PDT 2016",2[bigben/img0309.jpg],3[bigben/img0951.jpg],2[bigben/img0228.jpg],2[bigben/img0796.jpg],3[bigben/img0685.jpg],3[bigben/img0341.jpg],2[bigben/img1275.jpg],3[bigben/img0509.jpg],2[bigben/img0931.jpg],3[bigben/img0943.jpg],2[bigben/img0714.jpg],3[bigben/img0949.jpg],3[bigben/img0432.jpg],3[bigben/img1279.jpg],4[bigben/img0224.jpg],4[bigben/img0693.jpg],3[bigben/img0938.jpg],3[bigben/img1105.jpg],3[bigben/img0100.jpg],3[bigben/img0375.jpg],2[bigben/img0628.jpg],3[bigben/img0418.jpg],4[bigben/img0232.jpg],2[bigben/img0879.jpg],2[bigben/img0390.jpg],1[bigben/img0825.jpg],3[bigben/img1114.jpg],3[bigben/img0634.jpg],3[bigben/img0986.jpg],4[bigben/img0547.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOQQLGQC,"bigben_510-539","sample#command",3JCG6DTRV3RE01CBS8MNHNN87YFQQN,AN5R4VVFBTHMY,Approved,"Sat Apr 23 06:25:03 PDT 2016","Sat Apr 23 06:29:00 PDT 2016",2[bigben/img0309.jpg],2[bigben/img0951.jpg],3[bigben/img0228.jpg],1[bigben/img0796.jpg],3[bigben/img0685.jpg],1[bigben/img0341.jpg],4[bigben/img1275.jpg],3[bigben/img0509.jpg],3[bigben/img0931.jpg],5[bigben/img0943.jpg],2[bigben/img0714.jpg],3[bigben/img0949.jpg],1[bigben/img0432.jpg],1[bigben/img1279.jpg],3[bigben/img0224.jpg],4[bigben/img0693.jpg],4[bigben/img0938.jpg],4[bigben/img1105.jpg],3[bigben/img0100.jpg],2[bigben/img0375.jpg],3[bigben/img0628.jpg],3[bigben/img0418.jpg],4[bigben/img0232.jpg],2[bigben/img0879.jpg],1[bigben/img0390.jpg],1[bigben/img0825.jpg],1[bigben/img1114.jpg],3[bigben/img0634.jpg],3[bigben/img0986.jpg],3[bigben/img0547.jpg],
