HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",36TFCYNS44BLW5EKVWUL2HR0C3CXHE,A1XC5OV00MECKQ,Approved,"Wed Apr 20 11:05:39 PDT 2016","Wed Apr 20 11:07:37 PDT 2016",4[bigben/img0143.jpg],4[bigben/img0036.jpg],4[bigben/img0296.jpg],4[bigben/img0313.jpg],5[bigben/img0521.jpg],5[bigben/img0677.jpg],5[bigben/img0458.jpg],5[bigben/img0067.jpg],4[bigben/img1273.jpg],4[bigben/img0995.jpg],4[bigben/img0331.jpg],5[bigben/img0465.jpg],5[bigben/img0495.jpg],5[bigben/img0108.jpg],3[bigben/img0561.jpg],4[bigben/img0939.jpg],4[bigben/img0641.jpg],4[bigben/img0759.jpg],4[bigben/img0291.jpg],4[bigben/img0927.jpg],4[bigben/img0159.jpg],4[bigben/img1163.jpg],2[bigben/img0542.jpg],2[bigben/img1036.jpg],2[bigben/img0252.jpg],4[bigben/img0732.jpg],5[bigben/img1276.jpg],4[bigben/img0862.jpg],4[bigben/img0478.jpg],5[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3AQF3RZ558JOZU3IZJXVZJ23ZK9F6D,AQ3X3E8586BS7,Approved,"Wed Apr 20 12:37:15 PDT 2016","Wed Apr 20 12:40:04 PDT 2016",4[bigben/img0143.jpg],1[bigben/img0036.jpg],4[bigben/img0296.jpg],2[bigben/img0313.jpg],4[bigben/img0521.jpg],3[bigben/img0677.jpg],4[bigben/img0458.jpg],5[bigben/img0067.jpg],1[bigben/img1273.jpg],1[bigben/img0995.jpg],3[bigben/img0331.jpg],2[bigben/img0465.jpg],5[bigben/img0495.jpg],2[bigben/img0108.jpg],2[bigben/img0561.jpg],1[bigben/img0939.jpg],4[bigben/img0641.jpg],1[bigben/img0759.jpg],4[bigben/img0291.jpg],1[bigben/img0927.jpg],1[bigben/img0159.jpg],1[bigben/img1163.jpg],2[bigben/img0542.jpg],2[bigben/img1036.jpg],2[bigben/img0252.jpg],2[bigben/img0732.jpg],5[bigben/img1276.jpg],4[bigben/img0862.jpg],5[bigben/img0478.jpg],5[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3R9WASFE2ZHQN4NT1OU6WHVY4QMFZO,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:36:01 PDT 2016","Wed Apr 20 18:44:31 PDT 2016",4[bigben/img0143.jpg],4[bigben/img0036.jpg],4[bigben/img0296.jpg],3[bigben/img0313.jpg],4[bigben/img0521.jpg],4[bigben/img0677.jpg],4[bigben/img0458.jpg],4[bigben/img0067.jpg],4[bigben/img1273.jpg],4[bigben/img0995.jpg],4[bigben/img0331.jpg],4[bigben/img0465.jpg],4[bigben/img0495.jpg],4[bigben/img0108.jpg],5[bigben/img0561.jpg],4[bigben/img0939.jpg],4[bigben/img0641.jpg],4[bigben/img0759.jpg],4[bigben/img0291.jpg],4[bigben/img0927.jpg],4[bigben/img0159.jpg],4[bigben/img1163.jpg],4[bigben/img0542.jpg],4[bigben/img1036.jpg],4[bigben/img0252.jpg],4[bigben/img0732.jpg],4[bigben/img1276.jpg],4[bigben/img0862.jpg],4[bigben/img0478.jpg],4[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3YDTZAI2WXHJUS5W9WPVDJEV2L4414,A39BR7NYRDWC01,Approved,"Wed Apr 20 19:20:21 PDT 2016","Wed Apr 20 19:22:25 PDT 2016",5[bigben/img0143.jpg],3[bigben/img0036.jpg],5[bigben/img0296.jpg],4[bigben/img0313.jpg],4[bigben/img0521.jpg],4[bigben/img0677.jpg],5[bigben/img0458.jpg],4[bigben/img0067.jpg],4[bigben/img1273.jpg],4[bigben/img0995.jpg],4[bigben/img0331.jpg],4[bigben/img0465.jpg],4[bigben/img0495.jpg],4[bigben/img0108.jpg],5[bigben/img0561.jpg],4[bigben/img0939.jpg],5[bigben/img0641.jpg],4[bigben/img0759.jpg],4[bigben/img0291.jpg],5[bigben/img0927.jpg],4[bigben/img0159.jpg],4[bigben/img1163.jpg],4[bigben/img0542.jpg],4[bigben/img1036.jpg],4[bigben/img0252.jpg],4[bigben/img0732.jpg],3[bigben/img1276.jpg],4[bigben/img0862.jpg],4[bigben/img0478.jpg],4[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3CFJTT4SXTRRDLJDJ1888UFRAP8I7X,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 20:00:35 PDT 2016","Wed Apr 20 20:11:12 PDT 2016",5[bigben/img0143.jpg],4[bigben/img0036.jpg],5[bigben/img0296.jpg],3[bigben/img0313.jpg],5[bigben/img0521.jpg],3[bigben/img0677.jpg],5[bigben/img0458.jpg],5[bigben/img0067.jpg],5[bigben/img1273.jpg],4[bigben/img0995.jpg],4[bigben/img0331.jpg],5[bigben/img0465.jpg],5[bigben/img0495.jpg],4[bigben/img0108.jpg],1[bigben/img0561.jpg],2[bigben/img0939.jpg],3[bigben/img0641.jpg],3[bigben/img0759.jpg],4[bigben/img0291.jpg],4[bigben/img0927.jpg],4[bigben/img0159.jpg],3[bigben/img1163.jpg],4[bigben/img0542.jpg],3[bigben/img1036.jpg],4[bigben/img0252.jpg],3[bigben/img0732.jpg],4[bigben/img1276.jpg],4[bigben/img0862.jpg],5[bigben/img0478.jpg],4[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3V5Q80FXIXS51H4OSMKQ8XWUHWG324,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:44:42 PDT 2016","Thu Apr 21 22:45:23 PDT 2016",5[bigben/img0143.jpg],5[bigben/img0036.jpg],5[bigben/img0296.jpg],5[bigben/img0313.jpg],5[bigben/img0521.jpg],5[bigben/img0677.jpg],5[bigben/img0458.jpg],5[bigben/img0067.jpg],5[bigben/img1273.jpg],5[bigben/img0995.jpg],5[bigben/img0331.jpg],5[bigben/img0465.jpg],5[bigben/img0495.jpg],5[bigben/img0108.jpg],5[bigben/img0561.jpg],5[bigben/img0939.jpg],5[bigben/img0641.jpg],5[bigben/img0759.jpg],5[bigben/img0291.jpg],5[bigben/img0927.jpg],5[bigben/img0159.jpg],5[bigben/img1163.jpg],5[bigben/img0542.jpg],5[bigben/img1036.jpg],5[bigben/img0252.jpg],5[bigben/img0732.jpg],5[bigben/img1276.jpg],5[bigben/img0862.jpg],5[bigben/img0478.jpg],5[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",39O5D9O87TTIZZWQPF9WKA5GTNX3CH,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:08:13 PDT 2016","Fri Apr 22 00:18:53 PDT 2016",3[bigben/img0143.jpg],4[bigben/img0036.jpg],4[bigben/img0296.jpg],5[bigben/img0313.jpg],4[bigben/img0521.jpg],5[bigben/img0677.jpg],5[bigben/img0458.jpg],5[bigben/img0067.jpg],5[bigben/img1273.jpg],1[bigben/img0995.jpg],4[bigben/img0331.jpg],5[bigben/img0465.jpg],5[bigben/img0495.jpg],5[bigben/img0108.jpg],1[bigben/img0561.jpg],5[bigben/img0939.jpg],5[bigben/img0641.jpg],3[bigben/img0759.jpg],4[bigben/img0291.jpg],4[bigben/img0927.jpg],4[bigben/img0159.jpg],5[bigben/img1163.jpg],4[bigben/img0542.jpg],4[bigben/img1036.jpg],4[bigben/img0252.jpg],4[bigben/img0732.jpg],5[bigben/img1276.jpg],5[bigben/img0862.jpg],5[bigben/img0478.jpg],4[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3SITXWYCNVAB5SBYV4KPG6O2IXDXBJ,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:28:13 PDT 2016","Fri Apr 22 05:29:28 PDT 2016",2[bigben/img0143.jpg],2[bigben/img0036.jpg],2[bigben/img0296.jpg],2[bigben/img0313.jpg],2[bigben/img0521.jpg],3[bigben/img0677.jpg],2[bigben/img0458.jpg],2[bigben/img0067.jpg],3[bigben/img1273.jpg],1[bigben/img0995.jpg],2[bigben/img0331.jpg],1[bigben/img0465.jpg],3[bigben/img0495.jpg],2[bigben/img0108.jpg],1[bigben/img0561.jpg],2[bigben/img0939.jpg],2[bigben/img0641.jpg],2[bigben/img0759.jpg],4[bigben/img0291.jpg],2[bigben/img0927.jpg],2[bigben/img0159.jpg],2[bigben/img1163.jpg],3[bigben/img0542.jpg],2[bigben/img1036.jpg],3[bigben/img0252.jpg],2[bigben/img0732.jpg],2[bigben/img1276.jpg],3[bigben/img0862.jpg],3[bigben/img0478.jpg],4[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3WT783CTPBIN2U0348O22T3SHINBCZ,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:37:29 PDT 2016","Fri Apr 22 20:39:35 PDT 2016",3[bigben/img0143.jpg],4[bigben/img0036.jpg],4[bigben/img0296.jpg],4[bigben/img0313.jpg],3[bigben/img0521.jpg],3[bigben/img0677.jpg],4[bigben/img0458.jpg],4[bigben/img0067.jpg],3[bigben/img1273.jpg],4[bigben/img0995.jpg],3[bigben/img0331.jpg],4[bigben/img0465.jpg],4[bigben/img0495.jpg],4[bigben/img0108.jpg],4[bigben/img0561.jpg],4[bigben/img0939.jpg],3[bigben/img0641.jpg],4[bigben/img0759.jpg],3[bigben/img0291.jpg],4[bigben/img0927.jpg],3[bigben/img0159.jpg],4[bigben/img1163.jpg],4[bigben/img0542.jpg],4[bigben/img1036.jpg],2[bigben/img0252.jpg],3[bigben/img0732.jpg],2[bigben/img1276.jpg],4[bigben/img0862.jpg],4[bigben/img0478.jpg],4[bigben/img0972.jpg],
3PCPFX4U40REMSO8OQ6SH4NCPBKQFM,"bigben_180-209","sample#command",3R8YZBNQ9HJ4UJ7WW9DHHW6D28CQ7E,A1LPGEEJ8Z5NNR,Approved,"Sat Apr 23 03:01:16 PDT 2016","Sat Apr 23 03:02:47 PDT 2016",4[bigben/img0143.jpg],4[bigben/img0036.jpg],3[bigben/img0296.jpg],4[bigben/img0313.jpg],4[bigben/img0521.jpg],5[bigben/img0677.jpg],5[bigben/img0458.jpg],4[bigben/img0067.jpg],2[bigben/img1273.jpg],2[bigben/img0995.jpg],2[bigben/img0331.jpg],1[bigben/img0465.jpg],4[bigben/img0495.jpg],2[bigben/img0108.jpg],1[bigben/img0561.jpg],3[bigben/img0939.jpg],5[bigben/img0641.jpg],3[bigben/img0759.jpg],5[bigben/img0291.jpg],5[bigben/img0927.jpg],2[bigben/img0159.jpg],2[bigben/img1163.jpg],3[bigben/img0542.jpg],4[bigben/img1036.jpg],4[bigben/img0252.jpg],3[bigben/img0732.jpg],5[bigben/img1276.jpg],5[bigben/img0862.jpg],4[bigben/img0478.jpg],5[bigben/img0972.jpg],
