HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",3TXWC2NHNZRKLIA23A06QSCKEB1S9A,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:59:09 PDT 2016","Wed Apr 20 11:01:45 PDT 2016",4[bigben/img0704.jpg],4[bigben/img0621.jpg],4[bigben/img0504.jpg],4[bigben/img0633.jpg],4[bigben/img0572.jpg],4[bigben/img1141.jpg],4[bigben/img0690.jpg],4[bigben/img1010.jpg],4[bigben/img0902.jpg],4[bigben/img0558.jpg],4[bigben/img1115.jpg],5[bigben/img0031.jpg],5[bigben/img1153.jpg],5[bigben/img0771.jpg],5[bigben/img0698.jpg],5[bigben/img1211.jpg],4[bigben/img1242.jpg],2[bigben/img0760.jpg],2[bigben/img0038.jpg],5[bigben/img0104.jpg],5[bigben/img0183.jpg],5[bigben/img0194.jpg],4[bigben/img0258.jpg],4[bigben/img0707.jpg],4[bigben/img0727.jpg],5[bigben/img1255.jpg],5[bigben/img0356.jpg],4[bigben/img0032.jpg],4[bigben/img0597.jpg],5[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",3D3VGR7TA0GM51L97CZR9542SJT3R5,A39BR7NYRDWC01,Approved,"Wed Apr 20 18:09:36 PDT 2016","Wed Apr 20 18:12:11 PDT 2016",4[bigben/img0704.jpg],5[bigben/img0621.jpg],4[bigben/img0504.jpg],5[bigben/img0633.jpg],2[bigben/img0572.jpg],3[bigben/img1141.jpg],5[bigben/img0690.jpg],2[bigben/img1010.jpg],3[bigben/img0902.jpg],3[bigben/img0558.jpg],3[bigben/img1115.jpg],5[bigben/img0031.jpg],4[bigben/img1153.jpg],5[bigben/img0771.jpg],5[bigben/img0698.jpg],4[bigben/img1211.jpg],3[bigben/img1242.jpg],4[bigben/img0760.jpg],5[bigben/img0038.jpg],3[bigben/img0104.jpg],5[bigben/img0183.jpg],5[bigben/img0194.jpg],4[bigben/img0258.jpg],4[bigben/img0707.jpg],5[bigben/img0727.jpg],4[bigben/img1255.jpg],4[bigben/img0356.jpg],5[bigben/img0032.jpg],5[bigben/img0597.jpg],5[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",34S6N1K2ZVKQWBXVHDRXRNWD5WOHL2,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:24:54 PDT 2016","Wed Apr 20 18:29:31 PDT 2016",4[bigben/img0704.jpg],3[bigben/img0621.jpg],4[bigben/img0504.jpg],4[bigben/img0633.jpg],3[bigben/img0572.jpg],4[bigben/img1141.jpg],3[bigben/img0690.jpg],3[bigben/img1010.jpg],4[bigben/img0902.jpg],4[bigben/img0558.jpg],4[bigben/img1115.jpg],5[bigben/img0031.jpg],3[bigben/img1153.jpg],5[bigben/img0771.jpg],5[bigben/img0698.jpg],4[bigben/img1211.jpg],5[bigben/img1242.jpg],4[bigben/img0760.jpg],4[bigben/img0038.jpg],4[bigben/img0104.jpg],5[bigben/img0183.jpg],5[bigben/img0194.jpg],3[bigben/img0258.jpg],3[bigben/img0707.jpg],4[bigben/img0727.jpg],5[bigben/img1255.jpg],4[bigben/img0356.jpg],4[bigben/img0032.jpg],5[bigben/img0597.jpg],5[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",3WZ36BJEV3H4OB2EQUJSR33W4WYTBU,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:42:01 PDT 2016","Wed Apr 20 23:57:33 PDT 2016",4[bigben/img0704.jpg],4[bigben/img0621.jpg],4[bigben/img0504.jpg],5[bigben/img0633.jpg],3[bigben/img0572.jpg],4[bigben/img1141.jpg],3[bigben/img0690.jpg],3[bigben/img1010.jpg],4[bigben/img0902.jpg],4[bigben/img0558.jpg],4[bigben/img1115.jpg],5[bigben/img0031.jpg],5[bigben/img1153.jpg],4[bigben/img0771.jpg],5[bigben/img0698.jpg],4[bigben/img1211.jpg],4[bigben/img1242.jpg],3[bigben/img0760.jpg],5[bigben/img0038.jpg],5[bigben/img0104.jpg],3[bigben/img0183.jpg],4[bigben/img0194.jpg],5[bigben/img0258.jpg],4[bigben/img0707.jpg],4[bigben/img0727.jpg],5[bigben/img1255.jpg],5[bigben/img0356.jpg],4[bigben/img0032.jpg],5[bigben/img0597.jpg],4[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",31UV0MXWNQDCQH5UV8TBAA1VJKC5I6,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:23:04 PDT 2016","Thu Apr 21 04:24:45 PDT 2016",1[bigben/img0704.jpg],4[bigben/img0621.jpg],3[bigben/img0504.jpg],3[bigben/img0633.jpg],3[bigben/img0572.jpg],3[bigben/img1141.jpg],3[bigben/img0690.jpg],1[bigben/img1010.jpg],4[bigben/img0902.jpg],3[bigben/img0558.jpg],3[bigben/img1115.jpg],4[bigben/img0031.jpg],3[bigben/img1153.jpg],3[bigben/img0771.jpg],4[bigben/img0698.jpg],4[bigben/img1211.jpg],3[bigben/img1242.jpg],2[bigben/img0760.jpg],3[bigben/img0038.jpg],3[bigben/img0104.jpg],3[bigben/img0183.jpg],4[bigben/img0194.jpg],4[bigben/img0258.jpg],2[bigben/img0707.jpg],3[bigben/img0727.jpg],3[bigben/img1255.jpg],3[bigben/img0356.jpg],3[bigben/img0032.jpg],3[bigben/img0597.jpg],4[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",388U7OUMF72QO9MCOPH8776VQCC0RL,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:47:14 PDT 2016","Thu Apr 21 22:48:23 PDT 2016",5[bigben/img0704.jpg],5[bigben/img0621.jpg],5[bigben/img0504.jpg],5[bigben/img0633.jpg],5[bigben/img0572.jpg],5[bigben/img1141.jpg],5[bigben/img0690.jpg],5[bigben/img1010.jpg],5[bigben/img0902.jpg],5[bigben/img0558.jpg],5[bigben/img1115.jpg],5[bigben/img0031.jpg],5[bigben/img1153.jpg],5[bigben/img0771.jpg],5[bigben/img0698.jpg],5[bigben/img1211.jpg],5[bigben/img1242.jpg],5[bigben/img0760.jpg],5[bigben/img0038.jpg],5[bigben/img0104.jpg],5[bigben/img0183.jpg],5[bigben/img0194.jpg],5[bigben/img0258.jpg],5[bigben/img0707.jpg],5[bigben/img0727.jpg],5[bigben/img1255.jpg],5[bigben/img0356.jpg],5[bigben/img0032.jpg],5[bigben/img0597.jpg],5[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",34J10VATJFZ1J3OSF0HE8LWMGKVQI9,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:19:59 PDT 2016","Fri Apr 22 00:38:38 PDT 2016",3[bigben/img0704.jpg],1[bigben/img0621.jpg],5[bigben/img0504.jpg],4[bigben/img0633.jpg],4[bigben/img0572.jpg],4[bigben/img1141.jpg],4[bigben/img0690.jpg],4[bigben/img1010.jpg],5[bigben/img0902.jpg],4[bigben/img0558.jpg],4[bigben/img1115.jpg],4[bigben/img0031.jpg],4[bigben/img1153.jpg],4[bigben/img0771.jpg],4[bigben/img0698.jpg],4[bigben/img1211.jpg],4[bigben/img1242.jpg],4[bigben/img0760.jpg],4[bigben/img0038.jpg],4[bigben/img0104.jpg],4[bigben/img0183.jpg],3[bigben/img0194.jpg],3[bigben/img0258.jpg],4[bigben/img0707.jpg],4[bigben/img0727.jpg],4[bigben/img1255.jpg],3[bigben/img0356.jpg],4[bigben/img0032.jpg],4[bigben/img0597.jpg],5[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",3HMVI3QICJTZSZJGY3D2T8I2YRG1YA,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:05:23 PDT 2016","Fri Apr 22 05:07:23 PDT 2016",4[bigben/img0704.jpg],5[bigben/img0621.jpg],3[bigben/img0504.jpg],2[bigben/img0633.jpg],2[bigben/img0572.jpg],4[bigben/img1141.jpg],1[bigben/img0690.jpg],1[bigben/img1010.jpg],3[bigben/img0902.jpg],3[bigben/img0558.jpg],3[bigben/img1115.jpg],5[bigben/img0031.jpg],5[bigben/img1153.jpg],5[bigben/img0771.jpg],4[bigben/img0698.jpg],5[bigben/img1211.jpg],4[bigben/img1242.jpg],3[bigben/img0760.jpg],2[bigben/img0038.jpg],4[bigben/img0104.jpg],4[bigben/img0183.jpg],4[bigben/img0194.jpg],3[bigben/img0258.jpg],1[bigben/img0707.jpg],4[bigben/img0727.jpg],4[bigben/img1255.jpg],5[bigben/img0356.jpg],4[bigben/img0032.jpg],5[bigben/img0597.jpg],5[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",3I3WADAZ9Q5MM3GXT36GU7XHWYP5OQ,A2ZHFT828PSIR2,Approved,"Fri Apr 22 11:53:40 PDT 2016","Fri Apr 22 11:56:32 PDT 2016",1[bigben/img0704.jpg],3[bigben/img0621.jpg],1[bigben/img0504.jpg],1[bigben/img0633.jpg],4[bigben/img0572.jpg],4[bigben/img1141.jpg],4[bigben/img0690.jpg],1[bigben/img1010.jpg],2[bigben/img0902.jpg],1[bigben/img0558.jpg],2[bigben/img1115.jpg],4[bigben/img0031.jpg],3[bigben/img1153.jpg],3[bigben/img0771.jpg],4[bigben/img0698.jpg],4[bigben/img1211.jpg],3[bigben/img1242.jpg],5[bigben/img0760.jpg],5[bigben/img0038.jpg],3[bigben/img0104.jpg],5[bigben/img0183.jpg],5[bigben/img0194.jpg],4[bigben/img0258.jpg],4[bigben/img0707.jpg],2[bigben/img0727.jpg],3[bigben/img1255.jpg],2[bigben/img0356.jpg],2[bigben/img0032.jpg],5[bigben/img0597.jpg],5[bigben/img0346.jpg],
3QD8LUVX4XZ6TSWV4SOBP0SSXKU5XG,"bigben_450-479","sample#command",3NVC2EB65Q0V22XVL7RLH1XZWERY32,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:37:48 PDT 2016","Fri Apr 22 20:41:49 PDT 2016",3[bigben/img0704.jpg],4[bigben/img0621.jpg],3[bigben/img0504.jpg],5[bigben/img0633.jpg],3[bigben/img0572.jpg],4[bigben/img1141.jpg],4[bigben/img0690.jpg],4[bigben/img1010.jpg],4[bigben/img0902.jpg],4[bigben/img0558.jpg],4[bigben/img1115.jpg],3[bigben/img0031.jpg],4[bigben/img1153.jpg],5[bigben/img0771.jpg],4[bigben/img0698.jpg],4[bigben/img1211.jpg],4[bigben/img1242.jpg],4[bigben/img0760.jpg],3[bigben/img0038.jpg],3[bigben/img0104.jpg],4[bigben/img0183.jpg],3[bigben/img0194.jpg],4[bigben/img0258.jpg],3[bigben/img0707.jpg],3[bigben/img0727.jpg],4[bigben/img1255.jpg],4[bigben/img0356.jpg],4[bigben/img0032.jpg],4[bigben/img0597.jpg],3[bigben/img0346.jpg],
