HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3I33IC7ZWF35L23911Z0V5A0MZZ2AB,A39BR7NYRDWC01,Approved,"Wed Apr 20 13:25:47 PDT 2016","Wed Apr 20 13:28:45 PDT 2016",4[bigben/img0660.jpg],5[bigben/img0835.jpg],5[bigben/img0136.jpg],4[bigben/img0016.jpg],4[bigben/img0013.jpg],4[bigben/img0062.jpg],2[bigben/img1187.jpg],4[bigben/img1197.jpg],5[bigben/img0576.jpg],4[bigben/img0898.jpg],3[bigben/img0830.jpg],3[bigben/img0736.jpg],5[bigben/img0606.jpg],5[bigben/img0956.jpg],5[bigben/img1218.jpg],4[bigben/img0416.jpg],4[bigben/img1256.jpg],3[bigben/img0380.jpg],4[bigben/img0407.jpg],4[bigben/img0958.jpg],3[bigben/img1155.jpg],5[bigben/img0506.jpg],5[bigben/img0594.jpg],4[bigben/img0729.jpg],4[bigben/img0884.jpg],5[bigben/img0971.jpg],5[bigben/img1157.jpg],5[bigben/img0337.jpg],5[bigben/img0160.jpg],4[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",37WLF8U1WPRZFGVW0UOSFWU87I3K61,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:25:01 PDT 2016","Wed Apr 20 18:30:39 PDT 2016",3[bigben/img0660.jpg],3[bigben/img0835.jpg],3[bigben/img0136.jpg],3[bigben/img0016.jpg],3[bigben/img0013.jpg],3[bigben/img0062.jpg],3[bigben/img1187.jpg],4[bigben/img1197.jpg],3[bigben/img0576.jpg],4[bigben/img0898.jpg],4[bigben/img0830.jpg],4[bigben/img0736.jpg],4[bigben/img0606.jpg],4[bigben/img0956.jpg],3[bigben/img1218.jpg],2[bigben/img0416.jpg],4[bigben/img1256.jpg],4[bigben/img0380.jpg],4[bigben/img0407.jpg],5[bigben/img0958.jpg],5[bigben/img1155.jpg],4[bigben/img0506.jpg],4[bigben/img0594.jpg],4[bigben/img0729.jpg],4[bigben/img0884.jpg],4[bigben/img0971.jpg],5[bigben/img1157.jpg],4[bigben/img0337.jpg],4[bigben/img0160.jpg],5[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3NJM2BJS4W7P6O1DND63XD8HXEUPC9,A1XC5OV00MECKQ,Approved,"Wed Apr 20 19:54:19 PDT 2016","Wed Apr 20 19:56:06 PDT 2016",4[bigben/img0660.jpg],4[bigben/img0835.jpg],5[bigben/img0136.jpg],4[bigben/img0016.jpg],4[bigben/img0013.jpg],5[bigben/img0062.jpg],2[bigben/img1187.jpg],2[bigben/img1197.jpg],5[bigben/img0576.jpg],5[bigben/img0898.jpg],5[bigben/img0830.jpg],5[bigben/img0736.jpg],2[bigben/img0606.jpg],5[bigben/img0956.jpg],5[bigben/img1218.jpg],3[bigben/img0416.jpg],4[bigben/img1256.jpg],4[bigben/img0380.jpg],4[bigben/img0407.jpg],4[bigben/img0958.jpg],5[bigben/img1155.jpg],5[bigben/img0506.jpg],5[bigben/img0594.jpg],4[bigben/img0729.jpg],4[bigben/img0884.jpg],5[bigben/img0971.jpg],5[bigben/img1157.jpg],5[bigben/img0337.jpg],5[bigben/img0160.jpg],5[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3E47SOBEYQXXP2E9AIGJOG75B0IIC9,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:42:03 PDT 2016","Wed Apr 20 23:59:50 PDT 2016",2[bigben/img0660.jpg],3[bigben/img0835.jpg],4[bigben/img0136.jpg],3[bigben/img0016.jpg],3[bigben/img0013.jpg],4[bigben/img0062.jpg],3[bigben/img1187.jpg],3[bigben/img1197.jpg],5[bigben/img0576.jpg],4[bigben/img0898.jpg],3[bigben/img0830.jpg],3[bigben/img0736.jpg],4[bigben/img0606.jpg],4[bigben/img0956.jpg],4[bigben/img1218.jpg],1[bigben/img0416.jpg],3[bigben/img1256.jpg],4[bigben/img0380.jpg],3[bigben/img0407.jpg],3[bigben/img0958.jpg],5[bigben/img1155.jpg],5[bigben/img0506.jpg],4[bigben/img0594.jpg],4[bigben/img0729.jpg],4[bigben/img0884.jpg],5[bigben/img0971.jpg],4[bigben/img1157.jpg],4[bigben/img0337.jpg],4[bigben/img0160.jpg],4[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3BV8HQ2ZZW2T33MAO3B3LIRC27IA6N,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:20:47 PDT 2016","Thu Apr 21 04:22:49 PDT 2016",3[bigben/img0660.jpg],2[bigben/img0835.jpg],4[bigben/img0136.jpg],1[bigben/img0016.jpg],4[bigben/img0013.jpg],4[bigben/img0062.jpg],3[bigben/img1187.jpg],3[bigben/img1197.jpg],4[bigben/img0576.jpg],4[bigben/img0898.jpg],2[bigben/img0830.jpg],5[bigben/img0736.jpg],4[bigben/img0606.jpg],3[bigben/img0956.jpg],3[bigben/img1218.jpg],1[bigben/img0416.jpg],2[bigben/img1256.jpg],1[bigben/img0380.jpg],1[bigben/img0407.jpg],3[bigben/img0958.jpg],4[bigben/img1155.jpg],4[bigben/img0506.jpg],4[bigben/img0594.jpg],2[bigben/img0729.jpg],2[bigben/img0884.jpg],3[bigben/img0971.jpg],3[bigben/img1157.jpg],1[bigben/img0337.jpg],4[bigben/img0160.jpg],3[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3LWJHTCVCCNH9CM2ESBT5OJU0SYFQ2,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:47:06 PDT 2016","Thu Apr 21 22:48:06 PDT 2016",5[bigben/img0660.jpg],5[bigben/img0835.jpg],5[bigben/img0136.jpg],5[bigben/img0016.jpg],5[bigben/img0013.jpg],5[bigben/img0062.jpg],5[bigben/img1187.jpg],5[bigben/img1197.jpg],5[bigben/img0576.jpg],5[bigben/img0898.jpg],5[bigben/img0830.jpg],5[bigben/img0736.jpg],5[bigben/img0606.jpg],5[bigben/img0956.jpg],5[bigben/img1218.jpg],5[bigben/img0416.jpg],5[bigben/img1256.jpg],5[bigben/img0380.jpg],5[bigben/img0407.jpg],5[bigben/img0958.jpg],5[bigben/img1155.jpg],5[bigben/img0506.jpg],5[bigben/img0594.jpg],5[bigben/img0729.jpg],5[bigben/img0884.jpg],5[bigben/img0971.jpg],5[bigben/img1157.jpg],5[bigben/img0337.jpg],5[bigben/img0160.jpg],5[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3PWWM24LHSZR2EAU43FMZE45XID826,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:35:49 PDT 2016","Fri Apr 22 00:42:33 PDT 2016",4[bigben/img0660.jpg],4[bigben/img0835.jpg],5[bigben/img0136.jpg],5[bigben/img0016.jpg],5[bigben/img0013.jpg],5[bigben/img0062.jpg],5[bigben/img1187.jpg],5[bigben/img1197.jpg],5[bigben/img0576.jpg],4[bigben/img0898.jpg],5[bigben/img0830.jpg],5[bigben/img0736.jpg],5[bigben/img0606.jpg],5[bigben/img0956.jpg],5[bigben/img1218.jpg],5[bigben/img0416.jpg],5[bigben/img1256.jpg],5[bigben/img0380.jpg],4[bigben/img0407.jpg],4[bigben/img0958.jpg],4[bigben/img1155.jpg],5[bigben/img0506.jpg],4[bigben/img0594.jpg],4[bigben/img0729.jpg],5[bigben/img0884.jpg],5[bigben/img0971.jpg],5[bigben/img1157.jpg],5[bigben/img0337.jpg],5[bigben/img0160.jpg],5[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3K5TEWLKGVCTOBK91ZBOE8VUXFMVIQ,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:37:47 PDT 2016","Fri Apr 22 20:40:47 PDT 2016",3[bigben/img0660.jpg],4[bigben/img0835.jpg],4[bigben/img0136.jpg],4[bigben/img0016.jpg],4[bigben/img0013.jpg],4[bigben/img0062.jpg],4[bigben/img1187.jpg],3[bigben/img1197.jpg],4[bigben/img0576.jpg],4[bigben/img0898.jpg],4[bigben/img0830.jpg],4[bigben/img0736.jpg],4[bigben/img0606.jpg],4[bigben/img0956.jpg],4[bigben/img1218.jpg],3[bigben/img0416.jpg],4[bigben/img1256.jpg],4[bigben/img0380.jpg],4[bigben/img0407.jpg],4[bigben/img0958.jpg],5[bigben/img1155.jpg],4[bigben/img0506.jpg],3[bigben/img0594.jpg],5[bigben/img0729.jpg],3[bigben/img0884.jpg],2[bigben/img0971.jpg],4[bigben/img1157.jpg],4[bigben/img0337.jpg],2[bigben/img0160.jpg],3[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3YJ6NA41JBHCE27JX5NPKHLCO7PJPM,A1LPGEEJ8Z5NNR,Approved,"Sat Apr 23 02:06:58 PDT 2016","Sat Apr 23 02:09:02 PDT 2016",4[bigben/img0660.jpg],5[bigben/img0835.jpg],3[bigben/img0136.jpg],4[bigben/img0016.jpg],2[bigben/img0013.jpg],4[bigben/img0062.jpg],4[bigben/img1187.jpg],5[bigben/img1197.jpg],3[bigben/img0576.jpg],2[bigben/img0898.jpg],5[bigben/img0830.jpg],4[bigben/img0736.jpg],3[bigben/img0606.jpg],5[bigben/img0956.jpg],4[bigben/img1218.jpg],1[bigben/img0416.jpg],4[bigben/img1256.jpg],3[bigben/img0380.jpg],3[bigben/img0407.jpg],2[bigben/img0958.jpg],3[bigben/img1155.jpg],4[bigben/img0506.jpg],4[bigben/img0594.jpg],4[bigben/img0729.jpg],1[bigben/img0884.jpg],2[bigben/img0971.jpg],5[bigben/img1157.jpg],5[bigben/img0337.jpg],4[bigben/img0160.jpg],2[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3WJEQKOXA83YWHLDIXZMQM0VV401AV,A2WLTDIILI4K16,Approved,"Sat Apr 23 05:50:20 PDT 2016","Sat Apr 23 05:59:35 PDT 2016",2[bigben/img0660.jpg],3[bigben/img0835.jpg],3[bigben/img0136.jpg],1[bigben/img0016.jpg],2[bigben/img0013.jpg],2[bigben/img0062.jpg],2[bigben/img1187.jpg],2[bigben/img1197.jpg],3[bigben/img0576.jpg],3[bigben/img0898.jpg],3[bigben/img0830.jpg],3[bigben/img0736.jpg],3[bigben/img0606.jpg],2[bigben/img0956.jpg],3[bigben/img1218.jpg],1[bigben/img0416.jpg],2[bigben/img1256.jpg],1[bigben/img0380.jpg],1[bigben/img0407.jpg],2[bigben/img0958.jpg],4[bigben/img1155.jpg],3[bigben/img0506.jpg],3[bigben/img0594.jpg],3[bigben/img0729.jpg],1[bigben/img0884.jpg],2[bigben/img0971.jpg],2[bigben/img1157.jpg],2[bigben/img0337.jpg],3[bigben/img0160.jpg],2[bigben/img0980.jpg],
3QMELQS6Y5CIF0AX0CSOSOK4SYKR6M,"bigben_420-449","sample#command",3L70J4KAZGNSOC1PYQJHRO14K14ADV,AN5R4VVFBTHMY,Approved,"Sat Apr 23 06:22:18 PDT 2016","Sat Apr 23 06:24:11 PDT 2016",3[bigben/img0660.jpg],3[bigben/img0835.jpg],2[bigben/img0136.jpg],3[bigben/img0016.jpg],4[bigben/img0013.jpg],5[bigben/img0062.jpg],3[bigben/img1187.jpg],3[bigben/img1197.jpg],5[bigben/img0576.jpg],5[bigben/img0898.jpg],4[bigben/img0830.jpg],2[bigben/img0736.jpg],5[bigben/img0606.jpg],3[bigben/img0956.jpg],2[bigben/img1218.jpg],1[bigben/img0416.jpg],4[bigben/img1256.jpg],4[bigben/img0380.jpg],3[bigben/img0407.jpg],4[bigben/img0958.jpg],5[bigben/img1155.jpg],5[bigben/img0506.jpg],5[bigben/img0594.jpg],3[bigben/img0729.jpg],1[bigben/img0884.jpg],5[bigben/img0971.jpg],4[bigben/img1157.jpg],3[bigben/img0337.jpg],2[bigben/img0160.jpg],5[bigben/img0980.jpg],
