HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",34S9DKFK73Q266Q53QB0QFV50LGNYK,A39BR7NYRDWC01,Approved,"Wed Apr 20 11:09:31 PDT 2016","Wed Apr 20 11:12:45 PDT 2016",4[bigben/img1278.jpg],5[bigben/img1047.jpg],3[bigben/img0916.jpg],5[bigben/img1193.jpg],5[bigben/img0903.jpg],3[bigben/img1055.jpg],5[bigben/img0454.jpg],5[bigben/img0612.jpg],4[bigben/img0063.jpg],5[bigben/img0625.jpg],5[bigben/img0110.jpg],5[bigben/img1220.jpg],4[bigben/img1174.jpg],3[bigben/img1164.jpg],5[bigben/img1087.jpg],5[bigben/img0333.jpg],5[bigben/img0568.jpg],4[bigben/img0448.jpg],5[bigben/img0964.jpg],4[bigben/img1121.jpg],5[bigben/img0519.jpg],4[bigben/img0792.jpg],4[bigben/img0287.jpg],4[bigben/img0631.jpg],4[bigben/img1061.jpg],4[bigben/img0195.jpg],3[bigben/img0784.jpg],4[bigben/img0699.jpg],4[bigben/img1099.jpg],4[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",38SKSKU7R1YQS68FNV9IRZXS596LI2,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:36:19 PDT 2016","Wed Apr 20 18:57:56 PDT 2016",4[bigben/img1278.jpg],4[bigben/img1047.jpg],4[bigben/img0916.jpg],4[bigben/img1193.jpg],4[bigben/img0903.jpg],4[bigben/img1055.jpg],4[bigben/img0454.jpg],4[bigben/img0612.jpg],4[bigben/img0063.jpg],4[bigben/img0625.jpg],4[bigben/img0110.jpg],4[bigben/img1220.jpg],4[bigben/img1174.jpg],4[bigben/img1164.jpg],4[bigben/img1087.jpg],4[bigben/img0333.jpg],4[bigben/img0568.jpg],4[bigben/img0448.jpg],4[bigben/img0964.jpg],4[bigben/img1121.jpg],4[bigben/img0519.jpg],4[bigben/img0792.jpg],4[bigben/img0287.jpg],4[bigben/img0631.jpg],4[bigben/img1061.jpg],4[bigben/img0195.jpg],5[bigben/img0784.jpg],5[bigben/img0699.jpg],5[bigben/img1099.jpg],5[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",3OVHNO1VE62TPK9XAIZG8HSDSDDDZI,A1XC5OV00MECKQ,Approved,"Wed Apr 20 19:51:17 PDT 2016","Wed Apr 20 19:52:56 PDT 2016",4[bigben/img1278.jpg],5[bigben/img1047.jpg],4[bigben/img0916.jpg],5[bigben/img1193.jpg],5[bigben/img0903.jpg],4[bigben/img1055.jpg],2[bigben/img0454.jpg],2[bigben/img0612.jpg],4[bigben/img0063.jpg],4[bigben/img0625.jpg],4[bigben/img0110.jpg],4[bigben/img1220.jpg],5[bigben/img1174.jpg],4[bigben/img1164.jpg],4[bigben/img1087.jpg],4[bigben/img0333.jpg],4[bigben/img0568.jpg],4[bigben/img0448.jpg],5[bigben/img0964.jpg],5[bigben/img1121.jpg],5[bigben/img0519.jpg],5[bigben/img0792.jpg],5[bigben/img0287.jpg],4[bigben/img0631.jpg],2[bigben/img1061.jpg],4[bigben/img0195.jpg],3[bigben/img0784.jpg],5[bigben/img0699.jpg],4[bigben/img1099.jpg],5[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",3BDCF01OGXVCI6NKRDVLDNRGVSBYLS,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 20:00:28 PDT 2016","Wed Apr 20 20:06:06 PDT 2016",4[bigben/img1278.jpg],5[bigben/img1047.jpg],3[bigben/img0916.jpg],5[bigben/img1193.jpg],4[bigben/img0903.jpg],4[bigben/img1055.jpg],5[bigben/img0454.jpg],5[bigben/img0612.jpg],4[bigben/img0063.jpg],4[bigben/img0625.jpg],5[bigben/img0110.jpg],5[bigben/img1220.jpg],5[bigben/img1174.jpg],5[bigben/img1164.jpg],4[bigben/img1087.jpg],5[bigben/img0333.jpg],4[bigben/img0568.jpg],5[bigben/img0448.jpg],5[bigben/img0964.jpg],5[bigben/img1121.jpg],4[bigben/img0519.jpg],5[bigben/img0792.jpg],4[bigben/img0287.jpg],5[bigben/img0631.jpg],3[bigben/img1061.jpg],5[bigben/img0195.jpg],5[bigben/img0784.jpg],4[bigben/img0699.jpg],4[bigben/img1099.jpg],5[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",3YGXWBAF70I3HVFUPTEFUFXM6JX4CY,A39J5RLVDTM6SM,Approved,"Thu Apr 21 04:10:57 PDT 2016","Thu Apr 21 04:16:57 PDT 2016",4[bigben/img1278.jpg],4[bigben/img1047.jpg],4[bigben/img0916.jpg],4[bigben/img1193.jpg],4[bigben/img0903.jpg],2[bigben/img1055.jpg],3[bigben/img0454.jpg],4[bigben/img0612.jpg],4[bigben/img0063.jpg],4[bigben/img0625.jpg],5[bigben/img0110.jpg],1[bigben/img1220.jpg],3[bigben/img1174.jpg],3[bigben/img1164.jpg],4[bigben/img1087.jpg],4[bigben/img0333.jpg],4[bigben/img0568.jpg],5[bigben/img0448.jpg],5[bigben/img0964.jpg],3[bigben/img1121.jpg],4[bigben/img0519.jpg],4[bigben/img0792.jpg],5[bigben/img0287.jpg],4[bigben/img0631.jpg],4[bigben/img1061.jpg],5[bigben/img0195.jpg],5[bigben/img0784.jpg],5[bigben/img0699.jpg],5[bigben/img1099.jpg],5[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",3634BBTX0OV4SEYJ1K6KWMS89IHIF2,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:43:23 PDT 2016","Thu Apr 21 22:43:53 PDT 2016",4[bigben/img1278.jpg],5[bigben/img1047.jpg],5[bigben/img0916.jpg],5[bigben/img1193.jpg],5[bigben/img0903.jpg],5[bigben/img1055.jpg],5[bigben/img0454.jpg],5[bigben/img0612.jpg],5[bigben/img0063.jpg],5[bigben/img0625.jpg],5[bigben/img0110.jpg],5[bigben/img1220.jpg],5[bigben/img1174.jpg],5[bigben/img1164.jpg],5[bigben/img1087.jpg],5[bigben/img0333.jpg],5[bigben/img0568.jpg],5[bigben/img0448.jpg],5[bigben/img0964.jpg],5[bigben/img1121.jpg],5[bigben/img0519.jpg],5[bigben/img0792.jpg],5[bigben/img0287.jpg],5[bigben/img0631.jpg],5[bigben/img1061.jpg],5[bigben/img0195.jpg],5[bigben/img0784.jpg],5[bigben/img0699.jpg],5[bigben/img1099.jpg],5[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",35GMH2SV3EIMIM9Q44ZJY13U9Q3EOD,A2V68RNQVUAY70,Approved,"Thu Apr 21 23:12:11 PDT 2016","Thu Apr 21 23:14:07 PDT 2016",3[bigben/img1278.jpg],2[bigben/img1047.jpg],2[bigben/img0916.jpg],4[bigben/img1193.jpg],4[bigben/img0903.jpg],4[bigben/img1055.jpg],4[bigben/img0454.jpg],4[bigben/img0612.jpg],2[bigben/img0063.jpg],4[bigben/img0625.jpg],4[bigben/img0110.jpg],3[bigben/img1220.jpg],4[bigben/img1174.jpg],3[bigben/img1164.jpg],4[bigben/img1087.jpg],3[bigben/img0333.jpg],4[bigben/img0568.jpg],4[bigben/img0448.jpg],3[bigben/img0964.jpg],3[bigben/img1121.jpg],3[bigben/img0519.jpg],3[bigben/img0792.jpg],4[bigben/img0287.jpg],4[bigben/img0631.jpg],3[bigben/img1061.jpg],3[bigben/img0195.jpg],2[bigben/img0784.jpg],3[bigben/img0699.jpg],4[bigben/img1099.jpg],3[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",3JMSRU9HQIVH86IN5GLXTTX25J3EVI,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:11:02 PDT 2016","Fri Apr 22 00:23:33 PDT 2016",2[bigben/img1278.jpg],4[bigben/img1047.jpg],4[bigben/img0916.jpg],4[bigben/img1193.jpg],5[bigben/img0903.jpg],4[bigben/img1055.jpg],4[bigben/img0454.jpg],5[bigben/img0612.jpg],4[bigben/img0063.jpg],4[bigben/img0625.jpg],4[bigben/img0110.jpg],4[bigben/img1220.jpg],4[bigben/img1174.jpg],3[bigben/img1164.jpg],3[bigben/img1087.jpg],4[bigben/img0333.jpg],4[bigben/img0568.jpg],4[bigben/img0448.jpg],5[bigben/img0964.jpg],4[bigben/img1121.jpg],3[bigben/img0519.jpg],3[bigben/img0792.jpg],4[bigben/img0287.jpg],5[bigben/img0631.jpg],5[bigben/img1061.jpg],5[bigben/img0195.jpg],5[bigben/img0784.jpg],5[bigben/img0699.jpg],4[bigben/img1099.jpg],5[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",3HFNH7HEMHFNNCIXPCHBN9J6176QGK,A211NMO6U0B8FX,Approved,"Fri Apr 22 01:38:00 PDT 2016","Fri Apr 22 01:42:17 PDT 2016",3[bigben/img1278.jpg],4[bigben/img1047.jpg],1[bigben/img0916.jpg],2[bigben/img1193.jpg],2[bigben/img0903.jpg],3[bigben/img1055.jpg],2[bigben/img0454.jpg],2[bigben/img0612.jpg],3[bigben/img0063.jpg],1[bigben/img0625.jpg],3[bigben/img0110.jpg],1[bigben/img1220.jpg],3[bigben/img1174.jpg],2[bigben/img1164.jpg],2[bigben/img1087.jpg],2[bigben/img0333.jpg],2[bigben/img0568.jpg],2[bigben/img0448.jpg],2[bigben/img0964.jpg],3[bigben/img1121.jpg],3[bigben/img0519.jpg],3[bigben/img0792.jpg],4[bigben/img0287.jpg],4[bigben/img0631.jpg],2[bigben/img1061.jpg],4[bigben/img0195.jpg],3[bigben/img0784.jpg],3[bigben/img0699.jpg],3[bigben/img1099.jpg],2[bigben/img0616.jpg],
3UYRNV2KIT0K4G1T0K853IBLXWL8N1,"bigben_240-269","sample#command",39L1G8WVWQSYCWMS9IKC3EMPPQL134,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:21:14 PDT 2016","Fri Apr 22 05:22:42 PDT 2016",2[bigben/img1278.jpg],2[bigben/img1047.jpg],1[bigben/img0916.jpg],2[bigben/img1193.jpg],2[bigben/img0903.jpg],1[bigben/img1055.jpg],2[bigben/img0454.jpg],2[bigben/img0612.jpg],2[bigben/img0063.jpg],3[bigben/img0625.jpg],4[bigben/img0110.jpg],4[bigben/img1220.jpg],3[bigben/img1174.jpg],2[bigben/img1164.jpg],2[bigben/img1087.jpg],2[bigben/img0333.jpg],1[bigben/img0568.jpg],1[bigben/img0448.jpg],1[bigben/img0964.jpg],1[bigben/img1121.jpg],2[bigben/img0519.jpg],4[bigben/img0792.jpg],4[bigben/img0287.jpg],3[bigben/img0631.jpg],5[bigben/img1061.jpg],2[bigben/img0195.jpg],3[bigben/img0784.jpg],3[bigben/img0699.jpg],2[bigben/img1099.jpg],3[bigben/img0616.jpg],
