HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",3DPNQGW4LLGE1E6TF21C8F5CAUT467,A1XC5OV00MECKQ,Approved,"Wed Apr 20 11:09:52 PDT 2016","Wed Apr 20 11:12:37 PDT 2016",2[bigben/img0617.jpg],5[bigben/img0899.jpg],3[bigben/img1191.jpg],3[bigben/img0078.jpg],3[bigben/img0786.jpg],5[bigben/img0524.jpg],3[bigben/img0411.jpg],3[bigben/img0357.jpg],3[bigben/img1091.jpg],4[bigben/img1209.jpg],3[bigben/img0864.jpg],3[bigben/img0824.jpg],4[bigben/img0383.jpg],5[bigben/img0425.jpg],3[bigben/img0668.jpg],5[bigben/img0887.jpg],4[bigben/img0564.jpg],4[bigben/img0306.jpg],4[bigben/img0178.jpg],4[bigben/img0841.jpg],1[bigben/img0281.jpg],2[bigben/img0723.jpg],2[bigben/img0766.jpg],5[bigben/img0449.jpg],4[bigben/img0081.jpg],5[bigben/img0912.jpg],5[bigben/img0325.jpg],4[bigben/img0105.jpg],4[bigben/img0113.jpg],4[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",336KAV9KYQT6HK1CH7DGYRS7PSD2Y0,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:36:04 PDT 2016","Wed Apr 20 18:46:34 PDT 2016",4[bigben/img0617.jpg],4[bigben/img0899.jpg],4[bigben/img1191.jpg],4[bigben/img0078.jpg],5[bigben/img0786.jpg],4[bigben/img0524.jpg],4[bigben/img0411.jpg],4[bigben/img0357.jpg],4[bigben/img1091.jpg],5[bigben/img1209.jpg],4[bigben/img0864.jpg],4[bigben/img0824.jpg],4[bigben/img0383.jpg],4[bigben/img0425.jpg],4[bigben/img0668.jpg],4[bigben/img0887.jpg],4[bigben/img0564.jpg],4[bigben/img0306.jpg],4[bigben/img0178.jpg],4[bigben/img0841.jpg],4[bigben/img0281.jpg],4[bigben/img0723.jpg],5[bigben/img0766.jpg],4[bigben/img0449.jpg],4[bigben/img0081.jpg],4[bigben/img0912.jpg],4[bigben/img0325.jpg],4[bigben/img0105.jpg],4[bigben/img0113.jpg],4[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",3U088ZLJVKUVW53YNJREU6ECHM10WN,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 20:00:34 PDT 2016","Wed Apr 20 20:09:55 PDT 2016",3[bigben/img0617.jpg],5[bigben/img0899.jpg],4[bigben/img1191.jpg],4[bigben/img0078.jpg],4[bigben/img0786.jpg],5[bigben/img0524.jpg],3[bigben/img0411.jpg],4[bigben/img0357.jpg],4[bigben/img1091.jpg],4[bigben/img1209.jpg],4[bigben/img0864.jpg],5[bigben/img0824.jpg],4[bigben/img0383.jpg],4[bigben/img0425.jpg],4[bigben/img0668.jpg],4[bigben/img0887.jpg],5[bigben/img0564.jpg],4[bigben/img0306.jpg],4[bigben/img0178.jpg],4[bigben/img0841.jpg],5[bigben/img0281.jpg],3[bigben/img0723.jpg],4[bigben/img0766.jpg],5[bigben/img0449.jpg],4[bigben/img0081.jpg],5[bigben/img0912.jpg],4[bigben/img0325.jpg],4[bigben/img0105.jpg],4[bigben/img0113.jpg],4[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",3JZQSN0I3QBQWNSOBW6HBAFSU5PFG7,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:44:39 PDT 2016","Thu Apr 21 22:45:04 PDT 2016",5[bigben/img0617.jpg],5[bigben/img0899.jpg],5[bigben/img1191.jpg],5[bigben/img0078.jpg],5[bigben/img0786.jpg],5[bigben/img0524.jpg],5[bigben/img0411.jpg],5[bigben/img0357.jpg],5[bigben/img1091.jpg],5[bigben/img1209.jpg],5[bigben/img0864.jpg],5[bigben/img0824.jpg],5[bigben/img0383.jpg],5[bigben/img0425.jpg],5[bigben/img0668.jpg],5[bigben/img0887.jpg],5[bigben/img0564.jpg],5[bigben/img0306.jpg],5[bigben/img0178.jpg],5[bigben/img0841.jpg],5[bigben/img0281.jpg],5[bigben/img0723.jpg],5[bigben/img0766.jpg],5[bigben/img0449.jpg],5[bigben/img0081.jpg],5[bigben/img0912.jpg],5[bigben/img0325.jpg],5[bigben/img0105.jpg],5[bigben/img0113.jpg],5[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",3XC1O3LBOSNG1KOQH78M56Z1HVMTL2,A99QRHR8P2UHN,Approved,"Thu Apr 21 23:52:46 PDT 2016","Thu Apr 21 23:57:24 PDT 2016",2[bigben/img0617.jpg],5[bigben/img0899.jpg],4[bigben/img1191.jpg],3[bigben/img0078.jpg],2[bigben/img0786.jpg],5[bigben/img0524.jpg],4[bigben/img0411.jpg],4[bigben/img0357.jpg],5[bigben/img1091.jpg],5[bigben/img1209.jpg],5[bigben/img0864.jpg],5[bigben/img0824.jpg],4[bigben/img0383.jpg],3[bigben/img0425.jpg],4[bigben/img0668.jpg],4[bigben/img0887.jpg],4[bigben/img0564.jpg],5[bigben/img0306.jpg],3[bigben/img0178.jpg],4[bigben/img0841.jpg],3[bigben/img0281.jpg],3[bigben/img0723.jpg],3[bigben/img0766.jpg],3[bigben/img0449.jpg],3[bigben/img0081.jpg],4[bigben/img0912.jpg],5[bigben/img0325.jpg],5[bigben/img0105.jpg],4[bigben/img0113.jpg],4[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",3EQHHY4HQSTYUQZZ5KT8PYOF5BWG5A,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:26:44 PDT 2016","Fri Apr 22 05:27:59 PDT 2016",4[bigben/img0617.jpg],3[bigben/img0899.jpg],5[bigben/img1191.jpg],4[bigben/img0078.jpg],3[bigben/img0786.jpg],2[bigben/img0524.jpg],2[bigben/img0411.jpg],4[bigben/img0357.jpg],3[bigben/img1091.jpg],5[bigben/img1209.jpg],2[bigben/img0864.jpg],2[bigben/img0824.jpg],2[bigben/img0383.jpg],3[bigben/img0425.jpg],4[bigben/img0668.jpg],5[bigben/img0887.jpg],3[bigben/img0564.jpg],3[bigben/img0306.jpg],4[bigben/img0178.jpg],2[bigben/img0841.jpg],4[bigben/img0281.jpg],2[bigben/img0723.jpg],2[bigben/img0766.jpg],2[bigben/img0449.jpg],3[bigben/img0081.jpg],4[bigben/img0912.jpg],5[bigben/img0325.jpg],2[bigben/img0105.jpg],3[bigben/img0113.jpg],4[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",31UV0MXWNQDCQH5UV8TBAA1VKRB5IK,A39BR7NYRDWC01,Approved,"Fri Apr 22 18:22:51 PDT 2016","Fri Apr 22 18:24:16 PDT 2016",4[bigben/img0617.jpg],5[bigben/img0899.jpg],5[bigben/img1191.jpg],4[bigben/img0078.jpg],4[bigben/img0786.jpg],5[bigben/img0524.jpg],4[bigben/img0411.jpg],4[bigben/img0357.jpg],4[bigben/img1091.jpg],4[bigben/img1209.jpg],5[bigben/img0864.jpg],4[bigben/img0824.jpg],4[bigben/img0383.jpg],5[bigben/img0425.jpg],5[bigben/img0668.jpg],4[bigben/img0887.jpg],5[bigben/img0564.jpg],4[bigben/img0306.jpg],4[bigben/img0178.jpg],5[bigben/img0841.jpg],5[bigben/img0281.jpg],4[bigben/img0723.jpg],5[bigben/img0766.jpg],5[bigben/img0449.jpg],4[bigben/img0081.jpg],4[bigben/img0912.jpg],4[bigben/img0325.jpg],4[bigben/img0105.jpg],5[bigben/img0113.jpg],5[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",3OXV7EAXLERTJINPFOWTYAD6X4Z63B,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:37:25 PDT 2016","Fri Apr 22 20:39:13 PDT 2016",3[bigben/img0617.jpg],3[bigben/img0899.jpg],4[bigben/img1191.jpg],3[bigben/img0078.jpg],3[bigben/img0786.jpg],5[bigben/img0524.jpg],3[bigben/img0411.jpg],3[bigben/img0357.jpg],4[bigben/img1091.jpg],3[bigben/img1209.jpg],4[bigben/img0864.jpg],4[bigben/img0824.jpg],4[bigben/img0383.jpg],4[bigben/img0425.jpg],4[bigben/img0668.jpg],4[bigben/img0887.jpg],4[bigben/img0564.jpg],4[bigben/img0306.jpg],4[bigben/img0178.jpg],4[bigben/img0841.jpg],3[bigben/img0281.jpg],3[bigben/img0723.jpg],3[bigben/img0766.jpg],4[bigben/img0449.jpg],3[bigben/img0081.jpg],4[bigben/img0912.jpg],3[bigben/img0325.jpg],4[bigben/img0105.jpg],4[bigben/img0113.jpg],3[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",39ASUFLU6X89CVNI5VMFHEUNLY4EXM,A1LPGEEJ8Z5NNR,Approved,"Sat Apr 23 03:03:15 PDT 2016","Sat Apr 23 03:05:34 PDT 2016",1[bigben/img0617.jpg],5[bigben/img0899.jpg],5[bigben/img1191.jpg],4[bigben/img0078.jpg],5[bigben/img0786.jpg],4[bigben/img0524.jpg],4[bigben/img0411.jpg],3[bigben/img0357.jpg],3[bigben/img1091.jpg],2[bigben/img1209.jpg],5[bigben/img0864.jpg],5[bigben/img0824.jpg],3[bigben/img0383.jpg],3[bigben/img0425.jpg],4[bigben/img0668.jpg],5[bigben/img0887.jpg],2[bigben/img0564.jpg],5[bigben/img0306.jpg],5[bigben/img0178.jpg],5[bigben/img0841.jpg],2[bigben/img0281.jpg],4[bigben/img0723.jpg],4[bigben/img0766.jpg],5[bigben/img0449.jpg],3[bigben/img0081.jpg],3[bigben/img0912.jpg],2[bigben/img0325.jpg],4[bigben/img0105.jpg],4[bigben/img0113.jpg],5[bigben/img1134.jpg],
3X7837UUADZ1HCRKS7JFQXYDIHQJ6M,"bigben_210-239","sample#command",39OWYR0EPKSQIEDO52SNIAMWZ5KFYI,A2WLTDIILI4K16,Approved,"Sat Apr 23 05:33:06 PDT 2016","Sat Apr 23 05:49:34 PDT 2016",4[bigben/img0617.jpg],3[bigben/img0899.jpg],2[bigben/img1191.jpg],2[bigben/img0078.jpg],3[bigben/img0786.jpg],4[bigben/img0524.jpg],3[bigben/img0411.jpg],3[bigben/img0357.jpg],3[bigben/img1091.jpg],4[bigben/img1209.jpg],4[bigben/img0864.jpg],4[bigben/img0824.jpg],4[bigben/img0383.jpg],2[bigben/img0425.jpg],3[bigben/img0668.jpg],3[bigben/img0887.jpg],3[bigben/img0564.jpg],3[bigben/img0306.jpg],4[bigben/img0178.jpg],3[bigben/img0841.jpg],3[bigben/img0281.jpg],3[bigben/img0723.jpg],3[bigben/img0766.jpg],3[bigben/img0449.jpg],3[bigben/img0081.jpg],4[bigben/img0912.jpg],3[bigben/img0325.jpg],2[bigben/img0105.jpg],4[bigben/img0113.jpg],3[bigben/img1134.jpg],
