HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",3R2PKQ87NW9AYOQ0N7AXRCCH5BLIMK,A2RNZ791A2QQWM,Approved,"Wed Apr 20 08:22:24 PDT 2016","Wed Apr 20 08:25:33 PDT 2016",4[bigben/img0868.jpg],5[bigben/img0340.jpg],5[bigben/img0146.jpg],2[bigben/img0433.jpg],3[bigben/img0989.jpg],5[bigben/img0140.jpg],4[bigben/img0332.jpg],5[bigben/img1095.jpg],3[bigben/img1089.jpg],4[bigben/img1112.jpg],5[bigben/img0360.jpg],1[bigben/img0429.jpg],5[bigben/img1210.jpg],5[bigben/img1082.jpg],4[bigben/img0795.jpg],4[bigben/img0748.jpg],4[bigben/img1152.jpg],1[bigben/img1113.jpg],5[bigben/img0875.jpg],5[bigben/img0149.jpg],4[bigben/img0327.jpg],3[bigben/img0217.jpg],5[bigben/img1217.jpg],2[bigben/img0586.jpg],4[bigben/img1064.jpg],4[bigben/img0021.jpg],3[bigben/img1116.jpg],5[bigben/img0846.jpg],5[bigben/img0881.jpg],5[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",3QIYRE09Y3I5G0F2R14RCSKVT04N1J,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:38:17 PDT 2016","Wed Apr 20 10:41:45 PDT 2016",3[bigben/img0868.jpg],4[bigben/img0340.jpg],4[bigben/img0146.jpg],4[bigben/img0433.jpg],4[bigben/img0989.jpg],5[bigben/img0140.jpg],5[bigben/img0332.jpg],5[bigben/img1095.jpg],2[bigben/img1089.jpg],4[bigben/img1112.jpg],5[bigben/img0360.jpg],5[bigben/img0429.jpg],5[bigben/img1210.jpg],3[bigben/img1082.jpg],5[bigben/img0795.jpg],4[bigben/img0748.jpg],5[bigben/img1152.jpg],5[bigben/img1113.jpg],4[bigben/img0875.jpg],4[bigben/img0149.jpg],4[bigben/img0327.jpg],5[bigben/img0217.jpg],5[bigben/img1217.jpg],5[bigben/img0586.jpg],5[bigben/img1064.jpg],4[bigben/img0021.jpg],5[bigben/img1116.jpg],4[bigben/img0846.jpg],2[bigben/img0881.jpg],2[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",3XCC1ODXDLCEC2RB5NBNMDXD29LRQ6,A39BR7NYRDWC01,Approved,"Wed Apr 20 10:45:00 PDT 2016","Wed Apr 20 10:47:38 PDT 2016",5[bigben/img0868.jpg],5[bigben/img0340.jpg],5[bigben/img0146.jpg],5[bigben/img0433.jpg],5[bigben/img0989.jpg],5[bigben/img0140.jpg],5[bigben/img0332.jpg],5[bigben/img1095.jpg],5[bigben/img1089.jpg],5[bigben/img1112.jpg],5[bigben/img0360.jpg],5[bigben/img0429.jpg],4[bigben/img1210.jpg],5[bigben/img1082.jpg],5[bigben/img0795.jpg],5[bigben/img0748.jpg],5[bigben/img1152.jpg],4[bigben/img1113.jpg],5[bigben/img0875.jpg],3[bigben/img0149.jpg],3[bigben/img0327.jpg],5[bigben/img0217.jpg],5[bigben/img1217.jpg],3[bigben/img0586.jpg],4[bigben/img1064.jpg],5[bigben/img0021.jpg],5[bigben/img1116.jpg],5[bigben/img0846.jpg],5[bigben/img0881.jpg],5[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",34Z02EIMISE34OZ4SEM37M7DDS70TL,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 18:15:08 PDT 2016","Wed Apr 20 18:17:54 PDT 2016",3[bigben/img0868.jpg],4[bigben/img0340.jpg],5[bigben/img0146.jpg],4[bigben/img0433.jpg],4[bigben/img0989.jpg],5[bigben/img0140.jpg],4[bigben/img0332.jpg],5[bigben/img1095.jpg],4[bigben/img1089.jpg],4[bigben/img1112.jpg],5[bigben/img0360.jpg],5[bigben/img0429.jpg],5[bigben/img1210.jpg],4[bigben/img1082.jpg],4[bigben/img0795.jpg],4[bigben/img0748.jpg],5[bigben/img1152.jpg],3[bigben/img1113.jpg],5[bigben/img0875.jpg],4[bigben/img0149.jpg],5[bigben/img0327.jpg],5[bigben/img0217.jpg],4[bigben/img1217.jpg],3[bigben/img0586.jpg],5[bigben/img1064.jpg],5[bigben/img0021.jpg],4[bigben/img1116.jpg],5[bigben/img0846.jpg],4[bigben/img0881.jpg],5[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",3YDTZAI2WXHJUS5W9WPVDJEV2LW14T,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:16:15 PDT 2016","Wed Apr 20 18:34:16 PDT 2016",4[bigben/img0868.jpg],4[bigben/img0340.jpg],4[bigben/img0146.jpg],4[bigben/img0433.jpg],4[bigben/img0989.jpg],4[bigben/img0140.jpg],4[bigben/img0332.jpg],4[bigben/img1095.jpg],4[bigben/img1089.jpg],4[bigben/img1112.jpg],4[bigben/img0360.jpg],4[bigben/img0429.jpg],4[bigben/img1210.jpg],4[bigben/img1082.jpg],5[bigben/img0795.jpg],4[bigben/img0748.jpg],4[bigben/img1152.jpg],5[bigben/img1113.jpg],5[bigben/img0875.jpg],4[bigben/img0149.jpg],4[bigben/img0327.jpg],5[bigben/img0217.jpg],5[bigben/img1217.jpg],4[bigben/img0586.jpg],5[bigben/img1064.jpg],4[bigben/img0021.jpg],5[bigben/img1116.jpg],5[bigben/img0846.jpg],5[bigben/img0881.jpg],5[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",37UQDCYH6XWWZR3DI87RNJ5LIR3V76,AFG3FXABPGSZS,Approved,"Wed Apr 20 19:51:29 PDT 2016","Wed Apr 20 19:55:20 PDT 2016",3[bigben/img0868.jpg],3[bigben/img0340.jpg],3[bigben/img0146.jpg],4[bigben/img0433.jpg],3[bigben/img0989.jpg],4[bigben/img0140.jpg],2[bigben/img0332.jpg],3[bigben/img1095.jpg],3[bigben/img1089.jpg],2[bigben/img1112.jpg],3[bigben/img0360.jpg],3[bigben/img0429.jpg],2[bigben/img1210.jpg],2[bigben/img1082.jpg],3[bigben/img0795.jpg],2[bigben/img0748.jpg],2[bigben/img1152.jpg],2[bigben/img1113.jpg],3[bigben/img0875.jpg],3[bigben/img0149.jpg],2[bigben/img0327.jpg],3[bigben/img0217.jpg],2[bigben/img1217.jpg],2[bigben/img0586.jpg],4[bigben/img1064.jpg],3[bigben/img0021.jpg],2[bigben/img1116.jpg],2[bigben/img0846.jpg],4[bigben/img0881.jpg],4[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",33F859I566EEJ2BJQ023DK08T2PHBU,A1LBRPXBJ80959,Approved,"Wed Apr 20 21:01:38 PDT 2016","Wed Apr 20 21:06:59 PDT 2016",1[bigben/img0868.jpg],2[bigben/img0340.jpg],4[bigben/img0146.jpg],2[bigben/img0433.jpg],2[bigben/img0989.jpg],4[bigben/img0140.jpg],2[bigben/img0332.jpg],4[bigben/img1095.jpg],3[bigben/img1089.jpg],3[bigben/img1112.jpg],4[bigben/img0360.jpg],2[bigben/img0429.jpg],4[bigben/img1210.jpg],3[bigben/img1082.jpg],2[bigben/img0795.jpg],3[bigben/img0748.jpg],2[bigben/img1152.jpg],3[bigben/img1113.jpg],4[bigben/img0875.jpg],4[bigben/img0149.jpg],1[bigben/img0327.jpg],2[bigben/img0217.jpg],3[bigben/img1217.jpg],4[bigben/img0586.jpg],4[bigben/img1064.jpg],3[bigben/img0021.jpg],5[bigben/img1116.jpg],4[bigben/img0846.jpg],2[bigben/img0881.jpg],2[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",3GU1KF0O4I26WJ979DA8MT2ZFUTBPP,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:33:55 PDT 2016","Thu Apr 21 04:35:28 PDT 2016",3[bigben/img0868.jpg],2[bigben/img0340.jpg],2[bigben/img0146.jpg],2[bigben/img0433.jpg],2[bigben/img0989.jpg],3[bigben/img0140.jpg],2[bigben/img0332.jpg],3[bigben/img1095.jpg],2[bigben/img1089.jpg],2[bigben/img1112.jpg],3[bigben/img0360.jpg],4[bigben/img0429.jpg],2[bigben/img1210.jpg],3[bigben/img1082.jpg],3[bigben/img0795.jpg],2[bigben/img0748.jpg],2[bigben/img1152.jpg],2[bigben/img1113.jpg],3[bigben/img0875.jpg],4[bigben/img0149.jpg],4[bigben/img0327.jpg],3[bigben/img0217.jpg],3[bigben/img1217.jpg],2[bigben/img0586.jpg],2[bigben/img1064.jpg],2[bigben/img0021.jpg],3[bigben/img1116.jpg],3[bigben/img0846.jpg],4[bigben/img0881.jpg],4[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",3YDTZAI2WXHJUS5W9WPVDJEV2PF41N,A39J5RLVDTM6SM,Approved,"Thu Apr 21 18:21:10 PDT 2016","Thu Apr 21 18:30:04 PDT 2016",3[bigben/img0868.jpg],4[bigben/img0340.jpg],5[bigben/img0146.jpg],4[bigben/img0433.jpg],3[bigben/img0989.jpg],5[bigben/img0140.jpg],5[bigben/img0332.jpg],5[bigben/img1095.jpg],5[bigben/img1089.jpg],5[bigben/img1112.jpg],5[bigben/img0360.jpg],5[bigben/img0429.jpg],2[bigben/img1210.jpg],1[bigben/img1082.jpg],3[bigben/img0795.jpg],4[bigben/img0748.jpg],4[bigben/img1152.jpg],5[bigben/img1113.jpg],5[bigben/img0875.jpg],5[bigben/img0149.jpg],5[bigben/img0327.jpg],5[bigben/img0217.jpg],4[bigben/img1217.jpg],4[bigben/img0586.jpg],5[bigben/img1064.jpg],4[bigben/img0021.jpg],5[bigben/img1116.jpg],5[bigben/img0846.jpg],5[bigben/img0881.jpg],5[bigben/img0117.jpg],
3XJOUITW8USO5X69JABHY82DGKTTQY,"bigben_30-59","sample#command",3M23Y66PO28X3Z8453XU6ILIPHH6SG,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:50:31 PDT 2016","Thu Apr 21 22:51:19 PDT 2016",5[bigben/img0868.jpg],5[bigben/img0340.jpg],5[bigben/img0146.jpg],5[bigben/img0433.jpg],5[bigben/img0989.jpg],5[bigben/img0140.jpg],5[bigben/img0332.jpg],5[bigben/img1095.jpg],5[bigben/img1089.jpg],5[bigben/img1112.jpg],5[bigben/img0360.jpg],5[bigben/img0429.jpg],5[bigben/img1210.jpg],5[bigben/img1082.jpg],5[bigben/img0795.jpg],5[bigben/img0748.jpg],5[bigben/img1152.jpg],5[bigben/img1113.jpg],5[bigben/img0875.jpg],5[bigben/img0149.jpg],5[bigben/img0327.jpg],5[bigben/img0217.jpg],5[bigben/img1217.jpg],5[bigben/img0586.jpg],5[bigben/img1064.jpg],5[bigben/img0021.jpg],5[bigben/img1116.jpg],5[bigben/img0846.jpg],5[bigben/img0881.jpg],5[bigben/img0117.jpg],
