HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3WI0P0II61TKNTN60153MEQEJUYDRP,A1XC5OV00MECKQ,Approved,"Wed Apr 20 11:01:53 PDT 2016","Wed Apr 20 11:04:04 PDT 2016",4[bigben/img1060.jpg],3[bigben/img0214.jpg],4[bigben/img0354.jpg],4[bigben/img0279.jpg],5[bigben/img1019.jpg],5[bigben/img1281.jpg],4[bigben/img0502.jpg],5[bigben/img0059.jpg],5[bigben/img1214.jpg],5[bigben/img0424.jpg],5[bigben/img0618.jpg],4[bigben/img0569.jpg],4[bigben/img0967.jpg],4[bigben/img1245.jpg],2[bigben/img0365.jpg],2[bigben/img1260.jpg],4[bigben/img0565.jpg],4[bigben/img0549.jpg],4[bigben/img0189.jpg],4[bigben/img0791.jpg],4[bigben/img0025.jpg],5[bigben/img0453.jpg],4[bigben/img0234.jpg],4[bigben/img0783.jpg],4[bigben/img0473.jpg],4[bigben/img0665.jpg],5[bigben/img0173.jpg],2[bigben/img0167.jpg],2[bigben/img0098.jpg],4[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3KRVW3HTZNMZS2TWSJ4BVEI4ECUMST,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:17:53 PDT 2016","Wed Apr 20 18:22:03 PDT 2016",4[bigben/img1060.jpg],5[bigben/img0214.jpg],5[bigben/img0354.jpg],5[bigben/img0279.jpg],5[bigben/img1019.jpg],5[bigben/img1281.jpg],4[bigben/img0502.jpg],5[bigben/img0059.jpg],5[bigben/img1214.jpg],5[bigben/img0424.jpg],4[bigben/img0618.jpg],4[bigben/img0569.jpg],5[bigben/img0967.jpg],4[bigben/img1245.jpg],4[bigben/img0365.jpg],4[bigben/img1260.jpg],4[bigben/img0565.jpg],4[bigben/img0549.jpg],5[bigben/img0189.jpg],4[bigben/img0791.jpg],4[bigben/img0025.jpg],5[bigben/img0453.jpg],4[bigben/img0234.jpg],4[bigben/img0783.jpg],4[bigben/img0473.jpg],4[bigben/img0665.jpg],5[bigben/img0173.jpg],5[bigben/img0167.jpg],5[bigben/img0098.jpg],5[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3DI28L7YXAF1MU2PY218M5QMFAZ1E8,A39BR7NYRDWC01,Approved,"Wed Apr 20 19:28:10 PDT 2016","Wed Apr 20 19:30:50 PDT 2016",4[bigben/img1060.jpg],3[bigben/img0214.jpg],4[bigben/img0354.jpg],4[bigben/img0279.jpg],5[bigben/img1019.jpg],4[bigben/img1281.jpg],4[bigben/img0502.jpg],4[bigben/img0059.jpg],4[bigben/img1214.jpg],5[bigben/img0424.jpg],4[bigben/img0618.jpg],5[bigben/img0569.jpg],5[bigben/img0967.jpg],5[bigben/img1245.jpg],5[bigben/img0365.jpg],5[bigben/img1260.jpg],4[bigben/img0565.jpg],4[bigben/img0549.jpg],5[bigben/img0189.jpg],4[bigben/img0791.jpg],4[bigben/img0025.jpg],5[bigben/img0453.jpg],3[bigben/img0234.jpg],4[bigben/img0783.jpg],4[bigben/img0473.jpg],5[bigben/img0665.jpg],4[bigben/img0173.jpg],4[bigben/img0167.jpg],4[bigben/img0098.jpg],4[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",39L1G8WVWQSYCWMS9IKC3EMPOLV133,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:42:08 PDT 2016","Thu Apr 21 00:02:23 PDT 2016",4[bigben/img1060.jpg],4[bigben/img0214.jpg],4[bigben/img0354.jpg],5[bigben/img0279.jpg],5[bigben/img1019.jpg],4[bigben/img1281.jpg],4[bigben/img0502.jpg],5[bigben/img0059.jpg],4[bigben/img1214.jpg],4[bigben/img0424.jpg],3[bigben/img0618.jpg],4[bigben/img0569.jpg],4[bigben/img0967.jpg],4[bigben/img1245.jpg],5[bigben/img0365.jpg],5[bigben/img1260.jpg],4[bigben/img0565.jpg],5[bigben/img0549.jpg],5[bigben/img0189.jpg],3[bigben/img0791.jpg],4[bigben/img0025.jpg],2[bigben/img0453.jpg],4[bigben/img0234.jpg],4[bigben/img0783.jpg],4[bigben/img0473.jpg],4[bigben/img0665.jpg],4[bigben/img0173.jpg],4[bigben/img0167.jpg],3[bigben/img0098.jpg],5[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3FQ5JJ512LP7M11OZBA9H7GU2APNKF,AXG132IMMIRH2,Approved,"Thu Apr 21 09:24:51 PDT 2016","Thu Apr 21 09:26:40 PDT 2016",2[bigben/img1060.jpg],5[bigben/img0214.jpg],5[bigben/img0354.jpg],3[bigben/img0279.jpg],5[bigben/img1019.jpg],3[bigben/img1281.jpg],5[bigben/img0502.jpg],4[bigben/img0059.jpg],5[bigben/img1214.jpg],3[bigben/img0424.jpg],3[bigben/img0618.jpg],2[bigben/img0569.jpg],5[bigben/img0967.jpg],2[bigben/img1245.jpg],2[bigben/img0365.jpg],4[bigben/img1260.jpg],5[bigben/img0565.jpg],2[bigben/img0549.jpg],2[bigben/img0189.jpg],2[bigben/img0791.jpg],2[bigben/img0025.jpg],2[bigben/img0453.jpg],4[bigben/img0234.jpg],4[bigben/img0783.jpg],3[bigben/img0473.jpg],1[bigben/img0665.jpg],2[bigben/img0173.jpg],2[bigben/img0167.jpg],2[bigben/img0098.jpg],4[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",37ZHEEHM6WNCNI1UYY1L4OD2SC237K,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:46:30 PDT 2016","Thu Apr 21 22:46:58 PDT 2016",5[bigben/img1060.jpg],5[bigben/img0214.jpg],5[bigben/img0354.jpg],5[bigben/img0279.jpg],5[bigben/img1019.jpg],5[bigben/img1281.jpg],5[bigben/img0502.jpg],5[bigben/img0059.jpg],5[bigben/img1214.jpg],5[bigben/img0424.jpg],5[bigben/img0618.jpg],5[bigben/img0569.jpg],5[bigben/img0967.jpg],5[bigben/img1245.jpg],5[bigben/img0365.jpg],5[bigben/img1260.jpg],5[bigben/img0565.jpg],5[bigben/img0549.jpg],5[bigben/img0189.jpg],5[bigben/img0791.jpg],5[bigben/img0025.jpg],5[bigben/img0453.jpg],5[bigben/img0234.jpg],5[bigben/img0783.jpg],5[bigben/img0473.jpg],5[bigben/img0665.jpg],5[bigben/img0173.jpg],5[bigben/img0167.jpg],5[bigben/img0098.jpg],5[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3PMBY0YE2744E1L66OA6BN82TF69C3,A24R3K3RDK1XLQ,Approved,"Thu Apr 21 23:47:57 PDT 2016","Thu Apr 21 23:50:16 PDT 2016",5[bigben/img1060.jpg],4[bigben/img0214.jpg],3[bigben/img0354.jpg],5[bigben/img0279.jpg],5[bigben/img1019.jpg],5[bigben/img1281.jpg],3[bigben/img0502.jpg],2[bigben/img0059.jpg],5[bigben/img1214.jpg],5[bigben/img0424.jpg],4[bigben/img0618.jpg],4[bigben/img0569.jpg],3[bigben/img0967.jpg],2[bigben/img1245.jpg],3[bigben/img0365.jpg],3[bigben/img1260.jpg],3[bigben/img0565.jpg],5[bigben/img0549.jpg],5[bigben/img0189.jpg],5[bigben/img0791.jpg],2[bigben/img0025.jpg],2[bigben/img0453.jpg],5[bigben/img0234.jpg],5[bigben/img0783.jpg],5[bigben/img0473.jpg],4[bigben/img0665.jpg],5[bigben/img0173.jpg],5[bigben/img0167.jpg],4[bigben/img0098.jpg],3[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3WOKGM4L71HNRWUWWX04DC1QFPW0OG,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:08:20 PDT 2016","Fri Apr 22 00:17:49 PDT 2016",3[bigben/img1060.jpg],5[bigben/img0214.jpg],5[bigben/img0354.jpg],5[bigben/img0279.jpg],5[bigben/img1019.jpg],5[bigben/img1281.jpg],5[bigben/img0502.jpg],1[bigben/img0059.jpg],5[bigben/img1214.jpg],5[bigben/img0424.jpg],5[bigben/img0618.jpg],5[bigben/img0569.jpg],1[bigben/img0967.jpg],4[bigben/img1245.jpg],4[bigben/img0365.jpg],5[bigben/img1260.jpg],4[bigben/img0565.jpg],4[bigben/img0549.jpg],5[bigben/img0189.jpg],5[bigben/img0791.jpg],5[bigben/img0025.jpg],5[bigben/img0453.jpg],5[bigben/img0234.jpg],5[bigben/img0783.jpg],5[bigben/img0473.jpg],5[bigben/img0665.jpg],5[bigben/img0173.jpg],5[bigben/img0167.jpg],1[bigben/img0098.jpg],5[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3RXCAC0YIRQHH8I13I0B1IY671X8G4,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:29:38 PDT 2016","Fri Apr 22 05:30:48 PDT 2016",2[bigben/img1060.jpg],1[bigben/img0214.jpg],2[bigben/img0354.jpg],2[bigben/img0279.jpg],5[bigben/img1019.jpg],5[bigben/img1281.jpg],2[bigben/img0502.jpg],4[bigben/img0059.jpg],5[bigben/img1214.jpg],5[bigben/img0424.jpg],2[bigben/img0618.jpg],2[bigben/img0569.jpg],4[bigben/img0967.jpg],2[bigben/img1245.jpg],2[bigben/img0365.jpg],2[bigben/img1260.jpg],3[bigben/img0565.jpg],4[bigben/img0549.jpg],4[bigben/img0189.jpg],2[bigben/img0791.jpg],2[bigben/img0025.jpg],2[bigben/img0453.jpg],2[bigben/img0234.jpg],5[bigben/img0783.jpg],2[bigben/img0473.jpg],2[bigben/img0665.jpg],5[bigben/img0173.jpg],3[bigben/img0167.jpg],2[bigben/img0098.jpg],5[bigben/img0022.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTMCNGRD,"bigben_0-29","sample#command",3KB8R4ZV1E80J6G86UKLSKO7F8KBGA,A2ZHFT828PSIR2,Approved,"Fri Apr 22 11:59:02 PDT 2016","Fri Apr 22 12:00:54 PDT 2016",1[bigben/img1060.jpg],2[bigben/img0214.jpg],3[bigben/img0354.jpg],4[bigben/img0279.jpg],4[bigben/img1019.jpg],4[bigben/img1281.jpg],1[bigben/img0502.jpg],1[bigben/img0059.jpg],1[bigben/img1214.jpg],4[bigben/img0424.jpg],1[bigben/img0618.jpg],3[bigben/img0569.jpg],3[bigben/img0967.jpg],1[bigben/img1245.jpg],1[bigben/img0365.jpg],3[bigben/img1260.jpg],1[bigben/img0565.jpg],3[bigben/img0549.jpg],5[bigben/img0189.jpg],5[bigben/img0791.jpg],1[bigben/img0025.jpg],1[bigben/img0453.jpg],3[bigben/img0234.jpg],1[bigben/img0783.jpg],2[bigben/img0473.jpg],3[bigben/img0665.jpg],4[bigben/img0173.jpg],4[bigben/img0167.jpg],4[bigben/img0098.jpg],1[bigben/img0022.jpg],
