HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",3IUZPWIU1PXUVHCIC2JX97S4SA2WKQ,A22JTMBADARX55,Approved,"Sun Sep 25 01:14:35 PDT 2016","Sun Sep 25 01:27:17 PDT 2016",5[capitol_00000098.jpg],5[capitol_00000096.jpg],5[capitol_00000114.jpg],5[capitol_00000046.jpg],5[capitol_00000044.jpg],4[capitol_00000099.jpg],4[capitol_00000000.jpg],4[capitol_00000045.jpg],5[capitol_00000001.jpg],4[capitol_00000049.jpg],5[capitol_00000053.jpg],4[capitol_00000091.jpg],4[capitol_00000003.jpg],4[capitol_00000017.jpg],5[capitol_00000039.jpg],4[capitol_00000011.jpg],4[capitol_00000066.jpg],4[capitol_00000097.jpg],4[capitol_00000037.jpg],4[capitol_00000005.jpg],4[capitol_00000051.jpg],4[capitol_00000059.jpg],4[capitol_00000047.jpg],4[capitol_00000057.jpg],4[capitol_00000048.jpg],4[capitol_00000004.jpg],5[capitol_00000060.jpg],5[capitol_00000093.jpg],3[capitol_00000054.jpg],5[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",33SA9F9TRYKR9HK8GG8UBCFZ8D8EWQ,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:52:34 PDT 2016","Sun Sep 25 01:54:23 PDT 2016",3[capitol_00000098.jpg],4[capitol_00000096.jpg],4[capitol_00000114.jpg],4[capitol_00000046.jpg],3[capitol_00000044.jpg],4[capitol_00000099.jpg],4[capitol_00000000.jpg],4[capitol_00000045.jpg],4[capitol_00000001.jpg],4[capitol_00000049.jpg],4[capitol_00000053.jpg],3[capitol_00000091.jpg],3[capitol_00000003.jpg],4[capitol_00000017.jpg],3[capitol_00000039.jpg],4[capitol_00000011.jpg],3[capitol_00000066.jpg],3[capitol_00000097.jpg],3[capitol_00000037.jpg],5[capitol_00000005.jpg],5[capitol_00000051.jpg],4[capitol_00000059.jpg],3[capitol_00000047.jpg],3[capitol_00000057.jpg],5[capitol_00000048.jpg],4[capitol_00000004.jpg],4[capitol_00000060.jpg],3[capitol_00000093.jpg],3[capitol_00000054.jpg],4[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",3OHYZ19UGDVGEVUU9PFYYZCMKWBOAT,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:04:44 PDT 2016","Sun Sep 25 02:14:59 PDT 2016",5[capitol_00000098.jpg],5[capitol_00000096.jpg],5[capitol_00000114.jpg],5[capitol_00000046.jpg],5[capitol_00000044.jpg],5[capitol_00000099.jpg],5[capitol_00000000.jpg],5[capitol_00000045.jpg],5[capitol_00000001.jpg],5[capitol_00000049.jpg],5[capitol_00000053.jpg],5[capitol_00000091.jpg],5[capitol_00000003.jpg],5[capitol_00000017.jpg],5[capitol_00000039.jpg],5[capitol_00000011.jpg],5[capitol_00000066.jpg],5[capitol_00000097.jpg],5[capitol_00000037.jpg],5[capitol_00000005.jpg],5[capitol_00000051.jpg],5[capitol_00000059.jpg],5[capitol_00000047.jpg],5[capitol_00000057.jpg],5[capitol_00000048.jpg],5[capitol_00000004.jpg],5[capitol_00000060.jpg],5[capitol_00000093.jpg],5[capitol_00000054.jpg],5[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",384PI804XTRZBAO5O4ZETYAA8Z30SC,A27OERB5Z7SH30,Approved,"Sun Sep 25 02:21:17 PDT 2016","Sun Sep 25 02:24:07 PDT 2016",5[capitol_00000098.jpg],5[capitol_00000096.jpg],5[capitol_00000114.jpg],5[capitol_00000046.jpg],4[capitol_00000044.jpg],4[capitol_00000099.jpg],4[capitol_00000000.jpg],4[capitol_00000045.jpg],4[capitol_00000001.jpg],4[capitol_00000049.jpg],4[capitol_00000053.jpg],4[capitol_00000091.jpg],4[capitol_00000003.jpg],4[capitol_00000017.jpg],4[capitol_00000039.jpg],3[capitol_00000011.jpg],4[capitol_00000066.jpg],4[capitol_00000097.jpg],4[capitol_00000037.jpg],4[capitol_00000005.jpg],3[capitol_00000051.jpg],4[capitol_00000059.jpg],4[capitol_00000047.jpg],3[capitol_00000057.jpg],3[capitol_00000048.jpg],4[capitol_00000004.jpg],3[capitol_00000060.jpg],4[capitol_00000093.jpg],2[capitol_00000054.jpg],3[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",3HHRAGRYX9V29CKPHJ1Y2412EEW9O2,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 02:55:58 PDT 2016","Sun Sep 25 02:57:10 PDT 2016",2[capitol_00000098.jpg],2[capitol_00000096.jpg],2[capitol_00000114.jpg],2[capitol_00000046.jpg],3[capitol_00000044.jpg],3[capitol_00000099.jpg],5[capitol_00000000.jpg],3[capitol_00000045.jpg],2[capitol_00000001.jpg],2[capitol_00000049.jpg],3[capitol_00000053.jpg],3[capitol_00000091.jpg],4[capitol_00000003.jpg],4[capitol_00000017.jpg],4[capitol_00000039.jpg],3[capitol_00000011.jpg],3[capitol_00000066.jpg],2[capitol_00000097.jpg],3[capitol_00000037.jpg],2[capitol_00000005.jpg],3[capitol_00000051.jpg],3[capitol_00000059.jpg],3[capitol_00000047.jpg],3[capitol_00000057.jpg],2[capitol_00000048.jpg],4[capitol_00000004.jpg],2[capitol_00000060.jpg],5[capitol_00000093.jpg],5[capitol_00000054.jpg],3[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",3EA3QWIZ4JLBX5I0HUTA976SWC0ITG,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:03:54 PDT 2016","Sun Sep 25 03:09:50 PDT 2016",2[capitol_00000098.jpg],4[capitol_00000096.jpg],4[capitol_00000114.jpg],4[capitol_00000046.jpg],5[capitol_00000044.jpg],4[capitol_00000099.jpg],5[capitol_00000000.jpg],5[capitol_00000045.jpg],5[capitol_00000001.jpg],5[capitol_00000049.jpg],5[capitol_00000053.jpg],5[capitol_00000091.jpg],5[capitol_00000003.jpg],5[capitol_00000017.jpg],5[capitol_00000039.jpg],5[capitol_00000011.jpg],5[capitol_00000066.jpg],5[capitol_00000097.jpg],5[capitol_00000037.jpg],4[capitol_00000005.jpg],4[capitol_00000051.jpg],4[capitol_00000059.jpg],3[capitol_00000047.jpg],3[capitol_00000057.jpg],3[capitol_00000048.jpg],4[capitol_00000004.jpg],4[capitol_00000060.jpg],4[capitol_00000093.jpg],4[capitol_00000054.jpg],4[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",3NJM2BJS4XWMSA3T83O4TU70U42PCN,A1NV6KSQXA38MT,Approved,"Sun Sep 25 07:05:08 PDT 2016","Sun Sep 25 07:07:04 PDT 2016",5[capitol_00000098.jpg],5[capitol_00000096.jpg],5[capitol_00000114.jpg],5[capitol_00000046.jpg],5[capitol_00000044.jpg],5[capitol_00000099.jpg],5[capitol_00000000.jpg],5[capitol_00000045.jpg],4[capitol_00000001.jpg],5[capitol_00000049.jpg],4[capitol_00000053.jpg],5[capitol_00000091.jpg],5[capitol_00000003.jpg],5[capitol_00000017.jpg],4[capitol_00000039.jpg],5[capitol_00000011.jpg],5[capitol_00000066.jpg],5[capitol_00000097.jpg],5[capitol_00000037.jpg],5[capitol_00000005.jpg],5[capitol_00000051.jpg],5[capitol_00000059.jpg],5[capitol_00000047.jpg],5[capitol_00000057.jpg],5[capitol_00000048.jpg],5[capitol_00000004.jpg],5[capitol_00000060.jpg],5[capitol_00000093.jpg],2[capitol_00000054.jpg],5[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",30JNVC0ORAAY9UFOU8HU4QUQCSUQHP,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:25:25 PDT 2016","Sun Sep 25 07:26:48 PDT 2016",5[capitol_00000098.jpg],5[capitol_00000096.jpg],5[capitol_00000114.jpg],5[capitol_00000046.jpg],5[capitol_00000044.jpg],5[capitol_00000099.jpg],5[capitol_00000000.jpg],5[capitol_00000045.jpg],5[capitol_00000001.jpg],5[capitol_00000049.jpg],5[capitol_00000053.jpg],5[capitol_00000091.jpg],5[capitol_00000003.jpg],5[capitol_00000017.jpg],5[capitol_00000039.jpg],5[capitol_00000011.jpg],5[capitol_00000066.jpg],5[capitol_00000097.jpg],5[capitol_00000037.jpg],5[capitol_00000005.jpg],4[capitol_00000051.jpg],3[capitol_00000059.jpg],5[capitol_00000047.jpg],5[capitol_00000057.jpg],5[capitol_00000048.jpg],5[capitol_00000004.jpg],5[capitol_00000060.jpg],5[capitol_00000093.jpg],5[capitol_00000054.jpg],5[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",3I3WADAZ9RUJ8PIDETOHQOW0SJ05OW,A1RDWHWYC68DZ,Approved,"Sun Sep 25 10:31:27 PDT 2016","Sun Sep 25 10:33:18 PDT 2016",4[capitol_00000098.jpg],4[capitol_00000096.jpg],5[capitol_00000114.jpg],4[capitol_00000046.jpg],3[capitol_00000044.jpg],4[capitol_00000099.jpg],3[capitol_00000000.jpg],3[capitol_00000045.jpg],4[capitol_00000001.jpg],3[capitol_00000049.jpg],5[capitol_00000053.jpg],4[capitol_00000091.jpg],5[capitol_00000003.jpg],4[capitol_00000017.jpg],3[capitol_00000039.jpg],4[capitol_00000011.jpg],5[capitol_00000066.jpg],3[capitol_00000097.jpg],4[capitol_00000037.jpg],4[capitol_00000005.jpg],3[capitol_00000051.jpg],4[capitol_00000059.jpg],4[capitol_00000047.jpg],4[capitol_00000057.jpg],4[capitol_00000048.jpg],4[capitol_00000004.jpg],5[capitol_00000060.jpg],5[capitol_00000093.jpg],1[capitol_00000054.jpg],4[capitol_00000019.jpg],
3CVDZS288HQLOZSXHMHCVC3NKR8FM0,"capitol_30-59","sample#command",3180JW2OT5257ERGYGWCISFETPRJ5S,A311BTV53IKX3D,Approved,"Sun Sep 25 10:40:52 PDT 2016","Sun Sep 25 10:42:53 PDT 2016",4[capitol_00000098.jpg],4[capitol_00000096.jpg],5[capitol_00000114.jpg],4[capitol_00000046.jpg],4[capitol_00000044.jpg],4[capitol_00000099.jpg],4[capitol_00000000.jpg],4[capitol_00000045.jpg],4[capitol_00000001.jpg],3[capitol_00000049.jpg],4[capitol_00000053.jpg],5[capitol_00000091.jpg],4[capitol_00000003.jpg],5[capitol_00000017.jpg],3[capitol_00000039.jpg],3[capitol_00000011.jpg],5[capitol_00000066.jpg],5[capitol_00000097.jpg],4[capitol_00000037.jpg],4[capitol_00000005.jpg],4[capitol_00000051.jpg],3[capitol_00000059.jpg],4[capitol_00000047.jpg],4[capitol_00000057.jpg],4[capitol_00000048.jpg],4[capitol_00000004.jpg],4[capitol_00000060.jpg],4[capitol_00000093.jpg],4[capitol_00000054.jpg],4[capitol_00000019.jpg],
