HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",3OE22WJIGJE3EGL8U7OTN5JG60JQUD,A1I7ACFIU8U11J,Approved,"Sun Sep 25 01:03:39 PDT 2016","Sun Sep 25 01:06:08 PDT 2016",5[capitol_00000071.jpg],3[capitol_00000070.jpg],4[capitol_00000080.jpg],2[capitol_00000113.jpg],5[capitol_00000124.jpg],3[capitol_00000105.jpg],2[capitol_00000058.jpg],3[capitol_00000009.jpg],4[capitol_00000010.jpg],5[capitol_00000102.jpg],3[capitol_00000007.jpg],5[capitol_00000085.jpg],4[capitol_00000014.jpg],4[capitol_00000115.jpg],2[capitol_00000055.jpg],3[capitol_00000061.jpg],3[capitol_00000015.jpg],2[capitol_00000028.jpg],2[capitol_00000111.jpg],4[capitol_00000025.jpg],4[capitol_00000079.jpg],4[capitol_00000073.jpg],3[capitol_00000031.jpg],2[capitol_00000012.jpg],3[capitol_00000013.jpg],3[capitol_00000103.jpg],2[capitol_00000021.jpg],2[capitol_00000036.jpg],3[capitol_00000026.jpg],3[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",33CID57105J8OPSCNIKWJAUMJHD3LU,A22JTMBADARX55,Approved,"Sun Sep 25 01:14:37 PDT 2016","Sun Sep 25 01:38:20 PDT 2016",4[capitol_00000071.jpg],3[capitol_00000070.jpg],4[capitol_00000080.jpg],4[capitol_00000113.jpg],4[capitol_00000124.jpg],5[capitol_00000105.jpg],4[capitol_00000058.jpg],5[capitol_00000009.jpg],4[capitol_00000010.jpg],5[capitol_00000102.jpg],5[capitol_00000007.jpg],4[capitol_00000085.jpg],5[capitol_00000014.jpg],4[capitol_00000115.jpg],5[capitol_00000055.jpg],4[capitol_00000061.jpg],3[capitol_00000015.jpg],4[capitol_00000028.jpg],4[capitol_00000111.jpg],5[capitol_00000025.jpg],5[capitol_00000079.jpg],4[capitol_00000073.jpg],4[capitol_00000031.jpg],4[capitol_00000012.jpg],4[capitol_00000013.jpg],5[capitol_00000103.jpg],4[capitol_00000021.jpg],4[capitol_00000036.jpg],2[capitol_00000026.jpg],4[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",3B2X28YI3X5V8ZTIF7T0CAA1HE2B6M,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:54:31 PDT 2016","Sun Sep 25 01:56:05 PDT 2016",5[capitol_00000071.jpg],5[capitol_00000070.jpg],5[capitol_00000080.jpg],5[capitol_00000113.jpg],4[capitol_00000124.jpg],4[capitol_00000105.jpg],3[capitol_00000058.jpg],4[capitol_00000009.jpg],5[capitol_00000010.jpg],3[capitol_00000102.jpg],4[capitol_00000007.jpg],3[capitol_00000085.jpg],4[capitol_00000014.jpg],5[capitol_00000115.jpg],3[capitol_00000055.jpg],4[capitol_00000061.jpg],4[capitol_00000015.jpg],4[capitol_00000028.jpg],5[capitol_00000111.jpg],4[capitol_00000025.jpg],5[capitol_00000079.jpg],5[capitol_00000073.jpg],4[capitol_00000031.jpg],4[capitol_00000012.jpg],3[capitol_00000013.jpg],3[capitol_00000103.jpg],4[capitol_00000021.jpg],5[capitol_00000036.jpg],5[capitol_00000026.jpg],4[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",37KGEN7NJ4G5MZCXD8AADU67TN6PPQ,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:51:00 PDT 2016","Sun Sep 25 02:05:31 PDT 2016",5[capitol_00000071.jpg],5[capitol_00000070.jpg],5[capitol_00000080.jpg],5[capitol_00000113.jpg],5[capitol_00000124.jpg],5[capitol_00000105.jpg],5[capitol_00000058.jpg],5[capitol_00000009.jpg],5[capitol_00000010.jpg],5[capitol_00000102.jpg],5[capitol_00000007.jpg],5[capitol_00000085.jpg],5[capitol_00000014.jpg],5[capitol_00000115.jpg],5[capitol_00000055.jpg],5[capitol_00000061.jpg],5[capitol_00000015.jpg],5[capitol_00000028.jpg],5[capitol_00000111.jpg],5[capitol_00000025.jpg],5[capitol_00000079.jpg],5[capitol_00000073.jpg],5[capitol_00000031.jpg],5[capitol_00000012.jpg],5[capitol_00000013.jpg],5[capitol_00000103.jpg],5[capitol_00000021.jpg],5[capitol_00000036.jpg],5[capitol_00000026.jpg],5[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",3Z7EFSHGNA4R1J5KUUYLN7T3W31XC9,A27OERB5Z7SH30,Approved,"Sun Sep 25 02:17:38 PDT 2016","Sun Sep 25 02:20:30 PDT 2016",5[capitol_00000071.jpg],4[capitol_00000070.jpg],4[capitol_00000080.jpg],4[capitol_00000113.jpg],4[capitol_00000124.jpg],5[capitol_00000105.jpg],4[capitol_00000058.jpg],4[capitol_00000009.jpg],5[capitol_00000010.jpg],5[capitol_00000102.jpg],4[capitol_00000007.jpg],4[capitol_00000085.jpg],5[capitol_00000014.jpg],5[capitol_00000115.jpg],2[capitol_00000055.jpg],5[capitol_00000061.jpg],4[capitol_00000015.jpg],4[capitol_00000028.jpg],2[capitol_00000111.jpg],4[capitol_00000025.jpg],5[capitol_00000079.jpg],4[capitol_00000073.jpg],4[capitol_00000031.jpg],3[capitol_00000012.jpg],3[capitol_00000013.jpg],3[capitol_00000103.jpg],3[capitol_00000021.jpg],5[capitol_00000036.jpg],2[capitol_00000026.jpg],4[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",3JV9LGBJWU4HOM7XVP78ULNPIROOG5,A25WL7E75KK134,Approved,"Sun Sep 25 02:06:05 PDT 2016","Sun Sep 25 02:47:29 PDT 2016",3[capitol_00000071.jpg],3[capitol_00000070.jpg],4[capitol_00000080.jpg],4[capitol_00000113.jpg],4[capitol_00000124.jpg],2[capitol_00000105.jpg],2[capitol_00000058.jpg],5[capitol_00000009.jpg],5[capitol_00000010.jpg],4[capitol_00000102.jpg],4[capitol_00000007.jpg],4[capitol_00000085.jpg],5[capitol_00000014.jpg],5[capitol_00000115.jpg],1[capitol_00000055.jpg],2[capitol_00000061.jpg],5[capitol_00000015.jpg],4[capitol_00000028.jpg],1[capitol_00000111.jpg],5[capitol_00000025.jpg],5[capitol_00000079.jpg],2[capitol_00000073.jpg],1[capitol_00000031.jpg],2[capitol_00000012.jpg],1[capitol_00000013.jpg],4[capitol_00000103.jpg],4[capitol_00000021.jpg],5[capitol_00000036.jpg],2[capitol_00000026.jpg],4[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",39LNWE0K4VMQXIXPHZJKE3SUFQ7IU7,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:03:27 PDT 2016","Sun Sep 25 03:05:42 PDT 2016",3[capitol_00000071.jpg],2[capitol_00000070.jpg],3[capitol_00000080.jpg],4[capitol_00000113.jpg],5[capitol_00000124.jpg],4[capitol_00000105.jpg],4[capitol_00000058.jpg],4[capitol_00000009.jpg],4[capitol_00000010.jpg],3[capitol_00000102.jpg],3[capitol_00000007.jpg],2[capitol_00000085.jpg],2[capitol_00000014.jpg],3[capitol_00000115.jpg],3[capitol_00000055.jpg],3[capitol_00000061.jpg],3[capitol_00000015.jpg],3[capitol_00000028.jpg],3[capitol_00000111.jpg],3[capitol_00000025.jpg],3[capitol_00000079.jpg],3[capitol_00000073.jpg],4[capitol_00000031.jpg],4[capitol_00000012.jpg],4[capitol_00000013.jpg],3[capitol_00000103.jpg],2[capitol_00000021.jpg],2[capitol_00000036.jpg],3[capitol_00000026.jpg],3[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",37QW5D2ZRHCHTZT8J8CTMDGSRXK8SC,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:16:54 PDT 2016","Sun Sep 25 05:18:55 PDT 2016",5[capitol_00000071.jpg],5[capitol_00000070.jpg],3[capitol_00000080.jpg],3[capitol_00000113.jpg],4[capitol_00000124.jpg],4[capitol_00000105.jpg],3[capitol_00000058.jpg],4[capitol_00000009.jpg],3[capitol_00000010.jpg],4[capitol_00000102.jpg],2[capitol_00000007.jpg],2[capitol_00000085.jpg],5[capitol_00000014.jpg],5[capitol_00000115.jpg],1[capitol_00000055.jpg],4[capitol_00000061.jpg],3[capitol_00000015.jpg],2[capitol_00000028.jpg],1[capitol_00000111.jpg],4[capitol_00000025.jpg],5[capitol_00000079.jpg],5[capitol_00000073.jpg],4[capitol_00000031.jpg],3[capitol_00000012.jpg],3[capitol_00000013.jpg],2[capitol_00000103.jpg],3[capitol_00000021.jpg],3[capitol_00000036.jpg],2[capitol_00000026.jpg],4[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",3ERMJ6L4DZIAVQBKP6O1W4LROOXM7S,AKK8GB7UY4YAN,Approved,"Sun Sep 25 05:59:41 PDT 2016","Sun Sep 25 06:03:56 PDT 2016",2[capitol_00000071.jpg],3[capitol_00000070.jpg],2[capitol_00000080.jpg],2[capitol_00000113.jpg],2[capitol_00000124.jpg],5[capitol_00000105.jpg],3[capitol_00000058.jpg],1[capitol_00000009.jpg],2[capitol_00000010.jpg],4[capitol_00000102.jpg],2[capitol_00000007.jpg],4[capitol_00000085.jpg],2[capitol_00000014.jpg],4[capitol_00000115.jpg],2[capitol_00000055.jpg],5[capitol_00000061.jpg],4[capitol_00000015.jpg],4[capitol_00000028.jpg],2[capitol_00000111.jpg],3[capitol_00000025.jpg],3[capitol_00000079.jpg],4[capitol_00000073.jpg],2[capitol_00000031.jpg],1[capitol_00000012.jpg],4[capitol_00000013.jpg],3[capitol_00000103.jpg],3[capitol_00000021.jpg],3[capitol_00000036.jpg],3[capitol_00000026.jpg],3[capitol_00000104.jpg],
3J9UN9O9J3I4QN7MB7LZCDO2AVO0JD,"capitol_90-119","sample#command",3OE22WJIGJE3EGL8U7OTN5JG60WQUQ,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:27:30 PDT 2016","Sun Sep 25 07:28:54 PDT 2016",5[capitol_00000071.jpg],5[capitol_00000070.jpg],5[capitol_00000080.jpg],5[capitol_00000113.jpg],5[capitol_00000124.jpg],5[capitol_00000105.jpg],5[capitol_00000058.jpg],5[capitol_00000009.jpg],5[capitol_00000010.jpg],5[capitol_00000102.jpg],5[capitol_00000007.jpg],5[capitol_00000085.jpg],5[capitol_00000014.jpg],5[capitol_00000115.jpg],2[capitol_00000055.jpg],5[capitol_00000061.jpg],5[capitol_00000015.jpg],5[capitol_00000028.jpg],3[capitol_00000111.jpg],5[capitol_00000025.jpg],5[capitol_00000079.jpg],5[capitol_00000073.jpg],5[capitol_00000031.jpg],5[capitol_00000012.jpg],5[capitol_00000013.jpg],5[capitol_00000103.jpg],5[capitol_00000021.jpg],5[capitol_00000036.jpg],5[capitol_00000026.jpg],5[capitol_00000104.jpg],
