HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",3YT88D1N09OX4JAU2I8V4AH7UH7K37,A22JTMBADARX55,Approved,"Sun Sep 25 01:14:33 PDT 2016","Sun Sep 25 01:25:28 PDT 2016",5[capitol_00000090.jpg],5[capitol_00000089.jpg],5[capitol_00000067.jpg],5[capitol_00000083.jpg],5[capitol_00000027.jpg],5[capitol_00000050.jpg],4[capitol_00000100.jpg],5[capitol_00000042.jpg],3[capitol_00000052.jpg],2[capitol_00000074.jpg],3[capitol_00000101.jpg],4[capitol_00000043.jpg],4[capitol_00000123.jpg],5[capitol_00000107.jpg],4[capitol_00000121.jpg],4[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],5[capitol_00000077.jpg],5[capitol_00000008.jpg],5[capitol_00000068.jpg],5[capitol_00000033.jpg],5[capitol_00000023.jpg],5[capitol_00000076.jpg],4[capitol_00000086.jpg],4[capitol_00000106.jpg],4[capitol_00000072.jpg],4[capitol_00000018.jpg],4[capitol_00000030.jpg],4[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",3FE2ERCCZYYN1Z0WY8XVOU1HJIAPO9,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:50:35 PDT 2016","Sun Sep 25 01:52:23 PDT 2016",4[capitol_00000090.jpg],4[capitol_00000089.jpg],3[capitol_00000067.jpg],4[capitol_00000083.jpg],5[capitol_00000027.jpg],3[capitol_00000050.jpg],4[capitol_00000100.jpg],4[capitol_00000042.jpg],4[capitol_00000052.jpg],1[capitol_00000074.jpg],5[capitol_00000101.jpg],5[capitol_00000043.jpg],4[capitol_00000123.jpg],5[capitol_00000107.jpg],3[capitol_00000121.jpg],5[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],5[capitol_00000077.jpg],5[capitol_00000008.jpg],5[capitol_00000068.jpg],5[capitol_00000033.jpg],5[capitol_00000023.jpg],5[capitol_00000076.jpg],3[capitol_00000086.jpg],4[capitol_00000106.jpg],5[capitol_00000072.jpg],5[capitol_00000018.jpg],4[capitol_00000030.jpg],5[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",3OB0CAO74IF7IW6ALIYOHCXSB10YHP,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:03:17 PDT 2016","Sun Sep 25 02:18:37 PDT 2016",5[capitol_00000090.jpg],5[capitol_00000089.jpg],5[capitol_00000067.jpg],5[capitol_00000083.jpg],5[capitol_00000027.jpg],5[capitol_00000050.jpg],5[capitol_00000100.jpg],5[capitol_00000042.jpg],5[capitol_00000052.jpg],5[capitol_00000074.jpg],5[capitol_00000101.jpg],5[capitol_00000043.jpg],5[capitol_00000123.jpg],5[capitol_00000107.jpg],5[capitol_00000121.jpg],5[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],5[capitol_00000077.jpg],5[capitol_00000008.jpg],5[capitol_00000068.jpg],5[capitol_00000033.jpg],5[capitol_00000023.jpg],5[capitol_00000076.jpg],5[capitol_00000086.jpg],5[capitol_00000106.jpg],5[capitol_00000072.jpg],5[capitol_00000018.jpg],5[capitol_00000030.jpg],5[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",3JWH6J9I9T33FKZAEOFHELWNC4SNB9,A27OERB5Z7SH30,Approved,"Sun Sep 25 02:24:38 PDT 2016","Sun Sep 25 02:28:04 PDT 2016",5[capitol_00000090.jpg],5[capitol_00000089.jpg],4[capitol_00000067.jpg],5[capitol_00000083.jpg],4[capitol_00000027.jpg],4[capitol_00000050.jpg],4[capitol_00000100.jpg],3[capitol_00000042.jpg],2[capitol_00000052.jpg],2[capitol_00000074.jpg],4[capitol_00000101.jpg],5[capitol_00000043.jpg],4[capitol_00000123.jpg],2[capitol_00000107.jpg],2[capitol_00000121.jpg],4[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],5[capitol_00000077.jpg],5[capitol_00000008.jpg],5[capitol_00000068.jpg],5[capitol_00000033.jpg],5[capitol_00000023.jpg],5[capitol_00000076.jpg],4[capitol_00000086.jpg],5[capitol_00000106.jpg],5[capitol_00000072.jpg],5[capitol_00000018.jpg],4[capitol_00000030.jpg],4[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",33FOTY3KENBJBIKRN1DESYP2ROP1CO,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 02:50:51 PDT 2016","Sun Sep 25 02:52:19 PDT 2016",5[capitol_00000090.jpg],4[capitol_00000089.jpg],2[capitol_00000067.jpg],2[capitol_00000083.jpg],3[capitol_00000027.jpg],4[capitol_00000050.jpg],4[capitol_00000100.jpg],2[capitol_00000042.jpg],3[capitol_00000052.jpg],2[capitol_00000074.jpg],2[capitol_00000101.jpg],2[capitol_00000043.jpg],3[capitol_00000123.jpg],4[capitol_00000107.jpg],5[capitol_00000121.jpg],2[capitol_00000078.jpg],2[capitol_00000032.jpg],2[capitol_00000034.jpg],2[capitol_00000077.jpg],3[capitol_00000008.jpg],2[capitol_00000068.jpg],2[capitol_00000033.jpg],4[capitol_00000023.jpg],2[capitol_00000076.jpg],3[capitol_00000086.jpg],2[capitol_00000106.jpg],2[capitol_00000072.jpg],2[capitol_00000018.jpg],3[capitol_00000030.jpg],5[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",39OWYR0EPLHN40F4QSAOERLFVMQFYB,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:59:07 PDT 2016","Sun Sep 25 03:09:06 PDT 2016",4[capitol_00000090.jpg],5[capitol_00000089.jpg],3[capitol_00000067.jpg],4[capitol_00000083.jpg],4[capitol_00000027.jpg],4[capitol_00000050.jpg],4[capitol_00000100.jpg],4[capitol_00000042.jpg],4[capitol_00000052.jpg],4[capitol_00000074.jpg],4[capitol_00000101.jpg],2[capitol_00000043.jpg],4[capitol_00000123.jpg],2[capitol_00000107.jpg],2[capitol_00000121.jpg],5[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],1[capitol_00000077.jpg],4[capitol_00000008.jpg],4[capitol_00000068.jpg],4[capitol_00000033.jpg],4[capitol_00000023.jpg],4[capitol_00000076.jpg],4[capitol_00000086.jpg],3[capitol_00000106.jpg],4[capitol_00000072.jpg],4[capitol_00000018.jpg],4[capitol_00000030.jpg],4[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",3TE22NPXPC2X8D4VH4QY7YKHBVL44U,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:20:22 PDT 2016","Sun Sep 25 05:22:07 PDT 2016",4[capitol_00000090.jpg],5[capitol_00000089.jpg],2[capitol_00000067.jpg],3[capitol_00000083.jpg],5[capitol_00000027.jpg],2[capitol_00000050.jpg],3[capitol_00000100.jpg],2[capitol_00000042.jpg],3[capitol_00000052.jpg],1[capitol_00000074.jpg],4[capitol_00000101.jpg],5[capitol_00000043.jpg],3[capitol_00000123.jpg],4[capitol_00000107.jpg],2[capitol_00000121.jpg],5[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],5[capitol_00000077.jpg],5[capitol_00000008.jpg],5[capitol_00000068.jpg],5[capitol_00000033.jpg],4[capitol_00000023.jpg],5[capitol_00000076.jpg],3[capitol_00000086.jpg],3[capitol_00000106.jpg],5[capitol_00000072.jpg],3[capitol_00000018.jpg],4[capitol_00000030.jpg],4[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",30H4UDGLT38Z1WFKLSIIWQCCOI6MP2,A1G8XY49335US8,Approved,"Sun Sep 25 07:02:22 PDT 2016","Sun Sep 25 07:04:22 PDT 2016",4[capitol_00000090.jpg],5[capitol_00000089.jpg],3[capitol_00000067.jpg],5[capitol_00000083.jpg],4[capitol_00000027.jpg],5[capitol_00000050.jpg],3[capitol_00000100.jpg],4[capitol_00000042.jpg],3[capitol_00000052.jpg],3[capitol_00000074.jpg],3[capitol_00000101.jpg],4[capitol_00000043.jpg],4[capitol_00000123.jpg],5[capitol_00000107.jpg],5[capitol_00000121.jpg],4[capitol_00000078.jpg],4[capitol_00000032.jpg],5[capitol_00000034.jpg],4[capitol_00000077.jpg],5[capitol_00000008.jpg],5[capitol_00000068.jpg],4[capitol_00000033.jpg],4[capitol_00000023.jpg],4[capitol_00000076.jpg],3[capitol_00000086.jpg],3[capitol_00000106.jpg],5[capitol_00000072.jpg],5[capitol_00000018.jpg],5[capitol_00000030.jpg],5[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",3B3WTRP3DCSO25VKUL31VRYZD9929Y,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:23:15 PDT 2016","Sun Sep 25 07:24:55 PDT 2016",5[capitol_00000090.jpg],5[capitol_00000089.jpg],4[capitol_00000067.jpg],5[capitol_00000083.jpg],5[capitol_00000027.jpg],5[capitol_00000050.jpg],5[capitol_00000100.jpg],5[capitol_00000042.jpg],5[capitol_00000052.jpg],5[capitol_00000074.jpg],5[capitol_00000101.jpg],5[capitol_00000043.jpg],5[capitol_00000123.jpg],5[capitol_00000107.jpg],5[capitol_00000121.jpg],5[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],5[capitol_00000077.jpg],5[capitol_00000008.jpg],5[capitol_00000068.jpg],5[capitol_00000033.jpg],5[capitol_00000023.jpg],5[capitol_00000076.jpg],5[capitol_00000086.jpg],5[capitol_00000106.jpg],5[capitol_00000072.jpg],5[capitol_00000018.jpg],5[capitol_00000030.jpg],5[capitol_00000029.jpg],
3M0556243SAR6HDXTNWC8RSNPHIFN0,"capitol_60-89","sample#command",3Z3ZLGNNSJKJFM8PFNSS0WTGTNLQ3R,AQGHSK2MACCWW,Approved,"Sun Sep 25 09:38:27 PDT 2016","Sun Sep 25 09:43:07 PDT 2016",4[capitol_00000090.jpg],2[capitol_00000089.jpg],4[capitol_00000067.jpg],5[capitol_00000083.jpg],4[capitol_00000027.jpg],3[capitol_00000050.jpg],4[capitol_00000100.jpg],4[capitol_00000042.jpg],4[capitol_00000052.jpg],1[capitol_00000074.jpg],4[capitol_00000101.jpg],5[capitol_00000043.jpg],4[capitol_00000123.jpg],4[capitol_00000107.jpg],5[capitol_00000121.jpg],4[capitol_00000078.jpg],5[capitol_00000032.jpg],5[capitol_00000034.jpg],4[capitol_00000077.jpg],5[capitol_00000008.jpg],4[capitol_00000068.jpg],5[capitol_00000033.jpg],5[capitol_00000023.jpg],5[capitol_00000076.jpg],4[capitol_00000086.jpg],5[capitol_00000106.jpg],5[capitol_00000072.jpg],4[capitol_00000018.jpg],4[capitol_00000030.jpg],5[capitol_00000029.jpg],
