HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",3OVHNO1VE7RQB6BDV8HH4YRWP39ZD6,A22JTMBADARX55,Approved,"Sun Sep 25 01:14:39 PDT 2016","Sun Sep 25 01:31:47 PDT 2016",4[capitol_00000024.jpg],4[capitol_00000120.jpg],2[capitol_00000082.jpg],3[capitol_00000118.jpg],4[capitol_00000119.jpg],4[capitol_00000122.jpg],3[capitol_00000006.jpg],4[capitol_00000016.jpg],4[capitol_00000112.jpg],4[capitol_00000035.jpg],5[capitol_00000116.jpg],3[capitol_00000109.jpg],4[capitol_00000108.jpg],4[capitol_00000064.jpg],4[capitol_00000002.jpg],3[capitol_00000087.jpg],4[capitol_00000081.jpg],4[capitol_00000065.jpg],4[capitol_00000110.jpg],4[capitol_00000092.jpg],4[capitol_00000038.jpg],3[capitol_00000084.jpg],4[capitol_00000088.jpg],3[capitol_00000094.jpg],5[capitol_00000062.jpg],4[capitol_00000041.jpg],3[capitol_00000040.jpg],4[capitol_00000063.jpg],4[capitol_00000056.jpg],4[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",34J10VATJGOY5PQ80QZF42V5C5YIQZ,A22FYEGZ5QLW37,Approved,"Sun Sep 25 02:01:36 PDT 2016","Sun Sep 25 02:03:43 PDT 2016",5[capitol_00000024.jpg],2[capitol_00000120.jpg],3[capitol_00000082.jpg],4[capitol_00000118.jpg],3[capitol_00000119.jpg],4[capitol_00000122.jpg],4[capitol_00000006.jpg],5[capitol_00000016.jpg],4[capitol_00000112.jpg],3[capitol_00000035.jpg],5[capitol_00000116.jpg],5[capitol_00000109.jpg],4[capitol_00000108.jpg],3[capitol_00000064.jpg],4[capitol_00000002.jpg],4[capitol_00000087.jpg],2[capitol_00000081.jpg],5[capitol_00000065.jpg],2[capitol_00000110.jpg],3[capitol_00000092.jpg],3[capitol_00000038.jpg],4[capitol_00000084.jpg],5[capitol_00000088.jpg],5[capitol_00000094.jpg],5[capitol_00000062.jpg],3[capitol_00000041.jpg],4[capitol_00000040.jpg],4[capitol_00000063.jpg],4[capitol_00000056.jpg],3[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",3EKVH9QMEZU05V816183HNHP4UC2D3,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:51:04 PDT 2016","Sun Sep 25 02:05:56 PDT 2016",5[capitol_00000024.jpg],5[capitol_00000120.jpg],5[capitol_00000082.jpg],5[capitol_00000118.jpg],5[capitol_00000119.jpg],5[capitol_00000122.jpg],5[capitol_00000006.jpg],5[capitol_00000016.jpg],5[capitol_00000112.jpg],5[capitol_00000035.jpg],5[capitol_00000116.jpg],5[capitol_00000109.jpg],5[capitol_00000108.jpg],5[capitol_00000064.jpg],5[capitol_00000002.jpg],5[capitol_00000087.jpg],5[capitol_00000081.jpg],5[capitol_00000065.jpg],5[capitol_00000110.jpg],5[capitol_00000092.jpg],5[capitol_00000038.jpg],5[capitol_00000084.jpg],5[capitol_00000088.jpg],5[capitol_00000094.jpg],5[capitol_00000062.jpg],5[capitol_00000041.jpg],5[capitol_00000040.jpg],5[capitol_00000063.jpg],5[capitol_00000056.jpg],5[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",3DBQWDE4Y7O1Q4I1DEO4BZWV285N57,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:56:14 PDT 2016","Sun Sep 25 02:10:56 PDT 2016",4[capitol_00000024.jpg],4[capitol_00000120.jpg],4[capitol_00000082.jpg],3[capitol_00000118.jpg],5[capitol_00000119.jpg],4[capitol_00000122.jpg],4[capitol_00000006.jpg],3[capitol_00000016.jpg],3[capitol_00000112.jpg],3[capitol_00000035.jpg],4[capitol_00000116.jpg],4[capitol_00000109.jpg],4[capitol_00000108.jpg],4[capitol_00000064.jpg],5[capitol_00000002.jpg],4[capitol_00000087.jpg],4[capitol_00000081.jpg],4[capitol_00000065.jpg],3[capitol_00000110.jpg],4[capitol_00000092.jpg],4[capitol_00000038.jpg],3[capitol_00000084.jpg],5[capitol_00000088.jpg],4[capitol_00000094.jpg],5[capitol_00000062.jpg],3[capitol_00000041.jpg],4[capitol_00000040.jpg],3[capitol_00000063.jpg],4[capitol_00000056.jpg],3[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",3QAPZX2QN5366B77UPK82GX6A5420B,A27OERB5Z7SH30,Approved,"Sun Sep 25 02:14:07 PDT 2016","Sun Sep 25 02:16:53 PDT 2016",4[capitol_00000024.jpg],5[capitol_00000120.jpg],3[capitol_00000082.jpg],2[capitol_00000118.jpg],5[capitol_00000119.jpg],5[capitol_00000122.jpg],4[capitol_00000006.jpg],4[capitol_00000016.jpg],4[capitol_00000112.jpg],4[capitol_00000035.jpg],3[capitol_00000116.jpg],3[capitol_00000109.jpg],5[capitol_00000108.jpg],3[capitol_00000064.jpg],5[capitol_00000002.jpg],5[capitol_00000087.jpg],3[capitol_00000081.jpg],5[capitol_00000065.jpg],3[capitol_00000110.jpg],4[capitol_00000092.jpg],4[capitol_00000038.jpg],4[capitol_00000084.jpg],5[capitol_00000088.jpg],5[capitol_00000094.jpg],5[capitol_00000062.jpg],3[capitol_00000041.jpg],5[capitol_00000040.jpg],2[capitol_00000063.jpg],4[capitol_00000056.jpg],4[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",3NOKK93PR2YXSHYHVGEOP68Z193EEA,A25WL7E75KK134,Approved,"Sun Sep 25 02:06:07 PDT 2016","Sun Sep 25 02:50:31 PDT 2016",4[capitol_00000024.jpg],2[capitol_00000120.jpg],4[capitol_00000082.jpg],3[capitol_00000118.jpg],1[capitol_00000119.jpg],1[capitol_00000122.jpg],4[capitol_00000006.jpg],4[capitol_00000016.jpg],5[capitol_00000112.jpg],5[capitol_00000035.jpg],5[capitol_00000116.jpg],5[capitol_00000109.jpg],1[capitol_00000108.jpg],1[capitol_00000064.jpg],5[capitol_00000002.jpg],2[capitol_00000087.jpg],1[capitol_00000081.jpg],3[capitol_00000065.jpg],1[capitol_00000110.jpg],2[capitol_00000092.jpg],2[capitol_00000038.jpg],4[capitol_00000084.jpg],5[capitol_00000088.jpg],5[capitol_00000094.jpg],5[capitol_00000062.jpg],2[capitol_00000041.jpg],5[capitol_00000040.jpg],5[capitol_00000063.jpg],1[capitol_00000056.jpg],1[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",37M28K1J0R32DK3XTCNTQ3V0L24AJZ,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:57:56 PDT 2016","Sun Sep 25 03:02:07 PDT 2016",4[capitol_00000024.jpg],2[capitol_00000120.jpg],2[capitol_00000082.jpg],4[capitol_00000118.jpg],3[capitol_00000119.jpg],4[capitol_00000122.jpg],4[capitol_00000006.jpg],4[capitol_00000016.jpg],4[capitol_00000112.jpg],4[capitol_00000035.jpg],4[capitol_00000116.jpg],4[capitol_00000109.jpg],4[capitol_00000108.jpg],4[capitol_00000064.jpg],4[capitol_00000002.jpg],4[capitol_00000087.jpg],4[capitol_00000081.jpg],4[capitol_00000065.jpg],4[capitol_00000110.jpg],4[capitol_00000092.jpg],4[capitol_00000038.jpg],4[capitol_00000084.jpg],5[capitol_00000088.jpg],4[capitol_00000094.jpg],5[capitol_00000062.jpg],4[capitol_00000041.jpg],4[capitol_00000040.jpg],4[capitol_00000063.jpg],4[capitol_00000056.jpg],4[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",3E13VNJ1NOLAOL6RFB9031NX4TC1IT,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:14:02 PDT 2016","Sun Sep 25 05:15:52 PDT 2016",3[capitol_00000024.jpg],5[capitol_00000120.jpg],5[capitol_00000082.jpg],4[capitol_00000118.jpg],5[capitol_00000119.jpg],5[capitol_00000122.jpg],3[capitol_00000006.jpg],3[capitol_00000016.jpg],2[capitol_00000112.jpg],4[capitol_00000035.jpg],5[capitol_00000116.jpg],5[capitol_00000109.jpg],4[capitol_00000108.jpg],5[capitol_00000064.jpg],5[capitol_00000002.jpg],5[capitol_00000087.jpg],5[capitol_00000081.jpg],5[capitol_00000065.jpg],2[capitol_00000110.jpg],3[capitol_00000092.jpg],4[capitol_00000038.jpg],4[capitol_00000084.jpg],5[capitol_00000088.jpg],5[capitol_00000094.jpg],4[capitol_00000062.jpg],1[capitol_00000041.jpg],4[capitol_00000040.jpg],3[capitol_00000063.jpg],4[capitol_00000056.jpg],1[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",369J354OFE0RZG1TVTLEDL1YXR6G6K,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:30:20 PDT 2016","Sun Sep 25 07:31:57 PDT 2016",1[capitol_00000024.jpg],2[capitol_00000120.jpg],5[capitol_00000082.jpg],5[capitol_00000118.jpg],3[capitol_00000119.jpg],3[capitol_00000122.jpg],5[capitol_00000006.jpg],5[capitol_00000016.jpg],5[capitol_00000112.jpg],5[capitol_00000035.jpg],5[capitol_00000116.jpg],5[capitol_00000109.jpg],3[capitol_00000108.jpg],3[capitol_00000064.jpg],5[capitol_00000002.jpg],5[capitol_00000087.jpg],3[capitol_00000081.jpg],5[capitol_00000065.jpg],4[capitol_00000110.jpg],5[capitol_00000092.jpg],5[capitol_00000038.jpg],5[capitol_00000084.jpg],5[capitol_00000088.jpg],5[capitol_00000094.jpg],5[capitol_00000062.jpg],5[capitol_00000041.jpg],5[capitol_00000040.jpg],5[capitol_00000063.jpg],5[capitol_00000056.jpg],5[capitol_00000075.jpg],
3Y3CZJSZ9KJKJIC0GI0KVZ6K1KT5RV,"capitol_0-29","sample#command",39ZSFO5CA9MMSTHVZH4KQ47US6JJU9,A311BTV53IKX3D,Approved,"Sun Sep 25 10:34:18 PDT 2016","Sun Sep 25 10:36:17 PDT 2016",4[capitol_00000024.jpg],4[capitol_00000120.jpg],4[capitol_00000082.jpg],4[capitol_00000118.jpg],5[capitol_00000119.jpg],4[capitol_00000122.jpg],4[capitol_00000006.jpg],5[capitol_00000016.jpg],5[capitol_00000112.jpg],4[capitol_00000035.jpg],5[capitol_00000116.jpg],5[capitol_00000109.jpg],5[capitol_00000108.jpg],4[capitol_00000064.jpg],4[capitol_00000002.jpg],4[capitol_00000087.jpg],3[capitol_00000081.jpg],5[capitol_00000065.jpg],4[capitol_00000110.jpg],4[capitol_00000092.jpg],3[capitol_00000038.jpg],3[capitol_00000084.jpg],5[capitol_00000088.jpg],5[capitol_00000094.jpg],5[capitol_00000062.jpg],4[capitol_00000041.jpg],5[capitol_00000040.jpg],5[capitol_00000063.jpg],4[capitol_00000056.jpg],4[capitol_00000075.jpg],
