HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3TYCR1GOTCKCNWXPNZX4RU0I8Q6LZC,A746183X8258H,Approved,"Mon Jun 20 01:40:20 PDT 2016","Mon Jun 20 01:41:37 PDT 2016",4[cctv3/img0105.jpg],2[cctv3/img0049.jpg],4[cctv3/img0111.jpg],2[cctv3/img0043.jpg],3[cctv3/img0763.jpg],3[cctv3/00000080.jpg],3[cctv3/img0182.jpg],3[cctv3/00000095.jpg],1[cctv3/00000043.jpg],5[cctv3/img0125.jpg],4[cctv3/00000148.jpg],3[cctv3/00000108.jpg],1[cctv3/00000105.jpg],1[cctv3/img0078.jpg],2[cctv3/img0035.jpg],3[cctv3/00000154.jpg],3[cctv3/00000103.jpg],3[cctv3/00000107.jpg],1[cctv3/img0114.jpg],3[cctv3/00000110.jpg],3[cctv3/img0260.jpg],5[cctv3/00000102.jpg],3[cctv3/00000153.jpg],3[cctv3/00000113.jpg],3[cctv3/00000155.jpg],3[cctv3/00000097.jpg],2[cctv3/img1499.jpg],3[cctv3/00000115.jpg],3[cctv3/00000106.jpg],2[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3PH3VY7DJLYSYQ9ORD4605HY6XBZWK,A1HIIALRVQ5C8B,Approved,"Mon Jun 20 02:03:23 PDT 2016","Mon Jun 20 02:06:25 PDT 2016",4[cctv3/img0105.jpg],3[cctv3/img0049.jpg],5[cctv3/img0111.jpg],5[cctv3/img0043.jpg],3[cctv3/img0763.jpg],5[cctv3/00000080.jpg],5[cctv3/img0182.jpg],4[cctv3/00000095.jpg],3[cctv3/00000043.jpg],5[cctv3/img0125.jpg],3[cctv3/00000148.jpg],2[cctv3/00000108.jpg],2[cctv3/00000105.jpg],2[cctv3/img0078.jpg],2[cctv3/img0035.jpg],3[cctv3/00000154.jpg],2[cctv3/00000103.jpg],3[cctv3/00000107.jpg],5[cctv3/img0114.jpg],3[cctv3/00000110.jpg],2[cctv3/img0260.jpg],2[cctv3/00000102.jpg],2[cctv3/00000153.jpg],3[cctv3/00000113.jpg],4[cctv3/00000155.jpg],4[cctv3/00000097.jpg],3[cctv3/img1499.jpg],3[cctv3/00000115.jpg],3[cctv3/00000106.jpg],4[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3X4JMASXCMA3825NSSVI7S1REPBB0P,A31EUQA8YR9SPI,Approved,"Mon Jun 20 02:09:50 PDT 2016","Mon Jun 20 02:11:12 PDT 2016",1[cctv3/img0105.jpg],2[cctv3/img0049.jpg],2[cctv3/img0111.jpg],1[cctv3/img0043.jpg],4[cctv3/img0763.jpg],5[cctv3/00000080.jpg],5[cctv3/img0182.jpg],3[cctv3/00000095.jpg],3[cctv3/00000043.jpg],5[cctv3/img0125.jpg],3[cctv3/00000148.jpg],3[cctv3/00000108.jpg],3[cctv3/00000105.jpg],3[cctv3/img0078.jpg],4[cctv3/img0035.jpg],4[cctv3/00000154.jpg],3[cctv3/00000103.jpg],3[cctv3/00000107.jpg],5[cctv3/img0114.jpg],3[cctv3/00000110.jpg],3[cctv3/img0260.jpg],5[cctv3/00000102.jpg],3[cctv3/00000153.jpg],3[cctv3/00000113.jpg],4[cctv3/00000155.jpg],4[cctv3/00000097.jpg],4[cctv3/img1499.jpg],4[cctv3/00000115.jpg],3[cctv3/00000106.jpg],3[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3SB4CE2TJVW6MI66PQKTLV4W6EBAXO,A1I63OL2TAXTGJ,Approved,"Mon Jun 20 02:09:14 PDT 2016","Mon Jun 20 02:12:46 PDT 2016",2[cctv3/img0105.jpg],1[cctv3/img0049.jpg],2[cctv3/img0111.jpg],2[cctv3/img0043.jpg],3[cctv3/img0763.jpg],3[cctv3/00000080.jpg],4[cctv3/img0182.jpg],3[cctv3/00000095.jpg],2[cctv3/00000043.jpg],5[cctv3/img0125.jpg],2[cctv3/00000148.jpg],2[cctv3/00000108.jpg],1[cctv3/00000105.jpg],2[cctv3/img0078.jpg],2[cctv3/img0035.jpg],4[cctv3/00000154.jpg],2[cctv3/00000103.jpg],2[cctv3/00000107.jpg],1[cctv3/img0114.jpg],2[cctv3/00000110.jpg],2[cctv3/img0260.jpg],3[cctv3/00000102.jpg],1[cctv3/00000153.jpg],1[cctv3/00000113.jpg],2[cctv3/00000155.jpg],1[cctv3/00000097.jpg],2[cctv3/img1499.jpg],2[cctv3/00000115.jpg],2[cctv3/00000106.jpg],1[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3FIJLY1B6U5W90LNEFW45JTK1VHPFU,AJZRLBKBHHKCU,Approved,"Mon Jun 20 02:54:57 PDT 2016","Mon Jun 20 02:59:20 PDT 2016",3[cctv3/img0105.jpg],3[cctv3/img0049.jpg],5[cctv3/img0111.jpg],3[cctv3/img0043.jpg],3[cctv3/img0763.jpg],1[cctv3/00000080.jpg],4[cctv3/img0182.jpg],4[cctv3/00000095.jpg],1[cctv3/00000043.jpg],5[cctv3/img0125.jpg],1[cctv3/00000148.jpg],2[cctv3/00000108.jpg],2[cctv3/00000105.jpg],2[cctv3/img0078.jpg],3[cctv3/img0035.jpg],3[cctv3/00000154.jpg],2[cctv3/00000103.jpg],1[cctv3/00000107.jpg],3[cctv3/img0114.jpg],4[cctv3/00000110.jpg],2[cctv3/img0260.jpg],3[cctv3/00000102.jpg],2[cctv3/00000153.jpg],1[cctv3/00000113.jpg],2[cctv3/00000155.jpg],1[cctv3/00000097.jpg],3[cctv3/img1499.jpg],1[cctv3/00000115.jpg],2[cctv3/00000106.jpg],2[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",32AT8R96GLAI5AY51LVXMOZYY23SUC,AR50UBGSH10FJ,Approved,"Mon Jun 20 02:59:16 PDT 2016","Mon Jun 20 03:00:38 PDT 2016",1[cctv3/img0105.jpg],2[cctv3/img0049.jpg],2[cctv3/img0111.jpg],1[cctv3/img0043.jpg],1[cctv3/img0763.jpg],2[cctv3/00000080.jpg],2[cctv3/img0182.jpg],1[cctv3/00000095.jpg],1[cctv3/00000043.jpg],4[cctv3/img0125.jpg],1[cctv3/00000148.jpg],2[cctv3/00000108.jpg],1[cctv3/00000105.jpg],2[cctv3/img0078.jpg],1[cctv3/img0035.jpg],1[cctv3/00000154.jpg],2[cctv3/00000103.jpg],2[cctv3/00000107.jpg],3[cctv3/img0114.jpg],2[cctv3/00000110.jpg],2[cctv3/img0260.jpg],4[cctv3/00000102.jpg],1[cctv3/00000153.jpg],2[cctv3/00000113.jpg],2[cctv3/00000155.jpg],1[cctv3/00000097.jpg],3[cctv3/img1499.jpg],3[cctv3/00000115.jpg],2[cctv3/00000106.jpg],3[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3OE22WJIGIP6SUJS9H6SROKXGEKQUN,A1WF5UHB8ZBG68,Approved,"Mon Jun 20 03:14:40 PDT 2016","Mon Jun 20 03:19:11 PDT 2016",2[cctv3/img0105.jpg],1[cctv3/img0049.jpg],1[cctv3/img0111.jpg],2[cctv3/img0043.jpg],3[cctv3/img0763.jpg],3[cctv3/00000080.jpg],3[cctv3/img0182.jpg],3[cctv3/00000095.jpg],1[cctv3/00000043.jpg],4[cctv3/img0125.jpg],3[cctv3/00000148.jpg],2[cctv3/00000108.jpg],2[cctv3/00000105.jpg],2[cctv3/img0078.jpg],3[cctv3/img0035.jpg],4[cctv3/00000154.jpg],3[cctv3/00000103.jpg],2[cctv3/00000107.jpg],2[cctv3/img0114.jpg],2[cctv3/00000110.jpg],2[cctv3/img0260.jpg],3[cctv3/00000102.jpg],2[cctv3/00000153.jpg],2[cctv3/00000113.jpg],3[cctv3/00000155.jpg],1[cctv3/00000097.jpg],2[cctv3/img1499.jpg],3[cctv3/00000115.jpg],2[cctv3/00000106.jpg],2[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3TXMY6UCAEPA602SNQLSXIYR9EEQCE,A2VU1PW10BMW5,Approved,"Mon Jun 20 03:43:28 PDT 2016","Mon Jun 20 03:50:55 PDT 2016",1[cctv3/img0105.jpg],1[cctv3/img0049.jpg],3[cctv3/img0111.jpg],3[cctv3/img0043.jpg],1[cctv3/img0763.jpg],4[cctv3/00000080.jpg],4[cctv3/img0182.jpg],2[cctv3/00000095.jpg],1[cctv3/00000043.jpg],5[cctv3/img0125.jpg],3[cctv3/00000148.jpg],1[cctv3/00000108.jpg],1[cctv3/00000105.jpg],1[cctv3/img0078.jpg],3[cctv3/img0035.jpg],1[cctv3/00000154.jpg],3[cctv3/00000103.jpg],1[cctv3/00000107.jpg],4[cctv3/img0114.jpg],1[cctv3/00000110.jpg],1[cctv3/img0260.jpg],1[cctv3/00000102.jpg],1[cctv3/00000153.jpg],1[cctv3/00000113.jpg],3[cctv3/00000155.jpg],1[cctv3/00000097.jpg],3[cctv3/img1499.jpg],1[cctv3/00000115.jpg],3[cctv3/00000106.jpg],1[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",320DUZ38G7N61PEKUMX2Q87KTBFGJO,A2UD295CIKI9F,Approved,"Mon Jun 20 03:46:25 PDT 2016","Mon Jun 20 03:52:08 PDT 2016",4[cctv3/img0105.jpg],1[cctv3/img0049.jpg],4[cctv3/img0111.jpg],3[cctv3/img0043.jpg],3[cctv3/img0763.jpg],3[cctv3/00000080.jpg],4[cctv3/img0182.jpg],3[cctv3/00000095.jpg],3[cctv3/00000043.jpg],5[cctv3/img0125.jpg],3[cctv3/00000148.jpg],3[cctv3/00000108.jpg],3[cctv3/00000105.jpg],3[cctv3/img0078.jpg],4[cctv3/img0035.jpg],5[cctv3/00000154.jpg],3[cctv3/00000103.jpg],3[cctv3/00000107.jpg],3[cctv3/img0114.jpg],4[cctv3/00000110.jpg],3[cctv3/img0260.jpg],4[cctv3/00000102.jpg],2[cctv3/00000153.jpg],3[cctv3/00000113.jpg],4[cctv3/00000155.jpg],4[cctv3/00000097.jpg],2[cctv3/img1499.jpg],4[cctv3/00000115.jpg],4[cctv3/00000106.jpg],3[cctv3/00000098.jpg],
359AP8GAGGLXDYZJ1P7L97LEQFEC7U,"cctv3_150-179","sample#command",3IHR8NYAM72MBKOYUY0LEFWTC5CP4A,A11X07ZTWGFCMN,Approved,"Mon Jun 20 03:50:27 PDT 2016","Mon Jun 20 03:52:15 PDT 2016",5[cctv3/img0105.jpg],3[cctv3/img0049.jpg],4[cctv3/img0111.jpg],2[cctv3/img0043.jpg],3[cctv3/img0763.jpg],4[cctv3/00000080.jpg],5[cctv3/img0182.jpg],5[cctv3/00000095.jpg],1[cctv3/00000043.jpg],5[cctv3/img0125.jpg],3[cctv3/00000148.jpg],3[cctv3/00000108.jpg],1[cctv3/00000105.jpg],2[cctv3/img0078.jpg],4[cctv3/img0035.jpg],3[cctv3/00000154.jpg],2[cctv3/00000103.jpg],1[cctv3/00000107.jpg],3[cctv3/img0114.jpg],1[cctv3/00000110.jpg],2[cctv3/img0260.jpg],2[cctv3/00000102.jpg],1[cctv3/00000153.jpg],1[cctv3/00000113.jpg],3[cctv3/00000155.jpg],1[cctv3/00000097.jpg],2[cctv3/img1499.jpg],1[cctv3/00000115.jpg],3[cctv3/00000106.jpg],1[cctv3/00000098.jpg],
