HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3ON104KXQKXCVTLZ6KEG694P527W44,A746183X8258H,Approved,"Mon Jun 20 01:41:42 PDT 2016","Mon Jun 20 01:43:00 PDT 2016",3[cctv3/00000005.jpg],3[cctv3/img0316.jpg],3[cctv3/00000055.jpg],2[cctv3/00000125.jpg],5[cctv3/img0750.jpg],3[cctv3/00000052.jpg],3[cctv3/00000035.jpg],3[cctv3/00000030.jpg],2[cctv3/00000015.jpg],3[cctv3/00000028.jpg],3[cctv3/00000069.jpg],3[cctv3/00000029.jpg],3[cctv3/00000000.jpg],2[cctv3/img0594.jpg],4[cctv3/img0188.jpg],4[cctv3/00000149.jpg],2[cctv3/00000022.jpg],4[cctv3/img0004.jpg],4[cctv3/img0088.jpg],3[cctv3/img0174.jpg],5[cctv3/img0024.jpg],3[cctv3/00000006.jpg],3[cctv3/00000009.jpg],1[cctv3/img0073.jpg],2[cctv3/00000008.jpg],2[cctv3/00000010.jpg],3[cctv3/img0086.jpg],2[cctv3/img0109.jpg],2[cctv3/img0126.jpg],5[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3FFJ6VRIL1PDVAJTY2NZTF549FV0IN,A31EUQA8YR9SPI,Approved,"Mon Jun 20 02:09:55 PDT 2016","Mon Jun 20 02:12:21 PDT 2016",4[cctv3/00000005.jpg],3[cctv3/img0316.jpg],4[cctv3/00000055.jpg],1[cctv3/00000125.jpg],3[cctv3/img0750.jpg],3[cctv3/00000052.jpg],3[cctv3/00000035.jpg],4[cctv3/00000030.jpg],4[cctv3/00000015.jpg],3[cctv3/00000028.jpg],3[cctv3/00000069.jpg],4[cctv3/00000029.jpg],3[cctv3/00000000.jpg],4[cctv3/img0594.jpg],5[cctv3/img0188.jpg],3[cctv3/00000149.jpg],3[cctv3/00000022.jpg],3[cctv3/img0004.jpg],4[cctv3/img0088.jpg],5[cctv3/img0174.jpg],5[cctv3/img0024.jpg],3[cctv3/00000006.jpg],5[cctv3/00000009.jpg],1[cctv3/img0073.jpg],3[cctv3/00000008.jpg],3[cctv3/00000010.jpg],4[cctv3/img0086.jpg],3[cctv3/img0109.jpg],4[cctv3/img0126.jpg],3[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3YOH7BII098KU6AX12W0ROA7VFZVKN,AJZRLBKBHHKCU,Approved,"Mon Jun 20 03:02:13 PDT 2016","Mon Jun 20 03:05:06 PDT 2016",2[cctv3/00000005.jpg],2[cctv3/img0316.jpg],2[cctv3/00000055.jpg],1[cctv3/00000125.jpg],4[cctv3/img0750.jpg],2[cctv3/00000052.jpg],2[cctv3/00000035.jpg],3[cctv3/00000030.jpg],4[cctv3/00000015.jpg],2[cctv3/00000028.jpg],2[cctv3/00000069.jpg],2[cctv3/00000029.jpg],2[cctv3/00000000.jpg],2[cctv3/img0594.jpg],5[cctv3/img0188.jpg],5[cctv3/00000149.jpg],4[cctv3/00000022.jpg],3[cctv3/img0004.jpg],2[cctv3/img0088.jpg],2[cctv3/img0174.jpg],4[cctv3/img0024.jpg],4[cctv3/00000006.jpg],5[cctv3/00000009.jpg],2[cctv3/img0073.jpg],4[cctv3/00000008.jpg],4[cctv3/00000010.jpg],3[cctv3/img0086.jpg],2[cctv3/img0109.jpg],4[cctv3/img0126.jpg],4[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3S0TNUHWKTJE5O8A1SZ3VXV90838DK,A1WF5UHB8ZBG68,Approved,"Mon Jun 20 03:14:41 PDT 2016","Mon Jun 20 03:20:20 PDT 2016",2[cctv3/00000005.jpg],2[cctv3/img0316.jpg],2[cctv3/00000055.jpg],2[cctv3/00000125.jpg],3[cctv3/img0750.jpg],2[cctv3/00000052.jpg],2[cctv3/00000035.jpg],2[cctv3/00000030.jpg],2[cctv3/00000015.jpg],2[cctv3/00000028.jpg],2[cctv3/00000069.jpg],2[cctv3/00000029.jpg],3[cctv3/00000000.jpg],2[cctv3/img0594.jpg],3[cctv3/img0188.jpg],2[cctv3/00000149.jpg],1[cctv3/00000022.jpg],3[cctv3/img0004.jpg],2[cctv3/img0088.jpg],2[cctv3/img0174.jpg],3[cctv3/img0024.jpg],2[cctv3/00000006.jpg],2[cctv3/00000009.jpg],2[cctv3/img0073.jpg],2[cctv3/00000008.jpg],2[cctv3/00000010.jpg],3[cctv3/img0086.jpg],1[cctv3/img0109.jpg],2[cctv3/img0126.jpg],3[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3RXCAC0YIRQHH8I13I0B1IY6D0L8GW,A2UD295CIKI9F,Approved,"Mon Jun 20 03:46:22 PDT 2016","Mon Jun 20 03:50:22 PDT 2016",5[cctv3/00000005.jpg],5[cctv3/img0316.jpg],3[cctv3/00000055.jpg],5[cctv3/00000125.jpg],5[cctv3/img0750.jpg],3[cctv3/00000052.jpg],4[cctv3/00000035.jpg],4[cctv3/00000030.jpg],3[cctv3/00000015.jpg],4[cctv3/00000028.jpg],3[cctv3/00000069.jpg],4[cctv3/00000029.jpg],5[cctv3/00000000.jpg],3[cctv3/img0594.jpg],5[cctv3/img0188.jpg],4[cctv3/00000149.jpg],2[cctv3/00000022.jpg],5[cctv3/img0004.jpg],5[cctv3/img0088.jpg],5[cctv3/img0174.jpg],4[cctv3/img0024.jpg],1[cctv3/00000006.jpg],4[cctv3/00000009.jpg],4[cctv3/img0073.jpg],4[cctv3/00000008.jpg],2[cctv3/00000010.jpg],5[cctv3/img0086.jpg],2[cctv3/img0109.jpg],3[cctv3/img0126.jpg],5[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3Y5140Z9DXHGJRNDFN2P8G6CHNDPIP,A11X07ZTWGFCMN,Approved,"Mon Jun 20 03:52:34 PDT 2016","Mon Jun 20 03:55:16 PDT 2016",4[cctv3/00000005.jpg],2[cctv3/img0316.jpg],1[cctv3/00000055.jpg],5[cctv3/00000125.jpg],5[cctv3/img0750.jpg],3[cctv3/00000052.jpg],3[cctv3/00000035.jpg],2[cctv3/00000030.jpg],3[cctv3/00000015.jpg],2[cctv3/00000028.jpg],2[cctv3/00000069.jpg],2[cctv3/00000029.jpg],4[cctv3/00000000.jpg],2[cctv3/img0594.jpg],5[cctv3/img0188.jpg],2[cctv3/00000149.jpg],2[cctv3/00000022.jpg],5[cctv3/img0004.jpg],4[cctv3/img0088.jpg],4[cctv3/img0174.jpg],5[cctv3/img0024.jpg],3[cctv3/00000006.jpg],4[cctv3/00000009.jpg],3[cctv3/img0073.jpg],2[cctv3/00000008.jpg],2[cctv3/00000010.jpg],3[cctv3/img0086.jpg],1[cctv3/img0109.jpg],2[cctv3/img0126.jpg],3[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3JMSRU9HQIVH86IN5GLXTTX2BI6VE6,A2VU1PW10BMW5,Approved,"Mon Jun 20 03:43:29 PDT 2016","Mon Jun 20 03:58:12 PDT 2016",1[cctv3/00000005.jpg],3[cctv3/img0316.jpg],1[cctv3/00000055.jpg],1[cctv3/00000125.jpg],1[cctv3/img0750.jpg],2[cctv3/00000052.jpg],2[cctv3/00000035.jpg],1[cctv3/00000030.jpg],1[cctv3/00000015.jpg],3[cctv3/00000028.jpg],1[cctv3/00000069.jpg],1[cctv3/00000029.jpg],1[cctv3/00000000.jpg],1[cctv3/img0594.jpg],3[cctv3/img0188.jpg],1[cctv3/00000149.jpg],1[cctv3/00000022.jpg],3[cctv3/img0004.jpg],1[cctv3/img0088.jpg],1[cctv3/img0174.jpg],3[cctv3/img0024.jpg],1[cctv3/00000006.jpg],1[cctv3/00000009.jpg],1[cctv3/img0073.jpg],1[cctv3/00000008.jpg],1[cctv3/00000010.jpg],3[cctv3/img0086.jpg],1[cctv3/img0109.jpg],1[cctv3/img0126.jpg],3[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3KXIR214I4HQJDNSS0P9I2O01VN243,A3QLUTH89HZQC9,Approved,"Mon Jun 20 04:02:16 PDT 2016","Mon Jun 20 04:04:12 PDT 2016",3[cctv3/00000005.jpg],3[cctv3/img0316.jpg],2[cctv3/00000055.jpg],4[cctv3/00000125.jpg],4[cctv3/img0750.jpg],3[cctv3/00000052.jpg],2[cctv3/00000035.jpg],3[cctv3/00000030.jpg],3[cctv3/00000015.jpg],3[cctv3/00000028.jpg],2[cctv3/00000069.jpg],2[cctv3/00000029.jpg],3[cctv3/00000000.jpg],3[cctv3/img0594.jpg],3[cctv3/img0188.jpg],3[cctv3/00000149.jpg],3[cctv3/00000022.jpg],4[cctv3/img0004.jpg],4[cctv3/img0088.jpg],4[cctv3/img0174.jpg],4[cctv3/img0024.jpg],3[cctv3/00000006.jpg],4[cctv3/00000009.jpg],4[cctv3/img0073.jpg],3[cctv3/00000008.jpg],3[cctv3/00000010.jpg],3[cctv3/img0086.jpg],3[cctv3/img0109.jpg],3[cctv3/img0126.jpg],3[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3B2X28YI3WGYMDR2UHBZGTBIRS1B6U,A3J5GUVGA6WQJG,Approved,"Mon Jun 20 03:14:10 PDT 2016","Mon Jun 20 04:09:00 PDT 2016",4[cctv3/00000005.jpg],5[cctv3/img0316.jpg],3[cctv3/00000055.jpg],5[cctv3/00000125.jpg],5[cctv3/img0750.jpg],3[cctv3/00000052.jpg],4[cctv3/00000035.jpg],4[cctv3/00000030.jpg],3[cctv3/00000015.jpg],4[cctv3/00000028.jpg],5[cctv3/00000069.jpg],4[cctv3/00000029.jpg],5[cctv3/00000000.jpg],4[cctv3/img0594.jpg],5[cctv3/img0188.jpg],4[cctv3/00000149.jpg],2[cctv3/00000022.jpg],4[cctv3/img0004.jpg],3[cctv3/img0088.jpg],4[cctv3/img0174.jpg],5[cctv3/img0024.jpg],2[cctv3/00000006.jpg],4[cctv3/00000009.jpg],2[cctv3/img0073.jpg],3[cctv3/00000008.jpg],3[cctv3/00000010.jpg],4[cctv3/img0086.jpg],3[cctv3/img0109.jpg],3[cctv3/img0126.jpg],3[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3OONKJ5DKCKOBJX6UDXTXTX9CS0BOO,A1X6Z5P43QE3IP,Approved,"Mon Jun 20 04:16:03 PDT 2016","Mon Jun 20 04:17:32 PDT 2016",3[cctv3/00000005.jpg],2[cctv3/img0316.jpg],2[cctv3/00000055.jpg],2[cctv3/00000125.jpg],5[cctv3/img0750.jpg],4[cctv3/00000052.jpg],4[cctv3/00000035.jpg],4[cctv3/00000030.jpg],4[cctv3/00000015.jpg],3[cctv3/00000028.jpg],2[cctv3/00000069.jpg],3[cctv3/00000029.jpg],4[cctv3/00000000.jpg],3[cctv3/img0594.jpg],5[cctv3/img0188.jpg],2[cctv3/00000149.jpg],2[cctv3/00000022.jpg],4[cctv3/img0004.jpg],3[cctv3/img0088.jpg],3[cctv3/img0174.jpg],4[cctv3/img0024.jpg],3[cctv3/00000006.jpg],2[cctv3/00000009.jpg],3[cctv3/img0073.jpg],2[cctv3/00000008.jpg],3[cctv3/00000010.jpg],3[cctv3/img0086.jpg],3[cctv3/img0109.jpg],3[cctv3/img0126.jpg],4[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3I7DHKZYGN1SGQ34U0NQ7DO3AVQF58,A2640WUUMUMYCQ,Approved,"Mon Jun 20 04:51:16 PDT 2016","Mon Jun 20 04:52:39 PDT 2016",2[cctv3/00000005.jpg],3[cctv3/img0316.jpg],2[cctv3/00000055.jpg],2[cctv3/00000125.jpg],3[cctv3/img0750.jpg],2[cctv3/00000052.jpg],2[cctv3/00000035.jpg],2[cctv3/00000030.jpg],2[cctv3/00000015.jpg],2[cctv3/00000028.jpg],2[cctv3/00000069.jpg],3[cctv3/00000029.jpg],4[cctv3/00000000.jpg],2[cctv3/img0594.jpg],2[cctv3/img0188.jpg],2[cctv3/00000149.jpg],1[cctv3/00000022.jpg],2[cctv3/img0004.jpg],4[cctv3/img0088.jpg],4[cctv3/img0174.jpg],5[cctv3/img0024.jpg],3[cctv3/00000006.jpg],3[cctv3/00000009.jpg],3[cctv3/img0073.jpg],3[cctv3/00000008.jpg],2[cctv3/00000010.jpg],3[cctv3/img0086.jpg],2[cctv3/img0109.jpg],3[cctv3/img0126.jpg],2[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3Z7VU45IPYIZXPTLUPFL7FR4AKHZ10,A1RDWHWYC68DZ,Approved,"Mon Jun 20 05:20:52 PDT 2016","Mon Jun 20 05:22:27 PDT 2016",4[cctv3/00000005.jpg],4[cctv3/img0316.jpg],3[cctv3/00000055.jpg],4[cctv3/00000125.jpg],5[cctv3/img0750.jpg],4[cctv3/00000052.jpg],3[cctv3/00000035.jpg],3[cctv3/00000030.jpg],4[cctv3/00000015.jpg],3[cctv3/00000028.jpg],4[cctv3/00000069.jpg],3[cctv3/00000029.jpg],4[cctv3/00000000.jpg],3[cctv3/img0594.jpg],5[cctv3/img0188.jpg],4[cctv3/00000149.jpg],4[cctv3/00000022.jpg],5[cctv3/img0004.jpg],4[cctv3/img0088.jpg],4[cctv3/img0174.jpg],5[cctv3/img0024.jpg],4[cctv3/00000006.jpg],4[cctv3/00000009.jpg],4[cctv3/img0073.jpg],4[cctv3/00000008.jpg],4[cctv3/00000010.jpg],4[cctv3/img0086.jpg],4[cctv3/img0109.jpg],4[cctv3/img0126.jpg],5[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3WI0P0II61TKNTN60153MEQEQ04DRE,A39J5RLVDTM6SM,Approved,"Mon Jun 20 05:46:45 PDT 2016","Mon Jun 20 05:49:29 PDT 2016",2[cctv3/00000005.jpg],3[cctv3/img0316.jpg],4[cctv3/00000055.jpg],2[cctv3/00000125.jpg],2[cctv3/img0750.jpg],1[cctv3/00000052.jpg],4[cctv3/00000035.jpg],3[cctv3/00000030.jpg],1[cctv3/00000015.jpg],2[cctv3/00000028.jpg],1[cctv3/00000069.jpg],3[cctv3/00000029.jpg],4[cctv3/00000000.jpg],3[cctv3/img0594.jpg],3[cctv3/img0188.jpg],2[cctv3/00000149.jpg],1[cctv3/00000022.jpg],5[cctv3/img0004.jpg],1[cctv3/img0088.jpg],5[cctv3/img0174.jpg],5[cctv3/img0024.jpg],2[cctv3/00000006.jpg],2[cctv3/00000009.jpg],3[cctv3/img0073.jpg],1[cctv3/00000008.jpg],1[cctv3/00000010.jpg],4[cctv3/img0086.jpg],1[cctv3/img0109.jpg],1[cctv3/img0126.jpg],3[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3COPXFW7XBD7PMD1FQN1LWLP9REPKC,AWQDOOSNH42QM,Approved,"Mon Jun 20 05:51:12 PDT 2016","Mon Jun 20 05:52:40 PDT 2016",5[cctv3/00000005.jpg],4[cctv3/img0316.jpg],5[cctv3/00000055.jpg],5[cctv3/00000125.jpg],5[cctv3/img0750.jpg],5[cctv3/00000052.jpg],5[cctv3/00000035.jpg],5[cctv3/00000030.jpg],5[cctv3/00000015.jpg],5[cctv3/00000028.jpg],5[cctv3/00000069.jpg],5[cctv3/00000029.jpg],5[cctv3/00000000.jpg],5[cctv3/img0594.jpg],5[cctv3/img0188.jpg],5[cctv3/00000149.jpg],3[cctv3/00000022.jpg],5[cctv3/img0004.jpg],4[cctv3/img0088.jpg],5[cctv3/img0174.jpg],5[cctv3/img0024.jpg],4[cctv3/00000006.jpg],5[cctv3/00000009.jpg],5[cctv3/img0073.jpg],4[cctv3/00000008.jpg],4[cctv3/00000010.jpg],5[cctv3/img0086.jpg],4[cctv3/img0109.jpg],4[cctv3/img0126.jpg],4[cctv3/img0082.jpg],
3BCRDCM0ODVWSWX2ASJRRCYQ0D3K6G,"cctv3_120-149","sample#command",3JWH6J9I9SE6TYXUTYXGI4X4MI7BNL,A2MRZ0YAU7HX6Y,Approved,"Mon Jun 20 06:31:58 PDT 2016","Mon Jun 20 06:33:12 PDT 2016",3[cctv3/00000005.jpg],2[cctv3/img0316.jpg],2[cctv3/00000055.jpg],3[cctv3/00000125.jpg],5[cctv3/img0750.jpg],3[cctv3/00000052.jpg],3[cctv3/00000035.jpg],3[cctv3/00000030.jpg],2[cctv3/00000015.jpg],2[cctv3/00000028.jpg],2[cctv3/00000069.jpg],3[cctv3/00000029.jpg],4[cctv3/00000000.jpg],3[cctv3/img0594.jpg],4[cctv3/img0188.jpg],2[cctv3/00000149.jpg],1[cctv3/00000022.jpg],4[cctv3/img0004.jpg],2[cctv3/img0088.jpg],2[cctv3/img0174.jpg],4[cctv3/img0024.jpg],1[cctv3/00000006.jpg],3[cctv3/00000009.jpg],2[cctv3/img0073.jpg],2[cctv3/00000008.jpg],1[cctv3/00000010.jpg],4[cctv3/img0086.jpg],1[cctv3/img0109.jpg],2[cctv3/img0126.jpg],4[cctv3/img0082.jpg],
