HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",3OSWBBLG1EY4KP9I90BVBWC2RH5XDA,A746183X8258H,Approved,"Mon Jun 20 01:33:51 PDT 2016","Mon Jun 20 01:35:03 PDT 2016",4[cctv3/00000051.jpg],2[cctv3/00000059.jpg],2[cctv3/00000042.jpg],3[cctv3/00000046.jpg],2[cctv3/00000061.jpg],3[cctv3/00000074.jpg],3[cctv3/00000119.jpg],2[cctv3/00000044.jpg],4[cctv3/00000045.jpg],4[cctv3/00000049.jpg],3[cctv3/00000150.jpg],3[cctv3/00000047.jpg],2[cctv3/img0157.jpg],3[cctv3/00000053.jpg],2[cctv3/img0156.jpg],4[cctv3/00000057.jpg],3[cctv3/00000048.jpg],3[cctv3/00000025.jpg],2[cctv3/img0070.jpg],1[cctv3/img1498.jpg],2[cctv3/img0075.jpg],3[cctv3/img0357.jpg],2[cctv3/00000123.jpg],1[cctv3/00000160.jpg],1[cctv3/img0361.jpg],2[cctv3/img0112.jpg],1[cctv3/00000152.jpg],1[cctv3/img0181.jpg],3[cctv3/img0014.jpg],2[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",3DH6GAKTYYQWNV4O6EMUL22EH59ZYH,A1ELYVM5GQIBM0,Approved,"Mon Jun 20 01:33:29 PDT 2016","Mon Jun 20 01:35:19 PDT 2016",2[cctv3/00000051.jpg],3[cctv3/00000059.jpg],4[cctv3/00000042.jpg],4[cctv3/00000046.jpg],4[cctv3/00000061.jpg],4[cctv3/00000074.jpg],4[cctv3/00000119.jpg],1[cctv3/00000044.jpg],3[cctv3/00000045.jpg],3[cctv3/00000049.jpg],4[cctv3/00000150.jpg],4[cctv3/00000047.jpg],3[cctv3/img0157.jpg],3[cctv3/00000053.jpg],3[cctv3/img0156.jpg],3[cctv3/00000057.jpg],3[cctv3/00000048.jpg],5[cctv3/00000025.jpg],2[cctv3/img0070.jpg],2[cctv3/img1498.jpg],3[cctv3/img0075.jpg],3[cctv3/img0357.jpg],3[cctv3/00000123.jpg],5[cctv3/00000160.jpg],3[cctv3/img0361.jpg],4[cctv3/img0112.jpg],1[cctv3/00000152.jpg],1[cctv3/img0181.jpg],1[cctv3/img0014.jpg],1[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",39RP059MEHU0BGCUHXIG5P84HSAMB9,ARVFAKIE4SL3R,Approved,"Mon Jun 20 01:42:07 PDT 2016","Mon Jun 20 01:44:44 PDT 2016",4[cctv3/00000051.jpg],1[cctv3/00000059.jpg],4[cctv3/00000042.jpg],3[cctv3/00000046.jpg],3[cctv3/00000061.jpg],4[cctv3/00000074.jpg],3[cctv3/00000119.jpg],2[cctv3/00000044.jpg],4[cctv3/00000045.jpg],4[cctv3/00000049.jpg],3[cctv3/00000150.jpg],4[cctv3/00000047.jpg],2[cctv3/img0157.jpg],2[cctv3/00000053.jpg],3[cctv3/img0156.jpg],4[cctv3/00000057.jpg],4[cctv3/00000048.jpg],4[cctv3/00000025.jpg],1[cctv3/img0070.jpg],3[cctv3/img1498.jpg],4[cctv3/img0075.jpg],5[cctv3/img0357.jpg],3[cctv3/00000123.jpg],3[cctv3/00000160.jpg],2[cctv3/img0361.jpg],4[cctv3/img0112.jpg],3[cctv3/00000152.jpg],3[cctv3/img0181.jpg],3[cctv3/img0014.jpg],2[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",3F6KKYWMNB2Z8VVE7UOMDUL4P3XNDI,A7SM0NS3IFW96,Approved,"Mon Jun 20 01:48:23 PDT 2016","Mon Jun 20 01:55:23 PDT 2016",1[cctv3/00000051.jpg],2[cctv3/00000059.jpg],4[cctv3/00000042.jpg],3[cctv3/00000046.jpg],1[cctv3/00000061.jpg],3[cctv3/00000074.jpg],5[cctv3/00000119.jpg],1[cctv3/00000044.jpg],2[cctv3/00000045.jpg],2[cctv3/00000049.jpg],4[cctv3/00000150.jpg],2[cctv3/00000047.jpg],4[cctv3/img0157.jpg],3[cctv3/00000053.jpg],4[cctv3/img0156.jpg],4[cctv3/00000057.jpg],1[cctv3/00000048.jpg],5[cctv3/00000025.jpg],2[cctv3/img0070.jpg],1[cctv3/img1498.jpg],2[cctv3/img0075.jpg],5[cctv3/img0357.jpg],3[cctv3/00000123.jpg],2[cctv3/00000160.jpg],1[cctv3/img0361.jpg],5[cctv3/img0112.jpg],1[cctv3/00000152.jpg],1[cctv3/img0181.jpg],4[cctv3/img0014.jpg],2[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",3UXUOQ9OKEYC730F7DGVRWR84LW7AQ,A3K1ZFUBDLBCTE,Approved,"Mon Jun 20 01:59:00 PDT 2016","Mon Jun 20 02:01:21 PDT 2016",3[cctv3/00000051.jpg],3[cctv3/00000059.jpg],4[cctv3/00000042.jpg],4[cctv3/00000046.jpg],3[cctv3/00000061.jpg],4[cctv3/00000074.jpg],2[cctv3/00000119.jpg],3[cctv3/00000044.jpg],3[cctv3/00000045.jpg],3[cctv3/00000049.jpg],4[cctv3/00000150.jpg],3[cctv3/00000047.jpg],1[cctv3/img0157.jpg],3[cctv3/00000053.jpg],2[cctv3/img0156.jpg],4[cctv3/00000057.jpg],3[cctv3/00000048.jpg],4[cctv3/00000025.jpg],1[cctv3/img0070.jpg],1[cctv3/img1498.jpg],1[cctv3/img0075.jpg],5[cctv3/img0357.jpg],1[cctv3/00000123.jpg],3[cctv3/00000160.jpg],3[cctv3/img0361.jpg],3[cctv3/img0112.jpg],3[cctv3/00000152.jpg],3[cctv3/img0181.jpg],3[cctv3/img0014.jpg],1[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",3LKC68YZ3A4GZMVHP4TPK7AUMT8OW7,A1HIIALRVQ5C8B,Approved,"Mon Jun 20 01:58:09 PDT 2016","Mon Jun 20 02:01:21 PDT 2016",3[cctv3/00000051.jpg],1[cctv3/00000059.jpg],4[cctv3/00000042.jpg],3[cctv3/00000046.jpg],2[cctv3/00000061.jpg],4[cctv3/00000074.jpg],3[cctv3/00000119.jpg],3[cctv3/00000044.jpg],3[cctv3/00000045.jpg],3[cctv3/00000049.jpg],5[cctv3/00000150.jpg],1[cctv3/00000047.jpg],2[cctv3/img0157.jpg],2[cctv3/00000053.jpg],3[cctv3/img0156.jpg],3[cctv3/00000057.jpg],2[cctv3/00000048.jpg],3[cctv3/00000025.jpg],1[cctv3/img0070.jpg],4[cctv3/img1498.jpg],4[cctv3/img0075.jpg],5[cctv3/img0357.jpg],2[cctv3/00000123.jpg],4[cctv3/00000160.jpg],4[cctv3/img0361.jpg],3[cctv3/img0112.jpg],2[cctv3/00000152.jpg],2[cctv3/img0181.jpg],3[cctv3/img0014.jpg],3[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",34J10VATJFZ1J3OSF0HE8LWMMJTQIB,A31EUQA8YR9SPI,Approved,"Mon Jun 20 02:05:10 PDT 2016","Mon Jun 20 02:06:53 PDT 2016",1[cctv3/00000051.jpg],4[cctv3/00000059.jpg],5[cctv3/00000042.jpg],4[cctv3/00000046.jpg],3[cctv3/00000061.jpg],5[cctv3/00000074.jpg],3[cctv3/00000119.jpg],1[cctv3/00000044.jpg],3[cctv3/00000045.jpg],4[cctv3/00000049.jpg],4[cctv3/00000150.jpg],3[cctv3/00000047.jpg],5[cctv3/img0157.jpg],2[cctv3/00000053.jpg],3[cctv3/img0156.jpg],4[cctv3/00000057.jpg],3[cctv3/00000048.jpg],4[cctv3/00000025.jpg],4[cctv3/img0070.jpg],3[cctv3/img1498.jpg],3[cctv3/img0075.jpg],5[cctv3/img0357.jpg],3[cctv3/00000123.jpg],4[cctv3/00000160.jpg],1[cctv3/img0361.jpg],3[cctv3/img0112.jpg],1[cctv3/00000152.jpg],1[cctv3/img0181.jpg],2[cctv3/img0014.jpg],3[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",386CSBG1OZNLQJTRDZ8PBI6HDSZQ6I,A1SPUX6HDK79C2,Approved,"Mon Jun 20 02:17:23 PDT 2016","Mon Jun 20 02:19:18 PDT 2016",1[cctv3/00000051.jpg],4[cctv3/00000059.jpg],5[cctv3/00000042.jpg],5[cctv3/00000046.jpg],3[cctv3/00000061.jpg],1[cctv3/00000074.jpg],3[cctv3/00000119.jpg],3[cctv3/00000044.jpg],2[cctv3/00000045.jpg],2[cctv3/00000049.jpg],4[cctv3/00000150.jpg],3[cctv3/00000047.jpg],5[cctv3/img0157.jpg],4[cctv3/00000053.jpg],4[cctv3/img0156.jpg],5[cctv3/00000057.jpg],5[cctv3/00000048.jpg],3[cctv3/00000025.jpg],4[cctv3/img0070.jpg],1[cctv3/img1498.jpg],2[cctv3/img0075.jpg],3[cctv3/img0357.jpg],4[cctv3/00000123.jpg],1[cctv3/00000160.jpg],2[cctv3/img0361.jpg],3[cctv3/img0112.jpg],3[cctv3/00000152.jpg],4[cctv3/img0181.jpg],2[cctv3/img0014.jpg],3[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",3PXX5PX6LXZZ9F35KUSBWYD4NBPABH,A1CLVGLQPSHDF,Approved,"Mon Jun 20 02:36:03 PDT 2016","Mon Jun 20 02:38:02 PDT 2016",2[cctv3/00000051.jpg],3[cctv3/00000059.jpg],1[cctv3/00000042.jpg],4[cctv3/00000046.jpg],4[cctv3/00000061.jpg],5[cctv3/00000074.jpg],3[cctv3/00000119.jpg],1[cctv3/00000044.jpg],4[cctv3/00000045.jpg],4[cctv3/00000049.jpg],3[cctv3/00000150.jpg],4[cctv3/00000047.jpg],1[cctv3/img0157.jpg],1[cctv3/00000053.jpg],4[cctv3/img0156.jpg],5[cctv3/00000057.jpg],3[cctv3/00000048.jpg],5[cctv3/00000025.jpg],4[cctv3/img0070.jpg],4[cctv3/img1498.jpg],4[cctv3/img0075.jpg],5[cctv3/img0357.jpg],4[cctv3/00000123.jpg],4[cctv3/00000160.jpg],4[cctv3/img0361.jpg],3[cctv3/img0112.jpg],1[cctv3/00000152.jpg],1[cctv3/img0181.jpg],4[cctv3/img0014.jpg],2[cctv3/img0015.jpg],
3I4E7AFQ2K07JA2WOKR817QR5WDTJ0,"cctv3_30-59","sample#command",3WEV0KO0OMTWO8NJFQ58COVAC27SD1,A13XR0NV702JVZ,Approved,"Mon Jun 20 02:35:06 PDT 2016","Mon Jun 20 02:39:23 PDT 2016",1[cctv3/00000051.jpg],2[cctv3/00000059.jpg],3[cctv3/00000042.jpg],3[cctv3/00000046.jpg],3[cctv3/00000061.jpg],4[cctv3/00000074.jpg],3[cctv3/00000119.jpg],2[cctv3/00000044.jpg],4[cctv3/00000045.jpg],2[cctv3/00000049.jpg],5[cctv3/00000150.jpg],3[cctv3/00000047.jpg],4[cctv3/img0157.jpg],2[cctv3/00000053.jpg],4[cctv3/img0156.jpg],4[cctv3/00000057.jpg],3[cctv3/00000048.jpg],3[cctv3/00000025.jpg],4[cctv3/img0070.jpg],3[cctv3/img1498.jpg],1[cctv3/img0075.jpg],4[cctv3/img0357.jpg],2[cctv3/00000123.jpg],4[cctv3/00000160.jpg],1[cctv3/img0361.jpg],3[cctv3/img0112.jpg],1[cctv3/00000152.jpg],2[cctv3/img0181.jpg],2[cctv3/img0014.jpg],3[cctv3/img0015.jpg],
