HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",34QN5IT0TZSK647GPGB8GQBQ6JP08E,A36H3PO6JZD414,Approved,"Mon Jun 20 01:51:17 PDT 2016","Mon Jun 20 01:53:09 PDT 2016",3[cctv3/00000151.jpg],4[cctv3/00000104.jpg],4[cctv3/00000100.jpg],3[cctv3/img0090.jpg],2[cctv3/00000114.jpg],4[cctv3/00000156.jpg],4[cctv3/img0223.jpg],3[cctv3/00000070.jpg],4[cctv3/00000101.jpg],2[cctv3/00000124.jpg],5[cctv3/img0288.jpg],3[cctv3/00000116.jpg],2[cctv3/00000109.jpg],2[cctv3/img0067.jpg],3[cctv3/img0026.jpg],3[cctv3/img0084.jpg],3[cctv3/img1497.jpg],4[cctv3/img0058.jpg],4[cctv3/img0147.jpg],2[cctv3/00000093.jpg],3[cctv3/img0623.jpg],2[cctv3/00000079.jpg],3[cctv3/img0097.jpg],4[cctv3/img0093.jpg],3[cctv3/img0219.jpg],4[cctv3/00000092.jpg],4[cctv3/img0136.jpg],3[cctv3/00000072.jpg],3[cctv3/img0140.jpg],4[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",345LHZDEDXTELTDQB6UWEGRM6M1U3J,A3K1ZFUBDLBCTE,Approved,"Mon Jun 20 02:01:54 PDT 2016","Mon Jun 20 02:04:33 PDT 2016",1[cctv3/00000151.jpg],1[cctv3/00000104.jpg],1[cctv3/00000100.jpg],1[cctv3/img0090.jpg],2[cctv3/00000114.jpg],1[cctv3/00000156.jpg],1[cctv3/img0223.jpg],1[cctv3/00000070.jpg],1[cctv3/00000101.jpg],2[cctv3/00000124.jpg],1[cctv3/img0288.jpg],2[cctv3/00000116.jpg],2[cctv3/00000109.jpg],2[cctv3/img0067.jpg],2[cctv3/img0026.jpg],2[cctv3/img0084.jpg],2[cctv3/img1497.jpg],4[cctv3/img0058.jpg],3[cctv3/img0147.jpg],1[cctv3/00000093.jpg],1[cctv3/img0623.jpg],1[cctv3/00000079.jpg],4[cctv3/img0097.jpg],1[cctv3/img0093.jpg],1[cctv3/img0219.jpg],1[cctv3/00000092.jpg],4[cctv3/img0136.jpg],1[cctv3/00000072.jpg],4[cctv3/img0140.jpg],4[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",3MMN5BL1WZ5V8L8H243AN6AST0ZM3K,A31EUQA8YR9SPI,Approved,"Mon Jun 20 02:12:33 PDT 2016","Mon Jun 20 02:14:51 PDT 2016",3[cctv3/00000151.jpg],3[cctv3/00000104.jpg],4[cctv3/00000100.jpg],3[cctv3/img0090.jpg],4[cctv3/00000114.jpg],3[cctv3/00000156.jpg],4[cctv3/img0223.jpg],3[cctv3/00000070.jpg],4[cctv3/00000101.jpg],3[cctv3/00000124.jpg],4[cctv3/img0288.jpg],4[cctv3/00000116.jpg],3[cctv3/00000109.jpg],3[cctv3/img0067.jpg],3[cctv3/img0026.jpg],2[cctv3/img0084.jpg],3[cctv3/img1497.jpg],4[cctv3/img0058.jpg],5[cctv3/img0147.jpg],5[cctv3/00000093.jpg],4[cctv3/img0623.jpg],3[cctv3/00000079.jpg],2[cctv3/img0097.jpg],4[cctv3/img0093.jpg],3[cctv3/img0219.jpg],3[cctv3/00000092.jpg],2[cctv3/img0136.jpg],3[cctv3/00000072.jpg],3[cctv3/img0140.jpg],5[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",3E4GGUZ1T8SBXFCVDSCPPJDWYH52KL,A1TE5CML1V34WP,Approved,"Mon Jun 20 02:19:44 PDT 2016","Mon Jun 20 02:24:40 PDT 2016",2[cctv3/00000151.jpg],3[cctv3/00000104.jpg],3[cctv3/00000100.jpg],4[cctv3/img0090.jpg],3[cctv3/00000114.jpg],1[cctv3/00000156.jpg],2[cctv3/img0223.jpg],1[cctv3/00000070.jpg],3[cctv3/00000101.jpg],2[cctv3/00000124.jpg],3[cctv3/img0288.jpg],2[cctv3/00000116.jpg],2[cctv3/00000109.jpg],4[cctv3/img0067.jpg],3[cctv3/img0026.jpg],4[cctv3/img0084.jpg],4[cctv3/img1497.jpg],4[cctv3/img0058.jpg],3[cctv3/img0147.jpg],2[cctv3/00000093.jpg],4[cctv3/img0623.jpg],2[cctv3/00000079.jpg],1[cctv3/img0097.jpg],3[cctv3/img0093.jpg],4[cctv3/img0219.jpg],3[cctv3/00000092.jpg],4[cctv3/img0136.jpg],2[cctv3/00000072.jpg],2[cctv3/img0140.jpg],5[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",3VE8AYVF8MYB38M6SYUTJXYUCLJ8FV,A3QLUTH89HZQC9,Approved,"Mon Jun 20 03:14:33 PDT 2016","Mon Jun 20 03:17:30 PDT 2016",3[cctv3/00000151.jpg],3[cctv3/00000104.jpg],3[cctv3/00000100.jpg],4[cctv3/img0090.jpg],3[cctv3/00000114.jpg],3[cctv3/00000156.jpg],3[cctv3/img0223.jpg],3[cctv3/00000070.jpg],3[cctv3/00000101.jpg],4[cctv3/00000124.jpg],3[cctv3/img0288.jpg],3[cctv3/00000116.jpg],2[cctv3/00000109.jpg],4[cctv3/img0067.jpg],5[cctv3/img0026.jpg],4[cctv3/img0084.jpg],3[cctv3/img1497.jpg],4[cctv3/img0058.jpg],3[cctv3/img0147.jpg],3[cctv3/00000093.jpg],3[cctv3/img0623.jpg],2[cctv3/00000079.jpg],3[cctv3/img0097.jpg],3[cctv3/img0093.jpg],4[cctv3/img0219.jpg],3[cctv3/00000092.jpg],4[cctv3/img0136.jpg],3[cctv3/00000072.jpg],5[cctv3/img0140.jpg],4[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",3UXUOQ9OKEYC730F7DGVRWR84L07AU,AJZRLBKBHHKCU,Approved,"Mon Jun 20 03:05:29 PDT 2016","Mon Jun 20 03:19:49 PDT 2016",1[cctv3/00000151.jpg],2[cctv3/00000104.jpg],3[cctv3/00000100.jpg],2[cctv3/img0090.jpg],3[cctv3/00000114.jpg],4[cctv3/00000156.jpg],4[cctv3/img0223.jpg],3[cctv3/00000070.jpg],4[cctv3/00000101.jpg],3[cctv3/00000124.jpg],3[cctv3/img0288.jpg],3[cctv3/00000116.jpg],3[cctv3/00000109.jpg],2[cctv3/img0067.jpg],3[cctv3/img0026.jpg],4[cctv3/img0084.jpg],3[cctv3/img1497.jpg],4[cctv3/img0058.jpg],3[cctv3/img0147.jpg],1[cctv3/00000093.jpg],2[cctv3/img0623.jpg],2[cctv3/00000079.jpg],3[cctv3/img0097.jpg],3[cctv3/img0093.jpg],3[cctv3/img0219.jpg],3[cctv3/00000092.jpg],2[cctv3/img0136.jpg],3[cctv3/00000072.jpg],3[cctv3/img0140.jpg],4[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",3DIP6YHAPCTJXUMAXNAN1FDU0K48ED,A1WF5UHB8ZBG68,Approved,"Mon Jun 20 03:14:44 PDT 2016","Mon Jun 20 03:22:46 PDT 2016",2[cctv3/00000151.jpg],2[cctv3/00000104.jpg],2[cctv3/00000100.jpg],2[cctv3/img0090.jpg],3[cctv3/00000114.jpg],1[cctv3/00000156.jpg],2[cctv3/img0223.jpg],2[cctv3/00000070.jpg],2[cctv3/00000101.jpg],1[cctv3/00000124.jpg],2[cctv3/img0288.jpg],2[cctv3/00000116.jpg],2[cctv3/00000109.jpg],1[cctv3/img0067.jpg],2[cctv3/img0026.jpg],2[cctv3/img0084.jpg],2[cctv3/img1497.jpg],4[cctv3/img0058.jpg],3[cctv3/img0147.jpg],3[cctv3/00000093.jpg],3[cctv3/img0623.jpg],2[cctv3/00000079.jpg],3[cctv3/img0097.jpg],3[cctv3/img0093.jpg],2[cctv3/img0219.jpg],2[cctv3/00000092.jpg],4[cctv3/img0136.jpg],3[cctv3/00000072.jpg],4[cctv3/img0140.jpg],4[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",3OXV7EAXLERTJINPFOWTYAD630Q630,A2UD295CIKI9F,Approved,"Mon Jun 20 03:44:25 PDT 2016","Mon Jun 20 03:45:54 PDT 2016",2[cctv3/00000151.jpg],3[cctv3/00000104.jpg],4[cctv3/00000100.jpg],4[cctv3/img0090.jpg],4[cctv3/00000114.jpg],1[cctv3/00000156.jpg],3[cctv3/img0223.jpg],5[cctv3/00000070.jpg],4[cctv3/00000101.jpg],4[cctv3/00000124.jpg],5[cctv3/img0288.jpg],5[cctv3/00000116.jpg],3[cctv3/00000109.jpg],5[cctv3/img0067.jpg],5[cctv3/img0026.jpg],5[cctv3/img0084.jpg],5[cctv3/img1497.jpg],5[cctv3/img0058.jpg],5[cctv3/img0147.jpg],5[cctv3/00000093.jpg],5[cctv3/img0623.jpg],5[cctv3/00000079.jpg],5[cctv3/img0097.jpg],5[cctv3/img0093.jpg],4[cctv3/img0219.jpg],5[cctv3/00000092.jpg],5[cctv3/img0136.jpg],3[cctv3/00000072.jpg],5[cctv3/img0140.jpg],5[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",34FNN24DCMAYGHKZZQFEWYVJG6A5YP,A2VU1PW10BMW5,Approved,"Mon Jun 20 03:43:32 PDT 2016","Mon Jun 20 03:56:04 PDT 2016",2[cctv3/00000151.jpg],1[cctv3/00000104.jpg],1[cctv3/00000100.jpg],3[cctv3/img0090.jpg],1[cctv3/00000114.jpg],1[cctv3/00000156.jpg],1[cctv3/img0223.jpg],1[cctv3/00000070.jpg],1[cctv3/00000101.jpg],3[cctv3/00000124.jpg],1[cctv3/img0288.jpg],3[cctv3/00000116.jpg],3[cctv3/00000109.jpg],5[cctv3/img0067.jpg],4[cctv3/img0026.jpg],1[cctv3/img0084.jpg],1[cctv3/img1497.jpg],5[cctv3/img0058.jpg],1[cctv3/img0147.jpg],1[cctv3/00000093.jpg],3[cctv3/img0623.jpg],1[cctv3/00000079.jpg],1[cctv3/img0097.jpg],1[cctv3/img0093.jpg],3[cctv3/img0219.jpg],3[cctv3/00000092.jpg],3[cctv3/img0136.jpg],3[cctv3/00000072.jpg],4[cctv3/img0140.jpg],5[cctv3/img0029.jpg],
3P6ENY9P79XLJQRV68PJBN83HNUHI3,"cctv3_180-209","sample#command",3F6HPJW4JD12SF6C26VSDU7RLOK2WN,A3PIDY15ODYS8,Approved,"Mon Jun 20 03:56:35 PDT 2016","Mon Jun 20 04:00:37 PDT 2016",4[cctv3/00000151.jpg],2[cctv3/00000104.jpg],3[cctv3/00000100.jpg],4[cctv3/img0090.jpg],5[cctv3/00000114.jpg],2[cctv3/00000156.jpg],3[cctv3/img0223.jpg],4[cctv3/00000070.jpg],3[cctv3/00000101.jpg],3[cctv3/00000124.jpg],5[cctv3/img0288.jpg],5[cctv3/00000116.jpg],4[cctv3/00000109.jpg],5[cctv3/img0067.jpg],4[cctv3/img0026.jpg],5[cctv3/img0084.jpg],4[cctv3/img1497.jpg],5[cctv3/img0058.jpg],4[cctv3/img0147.jpg],4[cctv3/00000093.jpg],3[cctv3/img0623.jpg],2[cctv3/00000079.jpg],5[cctv3/img0097.jpg],3[cctv3/img0093.jpg],3[cctv3/img0219.jpg],2[cctv3/00000092.jpg],5[cctv3/img0136.jpg],3[cctv3/00000072.jpg],5[cctv3/img0140.jpg],5[cctv3/img0029.jpg],
