HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",3634BBTX0OV4SEYJ1K6KWMS8FHIFI4,A746183X8258H,Approved,"Mon Jun 20 01:35:18 PDT 2016","Mon Jun 20 01:36:33 PDT 2016",3[cctv3/00000147.jpg],4[cctv3/00000007.jpg],3[cctv3/00000033.jpg],4[cctv3/00000038.jpg],3[cctv3/img0222.jpg],3[cctv3/00000023.jpg],3[cctv3/00000085.jpg],3[cctv3/00000036.jpg],3[cctv3/00000084.jpg],4[cctv3/00000088.jpg],4[cctv3/00000094.jpg],3[cctv3/00000026.jpg],5[cctv3/img0000.jpg],2[cctv3/00000037.jpg],2[cctv3/00000083.jpg],2[cctv3/00000027.jpg],3[cctv3/00000086.jpg],2[cctv3/00000041.jpg],2[cctv3/00000050.jpg],2[cctv3/00000014.jpg],3[cctv3/img0144.jpg],3[cctv3/00000158.jpg],4[cctv3/img0018.jpg],3[cctv3/00000082.jpg],4[cctv3/img0013.jpg],4[cctv3/img0276.jpg],4[cctv3/img0177.jpg],2[cctv3/img0002.jpg],4[cctv3/img0050.jpg],1[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",37ZHEEHM6WNCNI1UYY1L4OD2YB437Q,A31EUQA8YR9SPI,Approved,"Mon Jun 20 02:07:05 PDT 2016","Mon Jun 20 02:08:25 PDT 2016",2[cctv3/00000147.jpg],3[cctv3/00000007.jpg],4[cctv3/00000033.jpg],3[cctv3/00000038.jpg],4[cctv3/img0222.jpg],3[cctv3/00000023.jpg],3[cctv3/00000085.jpg],3[cctv3/00000036.jpg],5[cctv3/00000084.jpg],4[cctv3/00000088.jpg],3[cctv3/00000094.jpg],3[cctv3/00000026.jpg],4[cctv3/img0000.jpg],3[cctv3/00000037.jpg],4[cctv3/00000083.jpg],3[cctv3/00000027.jpg],2[cctv3/00000086.jpg],4[cctv3/00000041.jpg],4[cctv3/00000050.jpg],3[cctv3/00000014.jpg],4[cctv3/img0144.jpg],3[cctv3/00000158.jpg],4[cctv3/img0018.jpg],3[cctv3/00000082.jpg],4[cctv3/img0013.jpg],3[cctv3/img0276.jpg],3[cctv3/img0177.jpg],3[cctv3/img0002.jpg],3[cctv3/img0050.jpg],4[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",3YJ6NA41JBHCE27JX5NPKHLCU2YJPR,AR50UBGSH10FJ,Approved,"Mon Jun 20 02:53:35 PDT 2016","Mon Jun 20 02:54:44 PDT 2016",1[cctv3/00000147.jpg],2[cctv3/00000007.jpg],1[cctv3/00000033.jpg],2[cctv3/00000038.jpg],1[cctv3/img0222.jpg],2[cctv3/00000023.jpg],1[cctv3/00000085.jpg],2[cctv3/00000036.jpg],1[cctv3/00000084.jpg],3[cctv3/00000088.jpg],1[cctv3/00000094.jpg],2[cctv3/00000026.jpg],4[cctv3/img0000.jpg],2[cctv3/00000037.jpg],1[cctv3/00000083.jpg],2[cctv3/00000027.jpg],1[cctv3/00000086.jpg],1[cctv3/00000041.jpg],1[cctv3/00000050.jpg],1[cctv3/00000014.jpg],2[cctv3/img0144.jpg],2[cctv3/00000158.jpg],3[cctv3/img0018.jpg],3[cctv3/00000082.jpg],3[cctv3/img0013.jpg],2[cctv3/img0276.jpg],2[cctv3/img0177.jpg],3[cctv3/img0002.jpg],3[cctv3/img0050.jpg],3[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",3HUTX6F6VUOUN6XABK4IW0U5IMHO2T,AJZRLBKBHHKCU,Approved,"Mon Jun 20 02:59:44 PDT 2016","Mon Jun 20 03:02:03 PDT 2016",2[cctv3/00000147.jpg],4[cctv3/00000007.jpg],2[cctv3/00000033.jpg],2[cctv3/00000038.jpg],1[cctv3/img0222.jpg],1[cctv3/00000023.jpg],3[cctv3/00000085.jpg],2[cctv3/00000036.jpg],2[cctv3/00000084.jpg],3[cctv3/00000088.jpg],2[cctv3/00000094.jpg],3[cctv3/00000026.jpg],4[cctv3/img0000.jpg],2[cctv3/00000037.jpg],1[cctv3/00000083.jpg],2[cctv3/00000027.jpg],1[cctv3/00000086.jpg],1[cctv3/00000041.jpg],1[cctv3/00000050.jpg],2[cctv3/00000014.jpg],1[cctv3/img0144.jpg],3[cctv3/00000158.jpg],2[cctv3/img0018.jpg],1[cctv3/00000082.jpg],2[cctv3/img0013.jpg],2[cctv3/img0276.jpg],2[cctv3/img0177.jpg],3[cctv3/img0002.jpg],4[cctv3/img0050.jpg],2[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",3ZAK8W07I4FI41ETSJCDCITF3ALU0S,A1XC5OV00MECKQ,Approved,"Mon Jun 20 03:03:42 PDT 2016","Mon Jun 20 03:12:58 PDT 2016",5[cctv3/00000147.jpg],5[cctv3/00000007.jpg],4[cctv3/00000033.jpg],5[cctv3/00000038.jpg],4[cctv3/img0222.jpg],5[cctv3/00000023.jpg],5[cctv3/00000085.jpg],5[cctv3/00000036.jpg],5[cctv3/00000084.jpg],5[cctv3/00000088.jpg],4[cctv3/00000094.jpg],4[cctv3/00000026.jpg],5[cctv3/img0000.jpg],5[cctv3/00000037.jpg],5[cctv3/00000083.jpg],4[cctv3/00000027.jpg],4[cctv3/00000086.jpg],4[cctv3/00000041.jpg],4[cctv3/00000050.jpg],4[cctv3/00000014.jpg],3[cctv3/img0144.jpg],4[cctv3/00000158.jpg],5[cctv3/img0018.jpg],4[cctv3/00000082.jpg],5[cctv3/img0013.jpg],4[cctv3/img0276.jpg],5[cctv3/img0177.jpg],4[cctv3/img0002.jpg],5[cctv3/img0050.jpg],4[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",34T446B1C0FMI7XT6SRDIC79WAF0CP,A1WF5UHB8ZBG68,Approved,"Mon Jun 20 03:14:37 PDT 2016","Mon Jun 20 03:16:52 PDT 2016",3[cctv3/00000147.jpg],3[cctv3/00000007.jpg],2[cctv3/00000033.jpg],1[cctv3/00000038.jpg],1[cctv3/img0222.jpg],2[cctv3/00000023.jpg],2[cctv3/00000085.jpg],2[cctv3/00000036.jpg],2[cctv3/00000084.jpg],3[cctv3/00000088.jpg],3[cctv3/00000094.jpg],1[cctv3/00000026.jpg],4[cctv3/img0000.jpg],1[cctv3/00000037.jpg],1[cctv3/00000083.jpg],2[cctv3/00000027.jpg],1[cctv3/00000086.jpg],1[cctv3/00000041.jpg],3[cctv3/00000050.jpg],2[cctv3/00000014.jpg],2[cctv3/img0144.jpg],3[cctv3/00000158.jpg],2[cctv3/img0018.jpg],2[cctv3/00000082.jpg],2[cctv3/img0013.jpg],2[cctv3/img0276.jpg],3[cctv3/img0177.jpg],2[cctv3/img0002.jpg],3[cctv3/img0050.jpg],1[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",31Z0PCVWUKGHMZZODD7CM1H0SAM7TG,A1X6Z5P43QE3IP,Approved,"Mon Jun 20 03:26:41 PDT 2016","Mon Jun 20 03:29:04 PDT 2016",4[cctv3/00000147.jpg],4[cctv3/00000007.jpg],3[cctv3/00000033.jpg],3[cctv3/00000038.jpg],2[cctv3/img0222.jpg],4[cctv3/00000023.jpg],5[cctv3/00000085.jpg],3[cctv3/00000036.jpg],3[cctv3/00000084.jpg],3[cctv3/00000088.jpg],4[cctv3/00000094.jpg],3[cctv3/00000026.jpg],5[cctv3/img0000.jpg],2[cctv3/00000037.jpg],3[cctv3/00000083.jpg],3[cctv3/00000027.jpg],1[cctv3/00000086.jpg],2[cctv3/00000041.jpg],2[cctv3/00000050.jpg],3[cctv3/00000014.jpg],3[cctv3/img0144.jpg],2[cctv3/00000158.jpg],3[cctv3/img0018.jpg],3[cctv3/00000082.jpg],3[cctv3/img0013.jpg],2[cctv3/img0276.jpg],5[cctv3/img0177.jpg],4[cctv3/img0002.jpg],5[cctv3/img0050.jpg],3[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",3HWRJOOET531GE1JBLGSI6DVCECSEY,A1SPUX6HDK79C2,Approved,"Mon Jun 20 03:43:23 PDT 2016","Mon Jun 20 03:44:37 PDT 2016",2[cctv3/00000147.jpg],4[cctv3/00000007.jpg],3[cctv3/00000033.jpg],1[cctv3/00000038.jpg],2[cctv3/img0222.jpg],3[cctv3/00000023.jpg],4[cctv3/00000085.jpg],4[cctv3/00000036.jpg],5[cctv3/00000084.jpg],4[cctv3/00000088.jpg],3[cctv3/00000094.jpg],4[cctv3/00000026.jpg],3[cctv3/img0000.jpg],5[cctv3/00000037.jpg],5[cctv3/00000083.jpg],5[cctv3/00000027.jpg],4[cctv3/00000086.jpg],4[cctv3/00000041.jpg],1[cctv3/00000050.jpg],3[cctv3/00000014.jpg],4[cctv3/img0144.jpg],3[cctv3/00000158.jpg],1[cctv3/img0018.jpg],1[cctv3/00000082.jpg],2[cctv3/img0013.jpg],5[cctv3/img0276.jpg],4[cctv3/img0177.jpg],5[cctv3/img0002.jpg],2[cctv3/img0050.jpg],3[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",3EA3QWIZ4IWEBJGKW4B9DQ796QYTIY,A2VU1PW10BMW5,Approved,"Mon Jun 20 03:43:53 PDT 2016","Mon Jun 20 03:46:33 PDT 2016",3[cctv3/00000147.jpg],4[cctv3/00000007.jpg],2[cctv3/00000033.jpg],5[cctv3/00000038.jpg],2[cctv3/img0222.jpg],3[cctv3/00000023.jpg],1[cctv3/00000085.jpg],2[cctv3/00000036.jpg],1[cctv3/00000084.jpg],3[cctv3/00000088.jpg],1[cctv3/00000094.jpg],3[cctv3/00000026.jpg],5[cctv3/img0000.jpg],4[cctv3/00000037.jpg],1[cctv3/00000083.jpg],1[cctv3/00000027.jpg],1[cctv3/00000086.jpg],1[cctv3/00000041.jpg],3[cctv3/00000050.jpg],4[cctv3/00000014.jpg],1[cctv3/img0144.jpg],3[cctv3/00000158.jpg],4[cctv3/img0018.jpg],1[cctv3/00000082.jpg],3[cctv3/img0013.jpg],1[cctv3/img0276.jpg],4[cctv3/img0177.jpg],4[cctv3/img0002.jpg],4[cctv3/img0050.jpg],1[cctv3/00000018.jpg],
3PKJ68EHDNXHE1B1OQAJNON3U2JHJF,"cctv3_90-119","sample#command",388U7OUMF72QO9MCOPH8776VWBKR0O,A11X07ZTWGFCMN,Approved,"Mon Jun 20 03:45:40 PDT 2016","Mon Jun 20 03:47:48 PDT 2016",3[cctv3/00000147.jpg],5[cctv3/00000007.jpg],3[cctv3/00000033.jpg],3[cctv3/00000038.jpg],1[cctv3/img0222.jpg],2[cctv3/00000023.jpg],1[cctv3/00000085.jpg],2[cctv3/00000036.jpg],1[cctv3/00000084.jpg],1[cctv3/00000088.jpg],2[cctv3/00000094.jpg],2[cctv3/00000026.jpg],3[cctv3/img0000.jpg],3[cctv3/00000037.jpg],1[cctv3/00000083.jpg],1[cctv3/00000027.jpg],4[cctv3/00000086.jpg],1[cctv3/00000041.jpg],1[cctv3/00000050.jpg],1[cctv3/00000014.jpg],1[cctv3/img0144.jpg],2[cctv3/00000158.jpg],2[cctv3/img0018.jpg],1[cctv3/00000082.jpg],2[cctv3/img0013.jpg],2[cctv3/img0276.jpg],5[cctv3/img0177.jpg],4[cctv3/img0002.jpg],5[cctv3/img0050.jpg],1[cctv3/00000018.jpg],
