HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3BF51CHDTVBDZF89SK5ET34P92E0HS,A746183X8258H,Approved,"Mon Jun 20 01:36:53 PDT 2016","Mon Jun 20 01:38:08 PDT 2016",2[cctv3/img0061.jpg],4[cctv3/img0076.jpg],2[cctv3/img0023.jpg],3[cctv3/00000064.jpg],3[cctv3/00000078.jpg],1[cctv3/00000091.jpg],3[cctv3/00000077.jpg],2[cctv3/00000060.jpg],4[cctv3/img0131.jpg],3[cctv3/00000058.jpg],4[cctv3/img0066.jpg],3[cctv3/00000073.jpg],4[cctv3/00000117.jpg],2[cctv3/00000128.jpg],4[cctv3/img0303.jpg],2[cctv3/00000065.jpg],2[cctv3/img0148.jpg],3[cctv3/00000068.jpg],2[cctv3/00000067.jpg],3[cctv3/00000121.jpg],3[cctv3/00000120.jpg],4[cctv3/00000066.jpg],4[cctv3/00000076.jpg],3[cctv3/00000062.jpg],1[cctv3/img0169.jpg],4[cctv3/00000063.jpg],2[cctv3/00000056.jpg],3[cctv3/00000075.jpg],1[cctv3/00000129.jpg],3[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3SNLUL3WO4OV1X3FHCYWA2L368SULX,A31EUQA8YR9SPI,Approved,"Mon Jun 20 02:07:14 PDT 2016","Mon Jun 20 02:09:42 PDT 2016",3[cctv3/img0061.jpg],2[cctv3/img0076.jpg],5[cctv3/img0023.jpg],3[cctv3/00000064.jpg],4[cctv3/00000078.jpg],4[cctv3/00000091.jpg],4[cctv3/00000077.jpg],3[cctv3/00000060.jpg],5[cctv3/img0131.jpg],3[cctv3/00000058.jpg],4[cctv3/img0066.jpg],3[cctv3/00000073.jpg],4[cctv3/00000117.jpg],4[cctv3/00000128.jpg],5[cctv3/img0303.jpg],3[cctv3/00000065.jpg],2[cctv3/img0148.jpg],2[cctv3/00000068.jpg],3[cctv3/00000067.jpg],3[cctv3/00000121.jpg],3[cctv3/00000120.jpg],4[cctv3/00000066.jpg],3[cctv3/00000076.jpg],3[cctv3/00000062.jpg],4[cctv3/img0169.jpg],3[cctv3/00000063.jpg],3[cctv3/00000056.jpg],3[cctv3/00000075.jpg],3[cctv3/00000129.jpg],3[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",32ZKVD547FOZPU4KBFD19QZYH1XB3M,A17DIE9FJZNS3T,Approved,"Mon Jun 20 02:44:33 PDT 2016","Mon Jun 20 02:48:50 PDT 2016",3[cctv3/img0061.jpg],4[cctv3/img0076.jpg],5[cctv3/img0023.jpg],3[cctv3/00000064.jpg],3[cctv3/00000078.jpg],4[cctv3/00000091.jpg],4[cctv3/00000077.jpg],3[cctv3/00000060.jpg],4[cctv3/img0131.jpg],3[cctv3/00000058.jpg],4[cctv3/img0066.jpg],3[cctv3/00000073.jpg],2[cctv3/00000117.jpg],4[cctv3/00000128.jpg],4[cctv3/img0303.jpg],4[cctv3/00000065.jpg],3[cctv3/img0148.jpg],4[cctv3/00000068.jpg],4[cctv3/00000067.jpg],3[cctv3/00000121.jpg],2[cctv3/00000120.jpg],2[cctv3/00000066.jpg],4[cctv3/00000076.jpg],3[cctv3/00000062.jpg],4[cctv3/img0169.jpg],3[cctv3/00000063.jpg],3[cctv3/00000056.jpg],4[cctv3/00000075.jpg],1[cctv3/00000129.jpg],3[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",31LVTDXBL7B3L5BYDI3R5RYJZ9RLRN,AR50UBGSH10FJ,Approved,"Mon Jun 20 02:50:55 PDT 2016","Mon Jun 20 02:51:58 PDT 2016",3[cctv3/img0061.jpg],4[cctv3/img0076.jpg],3[cctv3/img0023.jpg],3[cctv3/00000064.jpg],4[cctv3/00000078.jpg],3[cctv3/00000091.jpg],4[cctv3/00000077.jpg],4[cctv3/00000060.jpg],4[cctv3/img0131.jpg],4[cctv3/00000058.jpg],4[cctv3/img0066.jpg],3[cctv3/00000073.jpg],3[cctv3/00000117.jpg],3[cctv3/00000128.jpg],3[cctv3/img0303.jpg],4[cctv3/00000065.jpg],4[cctv3/img0148.jpg],2[cctv3/00000068.jpg],2[cctv3/00000067.jpg],3[cctv3/00000121.jpg],3[cctv3/00000120.jpg],5[cctv3/00000066.jpg],5[cctv3/00000076.jpg],2[cctv3/00000062.jpg],2[cctv3/img0169.jpg],2[cctv3/00000063.jpg],3[cctv3/00000056.jpg],2[cctv3/00000075.jpg],2[cctv3/00000129.jpg],2[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3JWH6J9I9SE6TYXUTYXGI4X4MIPNBF,A2F31H7F9JIJCZ,Approved,"Mon Jun 20 03:13:51 PDT 2016","Mon Jun 20 03:16:43 PDT 2016",4[cctv3/img0061.jpg],3[cctv3/img0076.jpg],5[cctv3/img0023.jpg],2[cctv3/00000064.jpg],3[cctv3/00000078.jpg],1[cctv3/00000091.jpg],3[cctv3/00000077.jpg],3[cctv3/00000060.jpg],3[cctv3/img0131.jpg],3[cctv3/00000058.jpg],3[cctv3/img0066.jpg],3[cctv3/00000073.jpg],4[cctv3/00000117.jpg],4[cctv3/00000128.jpg],4[cctv3/img0303.jpg],4[cctv3/00000065.jpg],2[cctv3/img0148.jpg],3[cctv3/00000068.jpg],4[cctv3/00000067.jpg],3[cctv3/00000121.jpg],3[cctv3/00000120.jpg],4[cctv3/00000066.jpg],4[cctv3/00000076.jpg],3[cctv3/00000062.jpg],5[cctv3/img0169.jpg],3[cctv3/00000063.jpg],2[cctv3/00000056.jpg],4[cctv3/00000075.jpg],2[cctv3/00000129.jpg],3[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3DEL4X4EL6M7I0495WY9OHM395HXYO,A1WF5UHB8ZBG68,Approved,"Mon Jun 20 03:14:39 PDT 2016","Mon Jun 20 03:18:03 PDT 2016",1[cctv3/img0061.jpg],3[cctv3/img0076.jpg],4[cctv3/img0023.jpg],2[cctv3/00000064.jpg],2[cctv3/00000078.jpg],1[cctv3/00000091.jpg],2[cctv3/00000077.jpg],2[cctv3/00000060.jpg],3[cctv3/img0131.jpg],2[cctv3/00000058.jpg],2[cctv3/img0066.jpg],2[cctv3/00000073.jpg],2[cctv3/00000117.jpg],1[cctv3/00000128.jpg],3[cctv3/img0303.jpg],1[cctv3/00000065.jpg],1[cctv3/img0148.jpg],3[cctv3/00000068.jpg],3[cctv3/00000067.jpg],2[cctv3/00000121.jpg],2[cctv3/00000120.jpg],1[cctv3/00000066.jpg],2[cctv3/00000076.jpg],2[cctv3/00000062.jpg],3[cctv3/img0169.jpg],3[cctv3/00000063.jpg],1[cctv3/00000056.jpg],2[cctv3/00000075.jpg],1[cctv3/00000129.jpg],2[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3FE7TXL1LIOX8IAQQXWML5P5XN1Q25,ATN6E1ON4LFAI,Approved,"Mon Jun 20 03:42:01 PDT 2016","Mon Jun 20 03:44:26 PDT 2016",5[cctv3/img0061.jpg],5[cctv3/img0076.jpg],4[cctv3/img0023.jpg],3[cctv3/00000064.jpg],2[cctv3/00000078.jpg],1[cctv3/00000091.jpg],2[cctv3/00000077.jpg],2[cctv3/00000060.jpg],3[cctv3/img0131.jpg],3[cctv3/00000058.jpg],1[cctv3/img0066.jpg],2[cctv3/00000073.jpg],2[cctv3/00000117.jpg],1[cctv3/00000128.jpg],3[cctv3/img0303.jpg],1[cctv3/00000065.jpg],1[cctv3/img0148.jpg],2[cctv3/00000068.jpg],2[cctv3/00000067.jpg],2[cctv3/00000121.jpg],2[cctv3/00000120.jpg],2[cctv3/00000066.jpg],2[cctv3/00000076.jpg],2[cctv3/00000062.jpg],4[cctv3/img0169.jpg],3[cctv3/00000063.jpg],1[cctv3/00000056.jpg],2[cctv3/00000075.jpg],1[cctv3/00000129.jpg],2[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3KGTPGBS6XMP0BH776GRV6MU0882UN,A2VU1PW10BMW5,Approved,"Mon Jun 20 03:43:26 PDT 2016","Mon Jun 20 03:48:27 PDT 2016",2[cctv3/img0061.jpg],5[cctv3/img0076.jpg],5[cctv3/img0023.jpg],4[cctv3/00000064.jpg],3[cctv3/00000078.jpg],1[cctv3/00000091.jpg],3[cctv3/00000077.jpg],3[cctv3/00000060.jpg],4[cctv3/img0131.jpg],4[cctv3/00000058.jpg],3[cctv3/img0066.jpg],4[cctv3/00000073.jpg],3[cctv3/00000117.jpg],3[cctv3/00000128.jpg],3[cctv3/img0303.jpg],3[cctv3/00000065.jpg],3[cctv3/img0148.jpg],4[cctv3/00000068.jpg],3[cctv3/00000067.jpg],3[cctv3/00000121.jpg],3[cctv3/00000120.jpg],3[cctv3/00000066.jpg],3[cctv3/00000076.jpg],3[cctv3/00000062.jpg],1[cctv3/img0169.jpg],3[cctv3/00000063.jpg],3[cctv3/00000056.jpg],1[cctv3/00000075.jpg],1[cctv3/00000129.jpg],1[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3IGI0VL647LQCSM3X322OOX3THBONN,A11X07ZTWGFCMN,Approved,"Mon Jun 20 03:48:09 PDT 2016","Mon Jun 20 03:49:59 PDT 2016",4[cctv3/img0061.jpg],4[cctv3/img0076.jpg],5[cctv3/img0023.jpg],3[cctv3/00000064.jpg],4[cctv3/00000078.jpg],1[cctv3/00000091.jpg],2[cctv3/00000077.jpg],4[cctv3/00000060.jpg],3[cctv3/img0131.jpg],3[cctv3/00000058.jpg],3[cctv3/img0066.jpg],3[cctv3/00000073.jpg],4[cctv3/00000117.jpg],4[cctv3/00000128.jpg],4[cctv3/img0303.jpg],2[cctv3/00000065.jpg],1[cctv3/img0148.jpg],2[cctv3/00000068.jpg],5[cctv3/00000067.jpg],4[cctv3/00000121.jpg],3[cctv3/00000120.jpg],3[cctv3/00000066.jpg],2[cctv3/00000076.jpg],2[cctv3/00000062.jpg],2[cctv3/img0169.jpg],2[cctv3/00000063.jpg],2[cctv3/00000056.jpg],2[cctv3/00000075.jpg],2[cctv3/00000129.jpg],2[cctv3/00000118.jpg],
3TUOHPJXYHY06BBF0TBKF055KOAWXH,"cctv3_0-29","sample#command",3B4YI393V9X2QX61CG0X7NHAD5LSSZ,A2UD295CIKI9F,Approved,"Mon Jun 20 03:46:26 PDT 2016","Mon Jun 20 03:53:25 PDT 2016",4[cctv3/img0061.jpg],5[cctv3/img0076.jpg],4[cctv3/img0023.jpg],3[cctv3/00000064.jpg],3[cctv3/00000078.jpg],1[cctv3/00000091.jpg],4[cctv3/00000077.jpg],4[cctv3/00000060.jpg],5[cctv3/img0131.jpg],5[cctv3/00000058.jpg],3[cctv3/img0066.jpg],5[cctv3/00000073.jpg],5[cctv3/00000117.jpg],2[cctv3/00000128.jpg],4[cctv3/img0303.jpg],3[cctv3/00000065.jpg],2[cctv3/img0148.jpg],4[cctv3/00000068.jpg],4[cctv3/00000067.jpg],5[cctv3/00000121.jpg],4[cctv3/00000120.jpg],4[cctv3/00000066.jpg],4[cctv3/00000076.jpg],4[cctv3/00000062.jpg],5[cctv3/img0169.jpg],4[cctv3/00000063.jpg],2[cctv3/00000056.jpg],4[cctv3/00000075.jpg],2[cctv3/00000129.jpg],4[cctv3/00000118.jpg],
