HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",33LK57MYLT6ZR9SF78U53GED0KDZS3,A746183X8258H,Approved,"Mon Jun 20 01:31:56 PDT 2016","Mon Jun 20 01:33:32 PDT 2016",3[cctv3/img0757.jpg],2[cctv3/img0506.jpg],3[cctv3/img1538.jpg],2[cctv3/img0160.jpg],4[cctv3/img0139.jpg],3[cctv3/img0064.jpg],4[cctv3/img0167.jpg],3[cctv3/img0279.jpg],2[cctv3/00000002.jpg],5[cctv3/00000004.jpg],3[cctv3/00000032.jpg],3[cctv3/00000034.jpg],3[cctv3/img1518.jpg],3[cctv3/00000087.jpg],3[cctv3/00000054.jpg],3[cctv3/00000081.jpg],3[cctv3/00000146.jpg],2[cctv3/00000003.jpg],4[cctv3/img0045.jpg],3[cctv3/00000031.jpg],3[cctv3/00000012.jpg],4[cctv3/img0030.jpg],2[cctv3/00000013.jpg],4[cctv3/img0309.jpg],2[cctv3/00000021.jpg],2[cctv3/00000039.jpg],1[cctv3/00000019.jpg],3[cctv3/00000011.jpg],3[cctv3/00000090.jpg],3[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",3J88R45B2GZD9MC8E92QBQTR50AXPQ,A3K1ZFUBDLBCTE,Approved,"Mon Jun 20 02:05:39 PDT 2016","Mon Jun 20 02:08:26 PDT 2016",3[cctv3/img0757.jpg],4[cctv3/img0506.jpg],4[cctv3/img1538.jpg],4[cctv3/img0160.jpg],4[cctv3/img0139.jpg],1[cctv3/img0064.jpg],4[cctv3/img0167.jpg],3[cctv3/img0279.jpg],2[cctv3/00000002.jpg],4[cctv3/00000004.jpg],2[cctv3/00000032.jpg],2[cctv3/00000034.jpg],4[cctv3/img1518.jpg],2[cctv3/00000087.jpg],3[cctv3/00000054.jpg],1[cctv3/00000081.jpg],2[cctv3/00000146.jpg],1[cctv3/00000003.jpg],2[cctv3/img0045.jpg],2[cctv3/00000031.jpg],4[cctv3/00000012.jpg],3[cctv3/img0030.jpg],3[cctv3/00000013.jpg],1[cctv3/img0309.jpg],2[cctv3/00000021.jpg],2[cctv3/00000039.jpg],1[cctv3/00000019.jpg],1[cctv3/00000011.jpg],2[cctv3/00000090.jpg],2[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",37TRT2X24QSAA869E05OPXGNDYHBJW,A31EUQA8YR9SPI,Approved,"Mon Jun 20 02:12:32 PDT 2016","Mon Jun 20 02:13:40 PDT 2016",3[cctv3/img0757.jpg],3[cctv3/img0506.jpg],3[cctv3/img1538.jpg],3[cctv3/img0160.jpg],4[cctv3/img0139.jpg],3[cctv3/img0064.jpg],5[cctv3/img0167.jpg],4[cctv3/img0279.jpg],3[cctv3/00000002.jpg],5[cctv3/00000004.jpg],3[cctv3/00000032.jpg],3[cctv3/00000034.jpg],4[cctv3/img1518.jpg],3[cctv3/00000087.jpg],5[cctv3/00000054.jpg],4[cctv3/00000081.jpg],3[cctv3/00000146.jpg],3[cctv3/00000003.jpg],5[cctv3/img0045.jpg],4[cctv3/00000031.jpg],4[cctv3/00000012.jpg],3[cctv3/img0030.jpg],3[cctv3/00000013.jpg],4[cctv3/img0309.jpg],3[cctv3/00000021.jpg],3[cctv3/00000039.jpg],3[cctv3/00000019.jpg],4[cctv3/00000011.jpg],2[cctv3/00000090.jpg],3[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",37TRT2X24QSAA869E05OPXGNDYLJB8,A1WF5UHB8ZBG68,Approved,"Mon Jun 20 03:14:43 PDT 2016","Mon Jun 20 03:21:27 PDT 2016",3[cctv3/img0757.jpg],2[cctv3/img0506.jpg],1[cctv3/img1538.jpg],1[cctv3/img0160.jpg],2[cctv3/img0139.jpg],1[cctv3/img0064.jpg],4[cctv3/img0167.jpg],2[cctv3/img0279.jpg],2[cctv3/00000002.jpg],3[cctv3/00000004.jpg],2[cctv3/00000032.jpg],2[cctv3/00000034.jpg],2[cctv3/img1518.jpg],1[cctv3/00000087.jpg],3[cctv3/00000054.jpg],2[cctv3/00000081.jpg],2[cctv3/00000146.jpg],1[cctv3/00000003.jpg],3[cctv3/img0045.jpg],2[cctv3/00000031.jpg],4[cctv3/00000012.jpg],3[cctv3/img0030.jpg],2[cctv3/00000013.jpg],3[cctv3/img0309.jpg],2[cctv3/00000021.jpg],2[cctv3/00000039.jpg],1[cctv3/00000019.jpg],3[cctv3/00000011.jpg],3[cctv3/00000090.jpg],3[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",3UXUOQ9OKEYC730F7DGVRWR84L17AV,AJZRLBKBHHKCU,Approved,"Mon Jun 20 03:22:53 PDT 2016","Mon Jun 20 03:24:50 PDT 2016",3[cctv3/img0757.jpg],4[cctv3/img0506.jpg],5[cctv3/img1538.jpg],3[cctv3/img0160.jpg],2[cctv3/img0139.jpg],1[cctv3/img0064.jpg],4[cctv3/img0167.jpg],3[cctv3/img0279.jpg],4[cctv3/00000002.jpg],4[cctv3/00000004.jpg],3[cctv3/00000032.jpg],3[cctv3/00000034.jpg],3[cctv3/img1518.jpg],3[cctv3/00000087.jpg],2[cctv3/00000054.jpg],3[cctv3/00000081.jpg],3[cctv3/00000146.jpg],3[cctv3/00000003.jpg],4[cctv3/img0045.jpg],3[cctv3/00000031.jpg],3[cctv3/00000012.jpg],4[cctv3/img0030.jpg],3[cctv3/00000013.jpg],3[cctv3/img0309.jpg],2[cctv3/00000021.jpg],3[cctv3/00000039.jpg],3[cctv3/00000019.jpg],3[cctv3/00000011.jpg],3[cctv3/00000090.jpg],3[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",37U1UTWH9VN86YRFJTUN0MCDF9WR8B,A2UD295CIKI9F,Approved,"Mon Jun 20 03:46:19 PDT 2016","Mon Jun 20 03:50:49 PDT 2016",5[cctv3/img0757.jpg],4[cctv3/img0506.jpg],5[cctv3/img1538.jpg],4[cctv3/img0160.jpg],4[cctv3/img0139.jpg],4[cctv3/img0064.jpg],5[cctv3/img0167.jpg],4[cctv3/img0279.jpg],4[cctv3/00000002.jpg],5[cctv3/00000004.jpg],4[cctv3/00000032.jpg],3[cctv3/00000034.jpg],5[cctv3/img1518.jpg],3[cctv3/00000087.jpg],4[cctv3/00000054.jpg],4[cctv3/00000081.jpg],3[cctv3/00000146.jpg],3[cctv3/00000003.jpg],5[cctv3/img0045.jpg],4[cctv3/00000031.jpg],5[cctv3/00000012.jpg],4[cctv3/img0030.jpg],5[cctv3/00000013.jpg],5[cctv3/img0309.jpg],3[cctv3/00000021.jpg],3[cctv3/00000039.jpg],2[cctv3/00000019.jpg],5[cctv3/00000011.jpg],5[cctv3/00000090.jpg],5[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",3OB0CAO74HQAWA4U0SGNLVY9LF0YHY,A2VU1PW10BMW5,Approved,"Mon Jun 20 03:43:31 PDT 2016","Mon Jun 20 03:53:47 PDT 2016",1[cctv3/img0757.jpg],1[cctv3/img0506.jpg],1[cctv3/img1538.jpg],3[cctv3/img0160.jpg],3[cctv3/img0139.jpg],1[cctv3/img0064.jpg],4[cctv3/img0167.jpg],3[cctv3/img0279.jpg],3[cctv3/00000002.jpg],4[cctv3/00000004.jpg],3[cctv3/00000032.jpg],3[cctv3/00000034.jpg],3[cctv3/img1518.jpg],1[cctv3/00000087.jpg],4[cctv3/00000054.jpg],3[cctv3/00000081.jpg],2[cctv3/00000146.jpg],1[cctv3/00000003.jpg],4[cctv3/img0045.jpg],3[cctv3/00000031.jpg],4[cctv3/00000012.jpg],4[cctv3/img0030.jpg],3[cctv3/00000013.jpg],1[cctv3/img0309.jpg],3[cctv3/00000021.jpg],3[cctv3/00000039.jpg],3[cctv3/00000019.jpg],3[cctv3/00000011.jpg],2[cctv3/00000090.jpg],1[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",30LB5CDZNCBZQ083Y6BLTA8U5S4Z0Q,A3QLUTH89HZQC9,Approved,"Mon Jun 20 04:04:48 PDT 2016","Mon Jun 20 04:07:01 PDT 2016",5[cctv3/img0757.jpg],4[cctv3/img0506.jpg],4[cctv3/img1538.jpg],3[cctv3/img0160.jpg],3[cctv3/img0139.jpg],3[cctv3/img0064.jpg],5[cctv3/img0167.jpg],3[cctv3/img0279.jpg],3[cctv3/00000002.jpg],3[cctv3/00000004.jpg],2[cctv3/00000032.jpg],2[cctv3/00000034.jpg],3[cctv3/img1518.jpg],2[cctv3/00000087.jpg],3[cctv3/00000054.jpg],2[cctv3/00000081.jpg],3[cctv3/00000146.jpg],2[cctv3/00000003.jpg],3[cctv3/img0045.jpg],2[cctv3/00000031.jpg],3[cctv3/00000012.jpg],3[cctv3/img0030.jpg],3[cctv3/00000013.jpg],3[cctv3/img0309.jpg],2[cctv3/00000021.jpg],3[cctv3/00000039.jpg],3[cctv3/00000019.jpg],3[cctv3/00000011.jpg],3[cctv3/00000090.jpg],3[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",32KTQ2V7RDGHNNXXJD4KEJDETSIM9A,A1X6Z5P43QE3IP,Approved,"Mon Jun 20 04:10:46 PDT 2016","Mon Jun 20 04:12:12 PDT 2016",3[cctv3/img0757.jpg],3[cctv3/img0506.jpg],2[cctv3/img1538.jpg],2[cctv3/img0160.jpg],3[cctv3/img0139.jpg],1[cctv3/img0064.jpg],5[cctv3/img0167.jpg],4[cctv3/img0279.jpg],4[cctv3/00000002.jpg],5[cctv3/00000004.jpg],4[cctv3/00000032.jpg],3[cctv3/00000034.jpg],4[cctv3/img1518.jpg],4[cctv3/00000087.jpg],4[cctv3/00000054.jpg],4[cctv3/00000081.jpg],3[cctv3/00000146.jpg],3[cctv3/00000003.jpg],4[cctv3/img0045.jpg],4[cctv3/00000031.jpg],4[cctv3/00000012.jpg],3[cctv3/img0030.jpg],4[cctv3/00000013.jpg],3[cctv3/img0309.jpg],2[cctv3/00000021.jpg],2[cctv3/00000039.jpg],2[cctv3/00000019.jpg],4[cctv3/00000011.jpg],3[cctv3/00000090.jpg],2[cctv3/00000089.jpg],
3ZLW647WALW2EX6U2KFPKD0C9MF236,"cctv3_60-89","sample#command",3U4J9857OECHQD57DRGRM7BEM3LB7T,A3J5GUVGA6WQJG,Approved,"Mon Jun 20 03:14:13 PDT 2016","Mon Jun 20 04:13:51 PDT 2016",3[cctv3/img0757.jpg],3[cctv3/img0506.jpg],3[cctv3/img1538.jpg],4[cctv3/img0160.jpg],3[cctv3/img0139.jpg],2[cctv3/img0064.jpg],5[cctv3/img0167.jpg],4[cctv3/img0279.jpg],4[cctv3/00000002.jpg],5[cctv3/00000004.jpg],3[cctv3/00000032.jpg],5[cctv3/00000034.jpg],4[cctv3/img1518.jpg],4[cctv3/00000087.jpg],5[cctv3/00000054.jpg],4[cctv3/00000081.jpg],5[cctv3/00000146.jpg],3[cctv3/00000003.jpg],5[cctv3/img0045.jpg],4[cctv3/00000031.jpg],5[cctv3/00000012.jpg],4[cctv3/img0030.jpg],5[cctv3/00000013.jpg],4[cctv3/img0309.jpg],5[cctv3/00000021.jpg],5[cctv3/00000039.jpg],4[cctv3/00000019.jpg],5[cctv3/00000011.jpg],4[cctv3/00000090.jpg],5[cctv3/00000089.jpg],
