HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3DEL4X4EL6M7I0495WY9OHM34EBXYV,AWQDOOSNH42QM,Approved,"Wed May 04 08:48:57 PDT 2016","Wed May 04 08:49:46 PDT 2016",5[zyns/img0643.jpg],5[zyns/img0834.jpg],5[zyns/img0676.jpg],5[zyns/img0218.jpg],5[zyns/img0512.jpg],5[zyns/img0030.jpg],5[zyns/img0571.jpg],5[zyns/img0114.jpg],5[zyns/img0227.jpg],5[zyns/img0453.jpg],5[zyns/img0364.jpg],5[zyns/img0298.jpg],5[zyns/img0171.jpg],5[zyns/img0415.jpg],5[zyns/img0258.jpg],5[zyns/img0022.jpg],5[zyns/img0105.jpg],5[zyns/img0611.jpg],3[zyns/img0146.jpg],4[zyns/img0250.jpg],5[zyns/img0072.jpg],5[zyns/img0491.jpg],5[zyns/img0262.jpg],4[zyns/img0535.jpg],5[zyns/img0320.jpg],4[zyns/img0521.jpg],5[zyns/img0795.jpg],5[zyns/img0719.jpg],5[zyns/img0825.jpg],5[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3P1L2B7AD1Q0OSJILQMNBWTEJVDLOX,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:10 PDT 2016","Wed May 04 09:19:01 PDT 2016",2[zyns/img0643.jpg],3[zyns/img0834.jpg],4[zyns/img0676.jpg],4[zyns/img0218.jpg],4[zyns/img0512.jpg],5[zyns/img0030.jpg],4[zyns/img0571.jpg],4[zyns/img0114.jpg],4[zyns/img0227.jpg],4[zyns/img0453.jpg],4[zyns/img0364.jpg],4[zyns/img0298.jpg],4[zyns/img0171.jpg],4[zyns/img0415.jpg],4[zyns/img0258.jpg],4[zyns/img0022.jpg],4[zyns/img0105.jpg],3[zyns/img0611.jpg],4[zyns/img0146.jpg],3[zyns/img0250.jpg],4[zyns/img0072.jpg],3[zyns/img0491.jpg],4[zyns/img0262.jpg],4[zyns/img0535.jpg],4[zyns/img0320.jpg],4[zyns/img0521.jpg],4[zyns/img0795.jpg],4[zyns/img0719.jpg],4[zyns/img0825.jpg],4[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3NPFYT4IZC57W9J9BQC3HHFZZIXGXS,A39BR7NYRDWC01,Approved,"Wed May 04 09:29:14 PDT 2016","Wed May 04 09:30:23 PDT 2016",5[zyns/img0643.jpg],5[zyns/img0834.jpg],5[zyns/img0676.jpg],3[zyns/img0218.jpg],3[zyns/img0512.jpg],4[zyns/img0030.jpg],4[zyns/img0571.jpg],5[zyns/img0114.jpg],5[zyns/img0227.jpg],2[zyns/img0453.jpg],4[zyns/img0364.jpg],5[zyns/img0298.jpg],4[zyns/img0171.jpg],4[zyns/img0415.jpg],5[zyns/img0258.jpg],4[zyns/img0022.jpg],4[zyns/img0105.jpg],5[zyns/img0611.jpg],4[zyns/img0146.jpg],4[zyns/img0250.jpg],4[zyns/img0072.jpg],5[zyns/img0491.jpg],3[zyns/img0262.jpg],3[zyns/img0535.jpg],3[zyns/img0320.jpg],4[zyns/img0521.jpg],4[zyns/img0795.jpg],5[zyns/img0719.jpg],4[zyns/img0825.jpg],4[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3VP0C6EFSGXU54VZL618U9MCY0D6MZ,ASY5AZCZEM04L,Approved,"Wed May 04 09:47:34 PDT 2016","Wed May 04 09:48:42 PDT 2016",5[zyns/img0643.jpg],5[zyns/img0834.jpg],5[zyns/img0676.jpg],5[zyns/img0218.jpg],5[zyns/img0512.jpg],5[zyns/img0030.jpg],5[zyns/img0571.jpg],5[zyns/img0114.jpg],5[zyns/img0227.jpg],5[zyns/img0453.jpg],5[zyns/img0364.jpg],5[zyns/img0298.jpg],5[zyns/img0171.jpg],5[zyns/img0415.jpg],5[zyns/img0258.jpg],5[zyns/img0022.jpg],5[zyns/img0105.jpg],5[zyns/img0611.jpg],5[zyns/img0146.jpg],5[zyns/img0250.jpg],5[zyns/img0072.jpg],5[zyns/img0491.jpg],5[zyns/img0262.jpg],5[zyns/img0535.jpg],5[zyns/img0320.jpg],5[zyns/img0521.jpg],5[zyns/img0795.jpg],5[zyns/img0719.jpg],5[zyns/img0825.jpg],5[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3ZSANO2JCF8TMS1F6W0Y0OYVJPHFS8,A1H7C5EM2ODXFT,Approved,"Wed May 04 11:24:33 PDT 2016","Wed May 04 11:27:35 PDT 2016",1[zyns/img0643.jpg],1[zyns/img0834.jpg],2[zyns/img0676.jpg],3[zyns/img0218.jpg],3[zyns/img0512.jpg],2[zyns/img0030.jpg],3[zyns/img0571.jpg],1[zyns/img0114.jpg],1[zyns/img0227.jpg],2[zyns/img0453.jpg],2[zyns/img0364.jpg],3[zyns/img0298.jpg],3[zyns/img0171.jpg],2[zyns/img0415.jpg],2[zyns/img0258.jpg],3[zyns/img0022.jpg],2[zyns/img0105.jpg],4[zyns/img0611.jpg],2[zyns/img0146.jpg],1[zyns/img0250.jpg],3[zyns/img0072.jpg],1[zyns/img0491.jpg],3[zyns/img0262.jpg],4[zyns/img0535.jpg],2[zyns/img0320.jpg],3[zyns/img0521.jpg],2[zyns/img0795.jpg],2[zyns/img0719.jpg],3[zyns/img0825.jpg],2[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",30X31N5D63RYQ1K7VGE6MNN4M95SA9,A1BEEJ5BWTIIRW,Approved,"Wed May 04 11:32:10 PDT 2016","Wed May 04 11:34:57 PDT 2016",5[zyns/img0643.jpg],3[zyns/img0834.jpg],3[zyns/img0676.jpg],2[zyns/img0218.jpg],2[zyns/img0512.jpg],1[zyns/img0030.jpg],3[zyns/img0571.jpg],1[zyns/img0114.jpg],3[zyns/img0227.jpg],1[zyns/img0453.jpg],2[zyns/img0364.jpg],1[zyns/img0298.jpg],2[zyns/img0171.jpg],2[zyns/img0415.jpg],3[zyns/img0258.jpg],3[zyns/img0022.jpg],1[zyns/img0105.jpg],2[zyns/img0611.jpg],2[zyns/img0146.jpg],1[zyns/img0250.jpg],3[zyns/img0072.jpg],3[zyns/img0491.jpg],3[zyns/img0262.jpg],2[zyns/img0535.jpg],3[zyns/img0320.jpg],1[zyns/img0521.jpg],1[zyns/img0795.jpg],1[zyns/img0719.jpg],1[zyns/img0825.jpg],2[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3Z2R0DQ0JHF8BFKLH61MRO0R9UT2E0,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:11:52 PDT 2016","Wed May 04 14:13:16 PDT 2016",4[zyns/img0643.jpg],4[zyns/img0834.jpg],4[zyns/img0676.jpg],1[zyns/img0218.jpg],2[zyns/img0512.jpg],1[zyns/img0030.jpg],5[zyns/img0571.jpg],5[zyns/img0114.jpg],5[zyns/img0227.jpg],1[zyns/img0453.jpg],5[zyns/img0364.jpg],5[zyns/img0298.jpg],5[zyns/img0171.jpg],5[zyns/img0415.jpg],5[zyns/img0258.jpg],5[zyns/img0022.jpg],5[zyns/img0105.jpg],2[zyns/img0611.jpg],4[zyns/img0146.jpg],5[zyns/img0250.jpg],4[zyns/img0072.jpg],3[zyns/img0491.jpg],1[zyns/img0262.jpg],3[zyns/img0535.jpg],4[zyns/img0320.jpg],4[zyns/img0521.jpg],3[zyns/img0795.jpg],5[zyns/img0719.jpg],3[zyns/img0825.jpg],5[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3HYA4D452RK0HTKHCHLS96LRLXLF2C,A3UC4JITM1QD1M,Approved,"Wed May 04 20:41:09 PDT 2016","Wed May 04 20:42:55 PDT 2016",5[zyns/img0643.jpg],5[zyns/img0834.jpg],5[zyns/img0676.jpg],5[zyns/img0218.jpg],5[zyns/img0512.jpg],5[zyns/img0030.jpg],5[zyns/img0571.jpg],5[zyns/img0114.jpg],5[zyns/img0227.jpg],5[zyns/img0453.jpg],5[zyns/img0364.jpg],5[zyns/img0298.jpg],5[zyns/img0171.jpg],5[zyns/img0415.jpg],5[zyns/img0258.jpg],5[zyns/img0022.jpg],5[zyns/img0105.jpg],5[zyns/img0611.jpg],5[zyns/img0146.jpg],5[zyns/img0250.jpg],5[zyns/img0072.jpg],5[zyns/img0491.jpg],5[zyns/img0262.jpg],5[zyns/img0535.jpg],5[zyns/img0320.jpg],5[zyns/img0521.jpg],5[zyns/img0795.jpg],5[zyns/img0719.jpg],5[zyns/img0825.jpg],5[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3W2LOLRXLBGS1ZTGSIRQQRL45LSKR8,A1ESKJFDQUMBL4,Approved,"Wed May 04 22:29:29 PDT 2016","Wed May 04 22:46:29 PDT 2016",4[zyns/img0643.jpg],2[zyns/img0834.jpg],2[zyns/img0676.jpg],2[zyns/img0218.jpg],3[zyns/img0512.jpg],3[zyns/img0030.jpg],2[zyns/img0571.jpg],2[zyns/img0114.jpg],2[zyns/img0227.jpg],2[zyns/img0453.jpg],3[zyns/img0364.jpg],3[zyns/img0298.jpg],3[zyns/img0171.jpg],3[zyns/img0415.jpg],2[zyns/img0258.jpg],2[zyns/img0022.jpg],3[zyns/img0105.jpg],3[zyns/img0611.jpg],2[zyns/img0146.jpg],2[zyns/img0250.jpg],2[zyns/img0072.jpg],2[zyns/img0491.jpg],2[zyns/img0262.jpg],2[zyns/img0535.jpg],2[zyns/img0320.jpg],2[zyns/img0521.jpg],4[zyns/img0795.jpg],2[zyns/img0719.jpg],2[zyns/img0825.jpg],4[zyns/img0782.jpg],
306996CF6WL0S7SBY9UHXDOJ3J91BU,"zyns_270-299","sample#command",3A1COHJ8NJWVH4DCNOITMIA7NC48HK,A3IH0HBP17YHAM,Approved,"Wed May 04 23:54:15 PDT 2016","Wed May 04 23:55:41 PDT 2016",3[zyns/img0643.jpg],4[zyns/img0834.jpg],3[zyns/img0676.jpg],4[zyns/img0218.jpg],3[zyns/img0512.jpg],2[zyns/img0030.jpg],2[zyns/img0571.jpg],3[zyns/img0114.jpg],3[zyns/img0227.jpg],3[zyns/img0453.jpg],3[zyns/img0364.jpg],3[zyns/img0298.jpg],4[zyns/img0171.jpg],3[zyns/img0415.jpg],2[zyns/img0258.jpg],3[zyns/img0022.jpg],3[zyns/img0105.jpg],3[zyns/img0611.jpg],4[zyns/img0146.jpg],4[zyns/img0250.jpg],3[zyns/img0072.jpg],4[zyns/img0491.jpg],4[zyns/img0262.jpg],2[zyns/img0535.jpg],4[zyns/img0320.jpg],3[zyns/img0521.jpg],3[zyns/img0795.jpg],4[zyns/img0719.jpg],4[zyns/img0825.jpg],3[zyns/img0782.jpg],
