HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3IQ1VMJRYTLGLMO8MAEF5SIEUJ79A2,A36Z7UQ86AP0AK,Approved,"Wed May 04 08:23:49 PDT 2016","Wed May 04 08:25:36 PDT 2016",5[zyns/img0715.jpg],4[zyns/img0280.jpg],3[zyns/img0600.jpg],3[zyns/img0184.jpg],2[zyns/img0289.jpg],4[zyns/img0376.jpg],2[zyns/img0515.jpg],3[zyns/img0708.jpg],3[zyns/img0807.jpg],3[zyns/img0356.jpg],3[zyns/img0225.jpg],3[zyns/img0429.jpg],5[zyns/img0044.jpg],3[zyns/img0612.jpg],4[zyns/img0010.jpg],3[zyns/img0299.jpg],4[zyns/img0195.jpg],4[zyns/img0626.jpg],2[zyns/img0490.jpg],3[zyns/img0493.jpg],3[zyns/img0698.jpg],2[zyns/img0402.jpg],4[zyns/img0144.jpg],1[zyns/img0039.jpg],5[zyns/img0253.jpg],2[zyns/img0803.jpg],3[zyns/img0641.jpg],3[zyns/img0121.jpg],4[zyns/img0162.jpg],3[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3KIBXJ1WD5VP4M100QAMWWGZUUPOKC,A1W2VJIDSXDLZJ,Approved,"Wed May 04 08:31:38 PDT 2016","Wed May 04 08:33:10 PDT 2016",4[zyns/img0715.jpg],5[zyns/img0280.jpg],3[zyns/img0600.jpg],3[zyns/img0184.jpg],2[zyns/img0289.jpg],3[zyns/img0376.jpg],2[zyns/img0515.jpg],2[zyns/img0708.jpg],3[zyns/img0807.jpg],3[zyns/img0356.jpg],3[zyns/img0225.jpg],3[zyns/img0429.jpg],4[zyns/img0044.jpg],3[zyns/img0612.jpg],5[zyns/img0010.jpg],4[zyns/img0299.jpg],4[zyns/img0195.jpg],4[zyns/img0626.jpg],4[zyns/img0490.jpg],4[zyns/img0493.jpg],3[zyns/img0698.jpg],3[zyns/img0402.jpg],4[zyns/img0144.jpg],1[zyns/img0039.jpg],3[zyns/img0253.jpg],3[zyns/img0803.jpg],3[zyns/img0641.jpg],4[zyns/img0121.jpg],4[zyns/img0162.jpg],1[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3HWRJOOET531GE1JBLGSI6DV7NDSEC,AWQDOOSNH42QM,Approved,"Wed May 04 09:10:17 PDT 2016","Wed May 04 09:12:07 PDT 2016",5[zyns/img0715.jpg],5[zyns/img0280.jpg],5[zyns/img0600.jpg],5[zyns/img0184.jpg],5[zyns/img0289.jpg],5[zyns/img0376.jpg],5[zyns/img0515.jpg],5[zyns/img0708.jpg],5[zyns/img0807.jpg],5[zyns/img0356.jpg],5[zyns/img0225.jpg],5[zyns/img0429.jpg],5[zyns/img0044.jpg],5[zyns/img0612.jpg],3[zyns/img0010.jpg],5[zyns/img0299.jpg],5[zyns/img0195.jpg],5[zyns/img0626.jpg],5[zyns/img0490.jpg],5[zyns/img0493.jpg],5[zyns/img0698.jpg],5[zyns/img0402.jpg],5[zyns/img0144.jpg],5[zyns/img0039.jpg],5[zyns/img0253.jpg],5[zyns/img0803.jpg],5[zyns/img0641.jpg],5[zyns/img0121.jpg],5[zyns/img0162.jpg],4[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3BF51CHDTVBDZF89SK5ET34P4BOH0W,A39BR7NYRDWC01,Approved,"Wed May 04 09:19:07 PDT 2016","Wed May 04 09:20:21 PDT 2016",4[zyns/img0715.jpg],4[zyns/img0280.jpg],4[zyns/img0600.jpg],4[zyns/img0184.jpg],4[zyns/img0289.jpg],4[zyns/img0376.jpg],3[zyns/img0515.jpg],4[zyns/img0708.jpg],5[zyns/img0807.jpg],5[zyns/img0356.jpg],4[zyns/img0225.jpg],4[zyns/img0429.jpg],5[zyns/img0044.jpg],4[zyns/img0612.jpg],5[zyns/img0010.jpg],4[zyns/img0299.jpg],4[zyns/img0195.jpg],4[zyns/img0626.jpg],4[zyns/img0490.jpg],5[zyns/img0493.jpg],5[zyns/img0698.jpg],4[zyns/img0402.jpg],4[zyns/img0144.jpg],4[zyns/img0039.jpg],5[zyns/img0253.jpg],4[zyns/img0803.jpg],4[zyns/img0641.jpg],4[zyns/img0121.jpg],3[zyns/img0162.jpg],2[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3I3WADAZ9Q5MM3GXT36GU7XHX5D5OT,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:22 PDT 2016","Wed May 04 09:24:08 PDT 2016",4[zyns/img0715.jpg],4[zyns/img0280.jpg],5[zyns/img0600.jpg],3[zyns/img0184.jpg],5[zyns/img0289.jpg],4[zyns/img0376.jpg],5[zyns/img0515.jpg],4[zyns/img0708.jpg],4[zyns/img0807.jpg],5[zyns/img0356.jpg],5[zyns/img0225.jpg],4[zyns/img0429.jpg],4[zyns/img0044.jpg],4[zyns/img0612.jpg],4[zyns/img0010.jpg],4[zyns/img0299.jpg],4[zyns/img0195.jpg],4[zyns/img0626.jpg],4[zyns/img0490.jpg],4[zyns/img0493.jpg],4[zyns/img0698.jpg],1[zyns/img0402.jpg],4[zyns/img0144.jpg],3[zyns/img0039.jpg],3[zyns/img0253.jpg],3[zyns/img0803.jpg],3[zyns/img0641.jpg],4[zyns/img0121.jpg],3[zyns/img0162.jpg],4[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3AZHRG4CU4LY571ADZGCP93FL6C03E,ASY5AZCZEM04L,Approved,"Wed May 04 09:52:01 PDT 2016","Wed May 04 09:52:33 PDT 2016",5[zyns/img0715.jpg],5[zyns/img0280.jpg],5[zyns/img0600.jpg],5[zyns/img0184.jpg],5[zyns/img0289.jpg],5[zyns/img0376.jpg],5[zyns/img0515.jpg],5[zyns/img0708.jpg],5[zyns/img0807.jpg],5[zyns/img0356.jpg],5[zyns/img0225.jpg],5[zyns/img0429.jpg],5[zyns/img0044.jpg],5[zyns/img0612.jpg],5[zyns/img0010.jpg],5[zyns/img0299.jpg],5[zyns/img0195.jpg],5[zyns/img0626.jpg],5[zyns/img0490.jpg],5[zyns/img0493.jpg],5[zyns/img0698.jpg],5[zyns/img0402.jpg],5[zyns/img0144.jpg],5[zyns/img0039.jpg],5[zyns/img0253.jpg],5[zyns/img0803.jpg],5[zyns/img0641.jpg],5[zyns/img0121.jpg],5[zyns/img0162.jpg],5[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3HMIGG0U4L7H3Z31XOMH8I5AD5N8YJ,AY9ZVK32I1P1L,Approved,"Wed May 04 10:11:18 PDT 2016","Wed May 04 10:14:43 PDT 2016",4[zyns/img0715.jpg],5[zyns/img0280.jpg],2[zyns/img0600.jpg],1[zyns/img0184.jpg],1[zyns/img0289.jpg],3[zyns/img0376.jpg],4[zyns/img0515.jpg],3[zyns/img0708.jpg],3[zyns/img0807.jpg],3[zyns/img0356.jpg],3[zyns/img0225.jpg],3[zyns/img0429.jpg],5[zyns/img0044.jpg],2[zyns/img0612.jpg],4[zyns/img0010.jpg],3[zyns/img0299.jpg],3[zyns/img0195.jpg],3[zyns/img0626.jpg],3[zyns/img0490.jpg],3[zyns/img0493.jpg],3[zyns/img0698.jpg],1[zyns/img0402.jpg],3[zyns/img0144.jpg],1[zyns/img0039.jpg],4[zyns/img0253.jpg],2[zyns/img0803.jpg],3[zyns/img0641.jpg],3[zyns/img0121.jpg],3[zyns/img0162.jpg],3[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",378XPAWRUCE9WNHBQ4KSILHHDBRAIN,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:04:40 PDT 2016","Wed May 04 14:06:05 PDT 2016",3[zyns/img0715.jpg],2[zyns/img0280.jpg],2[zyns/img0600.jpg],1[zyns/img0184.jpg],1[zyns/img0289.jpg],4[zyns/img0376.jpg],1[zyns/img0515.jpg],2[zyns/img0708.jpg],2[zyns/img0807.jpg],3[zyns/img0356.jpg],2[zyns/img0225.jpg],3[zyns/img0429.jpg],5[zyns/img0044.jpg],2[zyns/img0612.jpg],5[zyns/img0010.jpg],3[zyns/img0299.jpg],3[zyns/img0195.jpg],3[zyns/img0626.jpg],4[zyns/img0490.jpg],3[zyns/img0493.jpg],4[zyns/img0698.jpg],2[zyns/img0402.jpg],4[zyns/img0144.jpg],4[zyns/img0039.jpg],5[zyns/img0253.jpg],3[zyns/img0803.jpg],4[zyns/img0641.jpg],3[zyns/img0121.jpg],2[zyns/img0162.jpg],3[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3HYA4D452RK0HTKHCHLS96LRLXGF27,A1LBK9M2CRWL73,Approved,"Wed May 04 19:47:38 PDT 2016","Wed May 04 19:50:46 PDT 2016",5[zyns/img0715.jpg],5[zyns/img0280.jpg],3[zyns/img0600.jpg],4[zyns/img0184.jpg],4[zyns/img0289.jpg],4[zyns/img0376.jpg],4[zyns/img0515.jpg],4[zyns/img0708.jpg],4[zyns/img0807.jpg],4[zyns/img0356.jpg],5[zyns/img0225.jpg],5[zyns/img0429.jpg],5[zyns/img0044.jpg],4[zyns/img0612.jpg],5[zyns/img0010.jpg],4[zyns/img0299.jpg],4[zyns/img0195.jpg],5[zyns/img0626.jpg],5[zyns/img0490.jpg],5[zyns/img0493.jpg],4[zyns/img0698.jpg],3[zyns/img0402.jpg],4[zyns/img0144.jpg],1[zyns/img0039.jpg],3[zyns/img0253.jpg],3[zyns/img0803.jpg],4[zyns/img0641.jpg],2[zyns/img0121.jpg],5[zyns/img0162.jpg],5[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3HPZF4IVNMUJF2TEE02MA41T3ZJYCW,A3U56B8YM2WHIM,Approved,"Wed May 04 19:51:08 PDT 2016","Wed May 04 19:57:55 PDT 2016",4[zyns/img0715.jpg],5[zyns/img0280.jpg],1[zyns/img0600.jpg],1[zyns/img0184.jpg],1[zyns/img0289.jpg],4[zyns/img0376.jpg],2[zyns/img0515.jpg],1[zyns/img0708.jpg],2[zyns/img0807.jpg],2[zyns/img0356.jpg],3[zyns/img0225.jpg],3[zyns/img0429.jpg],5[zyns/img0044.jpg],1[zyns/img0612.jpg],5[zyns/img0010.jpg],5[zyns/img0299.jpg],4[zyns/img0195.jpg],5[zyns/img0626.jpg],5[zyns/img0490.jpg],5[zyns/img0493.jpg],5[zyns/img0698.jpg],2[zyns/img0402.jpg],5[zyns/img0144.jpg],1[zyns/img0039.jpg],5[zyns/img0253.jpg],2[zyns/img0803.jpg],4[zyns/img0641.jpg],5[zyns/img0121.jpg],5[zyns/img0162.jpg],5[zyns/img0791.jpg],
308KJXFUJR7WIHZSUEEV88N8DJEATE,"zyns_30-59","sample#command",3KMS4QQVK2RVY9O71NRW927L2X7FKY,A1205NZC8K3YCF,Approved,"Wed May 04 20:29:42 PDT 2016","Wed May 04 20:31:40 PDT 2016",4[zyns/img0715.jpg],5[zyns/img0280.jpg],2[zyns/img0600.jpg],2[zyns/img0184.jpg],1[zyns/img0289.jpg],2[zyns/img0376.jpg],1[zyns/img0515.jpg],2[zyns/img0708.jpg],2[zyns/img0807.jpg],2[zyns/img0356.jpg],2[zyns/img0225.jpg],2[zyns/img0429.jpg],5[zyns/img0044.jpg],2[zyns/img0612.jpg],5[zyns/img0010.jpg],4[zyns/img0299.jpg],2[zyns/img0195.jpg],3[zyns/img0626.jpg],1[zyns/img0490.jpg],2[zyns/img0493.jpg],2[zyns/img0698.jpg],1[zyns/img0402.jpg],2[zyns/img0144.jpg],1[zyns/img0039.jpg],3[zyns/img0253.jpg],2[zyns/img0803.jpg],2[zyns/img0641.jpg],1[zyns/img0121.jpg],1[zyns/img0162.jpg],2[zyns/img0791.jpg],
