HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3SNLUL3WO4OV1X3FHCYWA2L31HVLU4,AWQDOOSNH42QM,Approved,"Wed May 04 08:58:34 PDT 2016","Wed May 04 09:01:06 PDT 2016",3[zyns/img0047.jpg],5[zyns/img0384.jpg],4[zyns/img0424.jpg],5[zyns/img0788.jpg],5[zyns/img0703.jpg],3[zyns/img0567.jpg],4[zyns/img0864.jpg],4[zyns/img0226.jpg],4[zyns/img0237.jpg],4[zyns/img0695.jpg],5[zyns/img0180.jpg],5[zyns/img0272.jpg],5[zyns/img0752.jpg],5[zyns/img0760.jpg],5[zyns/img0374.jpg],4[zyns/img0204.jpg],5[zyns/img0304.jpg],4[zyns/img0145.jpg],5[zyns/img0509.jpg],5[zyns/img0530.jpg],3[zyns/img0599.jpg],5[zyns/img0136.jpg],5[zyns/img0055.jpg],5[zyns/img0013.jpg],5[zyns/img0482.jpg],5[zyns/img0029.jpg],4[zyns/img0326.jpg],5[zyns/img0576.jpg],4[zyns/img0584.jpg],5[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3KYQYYSHYV8HQGVQ89OZSJL9AMBODK,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:17 PDT 2016","Wed May 04 09:21:25 PDT 2016",4[zyns/img0047.jpg],4[zyns/img0384.jpg],3[zyns/img0424.jpg],4[zyns/img0788.jpg],2[zyns/img0703.jpg],4[zyns/img0567.jpg],4[zyns/img0864.jpg],3[zyns/img0226.jpg],4[zyns/img0237.jpg],4[zyns/img0695.jpg],4[zyns/img0180.jpg],4[zyns/img0272.jpg],4[zyns/img0752.jpg],4[zyns/img0760.jpg],4[zyns/img0374.jpg],4[zyns/img0204.jpg],3[zyns/img0304.jpg],4[zyns/img0145.jpg],4[zyns/img0509.jpg],4[zyns/img0530.jpg],4[zyns/img0599.jpg],3[zyns/img0136.jpg],4[zyns/img0055.jpg],3[zyns/img0013.jpg],2[zyns/img0482.jpg],4[zyns/img0029.jpg],5[zyns/img0326.jpg],4[zyns/img0576.jpg],5[zyns/img0584.jpg],4[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",31QNSG6A5RUYOF70AFWHV5LD966789,A39BR7NYRDWC01,Approved,"Wed May 04 09:34:28 PDT 2016","Wed May 04 09:36:03 PDT 2016",3[zyns/img0047.jpg],5[zyns/img0384.jpg],4[zyns/img0424.jpg],4[zyns/img0788.jpg],4[zyns/img0703.jpg],4[zyns/img0567.jpg],4[zyns/img0864.jpg],3[zyns/img0226.jpg],4[zyns/img0237.jpg],4[zyns/img0695.jpg],5[zyns/img0180.jpg],2[zyns/img0272.jpg],4[zyns/img0752.jpg],4[zyns/img0760.jpg],5[zyns/img0374.jpg],5[zyns/img0204.jpg],4[zyns/img0304.jpg],4[zyns/img0145.jpg],3[zyns/img0509.jpg],5[zyns/img0530.jpg],5[zyns/img0599.jpg],5[zyns/img0136.jpg],5[zyns/img0055.jpg],4[zyns/img0013.jpg],4[zyns/img0482.jpg],5[zyns/img0029.jpg],4[zyns/img0326.jpg],5[zyns/img0576.jpg],4[zyns/img0584.jpg],3[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",32SVAV9L3FAU6KZS51D5EFFSUSMA3D,ASY5AZCZEM04L,Approved,"Wed May 04 09:50:30 PDT 2016","Wed May 04 09:51:20 PDT 2016",5[zyns/img0047.jpg],5[zyns/img0384.jpg],5[zyns/img0424.jpg],5[zyns/img0788.jpg],5[zyns/img0703.jpg],5[zyns/img0567.jpg],5[zyns/img0864.jpg],5[zyns/img0226.jpg],5[zyns/img0237.jpg],5[zyns/img0695.jpg],5[zyns/img0180.jpg],5[zyns/img0272.jpg],5[zyns/img0752.jpg],5[zyns/img0760.jpg],5[zyns/img0374.jpg],5[zyns/img0204.jpg],5[zyns/img0304.jpg],5[zyns/img0145.jpg],5[zyns/img0509.jpg],5[zyns/img0530.jpg],5[zyns/img0599.jpg],5[zyns/img0136.jpg],5[zyns/img0055.jpg],5[zyns/img0013.jpg],5[zyns/img0482.jpg],5[zyns/img0029.jpg],5[zyns/img0326.jpg],5[zyns/img0576.jpg],5[zyns/img0584.jpg],5[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3NKQQ8O39Y6C3LFN4V08RPDYS99UDF,A3PSIT0A7OU2FL,Approved,"Wed May 04 13:57:13 PDT 2016","Wed May 04 13:58:43 PDT 2016",2[zyns/img0047.jpg],3[zyns/img0384.jpg],2[zyns/img0424.jpg],3[zyns/img0788.jpg],1[zyns/img0703.jpg],5[zyns/img0567.jpg],4[zyns/img0864.jpg],5[zyns/img0226.jpg],5[zyns/img0237.jpg],5[zyns/img0695.jpg],1[zyns/img0180.jpg],1[zyns/img0272.jpg],1[zyns/img0752.jpg],2[zyns/img0760.jpg],3[zyns/img0374.jpg],4[zyns/img0204.jpg],3[zyns/img0304.jpg],4[zyns/img0145.jpg],4[zyns/img0509.jpg],2[zyns/img0530.jpg],5[zyns/img0599.jpg],5[zyns/img0136.jpg],3[zyns/img0055.jpg],5[zyns/img0013.jpg],4[zyns/img0482.jpg],4[zyns/img0029.jpg],4[zyns/img0326.jpg],5[zyns/img0576.jpg],5[zyns/img0584.jpg],3[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3B3WTRP3DB3RGJT49VL0ZAZGIYS297,A3F7TX7LITQ4UP,Approved,"Wed May 04 16:02:36 PDT 2016","Wed May 04 16:05:10 PDT 2016",4[zyns/img0047.jpg],5[zyns/img0384.jpg],5[zyns/img0424.jpg],4[zyns/img0788.jpg],4[zyns/img0703.jpg],5[zyns/img0567.jpg],3[zyns/img0864.jpg],3[zyns/img0226.jpg],3[zyns/img0237.jpg],4[zyns/img0695.jpg],5[zyns/img0180.jpg],4[zyns/img0272.jpg],4[zyns/img0752.jpg],5[zyns/img0760.jpg],5[zyns/img0374.jpg],4[zyns/img0204.jpg],3[zyns/img0304.jpg],4[zyns/img0145.jpg],1[zyns/img0509.jpg],4[zyns/img0530.jpg],4[zyns/img0599.jpg],4[zyns/img0136.jpg],4[zyns/img0055.jpg],2[zyns/img0013.jpg],4[zyns/img0482.jpg],4[zyns/img0029.jpg],4[zyns/img0326.jpg],4[zyns/img0576.jpg],4[zyns/img0584.jpg],5[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3MTMREQS4VJRXI1GFLO7JCQPSOXWAS,A1LBK9M2CRWL73,Approved,"Wed May 04 19:43:22 PDT 2016","Wed May 04 19:47:04 PDT 2016",2[zyns/img0047.jpg],4[zyns/img0384.jpg],3[zyns/img0424.jpg],4[zyns/img0788.jpg],5[zyns/img0703.jpg],5[zyns/img0567.jpg],4[zyns/img0864.jpg],5[zyns/img0226.jpg],4[zyns/img0237.jpg],5[zyns/img0695.jpg],3[zyns/img0180.jpg],1[zyns/img0272.jpg],5[zyns/img0752.jpg],2[zyns/img0760.jpg],4[zyns/img0374.jpg],5[zyns/img0204.jpg],5[zyns/img0304.jpg],5[zyns/img0145.jpg],5[zyns/img0509.jpg],4[zyns/img0530.jpg],4[zyns/img0599.jpg],5[zyns/img0136.jpg],3[zyns/img0055.jpg],2[zyns/img0013.jpg],5[zyns/img0482.jpg],4[zyns/img0029.jpg],5[zyns/img0326.jpg],5[zyns/img0576.jpg],2[zyns/img0584.jpg],4[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3HMVI3QICJTZSZJGY3D2T8I2Z2XY1B,A3UC4JITM1QD1M,Approved,"Wed May 04 20:39:47 PDT 2016","Wed May 04 20:40:32 PDT 2016",5[zyns/img0047.jpg],5[zyns/img0384.jpg],5[zyns/img0424.jpg],5[zyns/img0788.jpg],5[zyns/img0703.jpg],5[zyns/img0567.jpg],5[zyns/img0864.jpg],5[zyns/img0226.jpg],5[zyns/img0237.jpg],5[zyns/img0695.jpg],5[zyns/img0180.jpg],5[zyns/img0272.jpg],5[zyns/img0752.jpg],5[zyns/img0760.jpg],5[zyns/img0374.jpg],5[zyns/img0204.jpg],5[zyns/img0304.jpg],5[zyns/img0145.jpg],5[zyns/img0509.jpg],5[zyns/img0530.jpg],5[zyns/img0599.jpg],5[zyns/img0136.jpg],5[zyns/img0055.jpg],5[zyns/img0013.jpg],5[zyns/img0482.jpg],5[zyns/img0029.jpg],5[zyns/img0326.jpg],5[zyns/img0576.jpg],5[zyns/img0584.jpg],5[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3T3IWE1XG6ORSH439CGIMSYVSCGQTI,A3IH0HBP17YHAM,Approved,"Wed May 04 22:21:53 PDT 2016","Wed May 04 22:24:06 PDT 2016",1[zyns/img0047.jpg],3[zyns/img0384.jpg],4[zyns/img0424.jpg],4[zyns/img0788.jpg],4[zyns/img0703.jpg],4[zyns/img0567.jpg],3[zyns/img0864.jpg],2[zyns/img0226.jpg],4[zyns/img0237.jpg],5[zyns/img0695.jpg],4[zyns/img0180.jpg],1[zyns/img0272.jpg],4[zyns/img0752.jpg],4[zyns/img0760.jpg],3[zyns/img0374.jpg],4[zyns/img0204.jpg],3[zyns/img0304.jpg],4[zyns/img0145.jpg],4[zyns/img0509.jpg],3[zyns/img0530.jpg],4[zyns/img0599.jpg],4[zyns/img0136.jpg],4[zyns/img0055.jpg],4[zyns/img0013.jpg],5[zyns/img0482.jpg],4[zyns/img0029.jpg],4[zyns/img0326.jpg],3[zyns/img0576.jpg],4[zyns/img0584.jpg],3[zyns/img0143.jpg],
32LAQ1JNT9QGXQDQ0JVM89Z2KM6TU9,"zyns_150-179","sample#command",3TEM0PF1Q5YWNZ376OMO2IPRCMX0DE,AABZBL0JNLG0X,Approved,"Wed May 04 22:47:37 PDT 2016","Wed May 04 22:51:28 PDT 2016",1[zyns/img0047.jpg],5[zyns/img0384.jpg],4[zyns/img0424.jpg],5[zyns/img0788.jpg],5[zyns/img0703.jpg],5[zyns/img0567.jpg],3[zyns/img0864.jpg],2[zyns/img0226.jpg],1[zyns/img0237.jpg],5[zyns/img0695.jpg],3[zyns/img0180.jpg],1[zyns/img0272.jpg],3[zyns/img0752.jpg],5[zyns/img0760.jpg],3[zyns/img0374.jpg],5[zyns/img0204.jpg],5[zyns/img0304.jpg],4[zyns/img0145.jpg],5[zyns/img0509.jpg],5[zyns/img0530.jpg],3[zyns/img0599.jpg],2[zyns/img0136.jpg],5[zyns/img0055.jpg],4[zyns/img0013.jpg],4[zyns/img0482.jpg],5[zyns/img0029.jpg],5[zyns/img0326.jpg],5[zyns/img0576.jpg],5[zyns/img0584.jpg],5[zyns/img0143.jpg],
