HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",34J10VATJFZ1J3OSF0HE8LWMHSNQII,A2UY4EEZXJYD6D,Approved,"Wed May 04 08:43:57 PDT 2016","Wed May 04 08:47:28 PDT 2016",5[zyns/img0647.jpg],4[zyns/img0413.jpg],2[zyns/img0377.jpg],1[zyns/img0438.jpg],2[zyns/img0580.jpg],1[zyns/img0450.jpg],1[zyns/img0150.jpg],2[zyns/img0646.jpg],4[zyns/img0694.jpg],3[zyns/img0737.jpg],2[zyns/img0735.jpg],1[zyns/img0772.jpg],5[zyns/img0674.jpg],3[zyns/img0155.jpg],3[zyns/img0625.jpg],4[zyns/img0440.jpg],5[zyns/img0164.jpg],4[zyns/img0748.jpg],2[zyns/img0669.jpg],3[zyns/img0139.jpg],4[zyns/img0125.jpg],2[zyns/img0084.jpg],2[zyns/img0502.jpg],2[zyns/img0559.jpg],4[zyns/img0774.jpg],2[zyns/img0381.jpg],2[zyns/img0851.jpg],3[zyns/img0360.jpg],3[zyns/img0431.jpg],2[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",3S0TNUHWKTJE5O8A1SZ3VXV9VHVD8U,AWQDOOSNH42QM,Approved,"Wed May 04 08:47:16 PDT 2016","Wed May 04 08:48:16 PDT 2016",5[zyns/img0647.jpg],5[zyns/img0413.jpg],5[zyns/img0377.jpg],5[zyns/img0438.jpg],5[zyns/img0580.jpg],4[zyns/img0450.jpg],4[zyns/img0150.jpg],5[zyns/img0646.jpg],5[zyns/img0694.jpg],5[zyns/img0737.jpg],5[zyns/img0735.jpg],5[zyns/img0772.jpg],5[zyns/img0674.jpg],5[zyns/img0155.jpg],5[zyns/img0625.jpg],4[zyns/img0440.jpg],5[zyns/img0164.jpg],5[zyns/img0748.jpg],5[zyns/img0669.jpg],5[zyns/img0139.jpg],5[zyns/img0125.jpg],5[zyns/img0084.jpg],5[zyns/img0502.jpg],4[zyns/img0559.jpg],4[zyns/img0774.jpg],5[zyns/img0381.jpg],5[zyns/img0851.jpg],5[zyns/img0360.jpg],5[zyns/img0431.jpg],5[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",3H8DHMCCW9CY0PABAHW6L240QH1DKP,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:09 PDT 2016","Wed May 04 09:18:33 PDT 2016",4[zyns/img0647.jpg],4[zyns/img0413.jpg],4[zyns/img0377.jpg],4[zyns/img0438.jpg],4[zyns/img0580.jpg],4[zyns/img0450.jpg],5[zyns/img0150.jpg],4[zyns/img0646.jpg],4[zyns/img0694.jpg],1[zyns/img0737.jpg],4[zyns/img0735.jpg],4[zyns/img0772.jpg],4[zyns/img0674.jpg],4[zyns/img0155.jpg],4[zyns/img0625.jpg],4[zyns/img0440.jpg],4[zyns/img0164.jpg],4[zyns/img0748.jpg],4[zyns/img0669.jpg],4[zyns/img0139.jpg],4[zyns/img0125.jpg],3[zyns/img0084.jpg],4[zyns/img0502.jpg],3[zyns/img0559.jpg],2[zyns/img0774.jpg],4[zyns/img0381.jpg],4[zyns/img0851.jpg],4[zyns/img0360.jpg],4[zyns/img0431.jpg],4[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",3RXPCZQMQPCZ68YG4XRWM8BYU3H1GK,A39BR7NYRDWC01,Approved,"Wed May 04 09:20:51 PDT 2016","Wed May 04 09:22:10 PDT 2016",5[zyns/img0647.jpg],4[zyns/img0413.jpg],4[zyns/img0377.jpg],4[zyns/img0438.jpg],4[zyns/img0580.jpg],3[zyns/img0450.jpg],5[zyns/img0150.jpg],5[zyns/img0646.jpg],5[zyns/img0694.jpg],4[zyns/img0737.jpg],5[zyns/img0735.jpg],4[zyns/img0772.jpg],5[zyns/img0674.jpg],4[zyns/img0155.jpg],5[zyns/img0625.jpg],4[zyns/img0440.jpg],5[zyns/img0164.jpg],3[zyns/img0748.jpg],3[zyns/img0669.jpg],3[zyns/img0139.jpg],5[zyns/img0125.jpg],4[zyns/img0084.jpg],3[zyns/img0502.jpg],3[zyns/img0559.jpg],4[zyns/img0774.jpg],3[zyns/img0381.jpg],4[zyns/img0851.jpg],5[zyns/img0360.jpg],5[zyns/img0431.jpg],5[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",33FOTY3KEMMMPWIB2BVDWHQJWBTC1P,ASY5AZCZEM04L,Approved,"Wed May 04 09:47:56 PDT 2016","Wed May 04 09:48:22 PDT 2016",5[zyns/img0647.jpg],5[zyns/img0413.jpg],5[zyns/img0377.jpg],5[zyns/img0438.jpg],5[zyns/img0580.jpg],5[zyns/img0450.jpg],5[zyns/img0150.jpg],5[zyns/img0646.jpg],5[zyns/img0694.jpg],5[zyns/img0737.jpg],5[zyns/img0735.jpg],5[zyns/img0772.jpg],5[zyns/img0674.jpg],5[zyns/img0155.jpg],5[zyns/img0625.jpg],5[zyns/img0440.jpg],5[zyns/img0164.jpg],5[zyns/img0748.jpg],5[zyns/img0669.jpg],5[zyns/img0139.jpg],5[zyns/img0125.jpg],5[zyns/img0084.jpg],5[zyns/img0502.jpg],5[zyns/img0559.jpg],5[zyns/img0774.jpg],5[zyns/img0381.jpg],5[zyns/img0851.jpg],5[zyns/img0360.jpg],5[zyns/img0431.jpg],5[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",338JKRMM26090S6RKM27I9G2DX4HAR,A1WPXQWFALCA65,Approved,"Wed May 04 09:47:50 PDT 2016","Wed May 04 09:50:00 PDT 2016",5[zyns/img0647.jpg],5[zyns/img0413.jpg],5[zyns/img0377.jpg],5[zyns/img0438.jpg],5[zyns/img0580.jpg],3[zyns/img0450.jpg],4[zyns/img0150.jpg],3[zyns/img0646.jpg],4[zyns/img0694.jpg],3[zyns/img0737.jpg],4[zyns/img0735.jpg],3[zyns/img0772.jpg],5[zyns/img0674.jpg],2[zyns/img0155.jpg],3[zyns/img0625.jpg],2[zyns/img0440.jpg],3[zyns/img0164.jpg],4[zyns/img0748.jpg],3[zyns/img0669.jpg],4[zyns/img0139.jpg],4[zyns/img0125.jpg],4[zyns/img0084.jpg],3[zyns/img0502.jpg],3[zyns/img0559.jpg],3[zyns/img0774.jpg],3[zyns/img0381.jpg],2[zyns/img0851.jpg],3[zyns/img0360.jpg],3[zyns/img0431.jpg],3[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",37W3JXSD669ST0ZJVR2NMY8WVCXYWV,A233QQEFEC8A2I,Approved,"Wed May 04 10:47:11 PDT 2016","Wed May 04 10:50:03 PDT 2016",4[zyns/img0647.jpg],3[zyns/img0413.jpg],5[zyns/img0377.jpg],4[zyns/img0438.jpg],4[zyns/img0580.jpg],1[zyns/img0450.jpg],4[zyns/img0150.jpg],3[zyns/img0646.jpg],4[zyns/img0694.jpg],2[zyns/img0737.jpg],4[zyns/img0735.jpg],2[zyns/img0772.jpg],4[zyns/img0674.jpg],2[zyns/img0155.jpg],4[zyns/img0625.jpg],1[zyns/img0440.jpg],2[zyns/img0164.jpg],4[zyns/img0748.jpg],2[zyns/img0669.jpg],4[zyns/img0139.jpg],4[zyns/img0125.jpg],3[zyns/img0084.jpg],2[zyns/img0502.jpg],2[zyns/img0559.jpg],4[zyns/img0774.jpg],4[zyns/img0381.jpg],1[zyns/img0851.jpg],1[zyns/img0360.jpg],4[zyns/img0431.jpg],3[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",3X0H8UUIT1PVXENAWLAY4CKVESWWSC,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:10:04 PDT 2016","Wed May 04 14:11:32 PDT 2016",3[zyns/img0647.jpg],2[zyns/img0413.jpg],3[zyns/img0377.jpg],2[zyns/img0438.jpg],3[zyns/img0580.jpg],2[zyns/img0450.jpg],1[zyns/img0150.jpg],1[zyns/img0646.jpg],3[zyns/img0694.jpg],5[zyns/img0737.jpg],2[zyns/img0735.jpg],1[zyns/img0772.jpg],5[zyns/img0674.jpg],5[zyns/img0155.jpg],3[zyns/img0625.jpg],2[zyns/img0440.jpg],1[zyns/img0164.jpg],2[zyns/img0748.jpg],1[zyns/img0669.jpg],4[zyns/img0139.jpg],5[zyns/img0125.jpg],3[zyns/img0084.jpg],2[zyns/img0502.jpg],1[zyns/img0559.jpg],1[zyns/img0774.jpg],2[zyns/img0381.jpg],1[zyns/img0851.jpg],2[zyns/img0360.jpg],1[zyns/img0431.jpg],2[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",38F5OAUN5NDRHQ8TDJQN8IECCSG7HE,A39J5RLVDTM6SM,Approved,"Wed May 04 19:55:15 PDT 2016","Wed May 04 19:59:20 PDT 2016",5[zyns/img0647.jpg],5[zyns/img0413.jpg],5[zyns/img0377.jpg],5[zyns/img0438.jpg],4[zyns/img0580.jpg],4[zyns/img0450.jpg],5[zyns/img0150.jpg],5[zyns/img0646.jpg],5[zyns/img0694.jpg],4[zyns/img0737.jpg],5[zyns/img0735.jpg],5[zyns/img0772.jpg],4[zyns/img0674.jpg],4[zyns/img0155.jpg],4[zyns/img0625.jpg],2[zyns/img0440.jpg],5[zyns/img0164.jpg],5[zyns/img0748.jpg],5[zyns/img0669.jpg],5[zyns/img0139.jpg],4[zyns/img0125.jpg],4[zyns/img0084.jpg],4[zyns/img0502.jpg],5[zyns/img0559.jpg],5[zyns/img0774.jpg],4[zyns/img0381.jpg],4[zyns/img0851.jpg],4[zyns/img0360.jpg],4[zyns/img0431.jpg],3[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",38JBBYETQOBIETZ8LKKAK3XPTA3E4Q,A3UC4JITM1QD1M,Approved,"Wed May 04 20:42:20 PDT 2016","Wed May 04 20:43:25 PDT 2016",5[zyns/img0647.jpg],5[zyns/img0413.jpg],5[zyns/img0377.jpg],5[zyns/img0438.jpg],5[zyns/img0580.jpg],5[zyns/img0450.jpg],5[zyns/img0150.jpg],5[zyns/img0646.jpg],5[zyns/img0694.jpg],5[zyns/img0737.jpg],5[zyns/img0735.jpg],5[zyns/img0772.jpg],5[zyns/img0674.jpg],5[zyns/img0155.jpg],5[zyns/img0625.jpg],5[zyns/img0440.jpg],5[zyns/img0164.jpg],5[zyns/img0748.jpg],5[zyns/img0669.jpg],5[zyns/img0139.jpg],5[zyns/img0125.jpg],5[zyns/img0084.jpg],5[zyns/img0502.jpg],5[zyns/img0559.jpg],5[zyns/img0774.jpg],5[zyns/img0381.jpg],5[zyns/img0851.jpg],5[zyns/img0360.jpg],5[zyns/img0431.jpg],5[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",3WJEQKOXA83YWHLDIXZMQM0VWBW1A6,AEMAUIVLD8GLY,Approved,"Wed May 04 20:58:12 PDT 2016","Wed May 04 21:02:19 PDT 2016",4[zyns/img0647.jpg],4[zyns/img0413.jpg],3[zyns/img0377.jpg],5[zyns/img0438.jpg],5[zyns/img0580.jpg],4[zyns/img0450.jpg],5[zyns/img0150.jpg],5[zyns/img0646.jpg],4[zyns/img0694.jpg],5[zyns/img0737.jpg],4[zyns/img0735.jpg],3[zyns/img0772.jpg],3[zyns/img0674.jpg],3[zyns/img0155.jpg],2[zyns/img0625.jpg],4[zyns/img0440.jpg],5[zyns/img0164.jpg],5[zyns/img0748.jpg],4[zyns/img0669.jpg],4[zyns/img0139.jpg],3[zyns/img0125.jpg],3[zyns/img0084.jpg],2[zyns/img0502.jpg],3[zyns/img0559.jpg],3[zyns/img0774.jpg],3[zyns/img0381.jpg],2[zyns/img0851.jpg],3[zyns/img0360.jpg],3[zyns/img0431.jpg],2[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",3L6L49WXW0YIIA6FAJR7G9RCGHD54P,A1ESKJFDQUMBL4,Approved,"Wed May 04 22:29:27 PDT 2016","Wed May 04 22:43:04 PDT 2016",2[zyns/img0647.jpg],2[zyns/img0413.jpg],4[zyns/img0377.jpg],2[zyns/img0438.jpg],2[zyns/img0580.jpg],2[zyns/img0450.jpg],2[zyns/img0150.jpg],2[zyns/img0646.jpg],2[zyns/img0694.jpg],4[zyns/img0737.jpg],3[zyns/img0735.jpg],3[zyns/img0772.jpg],4[zyns/img0674.jpg],4[zyns/img0155.jpg],4[zyns/img0625.jpg],2[zyns/img0440.jpg],2[zyns/img0164.jpg],3[zyns/img0748.jpg],2[zyns/img0669.jpg],4[zyns/img0139.jpg],4[zyns/img0125.jpg],3[zyns/img0084.jpg],3[zyns/img0502.jpg],3[zyns/img0559.jpg],3[zyns/img0774.jpg],4[zyns/img0381.jpg],4[zyns/img0851.jpg],3[zyns/img0360.jpg],3[zyns/img0431.jpg],3[zyns/img0300.jpg],
375VMB7D4JK47AMTKC6TK2T5N5VDI2,"zyns_0-29","sample#command",3LYA37P8IQO5LSCRWL50QCG0NZSBKP,AABZBL0JNLG0X,Approved,"Wed May 04 23:18:21 PDT 2016","Wed May 04 23:21:54 PDT 2016",5[zyns/img0647.jpg],4[zyns/img0413.jpg],5[zyns/img0377.jpg],2[zyns/img0438.jpg],3[zyns/img0580.jpg],1[zyns/img0450.jpg],1[zyns/img0150.jpg],1[zyns/img0646.jpg],3[zyns/img0694.jpg],2[zyns/img0737.jpg],2[zyns/img0735.jpg],2[zyns/img0772.jpg],5[zyns/img0674.jpg],2[zyns/img0155.jpg],4[zyns/img0625.jpg],1[zyns/img0440.jpg],2[zyns/img0164.jpg],3[zyns/img0748.jpg],3[zyns/img0669.jpg],5[zyns/img0139.jpg],4[zyns/img0125.jpg],4[zyns/img0084.jpg],2[zyns/img0502.jpg],1[zyns/img0559.jpg],1[zyns/img0774.jpg],4[zyns/img0381.jpg],4[zyns/img0851.jpg],2[zyns/img0360.jpg],2[zyns/img0431.jpg],2[zyns/img0300.jpg],
