HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",317HQ483I7TGG6B0Z8PX4R1HCH7NIZ,AWQDOOSNH42QM,Approved,"Wed May 04 08:56:11 PDT 2016","Wed May 04 08:57:05 PDT 2016",5[zyns/img0555.jpg],5[zyns/img0031.jpg],5[zyns/img0653.jpg],5[zyns/img0813.jpg],5[zyns/img0467.jpg],5[zyns/img0700.jpg],4[zyns/img0228.jpg],4[zyns/img0820.jpg],5[zyns/img0476.jpg],4[zyns/img0714.jpg],5[zyns/img0765.jpg],5[zyns/img0830.jpg],5[zyns/img0702.jpg],5[zyns/img0552.jpg],5[zyns/img0594.jpg],5[zyns/img0691.jpg],5[zyns/img0561.jpg],5[zyns/img0504.jpg],5[zyns/img0852.jpg],5[zyns/img0071.jpg],1[zyns/img0671.jpg],5[zyns/img0185.jpg],5[zyns/img0598.jpg],5[zyns/img0724.jpg],5[zyns/img0649.jpg],4[zyns/img0354.jpg],5[zyns/img0279.jpg],5[zyns/img0496.jpg],4[zyns/img0602.jpg],5[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3EO896NRAWWA6U0QEMW9PRM9EEPTJP,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:14 PDT 2016","Wed May 04 09:20:16 PDT 2016",4[zyns/img0555.jpg],4[zyns/img0031.jpg],4[zyns/img0653.jpg],5[zyns/img0813.jpg],4[zyns/img0467.jpg],4[zyns/img0700.jpg],4[zyns/img0228.jpg],4[zyns/img0820.jpg],5[zyns/img0476.jpg],4[zyns/img0714.jpg],4[zyns/img0765.jpg],4[zyns/img0830.jpg],5[zyns/img0702.jpg],4[zyns/img0552.jpg],4[zyns/img0594.jpg],4[zyns/img0691.jpg],3[zyns/img0561.jpg],5[zyns/img0504.jpg],4[zyns/img0852.jpg],2[zyns/img0071.jpg],4[zyns/img0671.jpg],4[zyns/img0185.jpg],4[zyns/img0598.jpg],4[zyns/img0724.jpg],4[zyns/img0649.jpg],4[zyns/img0354.jpg],4[zyns/img0279.jpg],2[zyns/img0496.jpg],4[zyns/img0602.jpg],3[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3TYCR1GOTCKCNWXPNZX4RU0I3ZJLZ2,A39BR7NYRDWC01,Approved,"Wed May 04 09:40:02 PDT 2016","Wed May 04 09:41:11 PDT 2016",4[zyns/img0555.jpg],4[zyns/img0031.jpg],4[zyns/img0653.jpg],5[zyns/img0813.jpg],5[zyns/img0467.jpg],3[zyns/img0700.jpg],3[zyns/img0228.jpg],5[zyns/img0820.jpg],3[zyns/img0476.jpg],5[zyns/img0714.jpg],5[zyns/img0765.jpg],4[zyns/img0830.jpg],4[zyns/img0702.jpg],5[zyns/img0552.jpg],4[zyns/img0594.jpg],5[zyns/img0691.jpg],5[zyns/img0561.jpg],5[zyns/img0504.jpg],4[zyns/img0852.jpg],3[zyns/img0071.jpg],5[zyns/img0671.jpg],4[zyns/img0185.jpg],5[zyns/img0598.jpg],5[zyns/img0724.jpg],4[zyns/img0649.jpg],5[zyns/img0354.jpg],5[zyns/img0279.jpg],5[zyns/img0496.jpg],3[zyns/img0602.jpg],5[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",324G5B4FB39G6Q2XFBJ22QFVQ8X07I,ASY5AZCZEM04L,Approved,"Wed May 04 09:49:48 PDT 2016","Wed May 04 09:50:03 PDT 2016",5[zyns/img0555.jpg],5[zyns/img0031.jpg],5[zyns/img0653.jpg],5[zyns/img0813.jpg],5[zyns/img0467.jpg],5[zyns/img0700.jpg],5[zyns/img0228.jpg],5[zyns/img0820.jpg],5[zyns/img0476.jpg],5[zyns/img0714.jpg],5[zyns/img0765.jpg],5[zyns/img0830.jpg],5[zyns/img0702.jpg],5[zyns/img0552.jpg],5[zyns/img0594.jpg],5[zyns/img0691.jpg],5[zyns/img0561.jpg],5[zyns/img0504.jpg],5[zyns/img0852.jpg],5[zyns/img0071.jpg],5[zyns/img0671.jpg],5[zyns/img0185.jpg],5[zyns/img0598.jpg],5[zyns/img0724.jpg],5[zyns/img0649.jpg],5[zyns/img0354.jpg],5[zyns/img0279.jpg],5[zyns/img0496.jpg],5[zyns/img0602.jpg],5[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3H0W84IWBK3PFZ16WWGNSW8ZLLEERU,ANBTNIM08969Z,Approved,"Wed May 04 10:59:28 PDT 2016","Wed May 04 11:03:32 PDT 2016",3[zyns/img0555.jpg],4[zyns/img0031.jpg],3[zyns/img0653.jpg],2[zyns/img0813.jpg],2[zyns/img0467.jpg],2[zyns/img0700.jpg],2[zyns/img0228.jpg],2[zyns/img0820.jpg],3[zyns/img0476.jpg],3[zyns/img0714.jpg],4[zyns/img0765.jpg],2[zyns/img0830.jpg],3[zyns/img0702.jpg],2[zyns/img0552.jpg],2[zyns/img0594.jpg],2[zyns/img0691.jpg],4[zyns/img0561.jpg],1[zyns/img0504.jpg],2[zyns/img0852.jpg],2[zyns/img0071.jpg],1[zyns/img0671.jpg],2[zyns/img0185.jpg],3[zyns/img0598.jpg],4[zyns/img0724.jpg],1[zyns/img0649.jpg],1[zyns/img0354.jpg],2[zyns/img0279.jpg],5[zyns/img0496.jpg],3[zyns/img0602.jpg],2[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3QXNC7EIPIWKK9QQU8HMGM61LZT094,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:15:00 PDT 2016","Wed May 04 14:16:26 PDT 2016",1[zyns/img0555.jpg],2[zyns/img0031.jpg],1[zyns/img0653.jpg],4[zyns/img0813.jpg],5[zyns/img0467.jpg],2[zyns/img0700.jpg],4[zyns/img0228.jpg],5[zyns/img0820.jpg],4[zyns/img0476.jpg],2[zyns/img0714.jpg],1[zyns/img0765.jpg],5[zyns/img0830.jpg],3[zyns/img0702.jpg],5[zyns/img0552.jpg],5[zyns/img0594.jpg],2[zyns/img0691.jpg],5[zyns/img0561.jpg],5[zyns/img0504.jpg],5[zyns/img0852.jpg],5[zyns/img0071.jpg],2[zyns/img0671.jpg],1[zyns/img0185.jpg],4[zyns/img0598.jpg],4[zyns/img0724.jpg],1[zyns/img0649.jpg],3[zyns/img0354.jpg],2[zyns/img0279.jpg],3[zyns/img0496.jpg],3[zyns/img0602.jpg],4[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3B2X28YI3WGYMDR2UHBZGTBIM4WB68,A3UC4JITM1QD1M,Approved,"Wed May 04 20:41:05 PDT 2016","Wed May 04 20:42:31 PDT 2016",5[zyns/img0555.jpg],5[zyns/img0031.jpg],5[zyns/img0653.jpg],5[zyns/img0813.jpg],5[zyns/img0467.jpg],5[zyns/img0700.jpg],5[zyns/img0228.jpg],5[zyns/img0820.jpg],5[zyns/img0476.jpg],5[zyns/img0714.jpg],5[zyns/img0765.jpg],5[zyns/img0830.jpg],5[zyns/img0702.jpg],5[zyns/img0552.jpg],5[zyns/img0594.jpg],5[zyns/img0691.jpg],5[zyns/img0561.jpg],5[zyns/img0504.jpg],5[zyns/img0852.jpg],5[zyns/img0071.jpg],5[zyns/img0671.jpg],5[zyns/img0185.jpg],5[zyns/img0598.jpg],5[zyns/img0724.jpg],5[zyns/img0649.jpg],5[zyns/img0354.jpg],5[zyns/img0279.jpg],5[zyns/img0496.jpg],5[zyns/img0602.jpg],5[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3Z7EFSHGN9FUFX3494GKRQUK1TXXCX,A2DNSD743W4OC2,Approved,"Wed May 04 21:07:14 PDT 2016","Wed May 04 21:09:33 PDT 2016",1[zyns/img0555.jpg],4[zyns/img0031.jpg],1[zyns/img0653.jpg],4[zyns/img0813.jpg],5[zyns/img0467.jpg],2[zyns/img0700.jpg],1[zyns/img0228.jpg],2[zyns/img0820.jpg],2[zyns/img0476.jpg],1[zyns/img0714.jpg],2[zyns/img0765.jpg],5[zyns/img0830.jpg],2[zyns/img0702.jpg],2[zyns/img0552.jpg],3[zyns/img0594.jpg],3[zyns/img0691.jpg],4[zyns/img0561.jpg],3[zyns/img0504.jpg],1[zyns/img0852.jpg],2[zyns/img0071.jpg],1[zyns/img0671.jpg],2[zyns/img0185.jpg],2[zyns/img0598.jpg],2[zyns/img0724.jpg],3[zyns/img0649.jpg],2[zyns/img0354.jpg],3[zyns/img0279.jpg],2[zyns/img0496.jpg],2[zyns/img0602.jpg],2[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3URFVVM165JF6MKJWDP5IHW1GT9UZ8,A1ESKJFDQUMBL4,Approved,"Wed May 04 22:29:01 PDT 2016","Wed May 04 22:42:54 PDT 2016",2[zyns/img0555.jpg],4[zyns/img0031.jpg],3[zyns/img0653.jpg],4[zyns/img0813.jpg],5[zyns/img0467.jpg],3[zyns/img0700.jpg],2[zyns/img0228.jpg],2[zyns/img0820.jpg],2[zyns/img0476.jpg],3[zyns/img0714.jpg],3[zyns/img0765.jpg],3[zyns/img0830.jpg],3[zyns/img0702.jpg],4[zyns/img0552.jpg],3[zyns/img0594.jpg],3[zyns/img0691.jpg],4[zyns/img0561.jpg],1[zyns/img0504.jpg],2[zyns/img0852.jpg],3[zyns/img0071.jpg],1[zyns/img0671.jpg],1[zyns/img0185.jpg],4[zyns/img0598.jpg],3[zyns/img0724.jpg],3[zyns/img0649.jpg],2[zyns/img0354.jpg],3[zyns/img0279.jpg],1[zyns/img0496.jpg],1[zyns/img0602.jpg],3[zyns/img0137.jpg],
3IQ9O0AYW60BOZIQ6268P6BRQRJITQ,"zyns_120-149","sample#command",3YHH42UU5BGFLBRZJ5KCLVXWLW1L0J,A1XC5OV00MECKQ,Approved,"Thu May 05 09:37:47 PDT 2016","Thu May 05 09:39:59 PDT 2016",3[zyns/img0555.jpg],5[zyns/img0031.jpg],4[zyns/img0653.jpg],4[zyns/img0813.jpg],4[zyns/img0467.jpg],4[zyns/img0700.jpg],4[zyns/img0228.jpg],4[zyns/img0820.jpg],4[zyns/img0476.jpg],4[zyns/img0714.jpg],4[zyns/img0765.jpg],5[zyns/img0830.jpg],5[zyns/img0702.jpg],5[zyns/img0552.jpg],5[zyns/img0594.jpg],2[zyns/img0691.jpg],2[zyns/img0561.jpg],4[zyns/img0504.jpg],5[zyns/img0852.jpg],4[zyns/img0071.jpg],4[zyns/img0671.jpg],4[zyns/img0185.jpg],4[zyns/img0598.jpg],4[zyns/img0724.jpg],4[zyns/img0649.jpg],5[zyns/img0354.jpg],4[zyns/img0279.jpg],3[zyns/img0496.jpg],3[zyns/img0602.jpg],5[zyns/img0137.jpg],
