HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3K5TEWLKGVCTOBK91ZBOE8VUYK9IVB,AWQDOOSNH42QM,Approved,"Wed May 04 08:56:13 PDT 2016","Wed May 04 08:57:50 PDT 2016",5[zyns/img0483.jpg],5[zyns/img0673.jpg],5[zyns/img0042.jpg],5[zyns/img0764.jpg],5[zyns/img0212.jpg],5[zyns/img0662.jpg],5[zyns/img0747.jpg],4[zyns/img0310.jpg],4[zyns/img0416.jpg],5[zyns/img0037.jpg],5[zyns/img0333.jpg],5[zyns/img0547.jpg],5[zyns/img0465.jpg],5[zyns/img0472.jpg],5[zyns/img0498.jpg],5[zyns/img0230.jpg],5[zyns/img0008.jpg],5[zyns/img0620.jpg],5[zyns/img0443.jpg],5[zyns/img0035.jpg],5[zyns/img0638.jpg],5[zyns/img0753.jpg],5[zyns/img0119.jpg],5[zyns/img0282.jpg],4[zyns/img0566.jpg],5[zyns/img0793.jpg],5[zyns/img0833.jpg],5[zyns/img0276.jpg],5[zyns/img0090.jpg],5[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3VD82FOHKQP7LOPC8DTO8D3RPMZOCK,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:15 PDT 2016","Wed May 04 09:20:48 PDT 2016",4[zyns/img0483.jpg],4[zyns/img0673.jpg],5[zyns/img0042.jpg],4[zyns/img0764.jpg],5[zyns/img0212.jpg],4[zyns/img0662.jpg],4[zyns/img0747.jpg],4[zyns/img0310.jpg],3[zyns/img0416.jpg],3[zyns/img0037.jpg],4[zyns/img0333.jpg],4[zyns/img0547.jpg],4[zyns/img0465.jpg],3[zyns/img0472.jpg],3[zyns/img0498.jpg],5[zyns/img0230.jpg],4[zyns/img0008.jpg],4[zyns/img0620.jpg],4[zyns/img0443.jpg],3[zyns/img0035.jpg],4[zyns/img0638.jpg],4[zyns/img0753.jpg],3[zyns/img0119.jpg],2[zyns/img0282.jpg],3[zyns/img0566.jpg],2[zyns/img0793.jpg],3[zyns/img0833.jpg],3[zyns/img0276.jpg],2[zyns/img0090.jpg],4[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",369J354OFDBUDUZDA33DH42F2E0G60,A39BR7NYRDWC01,Approved,"Wed May 04 09:36:40 PDT 2016","Wed May 04 09:37:41 PDT 2016",4[zyns/img0483.jpg],3[zyns/img0673.jpg],5[zyns/img0042.jpg],5[zyns/img0764.jpg],5[zyns/img0212.jpg],5[zyns/img0662.jpg],5[zyns/img0747.jpg],5[zyns/img0310.jpg],3[zyns/img0416.jpg],5[zyns/img0037.jpg],5[zyns/img0333.jpg],5[zyns/img0547.jpg],5[zyns/img0465.jpg],3[zyns/img0472.jpg],5[zyns/img0498.jpg],4[zyns/img0230.jpg],5[zyns/img0008.jpg],3[zyns/img0620.jpg],4[zyns/img0443.jpg],3[zyns/img0035.jpg],5[zyns/img0638.jpg],4[zyns/img0753.jpg],4[zyns/img0119.jpg],4[zyns/img0282.jpg],5[zyns/img0566.jpg],4[zyns/img0793.jpg],4[zyns/img0833.jpg],3[zyns/img0276.jpg],5[zyns/img0090.jpg],5[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",33TIN5LC04BHH4MB2GSV8E0LXBZY9S,ASY5AZCZEM04L,Approved,"Wed May 04 09:50:25 PDT 2016","Wed May 04 09:50:58 PDT 2016",5[zyns/img0483.jpg],5[zyns/img0673.jpg],5[zyns/img0042.jpg],5[zyns/img0764.jpg],5[zyns/img0212.jpg],5[zyns/img0662.jpg],5[zyns/img0747.jpg],5[zyns/img0310.jpg],5[zyns/img0416.jpg],5[zyns/img0037.jpg],5[zyns/img0333.jpg],5[zyns/img0547.jpg],5[zyns/img0465.jpg],5[zyns/img0472.jpg],5[zyns/img0498.jpg],5[zyns/img0230.jpg],5[zyns/img0008.jpg],5[zyns/img0620.jpg],5[zyns/img0443.jpg],5[zyns/img0035.jpg],5[zyns/img0638.jpg],5[zyns/img0753.jpg],5[zyns/img0119.jpg],5[zyns/img0282.jpg],5[zyns/img0566.jpg],5[zyns/img0793.jpg],5[zyns/img0833.jpg],5[zyns/img0276.jpg],5[zyns/img0090.jpg],5[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3UN61F00HWQPJG8DLVNKO22M8TA5RH,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:16:33 PDT 2016","Wed May 04 14:18:00 PDT 2016",3[zyns/img0483.jpg],1[zyns/img0673.jpg],2[zyns/img0042.jpg],2[zyns/img0764.jpg],3[zyns/img0212.jpg],3[zyns/img0662.jpg],3[zyns/img0747.jpg],4[zyns/img0310.jpg],4[zyns/img0416.jpg],4[zyns/img0037.jpg],2[zyns/img0333.jpg],1[zyns/img0547.jpg],2[zyns/img0465.jpg],3[zyns/img0472.jpg],3[zyns/img0498.jpg],3[zyns/img0230.jpg],3[zyns/img0008.jpg],3[zyns/img0620.jpg],2[zyns/img0443.jpg],2[zyns/img0035.jpg],3[zyns/img0638.jpg],1[zyns/img0753.jpg],2[zyns/img0119.jpg],2[zyns/img0282.jpg],5[zyns/img0566.jpg],3[zyns/img0793.jpg],2[zyns/img0833.jpg],1[zyns/img0276.jpg],2[zyns/img0090.jpg],1[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3YDGXNSEOZV15SPH8HYAST13I6G84U,A2Z5Y3JRAP6UMN,Approved,"Wed May 04 17:10:04 PDT 2016","Wed May 04 17:13:55 PDT 2016",4[zyns/img0483.jpg],1[zyns/img0673.jpg],2[zyns/img0042.jpg],5[zyns/img0764.jpg],3[zyns/img0212.jpg],2[zyns/img0662.jpg],1[zyns/img0747.jpg],4[zyns/img0310.jpg],1[zyns/img0416.jpg],4[zyns/img0037.jpg],1[zyns/img0333.jpg],3[zyns/img0547.jpg],2[zyns/img0465.jpg],3[zyns/img0472.jpg],5[zyns/img0498.jpg],3[zyns/img0230.jpg],5[zyns/img0008.jpg],5[zyns/img0620.jpg],4[zyns/img0443.jpg],5[zyns/img0035.jpg],4[zyns/img0638.jpg],1[zyns/img0753.jpg],4[zyns/img0119.jpg],5[zyns/img0282.jpg],3[zyns/img0566.jpg],5[zyns/img0793.jpg],2[zyns/img0833.jpg],5[zyns/img0276.jpg],1[zyns/img0090.jpg],2[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3LOTDFNYA70MT9IOQ1AZXD1GP4HFWV,A3UC4JITM1QD1M,Approved,"Wed May 04 20:39:49 PDT 2016","Wed May 04 20:40:45 PDT 2016",5[zyns/img0483.jpg],5[zyns/img0673.jpg],5[zyns/img0042.jpg],5[zyns/img0764.jpg],5[zyns/img0212.jpg],5[zyns/img0662.jpg],5[zyns/img0747.jpg],5[zyns/img0310.jpg],5[zyns/img0416.jpg],5[zyns/img0037.jpg],5[zyns/img0333.jpg],5[zyns/img0547.jpg],5[zyns/img0465.jpg],5[zyns/img0472.jpg],5[zyns/img0498.jpg],5[zyns/img0230.jpg],5[zyns/img0008.jpg],5[zyns/img0620.jpg],5[zyns/img0443.jpg],5[zyns/img0035.jpg],5[zyns/img0638.jpg],5[zyns/img0753.jpg],5[zyns/img0119.jpg],5[zyns/img0282.jpg],5[zyns/img0566.jpg],5[zyns/img0793.jpg],5[zyns/img0833.jpg],5[zyns/img0276.jpg],5[zyns/img0090.jpg],5[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3PDJHANYK5H8DQUOU9LV24EGHHCH65,AABZBL0JNLG0X,Approved,"Wed May 04 22:54:48 PDT 2016","Wed May 04 22:57:47 PDT 2016",4[zyns/img0483.jpg],4[zyns/img0673.jpg],1[zyns/img0042.jpg],3[zyns/img0764.jpg],4[zyns/img0212.jpg],4[zyns/img0662.jpg],2[zyns/img0747.jpg],5[zyns/img0310.jpg],1[zyns/img0416.jpg],2[zyns/img0037.jpg],4[zyns/img0333.jpg],5[zyns/img0547.jpg],2[zyns/img0465.jpg],2[zyns/img0472.jpg],5[zyns/img0498.jpg],4[zyns/img0230.jpg],4[zyns/img0008.jpg],5[zyns/img0620.jpg],2[zyns/img0443.jpg],4[zyns/img0035.jpg],5[zyns/img0638.jpg],1[zyns/img0753.jpg],5[zyns/img0119.jpg],5[zyns/img0282.jpg],2[zyns/img0566.jpg],5[zyns/img0793.jpg],3[zyns/img0833.jpg],5[zyns/img0276.jpg],5[zyns/img0090.jpg],3[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3H7XDTSHKCSS79EJ1LGHFY1SQJVWGP,A1Y59V2XEYYL2C,Approved,"Thu May 05 00:33:30 PDT 2016","Thu May 05 00:36:27 PDT 2016",4[zyns/img0483.jpg],1[zyns/img0673.jpg],1[zyns/img0042.jpg],5[zyns/img0764.jpg],5[zyns/img0212.jpg],4[zyns/img0662.jpg],3[zyns/img0747.jpg],5[zyns/img0310.jpg],1[zyns/img0416.jpg],4[zyns/img0037.jpg],4[zyns/img0333.jpg],4[zyns/img0547.jpg],4[zyns/img0465.jpg],1[zyns/img0472.jpg],5[zyns/img0498.jpg],1[zyns/img0230.jpg],5[zyns/img0008.jpg],4[zyns/img0620.jpg],2[zyns/img0443.jpg],5[zyns/img0035.jpg],5[zyns/img0638.jpg],1[zyns/img0753.jpg],5[zyns/img0119.jpg],5[zyns/img0282.jpg],3[zyns/img0566.jpg],4[zyns/img0793.jpg],3[zyns/img0833.jpg],2[zyns/img0276.jpg],5[zyns/img0090.jpg],3[zyns/img0337.jpg],
3K1H3NEY7L0QBJGYUO6QZQGP8S3DGA,"zyns_90-119","sample#command",3LRKMWOKB5I6MABHDTFZCY19X3U2Z4,A1XC5OV00MECKQ,Approved,"Thu May 05 09:46:27 PDT 2016","Thu May 05 09:48:34 PDT 2016",5[zyns/img0483.jpg],4[zyns/img0673.jpg],5[zyns/img0042.jpg],4[zyns/img0764.jpg],4[zyns/img0212.jpg],4[zyns/img0662.jpg],4[zyns/img0747.jpg],5[zyns/img0310.jpg],4[zyns/img0416.jpg],2[zyns/img0037.jpg],4[zyns/img0333.jpg],4[zyns/img0547.jpg],4[zyns/img0465.jpg],2[zyns/img0472.jpg],4[zyns/img0498.jpg],3[zyns/img0230.jpg],5[zyns/img0008.jpg],5[zyns/img0620.jpg],4[zyns/img0443.jpg],4[zyns/img0035.jpg],4[zyns/img0638.jpg],4[zyns/img0753.jpg],4[zyns/img0119.jpg],5[zyns/img0282.jpg],5[zyns/img0566.jpg],5[zyns/img0793.jpg],5[zyns/img0833.jpg],4[zyns/img0276.jpg],4[zyns/img0090.jpg],5[zyns/img0337.jpg],
