HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3R8YZBNQ9HJ4UJ7WW9DHHW6D3B87QY,A1W2VJIDSXDLZJ,Approved,"Wed May 04 08:33:44 PDT 2016","Wed May 04 08:35:01 PDT 2016",1[zyns/img0158.jpg],4[zyns/img0511.jpg],4[zyns/img0404.jpg],3[zyns/img0089.jpg],3[zyns/img0728.jpg],4[zyns/img0274.jpg],4[zyns/img0819.jpg],4[zyns/img0399.jpg],4[zyns/img0471.jpg],4[zyns/img0057.jpg],4[zyns/img0749.jpg],3[zyns/img0027.jpg],3[zyns/img0203.jpg],4[zyns/img0436.jpg],2[zyns/img0210.jpg],2[zyns/img0809.jpg],2[zyns/img0686.jpg],4[zyns/img0456.jpg],3[zyns/img0542.jpg],1[zyns/img0273.jpg],5[zyns/img0076.jpg],4[zyns/img0654.jpg],2[zyns/img0025.jpg],2[zyns/img0343.jpg],4[zyns/img0661.jpg],3[zyns/img0718.jpg],2[zyns/img0242.jpg],3[zyns/img0414.jpg],4[zyns/img0036.jpg],2[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3ATTHHXXWAPLS0P41EC62TSFEU6IX1,A23QCG37153LMN,Approved,"Wed May 04 08:34:23 PDT 2016","Wed May 04 08:39:17 PDT 2016",2[zyns/img0158.jpg],2[zyns/img0511.jpg],5[zyns/img0404.jpg],3[zyns/img0089.jpg],4[zyns/img0728.jpg],4[zyns/img0274.jpg],5[zyns/img0819.jpg],2[zyns/img0399.jpg],2[zyns/img0471.jpg],4[zyns/img0057.jpg],2[zyns/img0749.jpg],4[zyns/img0027.jpg],4[zyns/img0203.jpg],4[zyns/img0436.jpg],4[zyns/img0210.jpg],1[zyns/img0809.jpg],5[zyns/img0686.jpg],4[zyns/img0456.jpg],2[zyns/img0542.jpg],3[zyns/img0273.jpg],4[zyns/img0076.jpg],3[zyns/img0654.jpg],1[zyns/img0025.jpg],1[zyns/img0343.jpg],4[zyns/img0661.jpg],2[zyns/img0718.jpg],4[zyns/img0242.jpg],3[zyns/img0414.jpg],3[zyns/img0036.jpg],1[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3PB5A5BD0V7DHUDITD85NI2BXPGG7V,AWQDOOSNH42QM,Approved,"Wed May 04 09:10:15 PDT 2016","Wed May 04 09:12:25 PDT 2016",5[zyns/img0158.jpg],3[zyns/img0511.jpg],5[zyns/img0404.jpg],5[zyns/img0089.jpg],5[zyns/img0728.jpg],5[zyns/img0274.jpg],4[zyns/img0819.jpg],4[zyns/img0399.jpg],4[zyns/img0471.jpg],5[zyns/img0057.jpg],5[zyns/img0749.jpg],5[zyns/img0027.jpg],5[zyns/img0203.jpg],5[zyns/img0436.jpg],5[zyns/img0210.jpg],5[zyns/img0809.jpg],5[zyns/img0686.jpg],5[zyns/img0456.jpg],5[zyns/img0542.jpg],5[zyns/img0273.jpg],5[zyns/img0076.jpg],5[zyns/img0654.jpg],5[zyns/img0025.jpg],5[zyns/img0343.jpg],5[zyns/img0661.jpg],5[zyns/img0718.jpg],5[zyns/img0242.jpg],5[zyns/img0414.jpg],5[zyns/img0036.jpg],1[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3C44YUNSI1QZBG7RN91EHJQZKR7DPQ,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:20 PDT 2016","Wed May 04 09:23:04 PDT 2016",4[zyns/img0158.jpg],4[zyns/img0511.jpg],5[zyns/img0404.jpg],4[zyns/img0089.jpg],4[zyns/img0728.jpg],4[zyns/img0274.jpg],4[zyns/img0819.jpg],4[zyns/img0399.jpg],4[zyns/img0471.jpg],4[zyns/img0057.jpg],4[zyns/img0749.jpg],4[zyns/img0027.jpg],4[zyns/img0203.jpg],4[zyns/img0436.jpg],4[zyns/img0210.jpg],4[zyns/img0809.jpg],4[zyns/img0686.jpg],4[zyns/img0456.jpg],4[zyns/img0542.jpg],4[zyns/img0273.jpg],4[zyns/img0076.jpg],4[zyns/img0654.jpg],4[zyns/img0025.jpg],4[zyns/img0343.jpg],3[zyns/img0661.jpg],5[zyns/img0718.jpg],4[zyns/img0242.jpg],5[zyns/img0414.jpg],4[zyns/img0036.jpg],3[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3EG49X351UD5ZGU3ZD3H5Q2A54T6XF,A39BR7NYRDWC01,Approved,"Wed May 04 09:22:44 PDT 2016","Wed May 04 09:23:48 PDT 2016",4[zyns/img0158.jpg],5[zyns/img0511.jpg],4[zyns/img0404.jpg],4[zyns/img0089.jpg],4[zyns/img0728.jpg],5[zyns/img0274.jpg],5[zyns/img0819.jpg],5[zyns/img0399.jpg],4[zyns/img0471.jpg],4[zyns/img0057.jpg],4[zyns/img0749.jpg],5[zyns/img0027.jpg],4[zyns/img0203.jpg],4[zyns/img0436.jpg],4[zyns/img0210.jpg],4[zyns/img0809.jpg],5[zyns/img0686.jpg],4[zyns/img0456.jpg],4[zyns/img0542.jpg],3[zyns/img0273.jpg],5[zyns/img0076.jpg],5[zyns/img0654.jpg],4[zyns/img0025.jpg],4[zyns/img0343.jpg],4[zyns/img0661.jpg],4[zyns/img0718.jpg],4[zyns/img0242.jpg],4[zyns/img0414.jpg],4[zyns/img0036.jpg],5[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3ZV9H2YQQD8RDX2V669XW4CJMBPW3A,ASY5AZCZEM04L,Approved,"Wed May 04 09:50:33 PDT 2016","Wed May 04 09:51:58 PDT 2016",5[zyns/img0158.jpg],5[zyns/img0511.jpg],5[zyns/img0404.jpg],5[zyns/img0089.jpg],5[zyns/img0728.jpg],5[zyns/img0274.jpg],5[zyns/img0819.jpg],5[zyns/img0399.jpg],5[zyns/img0471.jpg],5[zyns/img0057.jpg],5[zyns/img0749.jpg],5[zyns/img0027.jpg],5[zyns/img0203.jpg],5[zyns/img0436.jpg],5[zyns/img0210.jpg],5[zyns/img0809.jpg],5[zyns/img0686.jpg],5[zyns/img0456.jpg],5[zyns/img0542.jpg],5[zyns/img0273.jpg],5[zyns/img0076.jpg],5[zyns/img0654.jpg],5[zyns/img0025.jpg],5[zyns/img0343.jpg],5[zyns/img0661.jpg],5[zyns/img0718.jpg],5[zyns/img0242.jpg],5[zyns/img0414.jpg],5[zyns/img0036.jpg],5[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3U5JL4WY5KARKTQPGPA28SIW9EZ4X6,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:02:45 PDT 2016","Wed May 04 14:04:13 PDT 2016",3[zyns/img0158.jpg],5[zyns/img0511.jpg],5[zyns/img0404.jpg],4[zyns/img0089.jpg],3[zyns/img0728.jpg],5[zyns/img0274.jpg],5[zyns/img0819.jpg],4[zyns/img0399.jpg],5[zyns/img0471.jpg],5[zyns/img0057.jpg],5[zyns/img0749.jpg],5[zyns/img0027.jpg],3[zyns/img0203.jpg],3[zyns/img0436.jpg],3[zyns/img0210.jpg],4[zyns/img0809.jpg],3[zyns/img0686.jpg],4[zyns/img0456.jpg],3[zyns/img0542.jpg],4[zyns/img0273.jpg],4[zyns/img0076.jpg],4[zyns/img0654.jpg],3[zyns/img0025.jpg],4[zyns/img0343.jpg],3[zyns/img0661.jpg],2[zyns/img0718.jpg],4[zyns/img0242.jpg],2[zyns/img0414.jpg],4[zyns/img0036.jpg],2[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3DUZQ9U6SMPIIPN56B52IA1H7L7SVF,A1205NZC8K3YCF,Approved,"Wed May 04 20:32:19 PDT 2016","Wed May 04 20:33:57 PDT 2016",1[zyns/img0158.jpg],5[zyns/img0511.jpg],3[zyns/img0404.jpg],1[zyns/img0089.jpg],2[zyns/img0728.jpg],4[zyns/img0274.jpg],4[zyns/img0819.jpg],2[zyns/img0399.jpg],1[zyns/img0471.jpg],2[zyns/img0057.jpg],2[zyns/img0749.jpg],1[zyns/img0027.jpg],1[zyns/img0203.jpg],2[zyns/img0436.jpg],1[zyns/img0210.jpg],1[zyns/img0809.jpg],2[zyns/img0686.jpg],3[zyns/img0456.jpg],1[zyns/img0542.jpg],1[zyns/img0273.jpg],3[zyns/img0076.jpg],2[zyns/img0654.jpg],1[zyns/img0025.jpg],1[zyns/img0343.jpg],3[zyns/img0661.jpg],1[zyns/img0718.jpg],3[zyns/img0242.jpg],1[zyns/img0414.jpg],2[zyns/img0036.jpg],1[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",3TEM0PF1Q5YWNZ376OMO2IPRCMM0D3,A3UC4JITM1QD1M,Approved,"Wed May 04 20:39:19 PDT 2016","Wed May 04 20:39:57 PDT 2016",5[zyns/img0158.jpg],5[zyns/img0511.jpg],5[zyns/img0404.jpg],5[zyns/img0089.jpg],5[zyns/img0728.jpg],5[zyns/img0274.jpg],5[zyns/img0819.jpg],5[zyns/img0399.jpg],5[zyns/img0471.jpg],5[zyns/img0057.jpg],5[zyns/img0749.jpg],5[zyns/img0027.jpg],5[zyns/img0203.jpg],5[zyns/img0436.jpg],5[zyns/img0210.jpg],5[zyns/img0809.jpg],5[zyns/img0686.jpg],5[zyns/img0456.jpg],5[zyns/img0542.jpg],5[zyns/img0273.jpg],5[zyns/img0076.jpg],5[zyns/img0654.jpg],5[zyns/img0025.jpg],5[zyns/img0343.jpg],5[zyns/img0661.jpg],5[zyns/img0718.jpg],5[zyns/img0242.jpg],5[zyns/img0414.jpg],5[zyns/img0036.jpg],5[zyns/img0017.jpg],
3LN50BUKPVCFM8XPAOU1CC2MISSLP2,"zyns_180-209","sample#command",32XVDSJFPZY6N3CYY4P54W50IY0M2T,A3HUZSAIO0O5H0,Approved,"Wed May 04 21:04:39 PDT 2016","Wed May 04 21:06:19 PDT 2016",1[zyns/img0158.jpg],2[zyns/img0511.jpg],3[zyns/img0404.jpg],3[zyns/img0089.jpg],4[zyns/img0728.jpg],5[zyns/img0274.jpg],4[zyns/img0819.jpg],1[zyns/img0399.jpg],1[zyns/img0471.jpg],5[zyns/img0057.jpg],5[zyns/img0749.jpg],2[zyns/img0027.jpg],3[zyns/img0203.jpg],4[zyns/img0436.jpg],1[zyns/img0210.jpg],4[zyns/img0809.jpg],4[zyns/img0686.jpg],3[zyns/img0456.jpg],3[zyns/img0542.jpg],2[zyns/img0273.jpg],3[zyns/img0076.jpg],3[zyns/img0654.jpg],2[zyns/img0025.jpg],2[zyns/img0343.jpg],4[zyns/img0661.jpg],4[zyns/img0718.jpg],4[zyns/img0242.jpg],2[zyns/img0414.jpg],4[zyns/img0036.jpg],2[zyns/img0017.jpg],
