HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3N8OEVH1FRR8UDMFYI2F3DX8E03OO2,A8B4AE3QMECV,Approved,"Wed May 04 08:42:09 PDT 2016","Wed May 04 08:44:30 PDT 2016",4[zyns/img0687.jpg],3[zyns/img0743.jpg],2[zyns/img0680.jpg],2[zyns/img0713.jpg],2[zyns/img0398.jpg],3[zyns/img0077.jpg],2[zyns/img0382.jpg],4[zyns/img0172.jpg],3[zyns/img0201.jpg],1[zyns/img0118.jpg],2[zyns/img0723.jpg],3[zyns/img0098.jpg],2[zyns/img0169.jpg],2[zyns/img0707.jpg],1[zyns/img0768.jpg],1[zyns/img0186.jpg],2[zyns/img0840.jpg],2[zyns/img0613.jpg],2[zyns/img0481.jpg],2[zyns/img0070.jpg],3[zyns/img0405.jpg],2[zyns/img0115.jpg],1[zyns/img0826.jpg],1[zyns/img0229.jpg],1[zyns/img0558.jpg],1[zyns/img0373.jpg],1[zyns/img0560.jpg],1[zyns/img0173.jpg],2[zyns/img0427.jpg],2[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3VZLGYJEYLB7NQEE1I0S2OV5A8GZXP,AWQDOOSNH42QM,Approved,"Wed May 04 08:52:30 PDT 2016","Wed May 04 08:54:01 PDT 2016",5[zyns/img0687.jpg],5[zyns/img0743.jpg],5[zyns/img0680.jpg],5[zyns/img0713.jpg],5[zyns/img0398.jpg],4[zyns/img0077.jpg],5[zyns/img0382.jpg],4[zyns/img0172.jpg],5[zyns/img0201.jpg],5[zyns/img0118.jpg],5[zyns/img0723.jpg],5[zyns/img0098.jpg],5[zyns/img0169.jpg],5[zyns/img0707.jpg],5[zyns/img0768.jpg],1[zyns/img0186.jpg],5[zyns/img0840.jpg],5[zyns/img0613.jpg],5[zyns/img0481.jpg],5[zyns/img0070.jpg],5[zyns/img0405.jpg],5[zyns/img0115.jpg],5[zyns/img0826.jpg],5[zyns/img0229.jpg],5[zyns/img0558.jpg],5[zyns/img0373.jpg],2[zyns/img0560.jpg],5[zyns/img0173.jpg],5[zyns/img0427.jpg],5[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",336YQZE83VFYM0VLGNR3238C25Y5ME,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:11 PDT 2016","Wed May 04 09:19:26 PDT 2016",3[zyns/img0687.jpg],4[zyns/img0743.jpg],4[zyns/img0680.jpg],4[zyns/img0713.jpg],4[zyns/img0398.jpg],4[zyns/img0077.jpg],5[zyns/img0382.jpg],4[zyns/img0172.jpg],4[zyns/img0201.jpg],4[zyns/img0118.jpg],4[zyns/img0723.jpg],4[zyns/img0098.jpg],4[zyns/img0169.jpg],4[zyns/img0707.jpg],5[zyns/img0768.jpg],4[zyns/img0186.jpg],4[zyns/img0840.jpg],3[zyns/img0613.jpg],5[zyns/img0481.jpg],3[zyns/img0070.jpg],3[zyns/img0405.jpg],3[zyns/img0115.jpg],5[zyns/img0826.jpg],4[zyns/img0229.jpg],4[zyns/img0558.jpg],4[zyns/img0373.jpg],3[zyns/img0560.jpg],5[zyns/img0173.jpg],4[zyns/img0427.jpg],4[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3U5NZHP4LR3GNWCT95K4845XCJ1HP4,A39BR7NYRDWC01,Approved,"Wed May 04 09:32:29 PDT 2016","Wed May 04 09:33:38 PDT 2016",5[zyns/img0687.jpg],3[zyns/img0743.jpg],5[zyns/img0680.jpg],5[zyns/img0713.jpg],4[zyns/img0398.jpg],5[zyns/img0077.jpg],5[zyns/img0382.jpg],4[zyns/img0172.jpg],4[zyns/img0201.jpg],5[zyns/img0118.jpg],5[zyns/img0723.jpg],4[zyns/img0098.jpg],5[zyns/img0169.jpg],5[zyns/img0707.jpg],4[zyns/img0768.jpg],3[zyns/img0186.jpg],4[zyns/img0840.jpg],5[zyns/img0613.jpg],5[zyns/img0481.jpg],5[zyns/img0070.jpg],4[zyns/img0405.jpg],5[zyns/img0115.jpg],5[zyns/img0826.jpg],5[zyns/img0229.jpg],4[zyns/img0558.jpg],4[zyns/img0373.jpg],4[zyns/img0560.jpg],3[zyns/img0173.jpg],4[zyns/img0427.jpg],5[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3HPZF4IVNMUJF2TEE02MA41T3W1YC8,ASY5AZCZEM04L,Approved,"Wed May 04 09:47:36 PDT 2016","Wed May 04 09:48:59 PDT 2016",5[zyns/img0687.jpg],5[zyns/img0743.jpg],5[zyns/img0680.jpg],5[zyns/img0713.jpg],5[zyns/img0398.jpg],5[zyns/img0077.jpg],5[zyns/img0382.jpg],5[zyns/img0172.jpg],5[zyns/img0201.jpg],5[zyns/img0118.jpg],5[zyns/img0723.jpg],5[zyns/img0098.jpg],5[zyns/img0169.jpg],5[zyns/img0707.jpg],5[zyns/img0768.jpg],5[zyns/img0186.jpg],5[zyns/img0840.jpg],5[zyns/img0613.jpg],5[zyns/img0481.jpg],5[zyns/img0070.jpg],5[zyns/img0405.jpg],5[zyns/img0115.jpg],5[zyns/img0826.jpg],5[zyns/img0229.jpg],5[zyns/img0558.jpg],4[zyns/img0373.jpg],5[zyns/img0560.jpg],5[zyns/img0173.jpg],5[zyns/img0427.jpg],5[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3ZPBJO59KP27YZ934WT98AO8Y19HD3,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:13:23 PDT 2016","Wed May 04 14:14:52 PDT 2016",4[zyns/img0687.jpg],1[zyns/img0743.jpg],2[zyns/img0680.jpg],1[zyns/img0713.jpg],2[zyns/img0398.jpg],1[zyns/img0077.jpg],1[zyns/img0382.jpg],4[zyns/img0172.jpg],3[zyns/img0201.jpg],2[zyns/img0118.jpg],4[zyns/img0723.jpg],3[zyns/img0098.jpg],3[zyns/img0169.jpg],2[zyns/img0707.jpg],3[zyns/img0768.jpg],1[zyns/img0186.jpg],5[zyns/img0840.jpg],4[zyns/img0613.jpg],2[zyns/img0481.jpg],2[zyns/img0070.jpg],2[zyns/img0405.jpg],1[zyns/img0115.jpg],3[zyns/img0826.jpg],3[zyns/img0229.jpg],2[zyns/img0558.jpg],1[zyns/img0373.jpg],2[zyns/img0560.jpg],2[zyns/img0173.jpg],3[zyns/img0427.jpg],3[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",33LK57MYLT6ZR9SF78U53GEDVV7ZSE,A3U56B8YM2WHIM,Approved,"Wed May 04 19:41:04 PDT 2016","Wed May 04 19:47:41 PDT 2016",5[zyns/img0687.jpg],2[zyns/img0743.jpg],3[zyns/img0680.jpg],3[zyns/img0713.jpg],2[zyns/img0398.jpg],5[zyns/img0077.jpg],4[zyns/img0382.jpg],5[zyns/img0172.jpg],5[zyns/img0201.jpg],1[zyns/img0118.jpg],5[zyns/img0723.jpg],4[zyns/img0098.jpg],4[zyns/img0169.jpg],4[zyns/img0707.jpg],2[zyns/img0768.jpg],1[zyns/img0186.jpg],5[zyns/img0840.jpg],4[zyns/img0613.jpg],4[zyns/img0481.jpg],4[zyns/img0070.jpg],3[zyns/img0405.jpg],4[zyns/img0115.jpg],4[zyns/img0826.jpg],2[zyns/img0229.jpg],1[zyns/img0558.jpg],1[zyns/img0373.jpg],5[zyns/img0560.jpg],1[zyns/img0173.jpg],5[zyns/img0427.jpg],4[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3V0Z7YWSIY1PDQ67CWQWRSOD9R6V2D,A39J5RLVDTM6SM,Approved,"Wed May 04 20:12:21 PDT 2016","Wed May 04 20:15:39 PDT 2016",4[zyns/img0687.jpg],4[zyns/img0743.jpg],4[zyns/img0680.jpg],2[zyns/img0713.jpg],4[zyns/img0398.jpg],5[zyns/img0077.jpg],5[zyns/img0382.jpg],5[zyns/img0172.jpg],4[zyns/img0201.jpg],4[zyns/img0118.jpg],5[zyns/img0723.jpg],5[zyns/img0098.jpg],5[zyns/img0169.jpg],4[zyns/img0707.jpg],4[zyns/img0768.jpg],2[zyns/img0186.jpg],4[zyns/img0840.jpg],4[zyns/img0613.jpg],4[zyns/img0481.jpg],4[zyns/img0070.jpg],4[zyns/img0405.jpg],4[zyns/img0115.jpg],5[zyns/img0826.jpg],4[zyns/img0229.jpg],3[zyns/img0558.jpg],4[zyns/img0373.jpg],2[zyns/img0560.jpg],2[zyns/img0173.jpg],4[zyns/img0427.jpg],4[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3HQUKB7LNFFOAFE5QSCZZV36QVGHHU,A3UC4JITM1QD1M,Approved,"Wed May 04 20:41:08 PDT 2016","Wed May 04 20:42:46 PDT 2016",5[zyns/img0687.jpg],5[zyns/img0743.jpg],5[zyns/img0680.jpg],5[zyns/img0713.jpg],5[zyns/img0398.jpg],5[zyns/img0077.jpg],5[zyns/img0382.jpg],5[zyns/img0172.jpg],5[zyns/img0201.jpg],5[zyns/img0118.jpg],5[zyns/img0723.jpg],5[zyns/img0098.jpg],5[zyns/img0169.jpg],5[zyns/img0707.jpg],5[zyns/img0768.jpg],5[zyns/img0186.jpg],5[zyns/img0840.jpg],5[zyns/img0613.jpg],5[zyns/img0481.jpg],5[zyns/img0070.jpg],5[zyns/img0405.jpg],5[zyns/img0115.jpg],5[zyns/img0826.jpg],5[zyns/img0229.jpg],5[zyns/img0558.jpg],5[zyns/img0373.jpg],5[zyns/img0560.jpg],5[zyns/img0173.jpg],5[zyns/img0427.jpg],5[zyns/img0741.jpg],
3R15W654VDU0MKY4A19QCHSWNOELQT,"zyns_60-89","sample#command",3PJ71Z61R43KRYB8QRLMURPBQTM19Z,A1ESKJFDQUMBL4,Approved,"Wed May 04 22:21:22 PDT 2016","Wed May 04 22:24:44 PDT 2016",5[zyns/img0687.jpg],3[zyns/img0743.jpg],4[zyns/img0680.jpg],3[zyns/img0713.jpg],5[zyns/img0398.jpg],2[zyns/img0077.jpg],4[zyns/img0382.jpg],2[zyns/img0172.jpg],4[zyns/img0201.jpg],3[zyns/img0118.jpg],3[zyns/img0723.jpg],3[zyns/img0098.jpg],3[zyns/img0169.jpg],3[zyns/img0707.jpg],3[zyns/img0768.jpg],2[zyns/img0186.jpg],2[zyns/img0840.jpg],2[zyns/img0613.jpg],3[zyns/img0481.jpg],3[zyns/img0070.jpg],3[zyns/img0405.jpg],2[zyns/img0115.jpg],2[zyns/img0826.jpg],2[zyns/img0229.jpg],2[zyns/img0558.jpg],2[zyns/img0373.jpg],1[zyns/img0560.jpg],2[zyns/img0173.jpg],4[zyns/img0427.jpg],4[zyns/img0741.jpg],
