HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",358010RM5EUQE6940LBPHII9MWXXV8,A1I7ACFIU8U11J,Approved,"Wed May 04 08:19:45 PDT 2016","Wed May 04 08:22:37 PDT 2016",2[zyns/img0140.jpg],3[zyns/img0302.jpg],3[zyns/img0271.jpg],2[zyns/img0313.jpg],3[zyns/img0190.jpg],4[zyns/img0763.jpg],2[zyns/img0247.jpg],4[zyns/img0394.jpg],1[zyns/img0135.jpg],3[zyns/img0191.jpg],3[zyns/img0386.jpg],2[zyns/img0052.jpg],4[zyns/img0667.jpg],5[zyns/img0439.jpg],4[zyns/img0536.jpg],4[zyns/img0844.jpg],4[zyns/img0663.jpg],3[zyns/img0361.jpg],2[zyns/img0551.jpg],4[zyns/img0069.jpg],3[zyns/img0307.jpg],2[zyns/img0379.jpg],2[zyns/img0409.jpg],3[zyns/img0470.jpg],3[zyns/img0083.jpg],3[zyns/img0423.jpg],2[zyns/img0339.jpg],2[zyns/img0666.jpg],3[zyns/img0387.jpg],2[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3I0BTBYZAXMZLAYY2K92F3ZSU6E0YP,A3PIDY15ODYS8,Approved,"Wed May 04 08:18:39 PDT 2016","Wed May 04 08:22:39 PDT 2016",3[zyns/img0140.jpg],4[zyns/img0302.jpg],4[zyns/img0271.jpg],4[zyns/img0313.jpg],4[zyns/img0190.jpg],5[zyns/img0763.jpg],3[zyns/img0247.jpg],2[zyns/img0394.jpg],1[zyns/img0135.jpg],3[zyns/img0191.jpg],4[zyns/img0386.jpg],4[zyns/img0052.jpg],4[zyns/img0667.jpg],5[zyns/img0439.jpg],4[zyns/img0536.jpg],5[zyns/img0844.jpg],4[zyns/img0663.jpg],4[zyns/img0361.jpg],5[zyns/img0551.jpg],5[zyns/img0069.jpg],4[zyns/img0307.jpg],4[zyns/img0379.jpg],5[zyns/img0409.jpg],5[zyns/img0470.jpg],4[zyns/img0083.jpg],3[zyns/img0423.jpg],2[zyns/img0339.jpg],3[zyns/img0666.jpg],5[zyns/img0387.jpg],2[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3YMTUJH0DSHK3CH5BF95JPXQWGIT4F,AWXYHPUKSITQI,Approved,"Wed May 04 08:36:38 PDT 2016","Wed May 04 08:38:06 PDT 2016",2[zyns/img0140.jpg],5[zyns/img0302.jpg],5[zyns/img0271.jpg],5[zyns/img0313.jpg],5[zyns/img0190.jpg],5[zyns/img0763.jpg],5[zyns/img0247.jpg],3[zyns/img0394.jpg],1[zyns/img0135.jpg],4[zyns/img0191.jpg],5[zyns/img0386.jpg],5[zyns/img0052.jpg],2[zyns/img0667.jpg],5[zyns/img0439.jpg],3[zyns/img0536.jpg],4[zyns/img0844.jpg],2[zyns/img0663.jpg],4[zyns/img0361.jpg],3[zyns/img0551.jpg],4[zyns/img0069.jpg],3[zyns/img0307.jpg],3[zyns/img0379.jpg],5[zyns/img0409.jpg],5[zyns/img0470.jpg],4[zyns/img0083.jpg],5[zyns/img0423.jpg],4[zyns/img0339.jpg],4[zyns/img0666.jpg],5[zyns/img0387.jpg],3[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3LRKMWOKB5I6MABHDTFZCY19XZBZ2A,AWQDOOSNH42QM,Approved,"Wed May 04 08:44:28 PDT 2016","Wed May 04 08:46:05 PDT 2016",3[zyns/img0140.jpg],4[zyns/img0302.jpg],5[zyns/img0271.jpg],4[zyns/img0313.jpg],5[zyns/img0190.jpg],5[zyns/img0763.jpg],5[zyns/img0247.jpg],5[zyns/img0394.jpg],5[zyns/img0135.jpg],5[zyns/img0191.jpg],5[zyns/img0386.jpg],5[zyns/img0052.jpg],5[zyns/img0667.jpg],5[zyns/img0439.jpg],5[zyns/img0536.jpg],5[zyns/img0844.jpg],5[zyns/img0663.jpg],3[zyns/img0361.jpg],4[zyns/img0551.jpg],5[zyns/img0069.jpg],4[zyns/img0307.jpg],5[zyns/img0379.jpg],5[zyns/img0409.jpg],5[zyns/img0470.jpg],5[zyns/img0083.jpg],4[zyns/img0423.jpg],5[zyns/img0339.jpg],5[zyns/img0666.jpg],5[zyns/img0387.jpg],5[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",33ISQZVXPPN6CZS9I8KXDD9A08FCCA,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:07 PDT 2016","Wed May 04 09:17:55 PDT 2016",3[zyns/img0140.jpg],4[zyns/img0302.jpg],4[zyns/img0271.jpg],4[zyns/img0313.jpg],4[zyns/img0190.jpg],5[zyns/img0763.jpg],4[zyns/img0247.jpg],4[zyns/img0394.jpg],4[zyns/img0135.jpg],4[zyns/img0191.jpg],4[zyns/img0386.jpg],4[zyns/img0052.jpg],4[zyns/img0667.jpg],4[zyns/img0439.jpg],4[zyns/img0536.jpg],4[zyns/img0844.jpg],5[zyns/img0663.jpg],4[zyns/img0361.jpg],4[zyns/img0551.jpg],4[zyns/img0069.jpg],4[zyns/img0307.jpg],4[zyns/img0379.jpg],4[zyns/img0409.jpg],4[zyns/img0470.jpg],4[zyns/img0083.jpg],4[zyns/img0423.jpg],3[zyns/img0339.jpg],5[zyns/img0666.jpg],3[zyns/img0387.jpg],4[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3N8OEVH1FRR8UDMFYI2F3DX8E0IOOH,A39BR7NYRDWC01,Approved,"Wed May 04 09:17:09 PDT 2016","Wed May 04 09:18:39 PDT 2016",3[zyns/img0140.jpg],5[zyns/img0302.jpg],5[zyns/img0271.jpg],5[zyns/img0313.jpg],4[zyns/img0190.jpg],5[zyns/img0763.jpg],5[zyns/img0247.jpg],5[zyns/img0394.jpg],4[zyns/img0135.jpg],5[zyns/img0191.jpg],4[zyns/img0386.jpg],4[zyns/img0052.jpg],4[zyns/img0667.jpg],4[zyns/img0439.jpg],5[zyns/img0536.jpg],5[zyns/img0844.jpg],4[zyns/img0663.jpg],4[zyns/img0361.jpg],4[zyns/img0551.jpg],4[zyns/img0069.jpg],4[zyns/img0307.jpg],4[zyns/img0379.jpg],5[zyns/img0409.jpg],5[zyns/img0470.jpg],5[zyns/img0083.jpg],4[zyns/img0423.jpg],4[zyns/img0339.jpg],4[zyns/img0666.jpg],4[zyns/img0387.jpg],4[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3B837J3LDOXQPI6OXR0SHDCEMC9RSU,ASY5AZCZEM04L,Approved,"Wed May 04 09:47:29 PDT 2016","Wed May 04 09:47:53 PDT 2016",5[zyns/img0140.jpg],5[zyns/img0302.jpg],5[zyns/img0271.jpg],5[zyns/img0313.jpg],5[zyns/img0190.jpg],5[zyns/img0763.jpg],5[zyns/img0247.jpg],5[zyns/img0394.jpg],5[zyns/img0135.jpg],5[zyns/img0191.jpg],5[zyns/img0386.jpg],5[zyns/img0052.jpg],5[zyns/img0667.jpg],5[zyns/img0439.jpg],5[zyns/img0536.jpg],5[zyns/img0844.jpg],5[zyns/img0663.jpg],5[zyns/img0361.jpg],5[zyns/img0551.jpg],5[zyns/img0069.jpg],5[zyns/img0307.jpg],5[zyns/img0379.jpg],5[zyns/img0409.jpg],5[zyns/img0470.jpg],5[zyns/img0083.jpg],5[zyns/img0423.jpg],5[zyns/img0339.jpg],5[zyns/img0666.jpg],5[zyns/img0387.jpg],5[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3EWIJTFFVO81F5H72JX8807CCW8E0R,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:08:20 PDT 2016","Wed May 04 14:09:57 PDT 2016",4[zyns/img0140.jpg],4[zyns/img0302.jpg],5[zyns/img0271.jpg],5[zyns/img0313.jpg],3[zyns/img0190.jpg],3[zyns/img0763.jpg],5[zyns/img0247.jpg],4[zyns/img0394.jpg],1[zyns/img0135.jpg],2[zyns/img0191.jpg],4[zyns/img0386.jpg],3[zyns/img0052.jpg],2[zyns/img0667.jpg],4[zyns/img0439.jpg],2[zyns/img0536.jpg],3[zyns/img0844.jpg],3[zyns/img0663.jpg],1[zyns/img0361.jpg],2[zyns/img0551.jpg],2[zyns/img0069.jpg],1[zyns/img0307.jpg],5[zyns/img0379.jpg],5[zyns/img0409.jpg],5[zyns/img0470.jpg],3[zyns/img0083.jpg],3[zyns/img0423.jpg],4[zyns/img0339.jpg],5[zyns/img0666.jpg],5[zyns/img0387.jpg],2[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3U4J9857OECHQD57DRGRM7BEHEI7B3,AHJ76XWEEW60G,Approved,"Wed May 04 16:07:11 PDT 2016","Wed May 04 16:08:22 PDT 2016",1[zyns/img0140.jpg],4[zyns/img0302.jpg],4[zyns/img0271.jpg],5[zyns/img0313.jpg],5[zyns/img0190.jpg],5[zyns/img0763.jpg],4[zyns/img0247.jpg],2[zyns/img0394.jpg],2[zyns/img0135.jpg],5[zyns/img0191.jpg],4[zyns/img0386.jpg],4[zyns/img0052.jpg],5[zyns/img0667.jpg],5[zyns/img0439.jpg],5[zyns/img0536.jpg],4[zyns/img0844.jpg],4[zyns/img0663.jpg],4[zyns/img0361.jpg],4[zyns/img0551.jpg],4[zyns/img0069.jpg],4[zyns/img0307.jpg],4[zyns/img0379.jpg],4[zyns/img0409.jpg],4[zyns/img0470.jpg],4[zyns/img0083.jpg],4[zyns/img0423.jpg],4[zyns/img0339.jpg],4[zyns/img0666.jpg],4[zyns/img0387.jpg],5[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3WRFBPLXRAP1Q3THE5IA0LZST1FN38,A3V5JPP3LGW0CO,Approved,"Wed May 04 16:43:16 PDT 2016","Wed May 04 16:47:12 PDT 2016",2[zyns/img0140.jpg],4[zyns/img0302.jpg],4[zyns/img0271.jpg],3[zyns/img0313.jpg],3[zyns/img0190.jpg],4[zyns/img0763.jpg],2[zyns/img0247.jpg],2[zyns/img0394.jpg],3[zyns/img0135.jpg],4[zyns/img0191.jpg],4[zyns/img0386.jpg],3[zyns/img0052.jpg],1[zyns/img0667.jpg],4[zyns/img0439.jpg],3[zyns/img0536.jpg],4[zyns/img0844.jpg],4[zyns/img0663.jpg],4[zyns/img0361.jpg],4[zyns/img0551.jpg],4[zyns/img0069.jpg],3[zyns/img0307.jpg],3[zyns/img0379.jpg],4[zyns/img0409.jpg],3[zyns/img0470.jpg],4[zyns/img0083.jpg],3[zyns/img0423.jpg],3[zyns/img0339.jpg],4[zyns/img0666.jpg],4[zyns/img0387.jpg],2[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3KJYX6QCM9CPJM4FJHWOQ9AUB2VVJ3,A3UC4JITM1QD1M,Approved,"Wed May 04 20:42:24 PDT 2016","Wed May 04 20:43:42 PDT 2016",5[zyns/img0140.jpg],5[zyns/img0302.jpg],5[zyns/img0271.jpg],5[zyns/img0313.jpg],5[zyns/img0190.jpg],5[zyns/img0763.jpg],5[zyns/img0247.jpg],5[zyns/img0394.jpg],5[zyns/img0135.jpg],5[zyns/img0191.jpg],5[zyns/img0386.jpg],5[zyns/img0052.jpg],5[zyns/img0667.jpg],5[zyns/img0439.jpg],5[zyns/img0536.jpg],5[zyns/img0844.jpg],5[zyns/img0663.jpg],5[zyns/img0361.jpg],5[zyns/img0551.jpg],5[zyns/img0069.jpg],5[zyns/img0307.jpg],5[zyns/img0379.jpg],5[zyns/img0409.jpg],5[zyns/img0470.jpg],5[zyns/img0083.jpg],5[zyns/img0423.jpg],5[zyns/img0339.jpg],5[zyns/img0666.jpg],5[zyns/img0387.jpg],5[zyns/img0355.jpg],
3UUIU9GZC56ZCBNBZINE0X7ML5D5T3,"zyns_240-269","sample#command",3U088ZLJVKUVW53YNJREU6ECJ2S0WC,A2RNUSNE06MZFD,Approved,"Wed May 04 20:42:04 PDT 2016","Wed May 04 20:43:50 PDT 2016",3[zyns/img0140.jpg],5[zyns/img0302.jpg],3[zyns/img0271.jpg],3[zyns/img0313.jpg],5[zyns/img0190.jpg],4[zyns/img0763.jpg],2[zyns/img0247.jpg],5[zyns/img0394.jpg],1[zyns/img0135.jpg],2[zyns/img0191.jpg],3[zyns/img0386.jpg],2[zyns/img0052.jpg],2[zyns/img0667.jpg],4[zyns/img0439.jpg],1[zyns/img0536.jpg],2[zyns/img0844.jpg],3[zyns/img0663.jpg],4[zyns/img0361.jpg],2[zyns/img0551.jpg],2[zyns/img0069.jpg],2[zyns/img0307.jpg],2[zyns/img0379.jpg],4[zyns/img0409.jpg],3[zyns/img0470.jpg],3[zyns/img0083.jpg],3[zyns/img0423.jpg],3[zyns/img0339.jpg],2[zyns/img0666.jpg],2[zyns/img0387.jpg],2[zyns/img0355.jpg],
