HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3OONKJ5DKCKOBJX6UDXTXTX971UOB8,AWQDOOSNH42QM,Approved,"Wed May 04 09:00:08 PDT 2016","Wed May 04 09:01:40 PDT 2016",4[zyns/img0818.jpg],5[zyns/img0412.jpg],3[zyns/img0102.jpg],5[zyns/img0350.jpg],5[zyns/img0837.jpg],5[zyns/img0040.jpg],5[zyns/img0789.jpg],5[zyns/img0220.jpg],5[zyns/img0317.jpg],5[zyns/img0777.jpg],5[zyns/img0058.jpg],5[zyns/img0823.jpg],4[zyns/img0406.jpg],5[zyns/img0097.jpg],5[zyns/img0726.jpg],5[zyns/img0523.jpg],5[zyns/img0321.jpg],4[zyns/img0769.jpg],5[zyns/img0518.jpg],5[zyns/img0014.jpg],5[zyns/img0091.jpg],5[zyns/img0316.jpg],5[zyns/img0845.jpg],5[zyns/img0757.jpg],5[zyns/img0553.jpg],5[zyns/img0328.jpg],5[zyns/img0721.jpg],5[zyns/img0223.jpg],5[zyns/img0188.jpg],5[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",32ZKVD547FOZPU4KBFD19QZYCA33BX,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:18 PDT 2016","Wed May 04 09:22:18 PDT 2016",3[zyns/img0818.jpg],3[zyns/img0412.jpg],5[zyns/img0102.jpg],4[zyns/img0350.jpg],4[zyns/img0837.jpg],4[zyns/img0040.jpg],4[zyns/img0789.jpg],4[zyns/img0220.jpg],4[zyns/img0317.jpg],4[zyns/img0777.jpg],5[zyns/img0058.jpg],5[zyns/img0823.jpg],4[zyns/img0406.jpg],4[zyns/img0097.jpg],5[zyns/img0726.jpg],3[zyns/img0523.jpg],4[zyns/img0321.jpg],4[zyns/img0769.jpg],4[zyns/img0518.jpg],4[zyns/img0014.jpg],4[zyns/img0091.jpg],4[zyns/img0316.jpg],4[zyns/img0845.jpg],4[zyns/img0757.jpg],3[zyns/img0553.jpg],5[zyns/img0328.jpg],5[zyns/img0721.jpg],4[zyns/img0223.jpg],5[zyns/img0188.jpg],3[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3Q5C1WP23M21QB9WN185IBK94U4153,A39BR7NYRDWC01,Approved,"Wed May 04 09:27:05 PDT 2016","Wed May 04 09:28:08 PDT 2016",4[zyns/img0818.jpg],5[zyns/img0412.jpg],3[zyns/img0102.jpg],4[zyns/img0350.jpg],5[zyns/img0837.jpg],4[zyns/img0040.jpg],5[zyns/img0789.jpg],5[zyns/img0220.jpg],3[zyns/img0317.jpg],5[zyns/img0777.jpg],5[zyns/img0058.jpg],4[zyns/img0823.jpg],5[zyns/img0406.jpg],3[zyns/img0097.jpg],4[zyns/img0726.jpg],5[zyns/img0523.jpg],5[zyns/img0321.jpg],4[zyns/img0769.jpg],3[zyns/img0518.jpg],4[zyns/img0014.jpg],3[zyns/img0091.jpg],4[zyns/img0316.jpg],4[zyns/img0845.jpg],4[zyns/img0757.jpg],4[zyns/img0553.jpg],4[zyns/img0328.jpg],4[zyns/img0721.jpg],4[zyns/img0223.jpg],4[zyns/img0188.jpg],4[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3R0T90IZ1SDJTB8EKUGG34UPY0DGCU,ASY5AZCZEM04L,Approved,"Wed May 04 09:50:32 PDT 2016","Wed May 04 09:51:36 PDT 2016",5[zyns/img0818.jpg],5[zyns/img0412.jpg],5[zyns/img0102.jpg],5[zyns/img0350.jpg],5[zyns/img0837.jpg],5[zyns/img0040.jpg],5[zyns/img0789.jpg],5[zyns/img0220.jpg],5[zyns/img0317.jpg],5[zyns/img0777.jpg],5[zyns/img0058.jpg],5[zyns/img0823.jpg],5[zyns/img0406.jpg],5[zyns/img0097.jpg],5[zyns/img0726.jpg],5[zyns/img0523.jpg],5[zyns/img0321.jpg],5[zyns/img0769.jpg],5[zyns/img0518.jpg],5[zyns/img0014.jpg],5[zyns/img0091.jpg],5[zyns/img0316.jpg],5[zyns/img0845.jpg],5[zyns/img0757.jpg],5[zyns/img0553.jpg],5[zyns/img0328.jpg],5[zyns/img0721.jpg],5[zyns/img0223.jpg],5[zyns/img0188.jpg],5[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3AMW0RGHOD38XSY4C3FHDO2TYWJPNW,A3PSIT0A7OU2FL,Approved,"Wed May 04 13:58:50 PDT 2016","Wed May 04 14:00:19 PDT 2016",4[zyns/img0818.jpg],3[zyns/img0412.jpg],5[zyns/img0102.jpg],4[zyns/img0350.jpg],4[zyns/img0837.jpg],2[zyns/img0040.jpg],2[zyns/img0789.jpg],3[zyns/img0220.jpg],5[zyns/img0317.jpg],5[zyns/img0777.jpg],5[zyns/img0058.jpg],3[zyns/img0823.jpg],5[zyns/img0406.jpg],4[zyns/img0097.jpg],3[zyns/img0726.jpg],5[zyns/img0523.jpg],4[zyns/img0321.jpg],2[zyns/img0769.jpg],2[zyns/img0518.jpg],5[zyns/img0014.jpg],5[zyns/img0091.jpg],3[zyns/img0316.jpg],3[zyns/img0845.jpg],4[zyns/img0757.jpg],3[zyns/img0553.jpg],2[zyns/img0328.jpg],1[zyns/img0721.jpg],5[zyns/img0223.jpg],4[zyns/img0188.jpg],3[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",35GMH2SV3EIMIM9Q44ZJY13UA12EOZ,A3UC4JITM1QD1M,Approved,"Wed May 04 20:39:45 PDT 2016","Wed May 04 20:40:16 PDT 2016",5[zyns/img0818.jpg],5[zyns/img0412.jpg],5[zyns/img0102.jpg],5[zyns/img0350.jpg],5[zyns/img0837.jpg],5[zyns/img0040.jpg],5[zyns/img0789.jpg],5[zyns/img0220.jpg],5[zyns/img0317.jpg],5[zyns/img0777.jpg],5[zyns/img0058.jpg],5[zyns/img0823.jpg],5[zyns/img0406.jpg],5[zyns/img0097.jpg],5[zyns/img0726.jpg],5[zyns/img0523.jpg],5[zyns/img0321.jpg],5[zyns/img0769.jpg],5[zyns/img0518.jpg],5[zyns/img0014.jpg],5[zyns/img0091.jpg],5[zyns/img0316.jpg],5[zyns/img0845.jpg],5[zyns/img0757.jpg],5[zyns/img0553.jpg],5[zyns/img0328.jpg],5[zyns/img0721.jpg],5[zyns/img0223.jpg],5[zyns/img0188.jpg],5[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3V5Q80FXIXS51H4OSMKQ8XWUI7R231,AABZBL0JNLG0X,Approved,"Wed May 04 22:41:01 PDT 2016","Wed May 04 22:44:26 PDT 2016",5[zyns/img0818.jpg],5[zyns/img0412.jpg],5[zyns/img0102.jpg],5[zyns/img0350.jpg],1[zyns/img0837.jpg],5[zyns/img0040.jpg],2[zyns/img0789.jpg],3[zyns/img0220.jpg],5[zyns/img0317.jpg],5[zyns/img0777.jpg],5[zyns/img0058.jpg],1[zyns/img0823.jpg],2[zyns/img0406.jpg],4[zyns/img0097.jpg],2[zyns/img0726.jpg],5[zyns/img0523.jpg],5[zyns/img0321.jpg],5[zyns/img0769.jpg],5[zyns/img0518.jpg],5[zyns/img0014.jpg],5[zyns/img0091.jpg],5[zyns/img0316.jpg],3[zyns/img0845.jpg],5[zyns/img0757.jpg],1[zyns/img0553.jpg],4[zyns/img0328.jpg],5[zyns/img0721.jpg],5[zyns/img0223.jpg],5[zyns/img0188.jpg],3[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3UJ1CZ6IZHQ1KV8Q0KNPEC7IUXTS5W,AK7P0F2TL5WYG,Approved,"Thu May 05 03:54:54 PDT 2016","Thu May 05 03:57:44 PDT 2016",2[zyns/img0818.jpg],3[zyns/img0412.jpg],3[zyns/img0102.jpg],3[zyns/img0350.jpg],4[zyns/img0837.jpg],5[zyns/img0040.jpg],5[zyns/img0789.jpg],3[zyns/img0220.jpg],4[zyns/img0317.jpg],5[zyns/img0777.jpg],4[zyns/img0058.jpg],3[zyns/img0823.jpg],2[zyns/img0406.jpg],3[zyns/img0097.jpg],2[zyns/img0726.jpg],3[zyns/img0523.jpg],4[zyns/img0321.jpg],2[zyns/img0769.jpg],2[zyns/img0518.jpg],2[zyns/img0014.jpg],4[zyns/img0091.jpg],2[zyns/img0316.jpg],2[zyns/img0845.jpg],4[zyns/img0757.jpg],3[zyns/img0553.jpg],2[zyns/img0328.jpg],4[zyns/img0721.jpg],4[zyns/img0223.jpg],4[zyns/img0188.jpg],5[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3ZV9H2YQQD8RDX2V669XW4CJMFQ3WQ,A1XC5OV00MECKQ,Approved,"Thu May 05 09:51:41 PDT 2016","Thu May 05 09:53:32 PDT 2016",4[zyns/img0818.jpg],5[zyns/img0412.jpg],5[zyns/img0102.jpg],5[zyns/img0350.jpg],5[zyns/img0837.jpg],4[zyns/img0040.jpg],5[zyns/img0789.jpg],5[zyns/img0220.jpg],5[zyns/img0317.jpg],5[zyns/img0777.jpg],5[zyns/img0058.jpg],2[zyns/img0823.jpg],2[zyns/img0406.jpg],4[zyns/img0097.jpg],5[zyns/img0726.jpg],5[zyns/img0523.jpg],5[zyns/img0321.jpg],4[zyns/img0769.jpg],4[zyns/img0518.jpg],4[zyns/img0014.jpg],5[zyns/img0091.jpg],4[zyns/img0316.jpg],4[zyns/img0845.jpg],4[zyns/img0757.jpg],4[zyns/img0553.jpg],4[zyns/img0328.jpg],4[zyns/img0721.jpg],4[zyns/img0223.jpg],4[zyns/img0188.jpg],4[zyns/img0843.jpg],
3VJ4PFXFJ38BIUEHUJ45D49AWXLAU5,"zyns_300-329","sample#command",3YDTZAI2WXHJUS5W9WPVDJEV42M41M,A33K6VSQLIKFG,Approved,"Thu May 05 11:31:56 PDT 2016","Thu May 05 11:34:49 PDT 2016",3[zyns/img0818.jpg],4[zyns/img0412.jpg],4[zyns/img0102.jpg],2[zyns/img0350.jpg],4[zyns/img0837.jpg],5[zyns/img0040.jpg],4[zyns/img0789.jpg],3[zyns/img0220.jpg],3[zyns/img0317.jpg],3[zyns/img0777.jpg],3[zyns/img0058.jpg],3[zyns/img0823.jpg],3[zyns/img0406.jpg],3[zyns/img0097.jpg],3[zyns/img0726.jpg],4[zyns/img0523.jpg],4[zyns/img0321.jpg],2[zyns/img0769.jpg],3[zyns/img0518.jpg],4[zyns/img0014.jpg],4[zyns/img0091.jpg],3[zyns/img0316.jpg],3[zyns/img0845.jpg],3[zyns/img0757.jpg],4[zyns/img0553.jpg],4[zyns/img0328.jpg],3[zyns/img0721.jpg],3[zyns/img0223.jpg],3[zyns/img0188.jpg],4[zyns/img0843.jpg],
