HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3NJM2BJS4W7P6O1DND63XD8HZRKPCR,AWQDOOSNH42QM,Approved,"Wed May 04 08:50:30 PDT 2016","Wed May 04 08:51:38 PDT 2016",5[zyns/img0446.jpg],5[zyns/img0239.jpg],5[zyns/img0182.jpg],5[zyns/img0828.jpg],5[zyns/img0252.jpg],5[zyns/img0608.jpg],5[zyns/img0672.jpg],5[zyns/img0740.jpg],5[zyns/img0526.jpg],5[zyns/img0786.jpg],3[zyns/img0460.jpg],5[zyns/img0832.jpg],5[zyns/img0520.jpg],5[zyns/img0534.jpg],5[zyns/img0075.jpg],5[zyns/img0615.jpg],5[zyns/img0132.jpg],5[zyns/img0028.jpg],5[zyns/img0507.jpg],5[zyns/img0484.jpg],5[zyns/img0776.jpg],5[zyns/img0480.jpg],5[zyns/img0459.jpg],3[zyns/img0804.jpg],5[zyns/img0104.jpg],5[zyns/img0430.jpg],5[zyns/img0452.jpg],5[zyns/img0550.jpg],5[zyns/img0177.jpg],5[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3UWN2HHPUY65AKEW4KJB8T74LFFSN2,AFG3FXABPGSZS,Approved,"Wed May 04 09:16:13 PDT 2016","Wed May 04 09:19:50 PDT 2016",4[zyns/img0446.jpg],3[zyns/img0239.jpg],4[zyns/img0182.jpg],4[zyns/img0828.jpg],4[zyns/img0252.jpg],4[zyns/img0608.jpg],3[zyns/img0672.jpg],4[zyns/img0740.jpg],4[zyns/img0526.jpg],4[zyns/img0786.jpg],4[zyns/img0460.jpg],3[zyns/img0832.jpg],5[zyns/img0520.jpg],4[zyns/img0534.jpg],4[zyns/img0075.jpg],4[zyns/img0615.jpg],4[zyns/img0132.jpg],4[zyns/img0028.jpg],4[zyns/img0507.jpg],4[zyns/img0484.jpg],3[zyns/img0776.jpg],3[zyns/img0480.jpg],4[zyns/img0459.jpg],4[zyns/img0804.jpg],4[zyns/img0104.jpg],4[zyns/img0430.jpg],4[zyns/img0452.jpg],4[zyns/img0550.jpg],3[zyns/img0177.jpg],4[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3IFS6Q0HJIKDWJ35746J3LBNZGPISG,A39BR7NYRDWC01,Approved,"Wed May 04 09:38:16 PDT 2016","Wed May 04 09:39:46 PDT 2016",4[zyns/img0446.jpg],3[zyns/img0239.jpg],3[zyns/img0182.jpg],5[zyns/img0828.jpg],4[zyns/img0252.jpg],5[zyns/img0608.jpg],5[zyns/img0672.jpg],5[zyns/img0740.jpg],5[zyns/img0526.jpg],5[zyns/img0786.jpg],4[zyns/img0460.jpg],4[zyns/img0832.jpg],4[zyns/img0520.jpg],5[zyns/img0534.jpg],5[zyns/img0075.jpg],4[zyns/img0615.jpg],4[zyns/img0132.jpg],5[zyns/img0028.jpg],5[zyns/img0507.jpg],5[zyns/img0484.jpg],5[zyns/img0776.jpg],5[zyns/img0480.jpg],3[zyns/img0459.jpg],5[zyns/img0804.jpg],5[zyns/img0104.jpg],5[zyns/img0430.jpg],4[zyns/img0452.jpg],5[zyns/img0550.jpg],5[zyns/img0177.jpg],4[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3JMSRU9HQIVH86IN5GLXTTX26RDVEQ,ASY5AZCZEM04L,Approved,"Wed May 04 09:49:23 PDT 2016","Wed May 04 09:49:42 PDT 2016",5[zyns/img0446.jpg],5[zyns/img0239.jpg],5[zyns/img0182.jpg],5[zyns/img0828.jpg],5[zyns/img0252.jpg],5[zyns/img0608.jpg],5[zyns/img0672.jpg],5[zyns/img0740.jpg],5[zyns/img0526.jpg],5[zyns/img0786.jpg],5[zyns/img0460.jpg],5[zyns/img0832.jpg],5[zyns/img0520.jpg],5[zyns/img0534.jpg],5[zyns/img0075.jpg],5[zyns/img0615.jpg],5[zyns/img0132.jpg],5[zyns/img0028.jpg],5[zyns/img0507.jpg],5[zyns/img0484.jpg],5[zyns/img0776.jpg],5[zyns/img0480.jpg],5[zyns/img0459.jpg],5[zyns/img0804.jpg],5[zyns/img0104.jpg],5[zyns/img0430.jpg],5[zyns/img0452.jpg],5[zyns/img0550.jpg],5[zyns/img0177.jpg],5[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3IX2EGZR7BKXQFNYAXREPCLRQU3JRF,A3PSIT0A7OU2FL,Approved,"Wed May 04 14:00:53 PDT 2016","Wed May 04 14:02:22 PDT 2016",3[zyns/img0446.jpg],4[zyns/img0239.jpg],2[zyns/img0182.jpg],2[zyns/img0828.jpg],2[zyns/img0252.jpg],4[zyns/img0608.jpg],4[zyns/img0672.jpg],4[zyns/img0740.jpg],5[zyns/img0526.jpg],5[zyns/img0786.jpg],5[zyns/img0460.jpg],4[zyns/img0832.jpg],5[zyns/img0520.jpg],4[zyns/img0534.jpg],5[zyns/img0075.jpg],5[zyns/img0615.jpg],3[zyns/img0132.jpg],4[zyns/img0028.jpg],4[zyns/img0507.jpg],5[zyns/img0484.jpg],5[zyns/img0776.jpg],4[zyns/img0480.jpg],4[zyns/img0459.jpg],5[zyns/img0804.jpg],1[zyns/img0104.jpg],3[zyns/img0430.jpg],4[zyns/img0452.jpg],5[zyns/img0550.jpg],4[zyns/img0177.jpg],2[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3SBEHTYCWN4AS5FE6AY8L7ZOG3AYI3,A3F7TX7LITQ4UP,Approved,"Wed May 04 16:05:39 PDT 2016","Wed May 04 16:07:40 PDT 2016",2[zyns/img0446.jpg],2[zyns/img0239.jpg],3[zyns/img0182.jpg],4[zyns/img0828.jpg],3[zyns/img0252.jpg],4[zyns/img0608.jpg],4[zyns/img0672.jpg],2[zyns/img0740.jpg],5[zyns/img0526.jpg],4[zyns/img0786.jpg],5[zyns/img0460.jpg],3[zyns/img0832.jpg],3[zyns/img0520.jpg],1[zyns/img0534.jpg],3[zyns/img0075.jpg],4[zyns/img0615.jpg],1[zyns/img0132.jpg],2[zyns/img0028.jpg],4[zyns/img0507.jpg],4[zyns/img0484.jpg],3[zyns/img0776.jpg],2[zyns/img0480.jpg],1[zyns/img0459.jpg],4[zyns/img0804.jpg],4[zyns/img0104.jpg],4[zyns/img0430.jpg],2[zyns/img0452.jpg],2[zyns/img0550.jpg],4[zyns/img0177.jpg],2[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",34V1S5K3GS2FYKC5WXX3PNGSY3I96J,A3EL6FZ3LGNT7B,Approved,"Wed May 04 18:58:23 PDT 2016","Wed May 04 19:00:51 PDT 2016",1[zyns/img0446.jpg],3[zyns/img0239.jpg],2[zyns/img0182.jpg],3[zyns/img0828.jpg],3[zyns/img0252.jpg],5[zyns/img0608.jpg],4[zyns/img0672.jpg],5[zyns/img0740.jpg],5[zyns/img0526.jpg],5[zyns/img0786.jpg],5[zyns/img0460.jpg],4[zyns/img0832.jpg],4[zyns/img0520.jpg],4[zyns/img0534.jpg],4[zyns/img0075.jpg],5[zyns/img0615.jpg],4[zyns/img0132.jpg],3[zyns/img0028.jpg],4[zyns/img0507.jpg],5[zyns/img0484.jpg],4[zyns/img0776.jpg],3[zyns/img0480.jpg],4[zyns/img0459.jpg],5[zyns/img0804.jpg],4[zyns/img0104.jpg],4[zyns/img0430.jpg],4[zyns/img0452.jpg],5[zyns/img0550.jpg],5[zyns/img0177.jpg],5[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3VNXK88KKCJ0DAR6X55B1FWRFXJV98,A3UC4JITM1QD1M,Approved,"Wed May 04 20:41:07 PDT 2016","Wed May 04 20:42:40 PDT 2016",5[zyns/img0446.jpg],5[zyns/img0239.jpg],5[zyns/img0182.jpg],5[zyns/img0828.jpg],5[zyns/img0252.jpg],5[zyns/img0608.jpg],5[zyns/img0672.jpg],5[zyns/img0740.jpg],5[zyns/img0526.jpg],5[zyns/img0786.jpg],5[zyns/img0460.jpg],5[zyns/img0832.jpg],5[zyns/img0520.jpg],5[zyns/img0534.jpg],5[zyns/img0075.jpg],5[zyns/img0615.jpg],5[zyns/img0132.jpg],5[zyns/img0028.jpg],5[zyns/img0507.jpg],5[zyns/img0484.jpg],5[zyns/img0776.jpg],5[zyns/img0480.jpg],5[zyns/img0459.jpg],5[zyns/img0804.jpg],5[zyns/img0104.jpg],5[zyns/img0430.jpg],5[zyns/img0452.jpg],5[zyns/img0550.jpg],5[zyns/img0177.jpg],5[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",38YMOXR4MU0QAGPDP87V37O3W5MW6H,A1ESKJFDQUMBL4,Approved,"Wed May 04 22:22:17 PDT 2016","Wed May 04 22:27:05 PDT 2016",3[zyns/img0446.jpg],3[zyns/img0239.jpg],3[zyns/img0182.jpg],4[zyns/img0828.jpg],4[zyns/img0252.jpg],3[zyns/img0608.jpg],3[zyns/img0672.jpg],2[zyns/img0740.jpg],2[zyns/img0526.jpg],2[zyns/img0786.jpg],2[zyns/img0460.jpg],2[zyns/img0832.jpg],2[zyns/img0520.jpg],2[zyns/img0534.jpg],3[zyns/img0075.jpg],3[zyns/img0615.jpg],2[zyns/img0132.jpg],4[zyns/img0028.jpg],3[zyns/img0507.jpg],2[zyns/img0484.jpg],3[zyns/img0776.jpg],3[zyns/img0480.jpg],3[zyns/img0459.jpg],2[zyns/img0804.jpg],3[zyns/img0104.jpg],2[zyns/img0430.jpg],2[zyns/img0452.jpg],2[zyns/img0550.jpg],3[zyns/img0177.jpg],3[zyns/img0693.jpg],
3Y3CZJSZ9KUMWWAJVTIJ0I64XKG5RQ,"zyns_210-239","sample#command",3Z7ISHFUH0WH8PD6TAO0MPECJ2IZ8Y,AABZBL0JNLG0X,Approved,"Wed May 04 23:01:51 PDT 2016","Wed May 04 23:06:44 PDT 2016",5[zyns/img0446.jpg],1[zyns/img0239.jpg],2[zyns/img0182.jpg],5[zyns/img0828.jpg],5[zyns/img0252.jpg],5[zyns/img0608.jpg],3[zyns/img0672.jpg],2[zyns/img0740.jpg],5[zyns/img0526.jpg],4[zyns/img0786.jpg],5[zyns/img0460.jpg],1[zyns/img0832.jpg],1[zyns/img0520.jpg],3[zyns/img0534.jpg],4[zyns/img0075.jpg],4[zyns/img0615.jpg],2[zyns/img0132.jpg],4[zyns/img0028.jpg],5[zyns/img0507.jpg],5[zyns/img0484.jpg],2[zyns/img0776.jpg],5[zyns/img0480.jpg],5[zyns/img0459.jpg],5[zyns/img0804.jpg],2[zyns/img0104.jpg],2[zyns/img0430.jpg],3[zyns/img0452.jpg],5[zyns/img0550.jpg],3[zyns/img0177.jpg],3[zyns/img0693.jpg],
