HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3VHHR074H3IT3MRJ445L0A7JQ6OL7P,A1LUGQBOW46XEH,Approved,"Thu Apr 07 06:14:41 PDT 2016","Thu Apr 07 06:16:33 PDT 2016",3[kxm/img0040.jpg],3[kxm/img0609.jpg],3[kxm/img0789.jpg],3[kxm/img0160.jpg],3[kxm/img0192.jpg],4[kxm/img0849.jpg],4[kxm/img0502.jpg],3[kxm/img0073.jpg*],3[kxm/img0517.jpg],3[kxm/img0386.jpg],1[kxm/img0714.jpg],3[kxm/img0491.jpg],3[kxm/img0215.jpg],3[kxm/img0725.jpg],3[kxm/img0462.jpg],3[kxm/img0051.jpg],3[kxm/img0000.jpg],3[kxm/img0288.jpg],3[kxm/img0731.jpg],3[kxm/img0141.jpg],3[kxm/img0534.jpg],3[kxm/img0521.jpg],3[kxm/img0738.jpg],4[kxm/img0175.jpg],4[kxm/img0653.jpg],4[kxm/img0183.jpg],4[kxm/img0125.jpg],2[kxm/img0772.jpg],3[kxm/img0232.jpg],3[kxm/img0709.jpg],3[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",33F859I566EEJ2BJQ023DK08SF7BHV,A39BR7NYRDWC01,Approved,"Thu Apr 07 06:31:51 PDT 2016","Thu Apr 07 06:36:12 PDT 2016",4[kxm/img0040.jpg],3[kxm/img0609.jpg],3[kxm/img0789.jpg],5[kxm/img0160.jpg],4[kxm/img0192.jpg],5[kxm/img0849.jpg],3[kxm/img0502.jpg],3[kxm/img0073.jpg*],3[kxm/img0517.jpg],5[kxm/img0386.jpg],5[kxm/img0714.jpg],1[kxm/img0491.jpg],4[kxm/img0215.jpg],4[kxm/img0725.jpg],5[kxm/img0462.jpg],2[kxm/img0051.jpg],3[kxm/img0000.jpg],4[kxm/img0288.jpg],3[kxm/img0731.jpg],5[kxm/img0141.jpg],5[kxm/img0534.jpg],4[kxm/img0521.jpg],3[kxm/img0738.jpg],4[kxm/img0175.jpg],4[kxm/img0653.jpg],4[kxm/img0183.jpg],4[kxm/img0125.jpg],4[kxm/img0772.jpg],5[kxm/img0232.jpg],4[kxm/img0709.jpg],5[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3NS0A6KXC49W14JOC80OE2VA4IJZGT,AWQDOOSNH42QM,Approved,"Thu Apr 07 06:50:51 PDT 2016","Thu Apr 07 06:53:09 PDT 2016",5[kxm/img0040.jpg],5[kxm/img0609.jpg],4[kxm/img0789.jpg],5[kxm/img0160.jpg],5[kxm/img0192.jpg],5[kxm/img0849.jpg],4[kxm/img0502.jpg],4[kxm/img0073.jpg*],4[kxm/img0517.jpg],4[kxm/img0386.jpg],4[kxm/img0714.jpg],5[kxm/img0491.jpg],4[kxm/img0215.jpg],5[kxm/img0725.jpg],5[kxm/img0462.jpg],5[kxm/img0051.jpg],5[kxm/img0000.jpg],5[kxm/img0288.jpg],5[kxm/img0731.jpg],2[kxm/img0141.jpg],4[kxm/img0534.jpg],5[kxm/img0521.jpg],5[kxm/img0738.jpg],5[kxm/img0175.jpg],5[kxm/img0653.jpg],5[kxm/img0183.jpg],5[kxm/img0125.jpg],5[kxm/img0772.jpg],5[kxm/img0232.jpg],5[kxm/img0709.jpg],5[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3H7XDTSHKCSS79EJ1LGHFY1SNKYWGR,A1XC5OV00MECKQ,Approved,"Thu Apr 07 22:22:45 PDT 2016","Thu Apr 07 22:28:03 PDT 2016",5[kxm/img0040.jpg],4[kxm/img0609.jpg],3[kxm/img0789.jpg],5[kxm/img0160.jpg],4[kxm/img0192.jpg],4[kxm/img0849.jpg],5[kxm/img0502.jpg],5[kxm/img0073.jpg*],4[kxm/img0517.jpg],3[kxm/img0386.jpg],4[kxm/img0714.jpg],5[kxm/img0491.jpg],4[kxm/img0215.jpg],3[kxm/img0725.jpg],5[kxm/img0462.jpg],4[kxm/img0051.jpg],4[kxm/img0000.jpg],4[kxm/img0288.jpg],4[kxm/img0731.jpg],4[kxm/img0141.jpg],4[kxm/img0534.jpg],4[kxm/img0521.jpg],3[kxm/img0738.jpg],3[kxm/img0175.jpg],5[kxm/img0653.jpg],3[kxm/img0183.jpg],5[kxm/img0125.jpg],4[kxm/img0772.jpg],5[kxm/img0232.jpg],4[kxm/img0709.jpg],3[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3KIBXJ1WD5VP4M100QAMWWGZR0OOKK,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:16:35 PDT 2016","Fri Apr 08 08:19:46 PDT 2016",4[kxm/img0040.jpg],3[kxm/img0609.jpg],4[kxm/img0789.jpg],5[kxm/img0160.jpg],5[kxm/img0192.jpg],3[kxm/img0849.jpg],4[kxm/img0502.jpg],4[kxm/img0073.jpg*],4[kxm/img0517.jpg],4[kxm/img0386.jpg],1[kxm/img0714.jpg],4[kxm/img0491.jpg],1[kxm/img0215.jpg],4[kxm/img0725.jpg],4[kxm/img0462.jpg],3[kxm/img0051.jpg],4[kxm/img0000.jpg],4[kxm/img0288.jpg],4[kxm/img0731.jpg],3[kxm/img0141.jpg],3[kxm/img0534.jpg],2[kxm/img0521.jpg],4[kxm/img0738.jpg],4[kxm/img0175.jpg],4[kxm/img0653.jpg],4[kxm/img0183.jpg],4[kxm/img0125.jpg],3[kxm/img0772.jpg],4[kxm/img0232.jpg],4[kxm/img0709.jpg],4[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3IKZ72A5B4HW6F9AY0JC1UOPTWXNF1,A3PSIT0A7OU2FL,Approved,"Fri Apr 08 18:40:26 PDT 2016","Fri Apr 08 18:43:54 PDT 2016",2[kxm/img0040.jpg],2[kxm/img0609.jpg],2[kxm/img0789.jpg],1[kxm/img0160.jpg],3[kxm/img0192.jpg],5[kxm/img0849.jpg],3[kxm/img0502.jpg],2[kxm/img0073.jpg*],3[kxm/img0517.jpg],1[kxm/img0386.jpg],1[kxm/img0714.jpg],3[kxm/img0491.jpg],4[kxm/img0215.jpg],4[kxm/img0725.jpg],4[kxm/img0462.jpg],1[kxm/img0051.jpg],2[kxm/img0000.jpg],1[kxm/img0288.jpg],2[kxm/img0731.jpg],1[kxm/img0141.jpg],2[kxm/img0534.jpg],2[kxm/img0521.jpg],2[kxm/img0738.jpg],3[kxm/img0175.jpg],3[kxm/img0653.jpg],3[kxm/img0183.jpg],2[kxm/img0125.jpg],3[kxm/img0772.jpg],3[kxm/img0232.jpg],3[kxm/img0709.jpg],3[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3TR2532VIPV44WPEI9OGEHUVRE46JU,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:23:15 PDT 2016","Fri Apr 08 22:26:27 PDT 2016",2[kxm/img0040.jpg],4[kxm/img0609.jpg],4[kxm/img0789.jpg],5[kxm/img0160.jpg],4[kxm/img0192.jpg],5[kxm/img0849.jpg],3[kxm/img0502.jpg],1[kxm/img0073.jpg*],3[kxm/img0517.jpg],3[kxm/img0386.jpg],1[kxm/img0714.jpg],4[kxm/img0491.jpg],4[kxm/img0215.jpg],4[kxm/img0725.jpg],4[kxm/img0462.jpg],3[kxm/img0051.jpg],1[kxm/img0000.jpg],4[kxm/img0288.jpg],3[kxm/img0731.jpg],4[kxm/img0141.jpg],5[kxm/img0534.jpg],1[kxm/img0521.jpg],4[kxm/img0738.jpg],4[kxm/img0175.jpg],1[kxm/img0653.jpg],4[kxm/img0183.jpg],3[kxm/img0125.jpg],4[kxm/img0772.jpg],4[kxm/img0232.jpg],4[kxm/img0709.jpg],4[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3TR2532VIPV44WPEI9OGEHUVRE76JX,A3EF895OURE7SO,Approved,"Fri Apr 08 23:21:33 PDT 2016","Fri Apr 08 23:24:39 PDT 2016",2[kxm/img0040.jpg],4[kxm/img0609.jpg],5[kxm/img0789.jpg],5[kxm/img0160.jpg],3[kxm/img0192.jpg],3[kxm/img0849.jpg],3[kxm/img0502.jpg],3[kxm/img0073.jpg*],5[kxm/img0517.jpg],4[kxm/img0386.jpg],1[kxm/img0714.jpg],4[kxm/img0491.jpg],2[kxm/img0215.jpg],2[kxm/img0725.jpg],3[kxm/img0462.jpg],2[kxm/img0051.jpg],1[kxm/img0000.jpg],1[kxm/img0288.jpg],2[kxm/img0731.jpg],1[kxm/img0141.jpg],2[kxm/img0534.jpg],2[kxm/img0521.jpg],3[kxm/img0738.jpg],2[kxm/img0175.jpg],3[kxm/img0653.jpg],3[kxm/img0183.jpg],4[kxm/img0125.jpg],3[kxm/img0772.jpg],4[kxm/img0232.jpg],3[kxm/img0709.jpg],2[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",3VW6495TLJ1WI5UJASKB7VTC3T2YYE,A39PT6IK8BV4V,Approved,"Sat Apr 09 09:14:56 PDT 2016","Sat Apr 09 09:20:12 PDT 2016",4[kxm/img0040.jpg],4[kxm/img0609.jpg],4[kxm/img0789.jpg],4[kxm/img0160.jpg],4[kxm/img0192.jpg],4[kxm/img0849.jpg],4[kxm/img0502.jpg],1[kxm/img0073.jpg*],4[kxm/img0517.jpg],2[kxm/img0386.jpg],2[kxm/img0714.jpg],4[kxm/img0491.jpg],2[kxm/img0215.jpg],3[kxm/img0725.jpg],4[kxm/img0462.jpg],2[kxm/img0051.jpg],4[kxm/img0000.jpg],3[kxm/img0288.jpg],3[kxm/img0731.jpg],2[kxm/img0141.jpg],4[kxm/img0534.jpg],2[kxm/img0521.jpg],3[kxm/img0738.jpg],3[kxm/img0175.jpg],4[kxm/img0653.jpg],4[kxm/img0183.jpg],4[kxm/img0125.jpg],2[kxm/img0772.jpg],4[kxm/img0232.jpg],4[kxm/img0709.jpg],3[kxm/img0711.jpg],
30U1YOGZGAXT1OPPPO07O4ZSOLKSDO,"kxm_60-89","sample#command",30IQTZXKAK7AL58OXON0WPSJPA1X0E,A3D55KF6P4DW46,Approved,"Sat Apr 09 10:41:34 PDT 2016","Sat Apr 09 10:44:32 PDT 2016",4[kxm/img0040.jpg],4[kxm/img0609.jpg],3[kxm/img0789.jpg],5[kxm/img0160.jpg],5[kxm/img0192.jpg],4[kxm/img0849.jpg],5[kxm/img0502.jpg],3[kxm/img0073.jpg*],2[kxm/img0517.jpg],4[kxm/img0386.jpg],4[kxm/img0714.jpg],5[kxm/img0491.jpg],5[kxm/img0215.jpg],5[kxm/img0725.jpg],4[kxm/img0462.jpg],2[kxm/img0051.jpg],4[kxm/img0000.jpg],4[kxm/img0288.jpg],5[kxm/img0731.jpg],4[kxm/img0141.jpg],4[kxm/img0534.jpg],5[kxm/img0521.jpg],3[kxm/img0738.jpg],2[kxm/img0175.jpg],2[kxm/img0653.jpg],4[kxm/img0183.jpg],3[kxm/img0125.jpg],3[kxm/img0772.jpg],4[kxm/img0232.jpg],4[kxm/img0709.jpg],3[kxm/img0711.jpg],
