HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",34MAJL3QP4OF4VJBW03E1CTSZK634C,A1ESKJFDQUMBL4,Approved,"Thu Apr 07 10:12:40 PDT 2016","Thu Apr 07 10:19:16 PDT 2016",3[kxm/img0157.jpg],5[kxm/img0710.jpg],4[kxm/img0588.jpg],4[kxm/img0692.jpg],3[kxm/img0822.jpg],4[kxm/img0306.jpg],4[kxm/img0082.jpg],2[kxm/img0173.jpg],2[kxm/img0126.jpg],4[kxm/img0240.jpg],4[kxm/img0605.jpg],4[kxm/img0282.jpg],3[kxm/img0410.jpg],3[kxm/img0851.jpg],3[kxm/img0298.jpg],4[kxm/img0680.jpg],5[kxm/img0011.jpg],2[kxm/img0015.jpg],2[kxm/img0835.jpg],3[kxm/img0427.jpg],2[kxm/img0050.jpg],4[kxm/img0174.jpg],4[kxm/img0670.jpg],2[kxm/img0500.jpg],2[kxm/img0831.jpg*],3[kxm/img0514.jpg],2[kxm/img0196.jpg],4[kxm/img0006.jpg],3[kxm/img0151.jpg],3[kxm/img0647.jpg],4[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",3KXIR214I4HQJDNSS0P9I2O0T7J42H,A39BR7NYRDWC01,Approved,"Thu Apr 07 14:32:17 PDT 2016","Thu Apr 07 14:35:19 PDT 2016",5[kxm/img0157.jpg],5[kxm/img0710.jpg],4[kxm/img0588.jpg],5[kxm/img0692.jpg],5[kxm/img0822.jpg],4[kxm/img0306.jpg],5[kxm/img0082.jpg],2[kxm/img0173.jpg],5[kxm/img0126.jpg],5[kxm/img0240.jpg],5[kxm/img0605.jpg],5[kxm/img0282.jpg],4[kxm/img0410.jpg],4[kxm/img0851.jpg],5[kxm/img0298.jpg],5[kxm/img0680.jpg],4[kxm/img0011.jpg],5[kxm/img0015.jpg],3[kxm/img0835.jpg],4[kxm/img0427.jpg],5[kxm/img0050.jpg],3[kxm/img0174.jpg],2[kxm/img0670.jpg],3[kxm/img0500.jpg],5[kxm/img0831.jpg*],4[kxm/img0514.jpg],4[kxm/img0196.jpg],5[kxm/img0006.jpg],4[kxm/img0151.jpg],4[kxm/img0647.jpg],3[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",3ZOTGHDK5ICNS5E85ZJONI798TRSOT,A1XC5OV00MECKQ,Approved,"Thu Apr 07 21:52:55 PDT 2016","Thu Apr 07 21:58:34 PDT 2016",4[kxm/img0157.jpg],5[kxm/img0710.jpg],4[kxm/img0588.jpg],5[kxm/img0692.jpg],5[kxm/img0822.jpg],5[kxm/img0306.jpg],5[kxm/img0082.jpg],5[kxm/img0173.jpg],4[kxm/img0126.jpg],5[kxm/img0240.jpg],4[kxm/img0605.jpg],1[kxm/img0282.jpg],4[kxm/img0410.jpg],3[kxm/img0851.jpg],1[kxm/img0298.jpg],5[kxm/img0680.jpg],3[kxm/img0011.jpg],5[kxm/img0015.jpg],5[kxm/img0835.jpg],3[kxm/img0427.jpg],5[kxm/img0050.jpg],5[kxm/img0174.jpg],5[kxm/img0670.jpg],5[kxm/img0500.jpg],5[kxm/img0831.jpg*],5[kxm/img0514.jpg],5[kxm/img0196.jpg],5[kxm/img0006.jpg],5[kxm/img0151.jpg],5[kxm/img0647.jpg],5[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",3DYGAII7PL9T0PBWSV7YHIXY0BLQP4,A25QEOBUEVJ750,Approved,"Fri Apr 08 04:17:44 PDT 2016","Fri Apr 08 04:19:14 PDT 2016",4[kxm/img0157.jpg],3[kxm/img0710.jpg],5[kxm/img0588.jpg],4[kxm/img0692.jpg],5[kxm/img0822.jpg],5[kxm/img0306.jpg],5[kxm/img0082.jpg],3[kxm/img0173.jpg],3[kxm/img0126.jpg],5[kxm/img0240.jpg],4[kxm/img0605.jpg],3[kxm/img0282.jpg],3[kxm/img0410.jpg],3[kxm/img0851.jpg],3[kxm/img0298.jpg],3[kxm/img0680.jpg],3[kxm/img0011.jpg],3[kxm/img0015.jpg],3[kxm/img0835.jpg],3[kxm/img0427.jpg],3[kxm/img0050.jpg],4[kxm/img0174.jpg],3[kxm/img0670.jpg],4[kxm/img0500.jpg],4[kxm/img0831.jpg*],4[kxm/img0514.jpg],4[kxm/img0196.jpg],3[kxm/img0006.jpg],3[kxm/img0151.jpg],3[kxm/img0647.jpg],3[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",339ANSOTR53F80QX2VXHCZKDFROIKI,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:05:02 PDT 2016","Fri Apr 08 08:09:29 PDT 2016",2[kxm/img0157.jpg],4[kxm/img0710.jpg],2[kxm/img0588.jpg],4[kxm/img0692.jpg],2[kxm/img0822.jpg],4[kxm/img0306.jpg],3[kxm/img0082.jpg],5[kxm/img0173.jpg],5[kxm/img0126.jpg],2[kxm/img0240.jpg],4[kxm/img0605.jpg],5[kxm/img0282.jpg],3[kxm/img0410.jpg],4[kxm/img0851.jpg],5[kxm/img0298.jpg],4[kxm/img0680.jpg],4[kxm/img0011.jpg],5[kxm/img0015.jpg],3[kxm/img0835.jpg],4[kxm/img0427.jpg],2[kxm/img0050.jpg],4[kxm/img0174.jpg],4[kxm/img0670.jpg],2[kxm/img0500.jpg],4[kxm/img0831.jpg*],2[kxm/img0514.jpg],2[kxm/img0196.jpg],5[kxm/img0006.jpg],2[kxm/img0151.jpg],5[kxm/img0647.jpg],2[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",320DUZ38G7N61PEKUMX2Q87KLQ8JG6,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 09:57:33 PDT 2016","Fri Apr 08 09:59:35 PDT 2016",2[kxm/img0157.jpg],4[kxm/img0710.jpg],3[kxm/img0588.jpg],3[kxm/img0692.jpg],3[kxm/img0822.jpg],3[kxm/img0306.jpg],3[kxm/img0082.jpg],3[kxm/img0173.jpg],3[kxm/img0126.jpg],3[kxm/img0240.jpg],3[kxm/img0605.jpg],3[kxm/img0282.jpg],3[kxm/img0410.jpg],3[kxm/img0851.jpg],4[kxm/img0298.jpg],3[kxm/img0680.jpg],4[kxm/img0011.jpg],2[kxm/img0015.jpg],2[kxm/img0835.jpg],3[kxm/img0427.jpg],2[kxm/img0050.jpg],4[kxm/img0174.jpg],3[kxm/img0670.jpg],3[kxm/img0500.jpg],3[kxm/img0831.jpg*],3[kxm/img0514.jpg],1[kxm/img0196.jpg],2[kxm/img0006.jpg],2[kxm/img0151.jpg],3[kxm/img0647.jpg],3[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",3ERET4BTVMAMXZXUY1R4Z6LAW259KW,A3PSIT0A7OU2FL,Approved,"Fri Apr 08 13:07:48 PDT 2016","Fri Apr 08 13:10:58 PDT 2016",2[kxm/img0157.jpg],3[kxm/img0710.jpg],3[kxm/img0588.jpg],5[kxm/img0692.jpg],5[kxm/img0822.jpg],5[kxm/img0306.jpg],5[kxm/img0082.jpg],5[kxm/img0173.jpg],4[kxm/img0126.jpg],4[kxm/img0240.jpg],5[kxm/img0605.jpg],5[kxm/img0282.jpg],5[kxm/img0410.jpg],2[kxm/img0851.jpg],2[kxm/img0298.jpg],1[kxm/img0680.jpg],3[kxm/img0011.jpg],4[kxm/img0015.jpg],1[kxm/img0835.jpg],2[kxm/img0427.jpg],5[kxm/img0050.jpg],3[kxm/img0174.jpg],4[kxm/img0670.jpg],2[kxm/img0500.jpg],5[kxm/img0831.jpg*],5[kxm/img0514.jpg],1[kxm/img0196.jpg],5[kxm/img0006.jpg],4[kxm/img0151.jpg],3[kxm/img0647.jpg],2[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",3WMINLGALB4IJKVBYUO67IJMXCKAC7,A33KIELSFIQ02Q,Approved,"Fri Apr 08 14:12:38 PDT 2016","Fri Apr 08 14:14:20 PDT 2016",4[kxm/img0157.jpg],4[kxm/img0710.jpg],3[kxm/img0588.jpg],5[kxm/img0692.jpg],4[kxm/img0822.jpg],1[kxm/img0306.jpg],2[kxm/img0082.jpg],5[kxm/img0173.jpg],5[kxm/img0126.jpg],5[kxm/img0240.jpg],2[kxm/img0605.jpg],1[kxm/img0282.jpg],2[kxm/img0410.jpg],2[kxm/img0851.jpg],3[kxm/img0298.jpg],2[kxm/img0680.jpg],1[kxm/img0011.jpg],5[kxm/img0015.jpg],5[kxm/img0835.jpg],1[kxm/img0427.jpg],2[kxm/img0050.jpg],3[kxm/img0174.jpg],3[kxm/img0670.jpg],1[kxm/img0500.jpg],3[kxm/img0831.jpg*],2[kxm/img0514.jpg],5[kxm/img0196.jpg],1[kxm/img0006.jpg],4[kxm/img0151.jpg],4[kxm/img0647.jpg],1[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",3WQ3B2KGE8H3FRQ5OBZILXK1BXU1BJ,AI4VKX3UE6Q7O,Approved,"Fri Apr 08 17:17:38 PDT 2016","Fri Apr 08 17:20:14 PDT 2016",3[kxm/img0157.jpg],5[kxm/img0710.jpg],5[kxm/img0588.jpg],5[kxm/img0692.jpg],4[kxm/img0822.jpg],3[kxm/img0306.jpg],5[kxm/img0082.jpg],2[kxm/img0173.jpg],1[kxm/img0126.jpg],2[kxm/img0240.jpg],2[kxm/img0605.jpg],5[kxm/img0282.jpg],4[kxm/img0410.jpg],3[kxm/img0851.jpg],4[kxm/img0298.jpg],2[kxm/img0680.jpg],3[kxm/img0011.jpg],3[kxm/img0015.jpg],1[kxm/img0835.jpg],5[kxm/img0427.jpg],4[kxm/img0050.jpg],1[kxm/img0174.jpg],1[kxm/img0670.jpg],3[kxm/img0500.jpg],2[kxm/img0831.jpg*],2[kxm/img0514.jpg],2[kxm/img0196.jpg],4[kxm/img0006.jpg],2[kxm/img0151.jpg],5[kxm/img0647.jpg],4[kxm/img0293.jpg],
341YLJU21I0H40ODNNMCOJ21IWSI2C,"kxm_180-209","sample#command",3V5Q80FXIXS51H4OSMKQ8XWUFCG23X,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:26:49 PDT 2016","Fri Apr 08 22:29:50 PDT 2016",4[kxm/img0157.jpg],5[kxm/img0710.jpg],3[kxm/img0588.jpg],4[kxm/img0692.jpg],4[kxm/img0822.jpg],4[kxm/img0306.jpg],2[kxm/img0082.jpg],1[kxm/img0173.jpg],4[kxm/img0126.jpg],4[kxm/img0240.jpg],4[kxm/img0605.jpg],3[kxm/img0282.jpg],3[kxm/img0410.jpg],3[kxm/img0851.jpg],3[kxm/img0298.jpg],4[kxm/img0680.jpg],4[kxm/img0011.jpg],4[kxm/img0015.jpg],1[kxm/img0835.jpg],1[kxm/img0427.jpg],4[kxm/img0050.jpg],3[kxm/img0174.jpg],3[kxm/img0670.jpg],3[kxm/img0500.jpg],4[kxm/img0831.jpg*],4[kxm/img0514.jpg],3[kxm/img0196.jpg],4[kxm/img0006.jpg],4[kxm/img0151.jpg],1[kxm/img0647.jpg],4[kxm/img0293.jpg],
