HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3MAOD8E57QBD610VYUPY71OWXV1XNY,A1ESKJFDQUMBL4,Approved,"Thu Apr 07 10:12:43 PDT 2016","Thu Apr 07 10:18:47 PDT 2016",3[kxm/img0211.jpg],3[kxm/img0781.jpg],3[kxm/img0753.jpg],4[kxm/img0760.jpg],3[kxm/img0449.jpg],3[kxm/img0368.jpg],5[kxm/img0112.jpg],4[kxm/img0144.jpg],3[kxm/img0620.jpg],3[kxm/img0444.jpg],4[kxm/img0425.jpg],4[kxm/img0095.jpg],4[kxm/img0626.jpg],2[kxm/img0165.jpg],4[kxm/img0766.jpg],3[kxm/img0336.jpg],3[kxm/img0824.jpg],2[kxm/img0009.jpg],2[kxm/img0562.jpg],5[kxm/img0773.jpg],4[kxm/img0457.jpg],4[kxm/img0558.jpg*],4[kxm/img0480.jpg],2[kxm/img0023.jpg],2[kxm/img0283.jpg],5[kxm/img0363.jpg],4[kxm/img0726.jpg],2[kxm/img0077.jpg],2[kxm/img0673.jpg],4[kxm/img0049.jpg],3[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3ZV9H2YQQD8RDX2V669XW4CJJEJW37,A39BR7NYRDWC01,Approved,"Thu Apr 07 14:50:54 PDT 2016","Thu Apr 07 14:53:14 PDT 2016",5[kxm/img0211.jpg],5[kxm/img0781.jpg],4[kxm/img0753.jpg],4[kxm/img0760.jpg],5[kxm/img0449.jpg],4[kxm/img0368.jpg],4[kxm/img0112.jpg],3[kxm/img0144.jpg],5[kxm/img0620.jpg],5[kxm/img0444.jpg],5[kxm/img0425.jpg],5[kxm/img0095.jpg],5[kxm/img0626.jpg],5[kxm/img0165.jpg],4[kxm/img0766.jpg],4[kxm/img0336.jpg],4[kxm/img0824.jpg],4[kxm/img0009.jpg],5[kxm/img0562.jpg],5[kxm/img0773.jpg],5[kxm/img0457.jpg],4[kxm/img0558.jpg*],5[kxm/img0480.jpg],4[kxm/img0023.jpg],4[kxm/img0283.jpg],4[kxm/img0363.jpg],5[kxm/img0726.jpg],4[kxm/img0077.jpg],4[kxm/img0673.jpg],5[kxm/img0049.jpg],4[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3HYA4D452RK0HTKHCHLS96LRIY12FE,A1XC5OV00MECKQ,Approved,"Thu Apr 07 21:52:14 PDT 2016","Thu Apr 07 22:08:46 PDT 2016",1[kxm/img0211.jpg],2[kxm/img0781.jpg],2[kxm/img0753.jpg],5[kxm/img0760.jpg],5[kxm/img0449.jpg],3[kxm/img0368.jpg],3[kxm/img0112.jpg],3[kxm/img0144.jpg],4[kxm/img0620.jpg],1[kxm/img0444.jpg],2[kxm/img0425.jpg],1[kxm/img0095.jpg],5[kxm/img0626.jpg],5[kxm/img0165.jpg],4[kxm/img0766.jpg],5[kxm/img0336.jpg],5[kxm/img0824.jpg],1[kxm/img0009.jpg],2[kxm/img0562.jpg],5[kxm/img0773.jpg],3[kxm/img0457.jpg],3[kxm/img0558.jpg*],4[kxm/img0480.jpg],1[kxm/img0023.jpg],5[kxm/img0283.jpg],4[kxm/img0363.jpg],4[kxm/img0726.jpg],1[kxm/img0077.jpg],3[kxm/img0673.jpg],3[kxm/img0049.jpg],4[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3PJ71Z61R43KRYB8QRLMURPBNVD19R,ASY5AZCZEM04L,Approved,"Fri Apr 08 04:36:01 PDT 2016","Fri Apr 08 04:38:24 PDT 2016",3[kxm/img0211.jpg],3[kxm/img0781.jpg],3[kxm/img0753.jpg],3[kxm/img0760.jpg],3[kxm/img0449.jpg],3[kxm/img0368.jpg],3[kxm/img0112.jpg],3[kxm/img0144.jpg],4[kxm/img0620.jpg],3[kxm/img0444.jpg],3[kxm/img0425.jpg],3[kxm/img0095.jpg],3[kxm/img0626.jpg],3[kxm/img0165.jpg],4[kxm/img0766.jpg],3[kxm/img0336.jpg],3[kxm/img0824.jpg],2[kxm/img0009.jpg],3[kxm/img0562.jpg],3[kxm/img0773.jpg],3[kxm/img0457.jpg],3[kxm/img0558.jpg*],3[kxm/img0480.jpg],4[kxm/img0023.jpg],4[kxm/img0283.jpg],3[kxm/img0363.jpg],2[kxm/img0726.jpg],3[kxm/img0077.jpg],3[kxm/img0673.jpg],4[kxm/img0049.jpg],3[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3FE2ERCCZX9QFDYGDIFUSD2YLAVOPM,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:33:57 PDT 2016","Fri Apr 08 08:34:39 PDT 2016",3[kxm/img0211.jpg],4[kxm/img0781.jpg],4[kxm/img0753.jpg],4[kxm/img0760.jpg],4[kxm/img0449.jpg],3[kxm/img0368.jpg],3[kxm/img0112.jpg],4[kxm/img0144.jpg],4[kxm/img0620.jpg],4[kxm/img0444.jpg],4[kxm/img0425.jpg],5[kxm/img0095.jpg],4[kxm/img0626.jpg],4[kxm/img0165.jpg],4[kxm/img0766.jpg],3[kxm/img0336.jpg],4[kxm/img0824.jpg],3[kxm/img0009.jpg],2[kxm/img0562.jpg],4[kxm/img0773.jpg],4[kxm/img0457.jpg],3[kxm/img0558.jpg*],4[kxm/img0480.jpg],3[kxm/img0023.jpg],4[kxm/img0283.jpg],3[kxm/img0363.jpg],4[kxm/img0726.jpg],3[kxm/img0077.jpg],2[kxm/img0673.jpg],4[kxm/img0049.jpg],4[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3IFS6Q0HJIKDWJ35746J3LBNWMCSIM,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 09:55:36 PDT 2016","Fri Apr 08 09:57:23 PDT 2016",3[kxm/img0211.jpg],3[kxm/img0781.jpg],3[kxm/img0753.jpg],3[kxm/img0760.jpg],3[kxm/img0449.jpg],3[kxm/img0368.jpg],5[kxm/img0112.jpg],4[kxm/img0144.jpg],3[kxm/img0620.jpg],3[kxm/img0444.jpg],4[kxm/img0425.jpg],3[kxm/img0095.jpg],3[kxm/img0626.jpg],2[kxm/img0165.jpg],3[kxm/img0766.jpg],3[kxm/img0336.jpg],3[kxm/img0824.jpg],2[kxm/img0009.jpg],3[kxm/img0562.jpg],3[kxm/img0773.jpg],3[kxm/img0457.jpg],3[kxm/img0558.jpg*],3[kxm/img0480.jpg],3[kxm/img0023.jpg],3[kxm/img0283.jpg],5[kxm/img0363.jpg],4[kxm/img0726.jpg],3[kxm/img0077.jpg],3[kxm/img0673.jpg],3[kxm/img0049.jpg],3[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3JBT3HLQF832EHCNFRQB8B925H6ZPD,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:30:15 PDT 2016","Fri Apr 08 22:32:20 PDT 2016",4[kxm/img0211.jpg],2[kxm/img0781.jpg],3[kxm/img0753.jpg],4[kxm/img0760.jpg],4[kxm/img0449.jpg],3[kxm/img0368.jpg],2[kxm/img0112.jpg],4[kxm/img0144.jpg],3[kxm/img0620.jpg],3[kxm/img0444.jpg],4[kxm/img0425.jpg],3[kxm/img0095.jpg],2[kxm/img0626.jpg],4[kxm/img0165.jpg],4[kxm/img0766.jpg],4[kxm/img0336.jpg],3[kxm/img0824.jpg],3[kxm/img0009.jpg],1[kxm/img0562.jpg],4[kxm/img0773.jpg],3[kxm/img0457.jpg],3[kxm/img0558.jpg*],3[kxm/img0480.jpg],2[kxm/img0023.jpg],4[kxm/img0283.jpg],3[kxm/img0363.jpg],4[kxm/img0726.jpg],3[kxm/img0077.jpg],3[kxm/img0673.jpg],4[kxm/img0049.jpg],4[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3RKNTXVS3MZFOGIW5FIOOK7Y50M4A9,AWQDOOSNH42QM,Approved,"Sat Apr 09 06:26:14 PDT 2016","Sat Apr 09 06:28:42 PDT 2016",5[kxm/img0211.jpg],5[kxm/img0781.jpg],5[kxm/img0753.jpg],5[kxm/img0760.jpg],5[kxm/img0449.jpg],5[kxm/img0368.jpg],5[kxm/img0112.jpg],5[kxm/img0144.jpg],5[kxm/img0620.jpg],5[kxm/img0444.jpg],5[kxm/img0425.jpg],5[kxm/img0095.jpg],5[kxm/img0626.jpg],5[kxm/img0165.jpg],5[kxm/img0766.jpg],5[kxm/img0336.jpg],5[kxm/img0824.jpg],5[kxm/img0009.jpg],5[kxm/img0562.jpg],4[kxm/img0773.jpg],5[kxm/img0457.jpg],5[kxm/img0558.jpg*],5[kxm/img0480.jpg],5[kxm/img0023.jpg],5[kxm/img0283.jpg],5[kxm/img0363.jpg],5[kxm/img0726.jpg],5[kxm/img0077.jpg],5[kxm/img0673.jpg],5[kxm/img0049.jpg],5[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",3VZLGYJEYLB7NQEE1I0S2OV57NQXZO,A285E5FTA8GGID,Approved,"Sun Apr 10 22:22:16 PDT 2016","Sun Apr 10 22:25:44 PDT 2016",2[kxm/img0211.jpg],4[kxm/img0781.jpg],2[kxm/img0753.jpg],2[kxm/img0760.jpg],4[kxm/img0449.jpg],1[kxm/img0368.jpg],4[kxm/img0112.jpg],4[kxm/img0144.jpg],5[kxm/img0620.jpg],2[kxm/img0444.jpg],4[kxm/img0425.jpg],4[kxm/img0095.jpg],5[kxm/img0626.jpg],1[kxm/img0165.jpg],2[kxm/img0766.jpg],2[kxm/img0336.jpg],1[kxm/img0824.jpg],1[kxm/img0009.jpg],4[kxm/img0562.jpg],4[kxm/img0773.jpg],5[kxm/img0457.jpg],4[kxm/img0558.jpg*],1[kxm/img0480.jpg],1[kxm/img0023.jpg],4[kxm/img0283.jpg],5[kxm/img0363.jpg],4[kxm/img0726.jpg],4[kxm/img0077.jpg],5[kxm/img0673.jpg],4[kxm/img0049.jpg],3[kxm/img0814.jpg],
39XCQ6V3KY5TADCZ35FLPNF8TFO566,"kxm_210-239","sample#command",345LHZDEDXTELTDQB6UWEGRMYB63U3,ACN8N7V5QNSSS,Approved,"Mon Apr 11 08:38:30 PDT 2016","Mon Apr 11 08:40:38 PDT 2016",5[kxm/img0211.jpg],5[kxm/img0781.jpg],5[kxm/img0753.jpg],4[kxm/img0760.jpg],3[kxm/img0449.jpg],4[kxm/img0368.jpg],3[kxm/img0112.jpg],3[kxm/img0144.jpg],3[kxm/img0620.jpg],3[kxm/img0444.jpg],4[kxm/img0425.jpg],3[kxm/img0095.jpg],4[kxm/img0626.jpg],5[kxm/img0165.jpg],3[kxm/img0766.jpg],3[kxm/img0336.jpg],3[kxm/img0824.jpg],3[kxm/img0009.jpg],3[kxm/img0562.jpg],3[kxm/img0773.jpg],3[kxm/img0457.jpg],3[kxm/img0558.jpg*],2[kxm/img0480.jpg],3[kxm/img0023.jpg],3[kxm/img0283.jpg],4[kxm/img0363.jpg],4[kxm/img0726.jpg],4[kxm/img0077.jpg],4[kxm/img0673.jpg],4[kxm/img0049.jpg],5[kxm/img0814.jpg],
