HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3VHHR074H3IT3MRJ445L0A7JQ61L72,AWQDOOSNH42QM,Approved,"Thu Apr 07 07:30:29 PDT 2016","Thu Apr 07 07:31:34 PDT 2016",5[kxm/img0038.jpg],5[kxm/img0739.jpg],5[kxm/img0512.jpg],2[kxm/img0618.jpg],5[kxm/img0134.jpg],5[kxm/img0187.jpg],5[kxm/img0607.jpg],5[kxm/img0454.jpg],5[kxm/img0389.jpg],5[kxm/img0440.jpg],5[kxm/img0403.jpg],5[kxm/img0430.jpg],5[kxm/img0296.jpg],5[kxm/img0139.jpg],4[kxm/img0622.jpg],5[kxm/img0740.jpg],4[kxm/img0310.jpg],3[kxm/img0328.jpg],4[kxm/img0712.jpg],4[kxm/img0856.jpg],5[kxm/img0286.jpg],5[kxm/img0225.jpg],5[kxm/img0439.jpg],5[kxm/img0472.jpg],5[kxm/img0563.jpg],5[kxm/img0099.jpg],5[kxm/img0073.jpg*],5[kxm/img0713.jpg],5[kxm/img0214.jpg],5[kxm/img0624.jpg],4[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3GLB5JMZFXWTY3ESKQBRNAC7G0QGDS,A3B2O3SOMXJ2OF,Approved,"Thu Apr 07 07:57:27 PDT 2016","Thu Apr 07 08:01:15 PDT 2016",2[kxm/img0038.jpg],3[kxm/img0739.jpg],2[kxm/img0512.jpg],1[kxm/img0618.jpg],3[kxm/img0134.jpg],2[kxm/img0187.jpg],3[kxm/img0607.jpg],1[kxm/img0454.jpg],4[kxm/img0389.jpg],3[kxm/img0440.jpg],5[kxm/img0403.jpg],5[kxm/img0430.jpg],4[kxm/img0296.jpg],3[kxm/img0139.jpg],2[kxm/img0622.jpg],3[kxm/img0740.jpg],5[kxm/img0310.jpg],4[kxm/img0328.jpg],3[kxm/img0712.jpg],3[kxm/img0856.jpg],3[kxm/img0286.jpg],2[kxm/img0225.jpg],3[kxm/img0439.jpg],3[kxm/img0472.jpg],4[kxm/img0563.jpg],3[kxm/img0099.jpg],1[kxm/img0073.jpg*],4[kxm/img0713.jpg],4[kxm/img0214.jpg],4[kxm/img0624.jpg],4[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",31HQ4X3T3SBFMKBBS73WV13FDNQSLE,A39BR7NYRDWC01,Approved,"Thu Apr 07 16:40:52 PDT 2016","Thu Apr 07 16:43:18 PDT 2016",4[kxm/img0038.jpg],5[kxm/img0739.jpg],4[kxm/img0512.jpg],2[kxm/img0618.jpg],4[kxm/img0134.jpg],5[kxm/img0187.jpg],2[kxm/img0607.jpg],5[kxm/img0454.jpg],4[kxm/img0389.jpg],5[kxm/img0440.jpg],3[kxm/img0403.jpg],5[kxm/img0430.jpg],5[kxm/img0296.jpg],3[kxm/img0139.jpg],2[kxm/img0622.jpg],4[kxm/img0740.jpg],4[kxm/img0310.jpg],3[kxm/img0328.jpg],3[kxm/img0712.jpg],5[kxm/img0856.jpg],5[kxm/img0286.jpg],4[kxm/img0225.jpg],5[kxm/img0439.jpg],4[kxm/img0472.jpg],3[kxm/img0563.jpg],5[kxm/img0099.jpg],4[kxm/img0073.jpg*],3[kxm/img0713.jpg],3[kxm/img0214.jpg],5[kxm/img0624.jpg],3[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",33OOO72IVHMNYGUK4UFN2N9ELZXTCZ,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:27:12 PDT 2016","Fri Apr 08 08:30:35 PDT 2016",2[kxm/img0038.jpg],4[kxm/img0739.jpg],2[kxm/img0512.jpg],2[kxm/img0618.jpg],2[kxm/img0134.jpg],2[kxm/img0187.jpg],4[kxm/img0607.jpg],2[kxm/img0454.jpg],4[kxm/img0389.jpg],2[kxm/img0440.jpg],4[kxm/img0403.jpg],5[kxm/img0430.jpg],2[kxm/img0296.jpg],2[kxm/img0139.jpg],2[kxm/img0622.jpg],4[kxm/img0740.jpg],4[kxm/img0310.jpg],4[kxm/img0328.jpg],4[kxm/img0712.jpg],2[kxm/img0856.jpg],2[kxm/img0286.jpg],3[kxm/img0225.jpg],5[kxm/img0439.jpg],2[kxm/img0472.jpg],4[kxm/img0563.jpg],4[kxm/img0099.jpg],4[kxm/img0073.jpg*],5[kxm/img0713.jpg],4[kxm/img0214.jpg],4[kxm/img0624.jpg],5[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3D3VGR7TA0GM51L97CZR9542R2YR3Z,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 10:08:04 PDT 2016","Fri Apr 08 10:10:08 PDT 2016",3[kxm/img0038.jpg],3[kxm/img0739.jpg],2[kxm/img0512.jpg],2[kxm/img0618.jpg],3[kxm/img0134.jpg],2[kxm/img0187.jpg],3[kxm/img0607.jpg],4[kxm/img0454.jpg],4[kxm/img0389.jpg],1[kxm/img0440.jpg],3[kxm/img0403.jpg],4[kxm/img0430.jpg],3[kxm/img0296.jpg],3[kxm/img0139.jpg],3[kxm/img0622.jpg],3[kxm/img0740.jpg],3[kxm/img0310.jpg],3[kxm/img0328.jpg],4[kxm/img0712.jpg],4[kxm/img0856.jpg],2[kxm/img0286.jpg],3[kxm/img0225.jpg],4[kxm/img0439.jpg],2[kxm/img0472.jpg],2[kxm/img0563.jpg],2[kxm/img0099.jpg],3[kxm/img0073.jpg*],3[kxm/img0713.jpg],3[kxm/img0214.jpg],3[kxm/img0624.jpg],4[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3P4RDNWND57KXGKFKAX5BKK005ZJI1,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:43:16 PDT 2016","Fri Apr 08 22:45:43 PDT 2016",4[kxm/img0038.jpg],4[kxm/img0739.jpg],4[kxm/img0512.jpg],3[kxm/img0618.jpg],3[kxm/img0134.jpg],4[kxm/img0187.jpg],4[kxm/img0607.jpg],5[kxm/img0454.jpg],4[kxm/img0389.jpg],4[kxm/img0440.jpg],2[kxm/img0403.jpg],4[kxm/img0430.jpg],3[kxm/img0296.jpg],4[kxm/img0139.jpg],3[kxm/img0622.jpg],4[kxm/img0740.jpg],3[kxm/img0310.jpg],3[kxm/img0328.jpg],4[kxm/img0712.jpg],3[kxm/img0856.jpg],4[kxm/img0286.jpg],4[kxm/img0225.jpg],5[kxm/img0439.jpg],4[kxm/img0472.jpg],3[kxm/img0563.jpg],4[kxm/img0099.jpg],1[kxm/img0073.jpg*],4[kxm/img0713.jpg],4[kxm/img0214.jpg],4[kxm/img0624.jpg],3[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3UJ1CZ6IZHQ1KV8Q0KNPEC7IR33S5F,A39PT6IK8BV4V,Approved,"Sat Apr 09 09:32:55 PDT 2016","Sat Apr 09 09:36:51 PDT 2016",4[kxm/img0038.jpg],2[kxm/img0739.jpg],2[kxm/img0512.jpg],2[kxm/img0618.jpg],2[kxm/img0134.jpg],4[kxm/img0187.jpg],1[kxm/img0607.jpg],2[kxm/img0454.jpg],2[kxm/img0389.jpg],2[kxm/img0440.jpg],1[kxm/img0403.jpg],2[kxm/img0430.jpg],2[kxm/img0296.jpg],2[kxm/img0139.jpg],1[kxm/img0622.jpg],1[kxm/img0740.jpg],2[kxm/img0310.jpg],1[kxm/img0328.jpg],2[kxm/img0712.jpg],4[kxm/img0856.jpg],2[kxm/img0286.jpg],3[kxm/img0225.jpg],4[kxm/img0439.jpg],2[kxm/img0472.jpg],2[kxm/img0563.jpg],2[kxm/img0099.jpg],1[kxm/img0073.jpg*],2[kxm/img0713.jpg],1[kxm/img0214.jpg],2[kxm/img0624.jpg],3[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3AAJC4I4FGT6S69PKELRBFNQWMYJZ3,A2QHW6YQY7VGHJ,Approved,"Sat Apr 09 21:46:30 PDT 2016","Sat Apr 09 21:48:38 PDT 2016",4[kxm/img0038.jpg],4[kxm/img0739.jpg],4[kxm/img0512.jpg],4[kxm/img0618.jpg],2[kxm/img0134.jpg],3[kxm/img0187.jpg],4[kxm/img0607.jpg],5[kxm/img0454.jpg],5[kxm/img0389.jpg],4[kxm/img0440.jpg],4[kxm/img0403.jpg],4[kxm/img0430.jpg],4[kxm/img0296.jpg],4[kxm/img0139.jpg],1[kxm/img0622.jpg],4[kxm/img0740.jpg],2[kxm/img0310.jpg],4[kxm/img0328.jpg],4[kxm/img0712.jpg],1[kxm/img0856.jpg],4[kxm/img0286.jpg],4[kxm/img0225.jpg],4[kxm/img0439.jpg],4[kxm/img0472.jpg],3[kxm/img0563.jpg],4[kxm/img0099.jpg],3[kxm/img0073.jpg*],4[kxm/img0713.jpg],4[kxm/img0214.jpg],4[kxm/img0624.jpg],3[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3ZSY5X72NXCBRQEVQAJJX82DM0XROB,A1PGDPGDI4XITB,Approved,"Sun Apr 10 00:52:37 PDT 2016","Sun Apr 10 00:55:15 PDT 2016",2[kxm/img0038.jpg],5[kxm/img0739.jpg],5[kxm/img0512.jpg],4[kxm/img0618.jpg],3[kxm/img0134.jpg],5[kxm/img0187.jpg],3[kxm/img0607.jpg],2[kxm/img0454.jpg],5[kxm/img0389.jpg],5[kxm/img0440.jpg],5[kxm/img0403.jpg],4[kxm/img0430.jpg],5[kxm/img0296.jpg],4[kxm/img0139.jpg],2[kxm/img0622.jpg],4[kxm/img0740.jpg],4[kxm/img0310.jpg],1[kxm/img0328.jpg],4[kxm/img0712.jpg],5[kxm/img0856.jpg],5[kxm/img0286.jpg],2[kxm/img0225.jpg],5[kxm/img0439.jpg],3[kxm/img0472.jpg],4[kxm/img0563.jpg],5[kxm/img0099.jpg],2[kxm/img0073.jpg*],4[kxm/img0713.jpg],4[kxm/img0214.jpg],5[kxm/img0624.jpg],5[kxm/img0367.jpg],
3AFT28WXLF3VB7DIALK9VW54J1OOIO,"kxm_30-59","sample#command",3DI28L7YXAF1MU2PY218M5QME1TE1W,A9N7QYMG6KIHD,Approved,"Sun Apr 10 08:39:56 PDT 2016","Sun Apr 10 08:44:43 PDT 2016",4[kxm/img0038.jpg],4[kxm/img0739.jpg],3[kxm/img0512.jpg],1[kxm/img0618.jpg],2[kxm/img0134.jpg],4[kxm/img0187.jpg],2[kxm/img0607.jpg],2[kxm/img0454.jpg],4[kxm/img0389.jpg],3[kxm/img0440.jpg],2[kxm/img0403.jpg],5[kxm/img0430.jpg],3[kxm/img0296.jpg],4[kxm/img0139.jpg],1[kxm/img0622.jpg],3[kxm/img0740.jpg],3[kxm/img0310.jpg],2[kxm/img0328.jpg],4[kxm/img0712.jpg],2[kxm/img0856.jpg],1[kxm/img0286.jpg],1[kxm/img0225.jpg],4[kxm/img0439.jpg],1[kxm/img0472.jpg],4[kxm/img0563.jpg],3[kxm/img0099.jpg],1[kxm/img0073.jpg*],4[kxm/img0713.jpg],4[kxm/img0214.jpg],4[kxm/img0624.jpg],2[kxm/img0367.jpg],
