HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",3MRNMEIQW579KVSTVH8702HFCJQLDL,A1ESKJFDQUMBL4,Approved,"Thu Apr 07 10:12:37 PDT 2016","Thu Apr 07 10:19:21 PDT 2016",2[kxm/img0625.jpg],2[kxm/img0256.jpg],2[kxm/img0831.jpg*],3[kxm/img0463.jpg],4[kxm/img0428.jpg],4[kxm/img0473.jpg],3[kxm/img0411.jpg],4[kxm/img0717.jpg],3[kxm/img0802.jpg],3[kxm/img0667.jpg],3[kxm/img0826.jpg],1[kxm/img0745.jpg],2[kxm/img0114.jpg],2[kxm/img0596.jpg],3[kxm/img0768.jpg],2[kxm/img0786.jpg],3[kxm/img0044.jpg],2[kxm/img0812.jpg],3[kxm/img0735.jpg],5[kxm/img0076.jpg],4[kxm/img0108.jpg],3[kxm/img0676.jpg],3[kxm/img0229.jpg],4[kxm/img0280.jpg],3[kxm/img0749.jpg],4[kxm/img0339.jpg],3[kxm/img0371.jpg],3[kxm/img0353.jpg],3[kxm/img0451.jpg],2[kxm/img0522.jpg],3[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",3I2PTA7R3TVSPYEGF32QL1BZ6ZIKQW,A39BR7NYRDWC01,Approved,"Thu Apr 07 13:52:05 PDT 2016","Thu Apr 07 13:56:40 PDT 2016",5[kxm/img0625.jpg],5[kxm/img0256.jpg],5[kxm/img0831.jpg*],2[kxm/img0463.jpg],4[kxm/img0428.jpg],5[kxm/img0473.jpg],3[kxm/img0411.jpg],4[kxm/img0717.jpg],2[kxm/img0802.jpg],5[kxm/img0667.jpg],5[kxm/img0826.jpg],3[kxm/img0745.jpg],4[kxm/img0114.jpg],5[kxm/img0596.jpg],4[kxm/img0768.jpg],4[kxm/img0786.jpg],5[kxm/img0044.jpg],5[kxm/img0812.jpg],4[kxm/img0735.jpg],5[kxm/img0076.jpg],4[kxm/img0108.jpg],5[kxm/img0676.jpg],3[kxm/img0229.jpg],5[kxm/img0280.jpg],3[kxm/img0749.jpg],3[kxm/img0339.jpg],4[kxm/img0371.jpg],5[kxm/img0353.jpg],5[kxm/img0451.jpg],5[kxm/img0522.jpg],4[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",3F6KKYWMNB2Z8VVE7UOMDUL4HGCDN5,A1XC5OV00MECKQ,Approved,"Thu Apr 07 21:52:59 PDT 2016","Thu Apr 07 22:02:03 PDT 2016",1[kxm/img0625.jpg],3[kxm/img0256.jpg],5[kxm/img0831.jpg*],4[kxm/img0463.jpg],4[kxm/img0428.jpg],5[kxm/img0473.jpg],1[kxm/img0411.jpg],5[kxm/img0717.jpg],1[kxm/img0802.jpg],5[kxm/img0667.jpg],3[kxm/img0826.jpg],1[kxm/img0745.jpg],5[kxm/img0114.jpg],3[kxm/img0596.jpg],1[kxm/img0768.jpg],5[kxm/img0786.jpg],5[kxm/img0044.jpg],5[kxm/img0812.jpg],4[kxm/img0735.jpg],5[kxm/img0076.jpg],5[kxm/img0108.jpg],1[kxm/img0676.jpg],5[kxm/img0229.jpg],2[kxm/img0280.jpg],2[kxm/img0749.jpg],4[kxm/img0339.jpg],5[kxm/img0371.jpg],4[kxm/img0353.jpg],3[kxm/img0451.jpg],4[kxm/img0522.jpg],4[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",379J5II41OHEC16TRCJR6KZ0CXOEL8,A1GHLU2WTSFD37,Approved,"Fri Apr 08 02:01:08 PDT 2016","Fri Apr 08 02:04:02 PDT 2016",2[kxm/img0625.jpg],5[kxm/img0256.jpg],3[kxm/img0831.jpg*],2[kxm/img0463.jpg],2[kxm/img0428.jpg],4[kxm/img0473.jpg],3[kxm/img0411.jpg],2[kxm/img0717.jpg],2[kxm/img0802.jpg],5[kxm/img0667.jpg],4[kxm/img0826.jpg],2[kxm/img0745.jpg],2[kxm/img0114.jpg],5[kxm/img0596.jpg],4[kxm/img0768.jpg],4[kxm/img0786.jpg],2[kxm/img0044.jpg],3[kxm/img0812.jpg],5[kxm/img0735.jpg],5[kxm/img0076.jpg],4[kxm/img0108.jpg],1[kxm/img0676.jpg],2[kxm/img0229.jpg],2[kxm/img0280.jpg],5[kxm/img0749.jpg],3[kxm/img0339.jpg],2[kxm/img0371.jpg],2[kxm/img0353.jpg],1[kxm/img0451.jpg],3[kxm/img0522.jpg],4[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",35USIKEBNRH0NMGZX7G87OBC0U26NJ,A20NDRGSZZRQF,Approved,"Fri Apr 08 02:56:52 PDT 2016","Fri Apr 08 03:01:16 PDT 2016",5[kxm/img0625.jpg],5[kxm/img0256.jpg],5[kxm/img0831.jpg*],5[kxm/img0463.jpg],5[kxm/img0428.jpg],5[kxm/img0473.jpg],5[kxm/img0411.jpg],5[kxm/img0717.jpg],5[kxm/img0802.jpg],5[kxm/img0667.jpg],5[kxm/img0826.jpg],5[kxm/img0745.jpg],5[kxm/img0114.jpg],5[kxm/img0596.jpg],5[kxm/img0768.jpg],5[kxm/img0786.jpg],5[kxm/img0044.jpg],5[kxm/img0812.jpg],5[kxm/img0735.jpg],5[kxm/img0076.jpg],5[kxm/img0108.jpg],5[kxm/img0676.jpg],5[kxm/img0229.jpg],5[kxm/img0280.jpg],5[kxm/img0749.jpg],5[kxm/img0339.jpg],4[kxm/img0371.jpg],5[kxm/img0353.jpg],3[kxm/img0451.jpg],2[kxm/img0522.jpg],5[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",3XCC1ODXDLCEC2RB5NBNMDXD1TARQY,A25QEOBUEVJ750,Approved,"Fri Apr 08 04:16:16 PDT 2016","Fri Apr 08 04:17:33 PDT 2016",3[kxm/img0625.jpg],5[kxm/img0256.jpg],4[kxm/img0831.jpg*],5[kxm/img0463.jpg],3[kxm/img0428.jpg],4[kxm/img0473.jpg],3[kxm/img0411.jpg],4[kxm/img0717.jpg],3[kxm/img0802.jpg],3[kxm/img0667.jpg],5[kxm/img0826.jpg],3[kxm/img0745.jpg],3[kxm/img0114.jpg],4[kxm/img0596.jpg],5[kxm/img0768.jpg],4[kxm/img0786.jpg],3[kxm/img0044.jpg],4[kxm/img0812.jpg],3[kxm/img0735.jpg],3[kxm/img0076.jpg],4[kxm/img0108.jpg],3[kxm/img0676.jpg],4[kxm/img0229.jpg],3[kxm/img0280.jpg],4[kxm/img0749.jpg],4[kxm/img0339.jpg],3[kxm/img0371.jpg],3[kxm/img0353.jpg],3[kxm/img0451.jpg],3[kxm/img0522.jpg],4[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",32N49TQG3GJEIT1BPBJBXA7BIHPAVR,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 07:37:58 PDT 2016","Fri Apr 08 07:41:23 PDT 2016",4[kxm/img0625.jpg],4[kxm/img0256.jpg],3[kxm/img0831.jpg*],4[kxm/img0463.jpg],2[kxm/img0428.jpg],3[kxm/img0473.jpg],4[kxm/img0411.jpg],5[kxm/img0717.jpg],5[kxm/img0802.jpg],3[kxm/img0667.jpg],4[kxm/img0826.jpg],1[kxm/img0745.jpg],2[kxm/img0114.jpg],3[kxm/img0596.jpg],3[kxm/img0768.jpg],2[kxm/img0786.jpg],3[kxm/img0044.jpg],2[kxm/img0812.jpg],2[kxm/img0735.jpg],3[kxm/img0076.jpg],2[kxm/img0108.jpg],1[kxm/img0676.jpg],2[kxm/img0229.jpg],1[kxm/img0280.jpg],2[kxm/img0749.jpg],1[kxm/img0339.jpg],5[kxm/img0371.jpg],2[kxm/img0353.jpg],5[kxm/img0451.jpg],2[kxm/img0522.jpg],2[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",33PPO7FECVG7UUKNAEBU8MPNVIUID8,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:35:44 PDT 2016","Fri Apr 08 08:36:11 PDT 2016",5[kxm/img0625.jpg],4[kxm/img0256.jpg],4[kxm/img0831.jpg*],5[kxm/img0463.jpg],4[kxm/img0428.jpg],4[kxm/img0473.jpg],5[kxm/img0411.jpg],4[kxm/img0717.jpg],3[kxm/img0802.jpg],4[kxm/img0667.jpg],5[kxm/img0826.jpg],4[kxm/img0745.jpg],5[kxm/img0114.jpg],5[kxm/img0596.jpg],4[kxm/img0768.jpg],4[kxm/img0786.jpg],4[kxm/img0044.jpg],4[kxm/img0812.jpg],5[kxm/img0735.jpg],4[kxm/img0076.jpg],5[kxm/img0108.jpg],4[kxm/img0676.jpg],2[kxm/img0229.jpg],5[kxm/img0280.jpg],4[kxm/img0749.jpg],4[kxm/img0339.jpg],1[kxm/img0371.jpg],4[kxm/img0353.jpg],5[kxm/img0451.jpg],3[kxm/img0522.jpg],4[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",3NXNZ5RS1AYY2KQAF72VV1GOQKD972,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:40:26 PDT 2016","Fri Apr 08 22:42:58 PDT 2016",3[kxm/img0625.jpg],3[kxm/img0256.jpg],4[kxm/img0831.jpg*],4[kxm/img0463.jpg],4[kxm/img0428.jpg],3[kxm/img0473.jpg],3[kxm/img0411.jpg],4[kxm/img0717.jpg],3[kxm/img0802.jpg],4[kxm/img0667.jpg],4[kxm/img0826.jpg],1[kxm/img0745.jpg],4[kxm/img0114.jpg],4[kxm/img0596.jpg],4[kxm/img0768.jpg],4[kxm/img0786.jpg],3[kxm/img0044.jpg],4[kxm/img0812.jpg],5[kxm/img0735.jpg],4[kxm/img0076.jpg],4[kxm/img0108.jpg],3[kxm/img0676.jpg],4[kxm/img0229.jpg],4[kxm/img0280.jpg],4[kxm/img0749.jpg],4[kxm/img0339.jpg],2[kxm/img0371.jpg],4[kxm/img0353.jpg],3[kxm/img0451.jpg],3[kxm/img0522.jpg],4[kxm/img0420.jpg],
3DIIW4IV8PWR7E30R150HYZZ2AO4IU,"kxm_150-179","sample#command",3M0NZ3JDP1ZYL7U4VCHXA54LEHNZ59,AWQDOOSNH42QM,Approved,"Sat Apr 09 06:26:26 PDT 2016","Sat Apr 09 06:28:24 PDT 2016",5[kxm/img0625.jpg],5[kxm/img0256.jpg],5[kxm/img0831.jpg*],5[kxm/img0463.jpg],5[kxm/img0428.jpg],5[kxm/img0473.jpg],5[kxm/img0411.jpg],5[kxm/img0717.jpg],5[kxm/img0802.jpg],5[kxm/img0667.jpg],5[kxm/img0826.jpg],2[kxm/img0745.jpg],3[kxm/img0114.jpg],5[kxm/img0596.jpg],4[kxm/img0768.jpg],5[kxm/img0786.jpg],5[kxm/img0044.jpg],5[kxm/img0812.jpg],5[kxm/img0735.jpg],5[kxm/img0076.jpg],5[kxm/img0108.jpg],5[kxm/img0676.jpg],5[kxm/img0229.jpg],5[kxm/img0280.jpg],5[kxm/img0749.jpg],5[kxm/img0339.jpg],5[kxm/img0371.jpg],5[kxm/img0353.jpg],5[kxm/img0451.jpg],5[kxm/img0522.jpg],5[kxm/img0420.jpg],
