HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",31N2WW6R9RRP2BG0GHZXSGQJO8L3F2,AWQDOOSNH42QM,Approved,"Thu Apr 07 06:55:07 PDT 2016","Thu Apr 07 06:58:14 PDT 2016",4[kxm/img0263.jpg],5[kxm/img0831.jpg],5[kxm/img0147.jpg],5[kxm/img0519.jpg],3[kxm/img0655.jpg],5[kxm/img0236.jpg],5[kxm/img0375.jpg],5[kxm/img0433.jpg],5[kxm/img0155.jpg],5[kxm/img0304.jpg],5[kxm/img0392.jpg],4[kxm/img0249.jpg],4[kxm/img0276.jpg],5[kxm/img0132.jpg],5[kxm/img0516.jpg],5[kxm/img0208.jpg],3[kxm/img0665.jpg],4[kxm/img0265.jpg],5[kxm/img0001.jpg*],5[kxm/img0287.jpg],5[kxm/img0054.jpg],5[kxm/img0582.jpg],1[kxm/img0122.jpg],5[kxm/img0167.jpg],2[kxm/img0279.jpg],5[kxm/img0783.jpg],5[kxm/img0261.jpg],2[kxm/img0091.jpg],5[kxm/img0663.jpg],4[kxm/img0747.jpg],5[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3WR9XG3T63CX5EKYYC64ET584LY47M,A1ESKJFDQUMBL4,Approved,"Thu Apr 07 08:46:57 PDT 2016","Thu Apr 07 08:57:15 PDT 2016",3[kxm/img0263.jpg],3[kxm/img0831.jpg],4[kxm/img0147.jpg],4[kxm/img0519.jpg],2[kxm/img0655.jpg],2[kxm/img0236.jpg],2[kxm/img0375.jpg],4[kxm/img0433.jpg],2[kxm/img0155.jpg],2[kxm/img0304.jpg],5[kxm/img0392.jpg],2[kxm/img0249.jpg],4[kxm/img0276.jpg],1[kxm/img0132.jpg],4[kxm/img0516.jpg],2[kxm/img0208.jpg],2[kxm/img0665.jpg],2[kxm/img0265.jpg],3[kxm/img0001.jpg*],3[kxm/img0287.jpg],3[kxm/img0054.jpg],2[kxm/img0582.jpg],2[kxm/img0122.jpg],2[kxm/img0167.jpg],1[kxm/img0279.jpg],3[kxm/img0783.jpg],2[kxm/img0261.jpg],3[kxm/img0091.jpg],3[kxm/img0663.jpg],2[kxm/img0747.jpg],4[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3BV8HQ2ZZW2T33MAO3B3LIRC1MU6AO,A39BR7NYRDWC01,Approved,"Thu Apr 07 16:35:40 PDT 2016","Thu Apr 07 16:38:22 PDT 2016",2[kxm/img0263.jpg],4[kxm/img0831.jpg],4[kxm/img0147.jpg],4[kxm/img0519.jpg],4[kxm/img0655.jpg],5[kxm/img0236.jpg],2[kxm/img0375.jpg],3[kxm/img0433.jpg],4[kxm/img0155.jpg],4[kxm/img0304.jpg],4[kxm/img0392.jpg],4[kxm/img0249.jpg],4[kxm/img0276.jpg],5[kxm/img0132.jpg],5[kxm/img0516.jpg],4[kxm/img0208.jpg],3[kxm/img0665.jpg],5[kxm/img0265.jpg],4[kxm/img0001.jpg*],5[kxm/img0287.jpg],4[kxm/img0054.jpg],5[kxm/img0582.jpg],1[kxm/img0122.jpg],4[kxm/img0167.jpg],4[kxm/img0279.jpg],5[kxm/img0783.jpg],3[kxm/img0261.jpg],3[kxm/img0091.jpg],5[kxm/img0663.jpg],3[kxm/img0747.jpg],5[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3HUTX6F6VUOUN6XABK4IW0U5AZVO2P,A1XC5OV00MECKQ,Approved,"Thu Apr 07 22:33:30 PDT 2016","Thu Apr 07 22:36:13 PDT 2016",4[kxm/img0263.jpg],2[kxm/img0831.jpg],2[kxm/img0147.jpg],4[kxm/img0519.jpg],3[kxm/img0655.jpg],2[kxm/img0236.jpg],2[kxm/img0375.jpg],2[kxm/img0433.jpg],4[kxm/img0155.jpg],3[kxm/img0304.jpg],3[kxm/img0392.jpg],5[kxm/img0249.jpg],4[kxm/img0276.jpg],3[kxm/img0132.jpg],4[kxm/img0516.jpg],3[kxm/img0208.jpg],2[kxm/img0665.jpg],2[kxm/img0265.jpg],2[kxm/img0001.jpg*],5[kxm/img0287.jpg],3[kxm/img0054.jpg],3[kxm/img0582.jpg],2[kxm/img0122.jpg],3[kxm/img0167.jpg],2[kxm/img0279.jpg],4[kxm/img0783.jpg],3[kxm/img0261.jpg],3[kxm/img0091.jpg],3[kxm/img0663.jpg],2[kxm/img0747.jpg],3[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3QRYMNZ7FYI6PKRBTKO1IY3QK3ATNG,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:19:55 PDT 2016","Fri Apr 08 08:21:44 PDT 2016",4[kxm/img0263.jpg],2[kxm/img0831.jpg],4[kxm/img0147.jpg],4[kxm/img0519.jpg],4[kxm/img0655.jpg],2[kxm/img0236.jpg],3[kxm/img0375.jpg],4[kxm/img0433.jpg],4[kxm/img0155.jpg],4[kxm/img0304.jpg],5[kxm/img0392.jpg],5[kxm/img0249.jpg],4[kxm/img0276.jpg],4[kxm/img0132.jpg],5[kxm/img0516.jpg],5[kxm/img0208.jpg],4[kxm/img0665.jpg],4[kxm/img0265.jpg],4[kxm/img0001.jpg*],2[kxm/img0287.jpg],4[kxm/img0054.jpg],4[kxm/img0582.jpg],2[kxm/img0122.jpg],2[kxm/img0167.jpg],1[kxm/img0279.jpg],1[kxm/img0783.jpg],4[kxm/img0261.jpg],2[kxm/img0091.jpg],4[kxm/img0663.jpg],4[kxm/img0747.jpg],4[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3D3VGR7TA0GM51L97CZR9542R373RM,AFHS2E60LZC6X,Approved,"Fri Apr 08 16:43:27 PDT 2016","Fri Apr 08 16:45:25 PDT 2016",5[kxm/img0263.jpg],1[kxm/img0831.jpg],4[kxm/img0147.jpg],4[kxm/img0519.jpg],4[kxm/img0655.jpg],1[kxm/img0236.jpg],5[kxm/img0375.jpg],4[kxm/img0433.jpg],3[kxm/img0155.jpg],2[kxm/img0304.jpg],3[kxm/img0392.jpg],5[kxm/img0249.jpg],5[kxm/img0276.jpg],1[kxm/img0132.jpg],4[kxm/img0516.jpg],5[kxm/img0208.jpg],5[kxm/img0665.jpg],1[kxm/img0265.jpg],1[kxm/img0001.jpg*],1[kxm/img0287.jpg],3[kxm/img0054.jpg],4[kxm/img0582.jpg],1[kxm/img0122.jpg],1[kxm/img0167.jpg],1[kxm/img0279.jpg],1[kxm/img0783.jpg],5[kxm/img0261.jpg],3[kxm/img0091.jpg],1[kxm/img0663.jpg],1[kxm/img0747.jpg],3[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3NL0RFNU0FOL0TRIH6VDIYAUACX4K5,AJRCRDPKD4TL4,Approved,"Fri Apr 08 22:12:59 PDT 2016","Fri Apr 08 22:16:56 PDT 2016",4[kxm/img0263.jpg],3[kxm/img0831.jpg],4[kxm/img0147.jpg],4[kxm/img0519.jpg],5[kxm/img0655.jpg],5[kxm/img0236.jpg],4[kxm/img0375.jpg],4[kxm/img0433.jpg],2[kxm/img0155.jpg],2[kxm/img0304.jpg],5[kxm/img0392.jpg],5[kxm/img0249.jpg],5[kxm/img0276.jpg],3[kxm/img0132.jpg],2[kxm/img0516.jpg],5[kxm/img0208.jpg],2[kxm/img0665.jpg],3[kxm/img0265.jpg],3[kxm/img0001.jpg*],3[kxm/img0287.jpg],4[kxm/img0054.jpg],2[kxm/img0582.jpg],1[kxm/img0122.jpg],1[kxm/img0167.jpg],1[kxm/img0279.jpg],1[kxm/img0783.jpg],5[kxm/img0261.jpg],1[kxm/img0091.jpg],3[kxm/img0663.jpg],2[kxm/img0747.jpg],2[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",31LVTDXBL7B3L5BYDI3R5RYJRQULRG,A7JIY8AH7GTEF,Approved,"Sat Apr 09 02:15:47 PDT 2016","Sat Apr 09 02:18:22 PDT 2016",4[kxm/img0263.jpg],4[kxm/img0831.jpg],4[kxm/img0147.jpg],3[kxm/img0519.jpg],3[kxm/img0655.jpg],3[kxm/img0236.jpg],3[kxm/img0375.jpg],4[kxm/img0433.jpg],4[kxm/img0155.jpg],4[kxm/img0304.jpg],3[kxm/img0392.jpg],3[kxm/img0249.jpg],3[kxm/img0276.jpg],4[kxm/img0132.jpg],4[kxm/img0516.jpg],2[kxm/img0208.jpg],4[kxm/img0665.jpg],4[kxm/img0265.jpg],4[kxm/img0001.jpg*],4[kxm/img0287.jpg],4[kxm/img0054.jpg],4[kxm/img0582.jpg],1[kxm/img0122.jpg],4[kxm/img0167.jpg],1[kxm/img0279.jpg],3[kxm/img0783.jpg],3[kxm/img0261.jpg],3[kxm/img0091.jpg],4[kxm/img0663.jpg],4[kxm/img0747.jpg],4[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3UXUOQ9OKEYC730F7DGVRWR8W3RA7G,A39PT6IK8BV4V,Approved,"Sat Apr 09 09:20:36 PDT 2016","Sat Apr 09 09:23:42 PDT 2016",4[kxm/img0263.jpg],4[kxm/img0831.jpg],2[kxm/img0147.jpg],2[kxm/img0519.jpg],1[kxm/img0655.jpg],1[kxm/img0236.jpg],2[kxm/img0375.jpg],2[kxm/img0433.jpg],2[kxm/img0155.jpg],3[kxm/img0304.jpg],4[kxm/img0392.jpg],4[kxm/img0249.jpg],3[kxm/img0276.jpg],4[kxm/img0132.jpg],4[kxm/img0516.jpg],3[kxm/img0208.jpg],2[kxm/img0665.jpg],2[kxm/img0265.jpg],2[kxm/img0001.jpg*],2[kxm/img0287.jpg],2[kxm/img0054.jpg],2[kxm/img0582.jpg],1[kxm/img0122.jpg],2[kxm/img0167.jpg],1[kxm/img0279.jpg],2[kxm/img0783.jpg],2[kxm/img0261.jpg],2[kxm/img0091.jpg],2[kxm/img0663.jpg],2[kxm/img0747.jpg],3[kxm/img0755.jpg],
3H781YYV6TJZ8UG4AJGH4RDZQGZETS,"kxm_360-389","sample#command",3FPRZHYEPY8EY82QGW41A2T5CBS3VR,A3PSIT0A7OU2FL,Approved,"Sat Apr 09 13:56:36 PDT 2016","Sat Apr 09 13:58:40 PDT 2016",2[kxm/img0263.jpg],5[kxm/img0831.jpg],3[kxm/img0147.jpg],5[kxm/img0519.jpg],4[kxm/img0655.jpg],3[kxm/img0236.jpg],5[kxm/img0375.jpg],5[kxm/img0433.jpg],5[kxm/img0155.jpg],5[kxm/img0304.jpg],5[kxm/img0392.jpg],1[kxm/img0249.jpg],2[kxm/img0276.jpg],5[kxm/img0132.jpg],4[kxm/img0516.jpg],5[kxm/img0208.jpg],3[kxm/img0665.jpg],5[kxm/img0265.jpg],5[kxm/img0001.jpg*],2[kxm/img0287.jpg],5[kxm/img0054.jpg],3[kxm/img0582.jpg],5[kxm/img0122.jpg],5[kxm/img0167.jpg],1[kxm/img0279.jpg],5[kxm/img0783.jpg],4[kxm/img0261.jpg],1[kxm/img0091.jpg],5[kxm/img0663.jpg],5[kxm/img0747.jpg],5[kxm/img0755.jpg],
