HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",3WAKVUDHUWHWMCEDDIXMRX323YXU7A,A39BR7NYRDWC01,Approved,"Thu Apr 07 09:15:14 PDT 2016","Thu Apr 07 09:18:43 PDT 2016",5[kxm/img0666.jpg],5[kxm/img0395.jpg],4[kxm/img0821.jpg],4[kxm/img0595.jpg],3[kxm/img0201.jpg],4[kxm/img0071.jpg],4[kxm/img0532.jpg],4[kxm/img0642.jpg],5[kxm/img0343.jpg],3[kxm/img0247.jpg],4[kxm/img0445.jpg],5[kxm/img0065.jpg],3[kxm/img0319.jpg],5[kxm/img0687.jpg],4[kxm/img0558.jpg*],4[kxm/img0118.jpg],5[kxm/img0744.jpg],4[kxm/img0646.jpg],5[kxm/img0613.jpg],4[kxm/img0632.jpg],4[kxm/img0724.jpg],5[kxm/img0834.jpg],4[kxm/img0120.jpg],3[kxm/img0470.jpg],3[kxm/img0840.jpg],5[kxm/img0809.jpg],5[kxm/img0559.jpg],3[kxm/img0377.jpg],5[kxm/img0424.jpg],3[kxm/img0857.jpg],5[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",3CPLWGV3MO0N55IXVEJKRY2EQS7N92,A1ESKJFDQUMBL4,Approved,"Thu Apr 07 10:00:17 PDT 2016","Thu Apr 07 10:05:42 PDT 2016",3[kxm/img0666.jpg],2[kxm/img0395.jpg],1[kxm/img0821.jpg],3[kxm/img0595.jpg],3[kxm/img0201.jpg],3[kxm/img0071.jpg],4[kxm/img0532.jpg],2[kxm/img0642.jpg],5[kxm/img0343.jpg],3[kxm/img0247.jpg],5[kxm/img0445.jpg],4[kxm/img0065.jpg],3[kxm/img0319.jpg],1[kxm/img0687.jpg],3[kxm/img0558.jpg*],3[kxm/img0118.jpg],4[kxm/img0744.jpg],4[kxm/img0646.jpg],3[kxm/img0613.jpg],4[kxm/img0632.jpg],4[kxm/img0724.jpg],5[kxm/img0834.jpg],4[kxm/img0120.jpg],4[kxm/img0470.jpg],4[kxm/img0840.jpg],2[kxm/img0809.jpg],3[kxm/img0559.jpg],2[kxm/img0377.jpg],1[kxm/img0424.jpg],4[kxm/img0857.jpg],4[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",33JKGHPFYCV2CP1RKNNPWK8YQU4NMX,A1XC5OV00MECKQ,Approved,"Thu Apr 07 21:53:04 PDT 2016","Thu Apr 07 22:04:28 PDT 2016",3[kxm/img0666.jpg],4[kxm/img0395.jpg],5[kxm/img0821.jpg],1[kxm/img0595.jpg],2[kxm/img0201.jpg],3[kxm/img0071.jpg],1[kxm/img0532.jpg],4[kxm/img0642.jpg],5[kxm/img0343.jpg],1[kxm/img0247.jpg],4[kxm/img0445.jpg],3[kxm/img0065.jpg],1[kxm/img0319.jpg],5[kxm/img0687.jpg],4[kxm/img0558.jpg*],3[kxm/img0118.jpg],5[kxm/img0744.jpg],5[kxm/img0646.jpg],3[kxm/img0613.jpg],5[kxm/img0632.jpg],5[kxm/img0724.jpg],4[kxm/img0834.jpg],1[kxm/img0120.jpg],2[kxm/img0470.jpg],5[kxm/img0840.jpg],5[kxm/img0809.jpg],5[kxm/img0559.jpg],5[kxm/img0377.jpg],5[kxm/img0424.jpg],5[kxm/img0857.jpg],3[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",3B4YI393V9X2QX61CG0X7NHA5J6SS4,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:35:15 PDT 2016","Fri Apr 08 08:35:42 PDT 2016",5[kxm/img0666.jpg],4[kxm/img0395.jpg],4[kxm/img0821.jpg],4[kxm/img0595.jpg],4[kxm/img0201.jpg],4[kxm/img0071.jpg],5[kxm/img0532.jpg],4[kxm/img0642.jpg],5[kxm/img0343.jpg],5[kxm/img0247.jpg],4[kxm/img0445.jpg],4[kxm/img0065.jpg],5[kxm/img0319.jpg],4[kxm/img0687.jpg],4[kxm/img0558.jpg*],4[kxm/img0118.jpg],3[kxm/img0744.jpg],2[kxm/img0646.jpg],3[kxm/img0613.jpg],5[kxm/img0632.jpg],5[kxm/img0724.jpg],4[kxm/img0834.jpg],5[kxm/img0120.jpg],4[kxm/img0470.jpg],4[kxm/img0840.jpg],4[kxm/img0809.jpg],5[kxm/img0559.jpg],4[kxm/img0377.jpg],5[kxm/img0424.jpg],4[kxm/img0857.jpg],5[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",3PJUZCGDJ6H22YVTPCU191CJ12J98L,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 10:00:02 PDT 2016","Fri Apr 08 10:05:05 PDT 2016",2[kxm/img0666.jpg],2[kxm/img0395.jpg],1[kxm/img0821.jpg],4[kxm/img0595.jpg],3[kxm/img0201.jpg],3[kxm/img0071.jpg],3[kxm/img0532.jpg],3[kxm/img0642.jpg],3[kxm/img0343.jpg],3[kxm/img0247.jpg],3[kxm/img0445.jpg],4[kxm/img0065.jpg],4[kxm/img0319.jpg],2[kxm/img0687.jpg],3[kxm/img0558.jpg*],4[kxm/img0118.jpg],3[kxm/img0744.jpg],3[kxm/img0646.jpg],3[kxm/img0613.jpg],3[kxm/img0632.jpg],3[kxm/img0724.jpg],3[kxm/img0834.jpg],3[kxm/img0120.jpg],3[kxm/img0470.jpg],3[kxm/img0840.jpg],3[kxm/img0809.jpg],3[kxm/img0559.jpg],2[kxm/img0377.jpg],2[kxm/img0424.jpg],3[kxm/img0857.jpg],3[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",3KAKFY4PGU39C2IQHP5IVD3B48M3II,A7JIY8AH7GTEF,Approved,"Sat Apr 09 03:33:03 PDT 2016","Sat Apr 09 03:35:13 PDT 2016",4[kxm/img0666.jpg],5[kxm/img0395.jpg],4[kxm/img0821.jpg],2[kxm/img0595.jpg],2[kxm/img0201.jpg],2[kxm/img0071.jpg],2[kxm/img0532.jpg],4[kxm/img0642.jpg],3[kxm/img0343.jpg],2[kxm/img0247.jpg],4[kxm/img0445.jpg],4[kxm/img0065.jpg],2[kxm/img0319.jpg],4[kxm/img0687.jpg],4[kxm/img0558.jpg*],3[kxm/img0118.jpg],3[kxm/img0744.jpg],4[kxm/img0646.jpg],3[kxm/img0613.jpg],4[kxm/img0632.jpg],3[kxm/img0724.jpg],4[kxm/img0834.jpg],3[kxm/img0120.jpg],3[kxm/img0470.jpg],4[kxm/img0840.jpg],4[kxm/img0809.jpg],4[kxm/img0559.jpg],4[kxm/img0377.jpg],4[kxm/img0424.jpg],2[kxm/img0857.jpg],3[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",3U5NZHP4LR3GNWCT95K4845X9R8PHW,AWQDOOSNH42QM,Approved,"Sat Apr 09 06:29:03 PDT 2016","Sat Apr 09 06:29:54 PDT 2016",5[kxm/img0666.jpg],5[kxm/img0395.jpg],1[kxm/img0821.jpg],5[kxm/img0595.jpg],4[kxm/img0201.jpg],4[kxm/img0071.jpg],5[kxm/img0532.jpg],5[kxm/img0642.jpg],5[kxm/img0343.jpg],5[kxm/img0247.jpg],5[kxm/img0445.jpg],5[kxm/img0065.jpg],5[kxm/img0319.jpg],5[kxm/img0687.jpg],5[kxm/img0558.jpg*],5[kxm/img0118.jpg],5[kxm/img0744.jpg],5[kxm/img0646.jpg],5[kxm/img0613.jpg],5[kxm/img0632.jpg],5[kxm/img0724.jpg],5[kxm/img0834.jpg],5[kxm/img0120.jpg],5[kxm/img0470.jpg],5[kxm/img0840.jpg],5[kxm/img0809.jpg],5[kxm/img0559.jpg],5[kxm/img0377.jpg],5[kxm/img0424.jpg],5[kxm/img0857.jpg],5[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",31QTRG6Q2TE29R2IJ5OSU400ZNNPYX,A7L4HN20YZOI0,Approved,"Sat Apr 09 06:47:39 PDT 2016","Sat Apr 09 06:49:12 PDT 2016",5[kxm/img0666.jpg],4[kxm/img0395.jpg],1[kxm/img0821.jpg],3[kxm/img0595.jpg],2[kxm/img0201.jpg],2[kxm/img0071.jpg],2[kxm/img0532.jpg],2[kxm/img0642.jpg],2[kxm/img0343.jpg],2[kxm/img0247.jpg],2[kxm/img0445.jpg],3[kxm/img0065.jpg],2[kxm/img0319.jpg],1[kxm/img0687.jpg],1[kxm/img0558.jpg*],2[kxm/img0118.jpg],3[kxm/img0744.jpg],3[kxm/img0646.jpg],3[kxm/img0613.jpg],1[kxm/img0632.jpg],2[kxm/img0724.jpg],2[kxm/img0834.jpg],2[kxm/img0120.jpg],2[kxm/img0470.jpg],2[kxm/img0840.jpg],2[kxm/img0809.jpg],4[kxm/img0559.jpg],2[kxm/img0377.jpg],2[kxm/img0424.jpg],4[kxm/img0857.jpg],4[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",30IQTZXKAK7AL58OXON0WPSJPAQ0X6,ALWGGK7LJCILU,Approved,"Sat Apr 09 17:17:44 PDT 2016","Sat Apr 09 17:30:11 PDT 2016",4[kxm/img0666.jpg],4[kxm/img0395.jpg],4[kxm/img0821.jpg],4[kxm/img0595.jpg],4[kxm/img0201.jpg],4[kxm/img0071.jpg],3[kxm/img0532.jpg],3[kxm/img0642.jpg],4[kxm/img0343.jpg],3[kxm/img0247.jpg],4[kxm/img0445.jpg],4[kxm/img0065.jpg],4[kxm/img0319.jpg],3[kxm/img0687.jpg],2[kxm/img0558.jpg*],3[kxm/img0118.jpg],4[kxm/img0744.jpg],4[kxm/img0646.jpg],4[kxm/img0613.jpg],4[kxm/img0632.jpg],4[kxm/img0724.jpg],4[kxm/img0834.jpg],4[kxm/img0120.jpg],2[kxm/img0470.jpg],4[kxm/img0840.jpg],3[kxm/img0809.jpg],3[kxm/img0559.jpg],3[kxm/img0377.jpg],4[kxm/img0424.jpg],4[kxm/img0857.jpg],3[kxm/img0648.jpg],
3IZPORCT1FAYCPUEWVJSPF9UUBTHRX,"kxm_120-149","sample#command",3L4PIM1GQTHNL4IXWXSHZZ0F09ERY2,A1PGDPGDI4XITB,Approved,"Sat Apr 09 23:12:20 PDT 2016","Sat Apr 09 23:15:21 PDT 2016",5[kxm/img0666.jpg],4[kxm/img0395.jpg],2[kxm/img0821.jpg],5[kxm/img0595.jpg],4[kxm/img0201.jpg],5[kxm/img0071.jpg],5[kxm/img0532.jpg],5[kxm/img0642.jpg],5[kxm/img0343.jpg],4[kxm/img0247.jpg],5[kxm/img0445.jpg],5[kxm/img0065.jpg],4[kxm/img0319.jpg],2[kxm/img0687.jpg],3[kxm/img0558.jpg*],3[kxm/img0118.jpg],5[kxm/img0744.jpg],5[kxm/img0646.jpg],5[kxm/img0613.jpg],5[kxm/img0632.jpg],4[kxm/img0724.jpg],5[kxm/img0834.jpg],5[kxm/img0120.jpg],3[kxm/img0470.jpg],3[kxm/img0840.jpg],5[kxm/img0809.jpg],5[kxm/img0559.jpg],4[kxm/img0377.jpg],2[kxm/img0424.jpg],5[kxm/img0857.jpg],5[kxm/img0648.jpg],
