HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",36W0OB37HWFA10EZWEI6Z27BJL1ZH3,A39BR7NYRDWC01,Approved,"Thu Apr 07 14:19:01 PDT 2016","Thu Apr 07 14:22:22 PDT 2016",5[kxm/img0323.jpg],5[kxm/img0499.jpg],4[kxm/img0300.jpg],4[kxm/img0299.jpg],5[kxm/img0337.jpg],5[kxm/img0854.jpg],4[kxm/img0700.jpg],4[kxm/img0072.jpg],5[kxm/img0024.jpg],4[kxm/img0792.jpg],5[kxm/img0736.jpg],4[kxm/img0358.jpg],4[kxm/img0565.jpg],5[kxm/img0823.jpg],4[kxm/img0488.jpg],5[kxm/img0492.jpg],3[kxm/img0654.jpg],5[kxm/img0539.jpg],4[kxm/img0721.jpg],5[kxm/img0179.jpg],2[kxm/img0662.jpg],5[kxm/img0716.jpg],5[kxm/img0061.jpg],5[kxm/img0113.jpg],5[kxm/img0314.jpg],5[kxm/img0567.jpg],3[kxm/img0608.jpg],5[kxm/img0105.jpg],4[kxm/img0086.jpg],3[kxm/img0385.jpg],4[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",34MAJL3QP4OF4VJBW03E1CTSZML43W,A58QOLDFC179Q,Approved,"Thu Apr 07 20:17:37 PDT 2016","Thu Apr 07 20:20:11 PDT 2016",4[kxm/img0323.jpg],2[kxm/img0499.jpg],3[kxm/img0300.jpg],4[kxm/img0299.jpg],4[kxm/img0337.jpg],5[kxm/img0854.jpg],4[kxm/img0700.jpg],4[kxm/img0072.jpg],5[kxm/img0024.jpg],5[kxm/img0792.jpg],5[kxm/img0736.jpg],4[kxm/img0358.jpg],4[kxm/img0565.jpg],4[kxm/img0823.jpg],3[kxm/img0488.jpg],3[kxm/img0492.jpg],1[kxm/img0654.jpg],5[kxm/img0539.jpg],2[kxm/img0721.jpg],3[kxm/img0179.jpg],3[kxm/img0662.jpg],1[kxm/img0716.jpg],3[kxm/img0061.jpg],3[kxm/img0113.jpg],2[kxm/img0314.jpg],3[kxm/img0567.jpg],2[kxm/img0608.jpg],4[kxm/img0105.jpg],3[kxm/img0086.jpg],3[kxm/img0385.jpg],4[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3570Y55XZPKWWE9JGMY50VM8YTZYGV,AWQDOOSNH42QM,Approved,"Fri Apr 08 07:10:53 PDT 2016","Fri Apr 08 07:11:47 PDT 2016",5[kxm/img0323.jpg],5[kxm/img0499.jpg],5[kxm/img0300.jpg],5[kxm/img0299.jpg],5[kxm/img0337.jpg],5[kxm/img0854.jpg],5[kxm/img0700.jpg],5[kxm/img0072.jpg],5[kxm/img0024.jpg],5[kxm/img0792.jpg],5[kxm/img0736.jpg],5[kxm/img0358.jpg],5[kxm/img0565.jpg],5[kxm/img0823.jpg],5[kxm/img0488.jpg],5[kxm/img0492.jpg],5[kxm/img0654.jpg],5[kxm/img0539.jpg],5[kxm/img0721.jpg],5[kxm/img0179.jpg],5[kxm/img0662.jpg],4[kxm/img0716.jpg],4[kxm/img0061.jpg],5[kxm/img0113.jpg],5[kxm/img0314.jpg],5[kxm/img0567.jpg],5[kxm/img0608.jpg],5[kxm/img0105.jpg],3[kxm/img0086.jpg],5[kxm/img0385.jpg],5[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3H7XDTSHKCSS79EJ1LGHFY1SNL7WG2,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:31:02 PDT 2016","Fri Apr 08 08:31:58 PDT 2016",4[kxm/img0323.jpg],4[kxm/img0499.jpg],3[kxm/img0300.jpg],4[kxm/img0299.jpg],4[kxm/img0337.jpg],4[kxm/img0854.jpg],4[kxm/img0700.jpg],4[kxm/img0072.jpg],4[kxm/img0024.jpg],4[kxm/img0792.jpg],4[kxm/img0736.jpg],4[kxm/img0358.jpg],4[kxm/img0565.jpg],4[kxm/img0823.jpg],4[kxm/img0488.jpg],4[kxm/img0492.jpg],4[kxm/img0654.jpg],4[kxm/img0539.jpg],4[kxm/img0721.jpg],4[kxm/img0179.jpg],4[kxm/img0662.jpg],5[kxm/img0716.jpg],4[kxm/img0061.jpg],2[kxm/img0113.jpg],3[kxm/img0314.jpg],3[kxm/img0567.jpg],3[kxm/img0608.jpg],4[kxm/img0105.jpg],3[kxm/img0086.jpg],3[kxm/img0385.jpg],3[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3O6CYIULED2BCRFELQ5YJD2JWTOWU4,A2KSHM3PMYXEHS,Approved,"Fri Apr 08 08:55:33 PDT 2016","Fri Apr 08 08:58:09 PDT 2016",3[kxm/img0323.jpg],4[kxm/img0499.jpg],4[kxm/img0300.jpg],3[kxm/img0299.jpg],4[kxm/img0337.jpg],3[kxm/img0854.jpg],3[kxm/img0700.jpg],3[kxm/img0072.jpg],3[kxm/img0024.jpg],3[kxm/img0792.jpg],4[kxm/img0736.jpg],3[kxm/img0358.jpg],2[kxm/img0565.jpg],2[kxm/img0823.jpg],2[kxm/img0488.jpg],4[kxm/img0492.jpg],2[kxm/img0654.jpg],2[kxm/img0539.jpg],2[kxm/img0721.jpg],1[kxm/img0179.jpg],4[kxm/img0662.jpg],3[kxm/img0716.jpg],3[kxm/img0061.jpg],3[kxm/img0113.jpg],2[kxm/img0314.jpg],3[kxm/img0567.jpg],3[kxm/img0608.jpg],2[kxm/img0105.jpg],4[kxm/img0086.jpg],3[kxm/img0385.jpg],2[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3Z7VU45IPYIZXPTLUPFL7FR42Z21Z9,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 09:50:19 PDT 2016","Fri Apr 08 09:52:52 PDT 2016",2[kxm/img0323.jpg],3[kxm/img0499.jpg],2[kxm/img0300.jpg],3[kxm/img0299.jpg],3[kxm/img0337.jpg],2[kxm/img0854.jpg],2[kxm/img0700.jpg],2[kxm/img0072.jpg],2[kxm/img0024.jpg],4[kxm/img0792.jpg],3[kxm/img0736.jpg],4[kxm/img0358.jpg],3[kxm/img0565.jpg],2[kxm/img0823.jpg],4[kxm/img0488.jpg],4[kxm/img0492.jpg],4[kxm/img0654.jpg],3[kxm/img0539.jpg],4[kxm/img0721.jpg],3[kxm/img0179.jpg],2[kxm/img0662.jpg],3[kxm/img0716.jpg],3[kxm/img0061.jpg],3[kxm/img0113.jpg],2[kxm/img0314.jpg],3[kxm/img0567.jpg],3[kxm/img0608.jpg],3[kxm/img0105.jpg],2[kxm/img0086.jpg],2[kxm/img0385.jpg],2[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3KOPY89HM8357D2WZ7QI7EIBHNW3JF,A30DA9OCSK88X5,Approved,"Fri Apr 08 20:39:13 PDT 2016","Fri Apr 08 20:41:21 PDT 2016",3[kxm/img0323.jpg],4[kxm/img0499.jpg],3[kxm/img0300.jpg],5[kxm/img0299.jpg],5[kxm/img0337.jpg],4[kxm/img0854.jpg],4[kxm/img0700.jpg],5[kxm/img0072.jpg],2[kxm/img0024.jpg],5[kxm/img0792.jpg],1[kxm/img0736.jpg],3[kxm/img0358.jpg],3[kxm/img0565.jpg],2[kxm/img0823.jpg],1[kxm/img0488.jpg],4[kxm/img0492.jpg],5[kxm/img0654.jpg],3[kxm/img0539.jpg],5[kxm/img0721.jpg],5[kxm/img0179.jpg],3[kxm/img0662.jpg],5[kxm/img0716.jpg],4[kxm/img0061.jpg],5[kxm/img0113.jpg],4[kxm/img0314.jpg],4[kxm/img0567.jpg],5[kxm/img0608.jpg],4[kxm/img0105.jpg],4[kxm/img0086.jpg],4[kxm/img0385.jpg],3[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3PS7W85Z8Z3L0INHSA5W0X86FH3T9X,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:36:21 PDT 2016","Fri Apr 08 22:38:58 PDT 2016",4[kxm/img0323.jpg],2[kxm/img0499.jpg],3[kxm/img0300.jpg],3[kxm/img0299.jpg],3[kxm/img0337.jpg],3[kxm/img0854.jpg],4[kxm/img0700.jpg],4[kxm/img0072.jpg],4[kxm/img0024.jpg],3[kxm/img0792.jpg],4[kxm/img0736.jpg],3[kxm/img0358.jpg],3[kxm/img0565.jpg],4[kxm/img0823.jpg],3[kxm/img0488.jpg],2[kxm/img0492.jpg],3[kxm/img0654.jpg],4[kxm/img0539.jpg],3[kxm/img0721.jpg],4[kxm/img0179.jpg],3[kxm/img0662.jpg],3[kxm/img0716.jpg],3[kxm/img0061.jpg],4[kxm/img0113.jpg],4[kxm/img0314.jpg],4[kxm/img0567.jpg],3[kxm/img0608.jpg],4[kxm/img0105.jpg],3[kxm/img0086.jpg],3[kxm/img0385.jpg],4[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3GGAI1SQEVZJLL40VXEBG9EMRV8MC6,A39PT6IK8BV4V,Approved,"Sat Apr 09 09:38:39 PDT 2016","Sat Apr 09 09:42:29 PDT 2016",2[kxm/img0323.jpg],2[kxm/img0499.jpg],2[kxm/img0300.jpg],2[kxm/img0299.jpg],2[kxm/img0337.jpg],2[kxm/img0854.jpg],3[kxm/img0700.jpg],3[kxm/img0072.jpg],3[kxm/img0024.jpg],4[kxm/img0792.jpg],1[kxm/img0736.jpg],3[kxm/img0358.jpg],2[kxm/img0565.jpg],2[kxm/img0823.jpg],2[kxm/img0488.jpg],2[kxm/img0492.jpg],2[kxm/img0654.jpg],4[kxm/img0539.jpg],2[kxm/img0721.jpg],3[kxm/img0179.jpg],2[kxm/img0662.jpg],2[kxm/img0716.jpg],3[kxm/img0061.jpg],3[kxm/img0113.jpg],2[kxm/img0314.jpg],3[kxm/img0567.jpg],1[kxm/img0608.jpg],3[kxm/img0105.jpg],1[kxm/img0086.jpg],1[kxm/img0385.jpg],3[kxm/img0831.jpg*],
3J9L0X0VDFNA5FTHXD56ZXJN3D0W9P,"kxm_270-299","sample#command",3PM8NZGV8YHY9YDNEMHFBVJ12JNQX3,AOBGT6O24VLLS,Approved,"Sun Apr 10 17:03:20 PDT 2016","Sun Apr 10 17:11:11 PDT 2016",3[kxm/img0323.jpg],4[kxm/img0499.jpg],4[kxm/img0300.jpg],4[kxm/img0299.jpg],4[kxm/img0337.jpg],4[kxm/img0854.jpg],1[kxm/img0700.jpg],2[kxm/img0072.jpg],1[kxm/img0024.jpg],4[kxm/img0792.jpg],5[kxm/img0736.jpg],4[kxm/img0358.jpg],1[kxm/img0565.jpg],1[kxm/img0823.jpg],3[kxm/img0488.jpg],5[kxm/img0492.jpg],4[kxm/img0654.jpg],5[kxm/img0539.jpg],3[kxm/img0721.jpg],3[kxm/img0179.jpg],3[kxm/img0662.jpg],4[kxm/img0716.jpg],2[kxm/img0061.jpg],4[kxm/img0113.jpg],4[kxm/img0314.jpg],2[kxm/img0567.jpg],2[kxm/img0608.jpg],5[kxm/img0105.jpg],4[kxm/img0086.jpg],3[kxm/img0385.jpg],2[kxm/img0831.jpg*],
