HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3E4GGUZ1T8SBXFCVDSCPPJDWQQ02KQ,AG8OSJBKR00L2,Approved,"Thu Apr 07 06:40:41 PDT 2016","Thu Apr 07 06:47:16 PDT 2016",2[kxm/img0804.jpg],2[kxm/img0333.jpg],5[kxm/img0489.jpg],4[kxm/img0376.jpg],5[kxm/img0069.jpg],5[kxm/img0575.jpg],5[kxm/img0757.jpg],5[kxm/img0623.jpg],4[kxm/img0827.jpg],5[kxm/img0004.jpg],4[kxm/img0213.jpg],5[kxm/img0302.jpg],4[kxm/img0544.jpg],5[kxm/img0750.jpg],5[kxm/img0697.jpg],5[kxm/img0102.jpg],5[kxm/img0060.jpg],5[kxm/img0629.jpg],5[kxm/img0703.jpg],5[kxm/img0586.jpg],5[kxm/img0558.jpg],5[kxm/img0115.jpg],1[kxm/img0561.jpg],5[kxm/img0811.jpg],5[kxm/img0111.jpg],5[kxm/img0587.jpg],5[kxm/img0186.jpg],5[kxm/img0048.jpg],5[kxm/img0193.jpg],5[kxm/img0767.jpg],5[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3QHK8ZVMIMJG5YU9HLH15CTF9WJBL5,AWQDOOSNH42QM,Approved,"Thu Apr 07 06:47:24 PDT 2016","Thu Apr 07 06:49:39 PDT 2016",1[kxm/img0804.jpg],3[kxm/img0333.jpg],4[kxm/img0489.jpg],5[kxm/img0376.jpg],4[kxm/img0069.jpg],4[kxm/img0575.jpg],5[kxm/img0757.jpg],5[kxm/img0623.jpg],5[kxm/img0827.jpg],4[kxm/img0004.jpg],3[kxm/img0213.jpg],5[kxm/img0302.jpg],1[kxm/img0544.jpg],4[kxm/img0750.jpg],3[kxm/img0697.jpg],2[kxm/img0102.jpg],2[kxm/img0060.jpg],3[kxm/img0629.jpg],3[kxm/img0703.jpg],2[kxm/img0586.jpg],3[kxm/img0558.jpg],1[kxm/img0115.jpg],5[kxm/img0561.jpg],5[kxm/img0811.jpg],5[kxm/img0111.jpg],4[kxm/img0587.jpg],4[kxm/img0186.jpg],4[kxm/img0048.jpg],4[kxm/img0193.jpg],4[kxm/img0767.jpg],5[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3YWRV122CS00MQJWNNPS5XZXEH78UD,A3B2O3SOMXJ2OF,Approved,"Thu Apr 07 07:54:30 PDT 2016","Thu Apr 07 07:57:02 PDT 2016",2[kxm/img0804.jpg],3[kxm/img0333.jpg],4[kxm/img0489.jpg],4[kxm/img0376.jpg],5[kxm/img0069.jpg],4[kxm/img0575.jpg],3[kxm/img0757.jpg],4[kxm/img0623.jpg],3[kxm/img0827.jpg],3[kxm/img0004.jpg],4[kxm/img0213.jpg],4[kxm/img0302.jpg],3[kxm/img0544.jpg],3[kxm/img0750.jpg],3[kxm/img0697.jpg],3[kxm/img0102.jpg],5[kxm/img0060.jpg],4[kxm/img0629.jpg],4[kxm/img0703.jpg],3[kxm/img0586.jpg],1[kxm/img0558.jpg],2[kxm/img0115.jpg],4[kxm/img0561.jpg],3[kxm/img0811.jpg],3[kxm/img0111.jpg],5[kxm/img0587.jpg],5[kxm/img0186.jpg],4[kxm/img0048.jpg],3[kxm/img0193.jpg],3[kxm/img0767.jpg],4[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3KRVW3HTZNMZS2TWSJ4BVEI4DPDMS1,AJ7TSTOCMO1PI,Approved,"Thu Apr 07 08:02:39 PDT 2016","Thu Apr 07 08:04:34 PDT 2016",3[kxm/img0804.jpg],5[kxm/img0333.jpg],4[kxm/img0489.jpg],5[kxm/img0376.jpg],5[kxm/img0069.jpg],3[kxm/img0575.jpg],5[kxm/img0757.jpg],3[kxm/img0623.jpg],3[kxm/img0827.jpg],3[kxm/img0004.jpg],3[kxm/img0213.jpg],5[kxm/img0302.jpg],5[kxm/img0544.jpg],4[kxm/img0750.jpg],2[kxm/img0697.jpg],5[kxm/img0102.jpg],5[kxm/img0060.jpg],5[kxm/img0629.jpg],5[kxm/img0703.jpg],5[kxm/img0586.jpg],3[kxm/img0558.jpg],3[kxm/img0115.jpg],5[kxm/img0561.jpg],4[kxm/img0811.jpg],4[kxm/img0111.jpg],4[kxm/img0587.jpg],5[kxm/img0186.jpg],3[kxm/img0048.jpg],3[kxm/img0193.jpg],4[kxm/img0767.jpg],5[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3DHE4R9OCWC6VTGCN1RARRL3J94G2M,AK3GZE8MPQL4Y,Approved,"Thu Apr 07 08:05:30 PDT 2016","Thu Apr 07 08:07:19 PDT 2016",4[kxm/img0804.jpg],4[kxm/img0333.jpg],4[kxm/img0489.jpg],4[kxm/img0376.jpg],4[kxm/img0069.jpg],4[kxm/img0575.jpg],4[kxm/img0757.jpg],5[kxm/img0623.jpg],5[kxm/img0827.jpg],5[kxm/img0004.jpg],5[kxm/img0213.jpg],5[kxm/img0302.jpg],5[kxm/img0544.jpg],5[kxm/img0750.jpg],5[kxm/img0697.jpg],5[kxm/img0102.jpg],5[kxm/img0060.jpg],5[kxm/img0629.jpg],4[kxm/img0703.jpg],2[kxm/img0586.jpg],4[kxm/img0558.jpg],5[kxm/img0115.jpg],5[kxm/img0561.jpg],5[kxm/img0811.jpg],5[kxm/img0111.jpg],5[kxm/img0587.jpg],5[kxm/img0186.jpg],5[kxm/img0048.jpg],4[kxm/img0193.jpg],4[kxm/img0767.jpg],4[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",392CY0QWG1SUUY1UH3A15IVHI2B4IL,A1V06SPQF8E3DA,Approved,"Thu Apr 07 10:45:31 PDT 2016","Thu Apr 07 10:50:36 PDT 2016",4[kxm/img0804.jpg],2[kxm/img0333.jpg],2[kxm/img0489.jpg],3[kxm/img0376.jpg],4[kxm/img0069.jpg],3[kxm/img0575.jpg],4[kxm/img0757.jpg],3[kxm/img0623.jpg],4[kxm/img0827.jpg],5[kxm/img0004.jpg],4[kxm/img0213.jpg],2[kxm/img0302.jpg],2[kxm/img0544.jpg],4[kxm/img0750.jpg],4[kxm/img0697.jpg],4[kxm/img0102.jpg],5[kxm/img0060.jpg],4[kxm/img0629.jpg],3[kxm/img0703.jpg],3[kxm/img0586.jpg],1[kxm/img0558.jpg],5[kxm/img0115.jpg],3[kxm/img0561.jpg],4[kxm/img0811.jpg],4[kxm/img0111.jpg],5[kxm/img0587.jpg],5[kxm/img0186.jpg],3[kxm/img0048.jpg],2[kxm/img0193.jpg],5[kxm/img0767.jpg],1[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",39O5D9O87TTIZZWQPF9WKA5GRYVC38,A1AL7MVNRPEQ61,Approved,"Thu Apr 07 13:48:58 PDT 2016","Thu Apr 07 13:54:09 PDT 2016",5[kxm/img0804.jpg],5[kxm/img0333.jpg],5[kxm/img0489.jpg],5[kxm/img0376.jpg],5[kxm/img0069.jpg],5[kxm/img0575.jpg],5[kxm/img0757.jpg],5[kxm/img0623.jpg],5[kxm/img0827.jpg],5[kxm/img0004.jpg],2[kxm/img0213.jpg],5[kxm/img0302.jpg],1[kxm/img0544.jpg],5[kxm/img0750.jpg],3[kxm/img0697.jpg],2[kxm/img0102.jpg],5[kxm/img0060.jpg],2[kxm/img0629.jpg],3[kxm/img0703.jpg],1[kxm/img0586.jpg],5[kxm/img0558.jpg],1[kxm/img0115.jpg],3[kxm/img0561.jpg],4[kxm/img0811.jpg],5[kxm/img0111.jpg],5[kxm/img0587.jpg],5[kxm/img0186.jpg],5[kxm/img0048.jpg],4[kxm/img0193.jpg],5[kxm/img0767.jpg],4[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3YOH7BII098KU6AX12W0ROA7NRIKVB,A39BR7NYRDWC01,Approved,"Thu Apr 07 16:53:59 PDT 2016","Thu Apr 07 16:57:11 PDT 2016",4[kxm/img0804.jpg],5[kxm/img0333.jpg],4[kxm/img0489.jpg],5[kxm/img0376.jpg],5[kxm/img0069.jpg],3[kxm/img0575.jpg],5[kxm/img0757.jpg],5[kxm/img0623.jpg],4[kxm/img0827.jpg],5[kxm/img0004.jpg],3[kxm/img0213.jpg],5[kxm/img0302.jpg],5[kxm/img0544.jpg],2[kxm/img0750.jpg],2[kxm/img0697.jpg],5[kxm/img0102.jpg],4[kxm/img0060.jpg],5[kxm/img0629.jpg],4[kxm/img0703.jpg],4[kxm/img0586.jpg],5[kxm/img0558.jpg],1[kxm/img0115.jpg],5[kxm/img0561.jpg],5[kxm/img0811.jpg],4[kxm/img0111.jpg],5[kxm/img0587.jpg],4[kxm/img0186.jpg],4[kxm/img0048.jpg],5[kxm/img0193.jpg],3[kxm/img0767.jpg],5[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3OLF68YTN92PMWFLPWE7FO4PUMVFA0,A1XC5OV00MECKQ,Approved,"Thu Apr 07 22:19:33 PDT 2016","Thu Apr 07 22:22:25 PDT 2016",2[kxm/img0804.jpg],2[kxm/img0333.jpg],3[kxm/img0489.jpg],3[kxm/img0376.jpg],4[kxm/img0069.jpg],2[kxm/img0575.jpg],2[kxm/img0757.jpg],2[kxm/img0623.jpg],3[kxm/img0827.jpg],3[kxm/img0004.jpg],3[kxm/img0213.jpg],3[kxm/img0302.jpg],4[kxm/img0544.jpg],4[kxm/img0750.jpg],3[kxm/img0697.jpg],3[kxm/img0102.jpg],4[kxm/img0060.jpg],4[kxm/img0629.jpg],3[kxm/img0703.jpg],4[kxm/img0586.jpg],4[kxm/img0558.jpg],3[kxm/img0115.jpg],5[kxm/img0561.jpg],5[kxm/img0811.jpg],5[kxm/img0111.jpg],5[kxm/img0587.jpg],4[kxm/img0186.jpg],3[kxm/img0048.jpg],3[kxm/img0193.jpg],3[kxm/img0767.jpg],3[kxm/img0187.jpg*],
3KWGG5KP6J3GY1665V9ASPI4BWQCMW,"kxm_90-119","sample#command",3FDJT1UU7493WCVIVBENNQG8A4LK5B,A1GBS5UE09KUH,Approved,"Fri Apr 08 02:36:46 PDT 2016","Fri Apr 08 02:39:29 PDT 2016",3[kxm/img0804.jpg],3[kxm/img0333.jpg],4[kxm/img0489.jpg],4[kxm/img0376.jpg],3[kxm/img0069.jpg],3[kxm/img0575.jpg],4[kxm/img0757.jpg],3[kxm/img0623.jpg],3[kxm/img0827.jpg],3[kxm/img0004.jpg],2[kxm/img0213.jpg],4[kxm/img0302.jpg],3[kxm/img0544.jpg],2[kxm/img0750.jpg],2[kxm/img0697.jpg],1[kxm/img0102.jpg],3[kxm/img0060.jpg],4[kxm/img0629.jpg],3[kxm/img0703.jpg],1[kxm/img0586.jpg],2[kxm/img0558.jpg],3[kxm/img0115.jpg],3[kxm/img0561.jpg],3[kxm/img0811.jpg],4[kxm/img0111.jpg],4[kxm/img0587.jpg],5[kxm/img0186.jpg],3[kxm/img0048.jpg],1[kxm/img0193.jpg],2[kxm/img0767.jpg],1[kxm/img0187.jpg*],
