HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3K2755HG5S4NK3IX96595PCVFL6DF6,A39BR7NYRDWC01,Approved,"Thu Apr 07 06:24:12 PDT 2016","Thu Apr 07 06:27:21 PDT 2016",4[kxm/img0178.jpg],5[kxm/img0459.jpg],5[kxm/img0327.jpg],4[kxm/img0156.jpg],4[kxm/img0633.jpg],4[kxm/img0330.jpg],3[kxm/img0803.jpg],3[kxm/img0073.jpg*],5[kxm/img0628.jpg],5[kxm/img0612.jpg],5[kxm/img0453.jpg],3[kxm/img0094.jpg],3[kxm/img0029.jpg],4[kxm/img0016.jpg],3[kxm/img0321.jpg],3[kxm/img0485.jpg],3[kxm/img0246.jpg],4[kxm/img0569.jpg],3[kxm/img0308.jpg],4[kxm/img0546.jpg],3[kxm/img0553.jpg],3[kxm/img0231.jpg],3[kxm/img0495.jpg],4[kxm/img0506.jpg],5[kxm/img0271.jpg],3[kxm/img0693.jpg],3[kxm/img0793.jpg],5[kxm/img0806.jpg],5[kxm/img0008.jpg],4[kxm/img0251.jpg],3[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3PZDLQMM0TMTEH07LFVR100OLHWC2S,AQMS2FSXZ3PS6,Approved,"Thu Apr 07 07:06:57 PDT 2016","Thu Apr 07 07:10:29 PDT 2016",3[kxm/img0178.jpg],3[kxm/img0459.jpg],5[kxm/img0327.jpg],2[kxm/img0156.jpg],1[kxm/img0633.jpg],1[kxm/img0330.jpg],2[kxm/img0803.jpg],3[kxm/img0073.jpg*],5[kxm/img0628.jpg],3[kxm/img0612.jpg],2[kxm/img0453.jpg],3[kxm/img0094.jpg],2[kxm/img0029.jpg],5[kxm/img0016.jpg],3[kxm/img0321.jpg],4[kxm/img0485.jpg],4[kxm/img0246.jpg],2[kxm/img0569.jpg],5[kxm/img0308.jpg],5[kxm/img0546.jpg],3[kxm/img0553.jpg],1[kxm/img0231.jpg],4[kxm/img0495.jpg],5[kxm/img0506.jpg],4[kxm/img0271.jpg],2[kxm/img0693.jpg],2[kxm/img0793.jpg],4[kxm/img0806.jpg],5[kxm/img0008.jpg],2[kxm/img0251.jpg],5[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3VHHR074H3IT3MRJ445L0A7JQAAL7J,A1XC5OV00MECKQ,Approved,"Thu Apr 07 22:09:57 PDT 2016","Thu Apr 07 22:16:49 PDT 2016",5[kxm/img0178.jpg],4[kxm/img0459.jpg],4[kxm/img0327.jpg],5[kxm/img0156.jpg],5[kxm/img0633.jpg],4[kxm/img0330.jpg],3[kxm/img0803.jpg],1[kxm/img0073.jpg*],3[kxm/img0628.jpg],1[kxm/img0612.jpg],5[kxm/img0453.jpg],4[kxm/img0094.jpg],4[kxm/img0029.jpg],1[kxm/img0016.jpg],4[kxm/img0321.jpg],1[kxm/img0485.jpg],5[kxm/img0246.jpg],5[kxm/img0569.jpg],1[kxm/img0308.jpg],4[kxm/img0546.jpg],4[kxm/img0553.jpg],4[kxm/img0231.jpg],5[kxm/img0495.jpg],5[kxm/img0506.jpg],4[kxm/img0271.jpg],4[kxm/img0693.jpg],3[kxm/img0793.jpg],5[kxm/img0806.jpg],4[kxm/img0008.jpg],4[kxm/img0251.jpg],5[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3X65QVEQI0OZF3MFVLDWGWZXRMCCLG,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:32:00 PDT 2016","Fri Apr 08 08:32:30 PDT 2016",4[kxm/img0178.jpg],4[kxm/img0459.jpg],4[kxm/img0327.jpg],3[kxm/img0156.jpg],4[kxm/img0633.jpg],4[kxm/img0330.jpg],4[kxm/img0803.jpg],3[kxm/img0073.jpg*],3[kxm/img0628.jpg],4[kxm/img0612.jpg],5[kxm/img0453.jpg],4[kxm/img0094.jpg],4[kxm/img0029.jpg],4[kxm/img0016.jpg],3[kxm/img0321.jpg],3[kxm/img0485.jpg],4[kxm/img0246.jpg],4[kxm/img0569.jpg],4[kxm/img0308.jpg],4[kxm/img0546.jpg],4[kxm/img0553.jpg],2[kxm/img0231.jpg],5[kxm/img0495.jpg],4[kxm/img0506.jpg],5[kxm/img0271.jpg],3[kxm/img0693.jpg],3[kxm/img0793.jpg],3[kxm/img0806.jpg],3[kxm/img0008.jpg],3[kxm/img0251.jpg],2[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",36DSNE9QZ5ZUT2VII5AAVHGMCCYJOS,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 09:53:07 PDT 2016","Fri Apr 08 09:55:25 PDT 2016",1[kxm/img0178.jpg],2[kxm/img0459.jpg],2[kxm/img0327.jpg],1[kxm/img0156.jpg],2[kxm/img0633.jpg],2[kxm/img0330.jpg],2[kxm/img0803.jpg],3[kxm/img0073.jpg*],3[kxm/img0628.jpg],3[kxm/img0612.jpg],3[kxm/img0453.jpg],3[kxm/img0094.jpg],2[kxm/img0029.jpg],4[kxm/img0016.jpg],3[kxm/img0321.jpg],3[kxm/img0485.jpg],4[kxm/img0246.jpg],2[kxm/img0569.jpg],5[kxm/img0308.jpg],4[kxm/img0546.jpg],3[kxm/img0553.jpg],3[kxm/img0231.jpg],4[kxm/img0495.jpg],3[kxm/img0506.jpg],3[kxm/img0271.jpg],3[kxm/img0693.jpg],3[kxm/img0793.jpg],3[kxm/img0806.jpg],3[kxm/img0008.jpg],3[kxm/img0251.jpg],4[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3OUYGIZWR7Z5CW6XBXDJ2C6GN9Y0PV,A1FCPW009AD8RW,Approved,"Fri Apr 08 16:33:03 PDT 2016","Fri Apr 08 16:40:22 PDT 2016",2[kxm/img0178.jpg],5[kxm/img0459.jpg],5[kxm/img0327.jpg],2[kxm/img0156.jpg],5[kxm/img0633.jpg],3[kxm/img0330.jpg],4[kxm/img0803.jpg],1[kxm/img0073.jpg*],5[kxm/img0628.jpg],5[kxm/img0612.jpg],1[kxm/img0453.jpg],5[kxm/img0094.jpg],3[kxm/img0029.jpg],5[kxm/img0016.jpg],4[kxm/img0321.jpg],5[kxm/img0485.jpg],4[kxm/img0246.jpg],4[kxm/img0569.jpg],3[kxm/img0308.jpg],4[kxm/img0546.jpg],4[kxm/img0553.jpg],3[kxm/img0231.jpg],3[kxm/img0495.jpg],5[kxm/img0506.jpg],2[kxm/img0271.jpg],4[kxm/img0693.jpg],3[kxm/img0793.jpg],1[kxm/img0806.jpg],1[kxm/img0008.jpg],2[kxm/img0251.jpg],3[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3R3YRB5GRF4E5ECBKL961O5S4CLAUB,A30DA9OCSK88X5,Approved,"Fri Apr 08 20:37:11 PDT 2016","Fri Apr 08 20:38:46 PDT 2016",3[kxm/img0178.jpg],5[kxm/img0459.jpg],5[kxm/img0327.jpg],4[kxm/img0156.jpg],5[kxm/img0633.jpg],5[kxm/img0330.jpg],5[kxm/img0803.jpg],3[kxm/img0073.jpg*],5[kxm/img0628.jpg],5[kxm/img0612.jpg],1[kxm/img0453.jpg],5[kxm/img0094.jpg],4[kxm/img0029.jpg],5[kxm/img0016.jpg],3[kxm/img0321.jpg],4[kxm/img0485.jpg],5[kxm/img0246.jpg],5[kxm/img0569.jpg],4[kxm/img0308.jpg],5[kxm/img0546.jpg],4[kxm/img0553.jpg],5[kxm/img0231.jpg],4[kxm/img0495.jpg],5[kxm/img0506.jpg],2[kxm/img0271.jpg],4[kxm/img0693.jpg],1[kxm/img0793.jpg],1[kxm/img0806.jpg],1[kxm/img0008.jpg],4[kxm/img0251.jpg],1[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3U5JL4WY5KARKTQPGPA28SIW6LCX4N,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:32:42 PDT 2016","Fri Apr 08 22:36:07 PDT 2016",4[kxm/img0178.jpg],3[kxm/img0459.jpg],4[kxm/img0327.jpg],4[kxm/img0156.jpg],4[kxm/img0633.jpg],3[kxm/img0330.jpg],4[kxm/img0803.jpg],1[kxm/img0073.jpg*],3[kxm/img0628.jpg],3[kxm/img0612.jpg],4[kxm/img0453.jpg],4[kxm/img0094.jpg],4[kxm/img0029.jpg],3[kxm/img0016.jpg],4[kxm/img0321.jpg],3[kxm/img0485.jpg],4[kxm/img0246.jpg],4[kxm/img0569.jpg],2[kxm/img0308.jpg],4[kxm/img0546.jpg],4[kxm/img0553.jpg],4[kxm/img0231.jpg],4[kxm/img0495.jpg],4[kxm/img0506.jpg],3[kxm/img0271.jpg],4[kxm/img0693.jpg],2[kxm/img0793.jpg],5[kxm/img0806.jpg],4[kxm/img0008.jpg],4[kxm/img0251.jpg],4[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",35GCEFQ6I5PV7S70HTT4V8610LX3ZO,AWQDOOSNH42QM,Approved,"Sat Apr 09 06:23:34 PDT 2016","Sat Apr 09 06:25:04 PDT 2016",1[kxm/img0178.jpg],5[kxm/img0459.jpg],5[kxm/img0327.jpg],5[kxm/img0156.jpg],5[kxm/img0633.jpg],5[kxm/img0330.jpg],5[kxm/img0803.jpg],5[kxm/img0073.jpg*],5[kxm/img0628.jpg],5[kxm/img0612.jpg],5[kxm/img0453.jpg],5[kxm/img0094.jpg],5[kxm/img0029.jpg],5[kxm/img0016.jpg],5[kxm/img0321.jpg],5[kxm/img0485.jpg],5[kxm/img0246.jpg],5[kxm/img0569.jpg],5[kxm/img0308.jpg],5[kxm/img0546.jpg],5[kxm/img0553.jpg],5[kxm/img0231.jpg],5[kxm/img0495.jpg],5[kxm/img0506.jpg],5[kxm/img0271.jpg],5[kxm/img0693.jpg],5[kxm/img0793.jpg],5[kxm/img0806.jpg],5[kxm/img0008.jpg],5[kxm/img0251.jpg],4[kxm/img0081.jpg],
3MJ28H2Y1E9JZJI3311F6N1ZEFIO5E,"kxm_240-269","sample#command",3A9AA95ATWN473SY83JVJ7274JXP5X,A39PT6IK8BV4V,Approved,"Sat Apr 09 09:43:19 PDT 2016","Sat Apr 09 09:51:34 PDT 2016",4[kxm/img0178.jpg],3[kxm/img0459.jpg],1[kxm/img0327.jpg],3[kxm/img0156.jpg],2[kxm/img0633.jpg],3[kxm/img0330.jpg],2[kxm/img0803.jpg],2[kxm/img0073.jpg*],3[kxm/img0628.jpg],3[kxm/img0612.jpg],1[kxm/img0453.jpg],2[kxm/img0094.jpg],3[kxm/img0029.jpg],4[kxm/img0016.jpg],2[kxm/img0321.jpg],3[kxm/img0485.jpg],3[kxm/img0246.jpg],2[kxm/img0569.jpg],3[kxm/img0308.jpg],2[kxm/img0546.jpg],2[kxm/img0553.jpg],3[kxm/img0231.jpg],2[kxm/img0495.jpg],2[kxm/img0506.jpg],1[kxm/img0271.jpg],2[kxm/img0693.jpg],3[kxm/img0793.jpg],1[kxm/img0806.jpg],1[kxm/img0008.jpg],2[kxm/img0251.jpg],4[kxm/img0081.jpg],
