HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",3BXQMRHWKZZF7FL0HOZBAF0SYMOMU7,AWQDOOSNH42QM,Approved,"Thu Apr 07 07:25:01 PDT 2016","Thu Apr 07 07:27:19 PDT 2016",5[kxm/img0260.jpg],5[kxm/img0098.jpg],5[kxm/img0746.jpg],2[kxm/img0380.jpg],5[kxm/img0448.jpg],5[kxm/img0704.jpg],4[kxm/img0435.jpg],3[kxm/img0650.jpg],1[kxm/img0184.jpg],5[kxm/img0270.jpg],5[kxm/img0573.jpg],5[kxm/img0269.jpg],5[kxm/img0397.jpg],3[kxm/img0591.jpg],5[kxm/img0848.jpg],5[kxm/img0421.jpg],5[kxm/img0598.jpg],5[kxm/img0702.jpg],5[kxm/img0243.jpg],5[kxm/img0338.jpg],5[kxm/img0202.jpg],5[kxm/img0631.jpg],5[kxm/img0005.jpg],5[kxm/img0513.jpg],5[kxm/img0206.jpg],5[kxm/img0187.jpg*],5[kxm/img0442.jpg],5[kxm/img0469.jpg],5[kxm/img0429.jpg],5[kxm/img0052.jpg],4[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",34Q075JO1XE2V4NVQV2T1GOIKN801V,A1ESKJFDQUMBL4,Approved,"Thu Apr 07 10:00:11 PDT 2016","Thu Apr 07 10:04:34 PDT 2016",2[kxm/img0260.jpg],4[kxm/img0098.jpg],3[kxm/img0746.jpg],4[kxm/img0380.jpg],3[kxm/img0448.jpg],3[kxm/img0704.jpg],2[kxm/img0435.jpg],5[kxm/img0650.jpg],2[kxm/img0184.jpg],2[kxm/img0270.jpg],2[kxm/img0573.jpg],3[kxm/img0269.jpg],2[kxm/img0397.jpg],2[kxm/img0591.jpg],2[kxm/img0848.jpg],3[kxm/img0421.jpg],4[kxm/img0598.jpg],4[kxm/img0702.jpg],4[kxm/img0243.jpg],3[kxm/img0338.jpg],5[kxm/img0202.jpg],3[kxm/img0631.jpg],3[kxm/img0005.jpg],2[kxm/img0513.jpg],4[kxm/img0206.jpg],5[kxm/img0187.jpg*],3[kxm/img0442.jpg],4[kxm/img0469.jpg],4[kxm/img0429.jpg],4[kxm/img0052.jpg],5[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",36V4Q8R5ZK1NFMEJ0FF60E33V4WMQM,A39BR7NYRDWC01,Approved,"Thu Apr 07 16:45:55 PDT 2016","Thu Apr 07 16:48:28 PDT 2016",4[kxm/img0260.jpg],4[kxm/img0098.jpg],4[kxm/img0746.jpg],3[kxm/img0380.jpg],4[kxm/img0448.jpg],3[kxm/img0704.jpg],3[kxm/img0435.jpg],5[kxm/img0650.jpg],2[kxm/img0184.jpg],5[kxm/img0270.jpg],5[kxm/img0573.jpg],5[kxm/img0269.jpg],5[kxm/img0397.jpg],4[kxm/img0591.jpg],5[kxm/img0848.jpg],5[kxm/img0421.jpg],5[kxm/img0598.jpg],4[kxm/img0702.jpg],5[kxm/img0243.jpg],4[kxm/img0338.jpg],5[kxm/img0202.jpg],2[kxm/img0631.jpg],4[kxm/img0005.jpg],3[kxm/img0513.jpg],5[kxm/img0206.jpg],4[kxm/img0187.jpg*],4[kxm/img0442.jpg],5[kxm/img0469.jpg],5[kxm/img0429.jpg],4[kxm/img0052.jpg],5[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",3GGAI1SQEVZJLL40VXEBG9EMRPZMCL,A3BADEMON8SAZY,Approved,"Thu Apr 07 17:05:30 PDT 2016","Thu Apr 07 17:08:53 PDT 2016",5[kxm/img0260.jpg],2[kxm/img0098.jpg],5[kxm/img0746.jpg],4[kxm/img0380.jpg],4[kxm/img0448.jpg],5[kxm/img0704.jpg],3[kxm/img0435.jpg],4[kxm/img0650.jpg],3[kxm/img0184.jpg],3[kxm/img0270.jpg],3[kxm/img0573.jpg],3[kxm/img0269.jpg],2[kxm/img0397.jpg],4[kxm/img0591.jpg],2[kxm/img0848.jpg],5[kxm/img0421.jpg],3[kxm/img0598.jpg],5[kxm/img0702.jpg],5[kxm/img0243.jpg],4[kxm/img0338.jpg],5[kxm/img0202.jpg],4[kxm/img0631.jpg],3[kxm/img0005.jpg],4[kxm/img0513.jpg],4[kxm/img0206.jpg],2[kxm/img0187.jpg*],4[kxm/img0442.jpg],4[kxm/img0469.jpg],3[kxm/img0429.jpg],5[kxm/img0052.jpg],5[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",38BQUHLA9W1KUA13L2N2B983G4BMOD,A1XC5OV00MECKQ,Approved,"Thu Apr 07 22:30:59 PDT 2016","Thu Apr 07 22:33:15 PDT 2016",4[kxm/img0260.jpg],4[kxm/img0098.jpg],5[kxm/img0746.jpg],5[kxm/img0380.jpg],4[kxm/img0448.jpg],4[kxm/img0704.jpg],3[kxm/img0435.jpg],4[kxm/img0650.jpg],3[kxm/img0184.jpg],4[kxm/img0270.jpg],4[kxm/img0573.jpg],4[kxm/img0269.jpg],4[kxm/img0397.jpg],5[kxm/img0591.jpg],4[kxm/img0848.jpg],5[kxm/img0421.jpg],5[kxm/img0598.jpg],4[kxm/img0702.jpg],5[kxm/img0243.jpg],4[kxm/img0338.jpg],5[kxm/img0202.jpg],5[kxm/img0631.jpg],3[kxm/img0005.jpg],3[kxm/img0513.jpg],4[kxm/img0206.jpg],5[kxm/img0187.jpg*],4[kxm/img0442.jpg],4[kxm/img0469.jpg],4[kxm/img0429.jpg],3[kxm/img0052.jpg],4[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",3OE22WJIGIP6SUJS9H6SROKX8SJUQA,A1GBS5UE09KUH,Approved,"Fri Apr 08 05:54:31 PDT 2016","Fri Apr 08 06:01:19 PDT 2016",4[kxm/img0260.jpg],3[kxm/img0098.jpg],4[kxm/img0746.jpg],5[kxm/img0380.jpg],4[kxm/img0448.jpg],4[kxm/img0704.jpg],4[kxm/img0435.jpg],3[kxm/img0650.jpg],2[kxm/img0184.jpg],4[kxm/img0270.jpg],4[kxm/img0573.jpg],3[kxm/img0269.jpg],1[kxm/img0397.jpg],1[kxm/img0591.jpg],2[kxm/img0848.jpg],5[kxm/img0421.jpg],3[kxm/img0598.jpg],3[kxm/img0702.jpg],3[kxm/img0243.jpg],2[kxm/img0338.jpg],4[kxm/img0202.jpg],2[kxm/img0631.jpg],4[kxm/img0005.jpg],2[kxm/img0513.jpg],4[kxm/img0206.jpg],3[kxm/img0187.jpg*],3[kxm/img0442.jpg],3[kxm/img0469.jpg],3[kxm/img0429.jpg],2[kxm/img0052.jpg],3[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",30H4UDGLT2J2FAD4020H09DTQAGPM8,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:22:04 PDT 2016","Fri Apr 08 08:24:05 PDT 2016",4[kxm/img0260.jpg],4[kxm/img0098.jpg],4[kxm/img0746.jpg],4[kxm/img0380.jpg],4[kxm/img0448.jpg],4[kxm/img0704.jpg],4[kxm/img0435.jpg],2[kxm/img0650.jpg],3[kxm/img0184.jpg],4[kxm/img0270.jpg],4[kxm/img0573.jpg],4[kxm/img0269.jpg],2[kxm/img0397.jpg],4[kxm/img0591.jpg],4[kxm/img0848.jpg],5[kxm/img0421.jpg],4[kxm/img0598.jpg],4[kxm/img0702.jpg],4[kxm/img0243.jpg],4[kxm/img0338.jpg],5[kxm/img0202.jpg],3[kxm/img0631.jpg],4[kxm/img0005.jpg],4[kxm/img0513.jpg],4[kxm/img0206.jpg],3[kxm/img0187.jpg*],4[kxm/img0442.jpg],4[kxm/img0469.jpg],4[kxm/img0429.jpg],4[kxm/img0052.jpg],4[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",3U0SRXB7CD6T95EJPVJ6IJ28WJQNRC,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 10:12:58 PDT 2016","Fri Apr 08 10:14:33 PDT 2016",4[kxm/img0260.jpg],3[kxm/img0098.jpg],3[kxm/img0746.jpg],3[kxm/img0380.jpg],4[kxm/img0448.jpg],3[kxm/img0704.jpg],2[kxm/img0435.jpg],2[kxm/img0650.jpg],3[kxm/img0184.jpg],3[kxm/img0270.jpg],3[kxm/img0573.jpg],3[kxm/img0269.jpg],4[kxm/img0397.jpg],4[kxm/img0591.jpg],3[kxm/img0848.jpg],3[kxm/img0421.jpg],3[kxm/img0598.jpg],3[kxm/img0702.jpg],3[kxm/img0243.jpg],3[kxm/img0338.jpg],4[kxm/img0202.jpg],3[kxm/img0631.jpg],3[kxm/img0005.jpg],3[kxm/img0513.jpg],3[kxm/img0206.jpg],3[kxm/img0187.jpg*],3[kxm/img0442.jpg],3[kxm/img0469.jpg],3[kxm/img0429.jpg],3[kxm/img0052.jpg],3[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",34J10VATJFZ1J3OSF0HE8LWME0YIQY,A7JIY8AH7GTEF,Approved,"Sat Apr 09 02:13:20 PDT 2016","Sat Apr 09 02:15:30 PDT 2016",3[kxm/img0260.jpg],4[kxm/img0098.jpg],3[kxm/img0746.jpg],4[kxm/img0380.jpg],3[kxm/img0448.jpg],2[kxm/img0704.jpg],2[kxm/img0435.jpg],4[kxm/img0650.jpg],2[kxm/img0184.jpg],4[kxm/img0270.jpg],4[kxm/img0573.jpg],3[kxm/img0269.jpg],3[kxm/img0397.jpg],2[kxm/img0591.jpg],4[kxm/img0848.jpg],3[kxm/img0421.jpg],4[kxm/img0598.jpg],4[kxm/img0702.jpg],4[kxm/img0243.jpg],4[kxm/img0338.jpg],5[kxm/img0202.jpg],3[kxm/img0631.jpg],3[kxm/img0005.jpg],3[kxm/img0513.jpg],4[kxm/img0206.jpg],4[kxm/img0187.jpg*],4[kxm/img0442.jpg],4[kxm/img0469.jpg],4[kxm/img0429.jpg],4[kxm/img0052.jpg],4[kxm/img0584.jpg],
3UZUVSO3P7WVVZQK1MF5IDI7W83EMR,"kxm_330-359","sample#command",3SKEMFQBZ36MJUEKT9LQZAQZCZQK8R,A39PT6IK8BV4V,Approved,"Sat Apr 09 09:23:58 PDT 2016","Sat Apr 09 09:28:08 PDT 2016",2[kxm/img0260.jpg],3[kxm/img0098.jpg],2[kxm/img0746.jpg],2[kxm/img0380.jpg],3[kxm/img0448.jpg],2[kxm/img0704.jpg],2[kxm/img0435.jpg],2[kxm/img0650.jpg],3[kxm/img0184.jpg],3[kxm/img0270.jpg],3[kxm/img0573.jpg],3[kxm/img0269.jpg],2[kxm/img0397.jpg],2[kxm/img0591.jpg],2[kxm/img0848.jpg],3[kxm/img0421.jpg],3[kxm/img0598.jpg],3[kxm/img0702.jpg],3[kxm/img0243.jpg],2[kxm/img0338.jpg],4[kxm/img0202.jpg],3[kxm/img0631.jpg],2[kxm/img0005.jpg],1[kxm/img0513.jpg],3[kxm/img0206.jpg],4[kxm/img0187.jpg*],3[kxm/img0442.jpg],3[kxm/img0469.jpg],3[kxm/img0429.jpg],2[kxm/img0052.jpg],3[kxm/img0584.jpg],
