HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3WJ1OXY92AHG7H5YHI815WN37EWA8K,A1I7ACFIU8U11J,Approved,"Thu Apr 07 06:23:15 PDT 2016","Thu Apr 07 06:26:27 PDT 2016",3[kxm/img0541.jpg],4[kxm/img0778.jpg],2[kxm/img0030.jpg],4[kxm/img0068.jpg],4[kxm/img0199.jpg],5[kxm/img0669.jpg],5[kxm/img0305.jpg],3[kxm/img0325.jpg],4[kxm/img0659.jpg],5[kxm/img0268.jpg],5[kxm/img0837.jpg],1[kxm/img0684.jpg],5[kxm/img0548.jpg],3[kxm/img0468.jpg],3[kxm/img0014.jpg],5[kxm/img0041.jpg],2[kxm/img0616.jpg],1[kxm/img0291.jpg],5[kxm/img0671.jpg],4[kxm/img0121.jpg],2[kxm/img0572.jpg],4[kxm/img0351.jpg],3[kxm/img0657.jpg],4[kxm/img0148.jpg],5[kxm/img0187.jpg*],4[kxm/img0446.jpg],4[kxm/img0487.jpg],4[kxm/img0405.jpg],5[kxm/img0774.jpg],3[kxm/img0110.jpg],2[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3PH3VY7DJLYSYQ9ORD4605HYY6AZWT,AKM6O1668RL8P,Approved,"Thu Apr 07 06:56:18 PDT 2016","Thu Apr 07 06:58:34 PDT 2016",3[kxm/img0541.jpg],5[kxm/img0778.jpg],2[kxm/img0030.jpg],2[kxm/img0068.jpg],4[kxm/img0199.jpg],3[kxm/img0669.jpg],3[kxm/img0305.jpg],4[kxm/img0325.jpg],3[kxm/img0659.jpg],2[kxm/img0268.jpg],1[kxm/img0837.jpg],4[kxm/img0684.jpg],1[kxm/img0548.jpg],2[kxm/img0468.jpg],5[kxm/img0014.jpg],5[kxm/img0041.jpg],4[kxm/img0616.jpg],5[kxm/img0291.jpg],4[kxm/img0671.jpg],4[kxm/img0121.jpg],4[kxm/img0572.jpg],5[kxm/img0351.jpg],5[kxm/img0657.jpg],1[kxm/img0148.jpg],3[kxm/img0187.jpg*],5[kxm/img0446.jpg],5[kxm/img0487.jpg],5[kxm/img0405.jpg],5[kxm/img0774.jpg],3[kxm/img0110.jpg],3[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3B3WTRP3DB3RGJT49VL0ZAZGFWE92T,A39BR7NYRDWC01,Approved,"Thu Apr 07 08:18:11 PDT 2016","Thu Apr 07 08:20:58 PDT 2016",5[kxm/img0541.jpg],4[kxm/img0778.jpg],4[kxm/img0030.jpg],5[kxm/img0068.jpg],4[kxm/img0199.jpg],5[kxm/img0669.jpg],4[kxm/img0305.jpg],4[kxm/img0325.jpg],4[kxm/img0659.jpg],5[kxm/img0268.jpg],5[kxm/img0837.jpg],5[kxm/img0684.jpg],5[kxm/img0548.jpg],4[kxm/img0468.jpg],4[kxm/img0014.jpg],5[kxm/img0041.jpg],4[kxm/img0616.jpg],5[kxm/img0291.jpg],5[kxm/img0671.jpg],5[kxm/img0121.jpg],4[kxm/img0572.jpg],5[kxm/img0351.jpg],4[kxm/img0657.jpg],5[kxm/img0148.jpg],5[kxm/img0187.jpg*],5[kxm/img0446.jpg],4[kxm/img0487.jpg],5[kxm/img0405.jpg],4[kxm/img0774.jpg],5[kxm/img0110.jpg],1[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3GFK2QRXX9IURCPZKPXQB1A3X895W1,AWQDOOSNH42QM,Approved,"Thu Apr 07 09:06:10 PDT 2016","Thu Apr 07 09:07:06 PDT 2016",5[kxm/img0541.jpg],5[kxm/img0778.jpg],2[kxm/img0030.jpg],5[kxm/img0068.jpg],5[kxm/img0199.jpg],5[kxm/img0669.jpg],5[kxm/img0305.jpg],5[kxm/img0325.jpg],5[kxm/img0659.jpg],5[kxm/img0268.jpg],5[kxm/img0837.jpg],5[kxm/img0684.jpg],5[kxm/img0548.jpg],4[kxm/img0468.jpg],4[kxm/img0014.jpg],5[kxm/img0041.jpg],5[kxm/img0616.jpg],4[kxm/img0291.jpg],5[kxm/img0671.jpg],5[kxm/img0121.jpg],5[kxm/img0572.jpg],5[kxm/img0351.jpg],5[kxm/img0657.jpg],5[kxm/img0148.jpg],5[kxm/img0187.jpg*],5[kxm/img0446.jpg],5[kxm/img0487.jpg],5[kxm/img0405.jpg],5[kxm/img0774.jpg],5[kxm/img0110.jpg],5[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",388U7OUMF72QO9MCOPH8776VOOT0RO,A1XC5OV00MECKQ,Approved,"Thu Apr 07 21:53:12 PDT 2016","Thu Apr 07 22:06:09 PDT 2016",5[kxm/img0541.jpg],5[kxm/img0778.jpg],5[kxm/img0030.jpg],5[kxm/img0068.jpg],1[kxm/img0199.jpg],3[kxm/img0669.jpg],4[kxm/img0305.jpg],3[kxm/img0325.jpg],2[kxm/img0659.jpg],4[kxm/img0268.jpg],5[kxm/img0837.jpg],5[kxm/img0684.jpg],5[kxm/img0548.jpg],4[kxm/img0468.jpg],1[kxm/img0014.jpg],3[kxm/img0041.jpg],1[kxm/img0616.jpg],1[kxm/img0291.jpg],3[kxm/img0671.jpg],5[kxm/img0121.jpg],1[kxm/img0572.jpg],4[kxm/img0351.jpg],2[kxm/img0657.jpg],5[kxm/img0148.jpg],5[kxm/img0187.jpg*],1[kxm/img0446.jpg],5[kxm/img0487.jpg],5[kxm/img0405.jpg],5[kxm/img0774.jpg],5[kxm/img0110.jpg],1[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3634BBTX0OV4SEYJ1K6KWMS87U0IF7,A3FMVGPLM6G2R8,Approved,"Thu Apr 07 22:20:43 PDT 2016","Thu Apr 07 22:22:35 PDT 2016",5[kxm/img0541.jpg],4[kxm/img0778.jpg],2[kxm/img0030.jpg],4[kxm/img0068.jpg],5[kxm/img0199.jpg],3[kxm/img0669.jpg],4[kxm/img0305.jpg],5[kxm/img0325.jpg],3[kxm/img0659.jpg],1[kxm/img0268.jpg],2[kxm/img0837.jpg],2[kxm/img0684.jpg],2[kxm/img0548.jpg],3[kxm/img0468.jpg],5[kxm/img0014.jpg],5[kxm/img0041.jpg],2[kxm/img0616.jpg],3[kxm/img0291.jpg],3[kxm/img0671.jpg],5[kxm/img0121.jpg],1[kxm/img0572.jpg],1[kxm/img0351.jpg],1[kxm/img0657.jpg],2[kxm/img0148.jpg],5[kxm/img0187.jpg*],3[kxm/img0446.jpg],2[kxm/img0487.jpg],1[kxm/img0405.jpg],2[kxm/img0774.jpg],1[kxm/img0110.jpg],1[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3TXMY6UCAEPA602SNQLSXIYR1RTCQX,A1315KTT163I57,Approved,"Thu Apr 07 23:26:48 PDT 2016","Thu Apr 07 23:29:08 PDT 2016",2[kxm/img0541.jpg],5[kxm/img0778.jpg],4[kxm/img0030.jpg],4[kxm/img0068.jpg],5[kxm/img0199.jpg],5[kxm/img0669.jpg],4[kxm/img0305.jpg],4[kxm/img0325.jpg],5[kxm/img0659.jpg],3[kxm/img0268.jpg],2[kxm/img0837.jpg],5[kxm/img0684.jpg],3[kxm/img0548.jpg],5[kxm/img0468.jpg],5[kxm/img0014.jpg],5[kxm/img0041.jpg],5[kxm/img0616.jpg],5[kxm/img0291.jpg],4[kxm/img0671.jpg],5[kxm/img0121.jpg],2[kxm/img0572.jpg],4[kxm/img0351.jpg],5[kxm/img0657.jpg],4[kxm/img0148.jpg],4[kxm/img0187.jpg*],5[kxm/img0446.jpg],5[kxm/img0487.jpg],5[kxm/img0405.jpg],5[kxm/img0774.jpg],4[kxm/img0110.jpg],4[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3DEL4X4EL6M7I0495WY9OHM31JDXY4,A1ESKJFDQUMBL4,Approved,"Fri Apr 08 04:37:31 PDT 2016","Fri Apr 08 04:42:32 PDT 2016",2[kxm/img0541.jpg],3[kxm/img0778.jpg],2[kxm/img0030.jpg],3[kxm/img0068.jpg],2[kxm/img0199.jpg],2[kxm/img0669.jpg],4[kxm/img0305.jpg],3[kxm/img0325.jpg],2[kxm/img0659.jpg],4[kxm/img0268.jpg],3[kxm/img0837.jpg],2[kxm/img0684.jpg],2[kxm/img0548.jpg],2[kxm/img0468.jpg],4[kxm/img0014.jpg],4[kxm/img0041.jpg],2[kxm/img0616.jpg],2[kxm/img0291.jpg],4[kxm/img0671.jpg],4[kxm/img0121.jpg],3[kxm/img0572.jpg],3[kxm/img0351.jpg],3[kxm/img0657.jpg],3[kxm/img0148.jpg],2[kxm/img0187.jpg*],2[kxm/img0446.jpg],3[kxm/img0487.jpg],3[kxm/img0405.jpg],3[kxm/img0774.jpg],2[kxm/img0110.jpg],2[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3VNXK88KKCJ0DAR6X55B1FWRCZBV91,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:34:42 PDT 2016","Fri Apr 08 08:35:11 PDT 2016",3[kxm/img0541.jpg],3[kxm/img0778.jpg],4[kxm/img0030.jpg],4[kxm/img0068.jpg],4[kxm/img0199.jpg],4[kxm/img0669.jpg],4[kxm/img0305.jpg],5[kxm/img0325.jpg],4[kxm/img0659.jpg],5[kxm/img0268.jpg],4[kxm/img0837.jpg],4[kxm/img0684.jpg],4[kxm/img0548.jpg],4[kxm/img0468.jpg],4[kxm/img0014.jpg],4[kxm/img0041.jpg],4[kxm/img0616.jpg],4[kxm/img0291.jpg],4[kxm/img0671.jpg],4[kxm/img0121.jpg],4[kxm/img0572.jpg],4[kxm/img0351.jpg],4[kxm/img0657.jpg],4[kxm/img0148.jpg],4[kxm/img0187.jpg*],4[kxm/img0446.jpg],4[kxm/img0487.jpg],4[kxm/img0405.jpg],4[kxm/img0774.jpg],3[kxm/img0110.jpg],4[kxm/img0526.jpg],
3VEI3XUCZRYQP6S2F8RXYOBLG23PRA,"kxm_0-29","sample#command",3SPJ03342146NGZKOSJ8X8EOQMZYJK,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 10:05:24 PDT 2016","Fri Apr 08 10:07:14 PDT 2016",1[kxm/img0541.jpg],3[kxm/img0778.jpg],2[kxm/img0030.jpg],3[kxm/img0068.jpg],3[kxm/img0199.jpg],3[kxm/img0669.jpg],4[kxm/img0305.jpg],3[kxm/img0325.jpg],3[kxm/img0659.jpg],3[kxm/img0268.jpg],3[kxm/img0837.jpg],2[kxm/img0684.jpg],3[kxm/img0548.jpg],3[kxm/img0468.jpg],4[kxm/img0014.jpg],5[kxm/img0041.jpg],2[kxm/img0616.jpg],4[kxm/img0291.jpg],4[kxm/img0671.jpg],3[kxm/img0121.jpg],3[kxm/img0572.jpg],3[kxm/img0351.jpg],3[kxm/img0657.jpg],4[kxm/img0148.jpg],3[kxm/img0187.jpg*],3[kxm/img0446.jpg],3[kxm/img0487.jpg],4[kxm/img0405.jpg],3[kxm/img0774.jpg],2[kxm/img0110.jpg],2[kxm/img0526.jpg],
