HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30,Answer 31
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",3FQ5JJ512LP7M11OZBA9H7GU1LNKNV,A2PWBFKI79IFXZ,Approved,"Thu Apr 07 06:14:22 PDT 2016","Thu Apr 07 06:16:03 PDT 2016",5[kxm/img0737.jpg],4[kxm/img0852.jpg],5[kxm/img0176.jpg],5[kxm/img0416.jpg],4[kxm/img0078.jpg],3[kxm/img0143.jpg],4[kxm/img0525.jpg],5[kxm/img0230.jpg],3[kxm/img0039.jpg],3[kxm/img0795.jpg],2[kxm/img0679.jpg],4[kxm/img0610.jpg],4[kxm/img0053.jpg],3[kxm/img0720.jpg],2[kxm/img0162.jpg],5[kxm/img0119.jpg],5[kxm/img0226.jpg],2[kxm/img0547.jpg],2[kxm/img0415.jpg],5[kxm/img0187.jpg*],2[kxm/img0318.jpg],1[kxm/img0266.jpg],3[kxm/img0540.jpg],3[kxm/img0045.jpg],2[kxm/img0297.jpg],5[kxm/img0195.jpg],5[kxm/img0025.jpg],2[kxm/img0074.jpg],4[kxm/img0529.jpg],3[kxm/img0507.jpg],1[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",3QECW5O0KH22ZVL5PKSFOH34TDFT5L,A1LUGQBOW46XEH,Approved,"Thu Apr 07 06:14:42 PDT 2016","Thu Apr 07 06:19:21 PDT 2016",3[kxm/img0737.jpg],3[kxm/img0852.jpg],2[kxm/img0176.jpg],2[kxm/img0416.jpg],1[kxm/img0078.jpg],2[kxm/img0143.jpg],2[kxm/img0525.jpg],2[kxm/img0230.jpg],1[kxm/img0039.jpg],3[kxm/img0795.jpg],3[kxm/img0679.jpg],3[kxm/img0610.jpg],3[kxm/img0053.jpg],4[kxm/img0720.jpg],3[kxm/img0162.jpg],3[kxm/img0119.jpg],3[kxm/img0226.jpg],3[kxm/img0547.jpg],3[kxm/img0415.jpg],3[kxm/img0187.jpg*],3[kxm/img0318.jpg],3[kxm/img0266.jpg],3[kxm/img0540.jpg],3[kxm/img0045.jpg],3[kxm/img0297.jpg],3[kxm/img0195.jpg],3[kxm/img0025.jpg],3[kxm/img0074.jpg],3[kxm/img0529.jpg],3[kxm/img0507.jpg],3[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",33UKMF9319L4KXWVQGADRX9I9GBTTM,AWQDOOSNH42QM,Approved,"Thu Apr 07 07:22:00 PDT 2016","Thu Apr 07 07:23:01 PDT 2016",4[kxm/img0737.jpg],5[kxm/img0852.jpg],5[kxm/img0176.jpg],5[kxm/img0416.jpg],4[kxm/img0078.jpg],5[kxm/img0143.jpg],5[kxm/img0525.jpg],5[kxm/img0230.jpg],5[kxm/img0039.jpg],5[kxm/img0795.jpg],5[kxm/img0679.jpg],5[kxm/img0610.jpg],5[kxm/img0053.jpg],5[kxm/img0720.jpg],5[kxm/img0162.jpg],5[kxm/img0119.jpg],5[kxm/img0226.jpg],2[kxm/img0547.jpg],5[kxm/img0415.jpg],5[kxm/img0187.jpg*],5[kxm/img0318.jpg],4[kxm/img0266.jpg],5[kxm/img0540.jpg],5[kxm/img0045.jpg],5[kxm/img0297.jpg],5[kxm/img0195.jpg],5[kxm/img0025.jpg],5[kxm/img0074.jpg],5[kxm/img0529.jpg],5[kxm/img0507.jpg],1[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",39ZSFO5CA8XP67FFERMJUN8BUV8UJW,A39BR7NYRDWC01,Approved,"Thu Apr 07 16:49:44 PDT 2016","Thu Apr 07 16:53:10 PDT 2016",4[kxm/img0737.jpg],5[kxm/img0852.jpg],4[kxm/img0176.jpg],5[kxm/img0416.jpg],5[kxm/img0078.jpg],5[kxm/img0143.jpg],4[kxm/img0525.jpg],4[kxm/img0230.jpg],5[kxm/img0039.jpg],4[kxm/img0795.jpg],4[kxm/img0679.jpg],5[kxm/img0610.jpg],2[kxm/img0053.jpg],3[kxm/img0720.jpg],5[kxm/img0162.jpg],5[kxm/img0119.jpg],4[kxm/img0226.jpg],2[kxm/img0547.jpg],5[kxm/img0415.jpg],5[kxm/img0187.jpg*],4[kxm/img0318.jpg],3[kxm/img0266.jpg],4[kxm/img0540.jpg],3[kxm/img0045.jpg],4[kxm/img0297.jpg],5[kxm/img0195.jpg],4[kxm/img0025.jpg],4[kxm/img0074.jpg],4[kxm/img0529.jpg],5[kxm/img0507.jpg],3[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",3LUY3GC63Z1JU76HWWYSHRG3VKCP7M,A1XC5OV00MECKQ,Approved,"Thu Apr 07 22:28:33 PDT 2016","Thu Apr 07 22:30:46 PDT 2016",4[kxm/img0737.jpg],4[kxm/img0852.jpg],3[kxm/img0176.jpg],3[kxm/img0416.jpg],4[kxm/img0078.jpg],5[kxm/img0143.jpg],3[kxm/img0525.jpg],5[kxm/img0230.jpg],4[kxm/img0039.jpg],3[kxm/img0795.jpg],3[kxm/img0679.jpg],4[kxm/img0610.jpg],5[kxm/img0053.jpg],4[kxm/img0720.jpg],3[kxm/img0162.jpg],5[kxm/img0119.jpg],5[kxm/img0226.jpg],5[kxm/img0547.jpg],5[kxm/img0415.jpg],5[kxm/img0187.jpg*],4[kxm/img0318.jpg],3[kxm/img0266.jpg],3[kxm/img0540.jpg],4[kxm/img0045.jpg],3[kxm/img0297.jpg],4[kxm/img0195.jpg],5[kxm/img0025.jpg],4[kxm/img0074.jpg],3[kxm/img0529.jpg],3[kxm/img0507.jpg],2[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",3OWEPKL089DJRMU4GHL0D2B8V6K7NJ,AFG3FXABPGSZS,Approved,"Fri Apr 08 08:24:15 PDT 2016","Fri Apr 08 08:26:32 PDT 2016",5[kxm/img0737.jpg],4[kxm/img0852.jpg],4[kxm/img0176.jpg],4[kxm/img0416.jpg],2[kxm/img0078.jpg],2[kxm/img0143.jpg],4[kxm/img0525.jpg],4[kxm/img0230.jpg],4[kxm/img0039.jpg],4[kxm/img0795.jpg],4[kxm/img0679.jpg],2[kxm/img0610.jpg],4[kxm/img0053.jpg],2[kxm/img0720.jpg],3[kxm/img0162.jpg],2[kxm/img0119.jpg],4[kxm/img0226.jpg],4[kxm/img0547.jpg],4[kxm/img0415.jpg],2[kxm/img0187.jpg*],4[kxm/img0318.jpg],2[kxm/img0266.jpg],3[kxm/img0540.jpg],4[kxm/img0045.jpg],4[kxm/img0297.jpg],4[kxm/img0195.jpg],4[kxm/img0025.jpg],2[kxm/img0074.jpg],4[kxm/img0529.jpg],2[kxm/img0507.jpg],1[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",37C0GNLMHF4R1APM8D25BJZIMS96DE,A3HQ2BMN5WXE86,Approved,"Fri Apr 08 10:10:42 PDT 2016","Fri Apr 08 10:12:22 PDT 2016",3[kxm/img0737.jpg],3[kxm/img0852.jpg],3[kxm/img0176.jpg],3[kxm/img0416.jpg],4[kxm/img0078.jpg],3[kxm/img0143.jpg],3[kxm/img0525.jpg],3[kxm/img0230.jpg],3[kxm/img0039.jpg],3[kxm/img0795.jpg],2[kxm/img0679.jpg],3[kxm/img0610.jpg],4[kxm/img0053.jpg],3[kxm/img0720.jpg],2[kxm/img0162.jpg],2[kxm/img0119.jpg],2[kxm/img0226.jpg],2[kxm/img0547.jpg],3[kxm/img0415.jpg],3[kxm/img0187.jpg*],3[kxm/img0318.jpg],2[kxm/img0266.jpg],2[kxm/img0540.jpg],3[kxm/img0045.jpg],2[kxm/img0297.jpg],3[kxm/img0195.jpg],4[kxm/img0025.jpg],2[kxm/img0074.jpg],3[kxm/img0529.jpg],2[kxm/img0507.jpg],2[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",30MVJZJNHMERMFRCGGRSYRLXHFD9J9,A7JIY8AH7GTEF,Approved,"Fri Apr 08 22:45:58 PDT 2016","Fri Apr 08 22:48:56 PDT 2016",4[kxm/img0737.jpg],4[kxm/img0852.jpg],4[kxm/img0176.jpg],4[kxm/img0416.jpg],2[kxm/img0078.jpg],4[kxm/img0143.jpg],4[kxm/img0525.jpg],3[kxm/img0230.jpg],4[kxm/img0039.jpg],4[kxm/img0795.jpg],4[kxm/img0679.jpg],4[kxm/img0610.jpg],2[kxm/img0053.jpg],3[kxm/img0720.jpg],4[kxm/img0162.jpg],3[kxm/img0119.jpg],3[kxm/img0226.jpg],2[kxm/img0547.jpg],3[kxm/img0415.jpg],4[kxm/img0187.jpg*],3[kxm/img0318.jpg],3[kxm/img0266.jpg],3[kxm/img0540.jpg],3[kxm/img0045.jpg],4[kxm/img0297.jpg],3[kxm/img0195.jpg],3[kxm/img0025.jpg],2[kxm/img0074.jpg],3[kxm/img0529.jpg],3[kxm/img0507.jpg],1[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",3Z3ZLGNNSIVMT069UXAR4FUXVJR3QB,A39PT6IK8BV4V,Approved,"Sat Apr 09 09:28:25 PDT 2016","Sat Apr 09 09:32:38 PDT 2016",3[kxm/img0737.jpg],3[kxm/img0852.jpg],2[kxm/img0176.jpg],3[kxm/img0416.jpg],3[kxm/img0078.jpg],2[kxm/img0143.jpg],2[kxm/img0525.jpg],2[kxm/img0230.jpg],3[kxm/img0039.jpg],3[kxm/img0795.jpg],1[kxm/img0679.jpg],1[kxm/img0610.jpg],2[kxm/img0053.jpg],1[kxm/img0720.jpg],2[kxm/img0162.jpg],2[kxm/img0119.jpg],2[kxm/img0226.jpg],1[kxm/img0547.jpg],3[kxm/img0415.jpg],4[kxm/img0187.jpg*],1[kxm/img0318.jpg],1[kxm/img0266.jpg],1[kxm/img0540.jpg],2[kxm/img0045.jpg],2[kxm/img0297.jpg],3[kxm/img0195.jpg],3[kxm/img0025.jpg],1[kxm/img0074.jpg],3[kxm/img0529.jpg],2[kxm/img0507.jpg],1[kxm/img0252.jpg],
3VGZ74AYTGHG6RAKUSBFFKY7FADGCR,"kxm_300-329","sample#command",39LNWE0K4UXTBWV9W91JIMTBHMHUIU,A2V4G0SFZLH1BO,Approved,"Sat Apr 09 14:26:15 PDT 2016","Sat Apr 09 14:29:48 PDT 2016",4[kxm/img0737.jpg],4[kxm/img0852.jpg],5[kxm/img0176.jpg],4[kxm/img0416.jpg],3[kxm/img0078.jpg],4[kxm/img0143.jpg],3[kxm/img0525.jpg],5[kxm/img0230.jpg],4[kxm/img0039.jpg],3[kxm/img0795.jpg],3[kxm/img0679.jpg],3[kxm/img0610.jpg],4[kxm/img0053.jpg],4[kxm/img0720.jpg],4[kxm/img0162.jpg],5[kxm/img0119.jpg],5[kxm/img0226.jpg],4[kxm/img0547.jpg],5[kxm/img0415.jpg],4[kxm/img0187.jpg*],4[kxm/img0318.jpg],3[kxm/img0266.jpg],4[kxm/img0540.jpg],5[kxm/img0045.jpg],4[kxm/img0297.jpg],5[kxm/img0195.jpg],4[kxm/img0025.jpg],3[kxm/img0074.jpg],5[kxm/img0529.jpg],3[kxm/img0507.jpg],1[kxm/img0252.jpg],
