HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",39GAF6DQWSQFARQREI8JIQDRCV21VK,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:47:50 PDT 2016","Sun Sep 25 02:01:20 PDT 2016",5[mont_00000161.jpg],5[mont_00000190.jpg],5[mont_00000155.jpg],5[mont_00000118.jpg],5[mont_00000192.jpg],5[mont_00000136.jpg],5[mont_00000119.jpg],5[mont_00000099.jpg],5[mont_00000002.jpg],5[mont_00000004.jpg],5[mont_00000032.jpg],5[mont_00000034.jpg],5[mont_00000157.jpg],5[mont_00000006.jpg],5[mont_00000009.jpg],5[mont_00000054.jpg],5[mont_00000008.jpg],5[mont_00000010.jpg],5[mont_00000160.jpg],5[mont_00000011.jpg],5[mont_00000090.jpg],5[mont_00000089.jpg],5[mont_00000176.jpg],5[mont_00000092.jpg],5[mont_00000007.jpg],5[mont_00000038.jpg],5[mont_00000175.jpg],5[mont_00000097.jpg],5[mont_00000062.jpg],5[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3FDJT1UU75Y0IYXYG1WOJ7FR8D0K5Z,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:08 PDT 2016","Sun Sep 25 02:23:46 PDT 2016",4[mont_00000161.jpg],4[mont_00000190.jpg],4[mont_00000155.jpg],5[mont_00000118.jpg],4[mont_00000192.jpg],4[mont_00000136.jpg],4[mont_00000119.jpg],4[mont_00000099.jpg],4[mont_00000002.jpg],4[mont_00000004.jpg],4[mont_00000032.jpg],4[mont_00000034.jpg],4[mont_00000157.jpg],4[mont_00000006.jpg],4[mont_00000009.jpg],4[mont_00000054.jpg],4[mont_00000008.jpg],3[mont_00000010.jpg],3[mont_00000160.jpg],5[mont_00000011.jpg],4[mont_00000090.jpg],4[mont_00000089.jpg],3[mont_00000176.jpg],5[mont_00000092.jpg],5[mont_00000007.jpg],5[mont_00000038.jpg],4[mont_00000175.jpg],4[mont_00000097.jpg],5[mont_00000062.jpg],5[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3A4TN5196L8UFT55PQGZKL598DIHC0,A25WL7E75KK134,Approved,"Sun Sep 25 02:06:09 PDT 2016","Sun Sep 25 02:36:32 PDT 2016",2[mont_00000161.jpg],4[mont_00000190.jpg],5[mont_00000155.jpg],5[mont_00000118.jpg],4[mont_00000192.jpg],3[mont_00000136.jpg],4[mont_00000119.jpg],4[mont_00000099.jpg],4[mont_00000002.jpg],4[mont_00000004.jpg],5[mont_00000032.jpg],2[mont_00000034.jpg],5[mont_00000157.jpg],3[mont_00000006.jpg],4[mont_00000009.jpg],3[mont_00000054.jpg],2[mont_00000008.jpg],1[mont_00000010.jpg],1[mont_00000160.jpg],3[mont_00000011.jpg],4[mont_00000090.jpg],5[mont_00000089.jpg],4[mont_00000176.jpg],4[mont_00000092.jpg],3[mont_00000007.jpg],3[mont_00000038.jpg],4[mont_00000175.jpg],3[mont_00000097.jpg],4[mont_00000062.jpg],4[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3JV9LGBJWU4HOM7XVP78ULNPIRROG8,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:07:47 PDT 2016","Sun Sep 25 03:12:40 PDT 2016",2[mont_00000161.jpg],5[mont_00000190.jpg],4[mont_00000155.jpg],4[mont_00000118.jpg],4[mont_00000192.jpg],4[mont_00000136.jpg],4[mont_00000119.jpg],4[mont_00000099.jpg],4[mont_00000002.jpg],4[mont_00000004.jpg],5[mont_00000032.jpg],5[mont_00000034.jpg],5[mont_00000157.jpg],5[mont_00000006.jpg],4[mont_00000009.jpg],4[mont_00000054.jpg],2[mont_00000008.jpg],3[mont_00000010.jpg],4[mont_00000160.jpg],4[mont_00000011.jpg],4[mont_00000090.jpg],4[mont_00000089.jpg],4[mont_00000176.jpg],4[mont_00000092.jpg],4[mont_00000007.jpg],4[mont_00000038.jpg],4[mont_00000175.jpg],5[mont_00000097.jpg],5[mont_00000062.jpg],5[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3DY46V3X3Q8X0FCV9ESIHIW9BN9553,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 03:31:25 PDT 2016","Sun Sep 25 03:33:05 PDT 2016",4[mont_00000161.jpg],4[mont_00000190.jpg],4[mont_00000155.jpg],4[mont_00000118.jpg],5[mont_00000192.jpg],4[mont_00000136.jpg],4[mont_00000119.jpg],4[mont_00000099.jpg],3[mont_00000002.jpg],4[mont_00000004.jpg],5[mont_00000032.jpg],5[mont_00000034.jpg],4[mont_00000157.jpg],4[mont_00000006.jpg],3[mont_00000009.jpg],3[mont_00000054.jpg],4[mont_00000008.jpg],3[mont_00000010.jpg],3[mont_00000160.jpg],4[mont_00000011.jpg],4[mont_00000090.jpg],5[mont_00000089.jpg],4[mont_00000176.jpg],4[mont_00000092.jpg],4[mont_00000007.jpg],4[mont_00000038.jpg],4[mont_00000175.jpg],4[mont_00000097.jpg],4[mont_00000062.jpg],4[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3X3OR7WPZ0QUPMYIZZFSAR2XZ3D8LZ,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:52:56 PDT 2016","Sun Sep 25 05:54:54 PDT 2016",4[mont_00000161.jpg],3[mont_00000190.jpg],4[mont_00000155.jpg],2[mont_00000118.jpg],5[mont_00000192.jpg],4[mont_00000136.jpg],4[mont_00000119.jpg],4[mont_00000099.jpg],3[mont_00000002.jpg],3[mont_00000004.jpg],4[mont_00000032.jpg],4[mont_00000034.jpg],5[mont_00000157.jpg],5[mont_00000006.jpg],5[mont_00000009.jpg],4[mont_00000054.jpg],3[mont_00000008.jpg],2[mont_00000010.jpg],2[mont_00000160.jpg],4[mont_00000011.jpg],4[mont_00000090.jpg],5[mont_00000089.jpg],4[mont_00000176.jpg],4[mont_00000092.jpg],3[mont_00000007.jpg],3[mont_00000038.jpg],5[mont_00000175.jpg],5[mont_00000097.jpg],4[mont_00000062.jpg],4[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3R2PKQ87NXY7KASG8XSYNTB024AIML,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:43:04 PDT 2016","Sun Sep 25 06:43:47 PDT 2016",3[mont_00000161.jpg],5[mont_00000190.jpg],4[mont_00000155.jpg],5[mont_00000118.jpg],4[mont_00000192.jpg],4[mont_00000136.jpg],5[mont_00000119.jpg],5[mont_00000099.jpg],5[mont_00000002.jpg],5[mont_00000004.jpg],5[mont_00000032.jpg],5[mont_00000034.jpg],5[mont_00000157.jpg],5[mont_00000006.jpg],5[mont_00000009.jpg],5[mont_00000054.jpg],5[mont_00000008.jpg],5[mont_00000010.jpg],5[mont_00000160.jpg],5[mont_00000011.jpg],5[mont_00000090.jpg],5[mont_00000089.jpg],5[mont_00000176.jpg],5[mont_00000092.jpg],5[mont_00000007.jpg],5[mont_00000038.jpg],5[mont_00000175.jpg],5[mont_00000097.jpg],5[mont_00000062.jpg],5[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3AMW0RGHOES5JE0KXTXI951CT8QPNF,A1NV6KSQXA38MT,Approved,"Sun Sep 25 09:35:04 PDT 2016","Sun Sep 25 09:36:46 PDT 2016",4[mont_00000161.jpg],5[mont_00000190.jpg],5[mont_00000155.jpg],5[mont_00000118.jpg],5[mont_00000192.jpg],5[mont_00000136.jpg],5[mont_00000119.jpg],5[mont_00000099.jpg],4[mont_00000002.jpg],5[mont_00000004.jpg],5[mont_00000032.jpg],5[mont_00000034.jpg],4[mont_00000157.jpg],5[mont_00000006.jpg],5[mont_00000009.jpg],3[mont_00000054.jpg],4[mont_00000008.jpg],3[mont_00000010.jpg],3[mont_00000160.jpg],4[mont_00000011.jpg],4[mont_00000090.jpg],4[mont_00000089.jpg],4[mont_00000176.jpg],3[mont_00000092.jpg],4[mont_00000007.jpg],2[mont_00000038.jpg],4[mont_00000175.jpg],3[mont_00000097.jpg],3[mont_00000062.jpg],3[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3OS4RQUCRA5RRSMTG0W46GNEAE2BFO,A1YB1DX0PHWL8K,Approved,"Sun Sep 25 11:47:46 PDT 2016","Sun Sep 25 11:49:43 PDT 2016",4[mont_00000161.jpg],5[mont_00000190.jpg],4[mont_00000155.jpg],5[mont_00000118.jpg],5[mont_00000192.jpg],5[mont_00000136.jpg],4[mont_00000119.jpg],5[mont_00000099.jpg],4[mont_00000002.jpg],5[mont_00000004.jpg],5[mont_00000032.jpg],5[mont_00000034.jpg],5[mont_00000157.jpg],5[mont_00000006.jpg],5[mont_00000009.jpg],4[mont_00000054.jpg],5[mont_00000008.jpg],4[mont_00000010.jpg],1[mont_00000160.jpg],3[mont_00000011.jpg],5[mont_00000090.jpg],5[mont_00000089.jpg],5[mont_00000176.jpg],4[mont_00000092.jpg],4[mont_00000007.jpg],4[mont_00000038.jpg],5[mont_00000175.jpg],4[mont_00000097.jpg],3[mont_00000062.jpg],3[mont_00000041.jpg],
3CO05SML7VVLOBQZJCU8E4ATKCI0R5,"mont_60-89","sample#command",3DYGAII7PMYQMBDCDLPZDZWHYKTPQK,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 12:50:28 PDT 2016","Sun Sep 25 12:56:26 PDT 2016",2[mont_00000161.jpg],2[mont_00000190.jpg],2[mont_00000155.jpg],1[mont_00000118.jpg],2[mont_00000192.jpg],2[mont_00000136.jpg],3[mont_00000119.jpg],2[mont_00000099.jpg],3[mont_00000002.jpg],1[mont_00000004.jpg],3[mont_00000032.jpg],3[mont_00000034.jpg],2[mont_00000157.jpg],2[mont_00000006.jpg],1[mont_00000009.jpg],2[mont_00000054.jpg],1[mont_00000008.jpg],1[mont_00000010.jpg],1[mont_00000160.jpg],2[mont_00000011.jpg],1[mont_00000090.jpg],2[mont_00000089.jpg],2[mont_00000176.jpg],3[mont_00000092.jpg],4[mont_00000007.jpg],3[mont_00000038.jpg],2[mont_00000175.jpg],2[mont_00000097.jpg],3[mont_00000062.jpg],3[mont_00000041.jpg],
