HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3W8CV64QJ3PSHVY2D668IV412SF9HB,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:47:42 PDT 2016","Sun Sep 25 02:00:48 PDT 2016",5[mont_00000198.jpg],5[mont_00000139.jpg],5[mont_00000202.jpg],5[mont_00000128.jpg],5[mont_00000201.jpg],5[mont_00000120.jpg],5[mont_00000129.jpg],5[mont_00000126.jpg],5[mont_00000125.jpg],5[mont_00000203.jpg],5[mont_00000149.jpg],5[mont_00000127.jpg],5[mont_00000204.jpg],5[mont_00000205.jpg],5[mont_00000229.jpg],5[mont_00000148.jpg],5[mont_00000231.jpg],5[mont_00000223.jpg],5[mont_00000110.jpg],5[mont_00000234.jpg],5[mont_00000213.jpg],5[mont_00000109.jpg],5[mont_00000184.jpg],5[mont_00000036.jpg],5[mont_00000037.jpg],5[mont_00000112.jpg],5[mont_00000106.jpg],5[mont_00000216.jpg],5[mont_00000035.jpg],5[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3WI0P0II62IH9FPMLRN4IVPXGMSRD7,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:15 PDT 2016","Sun Sep 25 02:25:38 PDT 2016",4[mont_00000198.jpg],4[mont_00000139.jpg],4[mont_00000202.jpg],2[mont_00000128.jpg],3[mont_00000201.jpg],5[mont_00000120.jpg],4[mont_00000129.jpg],4[mont_00000126.jpg],4[mont_00000125.jpg],4[mont_00000203.jpg],4[mont_00000149.jpg],4[mont_00000127.jpg],3[mont_00000204.jpg],5[mont_00000205.jpg],4[mont_00000229.jpg],3[mont_00000148.jpg],4[mont_00000231.jpg],4[mont_00000223.jpg],3[mont_00000110.jpg],4[mont_00000234.jpg],4[mont_00000213.jpg],4[mont_00000109.jpg],4[mont_00000184.jpg],4[mont_00000036.jpg],4[mont_00000037.jpg],4[mont_00000112.jpg],4[mont_00000106.jpg],4[mont_00000216.jpg],3[mont_00000035.jpg],4[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",39GHHAVOMGHNBVNGKBD2D090TS8J4X,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:07:34 PDT 2016","Sun Sep 25 03:14:01 PDT 2016",4[mont_00000198.jpg],3[mont_00000139.jpg],5[mont_00000202.jpg],5[mont_00000128.jpg],5[mont_00000201.jpg],5[mont_00000120.jpg],5[mont_00000129.jpg],5[mont_00000126.jpg],5[mont_00000125.jpg],5[mont_00000203.jpg],5[mont_00000149.jpg],4[mont_00000127.jpg],4[mont_00000204.jpg],4[mont_00000205.jpg],4[mont_00000229.jpg],5[mont_00000148.jpg],5[mont_00000231.jpg],4[mont_00000223.jpg],4[mont_00000110.jpg],4[mont_00000234.jpg],4[mont_00000213.jpg],4[mont_00000109.jpg],4[mont_00000184.jpg],4[mont_00000036.jpg],5[mont_00000037.jpg],4[mont_00000112.jpg],4[mont_00000106.jpg],4[mont_00000216.jpg],4[mont_00000035.jpg],4[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3VHP9MDGROAA1XEZU0SZH0TWSY9FC4,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 03:29:02 PDT 2016","Sun Sep 25 03:31:06 PDT 2016",4[mont_00000198.jpg],5[mont_00000139.jpg],5[mont_00000202.jpg],5[mont_00000128.jpg],5[mont_00000201.jpg],5[mont_00000120.jpg],4[mont_00000129.jpg],5[mont_00000126.jpg],5[mont_00000125.jpg],5[mont_00000203.jpg],5[mont_00000149.jpg],5[mont_00000127.jpg],5[mont_00000204.jpg],4[mont_00000205.jpg],4[mont_00000229.jpg],5[mont_00000148.jpg],5[mont_00000231.jpg],4[mont_00000223.jpg],5[mont_00000110.jpg],4[mont_00000234.jpg],4[mont_00000213.jpg],4[mont_00000109.jpg],5[mont_00000184.jpg],4[mont_00000036.jpg],4[mont_00000037.jpg],5[mont_00000112.jpg],4[mont_00000106.jpg],5[mont_00000216.jpg],5[mont_00000035.jpg],4[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3Z2R0DQ0JI45X1M12WJNN5ZA46IE2D,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:43:20 PDT 2016","Sun Sep 25 04:45:49 PDT 2016",4[mont_00000198.jpg],4[mont_00000139.jpg],5[mont_00000202.jpg],5[mont_00000128.jpg],5[mont_00000201.jpg],5[mont_00000120.jpg],5[mont_00000129.jpg],4[mont_00000126.jpg],5[mont_00000125.jpg],5[mont_00000203.jpg],5[mont_00000149.jpg],4[mont_00000127.jpg],4[mont_00000204.jpg],4[mont_00000205.jpg],3[mont_00000229.jpg],3[mont_00000148.jpg],3[mont_00000231.jpg],3[mont_00000223.jpg],5[mont_00000110.jpg],3[mont_00000234.jpg],4[mont_00000213.jpg],4[mont_00000109.jpg],5[mont_00000184.jpg],4[mont_00000036.jpg],4[mont_00000037.jpg],5[mont_00000112.jpg],4[mont_00000106.jpg],5[mont_00000216.jpg],5[mont_00000035.jpg],3[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",38YMOXR4MVPNW2RTAYPWZONMRFR6W4,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:55:27 PDT 2016","Sun Sep 25 05:57:27 PDT 2016",2[mont_00000198.jpg],3[mont_00000139.jpg],4[mont_00000202.jpg],2[mont_00000128.jpg],4[mont_00000201.jpg],4[mont_00000120.jpg],3[mont_00000129.jpg],4[mont_00000126.jpg],3[mont_00000125.jpg],3[mont_00000203.jpg],2[mont_00000149.jpg],4[mont_00000127.jpg],3[mont_00000204.jpg],1[mont_00000205.jpg],3[mont_00000229.jpg],3[mont_00000148.jpg],5[mont_00000231.jpg],2[mont_00000223.jpg],3[mont_00000110.jpg],1[mont_00000234.jpg],5[mont_00000213.jpg],2[mont_00000109.jpg],5[mont_00000184.jpg],2[mont_00000036.jpg],2[mont_00000037.jpg],4[mont_00000112.jpg],4[mont_00000106.jpg],2[mont_00000216.jpg],1[mont_00000035.jpg],2[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3QY5DC2MXSA6NRVZGRDZB6F2ZYLFUJ,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:41:35 PDT 2016","Sun Sep 25 06:42:39 PDT 2016",4[mont_00000198.jpg],4[mont_00000139.jpg],4[mont_00000202.jpg],4[mont_00000128.jpg],4[mont_00000201.jpg],4[mont_00000120.jpg],4[mont_00000129.jpg],4[mont_00000126.jpg],4[mont_00000125.jpg],4[mont_00000203.jpg],5[mont_00000149.jpg],5[mont_00000127.jpg],5[mont_00000204.jpg],5[mont_00000205.jpg],4[mont_00000229.jpg],5[mont_00000148.jpg],5[mont_00000231.jpg],5[mont_00000223.jpg],5[mont_00000110.jpg],5[mont_00000234.jpg],5[mont_00000213.jpg],5[mont_00000109.jpg],5[mont_00000184.jpg],5[mont_00000036.jpg],5[mont_00000037.jpg],5[mont_00000112.jpg],4[mont_00000106.jpg],5[mont_00000216.jpg],5[mont_00000035.jpg],5[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3EJPLAJKEN6RQXWYLL93YSH48IGZ6A,A24F42H3K58D8A,Approved,"Sun Sep 25 10:53:13 PDT 2016","Sun Sep 25 10:54:36 PDT 2016",3[mont_00000198.jpg],4[mont_00000139.jpg],5[mont_00000202.jpg],2[mont_00000128.jpg],5[mont_00000201.jpg],5[mont_00000120.jpg],5[mont_00000129.jpg],5[mont_00000126.jpg],5[mont_00000125.jpg],4[mont_00000203.jpg],5[mont_00000149.jpg],5[mont_00000127.jpg],4[mont_00000204.jpg],5[mont_00000205.jpg],3[mont_00000229.jpg],5[mont_00000148.jpg],2[mont_00000231.jpg],5[mont_00000223.jpg],5[mont_00000110.jpg],4[mont_00000234.jpg],5[mont_00000213.jpg],5[mont_00000109.jpg],5[mont_00000184.jpg],5[mont_00000036.jpg],5[mont_00000037.jpg],5[mont_00000112.jpg],5[mont_00000106.jpg],5[mont_00000216.jpg],5[mont_00000035.jpg],5[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3U0SRXB7CEVQVRGZAL17E01RURUNRN,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 12:50:59 PDT 2016","Sun Sep 25 12:53:55 PDT 2016",2[mont_00000198.jpg],2[mont_00000139.jpg],2[mont_00000202.jpg],3[mont_00000128.jpg],2[mont_00000201.jpg],3[mont_00000120.jpg],3[mont_00000129.jpg],2[mont_00000126.jpg],4[mont_00000125.jpg],3[mont_00000203.jpg],3[mont_00000149.jpg],2[mont_00000127.jpg],2[mont_00000204.jpg],2[mont_00000205.jpg],3[mont_00000229.jpg],1[mont_00000148.jpg],2[mont_00000231.jpg],1[mont_00000223.jpg],1[mont_00000110.jpg],2[mont_00000234.jpg],3[mont_00000213.jpg],3[mont_00000109.jpg],3[mont_00000184.jpg],4[mont_00000036.jpg],2[mont_00000037.jpg],2[mont_00000112.jpg],2[mont_00000106.jpg],3[mont_00000216.jpg],4[mont_00000035.jpg],1[mont_00000159.jpg],
3GVPRXWRPHKMDNN0EOL8FRJP5U5I7J,"mont_120-149","sample#command",3OSWBBLG1FN16BBYUQTW7DBLH4XDXB,A39BR7NYRDWC01,Approved,"Sun Sep 25 16:07:39 PDT 2016","Sun Sep 25 16:12:39 PDT 2016",4[mont_00000198.jpg],5[mont_00000139.jpg],5[mont_00000202.jpg],3[mont_00000128.jpg],5[mont_00000201.jpg],4[mont_00000120.jpg],3[mont_00000129.jpg],5[mont_00000126.jpg],5[mont_00000125.jpg],4[mont_00000203.jpg],4[mont_00000149.jpg],5[mont_00000127.jpg],5[mont_00000204.jpg],4[mont_00000205.jpg],5[mont_00000229.jpg],5[mont_00000148.jpg],4[mont_00000231.jpg],3[mont_00000223.jpg],5[mont_00000110.jpg],4[mont_00000234.jpg],5[mont_00000213.jpg],5[mont_00000109.jpg],4[mont_00000184.jpg],4[mont_00000036.jpg],5[mont_00000037.jpg],4[mont_00000112.jpg],3[mont_00000106.jpg],5[mont_00000216.jpg],4[mont_00000035.jpg],5[mont_00000159.jpg],
