HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3GNCZX450JDYZV6VOPSDNZHCU16PAA,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:47:22 PDT 2016","Sun Sep 25 02:00:21 PDT 2016",5[mont_00000027.jpg],5[mont_00000152.jpg],5[mont_00000050.jpg],5[mont_00000063.jpg],5[mont_00000056.jpg],5[mont_00000158.jpg],5[mont_00000005.jpg],5[mont_00000134.jpg],5[mont_00000052.jpg],5[mont_00000030.jpg],5[mont_00000221.jpg],5[mont_00000233.jpg],5[mont_00000095.jpg],5[mont_00000053.jpg],5[mont_00000043.jpg],5[mont_00000057.jpg],5[mont_00000105.jpg],5[mont_00000193.jpg],5[mont_00000087.jpg],5[mont_00000123.jpg],5[mont_00000031.jpg],5[mont_00000102.jpg],5[mont_00000133.jpg],5[mont_00000039.jpg],5[mont_00000194.jpg],5[mont_00000165.jpg],5[mont_00000156.jpg],5[mont_00000209.jpg],5[mont_00000163.jpg],5[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3LUY3GC630QGGT8XHMGTD8FMTT1P7K,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:33 PDT 2016","Sun Sep 25 02:27:49 PDT 2016",5[mont_00000027.jpg],5[mont_00000152.jpg],5[mont_00000050.jpg],5[mont_00000063.jpg],4[mont_00000056.jpg],4[mont_00000158.jpg],5[mont_00000005.jpg],4[mont_00000134.jpg],4[mont_00000052.jpg],4[mont_00000030.jpg],4[mont_00000221.jpg],4[mont_00000233.jpg],5[mont_00000095.jpg],4[mont_00000053.jpg],4[mont_00000043.jpg],4[mont_00000057.jpg],3[mont_00000105.jpg],4[mont_00000193.jpg],2[mont_00000087.jpg],4[mont_00000123.jpg],4[mont_00000031.jpg],4[mont_00000102.jpg],4[mont_00000133.jpg],4[mont_00000039.jpg],4[mont_00000194.jpg],3[mont_00000165.jpg],4[mont_00000156.jpg],4[mont_00000209.jpg],4[mont_00000163.jpg],4[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3NC5L260MPCBAMB2K51QC0NDHCQOF8,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:47:20 PDT 2016","Sun Sep 25 02:48:57 PDT 2016",4[mont_00000027.jpg],5[mont_00000152.jpg],4[mont_00000050.jpg],4[mont_00000063.jpg],4[mont_00000056.jpg],4[mont_00000158.jpg],4[mont_00000005.jpg],5[mont_00000134.jpg],4[mont_00000052.jpg],3[mont_00000030.jpg],3[mont_00000221.jpg],4[mont_00000233.jpg],5[mont_00000095.jpg],5[mont_00000053.jpg],3[mont_00000043.jpg],4[mont_00000057.jpg],4[mont_00000105.jpg],5[mont_00000193.jpg],5[mont_00000087.jpg],4[mont_00000123.jpg],4[mont_00000031.jpg],5[mont_00000102.jpg],4[mont_00000133.jpg],4[mont_00000039.jpg],5[mont_00000194.jpg],5[mont_00000165.jpg],4[mont_00000156.jpg],4[mont_00000209.jpg],4[mont_00000163.jpg],4[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",354GIDR5ZCWZA14TF2GUJS4RD7M00R,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:54:01 PDT 2016","Sun Sep 25 02:58:14 PDT 2016",4[mont_00000027.jpg],3[mont_00000152.jpg],4[mont_00000050.jpg],4[mont_00000063.jpg],4[mont_00000056.jpg],4[mont_00000158.jpg],3[mont_00000005.jpg],4[mont_00000134.jpg],4[mont_00000052.jpg],4[mont_00000030.jpg],4[mont_00000221.jpg],4[mont_00000233.jpg],4[mont_00000095.jpg],4[mont_00000053.jpg],4[mont_00000043.jpg],4[mont_00000057.jpg],2[mont_00000105.jpg],2[mont_00000193.jpg],2[mont_00000087.jpg],2[mont_00000123.jpg],2[mont_00000031.jpg],2[mont_00000102.jpg],2[mont_00000133.jpg],2[mont_00000039.jpg],2[mont_00000194.jpg],2[mont_00000165.jpg],2[mont_00000156.jpg],2[mont_00000209.jpg],2[mont_00000163.jpg],2[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3WZ36BJEV461AX4UBK1TNK2F1MIBT2,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:46:19 PDT 2016","Sun Sep 25 04:48:56 PDT 2016",4[mont_00000027.jpg],4[mont_00000152.jpg],5[mont_00000050.jpg],5[mont_00000063.jpg],3[mont_00000056.jpg],3[mont_00000158.jpg],4[mont_00000005.jpg],4[mont_00000134.jpg],4[mont_00000052.jpg],3[mont_00000030.jpg],2[mont_00000221.jpg],3[mont_00000233.jpg],4[mont_00000095.jpg],4[mont_00000053.jpg],4[mont_00000043.jpg],4[mont_00000057.jpg],3[mont_00000105.jpg],3[mont_00000193.jpg],3[mont_00000087.jpg],3[mont_00000123.jpg],4[mont_00000031.jpg],3[mont_00000102.jpg],4[mont_00000133.jpg],5[mont_00000039.jpg],3[mont_00000194.jpg],5[mont_00000165.jpg],3[mont_00000156.jpg],2[mont_00000209.jpg],5[mont_00000163.jpg],4[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3AAPLD8UCD7B1A7GBCBP9V5DWZPTH2,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:58:14 PDT 2016","Sun Sep 25 06:00:27 PDT 2016",3[mont_00000027.jpg],5[mont_00000152.jpg],4[mont_00000050.jpg],5[mont_00000063.jpg],5[mont_00000056.jpg],3[mont_00000158.jpg],4[mont_00000005.jpg],3[mont_00000134.jpg],2[mont_00000052.jpg],1[mont_00000030.jpg],2[mont_00000221.jpg],1[mont_00000233.jpg],5[mont_00000095.jpg],3[mont_00000053.jpg],3[mont_00000043.jpg],4[mont_00000057.jpg],4[mont_00000105.jpg],3[mont_00000193.jpg],2[mont_00000087.jpg],2[mont_00000123.jpg],4[mont_00000031.jpg],3[mont_00000102.jpg],3[mont_00000133.jpg],4[mont_00000039.jpg],3[mont_00000194.jpg],5[mont_00000165.jpg],2[mont_00000156.jpg],5[mont_00000209.jpg],3[mont_00000163.jpg],4[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3VE8AYVF8NN8PUOMDOCUFEXD27T8FW,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:39:19 PDT 2016","Sun Sep 25 06:41:09 PDT 2016",5[mont_00000027.jpg],5[mont_00000152.jpg],5[mont_00000050.jpg],5[mont_00000063.jpg],5[mont_00000056.jpg],5[mont_00000158.jpg],5[mont_00000005.jpg],5[mont_00000134.jpg],5[mont_00000052.jpg],5[mont_00000030.jpg],5[mont_00000221.jpg],4[mont_00000233.jpg],4[mont_00000095.jpg],5[mont_00000053.jpg],5[mont_00000043.jpg],5[mont_00000057.jpg],5[mont_00000105.jpg],5[mont_00000193.jpg],4[mont_00000087.jpg],5[mont_00000123.jpg],5[mont_00000031.jpg],5[mont_00000102.jpg],5[mont_00000133.jpg],5[mont_00000039.jpg],5[mont_00000194.jpg],5[mont_00000165.jpg],5[mont_00000156.jpg],5[mont_00000209.jpg],5[mont_00000163.jpg],5[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3E1QT0TDFQZSZLQCEWIFIBA5IZXI89,A311BTV53IKX3D,Approved,"Sun Sep 25 09:46:07 PDT 2016","Sun Sep 25 09:47:47 PDT 2016",4[mont_00000027.jpg],5[mont_00000152.jpg],5[mont_00000050.jpg],4[mont_00000063.jpg],4[mont_00000056.jpg],4[mont_00000158.jpg],5[mont_00000005.jpg],4[mont_00000134.jpg],3[mont_00000052.jpg],4[mont_00000030.jpg],4[mont_00000221.jpg],4[mont_00000233.jpg],5[mont_00000095.jpg],4[mont_00000053.jpg],5[mont_00000043.jpg],5[mont_00000057.jpg],4[mont_00000105.jpg],4[mont_00000193.jpg],3[mont_00000087.jpg],3[mont_00000123.jpg],4[mont_00000031.jpg],4[mont_00000102.jpg],4[mont_00000133.jpg],5[mont_00000039.jpg],4[mont_00000194.jpg],5[mont_00000165.jpg],5[mont_00000156.jpg],3[mont_00000209.jpg],4[mont_00000163.jpg],4[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3MB8LZR5BGJEKN0J8OCV0WBOU4WKLL,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 11:40:13 PDT 2016","Sun Sep 25 11:42:36 PDT 2016",1[mont_00000027.jpg],2[mont_00000152.jpg],4[mont_00000050.jpg],2[mont_00000063.jpg],1[mont_00000056.jpg],2[mont_00000158.jpg],1[mont_00000005.jpg],2[mont_00000134.jpg],2[mont_00000052.jpg],2[mont_00000030.jpg],1[mont_00000221.jpg],2[mont_00000233.jpg],2[mont_00000095.jpg],2[mont_00000053.jpg],4[mont_00000043.jpg],4[mont_00000057.jpg],4[mont_00000105.jpg],3[mont_00000193.jpg],3[mont_00000087.jpg],3[mont_00000123.jpg],4[mont_00000031.jpg],4[mont_00000102.jpg],3[mont_00000133.jpg],3[mont_00000039.jpg],2[mont_00000194.jpg],3[mont_00000165.jpg],3[mont_00000156.jpg],2[mont_00000209.jpg],3[mont_00000163.jpg],2[mont_00000166.jpg],
3IHWR4LC7D3QD1SJOTDETRFKGEBI86,"mont_30-59","sample#command",3KXIR214I56N5ZP8DQ7AEJNJRIR240,AUG53KCOWS12S,Approved,"Sun Sep 25 14:03:44 PDT 2016","Sun Sep 25 14:07:57 PDT 2016",3[mont_00000027.jpg],4[mont_00000152.jpg],2[mont_00000050.jpg],3[mont_00000063.jpg],1[mont_00000056.jpg],2[mont_00000158.jpg],2[mont_00000005.jpg],1[mont_00000134.jpg],3[mont_00000052.jpg],1[mont_00000030.jpg],2[mont_00000221.jpg],5[mont_00000233.jpg],4[mont_00000095.jpg],2[mont_00000053.jpg],2[mont_00000043.jpg],1[mont_00000057.jpg],5[mont_00000105.jpg],3[mont_00000193.jpg],4[mont_00000087.jpg],3[mont_00000123.jpg],3[mont_00000031.jpg],4[mont_00000102.jpg],2[mont_00000133.jpg],1[mont_00000039.jpg],1[mont_00000194.jpg],5[mont_00000165.jpg],1[mont_00000156.jpg],2[mont_00000209.jpg],3[mont_00000163.jpg],4[mont_00000166.jpg],
