HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3PJ71Z61R5SHDKDOBH3NQ8OUL3K195,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:10:16 PDT 2016","Sun Sep 25 02:16:35 PDT 2016",5[mont_00000206.jpg],5[mont_00000021.jpg],5[mont_00000088.jpg],5[mont_00000187.jpg],5[mont_00000098.jpg],5[mont_00000191.jpg],5[mont_00000061.jpg],5[mont_00000029.jpg],5[mont_00000124.jpg],5[mont_00000169.jpg],5[mont_00000060.jpg],5[mont_00000207.jpg],5[mont_00000168.jpg],5[mont_00000103.jpg],5[mont_00000164.jpg],5[mont_00000195.jpg],5[mont_00000225.jpg],5[mont_00000023.jpg],5[mont_00000104.jpg],5[mont_00000100.jpg],5[mont_00000226.jpg],5[mont_00000212.jpg],5[mont_00000232.jpg],5[mont_00000131.jpg],5[mont_00000222.jpg],5[mont_00000218.jpg],5[mont_00000111.jpg],5[mont_00000235.jpg],5[mont_00000200.jpg],5[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3YW4XOSQKRBFXC1R9SYEM4B8YOU1UW,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:54 PDT 2016","Sun Sep 25 02:32:50 PDT 2016",5[mont_00000206.jpg],2[mont_00000021.jpg],4[mont_00000088.jpg],2[mont_00000187.jpg],3[mont_00000098.jpg],3[mont_00000191.jpg],2[mont_00000061.jpg],3[mont_00000029.jpg],3[mont_00000124.jpg],1[mont_00000169.jpg],4[mont_00000060.jpg],4[mont_00000207.jpg],1[mont_00000168.jpg],2[mont_00000103.jpg],3[mont_00000164.jpg],3[mont_00000195.jpg],1[mont_00000225.jpg],3[mont_00000023.jpg],3[mont_00000104.jpg],1[mont_00000100.jpg],3[mont_00000226.jpg],1[mont_00000212.jpg],3[mont_00000232.jpg],3[mont_00000131.jpg],1[mont_00000222.jpg],2[mont_00000218.jpg],3[mont_00000111.jpg],3[mont_00000235.jpg],3[mont_00000200.jpg],4[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3IXQG4FA2UOIQIVGDEWCWK137FC9BX,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:43:17 PDT 2016","Sun Sep 25 02:45:04 PDT 2016",5[mont_00000206.jpg],5[mont_00000021.jpg],5[mont_00000088.jpg],5[mont_00000187.jpg],5[mont_00000098.jpg],4[mont_00000191.jpg],5[mont_00000061.jpg],4[mont_00000029.jpg],4[mont_00000124.jpg],5[mont_00000169.jpg],5[mont_00000060.jpg],3[mont_00000207.jpg],4[mont_00000168.jpg],4[mont_00000103.jpg],4[mont_00000164.jpg],4[mont_00000195.jpg],3[mont_00000225.jpg],5[mont_00000023.jpg],5[mont_00000104.jpg],3[mont_00000100.jpg],4[mont_00000226.jpg],4[mont_00000212.jpg],5[mont_00000232.jpg],5[mont_00000131.jpg],3[mont_00000222.jpg],4[mont_00000218.jpg],4[mont_00000111.jpg],5[mont_00000235.jpg],5[mont_00000200.jpg],5[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3VA45EW49ODKK7HUD6M5NYJJG281OL,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:52:50 PDT 2016","Sun Sep 25 02:57:00 PDT 2016",2[mont_00000206.jpg],3[mont_00000021.jpg],2[mont_00000088.jpg],2[mont_00000187.jpg],2[mont_00000098.jpg],2[mont_00000191.jpg],3[mont_00000061.jpg],1[mont_00000029.jpg],2[mont_00000124.jpg],1[mont_00000169.jpg],2[mont_00000060.jpg],4[mont_00000207.jpg],4[mont_00000168.jpg],4[mont_00000103.jpg],5[mont_00000164.jpg],4[mont_00000195.jpg],3[mont_00000225.jpg],4[mont_00000023.jpg],3[mont_00000104.jpg],3[mont_00000100.jpg],3[mont_00000226.jpg],4[mont_00000212.jpg],3[mont_00000232.jpg],4[mont_00000131.jpg],3[mont_00000222.jpg],3[mont_00000218.jpg],3[mont_00000111.jpg],4[mont_00000235.jpg],5[mont_00000200.jpg],4[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3NL0RFNU0GDIMFTY2WDEEF9D8HAK4Z,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:51:56 PDT 2016","Sun Sep 25 04:53:41 PDT 2016",2[mont_00000206.jpg],4[mont_00000021.jpg],4[mont_00000088.jpg],4[mont_00000187.jpg],2[mont_00000098.jpg],2[mont_00000191.jpg],4[mont_00000061.jpg],3[mont_00000029.jpg],3[mont_00000124.jpg],3[mont_00000169.jpg],4[mont_00000060.jpg],3[mont_00000207.jpg],3[mont_00000168.jpg],3[mont_00000103.jpg],3[mont_00000164.jpg],2[mont_00000195.jpg],4[mont_00000225.jpg],5[mont_00000023.jpg],4[mont_00000104.jpg],4[mont_00000100.jpg],4[mont_00000226.jpg],4[mont_00000212.jpg],4[mont_00000232.jpg],3[mont_00000131.jpg],2[mont_00000222.jpg],2[mont_00000218.jpg],4[mont_00000111.jpg],3[mont_00000235.jpg],4[mont_00000200.jpg],4[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3MAOD8E57R0ASN2BJK7Z3INFV7NXNZ,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:36:00 PDT 2016","Sun Sep 25 06:37:11 PDT 2016",4[mont_00000206.jpg],4[mont_00000021.jpg],5[mont_00000088.jpg],5[mont_00000187.jpg],5[mont_00000098.jpg],4[mont_00000191.jpg],5[mont_00000061.jpg],5[mont_00000029.jpg],5[mont_00000124.jpg],5[mont_00000169.jpg],5[mont_00000060.jpg],5[mont_00000207.jpg],5[mont_00000168.jpg],5[mont_00000103.jpg],5[mont_00000164.jpg],4[mont_00000195.jpg],5[mont_00000225.jpg],5[mont_00000023.jpg],5[mont_00000104.jpg],5[mont_00000100.jpg],5[mont_00000226.jpg],5[mont_00000212.jpg],5[mont_00000232.jpg],5[mont_00000131.jpg],3[mont_00000222.jpg],2[mont_00000218.jpg],4[mont_00000111.jpg],4[mont_00000235.jpg],5[mont_00000200.jpg],5[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3KJYX6QCMA1M586V47EPMQ9D6CBJVF,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 06:48:13 PDT 2016","Sun Sep 25 06:52:20 PDT 2016",3[mont_00000206.jpg],4[mont_00000021.jpg],4[mont_00000088.jpg],3[mont_00000187.jpg],4[mont_00000098.jpg],4[mont_00000191.jpg],5[mont_00000061.jpg],4[mont_00000029.jpg],3[mont_00000124.jpg],3[mont_00000169.jpg],2[mont_00000060.jpg],4[mont_00000207.jpg],3[mont_00000168.jpg],4[mont_00000103.jpg],5[mont_00000164.jpg],5[mont_00000195.jpg],4[mont_00000225.jpg],4[mont_00000023.jpg],3[mont_00000104.jpg],1[mont_00000100.jpg],1[mont_00000226.jpg],3[mont_00000212.jpg],3[mont_00000232.jpg],4[mont_00000131.jpg],1[mont_00000222.jpg],4[mont_00000218.jpg],5[mont_00000111.jpg],3[mont_00000235.jpg],2[mont_00000200.jpg],4[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3WQQ9FUS6BKICDC68MQYWO6SN928BF,A1G8XY49335US8,Approved,"Sun Sep 25 06:56:03 PDT 2016","Sun Sep 25 06:58:00 PDT 2016",3[mont_00000206.jpg],4[mont_00000021.jpg],5[mont_00000088.jpg],4[mont_00000187.jpg],4[mont_00000098.jpg],4[mont_00000191.jpg],4[mont_00000061.jpg],5[mont_00000029.jpg],5[mont_00000124.jpg],4[mont_00000169.jpg],5[mont_00000060.jpg],4[mont_00000207.jpg],4[mont_00000168.jpg],4[mont_00000103.jpg],4[mont_00000164.jpg],5[mont_00000195.jpg],5[mont_00000225.jpg],5[mont_00000023.jpg],5[mont_00000104.jpg],3[mont_00000100.jpg],4[mont_00000226.jpg],3[mont_00000212.jpg],4[mont_00000232.jpg],4[mont_00000131.jpg],2[mont_00000222.jpg],4[mont_00000218.jpg],5[mont_00000111.jpg],5[mont_00000235.jpg],3[mont_00000200.jpg],4[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",31Z0PCVWUL5E8L14Y3PDIIGJIW6T7D,A311BTV53IKX3D,Approved,"Sun Sep 25 09:41:00 PDT 2016","Sun Sep 25 09:43:04 PDT 2016",4[mont_00000206.jpg],4[mont_00000021.jpg],4[mont_00000088.jpg],3[mont_00000187.jpg],3[mont_00000098.jpg],3[mont_00000191.jpg],3[mont_00000061.jpg],3[mont_00000029.jpg],3[mont_00000124.jpg],4[mont_00000169.jpg],4[mont_00000060.jpg],3[mont_00000207.jpg],4[mont_00000168.jpg],3[mont_00000103.jpg],5[mont_00000164.jpg],4[mont_00000195.jpg],4[mont_00000225.jpg],5[mont_00000023.jpg],4[mont_00000104.jpg],3[mont_00000100.jpg],4[mont_00000226.jpg],5[mont_00000212.jpg],5[mont_00000232.jpg],4[mont_00000131.jpg],3[mont_00000222.jpg],3[mont_00000218.jpg],5[mont_00000111.jpg],4[mont_00000235.jpg],5[mont_00000200.jpg],4[mont_00000107.jpg],
3KQC8JMJGCI4G9BT6U0X2Y6U0F43H6,"mont_150-179","sample#command",3WQ3B2KGE9601DSL91HJHEJK94I1BC,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 11:34:57 PDT 2016","Sun Sep 25 11:39:00 PDT 2016",3[mont_00000206.jpg],4[mont_00000021.jpg],3[mont_00000088.jpg],4[mont_00000187.jpg],4[mont_00000098.jpg],3[mont_00000191.jpg],3[mont_00000061.jpg],2[mont_00000029.jpg],1[mont_00000124.jpg],1[mont_00000169.jpg],4[mont_00000060.jpg],4[mont_00000207.jpg],4[mont_00000168.jpg],4[mont_00000103.jpg],3[mont_00000164.jpg],4[mont_00000195.jpg],3[mont_00000225.jpg],4[mont_00000023.jpg],4[mont_00000104.jpg],1[mont_00000100.jpg],2[mont_00000226.jpg],5[mont_00000212.jpg],1[mont_00000232.jpg],1[mont_00000131.jpg],1[mont_00000222.jpg],4[mont_00000218.jpg],2[mont_00000111.jpg],3[mont_00000235.jpg],3[mont_00000200.jpg],2[mont_00000107.jpg],
