HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",39N5ACM9HFDKUCWQWJEDR46SOJOP9V,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:47:19 PDT 2016","Sun Sep 25 01:59:55 PDT 2016",5[mont_00000040.jpg],5[mont_00000014.jpg],5[mont_00000171.jpg],5[mont_00000183.jpg],4[mont_00000096.jpg],5[mont_00000114.jpg],5[mont_00000055.jpg],5[mont_00000051.jpg],5[mont_00000042.jpg],5[mont_00000199.jpg],5[mont_00000046.jpg],5[mont_00000015.jpg],5[mont_00000174.jpg],5[mont_00000020.jpg],5[mont_00000044.jpg],5[mont_00000142.jpg],5[mont_00000000.jpg],5[mont_00000045.jpg],5[mont_00000001.jpg],5[mont_00000049.jpg],5[mont_00000181.jpg],5[mont_00000047.jpg],5[mont_00000143.jpg],5[mont_00000228.jpg],5[mont_00000022.jpg],5[mont_00000116.jpg],5[mont_00000170.jpg],5[mont_00000141.jpg],5[mont_00000025.jpg],5[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",36V4Q8R5ZLQK18GZL5X7WV2MTEIMQJ,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:45 PDT 2016","Sun Sep 25 02:30:37 PDT 2016",3[mont_00000040.jpg],3[mont_00000014.jpg],4[mont_00000171.jpg],4[mont_00000183.jpg],2[mont_00000096.jpg],5[mont_00000114.jpg],4[mont_00000055.jpg],4[mont_00000051.jpg],2[mont_00000042.jpg],3[mont_00000199.jpg],4[mont_00000046.jpg],5[mont_00000015.jpg],5[mont_00000174.jpg],4[mont_00000020.jpg],4[mont_00000044.jpg],2[mont_00000142.jpg],3[mont_00000000.jpg],4[mont_00000045.jpg],3[mont_00000001.jpg],4[mont_00000049.jpg],4[mont_00000181.jpg],3[mont_00000047.jpg],4[mont_00000143.jpg],4[mont_00000228.jpg],4[mont_00000022.jpg],4[mont_00000116.jpg],3[mont_00000170.jpg],4[mont_00000141.jpg],3[mont_00000025.jpg],2[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",3IXEICO7939V4LNZFTKLC4GNNL2T6U,A25WL7E75KK134,Approved,"Sun Sep 25 02:05:31 PDT 2016","Sun Sep 25 02:33:29 PDT 2016",3[mont_00000040.jpg],2[mont_00000014.jpg],4[mont_00000171.jpg],4[mont_00000183.jpg],5[mont_00000096.jpg],5[mont_00000114.jpg],4[mont_00000055.jpg],4[mont_00000051.jpg],1[mont_00000042.jpg],2[mont_00000199.jpg],2[mont_00000046.jpg],4[mont_00000015.jpg],4[mont_00000174.jpg],3[mont_00000020.jpg],4[mont_00000044.jpg],3[mont_00000142.jpg],4[mont_00000000.jpg],4[mont_00000045.jpg],3[mont_00000001.jpg],4[mont_00000049.jpg],4[mont_00000181.jpg],4[mont_00000047.jpg],4[mont_00000143.jpg],2[mont_00000228.jpg],2[mont_00000022.jpg],2[mont_00000116.jpg],2[mont_00000170.jpg],2[mont_00000141.jpg],1[mont_00000025.jpg],4[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",3LWJHTCVCDCEVYOIZITU15IDWD8QFI,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:45:20 PDT 2016","Sun Sep 25 02:47:12 PDT 2016",3[mont_00000040.jpg],2[mont_00000014.jpg],4[mont_00000171.jpg],3[mont_00000183.jpg],3[mont_00000096.jpg],3[mont_00000114.jpg],4[mont_00000055.jpg],4[mont_00000051.jpg],3[mont_00000042.jpg],3[mont_00000199.jpg],3[mont_00000046.jpg],4[mont_00000015.jpg],4[mont_00000174.jpg],4[mont_00000020.jpg],4[mont_00000044.jpg],3[mont_00000142.jpg],4[mont_00000000.jpg],4[mont_00000045.jpg],3[mont_00000001.jpg],4[mont_00000049.jpg],4[mont_00000181.jpg],4[mont_00000047.jpg],5[mont_00000143.jpg],5[mont_00000228.jpg],5[mont_00000022.jpg],4[mont_00000116.jpg],4[mont_00000170.jpg],3[mont_00000141.jpg],3[mont_00000025.jpg],4[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",336YQZE83W4V8MX11D94YK7VXIXM58,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:48:12 PDT 2016","Sun Sep 25 02:55:50 PDT 2016",1[mont_00000040.jpg],3[mont_00000014.jpg],2[mont_00000171.jpg],2[mont_00000183.jpg],2[mont_00000096.jpg],2[mont_00000114.jpg],2[mont_00000055.jpg],2[mont_00000051.jpg],2[mont_00000042.jpg],2[mont_00000199.jpg],2[mont_00000046.jpg],2[mont_00000015.jpg],3[mont_00000174.jpg],3[mont_00000020.jpg],3[mont_00000044.jpg],3[mont_00000142.jpg],4[mont_00000000.jpg],3[mont_00000045.jpg],2[mont_00000001.jpg],2[mont_00000049.jpg],2[mont_00000181.jpg],3[mont_00000047.jpg],3[mont_00000143.jpg],2[mont_00000228.jpg],2[mont_00000022.jpg],2[mont_00000116.jpg],2[mont_00000170.jpg],2[mont_00000141.jpg],2[mont_00000025.jpg],3[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",3L4D84MIL0IHN7BBZIXL7PI4YXWHJJ,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:49:44 PDT 2016","Sun Sep 25 04:51:40 PDT 2016",4[mont_00000040.jpg],4[mont_00000014.jpg],5[mont_00000171.jpg],2[mont_00000183.jpg],4[mont_00000096.jpg],3[mont_00000114.jpg],3[mont_00000055.jpg],4[mont_00000051.jpg],4[mont_00000042.jpg],4[mont_00000199.jpg],4[mont_00000046.jpg],5[mont_00000015.jpg],4[mont_00000174.jpg],4[mont_00000020.jpg],5[mont_00000044.jpg],3[mont_00000142.jpg],4[mont_00000000.jpg],5[mont_00000045.jpg],3[mont_00000001.jpg],3[mont_00000049.jpg],3[mont_00000181.jpg],4[mont_00000047.jpg],4[mont_00000143.jpg],4[mont_00000228.jpg],4[mont_00000022.jpg],4[mont_00000116.jpg],3[mont_00000170.jpg],2[mont_00000141.jpg],2[mont_00000025.jpg],2[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",378XPAWRUD36I9JRBU2TE2G08NLAIT,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:37:46 PDT 2016","Sun Sep 25 06:38:51 PDT 2016",5[mont_00000040.jpg],4[mont_00000014.jpg],5[mont_00000171.jpg],5[mont_00000183.jpg],5[mont_00000096.jpg],3[mont_00000114.jpg],5[mont_00000055.jpg],5[mont_00000051.jpg],3[mont_00000042.jpg],3[mont_00000199.jpg],5[mont_00000046.jpg],5[mont_00000015.jpg],5[mont_00000174.jpg],5[mont_00000020.jpg],5[mont_00000044.jpg],5[mont_00000142.jpg],5[mont_00000000.jpg],5[mont_00000045.jpg],5[mont_00000001.jpg],5[mont_00000049.jpg],5[mont_00000181.jpg],5[mont_00000047.jpg],5[mont_00000143.jpg],5[mont_00000228.jpg],5[mont_00000022.jpg],4[mont_00000116.jpg],5[mont_00000170.jpg],5[mont_00000141.jpg],5[mont_00000025.jpg],5[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",3Q8GYXHFEQSIZ0LAOOFQVO2J343C5Q,A1CZZHJ7S8XG1K,Approved,"Sun Sep 25 07:35:29 PDT 2016","Sun Sep 25 07:37:13 PDT 2016",4[mont_00000040.jpg],4[mont_00000014.jpg],4[mont_00000171.jpg],2[mont_00000183.jpg],3[mont_00000096.jpg],4[mont_00000114.jpg],4[mont_00000055.jpg],4[mont_00000051.jpg],3[mont_00000042.jpg],3[mont_00000199.jpg],3[mont_00000046.jpg],4[mont_00000015.jpg],4[mont_00000174.jpg],3[mont_00000020.jpg],3[mont_00000044.jpg],3[mont_00000142.jpg],3[mont_00000000.jpg],3[mont_00000045.jpg],4[mont_00000001.jpg],3[mont_00000049.jpg],3[mont_00000181.jpg],4[mont_00000047.jpg],3[mont_00000143.jpg],3[mont_00000228.jpg],3[mont_00000022.jpg],4[mont_00000116.jpg],3[mont_00000170.jpg],3[mont_00000141.jpg],3[mont_00000025.jpg],4[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",384PI804XTRZBAO5O4ZETYAA8ZGS0H,A3L2UB07EZJAMD,Approved,"Sun Sep 25 08:06:05 PDT 2016","Sun Sep 25 08:10:56 PDT 2016",4[mont_00000040.jpg],2[mont_00000014.jpg],4[mont_00000171.jpg],2[mont_00000183.jpg],4[mont_00000096.jpg],2[mont_00000114.jpg],4[mont_00000055.jpg],2[mont_00000051.jpg],3[mont_00000042.jpg],1[mont_00000199.jpg],4[mont_00000046.jpg],5[mont_00000015.jpg],4[mont_00000174.jpg],4[mont_00000020.jpg],4[mont_00000044.jpg],3[mont_00000142.jpg],5[mont_00000000.jpg],3[mont_00000045.jpg],4[mont_00000001.jpg],1[mont_00000049.jpg],4[mont_00000181.jpg],5[mont_00000047.jpg],3[mont_00000143.jpg],3[mont_00000228.jpg],3[mont_00000022.jpg],4[mont_00000116.jpg],4[mont_00000170.jpg],3[mont_00000141.jpg],4[mont_00000025.jpg],4[mont_00000220.jpg],
3QD8LUVX4XO4GEYCPH6CKHS821E5XR,"mont_90-119","sample#command",3PDJHANYK665ZCW4FZ3WYLDZCRP6HF,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:54:21 PDT 2016","Sun Sep 25 08:56:04 PDT 2016",4[mont_00000040.jpg],4[mont_00000014.jpg],3[mont_00000171.jpg],4[mont_00000183.jpg],4[mont_00000096.jpg],1[mont_00000114.jpg],2[mont_00000055.jpg],2[mont_00000051.jpg],2[mont_00000042.jpg],3[mont_00000199.jpg],3[mont_00000046.jpg],3[mont_00000015.jpg],2[mont_00000174.jpg],4[mont_00000020.jpg],3[mont_00000044.jpg],1[mont_00000142.jpg],4[mont_00000000.jpg],3[mont_00000045.jpg],3[mont_00000001.jpg],2[mont_00000049.jpg],3[mont_00000181.jpg],2[mont_00000047.jpg],4[mont_00000143.jpg],2[mont_00000228.jpg],2[mont_00000022.jpg],2[mont_00000116.jpg],1[mont_00000170.jpg],1[mont_00000141.jpg],2[mont_00000025.jpg],2[mont_00000220.jpg],
