HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",37XITHEISXZ74NJ8LVSTYP7FVMGRC7,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:04 PDT 2016","Sun Sep 25 02:21:41 PDT 2016",4[mont_00000146.jpg],4[mont_00000121.jpg],4[mont_00000113.jpg],3[mont_00000167.jpg],4[mont_00000101.jpg],5[mont_00000211.jpg],5[mont_00000210.jpg],4[mont_00000177.jpg],4[mont_00000108.jpg],4[mont_00000064.jpg],4[mont_00000091.jpg],4[mont_00000093.jpg],4[mont_00000185.jpg],4[mont_00000135.jpg],4[mont_00000058.jpg],4[mont_00000003.jpg],4[mont_00000024.jpg],4[mont_00000012.jpg],4[mont_00000013.jpg],4[mont_00000065.jpg],4[mont_00000217.jpg],4[mont_00000017.jpg],4[mont_00000153.jpg],4[mont_00000178.jpg],4[mont_00000016.jpg],4[mont_00000173.jpg],4[mont_00000019.jpg],4[mont_00000067.jpg],4[mont_00000179.jpg],4[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3JV9LGBJWU4HOM7XVP78ULNPIRRGO0,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:10:37 PDT 2016","Sun Sep 25 03:14:24 PDT 2016",2[mont_00000146.jpg],4[mont_00000121.jpg],4[mont_00000113.jpg],4[mont_00000167.jpg],5[mont_00000101.jpg],4[mont_00000211.jpg],1[mont_00000210.jpg],5[mont_00000177.jpg],4[mont_00000108.jpg],4[mont_00000064.jpg],3[mont_00000091.jpg],5[mont_00000093.jpg],5[mont_00000185.jpg],5[mont_00000135.jpg],5[mont_00000058.jpg],5[mont_00000003.jpg],5[mont_00000024.jpg],4[mont_00000012.jpg],4[mont_00000013.jpg],4[mont_00000065.jpg],4[mont_00000217.jpg],4[mont_00000017.jpg],4[mont_00000153.jpg],4[mont_00000178.jpg],4[mont_00000016.jpg],4[mont_00000173.jpg],4[mont_00000019.jpg],3[mont_00000067.jpg],2[mont_00000179.jpg],3[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3WS1NTTKEZ2Q75JJIKZFMZRVJ9C0FW,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 03:33:14 PDT 2016","Sun Sep 25 03:35:30 PDT 2016",3[mont_00000146.jpg],3[mont_00000121.jpg],4[mont_00000113.jpg],4[mont_00000167.jpg],4[mont_00000101.jpg],4[mont_00000211.jpg],3[mont_00000210.jpg],3[mont_00000177.jpg],3[mont_00000108.jpg],5[mont_00000064.jpg],4[mont_00000091.jpg],3[mont_00000093.jpg],4[mont_00000185.jpg],3[mont_00000135.jpg],3[mont_00000058.jpg],3[mont_00000003.jpg],4[mont_00000024.jpg],3[mont_00000012.jpg],4[mont_00000013.jpg],5[mont_00000065.jpg],4[mont_00000217.jpg],4[mont_00000017.jpg],4[mont_00000153.jpg],3[mont_00000178.jpg],4[mont_00000016.jpg],4[mont_00000173.jpg],3[mont_00000019.jpg],5[mont_00000067.jpg],3[mont_00000179.jpg],4[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3A9AA95ATXC1TPUETT1WFO1Q2ND5PS,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:50:11 PDT 2016","Sun Sep 25 05:51:59 PDT 2016",2[mont_00000146.jpg],3[mont_00000121.jpg],3[mont_00000113.jpg],4[mont_00000167.jpg],4[mont_00000101.jpg],4[mont_00000211.jpg],2[mont_00000210.jpg],5[mont_00000177.jpg],5[mont_00000108.jpg],4[mont_00000064.jpg],3[mont_00000091.jpg],4[mont_00000093.jpg],5[mont_00000185.jpg],2[mont_00000135.jpg],4[mont_00000058.jpg],3[mont_00000003.jpg],4[mont_00000024.jpg],2[mont_00000012.jpg],3[mont_00000013.jpg],5[mont_00000065.jpg],4[mont_00000217.jpg],5[mont_00000017.jpg],4[mont_00000153.jpg],1[mont_00000178.jpg],4[mont_00000016.jpg],5[mont_00000173.jpg],3[mont_00000019.jpg],4[mont_00000067.jpg],2[mont_00000179.jpg],2[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3TXWC2NHN0GH74CIO0I7M9B3B359S5,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:44:45 PDT 2016","Sun Sep 25 06:45:21 PDT 2016",5[mont_00000146.jpg],5[mont_00000121.jpg],5[mont_00000113.jpg],5[mont_00000167.jpg],5[mont_00000101.jpg],5[mont_00000211.jpg],5[mont_00000210.jpg],5[mont_00000177.jpg],4[mont_00000108.jpg],5[mont_00000064.jpg],5[mont_00000091.jpg],5[mont_00000093.jpg],5[mont_00000185.jpg],5[mont_00000135.jpg],5[mont_00000058.jpg],5[mont_00000003.jpg],5[mont_00000024.jpg],5[mont_00000012.jpg],5[mont_00000013.jpg],5[mont_00000065.jpg],5[mont_00000217.jpg],5[mont_00000017.jpg],5[mont_00000153.jpg],5[mont_00000178.jpg],5[mont_00000016.jpg],5[mont_00000173.jpg],5[mont_00000019.jpg],5[mont_00000067.jpg],5[mont_00000179.jpg],5[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",37W3JXSD67YPFM1ZGHKOIF7FQPPYW1,A2UFHATEG76AO5,Approved,"Sun Sep 25 07:48:21 PDT 2016","Sun Sep 25 07:52:56 PDT 2016",2[mont_00000146.jpg],2[mont_00000121.jpg],3[mont_00000113.jpg],2[mont_00000167.jpg],4[mont_00000101.jpg],3[mont_00000211.jpg],1[mont_00000210.jpg],2[mont_00000177.jpg],2[mont_00000108.jpg],2[mont_00000064.jpg],5[mont_00000091.jpg],2[mont_00000093.jpg],1[mont_00000185.jpg],1[mont_00000135.jpg],3[mont_00000058.jpg],1[mont_00000003.jpg],3[mont_00000024.jpg],2[mont_00000012.jpg],2[mont_00000013.jpg],1[mont_00000065.jpg],1[mont_00000217.jpg],1[mont_00000017.jpg],1[mont_00000153.jpg],2[mont_00000178.jpg],3[mont_00000016.jpg],1[mont_00000173.jpg],1[mont_00000019.jpg],1[mont_00000067.jpg],1[mont_00000179.jpg],2[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3QXNC7EIPJLH6VS6FYZNC35KGBS09F,A2RXPHOE9V9634,Approved,"Sun Sep 25 08:10:41 PDT 2016","Sun Sep 25 08:18:46 PDT 2016",4[mont_00000146.jpg],4[mont_00000121.jpg],4[mont_00000113.jpg],5[mont_00000167.jpg],4[mont_00000101.jpg],5[mont_00000211.jpg],3[mont_00000210.jpg],5[mont_00000177.jpg],5[mont_00000108.jpg],3[mont_00000064.jpg],4[mont_00000091.jpg],1[mont_00000093.jpg],5[mont_00000185.jpg],1[mont_00000135.jpg],3[mont_00000058.jpg],5[mont_00000003.jpg],2[mont_00000024.jpg],4[mont_00000012.jpg],5[mont_00000013.jpg],5[mont_00000065.jpg],4[mont_00000217.jpg],3[mont_00000017.jpg],2[mont_00000153.jpg],5[mont_00000178.jpg],4[mont_00000016.jpg],4[mont_00000173.jpg],2[mont_00000019.jpg],3[mont_00000067.jpg],3[mont_00000179.jpg],3[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3WZ36BJEV461AX4UBK1TNK2F1N5BTR,A24F42H3K58D8A,Approved,"Sun Sep 25 10:50:10 PDT 2016","Sun Sep 25 10:52:42 PDT 2016",4[mont_00000146.jpg],5[mont_00000121.jpg],5[mont_00000113.jpg],4[mont_00000167.jpg],5[mont_00000101.jpg],5[mont_00000211.jpg],3[mont_00000210.jpg],5[mont_00000177.jpg],4[mont_00000108.jpg],5[mont_00000064.jpg],4[mont_00000091.jpg],5[mont_00000093.jpg],5[mont_00000185.jpg],4[mont_00000135.jpg],3[mont_00000058.jpg],2[mont_00000003.jpg],3[mont_00000024.jpg],3[mont_00000012.jpg],5[mont_00000013.jpg],5[mont_00000065.jpg],4[mont_00000217.jpg],5[mont_00000017.jpg],4[mont_00000153.jpg],4[mont_00000178.jpg],4[mont_00000016.jpg],4[mont_00000173.jpg],4[mont_00000019.jpg],4[mont_00000067.jpg],2[mont_00000179.jpg],3[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3VSOLARPKCZDNNR3YLH6E13RJOR930,AUG53KCOWS12S,Approved,"Sun Sep 25 11:15:27 PDT 2016","Sun Sep 25 11:19:33 PDT 2016",5[mont_00000146.jpg],4[mont_00000121.jpg],5[mont_00000113.jpg],4[mont_00000167.jpg],5[mont_00000101.jpg],5[mont_00000211.jpg],4[mont_00000210.jpg],5[mont_00000177.jpg],4[mont_00000108.jpg],5[mont_00000064.jpg],3[mont_00000091.jpg],4[mont_00000093.jpg],3[mont_00000185.jpg],4[mont_00000135.jpg],3[mont_00000058.jpg],2[mont_00000003.jpg],1[mont_00000024.jpg],2[mont_00000012.jpg],2[mont_00000013.jpg],5[mont_00000065.jpg],2[mont_00000217.jpg],5[mont_00000017.jpg],1[mont_00000153.jpg],2[mont_00000178.jpg],5[mont_00000016.jpg],5[mont_00000173.jpg],1[mont_00000019.jpg],5[mont_00000067.jpg],1[mont_00000179.jpg],2[mont_00000094.jpg],
3W9XHF7WGKL0HGAVRU9LX3QKMVLKT8,"mont_0-29","sample#command",3GGAI1SQEWOG776GGNWCCQD5P0FMCE,A3V4R53WJX54NR,Approved,"Sun Sep 25 12:07:30 PDT 2016","Sun Sep 25 12:12:27 PDT 2016",4[mont_00000146.jpg],3[mont_00000121.jpg],5[mont_00000113.jpg],5[mont_00000167.jpg],5[mont_00000101.jpg],4[mont_00000211.jpg],3[mont_00000210.jpg],5[mont_00000177.jpg],4[mont_00000108.jpg],4[mont_00000064.jpg],5[mont_00000091.jpg],3[mont_00000093.jpg],5[mont_00000185.jpg],2[mont_00000135.jpg],2[mont_00000058.jpg],4[mont_00000003.jpg],3[mont_00000024.jpg],3[mont_00000012.jpg],4[mont_00000013.jpg],4[mont_00000065.jpg],3[mont_00000217.jpg],3[mont_00000017.jpg],4[mont_00000153.jpg],3[mont_00000178.jpg],3[mont_00000016.jpg],2[mont_00000173.jpg],2[mont_00000019.jpg],3[mont_00000067.jpg],2[mont_00000179.jpg],3[mont_00000094.jpg],
