HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3X73LLYYQ1FGKB0GTQ7C4F02BCMHN9,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:14:40 PDT 2016","Wed Apr 27 02:16:49 PDT 2016",4[notredame/hellolapomme_2301161137.jpg],3[notredame/williamjm_243463256.jpg],3[notredame/lartelove_471955160.jpg],4[notredame/joeshlabotnik_2116119399.jpg],4[notredame/ashley_r_2406413237.jpg],4[notredame/beggs_2604870080.jpg],4[notredame/shoshanah_19373152.jpg],4[notredame/eugeniayjulian_21019930.jpg],4[notredame/ashley_r_2406408381.jpg],5[notredame/beggs_2604741122.jpg],4[notredame/shadowgate_225197315.jpg],4[notredame/beggs_88122511.jpg],4[notredame/kreative_191793003.jpg],4[notredame/eugeniayjulian_21023057.jpg],4[notredame/lucamascaro_2133356088.jpg],4[notredame/agostinofedeli_2185074889.jpg],4[notredame/access_280112125.jpg],4[notredame/eugeniayjulian_21020034.jpg],4[notredame/vitomanzari_704552898.jpg],4[notredame/alex1961_2466363650.jpg],4[notredame/beggs_2604036425.jpg],4[notredame/alex1961_2465540157.jpg],4[notredame/hotels-paris-rive-gauche_313850833.jpg],2[notredame/jedalani_2452517640.jpg],4[notredame/alex1961_2466364636.jpg],5[notredame/peterkaminski_77826892.jpg],5[notredame/joaomak_98830675.jpg],5[notredame/cfuga_1435599238.jpg],5[notredame/lifeofpei_2157908278.jpg],4[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3X87C8JFV6CQDHROKCBSCN29PYQSQS,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:23:20 PDT 2016","Wed Apr 27 02:24:49 PDT 2016",3[notredame/hellolapomme_2301161137.jpg],3[notredame/williamjm_243463256.jpg],3[notredame/lartelove_471955160.jpg],2[notredame/joeshlabotnik_2116119399.jpg],2[notredame/ashley_r_2406413237.jpg],2[notredame/beggs_2604870080.jpg],3[notredame/shoshanah_19373152.jpg],3[notredame/eugeniayjulian_21019930.jpg],3[notredame/ashley_r_2406408381.jpg],4[notredame/beggs_2604741122.jpg],2[notredame/shadowgate_225197315.jpg],4[notredame/beggs_88122511.jpg],4[notredame/kreative_191793003.jpg],4[notredame/eugeniayjulian_21023057.jpg],2[notredame/lucamascaro_2133356088.jpg],2[notredame/agostinofedeli_2185074889.jpg],4[notredame/access_280112125.jpg],4[notredame/eugeniayjulian_21020034.jpg],3[notredame/vitomanzari_704552898.jpg],3[notredame/alex1961_2466363650.jpg],3[notredame/beggs_2604036425.jpg],3[notredame/alex1961_2465540157.jpg],3[notredame/hotels-paris-rive-gauche_313850833.jpg],4[notredame/jedalani_2452517640.jpg],3[notredame/alex1961_2466364636.jpg],4[notredame/peterkaminski_77826892.jpg],3[notredame/joaomak_98830675.jpg],4[notredame/cfuga_1435599238.jpg],4[notredame/lifeofpei_2157908278.jpg],4[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3R2UR8A0IAHVOM07Z9PBMQO1PCVXOI,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:01:12 PDT 2016","Wed Apr 27 08:27:48 PDT 2016",3[notredame/hellolapomme_2301161137.jpg],4[notredame/williamjm_243463256.jpg],4[notredame/lartelove_471955160.jpg],4[notredame/joeshlabotnik_2116119399.jpg],4[notredame/ashley_r_2406413237.jpg],4[notredame/beggs_2604870080.jpg],3[notredame/shoshanah_19373152.jpg],4[notredame/eugeniayjulian_21019930.jpg],3[notredame/ashley_r_2406408381.jpg],5[notredame/beggs_2604741122.jpg],5[notredame/shadowgate_225197315.jpg],3[notredame/beggs_88122511.jpg],4[notredame/kreative_191793003.jpg],4[notredame/eugeniayjulian_21023057.jpg],4[notredame/lucamascaro_2133356088.jpg],4[notredame/agostinofedeli_2185074889.jpg],4[notredame/access_280112125.jpg],3[notredame/eugeniayjulian_21020034.jpg],4[notredame/vitomanzari_704552898.jpg],3[notredame/alex1961_2466363650.jpg],2[notredame/beggs_2604036425.jpg],5[notredame/alex1961_2465540157.jpg],3[notredame/hotels-paris-rive-gauche_313850833.jpg],3[notredame/jedalani_2452517640.jpg],2[notredame/alex1961_2466364636.jpg],4[notredame/peterkaminski_77826892.jpg],5[notredame/joaomak_98830675.jpg],4[notredame/cfuga_1435599238.jpg],2[notredame/lifeofpei_2157908278.jpg],4[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3GDTJDAPVUCH9IENELY6ENI333H8MG,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:59:40 PDT 2016","Wed Apr 27 10:01:41 PDT 2016",4[notredame/hellolapomme_2301161137.jpg],4[notredame/williamjm_243463256.jpg],5[notredame/lartelove_471955160.jpg],5[notredame/joeshlabotnik_2116119399.jpg],5[notredame/ashley_r_2406413237.jpg],5[notredame/beggs_2604870080.jpg],5[notredame/shoshanah_19373152.jpg],5[notredame/eugeniayjulian_21019930.jpg],4[notredame/ashley_r_2406408381.jpg],4[notredame/beggs_2604741122.jpg],5[notredame/shadowgate_225197315.jpg],4[notredame/beggs_88122511.jpg],5[notredame/kreative_191793003.jpg],5[notredame/eugeniayjulian_21023057.jpg],5[notredame/lucamascaro_2133356088.jpg],5[notredame/agostinofedeli_2185074889.jpg],4[notredame/access_280112125.jpg],5[notredame/eugeniayjulian_21020034.jpg],4[notredame/vitomanzari_704552898.jpg],5[notredame/alex1961_2466363650.jpg],5[notredame/beggs_2604036425.jpg],5[notredame/alex1961_2465540157.jpg],4[notredame/hotels-paris-rive-gauche_313850833.jpg],5[notredame/jedalani_2452517640.jpg],5[notredame/alex1961_2466364636.jpg],5[notredame/peterkaminski_77826892.jpg],4[notredame/joaomak_98830675.jpg],5[notredame/cfuga_1435599238.jpg],5[notredame/lifeofpei_2157908278.jpg],5[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3HWRJOOET531GE1JBLGSI6DV6XOESS,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:05:46 PDT 2016","Wed Apr 27 23:07:18 PDT 2016",4[notredame/hellolapomme_2301161137.jpg],4[notredame/williamjm_243463256.jpg],4[notredame/lartelove_471955160.jpg],3[notredame/joeshlabotnik_2116119399.jpg],2[notredame/ashley_r_2406413237.jpg],4[notredame/beggs_2604870080.jpg],3[notredame/shoshanah_19373152.jpg],1[notredame/eugeniayjulian_21019930.jpg],4[notredame/ashley_r_2406408381.jpg],4[notredame/beggs_2604741122.jpg],3[notredame/shadowgate_225197315.jpg],4[notredame/beggs_88122511.jpg],4[notredame/kreative_191793003.jpg],2[notredame/eugeniayjulian_21023057.jpg],1[notredame/lucamascaro_2133356088.jpg],1[notredame/agostinofedeli_2185074889.jpg],1[notredame/access_280112125.jpg],2[notredame/eugeniayjulian_21020034.jpg],2[notredame/vitomanzari_704552898.jpg],1[notredame/alex1961_2466363650.jpg],2[notredame/beggs_2604036425.jpg],1[notredame/alex1961_2465540157.jpg],2[notredame/hotels-paris-rive-gauche_313850833.jpg],2[notredame/jedalani_2452517640.jpg],1[notredame/alex1961_2466364636.jpg],1[notredame/peterkaminski_77826892.jpg],2[notredame/joaomak_98830675.jpg],1[notredame/cfuga_1435599238.jpg],2[notredame/lifeofpei_2157908278.jpg],1[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3IQ1VMJRYTLGLMO8MAEF5SIETU69AM,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:08:03 PDT 2016","Thu Apr 28 01:09:01 PDT 2016",5[notredame/hellolapomme_2301161137.jpg],5[notredame/williamjm_243463256.jpg],5[notredame/lartelove_471955160.jpg],5[notredame/joeshlabotnik_2116119399.jpg],5[notredame/ashley_r_2406413237.jpg],5[notredame/beggs_2604870080.jpg],5[notredame/shoshanah_19373152.jpg],5[notredame/eugeniayjulian_21019930.jpg],5[notredame/ashley_r_2406408381.jpg],5[notredame/beggs_2604741122.jpg],5[notredame/shadowgate_225197315.jpg],5[notredame/beggs_88122511.jpg],5[notredame/kreative_191793003.jpg],5[notredame/eugeniayjulian_21023057.jpg],5[notredame/lucamascaro_2133356088.jpg],5[notredame/agostinofedeli_2185074889.jpg],5[notredame/access_280112125.jpg],5[notredame/eugeniayjulian_21020034.jpg],5[notredame/vitomanzari_704552898.jpg],5[notredame/alex1961_2466363650.jpg],5[notredame/beggs_2604036425.jpg],5[notredame/alex1961_2465540157.jpg],5[notredame/hotels-paris-rive-gauche_313850833.jpg],5[notredame/jedalani_2452517640.jpg],5[notredame/alex1961_2466364636.jpg],5[notredame/peterkaminski_77826892.jpg],5[notredame/joaomak_98830675.jpg],5[notredame/cfuga_1435599238.jpg],5[notredame/lifeofpei_2157908278.jpg],5[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3AUQQEL7U5UIHG3TX9MI84VYB0E0V3,AE366CJX2U73M,Approved,"Thu Apr 28 01:58:10 PDT 2016","Thu Apr 28 01:59:51 PDT 2016",3[notredame/hellolapomme_2301161137.jpg],4[notredame/williamjm_243463256.jpg],3[notredame/lartelove_471955160.jpg],2[notredame/joeshlabotnik_2116119399.jpg],3[notredame/ashley_r_2406413237.jpg],3[notredame/beggs_2604870080.jpg],5[notredame/shoshanah_19373152.jpg],5[notredame/eugeniayjulian_21019930.jpg],3[notredame/ashley_r_2406408381.jpg],4[notredame/beggs_2604741122.jpg],3[notredame/shadowgate_225197315.jpg],5[notredame/beggs_88122511.jpg],2[notredame/kreative_191793003.jpg],4[notredame/eugeniayjulian_21023057.jpg],3[notredame/lucamascaro_2133356088.jpg],2[notredame/agostinofedeli_2185074889.jpg],4[notredame/access_280112125.jpg],3[notredame/eugeniayjulian_21020034.jpg],2[notredame/vitomanzari_704552898.jpg],1[notredame/alex1961_2466363650.jpg],2[notredame/beggs_2604036425.jpg],3[notredame/alex1961_2465540157.jpg],2[notredame/hotels-paris-rive-gauche_313850833.jpg],3[notredame/jedalani_2452517640.jpg],4[notredame/alex1961_2466364636.jpg],3[notredame/peterkaminski_77826892.jpg],2[notredame/joaomak_98830675.jpg],3[notredame/cfuga_1435599238.jpg],3[notredame/lifeofpei_2157908278.jpg],3[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3B4YI393V9X2QX61CG0X7NHA7PISSU,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 05:53:27 PDT 2016","Thu Apr 28 05:54:52 PDT 2016",1[notredame/hellolapomme_2301161137.jpg],1[notredame/williamjm_243463256.jpg],1[notredame/lartelove_471955160.jpg],3[notredame/joeshlabotnik_2116119399.jpg],4[notredame/ashley_r_2406413237.jpg],2[notredame/beggs_2604870080.jpg],4[notredame/shoshanah_19373152.jpg],4[notredame/eugeniayjulian_21019930.jpg],3[notredame/ashley_r_2406408381.jpg],4[notredame/beggs_2604741122.jpg],4[notredame/shadowgate_225197315.jpg],5[notredame/beggs_88122511.jpg],1[notredame/kreative_191793003.jpg],4[notredame/eugeniayjulian_21023057.jpg],4[notredame/lucamascaro_2133356088.jpg],4[notredame/agostinofedeli_2185074889.jpg],3[notredame/access_280112125.jpg],2[notredame/eugeniayjulian_21020034.jpg],3[notredame/vitomanzari_704552898.jpg],4[notredame/alex1961_2466363650.jpg],3[notredame/beggs_2604036425.jpg],3[notredame/alex1961_2465540157.jpg],4[notredame/hotels-paris-rive-gauche_313850833.jpg],3[notredame/jedalani_2452517640.jpg],4[notredame/alex1961_2466364636.jpg],4[notredame/peterkaminski_77826892.jpg],4[notredame/joaomak_98830675.jpg],3[notredame/cfuga_1435599238.jpg],4[notredame/lifeofpei_2157908278.jpg],3[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",336KAV9KYQT6HK1CH7DGYRS7QGZY2V,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:53:30 PDT 2016","Thu Apr 28 07:56:08 PDT 2016",4[notredame/hellolapomme_2301161137.jpg],5[notredame/williamjm_243463256.jpg],5[notredame/lartelove_471955160.jpg],5[notredame/joeshlabotnik_2116119399.jpg],5[notredame/ashley_r_2406413237.jpg],5[notredame/beggs_2604870080.jpg],5[notredame/shoshanah_19373152.jpg],3[notredame/eugeniayjulian_21019930.jpg],4[notredame/ashley_r_2406408381.jpg],4[notredame/beggs_2604741122.jpg],4[notredame/shadowgate_225197315.jpg],5[notredame/beggs_88122511.jpg],5[notredame/kreative_191793003.jpg],5[notredame/eugeniayjulian_21023057.jpg],5[notredame/lucamascaro_2133356088.jpg],4[notredame/agostinofedeli_2185074889.jpg],5[notredame/access_280112125.jpg],5[notredame/eugeniayjulian_21020034.jpg],5[notredame/vitomanzari_704552898.jpg],5[notredame/alex1961_2466363650.jpg],5[notredame/beggs_2604036425.jpg],5[notredame/alex1961_2465540157.jpg],5[notredame/hotels-paris-rive-gauche_313850833.jpg],5[notredame/jedalani_2452517640.jpg],5[notredame/alex1961_2466364636.jpg],5[notredame/peterkaminski_77826892.jpg],4[notredame/joaomak_98830675.jpg],5[notredame/cfuga_1435599238.jpg],4[notredame/lifeofpei_2157908278.jpg],5[notredame/thelastminute_97236219.jpg],
31D0ZWOD0A0V2821WCQLOXL3FY8A08,"notredame_390-419","sample#command",3K2755HG5S4NK3IX96595PCVHYYFDS,A39J5RLVDTM6SM,Approved,"Thu Apr 28 17:41:10 PDT 2016","Thu Apr 28 17:46:00 PDT 2016",1[notredame/hellolapomme_2301161137.jpg],1[notredame/williamjm_243463256.jpg],1[notredame/lartelove_471955160.jpg],5[notredame/joeshlabotnik_2116119399.jpg],5[notredame/ashley_r_2406413237.jpg],5[notredame/beggs_2604870080.jpg],4[notredame/shoshanah_19373152.jpg],4[notredame/eugeniayjulian_21019930.jpg],4[notredame/ashley_r_2406408381.jpg],5[notredame/beggs_2604741122.jpg],5[notredame/shadowgate_225197315.jpg],5[notredame/beggs_88122511.jpg],1[notredame/kreative_191793003.jpg],5[notredame/eugeniayjulian_21023057.jpg],5[notredame/lucamascaro_2133356088.jpg],4[notredame/agostinofedeli_2185074889.jpg],5[notredame/access_280112125.jpg],5[notredame/eugeniayjulian_21020034.jpg],5[notredame/vitomanzari_704552898.jpg],5[notredame/alex1961_2466363650.jpg],5[notredame/beggs_2604036425.jpg],4[notredame/alex1961_2465540157.jpg],5[notredame/hotels-paris-rive-gauche_313850833.jpg],5[notredame/jedalani_2452517640.jpg],5[notredame/alex1961_2466364636.jpg],5[notredame/peterkaminski_77826892.jpg],5[notredame/joaomak_98830675.jpg],5[notredame/cfuga_1435599238.jpg],5[notredame/lifeofpei_2157908278.jpg],5[notredame/thelastminute_97236219.jpg],
