HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",3H8DHMCCW9CY0PABAHW6L240PPLDKO,A1I7ACFIU8U11J,Approved,"Wed Apr 27 00:17:08 PDT 2016","Wed Apr 27 00:19:57 PDT 2016",2[notredame/7697295@N04_2302969557.jpg],4[notredame/ayustety_137068297.jpg],3[notredame/mpd01605_2237762636.jpg],4[notredame/wyzik_140035523.jpg],3[notredame/acme_1875279484.jpg],2[notredame/chodhound_2268076679.jpg],4[notredame/ndrwfgg_2398433927.jpg],4[notredame/dave_minogue_88653193.jpg],2[notredame/ishane_1082781807.jpg],3[notredame/thierryleclercq_2281934611.jpg],3[notredame/gaetanlee_77340421.jpg],3[notredame/gcourbis_404724391.jpg],4[notredame/matthewblank_307223581.jpg],4[notredame/alex1961_2472408182.jpg],1[notredame/matthewblank_307227624.jpg],4[notredame/davidthibault_2449284848.jpg],4[notredame/fat_tony_2354546364.jpg],4[notredame/the-indie-cab_977525787.jpg],3[notredame/sicnarf_524914384.jpg],3[notredame/beija_1679857829.jpg],3[notredame/shereen84_2313154132.jpg],4[notredame/helder_2214652776.jpg],3[notredame/viclic_72460247.jpg],3[notredame/beggs_88122670.jpg],3[notredame/volantwish_2190162805.jpg],3[notredame/thierryleclercq_2282720668.jpg],3[notredame/8250661@N08_513997064.jpg],3[notredame/beggs_2603918397.jpg],3[notredame/bliksemtobey_1491950764.jpg],2[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",3R5F3LQFV2LKTH0M0RDWJB4CXC8OZL,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:06:06 PDT 2016","Wed Apr 27 02:08:57 PDT 2016",4[notredame/7697295@N04_2302969557.jpg],4[notredame/ayustety_137068297.jpg],4[notredame/mpd01605_2237762636.jpg],4[notredame/wyzik_140035523.jpg],4[notredame/acme_1875279484.jpg],4[notredame/chodhound_2268076679.jpg],4[notredame/ndrwfgg_2398433927.jpg],3[notredame/dave_minogue_88653193.jpg],4[notredame/ishane_1082781807.jpg],2[notredame/thierryleclercq_2281934611.jpg],5[notredame/gaetanlee_77340421.jpg],4[notredame/gcourbis_404724391.jpg],4[notredame/matthewblank_307223581.jpg],4[notredame/alex1961_2472408182.jpg],3[notredame/matthewblank_307227624.jpg],4[notredame/davidthibault_2449284848.jpg],2[notredame/fat_tony_2354546364.jpg],4[notredame/the-indie-cab_977525787.jpg],4[notredame/sicnarf_524914384.jpg],4[notredame/beija_1679857829.jpg],3[notredame/shereen84_2313154132.jpg],3[notredame/helder_2214652776.jpg],4[notredame/viclic_72460247.jpg],5[notredame/beggs_88122670.jpg],4[notredame/volantwish_2190162805.jpg],4[notredame/thierryleclercq_2282720668.jpg],4[notredame/8250661@N08_513997064.jpg],4[notredame/beggs_2603918397.jpg],4[notredame/bliksemtobey_1491950764.jpg],4[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",30H4UDGLT2J2FAD4020H09DTSDSPMS,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 04:14:41 PDT 2016","Wed Apr 27 04:15:46 PDT 2016",1[notredame/7697295@N04_2302969557.jpg],4[notredame/ayustety_137068297.jpg],3[notredame/mpd01605_2237762636.jpg],3[notredame/wyzik_140035523.jpg],3[notredame/acme_1875279484.jpg],4[notredame/chodhound_2268076679.jpg],3[notredame/ndrwfgg_2398433927.jpg],3[notredame/dave_minogue_88653193.jpg],3[notredame/ishane_1082781807.jpg],3[notredame/thierryleclercq_2281934611.jpg],4[notredame/gaetanlee_77340421.jpg],2[notredame/gcourbis_404724391.jpg],2[notredame/matthewblank_307223581.jpg],2[notredame/alex1961_2472408182.jpg],1[notredame/matthewblank_307227624.jpg],4[notredame/davidthibault_2449284848.jpg],4[notredame/fat_tony_2354546364.jpg],4[notredame/the-indie-cab_977525787.jpg],4[notredame/sicnarf_524914384.jpg],3[notredame/beija_1679857829.jpg],2[notredame/shereen84_2313154132.jpg],4[notredame/helder_2214652776.jpg],3[notredame/viclic_72460247.jpg],4[notredame/beggs_88122670.jpg],4[notredame/volantwish_2190162805.jpg],3[notredame/thierryleclercq_2282720668.jpg],2[notredame/8250661@N08_513997064.jpg],4[notredame/beggs_2603918397.jpg],3[notredame/bliksemtobey_1491950764.jpg],4[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",34BBWHLWHAC630KER9GK0AE841RIWG,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:00:47 PDT 2016","Wed Apr 27 08:26:29 PDT 2016",3[notredame/7697295@N04_2302969557.jpg],3[notredame/ayustety_137068297.jpg],4[notredame/mpd01605_2237762636.jpg],4[notredame/wyzik_140035523.jpg],4[notredame/acme_1875279484.jpg],4[notredame/chodhound_2268076679.jpg],3[notredame/ndrwfgg_2398433927.jpg],3[notredame/dave_minogue_88653193.jpg],3[notredame/ishane_1082781807.jpg],4[notredame/thierryleclercq_2281934611.jpg],2[notredame/gaetanlee_77340421.jpg],4[notredame/gcourbis_404724391.jpg],4[notredame/matthewblank_307223581.jpg],3[notredame/alex1961_2472408182.jpg],3[notredame/matthewblank_307227624.jpg],3[notredame/davidthibault_2449284848.jpg],3[notredame/fat_tony_2354546364.jpg],4[notredame/the-indie-cab_977525787.jpg],4[notredame/sicnarf_524914384.jpg],4[notredame/beija_1679857829.jpg],4[notredame/shereen84_2313154132.jpg],3[notredame/helder_2214652776.jpg],4[notredame/viclic_72460247.jpg],3[notredame/beggs_88122670.jpg],3[notredame/volantwish_2190162805.jpg],3[notredame/thierryleclercq_2282720668.jpg],4[notredame/8250661@N08_513997064.jpg],3[notredame/beggs_2603918397.jpg],3[notredame/bliksemtobey_1491950764.jpg],4[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",32SCWG5HIH50Q7SCDMT0BDG72D1P66,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:51:52 PDT 2016","Wed Apr 27 09:53:19 PDT 2016",3[notredame/7697295@N04_2302969557.jpg],4[notredame/ayustety_137068297.jpg],5[notredame/mpd01605_2237762636.jpg],4[notredame/wyzik_140035523.jpg],4[notredame/acme_1875279484.jpg],5[notredame/chodhound_2268076679.jpg],4[notredame/ndrwfgg_2398433927.jpg],4[notredame/dave_minogue_88653193.jpg],4[notredame/ishane_1082781807.jpg],5[notredame/thierryleclercq_2281934611.jpg],5[notredame/gaetanlee_77340421.jpg],3[notredame/gcourbis_404724391.jpg],5[notredame/matthewblank_307223581.jpg],5[notredame/alex1961_2472408182.jpg],3[notredame/matthewblank_307227624.jpg],5[notredame/davidthibault_2449284848.jpg],4[notredame/fat_tony_2354546364.jpg],5[notredame/the-indie-cab_977525787.jpg],4[notredame/sicnarf_524914384.jpg],5[notredame/beija_1679857829.jpg],4[notredame/shereen84_2313154132.jpg],5[notredame/helder_2214652776.jpg],5[notredame/viclic_72460247.jpg],4[notredame/beggs_88122670.jpg],5[notredame/volantwish_2190162805.jpg],4[notredame/thierryleclercq_2282720668.jpg],5[notredame/8250661@N08_513997064.jpg],4[notredame/beggs_2603918397.jpg],5[notredame/bliksemtobey_1491950764.jpg],5[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",3NPFYT4IZC57W9J9BQC3HHFZYS5XG0,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 22:58:46 PDT 2016","Wed Apr 27 23:00:08 PDT 2016",1[notredame/7697295@N04_2302969557.jpg],2[notredame/ayustety_137068297.jpg],2[notredame/mpd01605_2237762636.jpg],4[notredame/wyzik_140035523.jpg],3[notredame/acme_1875279484.jpg],3[notredame/chodhound_2268076679.jpg],4[notredame/ndrwfgg_2398433927.jpg],2[notredame/dave_minogue_88653193.jpg],2[notredame/ishane_1082781807.jpg],4[notredame/thierryleclercq_2281934611.jpg],4[notredame/gaetanlee_77340421.jpg],4[notredame/gcourbis_404724391.jpg],3[notredame/matthewblank_307223581.jpg],3[notredame/alex1961_2472408182.jpg],1[notredame/matthewblank_307227624.jpg],4[notredame/davidthibault_2449284848.jpg],4[notredame/fat_tony_2354546364.jpg],4[notredame/the-indie-cab_977525787.jpg],3[notredame/sicnarf_524914384.jpg],2[notredame/beija_1679857829.jpg],1[notredame/shereen84_2313154132.jpg],4[notredame/helder_2214652776.jpg],3[notredame/viclic_72460247.jpg],4[notredame/beggs_88122670.jpg],3[notredame/volantwish_2190162805.jpg],4[notredame/thierryleclercq_2282720668.jpg],2[notredame/8250661@N08_513997064.jpg],4[notredame/beggs_2603918397.jpg],3[notredame/bliksemtobey_1491950764.jpg],4[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",3VELCLL3GKKTS82LTDLE4NBMSYUF1V,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:07:19 PDT 2016","Thu Apr 28 01:07:44 PDT 2016",5[notredame/7697295@N04_2302969557.jpg],5[notredame/ayustety_137068297.jpg],5[notredame/mpd01605_2237762636.jpg],5[notredame/wyzik_140035523.jpg],5[notredame/acme_1875279484.jpg],5[notredame/chodhound_2268076679.jpg],5[notredame/ndrwfgg_2398433927.jpg],5[notredame/dave_minogue_88653193.jpg],5[notredame/ishane_1082781807.jpg],5[notredame/thierryleclercq_2281934611.jpg],5[notredame/gaetanlee_77340421.jpg],5[notredame/gcourbis_404724391.jpg],5[notredame/matthewblank_307223581.jpg],5[notredame/alex1961_2472408182.jpg],5[notredame/matthewblank_307227624.jpg],5[notredame/davidthibault_2449284848.jpg],5[notredame/fat_tony_2354546364.jpg],5[notredame/the-indie-cab_977525787.jpg],5[notredame/sicnarf_524914384.jpg],5[notredame/beija_1679857829.jpg],5[notredame/shereen84_2313154132.jpg],5[notredame/helder_2214652776.jpg],5[notredame/viclic_72460247.jpg],5[notredame/beggs_88122670.jpg],5[notredame/volantwish_2190162805.jpg],5[notredame/thierryleclercq_2282720668.jpg],5[notredame/8250661@N08_513997064.jpg],5[notredame/beggs_2603918397.jpg],5[notredame/bliksemtobey_1491950764.jpg],5[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",38JBBYETQOBIETZ8LKKAK3XPSHRE4R,AE366CJX2U73M,Approved,"Thu Apr 28 01:50:04 PDT 2016","Thu Apr 28 01:53:02 PDT 2016",3[notredame/7697295@N04_2302969557.jpg],4[notredame/ayustety_137068297.jpg],4[notredame/mpd01605_2237762636.jpg],3[notredame/wyzik_140035523.jpg],4[notredame/acme_1875279484.jpg],3[notredame/chodhound_2268076679.jpg],3[notredame/ndrwfgg_2398433927.jpg],4[notredame/dave_minogue_88653193.jpg],5[notredame/ishane_1082781807.jpg],5[notredame/thierryleclercq_2281934611.jpg],5[notredame/gaetanlee_77340421.jpg],5[notredame/gcourbis_404724391.jpg],3[notredame/matthewblank_307223581.jpg],3[notredame/alex1961_2472408182.jpg],1[notredame/matthewblank_307227624.jpg],4[notredame/davidthibault_2449284848.jpg],5[notredame/fat_tony_2354546364.jpg],5[notredame/the-indie-cab_977525787.jpg],3[notredame/sicnarf_524914384.jpg],4[notredame/beija_1679857829.jpg],4[notredame/shereen84_2313154132.jpg],5[notredame/helder_2214652776.jpg],2[notredame/viclic_72460247.jpg],3[notredame/beggs_88122670.jpg],4[notredame/volantwish_2190162805.jpg],4[notredame/thierryleclercq_2282720668.jpg],4[notredame/8250661@N08_513997064.jpg],5[notredame/beggs_2603918397.jpg],5[notredame/bliksemtobey_1491950764.jpg],3[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",3QRYMNZ7FYI6PKRBTKO1IY3QM9QNT4,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 06:00:16 PDT 2016","Thu Apr 28 06:01:35 PDT 2016",4[notredame/7697295@N04_2302969557.jpg],3[notredame/ayustety_137068297.jpg],2[notredame/mpd01605_2237762636.jpg],3[notredame/wyzik_140035523.jpg],1[notredame/acme_1875279484.jpg],2[notredame/chodhound_2268076679.jpg],3[notredame/ndrwfgg_2398433927.jpg],1[notredame/dave_minogue_88653193.jpg],1[notredame/ishane_1082781807.jpg],5[notredame/thierryleclercq_2281934611.jpg],2[notredame/gaetanlee_77340421.jpg],3[notredame/gcourbis_404724391.jpg],3[notredame/matthewblank_307223581.jpg],3[notredame/alex1961_2472408182.jpg],1[notredame/matthewblank_307227624.jpg],3[notredame/davidthibault_2449284848.jpg],2[notredame/fat_tony_2354546364.jpg],2[notredame/the-indie-cab_977525787.jpg],2[notredame/sicnarf_524914384.jpg],3[notredame/beija_1679857829.jpg],3[notredame/shereen84_2313154132.jpg],4[notredame/helder_2214652776.jpg],3[notredame/viclic_72460247.jpg],3[notredame/beggs_88122670.jpg],2[notredame/volantwish_2190162805.jpg],3[notredame/thierryleclercq_2282720668.jpg],1[notredame/8250661@N08_513997064.jpg],3[notredame/beggs_2603918397.jpg],3[notredame/bliksemtobey_1491950764.jpg],3[notredame/thierryleclercq_2281932195.jpg],
33N1S8XHHMMWA5VR4NAKJVVMTBL1Z3,"notredame_150-179","sample#command",3VFJCI1K4Z0NZDXX2R6BSZTBXCORG4,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:51:37 PDT 2016","Thu Apr 28 07:52:26 PDT 2016",5[notredame/7697295@N04_2302969557.jpg],5[notredame/ayustety_137068297.jpg],5[notredame/mpd01605_2237762636.jpg],5[notredame/wyzik_140035523.jpg],5[notredame/acme_1875279484.jpg],5[notredame/chodhound_2268076679.jpg],5[notredame/ndrwfgg_2398433927.jpg],5[notredame/dave_minogue_88653193.jpg],5[notredame/ishane_1082781807.jpg],4[notredame/thierryleclercq_2281934611.jpg],5[notredame/gaetanlee_77340421.jpg],5[notredame/gcourbis_404724391.jpg],5[notredame/matthewblank_307223581.jpg],5[notredame/alex1961_2472408182.jpg],3[notredame/matthewblank_307227624.jpg],5[notredame/davidthibault_2449284848.jpg],5[notredame/fat_tony_2354546364.jpg],5[notredame/the-indie-cab_977525787.jpg],2[notredame/sicnarf_524914384.jpg],5[notredame/beija_1679857829.jpg],5[notredame/shereen84_2313154132.jpg],3[notredame/helder_2214652776.jpg],5[notredame/viclic_72460247.jpg],5[notredame/beggs_88122670.jpg],5[notredame/volantwish_2190162805.jpg],5[notredame/thierryleclercq_2282720668.jpg],5[notredame/8250661@N08_513997064.jpg],5[notredame/beggs_2603918397.jpg],5[notredame/bliksemtobey_1491950764.jpg],5[notredame/thierryleclercq_2281932195.jpg],
