HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",3W2LOLRXLBGS1ZTGSIRQQRL44QDRK9,A1XC5OV00MECKQ,Approved,"Wed Apr 27 01:06:45 PDT 2016","Wed Apr 27 01:15:15 PDT 2016",5[notredame/jokermanj_901133168.jpg],4[notredame/allez_asnl_2086643493.jpg],3[notredame/djrue_106179240.jpg],4[notredame/poeloq_985747637.jpg],4[notredame/mpd01605_2236985237.jpg],5[notredame/sfllaw_176455912.jpg],4[notredame/mpd01605_2534478585.jpg],2[notredame/hotels-paris-rive-gauche_313842361.jpg],4[notredame/shereen84_2312774681.jpg],2[notredame/dominiekterheide_355155205.jpg],4[notredame/joeshlabotnik_477933455.jpg],4[notredame/ayustety_337333317.jpg],5[notredame/grahamandsheila_240813931.jpg],4[notredame/chrispearson72_463209906.jpg],2[notredame/tangysd_2139238670.jpg],4[notredame/haydn_173471993.jpg],4[notredame/askolizzato71_420521148.jpg],5[notredame/goosmurf_538158719.jpg],5[notredame/vic15_1651505466.jpg],5[notredame/fabiovenni_73169217.jpg],4[notredame/jpvargas_1413184272.jpg],4[notredame/luxtonnerre_2216741402.jpg],4[notredame/fiex_111422375.jpg],4[notredame/16547151@N00_1491643588.jpg],4[notredame/eugeniayjulian_21023151.jpg],4[notredame/yisris_267944048.jpg],4[notredame/eugeniayjulian_21023507.jpg],4[notredame/albertane_130860245.jpg],4[notredame/kieranlynam_375444639.jpg],4[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",3YMU66OBIN9AAJJU6MUHEVR5A0LHGM,AFG3FXABPGSZS,Approved,"Wed Apr 27 07:55:09 PDT 2016","Wed Apr 27 07:57:29 PDT 2016",3[notredame/jokermanj_901133168.jpg],3[notredame/allez_asnl_2086643493.jpg],4[notredame/djrue_106179240.jpg],4[notredame/poeloq_985747637.jpg],4[notredame/mpd01605_2236985237.jpg],3[notredame/sfllaw_176455912.jpg],4[notredame/mpd01605_2534478585.jpg],4[notredame/hotels-paris-rive-gauche_313842361.jpg],4[notredame/shereen84_2312774681.jpg],4[notredame/dominiekterheide_355155205.jpg],4[notredame/joeshlabotnik_477933455.jpg],4[notredame/ayustety_337333317.jpg],3[notredame/grahamandsheila_240813931.jpg],4[notredame/chrispearson72_463209906.jpg],4[notredame/tangysd_2139238670.jpg],4[notredame/haydn_173471993.jpg],4[notredame/askolizzato71_420521148.jpg],4[notredame/goosmurf_538158719.jpg],4[notredame/vic15_1651505466.jpg],4[notredame/fabiovenni_73169217.jpg],4[notredame/jpvargas_1413184272.jpg],4[notredame/luxtonnerre_2216741402.jpg],4[notredame/fiex_111422375.jpg],4[notredame/16547151@N00_1491643588.jpg],4[notredame/eugeniayjulian_21023151.jpg],4[notredame/yisris_267944048.jpg],4[notredame/eugeniayjulian_21023507.jpg],4[notredame/albertane_130860245.jpg],4[notredame/kieranlynam_375444639.jpg],4[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",31QTRG6Q2TE29R2IJ5OSU4001NLYP6,A1O4TRWZO664V3,Approved,"Wed Apr 27 08:09:50 PDT 2016","Wed Apr 27 08:12:57 PDT 2016",3[notredame/jokermanj_901133168.jpg],2[notredame/allez_asnl_2086643493.jpg],2[notredame/djrue_106179240.jpg],3[notredame/poeloq_985747637.jpg],4[notredame/mpd01605_2236985237.jpg],3[notredame/sfllaw_176455912.jpg],4[notredame/mpd01605_2534478585.jpg],4[notredame/hotels-paris-rive-gauche_313842361.jpg],2[notredame/shereen84_2312774681.jpg],3[notredame/dominiekterheide_355155205.jpg],4[notredame/joeshlabotnik_477933455.jpg],3[notredame/ayustety_337333317.jpg],4[notredame/grahamandsheila_240813931.jpg],3[notredame/chrispearson72_463209906.jpg],4[notredame/tangysd_2139238670.jpg],3[notredame/haydn_173471993.jpg],1[notredame/askolizzato71_420521148.jpg],3[notredame/goosmurf_538158719.jpg],4[notredame/vic15_1651505466.jpg],3[notredame/fabiovenni_73169217.jpg],4[notredame/jpvargas_1413184272.jpg],3[notredame/luxtonnerre_2216741402.jpg],4[notredame/fiex_111422375.jpg],4[notredame/16547151@N00_1491643588.jpg],2[notredame/eugeniayjulian_21023151.jpg],4[notredame/yisris_267944048.jpg],1[notredame/eugeniayjulian_21023507.jpg],4[notredame/albertane_130860245.jpg],2[notredame/kieranlynam_375444639.jpg],3[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",3RYC5T2D73UTCQQW5AWYM873Y0ARP1,A39BR7NYRDWC01,Approved,"Wed Apr 27 08:49:03 PDT 2016","Wed Apr 27 08:50:45 PDT 2016",5[notredame/jokermanj_901133168.jpg],4[notredame/allez_asnl_2086643493.jpg],5[notredame/djrue_106179240.jpg],4[notredame/poeloq_985747637.jpg],5[notredame/mpd01605_2236985237.jpg],5[notredame/sfllaw_176455912.jpg],5[notredame/mpd01605_2534478585.jpg],5[notredame/hotels-paris-rive-gauche_313842361.jpg],4[notredame/shereen84_2312774681.jpg],5[notredame/dominiekterheide_355155205.jpg],5[notredame/joeshlabotnik_477933455.jpg],4[notredame/ayustety_337333317.jpg],5[notredame/grahamandsheila_240813931.jpg],5[notredame/chrispearson72_463209906.jpg],5[notredame/tangysd_2139238670.jpg],4[notredame/haydn_173471993.jpg],4[notredame/askolizzato71_420521148.jpg],4[notredame/goosmurf_538158719.jpg],4[notredame/vic15_1651505466.jpg],5[notredame/fabiovenni_73169217.jpg],4[notredame/jpvargas_1413184272.jpg],4[notredame/luxtonnerre_2216741402.jpg],5[notredame/fiex_111422375.jpg],3[notredame/16547151@N00_1491643588.jpg],2[notredame/eugeniayjulian_21023151.jpg],4[notredame/yisris_267944048.jpg],3[notredame/eugeniayjulian_21023507.jpg],4[notredame/albertane_130860245.jpg],4[notredame/kieranlynam_375444639.jpg],5[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",37C0GNLMHF4R1APM8D25BJZIOVE6DR,A1JEKYQA0F1KUL,Approved,"Wed Apr 27 12:55:47 PDT 2016","Wed Apr 27 12:57:42 PDT 2016",3[notredame/jokermanj_901133168.jpg],1[notredame/allez_asnl_2086643493.jpg],3[notredame/djrue_106179240.jpg],4[notredame/poeloq_985747637.jpg],2[notredame/mpd01605_2236985237.jpg],4[notredame/sfllaw_176455912.jpg],4[notredame/mpd01605_2534478585.jpg],3[notredame/hotels-paris-rive-gauche_313842361.jpg],1[notredame/shereen84_2312774681.jpg],4[notredame/dominiekterheide_355155205.jpg],1[notredame/joeshlabotnik_477933455.jpg],2[notredame/ayustety_337333317.jpg],3[notredame/grahamandsheila_240813931.jpg],3[notredame/chrispearson72_463209906.jpg],5[notredame/tangysd_2139238670.jpg],2[notredame/haydn_173471993.jpg],4[notredame/askolizzato71_420521148.jpg],4[notredame/goosmurf_538158719.jpg],4[notredame/vic15_1651505466.jpg],4[notredame/fabiovenni_73169217.jpg],2[notredame/jpvargas_1413184272.jpg],5[notredame/luxtonnerre_2216741402.jpg],5[notredame/fiex_111422375.jpg],5[notredame/16547151@N00_1491643588.jpg],2[notredame/eugeniayjulian_21023151.jpg],3[notredame/yisris_267944048.jpg],1[notredame/eugeniayjulian_21023507.jpg],4[notredame/albertane_130860245.jpg],3[notredame/kieranlynam_375444639.jpg],4[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",3NXNZ5RS1AYY2KQAF72VV1GOSMO79H,A39J5RLVDTM6SM,Approved,"Wed Apr 27 20:08:02 PDT 2016","Wed Apr 27 20:25:57 PDT 2016",2[notredame/jokermanj_901133168.jpg],2[notredame/allez_asnl_2086643493.jpg],1[notredame/djrue_106179240.jpg],1[notredame/poeloq_985747637.jpg],3[notredame/mpd01605_2236985237.jpg],3[notredame/sfllaw_176455912.jpg],3[notredame/mpd01605_2534478585.jpg],3[notredame/hotels-paris-rive-gauche_313842361.jpg],1[notredame/shereen84_2312774681.jpg],3[notredame/dominiekterheide_355155205.jpg],3[notredame/joeshlabotnik_477933455.jpg],3[notredame/ayustety_337333317.jpg],3[notredame/grahamandsheila_240813931.jpg],3[notredame/chrispearson72_463209906.jpg],5[notredame/tangysd_2139238670.jpg],3[notredame/haydn_173471993.jpg],5[notredame/askolizzato71_420521148.jpg],5[notredame/goosmurf_538158719.jpg],5[notredame/vic15_1651505466.jpg],5[notredame/fabiovenni_73169217.jpg],4[notredame/jpvargas_1413184272.jpg],5[notredame/luxtonnerre_2216741402.jpg],5[notredame/fiex_111422375.jpg],5[notredame/16547151@N00_1491643588.jpg],3[notredame/eugeniayjulian_21023151.jpg],5[notredame/yisris_267944048.jpg],3[notredame/eugeniayjulian_21023507.jpg],5[notredame/albertane_130860245.jpg],2[notredame/kieranlynam_375444639.jpg],5[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",3WMINLGALB4IJKVBYUO67IJMZF5CA2,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:22:43 PDT 2016","Wed Apr 27 23:24:00 PDT 2016",2[notredame/jokermanj_901133168.jpg],1[notredame/allez_asnl_2086643493.jpg],1[notredame/djrue_106179240.jpg],1[notredame/poeloq_985747637.jpg],1[notredame/mpd01605_2236985237.jpg],2[notredame/sfllaw_176455912.jpg],2[notredame/mpd01605_2534478585.jpg],2[notredame/hotels-paris-rive-gauche_313842361.jpg],2[notredame/shereen84_2312774681.jpg],3[notredame/dominiekterheide_355155205.jpg],2[notredame/joeshlabotnik_477933455.jpg],3[notredame/ayustety_337333317.jpg],3[notredame/grahamandsheila_240813931.jpg],3[notredame/chrispearson72_463209906.jpg],4[notredame/tangysd_2139238670.jpg],2[notredame/haydn_173471993.jpg],3[notredame/askolizzato71_420521148.jpg],2[notredame/goosmurf_538158719.jpg],2[notredame/vic15_1651505466.jpg],4[notredame/fabiovenni_73169217.jpg],3[notredame/jpvargas_1413184272.jpg],3[notredame/luxtonnerre_2216741402.jpg],2[notredame/fiex_111422375.jpg],4[notredame/16547151@N00_1491643588.jpg],1[notredame/eugeniayjulian_21023151.jpg],4[notredame/yisris_267944048.jpg],1[notredame/eugeniayjulian_21023507.jpg],2[notredame/albertane_130860245.jpg],1[notredame/kieranlynam_375444639.jpg],3[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",32ZKVD547FOZPU4KBFD19QZYBKG3BT,AGPGH9GLV1UAW,Approved,"Thu Apr 28 00:27:24 PDT 2016","Thu Apr 28 00:28:47 PDT 2016",4[notredame/jokermanj_901133168.jpg],1[notredame/allez_asnl_2086643493.jpg],3[notredame/djrue_106179240.jpg],1[notredame/poeloq_985747637.jpg],3[notredame/mpd01605_2236985237.jpg],4[notredame/sfllaw_176455912.jpg],4[notredame/mpd01605_2534478585.jpg],4[notredame/hotels-paris-rive-gauche_313842361.jpg],3[notredame/shereen84_2312774681.jpg],3[notredame/dominiekterheide_355155205.jpg],3[notredame/joeshlabotnik_477933455.jpg],4[notredame/ayustety_337333317.jpg],3[notredame/grahamandsheila_240813931.jpg],4[notredame/chrispearson72_463209906.jpg],4[notredame/tangysd_2139238670.jpg],4[notredame/haydn_173471993.jpg],3[notredame/askolizzato71_420521148.jpg],3[notredame/goosmurf_538158719.jpg],4[notredame/vic15_1651505466.jpg],2[notredame/fabiovenni_73169217.jpg],4[notredame/jpvargas_1413184272.jpg],2[notredame/luxtonnerre_2216741402.jpg],4[notredame/fiex_111422375.jpg],4[notredame/16547151@N00_1491643588.jpg],1[notredame/eugeniayjulian_21023151.jpg],3[notredame/yisris_267944048.jpg],4[notredame/eugeniayjulian_21023507.jpg],4[notredame/albertane_130860245.jpg],4[notredame/kieranlynam_375444639.jpg],5[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",3WI0P0II61TKNTN60153MEQEKJ9DRF,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:01:04 PDT 2016","Thu Apr 28 01:01:43 PDT 2016",5[notredame/jokermanj_901133168.jpg],5[notredame/allez_asnl_2086643493.jpg],5[notredame/djrue_106179240.jpg],5[notredame/poeloq_985747637.jpg],5[notredame/mpd01605_2236985237.jpg],5[notredame/sfllaw_176455912.jpg],5[notredame/mpd01605_2534478585.jpg],5[notredame/hotels-paris-rive-gauche_313842361.jpg],5[notredame/shereen84_2312774681.jpg],5[notredame/dominiekterheide_355155205.jpg],5[notredame/joeshlabotnik_477933455.jpg],5[notredame/ayustety_337333317.jpg],5[notredame/grahamandsheila_240813931.jpg],5[notredame/chrispearson72_463209906.jpg],5[notredame/tangysd_2139238670.jpg],5[notredame/haydn_173471993.jpg],5[notredame/askolizzato71_420521148.jpg],5[notredame/goosmurf_538158719.jpg],5[notredame/vic15_1651505466.jpg],5[notredame/fabiovenni_73169217.jpg],5[notredame/jpvargas_1413184272.jpg],5[notredame/luxtonnerre_2216741402.jpg],5[notredame/fiex_111422375.jpg],5[notredame/16547151@N00_1491643588.jpg],5[notredame/eugeniayjulian_21023151.jpg],5[notredame/yisris_267944048.jpg],5[notredame/eugeniayjulian_21023507.jpg],5[notredame/albertane_130860245.jpg],5[notredame/kieranlynam_375444639.jpg],5[notredame/claytron_146512399.jpg],
34O39PNDK69OLCRSW39W346W66SBR2,"notredame_480-509","sample#command",3IQ1VMJRYTLGLMO8MAEF5SIETU7A9O,A3J5GUVGA6WQJG,Approved,"Thu Apr 28 02:23:14 PDT 2016","Thu Apr 28 02:24:39 PDT 2016",4[notredame/jokermanj_901133168.jpg],3[notredame/allez_asnl_2086643493.jpg],3[notredame/djrue_106179240.jpg],4[notredame/poeloq_985747637.jpg],4[notredame/mpd01605_2236985237.jpg],5[notredame/sfllaw_176455912.jpg],5[notredame/mpd01605_2534478585.jpg],4[notredame/hotels-paris-rive-gauche_313842361.jpg],2[notredame/shereen84_2312774681.jpg],5[notredame/dominiekterheide_355155205.jpg],3[notredame/joeshlabotnik_477933455.jpg],3[notredame/ayustety_337333317.jpg],4[notredame/grahamandsheila_240813931.jpg],4[notredame/chrispearson72_463209906.jpg],5[notredame/tangysd_2139238670.jpg],3[notredame/haydn_173471993.jpg],5[notredame/askolizzato71_420521148.jpg],5[notredame/goosmurf_538158719.jpg],5[notredame/vic15_1651505466.jpg],5[notredame/fabiovenni_73169217.jpg],4[notredame/jpvargas_1413184272.jpg],5[notredame/luxtonnerre_2216741402.jpg],5[notredame/fiex_111422375.jpg],5[notredame/16547151@N00_1491643588.jpg],3[notredame/eugeniayjulian_21023151.jpg],5[notredame/yisris_267944048.jpg],4[notredame/eugeniayjulian_21023507.jpg],5[notredame/albertane_130860245.jpg],3[notredame/kieranlynam_375444639.jpg],5[notredame/claytron_146512399.jpg],
