HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3WJ1OXY92AHG7H5YHI815WN39MXA83,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:09:27 PDT 2016","Wed Apr 27 02:11:35 PDT 2016",4[notredame/inti_2555035132.jpg],4[notredame/ashley_r_2406416885.jpg],4[notredame/alex1961_2465550867.jpg],3[notredame/25556223@N04_2494937213.jpg],3[notredame/williamgunn_242913009.jpg],3[notredame/firepile_143645234.jpg],4[notredame/pheede_161152148.jpg],4[notredame/pheede_161152353.jpg],4[notredame/49968830@N00_65656119.jpg],4[notredame/matteomartinello_132889573.jpg],4[notredame/solgrundy_35298066.jpg],4[notredame/linda_uruchurtu_238388703.jpg],4[notredame/poeloq_985732215.jpg],4[notredame/firepile_143644819.jpg],5[notredame/7368078@N04_423060766.jpg],4[notredame/firepile_143645016.jpg],4[notredame/bernardowolff_1435366113.jpg],4[notredame/mpd01605_2236984173.jpg],4[notredame/eagleapex_1896434240.jpg],4[notredame/fabiovenni_73179131.jpg],4[notredame/eagleapex_1895603041.jpg],5[notredame/7437937@N06_428202066.jpg],4[notredame/williamjm_243463200.jpg],4[notredame/alex1961_2472410946.jpg],4[notredame/jfuentejr_225870475.jpg],4[notredame/hotels-paris-rive-gauche_313842788.jpg],4[notredame/rbitting_953689565.jpg],4[notredame/ashley_r_2406414679.jpg],4[notredame/nickstenning_2127919630.jpg],3[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3VZLGYJEYLB7NQEE1I0S2OV59GDXZZ,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:19:45 PDT 2016","Wed Apr 27 02:21:11 PDT 2016",3[notredame/inti_2555035132.jpg],2[notredame/ashley_r_2406416885.jpg],3[notredame/alex1961_2465550867.jpg],2[notredame/25556223@N04_2494937213.jpg],2[notredame/williamgunn_242913009.jpg],1[notredame/firepile_143645234.jpg],3[notredame/pheede_161152148.jpg],2[notredame/pheede_161152353.jpg],3[notredame/49968830@N00_65656119.jpg],3[notredame/matteomartinello_132889573.jpg],3[notredame/solgrundy_35298066.jpg],3[notredame/linda_uruchurtu_238388703.jpg],2[notredame/poeloq_985732215.jpg],3[notredame/firepile_143644819.jpg],4[notredame/7368078@N04_423060766.jpg],2[notredame/firepile_143645016.jpg],4[notredame/bernardowolff_1435366113.jpg],3[notredame/mpd01605_2236984173.jpg],2[notredame/eagleapex_1896434240.jpg],4[notredame/fabiovenni_73179131.jpg],3[notredame/eagleapex_1895603041.jpg],3[notredame/7437937@N06_428202066.jpg],2[notredame/williamjm_243463200.jpg],3[notredame/alex1961_2472410946.jpg],4[notredame/jfuentejr_225870475.jpg],3[notredame/hotels-paris-rive-gauche_313842788.jpg],4[notredame/rbitting_953689565.jpg],4[notredame/ashley_r_2406414679.jpg],4[notredame/nickstenning_2127919630.jpg],3[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3DYGAII7PL9T0PBWSV7YHIXY2E4PQU,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:01:00 PDT 2016","Wed Apr 27 08:26:58 PDT 2016",3[notredame/inti_2555035132.jpg],4[notredame/ashley_r_2406416885.jpg],4[notredame/alex1961_2465550867.jpg],4[notredame/25556223@N04_2494937213.jpg],4[notredame/williamgunn_242913009.jpg],4[notredame/firepile_143645234.jpg],4[notredame/pheede_161152148.jpg],4[notredame/pheede_161152353.jpg],4[notredame/49968830@N00_65656119.jpg],3[notredame/matteomartinello_132889573.jpg],4[notredame/solgrundy_35298066.jpg],4[notredame/linda_uruchurtu_238388703.jpg],4[notredame/poeloq_985732215.jpg],4[notredame/firepile_143644819.jpg],3[notredame/7368078@N04_423060766.jpg],5[notredame/firepile_143645016.jpg],4[notredame/bernardowolff_1435366113.jpg],4[notredame/mpd01605_2236984173.jpg],4[notredame/eagleapex_1896434240.jpg],3[notredame/fabiovenni_73179131.jpg],4[notredame/eagleapex_1895603041.jpg],3[notredame/7437937@N06_428202066.jpg],4[notredame/williamjm_243463200.jpg],4[notredame/alex1961_2472410946.jpg],3[notredame/jfuentejr_225870475.jpg],4[notredame/hotels-paris-rive-gauche_313842788.jpg],4[notredame/rbitting_953689565.jpg],4[notredame/ashley_r_2406414679.jpg],2[notredame/nickstenning_2127919630.jpg],4[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3E7TUJ2EGCNEJTRK6K5HVTQKEV79DO,A39BR7NYRDWC01,Approved,"Wed Apr 27 10:08:17 PDT 2016","Wed Apr 27 10:09:53 PDT 2016",4[notredame/inti_2555035132.jpg],4[notredame/ashley_r_2406416885.jpg],4[notredame/alex1961_2465550867.jpg],5[notredame/25556223@N04_2494937213.jpg],4[notredame/williamgunn_242913009.jpg],4[notredame/firepile_143645234.jpg],4[notredame/pheede_161152148.jpg],4[notredame/pheede_161152353.jpg],4[notredame/49968830@N00_65656119.jpg],4[notredame/matteomartinello_132889573.jpg],5[notredame/solgrundy_35298066.jpg],4[notredame/linda_uruchurtu_238388703.jpg],4[notredame/poeloq_985732215.jpg],5[notredame/firepile_143644819.jpg],4[notredame/7368078@N04_423060766.jpg],4[notredame/firepile_143645016.jpg],5[notredame/bernardowolff_1435366113.jpg],5[notredame/mpd01605_2236984173.jpg],4[notredame/eagleapex_1896434240.jpg],5[notredame/fabiovenni_73179131.jpg],4[notredame/eagleapex_1895603041.jpg],4[notredame/7437937@N06_428202066.jpg],4[notredame/williamjm_243463200.jpg],5[notredame/alex1961_2472410946.jpg],5[notredame/jfuentejr_225870475.jpg],5[notredame/hotels-paris-rive-gauche_313842788.jpg],5[notredame/rbitting_953689565.jpg],4[notredame/ashley_r_2406414679.jpg],5[notredame/nickstenning_2127919630.jpg],5[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3G5F9DBFOPYTSG9PVHT3EWUFXHAVHU,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:09:34 PDT 2016","Wed Apr 27 23:10:49 PDT 2016",1[notredame/inti_2555035132.jpg],2[notredame/ashley_r_2406416885.jpg],1[notredame/alex1961_2465550867.jpg],1[notredame/25556223@N04_2494937213.jpg],2[notredame/williamgunn_242913009.jpg],1[notredame/firepile_143645234.jpg],3[notredame/pheede_161152148.jpg],1[notredame/pheede_161152353.jpg],2[notredame/49968830@N00_65656119.jpg],2[notredame/matteomartinello_132889573.jpg],1[notredame/solgrundy_35298066.jpg],3[notredame/linda_uruchurtu_238388703.jpg],2[notredame/poeloq_985732215.jpg],2[notredame/firepile_143644819.jpg],2[notredame/7368078@N04_423060766.jpg],1[notredame/firepile_143645016.jpg],3[notredame/bernardowolff_1435366113.jpg],2[notredame/mpd01605_2236984173.jpg],4[notredame/eagleapex_1896434240.jpg],4[notredame/fabiovenni_73179131.jpg],1[notredame/eagleapex_1895603041.jpg],2[notredame/7437937@N06_428202066.jpg],2[notredame/williamjm_243463200.jpg],1[notredame/alex1961_2472410946.jpg],2[notredame/jfuentejr_225870475.jpg],2[notredame/hotels-paris-rive-gauche_313842788.jpg],2[notredame/rbitting_953689565.jpg],3[notredame/ashley_r_2406414679.jpg],2[notredame/nickstenning_2127919630.jpg],4[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3HYA4D452RK0HTKHCHLS96LRK48F2C,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:07:22 PDT 2016","Thu Apr 28 01:07:59 PDT 2016",5[notredame/inti_2555035132.jpg],5[notredame/ashley_r_2406416885.jpg],5[notredame/alex1961_2465550867.jpg],5[notredame/25556223@N04_2494937213.jpg],5[notredame/williamgunn_242913009.jpg],5[notredame/firepile_143645234.jpg],5[notredame/pheede_161152148.jpg],5[notredame/pheede_161152353.jpg],5[notredame/49968830@N00_65656119.jpg],5[notredame/matteomartinello_132889573.jpg],5[notredame/solgrundy_35298066.jpg],5[notredame/linda_uruchurtu_238388703.jpg],5[notredame/poeloq_985732215.jpg],5[notredame/firepile_143644819.jpg],5[notredame/7368078@N04_423060766.jpg],5[notredame/firepile_143645016.jpg],5[notredame/bernardowolff_1435366113.jpg],5[notredame/mpd01605_2236984173.jpg],5[notredame/eagleapex_1896434240.jpg],5[notredame/fabiovenni_73179131.jpg],5[notredame/eagleapex_1895603041.jpg],5[notredame/7437937@N06_428202066.jpg],5[notredame/williamjm_243463200.jpg],5[notredame/alex1961_2472410946.jpg],4[notredame/jfuentejr_225870475.jpg],5[notredame/hotels-paris-rive-gauche_313842788.jpg],5[notredame/rbitting_953689565.jpg],5[notredame/ashley_r_2406414679.jpg],5[notredame/nickstenning_2127919630.jpg],5[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3J2UYBXQQLDX2QOSW1EAWCFZU7N60I,AE366CJX2U73M,Approved,"Thu Apr 28 01:53:49 PDT 2016","Thu Apr 28 01:55:52 PDT 2016",3[notredame/inti_2555035132.jpg],4[notredame/ashley_r_2406416885.jpg],3[notredame/alex1961_2465550867.jpg],2[notredame/25556223@N04_2494937213.jpg],5[notredame/williamgunn_242913009.jpg],3[notredame/firepile_143645234.jpg],4[notredame/pheede_161152148.jpg],4[notredame/pheede_161152353.jpg],2[notredame/49968830@N00_65656119.jpg],2[notredame/matteomartinello_132889573.jpg],3[notredame/solgrundy_35298066.jpg],2[notredame/linda_uruchurtu_238388703.jpg],2[notredame/poeloq_985732215.jpg],2[notredame/firepile_143644819.jpg],3[notredame/7368078@N04_423060766.jpg],2[notredame/firepile_143645016.jpg],3[notredame/bernardowolff_1435366113.jpg],3[notredame/mpd01605_2236984173.jpg],3[notredame/eagleapex_1896434240.jpg],3[notredame/fabiovenni_73179131.jpg],3[notredame/eagleapex_1895603041.jpg],2[notredame/7437937@N06_428202066.jpg],2[notredame/williamjm_243463200.jpg],3[notredame/alex1961_2472410946.jpg],3[notredame/jfuentejr_225870475.jpg],3[notredame/hotels-paris-rive-gauche_313842788.jpg],4[notredame/rbitting_953689565.jpg],3[notredame/ashley_r_2406414679.jpg],3[notredame/nickstenning_2127919630.jpg],3[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3L4PIM1GQTHNL4IXWXSHZZ0F28WRYK,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 05:58:18 PDT 2016","Thu Apr 28 05:59:41 PDT 2016",4[notredame/inti_2555035132.jpg],1[notredame/ashley_r_2406416885.jpg],2[notredame/alex1961_2465550867.jpg],1[notredame/25556223@N04_2494937213.jpg],1[notredame/williamgunn_242913009.jpg],1[notredame/firepile_143645234.jpg],1[notredame/pheede_161152148.jpg],1[notredame/pheede_161152353.jpg],1[notredame/49968830@N00_65656119.jpg],1[notredame/matteomartinello_132889573.jpg],1[notredame/solgrundy_35298066.jpg],1[notredame/linda_uruchurtu_238388703.jpg],1[notredame/poeloq_985732215.jpg],1[notredame/firepile_143644819.jpg],1[notredame/7368078@N04_423060766.jpg],1[notredame/firepile_143645016.jpg],2[notredame/bernardowolff_1435366113.jpg],1[notredame/mpd01605_2236984173.jpg],2[notredame/eagleapex_1896434240.jpg],1[notredame/fabiovenni_73179131.jpg],3[notredame/eagleapex_1895603041.jpg],1[notredame/7437937@N06_428202066.jpg],1[notredame/williamjm_243463200.jpg],4[notredame/alex1961_2472410946.jpg],2[notredame/jfuentejr_225870475.jpg],2[notredame/hotels-paris-rive-gauche_313842788.jpg],1[notredame/rbitting_953689565.jpg],2[notredame/ashley_r_2406414679.jpg],1[notredame/nickstenning_2127919630.jpg],3[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",3H8DHMCCW9CY0PABAHW6L240PSFKDV,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:52:27 PDT 2016","Thu Apr 28 07:52:58 PDT 2016",5[notredame/inti_2555035132.jpg],5[notredame/ashley_r_2406416885.jpg],5[notredame/alex1961_2465550867.jpg],5[notredame/25556223@N04_2494937213.jpg],5[notredame/williamgunn_242913009.jpg],5[notredame/firepile_143645234.jpg],5[notredame/pheede_161152148.jpg],5[notredame/pheede_161152353.jpg],5[notredame/49968830@N00_65656119.jpg],5[notredame/matteomartinello_132889573.jpg],5[notredame/solgrundy_35298066.jpg],5[notredame/linda_uruchurtu_238388703.jpg],5[notredame/poeloq_985732215.jpg],5[notredame/firepile_143644819.jpg],5[notredame/7368078@N04_423060766.jpg],5[notredame/firepile_143645016.jpg],5[notredame/bernardowolff_1435366113.jpg],5[notredame/mpd01605_2236984173.jpg],5[notredame/eagleapex_1896434240.jpg],5[notredame/fabiovenni_73179131.jpg],5[notredame/eagleapex_1895603041.jpg],5[notredame/7437937@N06_428202066.jpg],5[notredame/williamjm_243463200.jpg],5[notredame/alex1961_2472410946.jpg],5[notredame/jfuentejr_225870475.jpg],5[notredame/hotels-paris-rive-gauche_313842788.jpg],5[notredame/rbitting_953689565.jpg],5[notredame/ashley_r_2406414679.jpg],5[notredame/nickstenning_2127919630.jpg],5[notredame/97964364@N00_335399646.jpg],
37G6BXQPLQMMGEOCTFMMZM2CDH3EQ4,"notredame_330-359","sample#command",37TD41K0AHAMJGH5FUAXSIDSLOMCSE,A1BHAP9J150HQY,Approved,"Thu Apr 28 13:51:31 PDT 2016","Thu Apr 28 13:53:42 PDT 2016",4[notredame/inti_2555035132.jpg],3[notredame/ashley_r_2406416885.jpg],1[notredame/alex1961_2465550867.jpg],1[notredame/25556223@N04_2494937213.jpg],2[notredame/williamgunn_242913009.jpg],2[notredame/firepile_143645234.jpg],4[notredame/pheede_161152148.jpg],3[notredame/pheede_161152353.jpg],2[notredame/49968830@N00_65656119.jpg],2[notredame/matteomartinello_132889573.jpg],2[notredame/solgrundy_35298066.jpg],2[notredame/linda_uruchurtu_238388703.jpg],1[notredame/poeloq_985732215.jpg],2[notredame/firepile_143644819.jpg],3[notredame/7368078@N04_423060766.jpg],2[notredame/firepile_143645016.jpg],5[notredame/bernardowolff_1435366113.jpg],5[notredame/mpd01605_2236984173.jpg],4[notredame/eagleapex_1896434240.jpg],4[notredame/fabiovenni_73179131.jpg],3[notredame/eagleapex_1895603041.jpg],1[notredame/7437937@N06_428202066.jpg],1[notredame/williamjm_243463200.jpg],3[notredame/alex1961_2472410946.jpg],3[notredame/jfuentejr_225870475.jpg],5[notredame/hotels-paris-rive-gauche_313842788.jpg],3[notredame/rbitting_953689565.jpg],2[notredame/ashley_r_2406414679.jpg],4[notredame/nickstenning_2127919630.jpg],3[notredame/97964364@N00_335399646.jpg],
