HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3QHK8ZVMIMJG5YU9HLH15CTFB3CBLE,A299648X7UDU4M,Approved,"Tue Apr 26 23:33:05 PDT 2016","Tue Apr 26 23:36:00 PDT 2016",4[notredame/paigerphotography_1882636700.jpg],4[notredame/alex1961_2471589077.jpg],1[notredame/seppert_133362212.jpg],3[notredame/nuriaijoancarles_2346951949.jpg],2[notredame/maldark_125080552.jpg],3[notredame/arnaudlimbourg_30384870.jpg],1[notredame/maveric2003_2131647620.jpg],2[notredame/cpirate_2192778720.jpg],1[notredame/edwin11_313657629.jpg],2[notredame/36202631@N00_201713249.jpg],1[notredame/chris-yunker_2517646296.jpg],2[notredame/alex1961_2471590117.jpg],1[notredame/mikefats_483951650.jpg],1[notredame/alex1961_2465550785.jpg],1[notredame/ojovirtual_412832611.jpg],3[notredame/alex1961_2471587281.jpg],3[notredame/sirkarm_253091460.jpg],4[notredame/derickleony_2196179420.jpg],3[notredame/chodhound_2268866260.jpg],4[notredame/jordanklein_1087396438.jpg],1[notredame/hellolapomme_2301954248.jpg],1[notredame/jayniebell_2112882694.jpg],2[notredame/alex1961_2471586349.jpg],2[notredame/lashkin_2514033552.jpg],3[notredame/alex1961_2466373816.jpg],3[notredame/alex1961_2465542557.jpg],4[notredame/draket_2251819469.jpg],2[notredame/draket_2251819227.jpg],2[notredame/draket_2251819347.jpg],2[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3NKQQ8O39Y6C3LFN4V08RPDYRGMDUO,A1XC5OV00MECKQ,Approved,"Wed Apr 27 01:51:50 PDT 2016","Wed Apr 27 01:54:39 PDT 2016",4[notredame/paigerphotography_1882636700.jpg],4[notredame/alex1961_2471589077.jpg],4[notredame/seppert_133362212.jpg],4[notredame/nuriaijoancarles_2346951949.jpg],4[notredame/maldark_125080552.jpg],4[notredame/arnaudlimbourg_30384870.jpg],5[notredame/maveric2003_2131647620.jpg],4[notredame/cpirate_2192778720.jpg],4[notredame/edwin11_313657629.jpg],4[notredame/36202631@N00_201713249.jpg],4[notredame/chris-yunker_2517646296.jpg],4[notredame/alex1961_2471590117.jpg],5[notredame/mikefats_483951650.jpg],5[notredame/alex1961_2465550785.jpg],3[notredame/ojovirtual_412832611.jpg],5[notredame/alex1961_2471587281.jpg],5[notredame/sirkarm_253091460.jpg],4[notredame/derickleony_2196179420.jpg],4[notredame/chodhound_2268866260.jpg],4[notredame/jordanklein_1087396438.jpg],3[notredame/hellolapomme_2301954248.jpg],5[notredame/jayniebell_2112882694.jpg],5[notredame/alex1961_2471586349.jpg],5[notredame/lashkin_2514033552.jpg],5[notredame/alex1961_2466373816.jpg],4[notredame/alex1961_2465542557.jpg],4[notredame/draket_2251819469.jpg],4[notredame/draket_2251819227.jpg],4[notredame/draket_2251819347.jpg],4[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3G5W44VEU7J1C9K2C7XERN7X2H8GK8,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 03:59:45 PDT 2016","Wed Apr 27 04:01:05 PDT 2016",3[notredame/paigerphotography_1882636700.jpg],3[notredame/alex1961_2471589077.jpg],3[notredame/seppert_133362212.jpg],4[notredame/nuriaijoancarles_2346951949.jpg],3[notredame/maldark_125080552.jpg],4[notredame/arnaudlimbourg_30384870.jpg],4[notredame/maveric2003_2131647620.jpg],4[notredame/cpirate_2192778720.jpg],2[notredame/edwin11_313657629.jpg],3[notredame/36202631@N00_201713249.jpg],2[notredame/chris-yunker_2517646296.jpg],2[notredame/alex1961_2471590117.jpg],1[notredame/mikefats_483951650.jpg],2[notredame/alex1961_2465550785.jpg],2[notredame/ojovirtual_412832611.jpg],3[notredame/alex1961_2471587281.jpg],3[notredame/sirkarm_253091460.jpg],3[notredame/derickleony_2196179420.jpg],3[notredame/chodhound_2268866260.jpg],3[notredame/jordanklein_1087396438.jpg],3[notredame/hellolapomme_2301954248.jpg],3[notredame/jayniebell_2112882694.jpg],3[notredame/alex1961_2471586349.jpg],3[notredame/lashkin_2514033552.jpg],3[notredame/alex1961_2466373816.jpg],3[notredame/alex1961_2465542557.jpg],2[notredame/draket_2251819469.jpg],2[notredame/draket_2251819227.jpg],3[notredame/draket_2251819347.jpg],1[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3N4BPTXIO8TKHRLXWCMVV28OBP9UK8,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:09:02 PDT 2016","Wed Apr 27 09:10:44 PDT 2016",4[notredame/paigerphotography_1882636700.jpg],4[notredame/alex1961_2471589077.jpg],5[notredame/seppert_133362212.jpg],4[notredame/nuriaijoancarles_2346951949.jpg],5[notredame/maldark_125080552.jpg],4[notredame/arnaudlimbourg_30384870.jpg],5[notredame/maveric2003_2131647620.jpg],5[notredame/cpirate_2192778720.jpg],4[notredame/edwin11_313657629.jpg],5[notredame/36202631@N00_201713249.jpg],4[notredame/chris-yunker_2517646296.jpg],5[notredame/alex1961_2471590117.jpg],5[notredame/mikefats_483951650.jpg],5[notredame/alex1961_2465550785.jpg],5[notredame/ojovirtual_412832611.jpg],4[notredame/alex1961_2471587281.jpg],4[notredame/sirkarm_253091460.jpg],5[notredame/derickleony_2196179420.jpg],5[notredame/chodhound_2268866260.jpg],4[notredame/jordanklein_1087396438.jpg],4[notredame/hellolapomme_2301954248.jpg],4[notredame/jayniebell_2112882694.jpg],5[notredame/alex1961_2471586349.jpg],5[notredame/lashkin_2514033552.jpg],4[notredame/alex1961_2466373816.jpg],5[notredame/alex1961_2465542557.jpg],5[notredame/draket_2251819469.jpg],5[notredame/draket_2251819227.jpg],5[notredame/draket_2251819347.jpg],5[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",39U1BHVTDLSZLGY1B14M9K5KHQ2T3T,A21O2EUVFOJKMK,Approved,"Wed Apr 27 13:17:34 PDT 2016","Wed Apr 27 13:23:06 PDT 2016",4[notredame/paigerphotography_1882636700.jpg],3[notredame/alex1961_2471589077.jpg],2[notredame/seppert_133362212.jpg],4[notredame/nuriaijoancarles_2346951949.jpg],2[notredame/maldark_125080552.jpg],4[notredame/arnaudlimbourg_30384870.jpg],4[notredame/maveric2003_2131647620.jpg],5[notredame/cpirate_2192778720.jpg],1[notredame/edwin11_313657629.jpg],2[notredame/36202631@N00_201713249.jpg],1[notredame/chris-yunker_2517646296.jpg],1[notredame/alex1961_2471590117.jpg],1[notredame/mikefats_483951650.jpg],1[notredame/alex1961_2465550785.jpg],3[notredame/ojovirtual_412832611.jpg],5[notredame/alex1961_2471587281.jpg],3[notredame/sirkarm_253091460.jpg],5[notredame/derickleony_2196179420.jpg],4[notredame/chodhound_2268866260.jpg],5[notredame/jordanklein_1087396438.jpg],3[notredame/hellolapomme_2301954248.jpg],1[notredame/jayniebell_2112882694.jpg],5[notredame/alex1961_2471586349.jpg],4[notredame/lashkin_2514033552.jpg],3[notredame/alex1961_2466373816.jpg],3[notredame/alex1961_2465542557.jpg],4[notredame/draket_2251819469.jpg],3[notredame/draket_2251819227.jpg],4[notredame/draket_2251819347.jpg],2[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3M0NZ3JDP1ZYL7U4VCHXA54LGJQZ5I,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:18:21 PDT 2016","Wed Apr 27 23:19:35 PDT 2016",3[notredame/paigerphotography_1882636700.jpg],3[notredame/alex1961_2471589077.jpg],2[notredame/seppert_133362212.jpg],3[notredame/nuriaijoancarles_2346951949.jpg],3[notredame/maldark_125080552.jpg],3[notredame/arnaudlimbourg_30384870.jpg],2[notredame/maveric2003_2131647620.jpg],3[notredame/cpirate_2192778720.jpg],1[notredame/edwin11_313657629.jpg],2[notredame/36202631@N00_201713249.jpg],1[notredame/chris-yunker_2517646296.jpg],1[notredame/alex1961_2471590117.jpg],1[notredame/mikefats_483951650.jpg],1[notredame/alex1961_2465550785.jpg],2[notredame/ojovirtual_412832611.jpg],2[notredame/alex1961_2471587281.jpg],2[notredame/sirkarm_253091460.jpg],3[notredame/derickleony_2196179420.jpg],1[notredame/chodhound_2268866260.jpg],3[notredame/jordanklein_1087396438.jpg],1[notredame/hellolapomme_2301954248.jpg],2[notredame/jayniebell_2112882694.jpg],2[notredame/alex1961_2471586349.jpg],3[notredame/lashkin_2514033552.jpg],3[notredame/alex1961_2466373816.jpg],3[notredame/alex1961_2465542557.jpg],2[notredame/draket_2251819469.jpg],2[notredame/draket_2251819227.jpg],2[notredame/draket_2251819347.jpg],2[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3TMFV4NEP8FDEU81IN4TNLKU17R8W7,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:02:26 PDT 2016","Thu Apr 28 01:03:26 PDT 2016",5[notredame/paigerphotography_1882636700.jpg],5[notredame/alex1961_2471589077.jpg],5[notredame/seppert_133362212.jpg],5[notredame/nuriaijoancarles_2346951949.jpg],5[notredame/maldark_125080552.jpg],5[notredame/arnaudlimbourg_30384870.jpg],5[notredame/maveric2003_2131647620.jpg],5[notredame/cpirate_2192778720.jpg],5[notredame/edwin11_313657629.jpg],5[notredame/36202631@N00_201713249.jpg],5[notredame/chris-yunker_2517646296.jpg],5[notredame/alex1961_2471590117.jpg],5[notredame/mikefats_483951650.jpg],5[notredame/alex1961_2465550785.jpg],5[notredame/ojovirtual_412832611.jpg],5[notredame/alex1961_2471587281.jpg],5[notredame/sirkarm_253091460.jpg],5[notredame/derickleony_2196179420.jpg],5[notredame/chodhound_2268866260.jpg],5[notredame/jordanklein_1087396438.jpg],5[notredame/hellolapomme_2301954248.jpg],5[notredame/jayniebell_2112882694.jpg],5[notredame/alex1961_2471586349.jpg],5[notredame/lashkin_2514033552.jpg],5[notredame/alex1961_2466373816.jpg],5[notredame/alex1961_2465542557.jpg],5[notredame/draket_2251819469.jpg],5[notredame/draket_2251819227.jpg],5[notredame/draket_2251819347.jpg],5[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3CCZ6YKWR7KJFGCRRENYXH2S1G859F,A2FA4YYFWJMRV4,Approved,"Thu Apr 28 02:40:55 PDT 2016","Thu Apr 28 02:59:09 PDT 2016",5[notredame/paigerphotography_1882636700.jpg],4[notredame/alex1961_2471589077.jpg],4[notredame/seppert_133362212.jpg],5[notredame/nuriaijoancarles_2346951949.jpg],4[notredame/maldark_125080552.jpg],4[notredame/arnaudlimbourg_30384870.jpg],5[notredame/maveric2003_2131647620.jpg],4[notredame/cpirate_2192778720.jpg],4[notredame/edwin11_313657629.jpg],4[notredame/36202631@N00_201713249.jpg],4[notredame/chris-yunker_2517646296.jpg],4[notredame/alex1961_2471590117.jpg],5[notredame/mikefats_483951650.jpg],4[notredame/alex1961_2465550785.jpg],4[notredame/ojovirtual_412832611.jpg],4[notredame/alex1961_2471587281.jpg],4[notredame/sirkarm_253091460.jpg],5[notredame/derickleony_2196179420.jpg],5[notredame/chodhound_2268866260.jpg],5[notredame/jordanklein_1087396438.jpg],4[notredame/hellolapomme_2301954248.jpg],4[notredame/jayniebell_2112882694.jpg],4[notredame/alex1961_2471586349.jpg],4[notredame/lashkin_2514033552.jpg],4[notredame/alex1961_2466373816.jpg],4[notredame/alex1961_2465542557.jpg],4[notredame/draket_2251819469.jpg],4[notredame/draket_2251819227.jpg],4[notredame/draket_2251819347.jpg],4[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3W2LOLRXLBGS1ZTGSIRQQRL44T0RK2,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:21:43 PDT 2016","Thu Apr 28 07:23:14 PDT 2016",5[notredame/paigerphotography_1882636700.jpg],4[notredame/alex1961_2471589077.jpg],5[notredame/seppert_133362212.jpg],5[notredame/nuriaijoancarles_2346951949.jpg],3[notredame/maldark_125080552.jpg],4[notredame/arnaudlimbourg_30384870.jpg],5[notredame/maveric2003_2131647620.jpg],5[notredame/cpirate_2192778720.jpg],2[notredame/edwin11_313657629.jpg],2[notredame/36202631@N00_201713249.jpg],5[notredame/chris-yunker_2517646296.jpg],4[notredame/alex1961_2471590117.jpg],2[notredame/mikefats_483951650.jpg],5[notredame/alex1961_2465550785.jpg],5[notredame/ojovirtual_412832611.jpg],5[notredame/alex1961_2471587281.jpg],5[notredame/sirkarm_253091460.jpg],5[notredame/derickleony_2196179420.jpg],4[notredame/chodhound_2268866260.jpg],4[notredame/jordanklein_1087396438.jpg],4[notredame/hellolapomme_2301954248.jpg],4[notredame/jayniebell_2112882694.jpg],5[notredame/alex1961_2471586349.jpg],5[notredame/lashkin_2514033552.jpg],5[notredame/alex1961_2466373816.jpg],5[notredame/alex1961_2465542557.jpg],4[notredame/draket_2251819469.jpg],5[notredame/draket_2251819227.jpg],5[notredame/draket_2251819347.jpg],5[notredame/wordcat_266469524.jpg],
39WICJI5ATTSK896RRO37OAJRVYZ3S,"notredame_0-29","sample#command",3EA3QWIZ4IWEBJGKW4B9DQ790DBTIF,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 23:17:52 PDT 2016","Thu Apr 28 23:19:13 PDT 2016",1[notredame/paigerphotography_1882636700.jpg],1[notredame/alex1961_2471589077.jpg],1[notredame/seppert_133362212.jpg],3[notredame/nuriaijoancarles_2346951949.jpg],1[notredame/maldark_125080552.jpg],1[notredame/arnaudlimbourg_30384870.jpg],2[notredame/maveric2003_2131647620.jpg],2[notredame/cpirate_2192778720.jpg],1[notredame/edwin11_313657629.jpg],2[notredame/36202631@N00_201713249.jpg],2[notredame/chris-yunker_2517646296.jpg],2[notredame/alex1961_2471590117.jpg],1[notredame/mikefats_483951650.jpg],2[notredame/alex1961_2465550785.jpg],2[notredame/ojovirtual_412832611.jpg],2[notredame/alex1961_2471587281.jpg],2[notredame/sirkarm_253091460.jpg],1[notredame/derickleony_2196179420.jpg],1[notredame/chodhound_2268866260.jpg],1[notredame/jordanklein_1087396438.jpg],2[notredame/hellolapomme_2301954248.jpg],1[notredame/jayniebell_2112882694.jpg],2[notredame/alex1961_2471586349.jpg],2[notredame/lashkin_2514033552.jpg],3[notredame/alex1961_2466373816.jpg],3[notredame/alex1961_2465542557.jpg],1[notredame/draket_2251819469.jpg],1[notredame/draket_2251819227.jpg],1[notredame/draket_2251819347.jpg],2[notredame/wordcat_266469524.jpg],
