HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3MRNMEIQW579KVSTVH8702HFEPUDLV,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:17:09 PDT 2016","Wed Apr 27 02:18:42 PDT 2016",4[notredame/cfuga_1434885957.jpg],4[notredame/13284673@N00_416967273.jpg],4[notredame/eagleapex_1896458890.jpg],4[notredame/elenatorre_1158793263.jpg],4[notredame/w00kie_2162386999.jpg],4[notredame/13012027@N04_2073398235.jpg],4[notredame/celesteh_102619571.jpg],4[notredame/yakobusan_340554248.jpg],5[notredame/32219531@N00_102756761.jpg],4[notredame/chodhound_2268079495.jpg],4[notredame/paultraf_2459932266.jpg],4[notredame/13012027@N04_2074188818.jpg],4[notredame/cayetano_2163959470.jpg],4[notredame/85428086@N00_231121544.jpg],4[notredame/hotzeplotz_66006514.jpg],4[notredame/eugeniayjulian_21018953.jpg],4[notredame/fabriceterrasson_52945251.jpg],4[notredame/malias_54592222.jpg],4[notredame/85428086@N00_231120652.jpg],4[notredame/julioenriquez_464095346.jpg],4[notredame/85428086@N00_231120028.jpg],4[notredame/12407269@N07_1291377840.jpg],4[notredame/eugeniayjulian_21019045.jpg],2[notredame/baguette_2515925257.jpg],2[notredame/85428086@N00_231121848.jpg],4[notredame/julioenriquez_464095582.jpg],4[notredame/85428086@N00_231120978.jpg],4[notredame/eugeniayjulian_21019242.jpg],4[notredame/cvander_196815807.jpg],4[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",317HQ483I7TGG6B0Z8PX4R1HBP1NI8,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:25:03 PDT 2016","Wed Apr 27 02:26:25 PDT 2016",3[notredame/cfuga_1434885957.jpg],3[notredame/13284673@N00_416967273.jpg],2[notredame/eagleapex_1896458890.jpg],3[notredame/elenatorre_1158793263.jpg],3[notredame/w00kie_2162386999.jpg],3[notredame/13012027@N04_2073398235.jpg],4[notredame/celesteh_102619571.jpg],3[notredame/yakobusan_340554248.jpg],4[notredame/32219531@N00_102756761.jpg],3[notredame/chodhound_2268079495.jpg],2[notredame/paultraf_2459932266.jpg],2[notredame/13012027@N04_2074188818.jpg],4[notredame/cayetano_2163959470.jpg],3[notredame/85428086@N00_231121544.jpg],3[notredame/hotzeplotz_66006514.jpg],3[notredame/eugeniayjulian_21018953.jpg],4[notredame/fabriceterrasson_52945251.jpg],3[notredame/malias_54592222.jpg],4[notredame/85428086@N00_231120652.jpg],3[notredame/julioenriquez_464095346.jpg],4[notredame/85428086@N00_231120028.jpg],3[notredame/12407269@N07_1291377840.jpg],4[notredame/eugeniayjulian_21019045.jpg],2[notredame/baguette_2515925257.jpg],3[notredame/85428086@N00_231121848.jpg],3[notredame/julioenriquez_464095582.jpg],2[notredame/85428086@N00_231120978.jpg],4[notredame/eugeniayjulian_21019242.jpg],4[notredame/cvander_196815807.jpg],2[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3X73LLYYQ1FGKB0GTQ7C4F02BC9HNW,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:28:54 PDT 2016","Wed Apr 27 08:30:28 PDT 2016",3[notredame/cfuga_1434885957.jpg],3[notredame/13284673@N00_416967273.jpg],4[notredame/eagleapex_1896458890.jpg],4[notredame/elenatorre_1158793263.jpg],4[notredame/w00kie_2162386999.jpg],4[notredame/13012027@N04_2073398235.jpg],4[notredame/celesteh_102619571.jpg],4[notredame/yakobusan_340554248.jpg],3[notredame/32219531@N00_102756761.jpg],3[notredame/chodhound_2268079495.jpg],4[notredame/paultraf_2459932266.jpg],3[notredame/13012027@N04_2074188818.jpg],4[notredame/cayetano_2163959470.jpg],5[notredame/85428086@N00_231121544.jpg],3[notredame/hotzeplotz_66006514.jpg],4[notredame/eugeniayjulian_21018953.jpg],4[notredame/fabriceterrasson_52945251.jpg],4[notredame/malias_54592222.jpg],1[notredame/85428086@N00_231120652.jpg],3[notredame/julioenriquez_464095346.jpg],5[notredame/85428086@N00_231120028.jpg],4[notredame/12407269@N07_1291377840.jpg],4[notredame/eugeniayjulian_21019045.jpg],4[notredame/baguette_2515925257.jpg],5[notredame/85428086@N00_231121848.jpg],3[notredame/julioenriquez_464095582.jpg],3[notredame/85428086@N00_231120978.jpg],4[notredame/eugeniayjulian_21019242.jpg],3[notredame/cvander_196815807.jpg],3[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",30X31N5D63RYQ1K7VGE6MNN4LGYSAF,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:54:48 PDT 2016","Wed Apr 27 09:56:10 PDT 2016",4[notredame/cfuga_1434885957.jpg],5[notredame/13284673@N00_416967273.jpg],3[notredame/eagleapex_1896458890.jpg],4[notredame/elenatorre_1158793263.jpg],4[notredame/w00kie_2162386999.jpg],5[notredame/13012027@N04_2073398235.jpg],5[notredame/celesteh_102619571.jpg],5[notredame/yakobusan_340554248.jpg],4[notredame/32219531@N00_102756761.jpg],4[notredame/chodhound_2268079495.jpg],4[notredame/paultraf_2459932266.jpg],4[notredame/13012027@N04_2074188818.jpg],4[notredame/cayetano_2163959470.jpg],5[notredame/85428086@N00_231121544.jpg],4[notredame/hotzeplotz_66006514.jpg],5[notredame/eugeniayjulian_21018953.jpg],5[notredame/fabriceterrasson_52945251.jpg],4[notredame/malias_54592222.jpg],5[notredame/85428086@N00_231120652.jpg],5[notredame/julioenriquez_464095346.jpg],5[notredame/85428086@N00_231120028.jpg],4[notredame/12407269@N07_1291377840.jpg],5[notredame/eugeniayjulian_21019045.jpg],4[notredame/baguette_2515925257.jpg],5[notredame/85428086@N00_231121848.jpg],5[notredame/julioenriquez_464095582.jpg],4[notredame/85428086@N00_231120978.jpg],4[notredame/eugeniayjulian_21019242.jpg],5[notredame/cvander_196815807.jpg],4[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3AAJC4I4FGT6S69PKELRBFNQYKKJZN,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:04:21 PDT 2016","Wed Apr 27 23:05:39 PDT 2016",2[notredame/cfuga_1434885957.jpg],2[notredame/13284673@N00_416967273.jpg],1[notredame/eagleapex_1896458890.jpg],3[notredame/elenatorre_1158793263.jpg],2[notredame/w00kie_2162386999.jpg],1[notredame/13012027@N04_2073398235.jpg],1[notredame/celesteh_102619571.jpg],1[notredame/yakobusan_340554248.jpg],3[notredame/32219531@N00_102756761.jpg],3[notredame/chodhound_2268079495.jpg],4[notredame/paultraf_2459932266.jpg],2[notredame/13012027@N04_2074188818.jpg],2[notredame/cayetano_2163959470.jpg],1[notredame/85428086@N00_231121544.jpg],2[notredame/hotzeplotz_66006514.jpg],2[notredame/eugeniayjulian_21018953.jpg],3[notredame/fabriceterrasson_52945251.jpg],2[notredame/malias_54592222.jpg],3[notredame/85428086@N00_231120652.jpg],4[notredame/julioenriquez_464095346.jpg],4[notredame/85428086@N00_231120028.jpg],2[notredame/12407269@N07_1291377840.jpg],2[notredame/eugeniayjulian_21019045.jpg],1[notredame/baguette_2515925257.jpg],2[notredame/85428086@N00_231121848.jpg],2[notredame/julioenriquez_464095582.jpg],1[notredame/85428086@N00_231120978.jpg],3[notredame/eugeniayjulian_21019242.jpg],2[notredame/cvander_196815807.jpg],2[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3LRLIPTPEQA02I7ZQ754V1WU4OHKAQ,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:08:29 PDT 2016","Thu Apr 28 01:09:31 PDT 2016",5[notredame/cfuga_1434885957.jpg],5[notredame/13284673@N00_416967273.jpg],5[notredame/eagleapex_1896458890.jpg],5[notredame/elenatorre_1158793263.jpg],5[notredame/w00kie_2162386999.jpg],5[notredame/13012027@N04_2073398235.jpg],5[notredame/celesteh_102619571.jpg],5[notredame/yakobusan_340554248.jpg],5[notredame/32219531@N00_102756761.jpg],5[notredame/chodhound_2268079495.jpg],5[notredame/paultraf_2459932266.jpg],5[notredame/13012027@N04_2074188818.jpg],5[notredame/cayetano_2163959470.jpg],5[notredame/85428086@N00_231121544.jpg],5[notredame/hotzeplotz_66006514.jpg],5[notredame/eugeniayjulian_21018953.jpg],5[notredame/fabriceterrasson_52945251.jpg],5[notredame/malias_54592222.jpg],5[notredame/85428086@N00_231120652.jpg],5[notredame/julioenriquez_464095346.jpg],5[notredame/85428086@N00_231120028.jpg],5[notredame/12407269@N07_1291377840.jpg],5[notredame/eugeniayjulian_21019045.jpg],5[notredame/baguette_2515925257.jpg],5[notredame/85428086@N00_231121848.jpg],5[notredame/julioenriquez_464095582.jpg],5[notredame/85428086@N00_231120978.jpg],5[notredame/eugeniayjulian_21019242.jpg],5[notredame/cvander_196815807.jpg],5[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3BV8HQ2ZZW2T33MAO3B3LIRC3TZ6A9,AE366CJX2U73M,Approved,"Thu Apr 28 01:59:59 PDT 2016","Thu Apr 28 02:01:23 PDT 2016",3[notredame/cfuga_1434885957.jpg],3[notredame/13284673@N00_416967273.jpg],2[notredame/eagleapex_1896458890.jpg],3[notredame/elenatorre_1158793263.jpg],4[notredame/w00kie_2162386999.jpg],2[notredame/13012027@N04_2073398235.jpg],2[notredame/celesteh_102619571.jpg],1[notredame/yakobusan_340554248.jpg],3[notredame/32219531@N00_102756761.jpg],3[notredame/chodhound_2268079495.jpg],2[notredame/paultraf_2459932266.jpg],2[notredame/13012027@N04_2074188818.jpg],2[notredame/cayetano_2163959470.jpg],4[notredame/85428086@N00_231121544.jpg],5[notredame/hotzeplotz_66006514.jpg],4[notredame/eugeniayjulian_21018953.jpg],4[notredame/fabriceterrasson_52945251.jpg],4[notredame/malias_54592222.jpg],3[notredame/85428086@N00_231120652.jpg],3[notredame/julioenriquez_464095346.jpg],5[notredame/85428086@N00_231120028.jpg],2[notredame/12407269@N07_1291377840.jpg],3[notredame/eugeniayjulian_21019045.jpg],1[notredame/baguette_2515925257.jpg],3[notredame/85428086@N00_231121848.jpg],4[notredame/julioenriquez_464095582.jpg],4[notredame/85428086@N00_231120978.jpg],5[notredame/eugeniayjulian_21019242.jpg],3[notredame/cvander_196815807.jpg],3[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3VAR3R6G1P259LZZR1DJ6R78Y69O8U,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 05:51:25 PDT 2016","Thu Apr 28 05:52:47 PDT 2016",1[notredame/cfuga_1434885957.jpg],1[notredame/13284673@N00_416967273.jpg],1[notredame/eagleapex_1896458890.jpg],1[notredame/elenatorre_1158793263.jpg],3[notredame/w00kie_2162386999.jpg],1[notredame/13012027@N04_2073398235.jpg],1[notredame/celesteh_102619571.jpg],1[notredame/yakobusan_340554248.jpg],1[notredame/32219531@N00_102756761.jpg],1[notredame/chodhound_2268079495.jpg],1[notredame/paultraf_2459932266.jpg],1[notredame/13012027@N04_2074188818.jpg],1[notredame/cayetano_2163959470.jpg],4[notredame/85428086@N00_231121544.jpg],3[notredame/hotzeplotz_66006514.jpg],2[notredame/eugeniayjulian_21018953.jpg],2[notredame/fabriceterrasson_52945251.jpg],1[notredame/malias_54592222.jpg],4[notredame/85428086@N00_231120652.jpg],3[notredame/julioenriquez_464095346.jpg],3[notredame/85428086@N00_231120028.jpg],1[notredame/12407269@N07_1291377840.jpg],2[notredame/eugeniayjulian_21019045.jpg],1[notredame/baguette_2515925257.jpg],4[notredame/85428086@N00_231121848.jpg],3[notredame/julioenriquez_464095582.jpg],2[notredame/85428086@N00_231120978.jpg],2[notredame/eugeniayjulian_21019242.jpg],4[notredame/cvander_196815807.jpg],2[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3YWRV122CS00MQJWNNPS5XZXGSFU8V,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:53:36 PDT 2016","Thu Apr 28 07:55:18 PDT 2016",5[notredame/cfuga_1434885957.jpg],5[notredame/13284673@N00_416967273.jpg],5[notredame/eagleapex_1896458890.jpg],5[notredame/elenatorre_1158793263.jpg],5[notredame/w00kie_2162386999.jpg],5[notredame/13012027@N04_2073398235.jpg],5[notredame/celesteh_102619571.jpg],5[notredame/yakobusan_340554248.jpg],5[notredame/32219531@N00_102756761.jpg],5[notredame/chodhound_2268079495.jpg],5[notredame/paultraf_2459932266.jpg],5[notredame/13012027@N04_2074188818.jpg],5[notredame/cayetano_2163959470.jpg],3[notredame/85428086@N00_231121544.jpg],5[notredame/hotzeplotz_66006514.jpg],5[notredame/eugeniayjulian_21018953.jpg],5[notredame/fabriceterrasson_52945251.jpg],3[notredame/malias_54592222.jpg],5[notredame/85428086@N00_231120652.jpg],5[notredame/julioenriquez_464095346.jpg],5[notredame/85428086@N00_231120028.jpg],3[notredame/12407269@N07_1291377840.jpg],5[notredame/eugeniayjulian_21019045.jpg],5[notredame/baguette_2515925257.jpg],5[notredame/85428086@N00_231121848.jpg],5[notredame/julioenriquez_464095582.jpg],1[notredame/85428086@N00_231120978.jpg],5[notredame/eugeniayjulian_21019242.jpg],5[notredame/cvander_196815807.jpg],5[notredame/nerstu_490192977.jpg],
3EN4YVUOUCTE0RBGTUS5QABXFSMJXR,"notredame_240-269","sample#command",3URFVVM165JF6MKJWDP5IHW1F4HZU6,A3APVUKRMTZ3CV,Approved,"Thu Apr 28 22:40:52 PDT 2016","Thu Apr 28 22:42:21 PDT 2016",2[notredame/cfuga_1434885957.jpg],3[notredame/13284673@N00_416967273.jpg],3[notredame/eagleapex_1896458890.jpg],3[notredame/elenatorre_1158793263.jpg],3[notredame/w00kie_2162386999.jpg],3[notredame/13012027@N04_2073398235.jpg],3[notredame/celesteh_102619571.jpg],2[notredame/yakobusan_340554248.jpg],3[notredame/32219531@N00_102756761.jpg],3[notredame/chodhound_2268079495.jpg],2[notredame/paultraf_2459932266.jpg],3[notredame/13012027@N04_2074188818.jpg],3[notredame/cayetano_2163959470.jpg],3[notredame/85428086@N00_231121544.jpg],3[notredame/hotzeplotz_66006514.jpg],3[notredame/eugeniayjulian_21018953.jpg],3[notredame/fabriceterrasson_52945251.jpg],3[notredame/malias_54592222.jpg],3[notredame/85428086@N00_231120652.jpg],3[notredame/julioenriquez_464095346.jpg],3[notredame/85428086@N00_231120028.jpg],2[notredame/12407269@N07_1291377840.jpg],3[notredame/eugeniayjulian_21019045.jpg],3[notredame/baguette_2515925257.jpg],3[notredame/85428086@N00_231121848.jpg],3[notredame/julioenriquez_464095582.jpg],3[notredame/85428086@N00_231120978.jpg],3[notredame/eugeniayjulian_21019242.jpg],3[notredame/cvander_196815807.jpg],3[notredame/nerstu_490192977.jpg],
