HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3LRLIPTPEQA02I7ZQ754V1WU4MRKAW,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:19:21 PDT 2016","Wed Apr 27 02:21:05 PDT 2016",5[notredame/zemzina_317353158.jpg],4[notredame/cocoinzenl_2459130394.jpg],4[notredame/mpd01605_2264985541.jpg],4[notredame/de-ve_2608380355.jpg],4[notredame/joeshlabotnik_445302935.jpg],4[notredame/81596301@N00_248194737.jpg],4[notredame/wyzik_155691739.jpg],4[notredame/omaromar_11726904.jpg],4[notredame/teamaskins_81492980.jpg],4[notredame/robertpaulyoung_297192539.jpg],4[notredame/adactio_499686917.jpg],2[notredame/mvhargan_82931174.jpg],4[notredame/matthewblank_307229956.jpg],3[notredame/poeloq_985719293.jpg],4[notredame/cmatulewicz_76767322.jpg],4[notredame/timhill_1878530115.jpg],4[notredame/thraxil_169769154.jpg],4[notredame/matthewblank_307226100.jpg],4[notredame/poeloq_985725045.jpg],4[notredame/davidthibault_2446537187.jpg],4[notredame/matthewblank_307221053.jpg],4[notredame/robbies_2110569712.jpg],4[notredame/gavandanna_217564598.jpg],4[notredame/aoifecahill_379215472.jpg],4[notredame/18472724@N00_80247117.jpg],4[notredame/niai_180201624.jpg],4[notredame/matthewblank_307229231.jpg],4[notredame/matthewblank_307226821.jpg],4[notredame/matthewblank_307225256.jpg],4[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3IO1LGZLK9YFKFTVR5RPPRLHD3868A,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:26:42 PDT 2016","Wed Apr 27 02:27:53 PDT 2016",3[notredame/zemzina_317353158.jpg],3[notredame/cocoinzenl_2459130394.jpg],3[notredame/mpd01605_2264985541.jpg],3[notredame/de-ve_2608380355.jpg],2[notredame/joeshlabotnik_445302935.jpg],4[notredame/81596301@N00_248194737.jpg],3[notredame/wyzik_155691739.jpg],1[notredame/omaromar_11726904.jpg],3[notredame/teamaskins_81492980.jpg],2[notredame/robertpaulyoung_297192539.jpg],3[notredame/adactio_499686917.jpg],4[notredame/mvhargan_82931174.jpg],1[notredame/matthewblank_307229956.jpg],2[notredame/poeloq_985719293.jpg],3[notredame/cmatulewicz_76767322.jpg],4[notredame/timhill_1878530115.jpg],4[notredame/thraxil_169769154.jpg],1[notredame/matthewblank_307226100.jpg],2[notredame/poeloq_985725045.jpg],3[notredame/davidthibault_2446537187.jpg],3[notredame/matthewblank_307221053.jpg],2[notredame/robbies_2110569712.jpg],4[notredame/gavandanna_217564598.jpg],4[notredame/aoifecahill_379215472.jpg],3[notredame/18472724@N00_80247117.jpg],3[notredame/niai_180201624.jpg],2[notredame/matthewblank_307229231.jpg],2[notredame/matthewblank_307226821.jpg],1[notredame/matthewblank_307225256.jpg],3[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",30JNVC0OR9L1N8D89IZT89V7GNWHQJ,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:29:24 PDT 2016","Wed Apr 27 08:32:07 PDT 2016",3[notredame/zemzina_317353158.jpg],3[notredame/cocoinzenl_2459130394.jpg],5[notredame/mpd01605_2264985541.jpg],3[notredame/de-ve_2608380355.jpg],4[notredame/joeshlabotnik_445302935.jpg],3[notredame/81596301@N00_248194737.jpg],4[notredame/wyzik_155691739.jpg],4[notredame/omaromar_11726904.jpg],4[notredame/teamaskins_81492980.jpg],4[notredame/robertpaulyoung_297192539.jpg],2[notredame/adactio_499686917.jpg],3[notredame/mvhargan_82931174.jpg],3[notredame/matthewblank_307229956.jpg],4[notredame/poeloq_985719293.jpg],4[notredame/cmatulewicz_76767322.jpg],4[notredame/timhill_1878530115.jpg],4[notredame/thraxil_169769154.jpg],3[notredame/matthewblank_307226100.jpg],4[notredame/poeloq_985725045.jpg],4[notredame/davidthibault_2446537187.jpg],4[notredame/matthewblank_307221053.jpg],3[notredame/robbies_2110569712.jpg],3[notredame/gavandanna_217564598.jpg],4[notredame/aoifecahill_379215472.jpg],4[notredame/18472724@N00_80247117.jpg],3[notredame/niai_180201624.jpg],4[notredame/matthewblank_307229231.jpg],4[notredame/matthewblank_307226821.jpg],3[notredame/matthewblank_307225256.jpg],3[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3SLE99ER0NE0ANBDWM8ADR4DQDGBZV,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:21:29 PDT 2016","Wed Apr 27 09:23:12 PDT 2016",4[notredame/zemzina_317353158.jpg],4[notredame/cocoinzenl_2459130394.jpg],5[notredame/mpd01605_2264985541.jpg],4[notredame/de-ve_2608380355.jpg],4[notredame/joeshlabotnik_445302935.jpg],4[notredame/81596301@N00_248194737.jpg],4[notredame/wyzik_155691739.jpg],4[notredame/omaromar_11726904.jpg],4[notredame/teamaskins_81492980.jpg],4[notredame/robertpaulyoung_297192539.jpg],4[notredame/adactio_499686917.jpg],4[notredame/mvhargan_82931174.jpg],5[notredame/matthewblank_307229956.jpg],4[notredame/poeloq_985719293.jpg],5[notredame/cmatulewicz_76767322.jpg],4[notredame/timhill_1878530115.jpg],5[notredame/thraxil_169769154.jpg],4[notredame/matthewblank_307226100.jpg],4[notredame/poeloq_985725045.jpg],5[notredame/davidthibault_2446537187.jpg],5[notredame/matthewblank_307221053.jpg],5[notredame/robbies_2110569712.jpg],5[notredame/gavandanna_217564598.jpg],5[notredame/aoifecahill_379215472.jpg],4[notredame/18472724@N00_80247117.jpg],5[notredame/niai_180201624.jpg],4[notredame/matthewblank_307229231.jpg],4[notredame/matthewblank_307226821.jpg],4[notredame/matthewblank_307225256.jpg],4[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",32UTUBMZ7GXJ1363VPJ7SLRH245BVU,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:02:23 PDT 2016","Wed Apr 27 23:03:58 PDT 2016",4[notredame/zemzina_317353158.jpg],2[notredame/cocoinzenl_2459130394.jpg],2[notredame/mpd01605_2264985541.jpg],4[notredame/de-ve_2608380355.jpg],1[notredame/joeshlabotnik_445302935.jpg],3[notredame/81596301@N00_248194737.jpg],2[notredame/wyzik_155691739.jpg],4[notredame/omaromar_11726904.jpg],2[notredame/teamaskins_81492980.jpg],2[notredame/robertpaulyoung_297192539.jpg],4[notredame/adactio_499686917.jpg],2[notredame/mvhargan_82931174.jpg],2[notredame/matthewblank_307229956.jpg],1[notredame/poeloq_985719293.jpg],2[notredame/cmatulewicz_76767322.jpg],4[notredame/timhill_1878530115.jpg],3[notredame/thraxil_169769154.jpg],1[notredame/matthewblank_307226100.jpg],1[notredame/poeloq_985725045.jpg],4[notredame/davidthibault_2446537187.jpg],3[notredame/matthewblank_307221053.jpg],3[notredame/robbies_2110569712.jpg],4[notredame/gavandanna_217564598.jpg],3[notredame/aoifecahill_379215472.jpg],3[notredame/18472724@N00_80247117.jpg],2[notredame/niai_180201624.jpg],1[notredame/matthewblank_307229231.jpg],1[notredame/matthewblank_307226821.jpg],1[notredame/matthewblank_307225256.jpg],3[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3FPRZHYEPY8EY82QGW41A2T5ECX3V0,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:09:58 PDT 2016","Thu Apr 28 01:10:31 PDT 2016",5[notredame/zemzina_317353158.jpg],2[notredame/cocoinzenl_2459130394.jpg],1[notredame/mpd01605_2264985541.jpg],5[notredame/de-ve_2608380355.jpg],5[notredame/joeshlabotnik_445302935.jpg],5[notredame/81596301@N00_248194737.jpg],5[notredame/wyzik_155691739.jpg],5[notredame/omaromar_11726904.jpg],5[notredame/teamaskins_81492980.jpg],5[notredame/robertpaulyoung_297192539.jpg],5[notredame/adactio_499686917.jpg],5[notredame/mvhargan_82931174.jpg],5[notredame/matthewblank_307229956.jpg],5[notredame/poeloq_985719293.jpg],5[notredame/cmatulewicz_76767322.jpg],5[notredame/timhill_1878530115.jpg],5[notredame/thraxil_169769154.jpg],5[notredame/matthewblank_307226100.jpg],5[notredame/poeloq_985725045.jpg],5[notredame/davidthibault_2446537187.jpg],5[notredame/matthewblank_307221053.jpg],5[notredame/robbies_2110569712.jpg],5[notredame/gavandanna_217564598.jpg],5[notredame/aoifecahill_379215472.jpg],5[notredame/18472724@N00_80247117.jpg],5[notredame/niai_180201624.jpg],5[notredame/matthewblank_307229231.jpg],5[notredame/matthewblank_307226821.jpg],5[notredame/matthewblank_307225256.jpg],5[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3DYGAII7PL9T0PBWSV7YHIXY2GBPQ5,AE366CJX2U73M,Approved,"Thu Apr 28 02:01:35 PDT 2016","Thu Apr 28 02:03:16 PDT 2016",3[notredame/zemzina_317353158.jpg],3[notredame/cocoinzenl_2459130394.jpg],4[notredame/mpd01605_2264985541.jpg],4[notredame/de-ve_2608380355.jpg],3[notredame/joeshlabotnik_445302935.jpg],4[notredame/81596301@N00_248194737.jpg],5[notredame/wyzik_155691739.jpg],1[notredame/omaromar_11726904.jpg],4[notredame/teamaskins_81492980.jpg],5[notredame/robertpaulyoung_297192539.jpg],5[notredame/adactio_499686917.jpg],3[notredame/mvhargan_82931174.jpg],2[notredame/matthewblank_307229956.jpg],1[notredame/poeloq_985719293.jpg],3[notredame/cmatulewicz_76767322.jpg],3[notredame/timhill_1878530115.jpg],3[notredame/thraxil_169769154.jpg],1[notredame/matthewblank_307226100.jpg],2[notredame/poeloq_985725045.jpg],5[notredame/davidthibault_2446537187.jpg],3[notredame/matthewblank_307221053.jpg],3[notredame/robbies_2110569712.jpg],4[notredame/gavandanna_217564598.jpg],3[notredame/aoifecahill_379215472.jpg],2[notredame/18472724@N00_80247117.jpg],3[notredame/niai_180201624.jpg],2[notredame/matthewblank_307229231.jpg],1[notredame/matthewblank_307226821.jpg],2[notredame/matthewblank_307225256.jpg],3[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3B837J3LDOXQPI6OXR0SHDCELNZRS5,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 05:48:32 PDT 2016","Thu Apr 28 05:50:13 PDT 2016",4[notredame/zemzina_317353158.jpg],5[notredame/cocoinzenl_2459130394.jpg],5[notredame/mpd01605_2264985541.jpg],5[notredame/de-ve_2608380355.jpg],5[notredame/joeshlabotnik_445302935.jpg],5[notredame/81596301@N00_248194737.jpg],5[notredame/wyzik_155691739.jpg],5[notredame/omaromar_11726904.jpg],3[notredame/teamaskins_81492980.jpg],4[notredame/robertpaulyoung_297192539.jpg],4[notredame/adactio_499686917.jpg],4[notredame/mvhargan_82931174.jpg],2[notredame/matthewblank_307229956.jpg],1[notredame/poeloq_985719293.jpg],2[notredame/cmatulewicz_76767322.jpg],2[notredame/timhill_1878530115.jpg],3[notredame/thraxil_169769154.jpg],1[notredame/matthewblank_307226100.jpg],2[notredame/poeloq_985725045.jpg],2[notredame/davidthibault_2446537187.jpg],1[notredame/matthewblank_307221053.jpg],2[notredame/robbies_2110569712.jpg],2[notredame/gavandanna_217564598.jpg],2[notredame/aoifecahill_379215472.jpg],3[notredame/18472724@N00_80247117.jpg],3[notredame/niai_180201624.jpg],1[notredame/matthewblank_307229231.jpg],1[notredame/matthewblank_307226821.jpg],2[notredame/matthewblank_307225256.jpg],3[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3W2LOLRXLBGS1ZTGSIRQQRL44T7KR2,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:59:30 PDT 2016","Thu Apr 28 08:01:42 PDT 2016",4[notredame/zemzina_317353158.jpg],3[notredame/cocoinzenl_2459130394.jpg],5[notredame/mpd01605_2264985541.jpg],5[notredame/de-ve_2608380355.jpg],5[notredame/joeshlabotnik_445302935.jpg],5[notredame/81596301@N00_248194737.jpg],5[notredame/wyzik_155691739.jpg],3[notredame/omaromar_11726904.jpg],5[notredame/teamaskins_81492980.jpg],5[notredame/robertpaulyoung_297192539.jpg],3[notredame/adactio_499686917.jpg],5[notredame/mvhargan_82931174.jpg],2[notredame/matthewblank_307229956.jpg],5[notredame/poeloq_985719293.jpg],5[notredame/cmatulewicz_76767322.jpg],5[notredame/timhill_1878530115.jpg],5[notredame/thraxil_169769154.jpg],3[notredame/matthewblank_307226100.jpg],5[notredame/poeloq_985725045.jpg],5[notredame/davidthibault_2446537187.jpg],5[notredame/matthewblank_307221053.jpg],5[notredame/robbies_2110569712.jpg],5[notredame/gavandanna_217564598.jpg],5[notredame/aoifecahill_379215472.jpg],5[notredame/18472724@N00_80247117.jpg],5[notredame/niai_180201624.jpg],5[notredame/matthewblank_307229231.jpg],3[notredame/matthewblank_307226821.jpg],3[notredame/matthewblank_307225256.jpg],5[notredame/acme_225281450.jpg],
3H5TOKO3D9KBEU8ZP0WBKV9U0RX46R,"notredame_120-149","sample#command",3Q8GYXHFEP3LDEJU3YXPZ73074G5C7,A1BNCKLXXBJ9JM,Approved,"Thu Apr 28 14:31:24 PDT 2016","Thu Apr 28 14:33:31 PDT 2016",3[notredame/zemzina_317353158.jpg],2[notredame/cocoinzenl_2459130394.jpg],4[notredame/mpd01605_2264985541.jpg],5[notredame/de-ve_2608380355.jpg],1[notredame/joeshlabotnik_445302935.jpg],4[notredame/81596301@N00_248194737.jpg],4[notredame/wyzik_155691739.jpg],1[notredame/omaromar_11726904.jpg],4[notredame/teamaskins_81492980.jpg],1[notredame/robertpaulyoung_297192539.jpg],2[notredame/adactio_499686917.jpg],3[notredame/mvhargan_82931174.jpg],1[notredame/matthewblank_307229956.jpg],1[notredame/poeloq_985719293.jpg],2[notredame/cmatulewicz_76767322.jpg],3[notredame/timhill_1878530115.jpg],4[notredame/thraxil_169769154.jpg],1[notredame/matthewblank_307226100.jpg],1[notredame/poeloq_985725045.jpg],4[notredame/davidthibault_2446537187.jpg],4[notredame/matthewblank_307221053.jpg],1[notredame/robbies_2110569712.jpg],4[notredame/gavandanna_217564598.jpg],4[notredame/aoifecahill_379215472.jpg],4[notredame/18472724@N00_80247117.jpg],4[notredame/niai_180201624.jpg],1[notredame/matthewblank_307229231.jpg],1[notredame/matthewblank_307226821.jpg],1[notredame/matthewblank_307225256.jpg],1[notredame/acme_225281450.jpg],
