HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3ZGVPD4G6TI0695UW8ZVDLAZWKPTZC,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:02:49 PDT 2016","Wed Apr 27 02:04:56 PDT 2016",4[notredame/algreen_2106154790.jpg],4[notredame/85428086@N00_231123207.jpg],4[notredame/jfuentejr_225870212.jpg],4[notredame/ndrwfgg_2398437293.jpg],4[notredame/empty007_139240537.jpg],4[notredame/cayetano_2163167637.jpg],5[notredame/robertpaulyoung_297194236.jpg],4[notredame/jayniebell_2112884556.jpg],5[notredame/lucamascaro_2132575017.jpg],4[notredame/npetten_27115903.jpg],4[notredame/popilop_28045463.jpg],4[notredame/volantwish_2190950426.jpg],4[notredame/29198100@N00_2055593900.jpg],4[notredame/joey-o_158505136.jpg],4[notredame/haydn_173471291.jpg],5[notredame/shadowgate_240368134.jpg],5[notredame/timmccune_1356733690.jpg],5[notredame/balachandar_2401793456.jpg],4[notredame/alecea_2304877304.jpg],4[notredame/robertpaulyoung_297193194.jpg],4[notredame/stanw_643963501.jpg],4[notredame/fortes_182446414.jpg],3[notredame/haydn_173471165.jpg],3[notredame/jtriefen_370744178.jpg],4[notredame/timmccune_1355850529.jpg],4[notredame/maria_keays_2431513971.jpg],4[notredame/timmccune_1356737062.jpg],3[notredame/rs-foto_347030896.jpg],5[notredame/beija_1679674454.jpg],4[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3K3R2QNK8B400V26SFV65TU80V79U3,A1I7ACFIU8U11J,Approved,"Wed Apr 27 02:03:13 PDT 2016","Wed Apr 27 02:06:53 PDT 2016",2[notredame/algreen_2106154790.jpg],3[notredame/85428086@N00_231123207.jpg],1[notredame/jfuentejr_225870212.jpg],2[notredame/ndrwfgg_2398437293.jpg],3[notredame/empty007_139240537.jpg],4[notredame/cayetano_2163167637.jpg],1[notredame/robertpaulyoung_297194236.jpg],1[notredame/jayniebell_2112884556.jpg],1[notredame/lucamascaro_2132575017.jpg],2[notredame/npetten_27115903.jpg],1[notredame/popilop_28045463.jpg],4[notredame/volantwish_2190950426.jpg],4[notredame/29198100@N00_2055593900.jpg],5[notredame/joey-o_158505136.jpg],2[notredame/haydn_173471291.jpg],1[notredame/shadowgate_240368134.jpg],4[notredame/timmccune_1356733690.jpg],3[notredame/balachandar_2401793456.jpg],2[notredame/alecea_2304877304.jpg],4[notredame/robertpaulyoung_297193194.jpg],5[notredame/stanw_643963501.jpg],3[notredame/fortes_182446414.jpg],2[notredame/haydn_173471165.jpg],3[notredame/jtriefen_370744178.jpg],4[notredame/timmccune_1355850529.jpg],3[notredame/maria_keays_2431513971.jpg],4[notredame/timmccune_1356737062.jpg],4[notredame/rs-foto_347030896.jpg],5[notredame/beija_1679674454.jpg],4[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3ZPPDN2SLVXJBZ5K2FG11B85E7JE9X,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 04:09:48 PDT 2016","Wed Apr 27 04:11:04 PDT 2016",3[notredame/algreen_2106154790.jpg],3[notredame/85428086@N00_231123207.jpg],2[notredame/jfuentejr_225870212.jpg],3[notredame/ndrwfgg_2398437293.jpg],3[notredame/empty007_139240537.jpg],3[notredame/cayetano_2163167637.jpg],2[notredame/robertpaulyoung_297194236.jpg],1[notredame/jayniebell_2112884556.jpg],2[notredame/lucamascaro_2132575017.jpg],2[notredame/npetten_27115903.jpg],3[notredame/popilop_28045463.jpg],2[notredame/volantwish_2190950426.jpg],4[notredame/29198100@N00_2055593900.jpg],4[notredame/joey-o_158505136.jpg],4[notredame/haydn_173471291.jpg],4[notredame/shadowgate_240368134.jpg],4[notredame/timmccune_1356733690.jpg],2[notredame/balachandar_2401793456.jpg],4[notredame/alecea_2304877304.jpg],4[notredame/robertpaulyoung_297193194.jpg],4[notredame/stanw_643963501.jpg],3[notredame/fortes_182446414.jpg],3[notredame/haydn_173471165.jpg],4[notredame/jtriefen_370744178.jpg],4[notredame/timmccune_1355850529.jpg],4[notredame/maria_keays_2431513971.jpg],4[notredame/timmccune_1356737062.jpg],1[notredame/rs-foto_347030896.jpg],4[notredame/beija_1679674454.jpg],2[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3WYP994K17SUZLKD49PJO49J6IKY6P,A39J5RLVDTM6SM,Approved,"Wed Apr 27 05:34:14 PDT 2016","Wed Apr 27 05:38:03 PDT 2016",4[notredame/algreen_2106154790.jpg],2[notredame/85428086@N00_231123207.jpg],3[notredame/jfuentejr_225870212.jpg],2[notredame/ndrwfgg_2398437293.jpg],3[notredame/empty007_139240537.jpg],3[notredame/cayetano_2163167637.jpg],2[notredame/robertpaulyoung_297194236.jpg],1[notredame/jayniebell_2112884556.jpg],4[notredame/lucamascaro_2132575017.jpg],2[notredame/npetten_27115903.jpg],3[notredame/popilop_28045463.jpg],4[notredame/volantwish_2190950426.jpg],5[notredame/29198100@N00_2055593900.jpg],5[notredame/joey-o_158505136.jpg],5[notredame/haydn_173471291.jpg],5[notredame/shadowgate_240368134.jpg],5[notredame/timmccune_1356733690.jpg],5[notredame/balachandar_2401793456.jpg],5[notredame/alecea_2304877304.jpg],5[notredame/robertpaulyoung_297193194.jpg],5[notredame/stanw_643963501.jpg],5[notredame/fortes_182446414.jpg],5[notredame/haydn_173471165.jpg],5[notredame/jtriefen_370744178.jpg],1[notredame/timmccune_1355850529.jpg],5[notredame/maria_keays_2431513971.jpg],5[notredame/timmccune_1356737062.jpg],5[notredame/rs-foto_347030896.jpg],5[notredame/beija_1679674454.jpg],5[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3E1QT0TDFPAVDZOWT60EMUBMMUO8IR,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:00:26 PDT 2016","Wed Apr 27 08:24:42 PDT 2016",3[notredame/algreen_2106154790.jpg],4[notredame/85428086@N00_231123207.jpg],3[notredame/jfuentejr_225870212.jpg],4[notredame/ndrwfgg_2398437293.jpg],4[notredame/empty007_139240537.jpg],4[notredame/cayetano_2163167637.jpg],4[notredame/robertpaulyoung_297194236.jpg],4[notredame/jayniebell_2112884556.jpg],4[notredame/lucamascaro_2132575017.jpg],3[notredame/npetten_27115903.jpg],4[notredame/popilop_28045463.jpg],3[notredame/volantwish_2190950426.jpg],3[notredame/29198100@N00_2055593900.jpg],3[notredame/joey-o_158505136.jpg],4[notredame/haydn_173471291.jpg],3[notredame/shadowgate_240368134.jpg],3[notredame/timmccune_1356733690.jpg],3[notredame/balachandar_2401793456.jpg],3[notredame/alecea_2304877304.jpg],3[notredame/robertpaulyoung_297193194.jpg],3[notredame/stanw_643963501.jpg],5[notredame/fortes_182446414.jpg],3[notredame/haydn_173471165.jpg],3[notredame/jtriefen_370744178.jpg],3[notredame/timmccune_1355850529.jpg],3[notredame/maria_keays_2431513971.jpg],3[notredame/timmccune_1356737062.jpg],3[notredame/rs-foto_347030896.jpg],4[notredame/beija_1679674454.jpg],3[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3PW9OPU9PQL9REQ95I67K4HXJSS12W,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:41:06 PDT 2016","Wed Apr 27 09:42:31 PDT 2016",4[notredame/algreen_2106154790.jpg],5[notredame/85428086@N00_231123207.jpg],4[notredame/jfuentejr_225870212.jpg],4[notredame/ndrwfgg_2398437293.jpg],5[notredame/empty007_139240537.jpg],5[notredame/cayetano_2163167637.jpg],5[notredame/robertpaulyoung_297194236.jpg],4[notredame/jayniebell_2112884556.jpg],5[notredame/lucamascaro_2132575017.jpg],5[notredame/npetten_27115903.jpg],4[notredame/popilop_28045463.jpg],5[notredame/volantwish_2190950426.jpg],5[notredame/29198100@N00_2055593900.jpg],5[notredame/joey-o_158505136.jpg],4[notredame/haydn_173471291.jpg],4[notredame/shadowgate_240368134.jpg],5[notredame/timmccune_1356733690.jpg],5[notredame/balachandar_2401793456.jpg],5[notredame/alecea_2304877304.jpg],5[notredame/robertpaulyoung_297193194.jpg],5[notredame/stanw_643963501.jpg],5[notredame/fortes_182446414.jpg],4[notredame/haydn_173471165.jpg],5[notredame/jtriefen_370744178.jpg],5[notredame/timmccune_1355850529.jpg],5[notredame/maria_keays_2431513971.jpg],5[notredame/timmccune_1356737062.jpg],5[notredame/rs-foto_347030896.jpg],4[notredame/beija_1679674454.jpg],5[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3AUQQEL7U5UIHG3TX9MI84VYB090VY,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:12:20 PDT 2016","Wed Apr 27 23:13:34 PDT 2016",2[notredame/algreen_2106154790.jpg],2[notredame/85428086@N00_231123207.jpg],1[notredame/jfuentejr_225870212.jpg],2[notredame/ndrwfgg_2398437293.jpg],2[notredame/empty007_139240537.jpg],2[notredame/cayetano_2163167637.jpg],1[notredame/robertpaulyoung_297194236.jpg],1[notredame/jayniebell_2112884556.jpg],2[notredame/lucamascaro_2132575017.jpg],2[notredame/npetten_27115903.jpg],2[notredame/popilop_28045463.jpg],1[notredame/volantwish_2190950426.jpg],4[notredame/29198100@N00_2055593900.jpg],4[notredame/joey-o_158505136.jpg],2[notredame/haydn_173471291.jpg],2[notredame/shadowgate_240368134.jpg],3[notredame/timmccune_1356733690.jpg],3[notredame/balachandar_2401793456.jpg],4[notredame/alecea_2304877304.jpg],4[notredame/robertpaulyoung_297193194.jpg],4[notredame/stanw_643963501.jpg],3[notredame/fortes_182446414.jpg],2[notredame/haydn_173471165.jpg],3[notredame/jtriefen_370744178.jpg],3[notredame/timmccune_1355850529.jpg],2[notredame/maria_keays_2431513971.jpg],3[notredame/timmccune_1356737062.jpg],4[notredame/rs-foto_347030896.jpg],4[notredame/beija_1679674454.jpg],2[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",39ASUFLU6X89CVNI5VMFHEUNLCUEX4,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:05:45 PDT 2016","Thu Apr 28 01:06:23 PDT 2016",5[notredame/algreen_2106154790.jpg],5[notredame/85428086@N00_231123207.jpg],5[notredame/jfuentejr_225870212.jpg],5[notredame/ndrwfgg_2398437293.jpg],5[notredame/empty007_139240537.jpg],5[notredame/cayetano_2163167637.jpg],5[notredame/robertpaulyoung_297194236.jpg],5[notredame/jayniebell_2112884556.jpg],5[notredame/lucamascaro_2132575017.jpg],5[notredame/npetten_27115903.jpg],5[notredame/popilop_28045463.jpg],5[notredame/volantwish_2190950426.jpg],5[notredame/29198100@N00_2055593900.jpg],5[notredame/joey-o_158505136.jpg],5[notredame/haydn_173471291.jpg],5[notredame/shadowgate_240368134.jpg],5[notredame/timmccune_1356733690.jpg],5[notredame/balachandar_2401793456.jpg],5[notredame/alecea_2304877304.jpg],5[notredame/robertpaulyoung_297193194.jpg],5[notredame/stanw_643963501.jpg],5[notredame/fortes_182446414.jpg],5[notredame/haydn_173471165.jpg],5[notredame/jtriefen_370744178.jpg],5[notredame/timmccune_1355850529.jpg],5[notredame/maria_keays_2431513971.jpg],5[notredame/timmccune_1356737062.jpg],5[notredame/rs-foto_347030896.jpg],5[notredame/beija_1679674454.jpg],5[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3CFVK00FWLMAZMDELU0TUW7NX5Y6LR,A1NT7JR0M2L0OU,Approved,"Thu Apr 28 02:04:44 PDT 2016","Thu Apr 28 02:06:38 PDT 2016",3[notredame/algreen_2106154790.jpg],3[notredame/85428086@N00_231123207.jpg],1[notredame/jfuentejr_225870212.jpg],3[notredame/ndrwfgg_2398437293.jpg],2[notredame/empty007_139240537.jpg],3[notredame/cayetano_2163167637.jpg],2[notredame/robertpaulyoung_297194236.jpg],2[notredame/jayniebell_2112884556.jpg],1[notredame/lucamascaro_2132575017.jpg],2[notredame/npetten_27115903.jpg],2[notredame/popilop_28045463.jpg],3[notredame/volantwish_2190950426.jpg],4[notredame/29198100@N00_2055593900.jpg],4[notredame/joey-o_158505136.jpg],2[notredame/haydn_173471291.jpg],4[notredame/shadowgate_240368134.jpg],4[notredame/timmccune_1356733690.jpg],1[notredame/balachandar_2401793456.jpg],4[notredame/alecea_2304877304.jpg],4[notredame/robertpaulyoung_297193194.jpg],4[notredame/stanw_643963501.jpg],4[notredame/fortes_182446414.jpg],3[notredame/haydn_173471165.jpg],4[notredame/jtriefen_370744178.jpg],4[notredame/timmccune_1355850529.jpg],4[notredame/maria_keays_2431513971.jpg],2[notredame/timmccune_1356737062.jpg],2[notredame/rs-foto_347030896.jpg],3[notredame/beija_1679674454.jpg],2[notredame/sowersnet_43414320.jpg],
3KA7IJSNW6639ZBDJB57Y96H5O4BPA,"notredame_270-299","sample#command",3QFUFYSY9YGAK7Z4GV4G2LIP4I64FZ,AE366CJX2U73M,Approved,"Thu Apr 28 02:12:38 PDT 2016","Thu Apr 28 02:13:58 PDT 2016",3[notredame/algreen_2106154790.jpg],2[notredame/85428086@N00_231123207.jpg],1[notredame/jfuentejr_225870212.jpg],2[notredame/ndrwfgg_2398437293.jpg],2[notredame/empty007_139240537.jpg],2[notredame/cayetano_2163167637.jpg],2[notredame/robertpaulyoung_297194236.jpg],2[notredame/jayniebell_2112884556.jpg],3[notredame/lucamascaro_2132575017.jpg],1[notredame/npetten_27115903.jpg],2[notredame/popilop_28045463.jpg],3[notredame/volantwish_2190950426.jpg],1[notredame/29198100@N00_2055593900.jpg],3[notredame/joey-o_158505136.jpg],3[notredame/haydn_173471291.jpg],3[notredame/shadowgate_240368134.jpg],3[notredame/timmccune_1356733690.jpg],3[notredame/balachandar_2401793456.jpg],1[notredame/alecea_2304877304.jpg],4[notredame/robertpaulyoung_297193194.jpg],3[notredame/stanw_643963501.jpg],3[notredame/fortes_182446414.jpg],3[notredame/haydn_173471165.jpg],4[notredame/jtriefen_370744178.jpg],5[notredame/timmccune_1355850529.jpg],3[notredame/maria_keays_2431513971.jpg],3[notredame/timmccune_1356737062.jpg],2[notredame/rs-foto_347030896.jpg],3[notredame/beija_1679674454.jpg],3[notredame/sowersnet_43414320.jpg],
