HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3JWH6J9I9SE6TYXUTYXGI4X4GZHNBZ,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:21:30 PDT 2016","Wed Apr 27 02:23:16 PDT 2016",4[notredame/julioenriquez_464095752.jpg],4[notredame/watchsmart_2059075766.jpg],5[notredame/beggs_2603635497.jpg],5[notredame/cocola88_2577435482.jpg],5[notredame/beggs_2604735962.jpg],5[notredame/eugeniayjulian_21019444.jpg],5[notredame/eugeniayjulian_21019693.jpg],5[notredame/cmoi_179883332.jpg],4[notredame/vitomanzari_703665665.jpg],4[notredame/toddneville_63605995.jpg],4[notredame/chris-yunker_2516826799.jpg],4[notredame/dave_minogue_88653343.jpg],4[notredame/julioenriquez_464095886.jpg],4[notredame/jfuentejr_225870552.jpg],4[notredame/prozacblues_377995476.jpg],4[notredame/cayetano_2163151497.jpg],4[notredame/julioenriquez_464095996.jpg],4[notredame/malias_1215792909.jpg],4[notredame/ashley_r_2406409669.jpg],4[notredame/davorg_11091885.jpg],4[notredame/bitboy_2129963135.jpg],5[notredame/icyfrance_253330879.jpg],4[notredame/eugeniayjulian_21019349.jpg],4[notredame/matthewblank_307230759.jpg],4[notredame/eugeniayjulian_21019592.jpg],5[notredame/phooky_420607628.jpg],4[notredame/eugeniayjulian_21019807.jpg],4[notredame/fesek_817116796.jpg],4[notredame/davorg_11091886.jpg],5[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3R6P78PK7KC0FSAP6GB6SEUTLUWGTB,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:28:14 PDT 2016","Wed Apr 27 02:29:35 PDT 2016",2[notredame/julioenriquez_464095752.jpg],2[notredame/watchsmart_2059075766.jpg],2[notredame/beggs_2603635497.jpg],3[notredame/cocola88_2577435482.jpg],4[notredame/beggs_2604735962.jpg],4[notredame/eugeniayjulian_21019444.jpg],3[notredame/eugeniayjulian_21019693.jpg],4[notredame/cmoi_179883332.jpg],3[notredame/vitomanzari_703665665.jpg],2[notredame/toddneville_63605995.jpg],3[notredame/chris-yunker_2516826799.jpg],2[notredame/dave_minogue_88653343.jpg],2[notredame/julioenriquez_464095886.jpg],3[notredame/jfuentejr_225870552.jpg],3[notredame/prozacblues_377995476.jpg],3[notredame/cayetano_2163151497.jpg],3[notredame/julioenriquez_464095996.jpg],3[notredame/malias_1215792909.jpg],3[notredame/ashley_r_2406409669.jpg],2[notredame/davorg_11091885.jpg],3[notredame/bitboy_2129963135.jpg],1[notredame/icyfrance_253330879.jpg],3[notredame/eugeniayjulian_21019349.jpg],3[notredame/matthewblank_307230759.jpg],3[notredame/eugeniayjulian_21019592.jpg],3[notredame/phooky_420607628.jpg],4[notredame/eugeniayjulian_21019807.jpg],3[notredame/fesek_817116796.jpg],3[notredame/davorg_11091886.jpg],4[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3SBEHTYCWN4AS5FE6AY8L7ZOF9FIY3,A39J5RLVDTM6SM,Approved,"Wed Apr 27 05:38:44 PDT 2016","Wed Apr 27 05:42:52 PDT 2016",3[notredame/julioenriquez_464095752.jpg],1[notredame/watchsmart_2059075766.jpg],4[notredame/beggs_2603635497.jpg],5[notredame/cocola88_2577435482.jpg],5[notredame/beggs_2604735962.jpg],4[notredame/eugeniayjulian_21019444.jpg],5[notredame/eugeniayjulian_21019693.jpg],5[notredame/cmoi_179883332.jpg],5[notredame/vitomanzari_703665665.jpg],1[notredame/toddneville_63605995.jpg],5[notredame/chris-yunker_2516826799.jpg],1[notredame/dave_minogue_88653343.jpg],5[notredame/julioenriquez_464095886.jpg],5[notredame/jfuentejr_225870552.jpg],4[notredame/prozacblues_377995476.jpg],5[notredame/cayetano_2163151497.jpg],3[notredame/julioenriquez_464095996.jpg],2[notredame/malias_1215792909.jpg],4[notredame/ashley_r_2406409669.jpg],4[notredame/davorg_11091885.jpg],4[notredame/bitboy_2129963135.jpg],5[notredame/icyfrance_253330879.jpg],4[notredame/eugeniayjulian_21019349.jpg],4[notredame/matthewblank_307230759.jpg],5[notredame/eugeniayjulian_21019592.jpg],5[notredame/phooky_420607628.jpg],5[notredame/eugeniayjulian_21019807.jpg],5[notredame/fesek_817116796.jpg],3[notredame/davorg_11091886.jpg],5[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3UOUJI6MTDFQ1RK4VV1KLWGQ7YLXUX,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:29:26 PDT 2016","Wed Apr 27 08:32:47 PDT 2016",3[notredame/julioenriquez_464095752.jpg],4[notredame/watchsmart_2059075766.jpg],4[notredame/beggs_2603635497.jpg],4[notredame/cocola88_2577435482.jpg],4[notredame/beggs_2604735962.jpg],4[notredame/eugeniayjulian_21019444.jpg],4[notredame/eugeniayjulian_21019693.jpg],4[notredame/cmoi_179883332.jpg],4[notredame/vitomanzari_703665665.jpg],4[notredame/toddneville_63605995.jpg],4[notredame/chris-yunker_2516826799.jpg],4[notredame/dave_minogue_88653343.jpg],4[notredame/julioenriquez_464095886.jpg],4[notredame/jfuentejr_225870552.jpg],3[notredame/prozacblues_377995476.jpg],4[notredame/cayetano_2163151497.jpg],4[notredame/julioenriquez_464095996.jpg],4[notredame/malias_1215792909.jpg],4[notredame/ashley_r_2406409669.jpg],4[notredame/davorg_11091885.jpg],4[notredame/bitboy_2129963135.jpg],5[notredame/icyfrance_253330879.jpg],5[notredame/eugeniayjulian_21019349.jpg],3[notredame/matthewblank_307230759.jpg],5[notredame/eugeniayjulian_21019592.jpg],4[notredame/phooky_420607628.jpg],5[notredame/eugeniayjulian_21019807.jpg],5[notredame/fesek_817116796.jpg],5[notredame/davorg_11091886.jpg],5[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3QILPRALQ5WNR0ZNQMD6R2738TN8NC,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:15:45 PDT 2016","Wed Apr 27 09:17:00 PDT 2016",4[notredame/julioenriquez_464095752.jpg],4[notredame/watchsmart_2059075766.jpg],4[notredame/beggs_2603635497.jpg],4[notredame/cocola88_2577435482.jpg],4[notredame/beggs_2604735962.jpg],5[notredame/eugeniayjulian_21019444.jpg],5[notredame/eugeniayjulian_21019693.jpg],4[notredame/cmoi_179883332.jpg],4[notredame/vitomanzari_703665665.jpg],5[notredame/toddneville_63605995.jpg],4[notredame/chris-yunker_2516826799.jpg],4[notredame/dave_minogue_88653343.jpg],5[notredame/julioenriquez_464095886.jpg],4[notredame/jfuentejr_225870552.jpg],4[notredame/prozacblues_377995476.jpg],4[notredame/cayetano_2163151497.jpg],5[notredame/julioenriquez_464095996.jpg],5[notredame/malias_1215792909.jpg],4[notredame/ashley_r_2406409669.jpg],5[notredame/davorg_11091885.jpg],4[notredame/bitboy_2129963135.jpg],5[notredame/icyfrance_253330879.jpg],4[notredame/eugeniayjulian_21019349.jpg],5[notredame/matthewblank_307230759.jpg],5[notredame/eugeniayjulian_21019592.jpg],4[notredame/phooky_420607628.jpg],5[notredame/eugeniayjulian_21019807.jpg],4[notredame/fesek_817116796.jpg],5[notredame/davorg_11091886.jpg],5[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3OCHAWUVGOLCYVFS1HXIF97S59MXK3,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:00:26 PDT 2016","Wed Apr 27 23:01:51 PDT 2016",2[notredame/julioenriquez_464095752.jpg],1[notredame/watchsmart_2059075766.jpg],3[notredame/beggs_2603635497.jpg],3[notredame/cocola88_2577435482.jpg],4[notredame/beggs_2604735962.jpg],3[notredame/eugeniayjulian_21019444.jpg],4[notredame/eugeniayjulian_21019693.jpg],4[notredame/cmoi_179883332.jpg],4[notredame/vitomanzari_703665665.jpg],1[notredame/toddneville_63605995.jpg],1[notredame/chris-yunker_2516826799.jpg],2[notredame/dave_minogue_88653343.jpg],4[notredame/julioenriquez_464095886.jpg],4[notredame/jfuentejr_225870552.jpg],2[notredame/prozacblues_377995476.jpg],2[notredame/cayetano_2163151497.jpg],2[notredame/julioenriquez_464095996.jpg],3[notredame/malias_1215792909.jpg],2[notredame/ashley_r_2406409669.jpg],2[notredame/davorg_11091885.jpg],3[notredame/bitboy_2129963135.jpg],1[notredame/icyfrance_253330879.jpg],2[notredame/eugeniayjulian_21019349.jpg],2[notredame/matthewblank_307230759.jpg],1[notredame/eugeniayjulian_21019592.jpg],3[notredame/phooky_420607628.jpg],3[notredame/eugeniayjulian_21019807.jpg],3[notredame/fesek_817116796.jpg],2[notredame/davorg_11091886.jpg],3[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3FK0YFF9PZHYAH4906A7TXLO5WPVVO,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:10:04 PDT 2016","Thu Apr 28 01:10:45 PDT 2016",5[notredame/julioenriquez_464095752.jpg],5[notredame/watchsmart_2059075766.jpg],5[notredame/beggs_2603635497.jpg],5[notredame/cocola88_2577435482.jpg],5[notredame/beggs_2604735962.jpg],5[notredame/eugeniayjulian_21019444.jpg],5[notredame/eugeniayjulian_21019693.jpg],5[notredame/cmoi_179883332.jpg],5[notredame/vitomanzari_703665665.jpg],5[notredame/toddneville_63605995.jpg],5[notredame/chris-yunker_2516826799.jpg],5[notredame/dave_minogue_88653343.jpg],5[notredame/julioenriquez_464095886.jpg],5[notredame/jfuentejr_225870552.jpg],5[notredame/prozacblues_377995476.jpg],5[notredame/cayetano_2163151497.jpg],5[notredame/julioenriquez_464095996.jpg],5[notredame/malias_1215792909.jpg],5[notredame/ashley_r_2406409669.jpg],5[notredame/davorg_11091885.jpg],5[notredame/bitboy_2129963135.jpg],5[notredame/icyfrance_253330879.jpg],5[notredame/eugeniayjulian_21019349.jpg],5[notredame/matthewblank_307230759.jpg],5[notredame/eugeniayjulian_21019592.jpg],5[notredame/phooky_420607628.jpg],5[notredame/eugeniayjulian_21019807.jpg],5[notredame/fesek_817116796.jpg],5[notredame/davorg_11091886.jpg],5[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3PM8NZGV8YHY9YDNEMHFBVJ14FJXQ0,A29CNSQCIR71FG,Approved,"Thu Apr 28 01:39:18 PDT 2016","Thu Apr 28 01:40:43 PDT 2016",3[notredame/julioenriquez_464095752.jpg],1[notredame/watchsmart_2059075766.jpg],3[notredame/beggs_2603635497.jpg],2[notredame/cocola88_2577435482.jpg],4[notredame/beggs_2604735962.jpg],3[notredame/eugeniayjulian_21019444.jpg],2[notredame/eugeniayjulian_21019693.jpg],4[notredame/cmoi_179883332.jpg],3[notredame/vitomanzari_703665665.jpg],5[notredame/toddneville_63605995.jpg],4[notredame/chris-yunker_2516826799.jpg],4[notredame/dave_minogue_88653343.jpg],3[notredame/julioenriquez_464095886.jpg],5[notredame/jfuentejr_225870552.jpg],3[notredame/prozacblues_377995476.jpg],3[notredame/cayetano_2163151497.jpg],2[notredame/julioenriquez_464095996.jpg],2[notredame/malias_1215792909.jpg],4[notredame/ashley_r_2406409669.jpg],4[notredame/davorg_11091885.jpg],3[notredame/bitboy_2129963135.jpg],3[notredame/icyfrance_253330879.jpg],2[notredame/eugeniayjulian_21019349.jpg],4[notredame/matthewblank_307230759.jpg],3[notredame/eugeniayjulian_21019592.jpg],4[notredame/phooky_420607628.jpg],3[notredame/eugeniayjulian_21019807.jpg],3[notredame/fesek_817116796.jpg],2[notredame/davorg_11091886.jpg],3[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3NPI0JQDAO66S53O9Z1TMN8LMNAPTJ,AE366CJX2U73M,Approved,"Thu Apr 28 02:03:28 PDT 2016","Thu Apr 28 02:04:54 PDT 2016",2[notredame/julioenriquez_464095752.jpg],2[notredame/watchsmart_2059075766.jpg],1[notredame/beggs_2603635497.jpg],3[notredame/cocola88_2577435482.jpg],4[notredame/beggs_2604735962.jpg],4[notredame/eugeniayjulian_21019444.jpg],5[notredame/eugeniayjulian_21019693.jpg],3[notredame/cmoi_179883332.jpg],3[notredame/vitomanzari_703665665.jpg],2[notredame/toddneville_63605995.jpg],3[notredame/chris-yunker_2516826799.jpg],2[notredame/dave_minogue_88653343.jpg],4[notredame/julioenriquez_464095886.jpg],3[notredame/jfuentejr_225870552.jpg],3[notredame/prozacblues_377995476.jpg],3[notredame/cayetano_2163151497.jpg],4[notredame/julioenriquez_464095996.jpg],5[notredame/malias_1215792909.jpg],2[notredame/ashley_r_2406409669.jpg],3[notredame/davorg_11091885.jpg],4[notredame/bitboy_2129963135.jpg],1[notredame/icyfrance_253330879.jpg],3[notredame/eugeniayjulian_21019349.jpg],3[notredame/matthewblank_307230759.jpg],4[notredame/eugeniayjulian_21019592.jpg],4[notredame/phooky_420607628.jpg],3[notredame/eugeniayjulian_21019807.jpg],3[notredame/fesek_817116796.jpg],2[notredame/davorg_11091886.jpg],3[notredame/beggs_2604467668.jpg],
3L21G7IH47XW5FLM81815OMKNHH1YC,"notredame_420-449","sample#command",3RKNTXVS3MZFOGIW5FIOOK7Y7394A4,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 05:46:01 PDT 2016","Thu Apr 28 05:48:02 PDT 2016",5[notredame/julioenriquez_464095752.jpg],1[notredame/watchsmart_2059075766.jpg],2[notredame/beggs_2603635497.jpg],3[notredame/cocola88_2577435482.jpg],4[notredame/beggs_2604735962.jpg],2[notredame/eugeniayjulian_21019444.jpg],2[notredame/eugeniayjulian_21019693.jpg],1[notredame/cmoi_179883332.jpg],2[notredame/vitomanzari_703665665.jpg],1[notredame/toddneville_63605995.jpg],2[notredame/chris-yunker_2516826799.jpg],1[notredame/dave_minogue_88653343.jpg],5[notredame/julioenriquez_464095886.jpg],5[notredame/jfuentejr_225870552.jpg],4[notredame/prozacblues_377995476.jpg],3[notredame/cayetano_2163151497.jpg],2[notredame/julioenriquez_464095996.jpg],5[notredame/malias_1215792909.jpg],4[notredame/ashley_r_2406409669.jpg],1[notredame/davorg_11091885.jpg],3[notredame/bitboy_2129963135.jpg],3[notredame/icyfrance_253330879.jpg],3[notredame/eugeniayjulian_21019349.jpg],3[notredame/matthewblank_307230759.jpg],2[notredame/eugeniayjulian_21019592.jpg],4[notredame/phooky_420607628.jpg],3[notredame/eugeniayjulian_21019807.jpg],2[notredame/fesek_817116796.jpg],5[notredame/davorg_11091886.jpg],4[notredame/beggs_2604467668.jpg],
