HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3GGAI1SQEVZJLL40VXEBG9EMTU7MC5,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:07:17 PDT 2016","Wed Apr 27 02:09:03 PDT 2016",4[notredame/alex1961_2466367108.jpg],4[notredame/al_9_1355240900.jpg],4[notredame/ashley_r_2407242054.jpg],4[notredame/ashley_r_2407243098.jpg],4[notredame/beggs_2603656317.jpg],4[notredame/beggs_86766300.jpg],4[notredame/tukanuk_235982465.jpg],4[notredame/jedalani_2452517846.jpg],4[notredame/phooky_420608858.jpg],5[notredame/85428086@N00_231122028.jpg],5[notredame/mariacastanha_456655924.jpg],2[notredame/hthg1983_1795669326.jpg],4[notredame/phooky_420608288.jpg],3[notredame/allez_asnl_2087428562.jpg],4[notredame/hotels-paris-rive-gauche_313842413.jpg],4[notredame/fhsu_34786578.jpg],4[notredame/superchango_394480595.jpg],4[notredame/chelseagirlphotos_228042525.jpg],4[notredame/haydn_173472826.jpg],4[notredame/samfelder_228388030.jpg],4[notredame/clark_55429804.jpg],4[notredame/clark_55429853.jpg],4[notredame/_rom__112625391.jpg],5[notredame/fcrippa_926330038.jpg],5[notredame/kieranlynam_2050316300.jpg],5[notredame/cfuga_1435758036.jpg],5[notredame/hotels-paris-rive-gauche_272241909.jpg],5[notredame/hellolapomme_2301160831.jpg],4[notredame/hotels-paris-rive-gauche_272241860.jpg],5[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3TESA3PJ31BWU7GR8M8PJ5JYN8HMMT,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 04:13:15 PDT 2016","Wed Apr 27 04:14:31 PDT 2016",3[notredame/alex1961_2466367108.jpg],3[notredame/al_9_1355240900.jpg],4[notredame/ashley_r_2407242054.jpg],3[notredame/ashley_r_2407243098.jpg],4[notredame/beggs_2603656317.jpg],1[notredame/beggs_86766300.jpg],4[notredame/tukanuk_235982465.jpg],1[notredame/jedalani_2452517846.jpg],5[notredame/phooky_420608858.jpg],3[notredame/85428086@N00_231122028.jpg],2[notredame/mariacastanha_456655924.jpg],1[notredame/hthg1983_1795669326.jpg],2[notredame/phooky_420608288.jpg],1[notredame/allez_asnl_2087428562.jpg],3[notredame/hotels-paris-rive-gauche_313842413.jpg],3[notredame/fhsu_34786578.jpg],4[notredame/superchango_394480595.jpg],3[notredame/chelseagirlphotos_228042525.jpg],2[notredame/haydn_173472826.jpg],2[notredame/samfelder_228388030.jpg],1[notredame/clark_55429804.jpg],1[notredame/clark_55429853.jpg],2[notredame/_rom__112625391.jpg],3[notredame/fcrippa_926330038.jpg],2[notredame/kieranlynam_2050316300.jpg],3[notredame/cfuga_1435758036.jpg],3[notredame/hotels-paris-rive-gauche_272241909.jpg],3[notredame/hellolapomme_2301160831.jpg],3[notredame/hotels-paris-rive-gauche_272241860.jpg],3[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3B2X28YI3WGYMDR2UHBZGTBIL9EB6Z,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:00:43 PDT 2016","Wed Apr 27 08:26:07 PDT 2016",3[notredame/alex1961_2466367108.jpg],4[notredame/al_9_1355240900.jpg],3[notredame/ashley_r_2407242054.jpg],3[notredame/ashley_r_2407243098.jpg],3[notredame/beggs_2603656317.jpg],4[notredame/beggs_86766300.jpg],3[notredame/tukanuk_235982465.jpg],3[notredame/jedalani_2452517846.jpg],4[notredame/phooky_420608858.jpg],4[notredame/85428086@N00_231122028.jpg],4[notredame/mariacastanha_456655924.jpg],4[notredame/hthg1983_1795669326.jpg],4[notredame/phooky_420608288.jpg],3[notredame/allez_asnl_2087428562.jpg],4[notredame/hotels-paris-rive-gauche_313842413.jpg],4[notredame/fhsu_34786578.jpg],3[notredame/superchango_394480595.jpg],4[notredame/chelseagirlphotos_228042525.jpg],4[notredame/haydn_173472826.jpg],4[notredame/samfelder_228388030.jpg],3[notredame/clark_55429804.jpg],3[notredame/clark_55429853.jpg],4[notredame/_rom__112625391.jpg],3[notredame/fcrippa_926330038.jpg],4[notredame/kieranlynam_2050316300.jpg],3[notredame/cfuga_1435758036.jpg],4[notredame/hotels-paris-rive-gauche_272241909.jpg],3[notredame/hellolapomme_2301160831.jpg],4[notredame/hotels-paris-rive-gauche_272241860.jpg],4[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",32N49TQG3GJEIT1BPBJBXA7BKKRVAM,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:45:42 PDT 2016","Wed Apr 27 09:47:05 PDT 2016",4[notredame/alex1961_2466367108.jpg],5[notredame/al_9_1355240900.jpg],4[notredame/ashley_r_2407242054.jpg],3[notredame/ashley_r_2407243098.jpg],5[notredame/beggs_2603656317.jpg],4[notredame/beggs_86766300.jpg],5[notredame/tukanuk_235982465.jpg],4[notredame/jedalani_2452517846.jpg],5[notredame/phooky_420608858.jpg],5[notredame/85428086@N00_231122028.jpg],5[notredame/mariacastanha_456655924.jpg],3[notredame/hthg1983_1795669326.jpg],5[notredame/phooky_420608288.jpg],3[notredame/allez_asnl_2087428562.jpg],4[notredame/hotels-paris-rive-gauche_313842413.jpg],4[notredame/fhsu_34786578.jpg],5[notredame/superchango_394480595.jpg],4[notredame/chelseagirlphotos_228042525.jpg],4[notredame/haydn_173472826.jpg],4[notredame/samfelder_228388030.jpg],3[notredame/clark_55429804.jpg],4[notredame/clark_55429853.jpg],4[notredame/_rom__112625391.jpg],5[notredame/fcrippa_926330038.jpg],5[notredame/kieranlynam_2050316300.jpg],4[notredame/cfuga_1435758036.jpg],4[notredame/hotels-paris-rive-gauche_272241909.jpg],4[notredame/hellolapomme_2301160831.jpg],4[notredame/hotels-paris-rive-gauche_272241860.jpg],4[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3OVR4I9USPK7BWPDUBFAEKM3BJ14QD,A32AFV5GNN54WX,Approved,"Wed Apr 27 13:24:38 PDT 2016","Wed Apr 27 13:29:03 PDT 2016",4[notredame/alex1961_2466367108.jpg],5[notredame/al_9_1355240900.jpg],3[notredame/ashley_r_2407242054.jpg],4[notredame/ashley_r_2407243098.jpg],5[notredame/beggs_2603656317.jpg],1[notredame/beggs_86766300.jpg],4[notredame/tukanuk_235982465.jpg],1[notredame/jedalani_2452517846.jpg],4[notredame/phooky_420608858.jpg],4[notredame/85428086@N00_231122028.jpg],5[notredame/mariacastanha_456655924.jpg],1[notredame/hthg1983_1795669326.jpg],4[notredame/phooky_420608288.jpg],2[notredame/allez_asnl_2087428562.jpg],3[notredame/hotels-paris-rive-gauche_313842413.jpg],3[notredame/fhsu_34786578.jpg],2[notredame/superchango_394480595.jpg],1[notredame/chelseagirlphotos_228042525.jpg],2[notredame/haydn_173472826.jpg],1[notredame/samfelder_228388030.jpg],1[notredame/clark_55429804.jpg],1[notredame/clark_55429853.jpg],2[notredame/_rom__112625391.jpg],1[notredame/fcrippa_926330038.jpg],2[notredame/kieranlynam_2050316300.jpg],2[notredame/cfuga_1435758036.jpg],2[notredame/hotels-paris-rive-gauche_272241909.jpg],2[notredame/hellolapomme_2301160831.jpg],3[notredame/hotels-paris-rive-gauche_272241860.jpg],3[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3EQHHY4HQSTYUQZZ5KT8PYOF5TI5GL,A39J5RLVDTM6SM,Approved,"Wed Apr 27 19:01:33 PDT 2016","Wed Apr 27 19:05:19 PDT 2016",4[notredame/alex1961_2466367108.jpg],5[notredame/al_9_1355240900.jpg],4[notredame/ashley_r_2407242054.jpg],4[notredame/ashley_r_2407243098.jpg],4[notredame/beggs_2603656317.jpg],2[notredame/beggs_86766300.jpg],5[notredame/tukanuk_235982465.jpg],1[notredame/jedalani_2452517846.jpg],5[notredame/phooky_420608858.jpg],5[notredame/85428086@N00_231122028.jpg],5[notredame/mariacastanha_456655924.jpg],1[notredame/hthg1983_1795669326.jpg],5[notredame/phooky_420608288.jpg],1[notredame/allez_asnl_2087428562.jpg],3[notredame/hotels-paris-rive-gauche_313842413.jpg],3[notredame/fhsu_34786578.jpg],4[notredame/superchango_394480595.jpg],2[notredame/chelseagirlphotos_228042525.jpg],4[notredame/haydn_173472826.jpg],2[notredame/samfelder_228388030.jpg],2[notredame/clark_55429804.jpg],2[notredame/clark_55429853.jpg],3[notredame/_rom__112625391.jpg],1[notredame/fcrippa_926330038.jpg],4[notredame/kieranlynam_2050316300.jpg],4[notredame/cfuga_1435758036.jpg],2[notredame/hotels-paris-rive-gauche_272241909.jpg],2[notredame/hellolapomme_2301160831.jpg],2[notredame/hotels-paris-rive-gauche_272241860.jpg],3[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3B3WTRP3DB3RGJT49VL0ZAZGH6A294,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 22:57:08 PDT 2016","Wed Apr 27 22:58:31 PDT 2016",4[notredame/alex1961_2466367108.jpg],3[notredame/al_9_1355240900.jpg],4[notredame/ashley_r_2407242054.jpg],3[notredame/ashley_r_2407243098.jpg],4[notredame/beggs_2603656317.jpg],1[notredame/beggs_86766300.jpg],4[notredame/tukanuk_235982465.jpg],3[notredame/jedalani_2452517846.jpg],2[notredame/phooky_420608858.jpg],2[notredame/85428086@N00_231122028.jpg],2[notredame/mariacastanha_456655924.jpg],1[notredame/hthg1983_1795669326.jpg],2[notredame/phooky_420608288.jpg],1[notredame/allez_asnl_2087428562.jpg],1[notredame/hotels-paris-rive-gauche_313842413.jpg],1[notredame/fhsu_34786578.jpg],2[notredame/superchango_394480595.jpg],2[notredame/chelseagirlphotos_228042525.jpg],3[notredame/haydn_173472826.jpg],2[notredame/samfelder_228388030.jpg],2[notredame/clark_55429804.jpg],1[notredame/clark_55429853.jpg],3[notredame/_rom__112625391.jpg],1[notredame/fcrippa_926330038.jpg],1[notredame/kieranlynam_2050316300.jpg],1[notredame/cfuga_1435758036.jpg],3[notredame/hotels-paris-rive-gauche_272241909.jpg],3[notredame/hellolapomme_2301160831.jpg],3[notredame/hotels-paris-rive-gauche_272241860.jpg],1[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3X66WABAJWJVGBCVR15FA1QVRX93GB,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:05:00 PDT 2016","Thu Apr 28 01:05:22 PDT 2016",5[notredame/alex1961_2466367108.jpg],5[notredame/al_9_1355240900.jpg],5[notredame/ashley_r_2407242054.jpg],5[notredame/ashley_r_2407243098.jpg],5[notredame/beggs_2603656317.jpg],5[notredame/beggs_86766300.jpg],5[notredame/tukanuk_235982465.jpg],5[notredame/jedalani_2452517846.jpg],5[notredame/phooky_420608858.jpg],5[notredame/85428086@N00_231122028.jpg],5[notredame/mariacastanha_456655924.jpg],5[notredame/hthg1983_1795669326.jpg],5[notredame/phooky_420608288.jpg],5[notredame/allez_asnl_2087428562.jpg],5[notredame/hotels-paris-rive-gauche_313842413.jpg],5[notredame/fhsu_34786578.jpg],5[notredame/superchango_394480595.jpg],5[notredame/chelseagirlphotos_228042525.jpg],5[notredame/haydn_173472826.jpg],5[notredame/samfelder_228388030.jpg],5[notredame/clark_55429804.jpg],5[notredame/clark_55429853.jpg],5[notredame/_rom__112625391.jpg],5[notredame/fcrippa_926330038.jpg],5[notredame/kieranlynam_2050316300.jpg],5[notredame/cfuga_1435758036.jpg],5[notredame/hotels-paris-rive-gauche_272241909.jpg],5[notredame/hellolapomme_2301160831.jpg],5[notredame/hotels-paris-rive-gauche_272241860.jpg],5[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",34QN5IT0TZSK647GPGB8GQBQ02D08Y,AURJ9FG8MA0WY,Approved,"Thu Apr 28 01:40:01 PDT 2016","Thu Apr 28 01:42:44 PDT 2016",1[notredame/alex1961_2466367108.jpg],5[notredame/al_9_1355240900.jpg],3[notredame/ashley_r_2407242054.jpg],2[notredame/ashley_r_2407243098.jpg],5[notredame/beggs_2603656317.jpg],1[notredame/beggs_86766300.jpg],5[notredame/tukanuk_235982465.jpg],1[notredame/jedalani_2452517846.jpg],4[notredame/phooky_420608858.jpg],3[notredame/85428086@N00_231122028.jpg],1[notredame/mariacastanha_456655924.jpg],1[notredame/hthg1983_1795669326.jpg],2[notredame/phooky_420608288.jpg],1[notredame/allez_asnl_2087428562.jpg],2[notredame/hotels-paris-rive-gauche_313842413.jpg],2[notredame/fhsu_34786578.jpg],2[notredame/superchango_394480595.jpg],2[notredame/chelseagirlphotos_228042525.jpg],1[notredame/haydn_173472826.jpg],1[notredame/samfelder_228388030.jpg],1[notredame/clark_55429804.jpg],2[notredame/clark_55429853.jpg],1[notredame/_rom__112625391.jpg],1[notredame/fcrippa_926330038.jpg],1[notredame/kieranlynam_2050316300.jpg],3[notredame/cfuga_1435758036.jpg],3[notredame/hotels-paris-rive-gauche_272241909.jpg],3[notredame/hellolapomme_2301160831.jpg],2[notredame/hotels-paris-rive-gauche_272241860.jpg],4[notredame/10190279@N06_1027171096.jpg],
3LG268AV387MSF3C6UBM4CCH935ER5,"notredame_450-479","sample#command",3ZR9AIQJUBAJN3KEDDLVZEVLYGI04S,A1NT7JR0M2L0OU,Approved,"Thu Apr 28 02:07:04 PDT 2016","Thu Apr 28 02:08:43 PDT 2016",1[notredame/alex1961_2466367108.jpg],3[notredame/al_9_1355240900.jpg],3[notredame/ashley_r_2407242054.jpg],2[notredame/ashley_r_2407243098.jpg],3[notredame/beggs_2603656317.jpg],1[notredame/beggs_86766300.jpg],4[notredame/tukanuk_235982465.jpg],1[notredame/jedalani_2452517846.jpg],3[notredame/phooky_420608858.jpg],1[notredame/85428086@N00_231122028.jpg],1[notredame/mariacastanha_456655924.jpg],1[notredame/hthg1983_1795669326.jpg],1[notredame/phooky_420608288.jpg],1[notredame/allez_asnl_2087428562.jpg],2[notredame/hotels-paris-rive-gauche_313842413.jpg],2[notredame/fhsu_34786578.jpg],2[notredame/superchango_394480595.jpg],2[notredame/chelseagirlphotos_228042525.jpg],1[notredame/haydn_173472826.jpg],1[notredame/samfelder_228388030.jpg],1[notredame/clark_55429804.jpg],1[notredame/clark_55429853.jpg],1[notredame/_rom__112625391.jpg],1[notredame/fcrippa_926330038.jpg],1[notredame/kieranlynam_2050316300.jpg],2[notredame/cfuga_1435758036.jpg],2[notredame/hotels-paris-rive-gauche_272241909.jpg],3[notredame/hellolapomme_2301160831.jpg],2[notredame/hotels-paris-rive-gauche_272241860.jpg],3[notredame/10190279@N06_1027171096.jpg],
