HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",39GXDJN2OTF0Z58WSDZX1J1GUWXV8O,A1XC5OV00MECKQ,Approved,"Wed Apr 27 01:48:50 PDT 2016","Wed Apr 27 01:51:39 PDT 2016",5[notredame/misbehave_141833517.jpg],4[notredame/kamikazestoat_927737022.jpg],4[notredame/maza34_2366798424.jpg],3[notredame/minnaert_2443650772.jpg],3[notredame/gadl_330355973.jpg],3[notredame/coymelancon_1186255251.jpg],3[notredame/mpd01605_2535294130.jpg],3[notredame/13012027@N04_2074221384.jpg],4[notredame/97964364@N00_335401397.jpg],4[notredame/achtundsiebzig_196444302.jpg],4[notredame/clark_55429385.jpg],4[notredame/mathieubouchard_309902773.jpg],4[notredame/dottieday_508652908.jpg],3[notredame/pierrotcarre_1471076063.jpg],4[notredame/kplawver_507824017.jpg],4[notredame/volantwish_2190913734.jpg],4[notredame/buggolo_353270701.jpg],4[notredame/celesteh_102619569.jpg],4[notredame/moxieg_2168855515.jpg],4[notredame/cfuga_1434887093.jpg],4[notredame/rbitting_953689375.jpg],4[notredame/baguette_2515927129.jpg],4[notredame/darinka_177152629.jpg],4[notredame/coymelancon_1186256931.jpg],4[notredame/codyr_660343347.jpg],5[notredame/askolizzato71_847589061.jpg],5[notredame/redking_416945940.jpg],4[notredame/cfuga_1435600536.jpg],4[notredame/10699036@N08_2183236021.jpg],4[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",3ZR9AIQJUBAJN3KEDDLVZEVLYEQ400,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:32:50 PDT 2016","Wed Apr 27 02:34:04 PDT 2016",2[notredame/misbehave_141833517.jpg],3[notredame/kamikazestoat_927737022.jpg],3[notredame/maza34_2366798424.jpg],4[notredame/minnaert_2443650772.jpg],4[notredame/gadl_330355973.jpg],3[notredame/coymelancon_1186255251.jpg],4[notredame/mpd01605_2535294130.jpg],3[notredame/13012027@N04_2074221384.jpg],2[notredame/97964364@N00_335401397.jpg],3[notredame/achtundsiebzig_196444302.jpg],2[notredame/clark_55429385.jpg],3[notredame/mathieubouchard_309902773.jpg],3[notredame/dottieday_508652908.jpg],3[notredame/pierrotcarre_1471076063.jpg],4[notredame/kplawver_507824017.jpg],4[notredame/volantwish_2190913734.jpg],3[notredame/buggolo_353270701.jpg],3[notredame/celesteh_102619569.jpg],2[notredame/moxieg_2168855515.jpg],3[notredame/cfuga_1434887093.jpg],3[notredame/rbitting_953689375.jpg],2[notredame/baguette_2515927129.jpg],4[notredame/darinka_177152629.jpg],4[notredame/coymelancon_1186256931.jpg],3[notredame/codyr_660343347.jpg],3[notredame/askolizzato71_847589061.jpg],4[notredame/redking_416945940.jpg],3[notredame/cfuga_1435600536.jpg],3[notredame/10699036@N08_2183236021.jpg],1[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",33TIN5LC04BHH4MB2GSV8E0LWJ7Y9F,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:04:46 PDT 2016","Wed Apr 27 09:06:18 PDT 2016",5[notredame/misbehave_141833517.jpg],4[notredame/kamikazestoat_927737022.jpg],5[notredame/maza34_2366798424.jpg],4[notredame/minnaert_2443650772.jpg],5[notredame/gadl_330355973.jpg],5[notredame/coymelancon_1186255251.jpg],4[notredame/mpd01605_2535294130.jpg],5[notredame/13012027@N04_2074221384.jpg],5[notredame/97964364@N00_335401397.jpg],4[notredame/achtundsiebzig_196444302.jpg],4[notredame/clark_55429385.jpg],4[notredame/mathieubouchard_309902773.jpg],3[notredame/dottieday_508652908.jpg],4[notredame/pierrotcarre_1471076063.jpg],4[notredame/kplawver_507824017.jpg],4[notredame/volantwish_2190913734.jpg],4[notredame/buggolo_353270701.jpg],4[notredame/celesteh_102619569.jpg],4[notredame/moxieg_2168855515.jpg],5[notredame/cfuga_1434887093.jpg],5[notredame/rbitting_953689375.jpg],4[notredame/baguette_2515927129.jpg],4[notredame/darinka_177152629.jpg],5[notredame/coymelancon_1186256931.jpg],5[notredame/codyr_660343347.jpg],5[notredame/askolizzato71_847589061.jpg],5[notredame/redking_416945940.jpg],4[notredame/cfuga_1435600536.jpg],4[notredame/10699036@N08_2183236021.jpg],4[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",3PWWM24LHSZR2EAU43FMZE45X0T28G,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:19:43 PDT 2016","Wed Apr 27 23:21:01 PDT 2016",2[notredame/misbehave_141833517.jpg],3[notredame/kamikazestoat_927737022.jpg],1[notredame/maza34_2366798424.jpg],3[notredame/minnaert_2443650772.jpg],4[notredame/gadl_330355973.jpg],3[notredame/coymelancon_1186255251.jpg],4[notredame/mpd01605_2535294130.jpg],2[notredame/13012027@N04_2074221384.jpg],2[notredame/97964364@N00_335401397.jpg],4[notredame/achtundsiebzig_196444302.jpg],2[notredame/clark_55429385.jpg],4[notredame/mathieubouchard_309902773.jpg],1[notredame/dottieday_508652908.jpg],1[notredame/pierrotcarre_1471076063.jpg],1[notredame/kplawver_507824017.jpg],3[notredame/volantwish_2190913734.jpg],3[notredame/buggolo_353270701.jpg],2[notredame/celesteh_102619569.jpg],1[notredame/moxieg_2168855515.jpg],2[notredame/cfuga_1434887093.jpg],1[notredame/rbitting_953689375.jpg],1[notredame/baguette_2515927129.jpg],4[notredame/darinka_177152629.jpg],1[notredame/coymelancon_1186256931.jpg],2[notredame/codyr_660343347.jpg],1[notredame/askolizzato71_847589061.jpg],2[notredame/redking_416945940.jpg],1[notredame/cfuga_1435600536.jpg],1[notredame/10699036@N08_2183236021.jpg],1[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",3G5F9DBFOPYTSG9PVHT3EWUFXHEHVK,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:02:23 PDT 2016","Thu Apr 28 01:03:47 PDT 2016",5[notredame/misbehave_141833517.jpg],5[notredame/kamikazestoat_927737022.jpg],5[notredame/maza34_2366798424.jpg],5[notredame/minnaert_2443650772.jpg],5[notredame/gadl_330355973.jpg],5[notredame/coymelancon_1186255251.jpg],5[notredame/mpd01605_2535294130.jpg],5[notredame/13012027@N04_2074221384.jpg],5[notredame/97964364@N00_335401397.jpg],5[notredame/achtundsiebzig_196444302.jpg],5[notredame/clark_55429385.jpg],5[notredame/mathieubouchard_309902773.jpg],5[notredame/dottieday_508652908.jpg],5[notredame/pierrotcarre_1471076063.jpg],5[notredame/kplawver_507824017.jpg],5[notredame/volantwish_2190913734.jpg],5[notredame/buggolo_353270701.jpg],5[notredame/celesteh_102619569.jpg],5[notredame/moxieg_2168855515.jpg],5[notredame/cfuga_1434887093.jpg],5[notredame/rbitting_953689375.jpg],5[notredame/baguette_2515927129.jpg],5[notredame/darinka_177152629.jpg],5[notredame/coymelancon_1186256931.jpg],5[notredame/codyr_660343347.jpg],5[notredame/askolizzato71_847589061.jpg],5[notredame/redking_416945940.jpg],5[notredame/cfuga_1435600536.jpg],5[notredame/10699036@N08_2183236021.jpg],5[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",3CFJTT4SXTRRDLJDJ1888UFRBDM7ID,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:46:37 PDT 2016","Thu Apr 28 07:48:44 PDT 2016",4[notredame/misbehave_141833517.jpg],5[notredame/kamikazestoat_927737022.jpg],5[notredame/maza34_2366798424.jpg],5[notredame/minnaert_2443650772.jpg],5[notredame/gadl_330355973.jpg],5[notredame/coymelancon_1186255251.jpg],5[notredame/mpd01605_2535294130.jpg],5[notredame/13012027@N04_2074221384.jpg],5[notredame/97964364@N00_335401397.jpg],3[notredame/achtundsiebzig_196444302.jpg],5[notredame/clark_55429385.jpg],5[notredame/mathieubouchard_309902773.jpg],5[notredame/dottieday_508652908.jpg],5[notredame/pierrotcarre_1471076063.jpg],5[notredame/kplawver_507824017.jpg],5[notredame/volantwish_2190913734.jpg],5[notredame/buggolo_353270701.jpg],5[notredame/celesteh_102619569.jpg],5[notredame/moxieg_2168855515.jpg],4[notredame/cfuga_1434887093.jpg],3[notredame/rbitting_953689375.jpg],3[notredame/baguette_2515927129.jpg],4[notredame/darinka_177152629.jpg],5[notredame/coymelancon_1186256931.jpg],5[notredame/codyr_660343347.jpg],5[notredame/askolizzato71_847589061.jpg],5[notredame/redking_416945940.jpg],5[notredame/cfuga_1435600536.jpg],5[notredame/10699036@N08_2183236021.jpg],3[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",33OOO72IVHMNYGUK4UFN2N9EN8CCTH,AE366CJX2U73M,Approved,"Thu Apr 28 20:31:44 PDT 2016","Thu Apr 28 20:33:00 PDT 2016",4[notredame/misbehave_141833517.jpg],3[notredame/kamikazestoat_927737022.jpg],3[notredame/maza34_2366798424.jpg],3[notredame/minnaert_2443650772.jpg],4[notredame/gadl_330355973.jpg],2[notredame/coymelancon_1186255251.jpg],4[notredame/mpd01605_2535294130.jpg],4[notredame/13012027@N04_2074221384.jpg],3[notredame/97964364@N00_335401397.jpg],3[notredame/achtundsiebzig_196444302.jpg],2[notredame/clark_55429385.jpg],3[notredame/mathieubouchard_309902773.jpg],2[notredame/dottieday_508652908.jpg],3[notredame/pierrotcarre_1471076063.jpg],4[notredame/kplawver_507824017.jpg],2[notredame/volantwish_2190913734.jpg],1[notredame/buggolo_353270701.jpg],1[notredame/celesteh_102619569.jpg],2[notredame/moxieg_2168855515.jpg],2[notredame/cfuga_1434887093.jpg],2[notredame/rbitting_953689375.jpg],1[notredame/baguette_2515927129.jpg],1[notredame/darinka_177152629.jpg],2[notredame/coymelancon_1186256931.jpg],2[notredame/codyr_660343347.jpg],3[notredame/askolizzato71_847589061.jpg],2[notredame/redking_416945940.jpg],1[notredame/cfuga_1435600536.jpg],5[notredame/10699036@N08_2183236021.jpg],3[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",37ZHEEHM6WNCNI1UYY1L4OD2SYE374,A311K9QN25TUA,Approved,"Thu Apr 28 21:25:22 PDT 2016","Thu Apr 28 21:28:20 PDT 2016",2[notredame/misbehave_141833517.jpg],3[notredame/kamikazestoat_927737022.jpg],3[notredame/maza34_2366798424.jpg],4[notredame/minnaert_2443650772.jpg],5[notredame/gadl_330355973.jpg],2[notredame/coymelancon_1186255251.jpg],5[notredame/mpd01605_2535294130.jpg],2[notredame/13012027@N04_2074221384.jpg],3[notredame/97964364@N00_335401397.jpg],4[notredame/achtundsiebzig_196444302.jpg],3[notredame/clark_55429385.jpg],4[notredame/mathieubouchard_309902773.jpg],3[notredame/dottieday_508652908.jpg],4[notredame/pierrotcarre_1471076063.jpg],5[notredame/kplawver_507824017.jpg],3[notredame/volantwish_2190913734.jpg],1[notredame/buggolo_353270701.jpg],3[notredame/celesteh_102619569.jpg],1[notredame/moxieg_2168855515.jpg],4[notredame/cfuga_1434887093.jpg],5[notredame/rbitting_953689375.jpg],1[notredame/baguette_2515927129.jpg],4[notredame/darinka_177152629.jpg],3[notredame/coymelancon_1186256931.jpg],4[notredame/codyr_660343347.jpg],4[notredame/askolizzato71_847589061.jpg],3[notredame/redking_416945940.jpg],1[notredame/cfuga_1435600536.jpg],3[notredame/10699036@N08_2183236021.jpg],3[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",3W8CV64QJ20VV9WMSGO7ME5I6TU9H3,A2ZYRCME6X6P4K,Approved,"Thu Apr 28 23:19:39 PDT 2016","Thu Apr 28 23:21:01 PDT 2016",4[notredame/misbehave_141833517.jpg],1[notredame/kamikazestoat_927737022.jpg],2[notredame/maza34_2366798424.jpg],2[notredame/minnaert_2443650772.jpg],1[notredame/gadl_330355973.jpg],1[notredame/coymelancon_1186255251.jpg],3[notredame/mpd01605_2535294130.jpg],2[notredame/13012027@N04_2074221384.jpg],3[notredame/97964364@N00_335401397.jpg],1[notredame/achtundsiebzig_196444302.jpg],1[notredame/clark_55429385.jpg],3[notredame/mathieubouchard_309902773.jpg],1[notredame/dottieday_508652908.jpg],1[notredame/pierrotcarre_1471076063.jpg],1[notredame/kplawver_507824017.jpg],1[notredame/volantwish_2190913734.jpg],1[notredame/buggolo_353270701.jpg],1[notredame/celesteh_102619569.jpg],1[notredame/moxieg_2168855515.jpg],1[notredame/cfuga_1434887093.jpg],1[notredame/rbitting_953689375.jpg],1[notredame/baguette_2515927129.jpg],1[notredame/darinka_177152629.jpg],1[notredame/coymelancon_1186256931.jpg],1[notredame/codyr_660343347.jpg],1[notredame/askolizzato71_847589061.jpg],1[notredame/redking_416945940.jpg],1[notredame/cfuga_1435600536.jpg],1[notredame/10699036@N08_2183236021.jpg],1[notredame/hotels-paris-rive-gauche_313842751.jpg],
3MXX6RQ9EV6JO0Q44WVKQV0BVWNP4I,"notredame_210-239","sample#command",3SNVL38CI4TOVX4XAL1V1WMI4V1CKR,A7JIY8AH7GTEF,Approved,"Thu Apr 28 23:22:39 PDT 2016","Thu Apr 28 23:23:40 PDT 2016",4[notredame/misbehave_141833517.jpg],4[notredame/kamikazestoat_927737022.jpg],4[notredame/maza34_2366798424.jpg],4[notredame/minnaert_2443650772.jpg],4[notredame/gadl_330355973.jpg],4[notredame/coymelancon_1186255251.jpg],4[notredame/mpd01605_2535294130.jpg],3[notredame/13012027@N04_2074221384.jpg],3[notredame/97964364@N00_335401397.jpg],4[notredame/achtundsiebzig_196444302.jpg],4[notredame/clark_55429385.jpg],4[notredame/mathieubouchard_309902773.jpg],3[notredame/dottieday_508652908.jpg],4[notredame/pierrotcarre_1471076063.jpg],4[notredame/kplawver_507824017.jpg],3[notredame/volantwish_2190913734.jpg],1[notredame/buggolo_353270701.jpg],3[notredame/celesteh_102619569.jpg],1[notredame/moxieg_2168855515.jpg],3[notredame/cfuga_1434887093.jpg],4[notredame/rbitting_953689375.jpg],3[notredame/baguette_2515927129.jpg],1[notredame/darinka_177152629.jpg],4[notredame/coymelancon_1186256931.jpg],4[notredame/codyr_660343347.jpg],4[notredame/askolizzato71_847589061.jpg],4[notredame/redking_416945940.jpg],4[notredame/cfuga_1435600536.jpg],4[notredame/10699036@N08_2183236021.jpg],3[notredame/hotels-paris-rive-gauche_313842751.jpg],
