HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",317HQ483I7TGG6B0Z8PX4R1HBP0IN2,A1XC5OV00MECKQ,Approved,"Wed Apr 27 01:54:48 PDT 2016","Wed Apr 27 01:56:54 PDT 2016",3[notredame/beggs_88420002.jpg],4[notredame/vic15_1651507332.jpg],4[notredame/noniq_214143525.jpg],4[notredame/thierryleclercq_2281931159.jpg],2[notredame/davebowman_407843450.jpg],4[notredame/gromgull_405709973.jpg],4[notredame/shereen84_2312768811.jpg],4[notredame/cocoinzenl_2458339807.jpg],4[notredame/arkangel_213607446.jpg],4[notredame/benjroberts_304916048.jpg],4[notredame/jessicamullen_402321359.jpg],4[notredame/roblisameehan_339481567.jpg],4[notredame/edwin11_313657632.jpg],5[notredame/mpd01605_2535293050.jpg],5[notredame/nikkole_200429059.jpg],4[notredame/mpd01605_2236982979.jpg],4[notredame/goldberg_50143838.jpg],4[notredame/benleto_428261909.jpg],4[notredame/clark_55429420.jpg],4[notredame/coymelancon_1186253965.jpg],4[notredame/minnaert_2442824829.jpg],4[notredame/jmanners_220995776.jpg],4[notredame/s2art_22800304.jpg],5[notredame/fhsu_34786504.jpg],5[notredame/jpvargas_1413183882.jpg],4[notredame/willpalmer_147766491.jpg],5[notredame/gcourbis_375030417.jpg],4[notredame/noniq_211997949.jpg],4[notredame/puroticorico_173583139.jpg],3[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",34J10VATJFZ1J3OSF0HE8LWMG0SIQU,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 04:01:16 PDT 2016","Wed Apr 27 04:02:38 PDT 2016",5[notredame/beggs_88420002.jpg],4[notredame/vic15_1651507332.jpg],2[notredame/noniq_214143525.jpg],2[notredame/thierryleclercq_2281931159.jpg],3[notredame/davebowman_407843450.jpg],1[notredame/gromgull_405709973.jpg],4[notredame/shereen84_2312768811.jpg],4[notredame/cocoinzenl_2458339807.jpg],1[notredame/arkangel_213607446.jpg],2[notredame/benjroberts_304916048.jpg],5[notredame/jessicamullen_402321359.jpg],3[notredame/roblisameehan_339481567.jpg],1[notredame/edwin11_313657632.jpg],3[notredame/mpd01605_2535293050.jpg],2[notredame/nikkole_200429059.jpg],3[notredame/mpd01605_2236982979.jpg],3[notredame/goldberg_50143838.jpg],4[notredame/benleto_428261909.jpg],4[notredame/clark_55429420.jpg],4[notredame/coymelancon_1186253965.jpg],4[notredame/minnaert_2442824829.jpg],4[notredame/jmanners_220995776.jpg],2[notredame/s2art_22800304.jpg],2[notredame/fhsu_34786504.jpg],1[notredame/jpvargas_1413183882.jpg],2[notredame/willpalmer_147766491.jpg],2[notredame/gcourbis_375030417.jpg],4[notredame/noniq_211997949.jpg],1[notredame/puroticorico_173583139.jpg],3[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",3OHYZ19UGC6JS9SEOZXX2ID3ORNOA6,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:00:11 PDT 2016","Wed Apr 27 08:22:21 PDT 2016",3[notredame/beggs_88420002.jpg],3[notredame/vic15_1651507332.jpg],4[notredame/noniq_214143525.jpg],4[notredame/thierryleclercq_2281931159.jpg],3[notredame/davebowman_407843450.jpg],4[notredame/gromgull_405709973.jpg],5[notredame/shereen84_2312768811.jpg],4[notredame/cocoinzenl_2458339807.jpg],4[notredame/arkangel_213607446.jpg],4[notredame/benjroberts_304916048.jpg],4[notredame/jessicamullen_402321359.jpg],4[notredame/roblisameehan_339481567.jpg],2[notredame/edwin11_313657632.jpg],2[notredame/mpd01605_2535293050.jpg],4[notredame/nikkole_200429059.jpg],4[notredame/mpd01605_2236982979.jpg],3[notredame/goldberg_50143838.jpg],4[notredame/benleto_428261909.jpg],4[notredame/clark_55429420.jpg],4[notredame/coymelancon_1186253965.jpg],3[notredame/minnaert_2442824829.jpg],4[notredame/jmanners_220995776.jpg],3[notredame/s2art_22800304.jpg],4[notredame/fhsu_34786504.jpg],4[notredame/jpvargas_1413183882.jpg],4[notredame/willpalmer_147766491.jpg],4[notredame/gcourbis_375030417.jpg],3[notredame/noniq_211997949.jpg],4[notredame/puroticorico_173583139.jpg],2[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",3RU7GD8VPOU5D5Q9KZW3CICZK2USPR,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:12:02 PDT 2016","Wed Apr 27 09:13:28 PDT 2016",4[notredame/beggs_88420002.jpg],4[notredame/vic15_1651507332.jpg],4[notredame/noniq_214143525.jpg],4[notredame/thierryleclercq_2281931159.jpg],4[notredame/davebowman_407843450.jpg],5[notredame/gromgull_405709973.jpg],4[notredame/shereen84_2312768811.jpg],4[notredame/cocoinzenl_2458339807.jpg],5[notredame/arkangel_213607446.jpg],5[notredame/benjroberts_304916048.jpg],4[notredame/jessicamullen_402321359.jpg],4[notredame/roblisameehan_339481567.jpg],5[notredame/edwin11_313657632.jpg],5[notredame/mpd01605_2535293050.jpg],5[notredame/nikkole_200429059.jpg],5[notredame/mpd01605_2236982979.jpg],5[notredame/goldberg_50143838.jpg],5[notredame/benleto_428261909.jpg],5[notredame/clark_55429420.jpg],5[notredame/coymelancon_1186253965.jpg],5[notredame/minnaert_2442824829.jpg],5[notredame/jmanners_220995776.jpg],4[notredame/s2art_22800304.jpg],4[notredame/fhsu_34786504.jpg],4[notredame/jpvargas_1413183882.jpg],5[notredame/willpalmer_147766491.jpg],5[notredame/gcourbis_375030417.jpg],5[notredame/noniq_211997949.jpg],4[notredame/puroticorico_173583139.jpg],5[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",3TPWUS5F892FQXYEZZKYP7GDRX0WCN,A2UINIBZH8MDKX,Approved,"Wed Apr 27 13:39:54 PDT 2016","Wed Apr 27 13:41:40 PDT 2016",3[notredame/beggs_88420002.jpg],3[notredame/vic15_1651507332.jpg],3[notredame/noniq_214143525.jpg],4[notredame/thierryleclercq_2281931159.jpg],4[notredame/davebowman_407843450.jpg],1[notredame/gromgull_405709973.jpg],4[notredame/shereen84_2312768811.jpg],5[notredame/cocoinzenl_2458339807.jpg],2[notredame/arkangel_213607446.jpg],2[notredame/benjroberts_304916048.jpg],5[notredame/jessicamullen_402321359.jpg],5[notredame/roblisameehan_339481567.jpg],4[notredame/edwin11_313657632.jpg],5[notredame/mpd01605_2535293050.jpg],4[notredame/nikkole_200429059.jpg],5[notredame/mpd01605_2236982979.jpg],5[notredame/goldberg_50143838.jpg],4[notredame/benleto_428261909.jpg],4[notredame/clark_55429420.jpg],4[notredame/coymelancon_1186253965.jpg],4[notredame/minnaert_2442824829.jpg],5[notredame/jmanners_220995776.jpg],3[notredame/s2art_22800304.jpg],4[notredame/fhsu_34786504.jpg],3[notredame/jpvargas_1413183882.jpg],4[notredame/willpalmer_147766491.jpg],4[notredame/gcourbis_375030417.jpg],5[notredame/noniq_211997949.jpg],3[notredame/puroticorico_173583139.jpg],4[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",3DI28L7YXAF1MU2PY218M5QMGXC1EW,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:16:41 PDT 2016","Wed Apr 27 23:18:01 PDT 2016",4[notredame/beggs_88420002.jpg],2[notredame/vic15_1651507332.jpg],1[notredame/noniq_214143525.jpg],4[notredame/thierryleclercq_2281931159.jpg],2[notredame/davebowman_407843450.jpg],1[notredame/gromgull_405709973.jpg],2[notredame/shereen84_2312768811.jpg],2[notredame/cocoinzenl_2458339807.jpg],1[notredame/arkangel_213607446.jpg],1[notredame/benjroberts_304916048.jpg],2[notredame/jessicamullen_402321359.jpg],2[notredame/roblisameehan_339481567.jpg],1[notredame/edwin11_313657632.jpg],2[notredame/mpd01605_2535293050.jpg],2[notredame/nikkole_200429059.jpg],1[notredame/mpd01605_2236982979.jpg],1[notredame/goldberg_50143838.jpg],3[notredame/benleto_428261909.jpg],2[notredame/clark_55429420.jpg],3[notredame/coymelancon_1186253965.jpg],3[notredame/minnaert_2442824829.jpg],3[notredame/jmanners_220995776.jpg],1[notredame/s2art_22800304.jpg],1[notredame/fhsu_34786504.jpg],3[notredame/jpvargas_1413183882.jpg],3[notredame/willpalmer_147766491.jpg],2[notredame/gcourbis_375030417.jpg],3[notredame/noniq_211997949.jpg],1[notredame/puroticorico_173583139.jpg],3[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",3RU7GD8VPOU5D5Q9KZW3CICZK4USPV,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:04:02 PDT 2016","Thu Apr 28 01:04:26 PDT 2016",5[notredame/beggs_88420002.jpg],5[notredame/vic15_1651507332.jpg],5[notredame/noniq_214143525.jpg],5[notredame/thierryleclercq_2281931159.jpg],5[notredame/davebowman_407843450.jpg],5[notredame/gromgull_405709973.jpg],5[notredame/shereen84_2312768811.jpg],5[notredame/cocoinzenl_2458339807.jpg],5[notredame/arkangel_213607446.jpg],5[notredame/benjroberts_304916048.jpg],5[notredame/jessicamullen_402321359.jpg],5[notredame/roblisameehan_339481567.jpg],5[notredame/edwin11_313657632.jpg],5[notredame/mpd01605_2535293050.jpg],5[notredame/nikkole_200429059.jpg],5[notredame/mpd01605_2236982979.jpg],5[notredame/goldberg_50143838.jpg],5[notredame/benleto_428261909.jpg],5[notredame/clark_55429420.jpg],5[notredame/coymelancon_1186253965.jpg],5[notredame/minnaert_2442824829.jpg],5[notredame/jmanners_220995776.jpg],5[notredame/s2art_22800304.jpg],5[notredame/fhsu_34786504.jpg],5[notredame/jpvargas_1413183882.jpg],5[notredame/willpalmer_147766491.jpg],5[notredame/gcourbis_375030417.jpg],5[notredame/noniq_211997949.jpg],5[notredame/puroticorico_173583139.jpg],5[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",31JLPPHS2UVJ8OTTFKINFAZXIJ13OZ,A24R3K3RDK1XLQ,Approved,"Thu Apr 28 01:54:02 PDT 2016","Thu Apr 28 01:57:34 PDT 2016",2[notredame/beggs_88420002.jpg],3[notredame/vic15_1651507332.jpg],3[notredame/noniq_214143525.jpg],4[notredame/thierryleclercq_2281931159.jpg],4[notredame/davebowman_407843450.jpg],2[notredame/gromgull_405709973.jpg],5[notredame/shereen84_2312768811.jpg],2[notredame/cocoinzenl_2458339807.jpg],1[notredame/arkangel_213607446.jpg],2[notredame/benjroberts_304916048.jpg],5[notredame/jessicamullen_402321359.jpg],4[notredame/roblisameehan_339481567.jpg],1[notredame/edwin11_313657632.jpg],3[notredame/mpd01605_2535293050.jpg],3[notredame/nikkole_200429059.jpg],2[notredame/mpd01605_2236982979.jpg],4[notredame/goldberg_50143838.jpg],4[notredame/benleto_428261909.jpg],4[notredame/clark_55429420.jpg],3[notredame/coymelancon_1186253965.jpg],4[notredame/minnaert_2442824829.jpg],2[notredame/jmanners_220995776.jpg],4[notredame/s2art_22800304.jpg],1[notredame/fhsu_34786504.jpg],3[notredame/jpvargas_1413183882.jpg],2[notredame/willpalmer_147766491.jpg],1[notredame/gcourbis_375030417.jpg],5[notredame/noniq_211997949.jpg],3[notredame/puroticorico_173583139.jpg],3[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",3YGXWBAF70I3HVFUPTEFUFXM75EC4W,AE366CJX2U73M,Approved,"Thu Apr 28 02:05:37 PDT 2016","Thu Apr 28 02:07:11 PDT 2016",3[notredame/beggs_88420002.jpg],3[notredame/vic15_1651507332.jpg],2[notredame/noniq_214143525.jpg],2[notredame/thierryleclercq_2281931159.jpg],3[notredame/davebowman_407843450.jpg],1[notredame/gromgull_405709973.jpg],3[notredame/shereen84_2312768811.jpg],3[notredame/cocoinzenl_2458339807.jpg],1[notredame/arkangel_213607446.jpg],3[notredame/benjroberts_304916048.jpg],4[notredame/jessicamullen_402321359.jpg],3[notredame/roblisameehan_339481567.jpg],4[notredame/edwin11_313657632.jpg],4[notredame/mpd01605_2535293050.jpg],3[notredame/nikkole_200429059.jpg],3[notredame/mpd01605_2236982979.jpg],4[notredame/goldberg_50143838.jpg],4[notredame/benleto_428261909.jpg],4[notredame/clark_55429420.jpg],4[notredame/coymelancon_1186253965.jpg],5[notredame/minnaert_2442824829.jpg],5[notredame/jmanners_220995776.jpg],2[notredame/s2art_22800304.jpg],3[notredame/fhsu_34786504.jpg],3[notredame/jpvargas_1413183882.jpg],3[notredame/willpalmer_147766491.jpg],4[notredame/gcourbis_375030417.jpg],4[notredame/noniq_211997949.jpg],1[notredame/puroticorico_173583139.jpg],3[notredame/lynxman_682732590.jpg],
3O71U79SRBQW5IV22HZA7UMM47FMSQ,"notredame_180-209","sample#command",30H4UDGLT2J2FAD4020H09DTSG9MPC,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:23:51 PDT 2016","Thu Apr 28 07:26:41 PDT 2016",5[notredame/beggs_88420002.jpg],4[notredame/vic15_1651507332.jpg],5[notredame/noniq_214143525.jpg],5[notredame/thierryleclercq_2281931159.jpg],5[notredame/davebowman_407843450.jpg],5[notredame/gromgull_405709973.jpg],5[notredame/shereen84_2312768811.jpg],5[notredame/cocoinzenl_2458339807.jpg],5[notredame/arkangel_213607446.jpg],5[notredame/benjroberts_304916048.jpg],5[notredame/jessicamullen_402321359.jpg],5[notredame/roblisameehan_339481567.jpg],5[notredame/edwin11_313657632.jpg],5[notredame/mpd01605_2535293050.jpg],5[notredame/nikkole_200429059.jpg],5[notredame/mpd01605_2236982979.jpg],5[notredame/goldberg_50143838.jpg],4[notredame/benleto_428261909.jpg],5[notredame/clark_55429420.jpg],3[notredame/coymelancon_1186253965.jpg],5[notredame/minnaert_2442824829.jpg],5[notredame/jmanners_220995776.jpg],5[notredame/s2art_22800304.jpg],5[notredame/fhsu_34786504.jpg],5[notredame/jpvargas_1413183882.jpg],5[notredame/willpalmer_147766491.jpg],5[notredame/gcourbis_375030417.jpg],4[notredame/noniq_211997949.jpg],5[notredame/puroticorico_173583139.jpg],5[notredame/lynxman_682732590.jpg],
