HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",3TK8OJTYM1ML5X7DEU18N5W6J6XPV2,A1XC5OV00MECKQ,Approved,"Wed Apr 27 01:44:39 PDT 2016","Wed Apr 27 01:48:35 PDT 2016",3[notredame/kdga_43341783.jpg],3[notredame/77163391@N00_428510490.jpg],3[notredame/mpd01605_2534477453.jpg],4[notredame/teamaskins_81492546.jpg],3[notredame/lucamascaro_2133355132.jpg],3[notredame/acme_11938422.jpg],3[notredame/2pworth_50915720.jpg],4[notredame/mpd01605_2535127880.jpg],4[notredame/luxtonnerre_2216741892.jpg],5[notredame/fermion_246868107.jpg],5[notredame/jfuentejr_225869536.jpg],3[notredame/jfuentejr_225869218.jpg],4[notredame/thraxil_169771035.jpg],5[notredame/allypark_2196306745.jpg],3[notredame/alex1961_2472417696.jpg],4[notredame/mpd01605_2535288114.jpg],4[notredame/tomoyoshi_241681738.jpg],3[notredame/fcrippa_925488717.jpg],3[notredame/beggs_88419726.jpg],4[notredame/thierryleclercq_2282717234.jpg],3[notredame/thierryleclercq_2282716124.jpg],5[notredame/firepile_143643052.jpg],4[notredame/aoifecahill_379216618.jpg],3[notredame/thraxil_170365049.jpg],4[notredame/elenatorre_1158912475.jpg],5[notredame/hsivonen_511313926.jpg],5[notredame/rbitting_953687395.jpg],5[notredame/maveric2003_2130870617.jpg],4[notredame/julioenriquez_464103583.jpg],4[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",3GS6S824SQYYH1V5OPTC5IAPQ0ZNWF,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:31:11 PDT 2016","Wed Apr 27 02:32:33 PDT 2016",3[notredame/kdga_43341783.jpg],4[notredame/77163391@N00_428510490.jpg],2[notredame/mpd01605_2534477453.jpg],3[notredame/teamaskins_81492546.jpg],3[notredame/lucamascaro_2133355132.jpg],3[notredame/acme_11938422.jpg],2[notredame/2pworth_50915720.jpg],3[notredame/mpd01605_2535127880.jpg],2[notredame/luxtonnerre_2216741892.jpg],3[notredame/fermion_246868107.jpg],2[notredame/jfuentejr_225869536.jpg],2[notredame/jfuentejr_225869218.jpg],2[notredame/thraxil_169771035.jpg],1[notredame/allypark_2196306745.jpg],1[notredame/alex1961_2472417696.jpg],2[notredame/mpd01605_2535288114.jpg],3[notredame/tomoyoshi_241681738.jpg],3[notredame/fcrippa_925488717.jpg],3[notredame/beggs_88419726.jpg],4[notredame/thierryleclercq_2282717234.jpg],4[notredame/thierryleclercq_2282716124.jpg],3[notredame/firepile_143643052.jpg],2[notredame/aoifecahill_379216618.jpg],3[notredame/thraxil_170365049.jpg],3[notredame/elenatorre_1158912475.jpg],4[notredame/hsivonen_511313926.jpg],4[notredame/rbitting_953687395.jpg],3[notredame/maveric2003_2130870617.jpg],3[notredame/julioenriquez_464103583.jpg],3[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",3S3AMIZX3U6GHRYNI4F8XJRSKG1DC0,AFG3FXABPGSZS,Approved,"Wed Apr 27 07:57:33 PDT 2016","Wed Apr 27 07:59:26 PDT 2016",3[notredame/kdga_43341783.jpg],4[notredame/77163391@N00_428510490.jpg],4[notredame/mpd01605_2534477453.jpg],4[notredame/teamaskins_81492546.jpg],4[notredame/lucamascaro_2133355132.jpg],4[notredame/acme_11938422.jpg],4[notredame/2pworth_50915720.jpg],4[notredame/mpd01605_2535127880.jpg],4[notredame/luxtonnerre_2216741892.jpg],3[notredame/fermion_246868107.jpg],4[notredame/jfuentejr_225869536.jpg],4[notredame/jfuentejr_225869218.jpg],4[notredame/thraxil_169771035.jpg],3[notredame/allypark_2196306745.jpg],3[notredame/alex1961_2472417696.jpg],3[notredame/mpd01605_2535288114.jpg],3[notredame/tomoyoshi_241681738.jpg],3[notredame/fcrippa_925488717.jpg],3[notredame/beggs_88419726.jpg],4[notredame/thierryleclercq_2282717234.jpg],3[notredame/thierryleclercq_2282716124.jpg],3[notredame/firepile_143643052.jpg],3[notredame/aoifecahill_379216618.jpg],3[notredame/thraxil_170365049.jpg],4[notredame/elenatorre_1158912475.jpg],3[notredame/hsivonen_511313926.jpg],5[notredame/rbitting_953687395.jpg],4[notredame/maveric2003_2130870617.jpg],3[notredame/julioenriquez_464103583.jpg],3[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",3SBEHTYCWN4AS5FE6AY8L7ZOF9VIYJ,A39BR7NYRDWC01,Approved,"Wed Apr 27 08:59:07 PDT 2016","Wed Apr 27 09:01:19 PDT 2016",4[notredame/kdga_43341783.jpg],4[notredame/77163391@N00_428510490.jpg],4[notredame/mpd01605_2534477453.jpg],4[notredame/teamaskins_81492546.jpg],5[notredame/lucamascaro_2133355132.jpg],4[notredame/acme_11938422.jpg],4[notredame/2pworth_50915720.jpg],5[notredame/mpd01605_2535127880.jpg],4[notredame/luxtonnerre_2216741892.jpg],5[notredame/fermion_246868107.jpg],4[notredame/jfuentejr_225869536.jpg],4[notredame/jfuentejr_225869218.jpg],5[notredame/thraxil_169771035.jpg],5[notredame/allypark_2196306745.jpg],4[notredame/alex1961_2472417696.jpg],4[notredame/mpd01605_2535288114.jpg],4[notredame/tomoyoshi_241681738.jpg],4[notredame/fcrippa_925488717.jpg],5[notredame/beggs_88419726.jpg],4[notredame/thierryleclercq_2282717234.jpg],4[notredame/thierryleclercq_2282716124.jpg],5[notredame/firepile_143643052.jpg],4[notredame/aoifecahill_379216618.jpg],4[notredame/thraxil_170365049.jpg],5[notredame/elenatorre_1158912475.jpg],5[notredame/hsivonen_511313926.jpg],5[notredame/rbitting_953687395.jpg],5[notredame/maveric2003_2130870617.jpg],4[notredame/julioenriquez_464103583.jpg],4[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",378XPAWRUCE9WNHBQ4KSILHHCKQAI3,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:21:08 PDT 2016","Wed Apr 27 23:22:23 PDT 2016",2[notredame/kdga_43341783.jpg],4[notredame/77163391@N00_428510490.jpg],1[notredame/mpd01605_2534477453.jpg],2[notredame/teamaskins_81492546.jpg],1[notredame/lucamascaro_2133355132.jpg],2[notredame/acme_11938422.jpg],1[notredame/2pworth_50915720.jpg],1[notredame/mpd01605_2535127880.jpg],1[notredame/luxtonnerre_2216741892.jpg],1[notredame/fermion_246868107.jpg],1[notredame/jfuentejr_225869536.jpg],1[notredame/jfuentejr_225869218.jpg],1[notredame/thraxil_169771035.jpg],1[notredame/allypark_2196306745.jpg],1[notredame/alex1961_2472417696.jpg],1[notredame/mpd01605_2535288114.jpg],2[notredame/tomoyoshi_241681738.jpg],2[notredame/fcrippa_925488717.jpg],2[notredame/beggs_88419726.jpg],2[notredame/thierryleclercq_2282717234.jpg],4[notredame/thierryleclercq_2282716124.jpg],2[notredame/firepile_143643052.jpg],1[notredame/aoifecahill_379216618.jpg],1[notredame/thraxil_170365049.jpg],2[notredame/elenatorre_1158912475.jpg],3[notredame/hsivonen_511313926.jpg],2[notredame/rbitting_953687395.jpg],3[notredame/maveric2003_2130870617.jpg],3[notredame/julioenriquez_464103583.jpg],2[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",3YHH42UU5BGFLBRZJ5KCLVXWK29L02,AGPGH9GLV1UAW,Approved,"Thu Apr 28 00:37:20 PDT 2016","Thu Apr 28 00:40:32 PDT 2016",4[notredame/kdga_43341783.jpg],4[notredame/77163391@N00_428510490.jpg],4[notredame/mpd01605_2534477453.jpg],4[notredame/teamaskins_81492546.jpg],3[notredame/lucamascaro_2133355132.jpg],5[notredame/acme_11938422.jpg],3[notredame/2pworth_50915720.jpg],3[notredame/mpd01605_2535127880.jpg],3[notredame/luxtonnerre_2216741892.jpg],4[notredame/fermion_246868107.jpg],2[notredame/jfuentejr_225869536.jpg],2[notredame/jfuentejr_225869218.jpg],3[notredame/thraxil_169771035.jpg],4[notredame/allypark_2196306745.jpg],3[notredame/alex1961_2472417696.jpg],4[notredame/mpd01605_2535288114.jpg],4[notredame/tomoyoshi_241681738.jpg],4[notredame/fcrippa_925488717.jpg],3[notredame/beggs_88419726.jpg],4[notredame/thierryleclercq_2282717234.jpg],3[notredame/thierryleclercq_2282716124.jpg],4[notredame/firepile_143643052.jpg],4[notredame/aoifecahill_379216618.jpg],4[notredame/thraxil_170365049.jpg],4[notredame/elenatorre_1158912475.jpg],4[notredame/hsivonen_511313926.jpg],4[notredame/rbitting_953687395.jpg],5[notredame/maveric2003_2130870617.jpg],5[notredame/julioenriquez_464103583.jpg],4[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",3EFE17QCRC6D0OSL1MOY39A8YDKHSF,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:01:44 PDT 2016","Thu Apr 28 01:02:22 PDT 2016",5[notredame/kdga_43341783.jpg],5[notredame/77163391@N00_428510490.jpg],5[notredame/mpd01605_2534477453.jpg],5[notredame/teamaskins_81492546.jpg],5[notredame/lucamascaro_2133355132.jpg],5[notredame/acme_11938422.jpg],5[notredame/2pworth_50915720.jpg],5[notredame/mpd01605_2535127880.jpg],5[notredame/luxtonnerre_2216741892.jpg],5[notredame/fermion_246868107.jpg],5[notredame/jfuentejr_225869536.jpg],5[notredame/jfuentejr_225869218.jpg],5[notredame/thraxil_169771035.jpg],5[notredame/allypark_2196306745.jpg],5[notredame/alex1961_2472417696.jpg],5[notredame/mpd01605_2535288114.jpg],5[notredame/tomoyoshi_241681738.jpg],5[notredame/fcrippa_925488717.jpg],5[notredame/beggs_88419726.jpg],5[notredame/thierryleclercq_2282717234.jpg],5[notredame/thierryleclercq_2282716124.jpg],5[notredame/firepile_143643052.jpg],5[notredame/aoifecahill_379216618.jpg],5[notredame/thraxil_170365049.jpg],5[notredame/elenatorre_1158912475.jpg],5[notredame/hsivonen_511313926.jpg],5[notredame/rbitting_953687395.jpg],5[notredame/maveric2003_2130870617.jpg],5[notredame/julioenriquez_464103583.jpg],5[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",33LKR6A5KEL3BDKMOXQ3LRQNJ74T1J,A3J5GUVGA6WQJG,Approved,"Thu Apr 28 02:24:49 PDT 2016","Thu Apr 28 02:30:10 PDT 2016",4[notredame/kdga_43341783.jpg],5[notredame/77163391@N00_428510490.jpg],3[notredame/mpd01605_2534477453.jpg],5[notredame/teamaskins_81492546.jpg],4[notredame/lucamascaro_2133355132.jpg],4[notredame/acme_11938422.jpg],3[notredame/2pworth_50915720.jpg],4[notredame/mpd01605_2535127880.jpg],4[notredame/luxtonnerre_2216741892.jpg],4[notredame/fermion_246868107.jpg],4[notredame/jfuentejr_225869536.jpg],3[notredame/jfuentejr_225869218.jpg],4[notredame/thraxil_169771035.jpg],3[notredame/allypark_2196306745.jpg],3[notredame/alex1961_2472417696.jpg],4[notredame/mpd01605_2535288114.jpg],4[notredame/tomoyoshi_241681738.jpg],4[notredame/fcrippa_925488717.jpg],4[notredame/beggs_88419726.jpg],5[notredame/thierryleclercq_2282717234.jpg],5[notredame/thierryleclercq_2282716124.jpg],4[notredame/firepile_143643052.jpg],3[notredame/aoifecahill_379216618.jpg],4[notredame/thraxil_170365049.jpg],3[notredame/elenatorre_1158912475.jpg],4[notredame/hsivonen_511313926.jpg],3[notredame/rbitting_953687395.jpg],3[notredame/maveric2003_2130870617.jpg],5[notredame/julioenriquez_464103583.jpg],4[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",32RIADZISS5JOC4QMF4F9K14T9Y4SI,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:46:36 PDT 2016","Thu Apr 28 07:47:28 PDT 2016",2[notredame/kdga_43341783.jpg],3[notredame/77163391@N00_428510490.jpg],4[notredame/mpd01605_2534477453.jpg],4[notredame/teamaskins_81492546.jpg],5[notredame/lucamascaro_2133355132.jpg],5[notredame/acme_11938422.jpg],5[notredame/2pworth_50915720.jpg],5[notredame/mpd01605_2535127880.jpg],5[notredame/luxtonnerre_2216741892.jpg],5[notredame/fermion_246868107.jpg],4[notredame/jfuentejr_225869536.jpg],3[notredame/jfuentejr_225869218.jpg],5[notredame/thraxil_169771035.jpg],3[notredame/allypark_2196306745.jpg],5[notredame/alex1961_2472417696.jpg],5[notredame/mpd01605_2535288114.jpg],5[notredame/tomoyoshi_241681738.jpg],5[notredame/fcrippa_925488717.jpg],5[notredame/beggs_88419726.jpg],5[notredame/thierryleclercq_2282717234.jpg],5[notredame/thierryleclercq_2282716124.jpg],5[notredame/firepile_143643052.jpg],5[notredame/aoifecahill_379216618.jpg],5[notredame/thraxil_170365049.jpg],5[notredame/elenatorre_1158912475.jpg],5[notredame/hsivonen_511313926.jpg],5[notredame/rbitting_953687395.jpg],5[notredame/maveric2003_2130870617.jpg],5[notredame/julioenriquez_464103583.jpg],5[notredame/jayniebell_2112886120.jpg],
3QO7EE372OOO9BCSJOKWYEWRAKQBQ1,"notredame_360-389","sample#command",3A9AA95ATWN473SY83JVJ7276O65PY,AE366CJX2U73M,Approved,"Thu Apr 28 20:30:24 PDT 2016","Thu Apr 28 20:31:36 PDT 2016",3[notredame/kdga_43341783.jpg],3[notredame/77163391@N00_428510490.jpg],2[notredame/mpd01605_2534477453.jpg],4[notredame/teamaskins_81492546.jpg],5[notredame/lucamascaro_2133355132.jpg],3[notredame/acme_11938422.jpg],2[notredame/2pworth_50915720.jpg],2[notredame/mpd01605_2535127880.jpg],1[notredame/luxtonnerre_2216741892.jpg],3[notredame/fermion_246868107.jpg],3[notredame/jfuentejr_225869536.jpg],4[notredame/jfuentejr_225869218.jpg],3[notredame/thraxil_169771035.jpg],3[notredame/allypark_2196306745.jpg],2[notredame/alex1961_2472417696.jpg],5[notredame/mpd01605_2535288114.jpg],4[notredame/tomoyoshi_241681738.jpg],3[notredame/fcrippa_925488717.jpg],4[notredame/beggs_88419726.jpg],2[notredame/thierryleclercq_2282717234.jpg],3[notredame/thierryleclercq_2282716124.jpg],3[notredame/firepile_143643052.jpg],2[notredame/aoifecahill_379216618.jpg],3[notredame/thraxil_170365049.jpg],2[notredame/elenatorre_1158912475.jpg],1[notredame/hsivonen_511313926.jpg],2[notredame/rbitting_953687395.jpg],2[notredame/maveric2003_2130870617.jpg],1[notredame/julioenriquez_464103583.jpg],2[notredame/jayniebell_2112886120.jpg],
