HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3X65QVEQI0OZF3MFVLDWGWZXTPGLC1,A1XC5OV00MECKQ,Approved,"Wed Apr 27 01:57:01 PDT 2016","Wed Apr 27 02:00:09 PDT 2016",4[notredame/lance_mountain_142161478.jpg],4[notredame/roblisameehan_339481913.jpg],4[notredame/naixn_2149239263.jpg],5[notredame/alex1961_2466374890.jpg],5[notredame/joeshlabotnik_199996870.jpg],5[notredame/13012027@N04_2073427575.jpg],4[notredame/alex1961_2475166768.jpg],5[notredame/cfuga_1435759762.jpg],3[notredame/naixn_2150033668.jpg],4[notredame/chumpolo_2109779945.jpg],4[notredame/hsivonen_511338437.jpg],4[notredame/alex1961_2465547309.jpg],4[notredame/hotels-paris-rive-gauche_313842766.jpg],4[notredame/kenner116_877622220.jpg],4[notredame/joeshlabotnik_2116889516.jpg],4[notredame/joeshlabotnik_443472230.jpg],3[notredame/_fxr_2223134257.jpg],4[notredame/joeshlabotnik_2116910870.jpg],4[notredame/mpd01605_2265766770.jpg],3[notredame/alex1961_2472451562.jpg],3[notredame/thraxil_169768649.jpg],4[notredame/fcrippa_926349556.jpg],4[notredame/alex1961_2471628493.jpg],4[notredame/alex1961_2472454100.jpg],4[notredame/acme_225281398.jpg],4[notredame/alex1961_2472452294.jpg],4[notredame/alex1961_2472450296.jpg],4[notredame/stevecadman_768093446.jpg],4[notredame/alex1961_2472453180.jpg],4[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3FTYUGLFSUMVI6P83US0JDLISZYD5B,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 04:04:28 PDT 2016","Wed Apr 27 04:06:29 PDT 2016",3[notredame/lance_mountain_142161478.jpg],4[notredame/roblisameehan_339481913.jpg],2[notredame/naixn_2149239263.jpg],2[notredame/alex1961_2466374890.jpg],2[notredame/joeshlabotnik_199996870.jpg],2[notredame/13012027@N04_2073427575.jpg],4[notredame/alex1961_2475166768.jpg],3[notredame/cfuga_1435759762.jpg],1[notredame/naixn_2150033668.jpg],3[notredame/chumpolo_2109779945.jpg],4[notredame/hsivonen_511338437.jpg],3[notredame/alex1961_2465547309.jpg],3[notredame/hotels-paris-rive-gauche_313842766.jpg],4[notredame/kenner116_877622220.jpg],2[notredame/joeshlabotnik_2116889516.jpg],4[notredame/joeshlabotnik_443472230.jpg],1[notredame/_fxr_2223134257.jpg],3[notredame/joeshlabotnik_2116910870.jpg],3[notredame/mpd01605_2265766770.jpg],1[notredame/alex1961_2472451562.jpg],4[notredame/thraxil_169768649.jpg],1[notredame/fcrippa_926349556.jpg],2[notredame/alex1961_2471628493.jpg],2[notredame/alex1961_2472454100.jpg],4[notredame/acme_225281398.jpg],3[notredame/alex1961_2472452294.jpg],3[notredame/alex1961_2472450296.jpg],3[notredame/stevecadman_768093446.jpg],4[notredame/alex1961_2472453180.jpg],4[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3JZQSN0I3QBQWNSOBW6HBAFSUL9GFO,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:00:18 PDT 2016","Wed Apr 27 08:22:48 PDT 2016",3[notredame/lance_mountain_142161478.jpg],4[notredame/roblisameehan_339481913.jpg],4[notredame/naixn_2149239263.jpg],5[notredame/alex1961_2466374890.jpg],4[notredame/joeshlabotnik_199996870.jpg],1[notredame/13012027@N04_2073427575.jpg],4[notredame/alex1961_2475166768.jpg],5[notredame/cfuga_1435759762.jpg],4[notredame/naixn_2150033668.jpg],3[notredame/chumpolo_2109779945.jpg],4[notredame/hsivonen_511338437.jpg],2[notredame/alex1961_2465547309.jpg],4[notredame/hotels-paris-rive-gauche_313842766.jpg],4[notredame/kenner116_877622220.jpg],5[notredame/joeshlabotnik_2116889516.jpg],4[notredame/joeshlabotnik_443472230.jpg],4[notredame/_fxr_2223134257.jpg],4[notredame/joeshlabotnik_2116910870.jpg],2[notredame/mpd01605_2265766770.jpg],4[notredame/alex1961_2472451562.jpg],4[notredame/thraxil_169768649.jpg],3[notredame/fcrippa_926349556.jpg],4[notredame/alex1961_2471628493.jpg],4[notredame/alex1961_2472454100.jpg],4[notredame/acme_225281398.jpg],3[notredame/alex1961_2472452294.jpg],3[notredame/alex1961_2472450296.jpg],5[notredame/stevecadman_768093446.jpg],5[notredame/alex1961_2472453180.jpg],3[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3D8YOU6S9ELDIC08U8SULJ36AUQ6UG,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:18:25 PDT 2016","Wed Apr 27 09:19:51 PDT 2016",5[notredame/lance_mountain_142161478.jpg],5[notredame/roblisameehan_339481913.jpg],4[notredame/naixn_2149239263.jpg],5[notredame/alex1961_2466374890.jpg],4[notredame/joeshlabotnik_199996870.jpg],5[notredame/13012027@N04_2073427575.jpg],5[notredame/alex1961_2475166768.jpg],5[notredame/cfuga_1435759762.jpg],4[notredame/naixn_2150033668.jpg],5[notredame/chumpolo_2109779945.jpg],5[notredame/hsivonen_511338437.jpg],4[notredame/alex1961_2465547309.jpg],4[notredame/hotels-paris-rive-gauche_313842766.jpg],4[notredame/kenner116_877622220.jpg],4[notredame/joeshlabotnik_2116889516.jpg],4[notredame/joeshlabotnik_443472230.jpg],5[notredame/_fxr_2223134257.jpg],4[notredame/joeshlabotnik_2116910870.jpg],5[notredame/mpd01605_2265766770.jpg],5[notredame/alex1961_2472451562.jpg],5[notredame/thraxil_169768649.jpg],5[notredame/fcrippa_926349556.jpg],5[notredame/alex1961_2471628493.jpg],4[notredame/alex1961_2472454100.jpg],4[notredame/acme_225281398.jpg],5[notredame/alex1961_2472452294.jpg],5[notredame/alex1961_2472450296.jpg],4[notredame/stevecadman_768093446.jpg],4[notredame/alex1961_2472453180.jpg],5[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",39PAAFCODM1JXP0KVBASSFX38B5VT4,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:15:18 PDT 2016","Wed Apr 27 23:16:34 PDT 2016",3[notredame/lance_mountain_142161478.jpg],3[notredame/roblisameehan_339481913.jpg],4[notredame/naixn_2149239263.jpg],3[notredame/alex1961_2466374890.jpg],2[notredame/joeshlabotnik_199996870.jpg],2[notredame/13012027@N04_2073427575.jpg],2[notredame/alex1961_2475166768.jpg],2[notredame/cfuga_1435759762.jpg],2[notredame/naixn_2150033668.jpg],2[notredame/chumpolo_2109779945.jpg],3[notredame/hsivonen_511338437.jpg],3[notredame/alex1961_2465547309.jpg],2[notredame/hotels-paris-rive-gauche_313842766.jpg],2[notredame/kenner116_877622220.jpg],2[notredame/joeshlabotnik_2116889516.jpg],2[notredame/joeshlabotnik_443472230.jpg],2[notredame/_fxr_2223134257.jpg],2[notredame/joeshlabotnik_2116910870.jpg],2[notredame/mpd01605_2265766770.jpg],2[notredame/alex1961_2472451562.jpg],2[notredame/thraxil_169768649.jpg],1[notredame/fcrippa_926349556.jpg],2[notredame/alex1961_2471628493.jpg],3[notredame/alex1961_2472454100.jpg],3[notredame/acme_225281398.jpg],2[notredame/alex1961_2472452294.jpg],2[notredame/alex1961_2472450296.jpg],4[notredame/stevecadman_768093446.jpg],2[notredame/alex1961_2472453180.jpg],2[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3HWRJOOET531GE1JBLGSI6DV6XSESW,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:04:03 PDT 2016","Thu Apr 28 01:04:35 PDT 2016",5[notredame/lance_mountain_142161478.jpg],5[notredame/roblisameehan_339481913.jpg],5[notredame/naixn_2149239263.jpg],5[notredame/alex1961_2466374890.jpg],5[notredame/joeshlabotnik_199996870.jpg],5[notredame/13012027@N04_2073427575.jpg],5[notredame/alex1961_2475166768.jpg],5[notredame/cfuga_1435759762.jpg],5[notredame/naixn_2150033668.jpg],5[notredame/chumpolo_2109779945.jpg],5[notredame/hsivonen_511338437.jpg],5[notredame/alex1961_2465547309.jpg],5[notredame/hotels-paris-rive-gauche_313842766.jpg],5[notredame/kenner116_877622220.jpg],5[notredame/joeshlabotnik_2116889516.jpg],5[notredame/joeshlabotnik_443472230.jpg],5[notredame/_fxr_2223134257.jpg],5[notredame/joeshlabotnik_2116910870.jpg],5[notredame/mpd01605_2265766770.jpg],5[notredame/alex1961_2472451562.jpg],5[notredame/thraxil_169768649.jpg],5[notredame/fcrippa_926349556.jpg],5[notredame/alex1961_2471628493.jpg],5[notredame/alex1961_2472454100.jpg],5[notredame/acme_225281398.jpg],5[notredame/alex1961_2472452294.jpg],5[notredame/alex1961_2472450296.jpg],5[notredame/stevecadman_768093446.jpg],5[notredame/alex1961_2472453180.jpg],5[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3RKNTXVS3MZFOGIW5FIOOK7Y72T4AM,AE366CJX2U73M,Approved,"Thu Apr 28 02:08:45 PDT 2016","Thu Apr 28 02:10:19 PDT 2016",3[notredame/lance_mountain_142161478.jpg],4[notredame/roblisameehan_339481913.jpg],3[notredame/naixn_2149239263.jpg],4[notredame/alex1961_2466374890.jpg],5[notredame/joeshlabotnik_199996870.jpg],3[notredame/13012027@N04_2073427575.jpg],3[notredame/alex1961_2475166768.jpg],4[notredame/cfuga_1435759762.jpg],1[notredame/naixn_2150033668.jpg],3[notredame/chumpolo_2109779945.jpg],3[notredame/hsivonen_511338437.jpg],5[notredame/alex1961_2465547309.jpg],3[notredame/hotels-paris-rive-gauche_313842766.jpg],3[notredame/kenner116_877622220.jpg],4[notredame/joeshlabotnik_2116889516.jpg],2[notredame/joeshlabotnik_443472230.jpg],1[notredame/_fxr_2223134257.jpg],3[notredame/joeshlabotnik_2116910870.jpg],5[notredame/mpd01605_2265766770.jpg],3[notredame/alex1961_2472451562.jpg],5[notredame/thraxil_169768649.jpg],5[notredame/fcrippa_926349556.jpg],3[notredame/alex1961_2471628493.jpg],2[notredame/alex1961_2472454100.jpg],3[notredame/acme_225281398.jpg],4[notredame/alex1961_2472452294.jpg],3[notredame/alex1961_2472450296.jpg],4[notredame/stevecadman_768093446.jpg],3[notredame/alex1961_2472453180.jpg],3[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",32SCWG5HIH50Q7SCDMT0BDG72F06PQ,A2FA4YYFWJMRV4,Approved,"Thu Apr 28 02:44:05 PDT 2016","Thu Apr 28 03:10:59 PDT 2016",5[notredame/lance_mountain_142161478.jpg],5[notredame/roblisameehan_339481913.jpg],5[notredame/naixn_2149239263.jpg],5[notredame/alex1961_2466374890.jpg],4[notredame/joeshlabotnik_199996870.jpg],4[notredame/13012027@N04_2073427575.jpg],4[notredame/alex1961_2475166768.jpg],4[notredame/cfuga_1435759762.jpg],5[notredame/naixn_2150033668.jpg],4[notredame/chumpolo_2109779945.jpg],4[notredame/hsivonen_511338437.jpg],4[notredame/alex1961_2465547309.jpg],5[notredame/hotels-paris-rive-gauche_313842766.jpg],4[notredame/kenner116_877622220.jpg],4[notredame/joeshlabotnik_2116889516.jpg],5[notredame/joeshlabotnik_443472230.jpg],4[notredame/_fxr_2223134257.jpg],4[notredame/joeshlabotnik_2116910870.jpg],5[notredame/mpd01605_2265766770.jpg],5[notredame/alex1961_2472451562.jpg],4[notredame/thraxil_169768649.jpg],4[notredame/fcrippa_926349556.jpg],4[notredame/alex1961_2471628493.jpg],4[notredame/alex1961_2472454100.jpg],4[notredame/acme_225281398.jpg],4[notredame/alex1961_2472452294.jpg],5[notredame/alex1961_2472450296.jpg],4[notredame/stevecadman_768093446.jpg],5[notredame/alex1961_2472453180.jpg],1[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3IOEN3P9S7KX9F9ASKIAAHY9Z0O16D,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:23:55 PDT 2016","Thu Apr 28 07:27:09 PDT 2016",5[notredame/lance_mountain_142161478.jpg],5[notredame/roblisameehan_339481913.jpg],4[notredame/naixn_2149239263.jpg],4[notredame/alex1961_2466374890.jpg],5[notredame/joeshlabotnik_199996870.jpg],5[notredame/13012027@N04_2073427575.jpg],5[notredame/alex1961_2475166768.jpg],4[notredame/cfuga_1435759762.jpg],4[notredame/naixn_2150033668.jpg],4[notredame/chumpolo_2109779945.jpg],4[notredame/hsivonen_511338437.jpg],4[notredame/alex1961_2465547309.jpg],5[notredame/hotels-paris-rive-gauche_313842766.jpg],5[notredame/kenner116_877622220.jpg],5[notredame/joeshlabotnik_2116889516.jpg],5[notredame/joeshlabotnik_443472230.jpg],3[notredame/_fxr_2223134257.jpg],5[notredame/joeshlabotnik_2116910870.jpg],4[notredame/mpd01605_2265766770.jpg],4[notredame/alex1961_2472451562.jpg],5[notredame/thraxil_169768649.jpg],3[notredame/fcrippa_926349556.jpg],5[notredame/alex1961_2471628493.jpg],4[notredame/alex1961_2472454100.jpg],4[notredame/acme_225281398.jpg],3[notredame/alex1961_2472452294.jpg],4[notredame/alex1961_2472450296.jpg],5[notredame/stevecadman_768093446.jpg],4[notredame/alex1961_2472453180.jpg],3[notredame/mpd01605_2237750470.jpg],
3TCFMTM8HEP64USFFG16WKLF82M21W,"notredame_30-59","sample#command",3KXIR214I4HQJDNSS0P9I2O0VIN247,A311K9QN25TUA,Approved,"Thu Apr 28 21:22:06 PDT 2016","Thu Apr 28 21:24:39 PDT 2016",3[notredame/lance_mountain_142161478.jpg],2[notredame/roblisameehan_339481913.jpg],4[notredame/naixn_2149239263.jpg],3[notredame/alex1961_2466374890.jpg],1[notredame/joeshlabotnik_199996870.jpg],4[notredame/13012027@N04_2073427575.jpg],2[notredame/alex1961_2475166768.jpg],4[notredame/cfuga_1435759762.jpg],5[notredame/naixn_2150033668.jpg],3[notredame/chumpolo_2109779945.jpg],3[notredame/hsivonen_511338437.jpg],3[notredame/alex1961_2465547309.jpg],3[notredame/hotels-paris-rive-gauche_313842766.jpg],4[notredame/kenner116_877622220.jpg],2[notredame/joeshlabotnik_2116889516.jpg],4[notredame/joeshlabotnik_443472230.jpg],5[notredame/_fxr_2223134257.jpg],2[notredame/joeshlabotnik_2116910870.jpg],2[notredame/mpd01605_2265766770.jpg],4[notredame/alex1961_2472451562.jpg],4[notredame/thraxil_169768649.jpg],1[notredame/fcrippa_926349556.jpg],4[notredame/alex1961_2471628493.jpg],5[notredame/alex1961_2472454100.jpg],5[notredame/acme_225281398.jpg],3[notredame/alex1961_2472452294.jpg],2[notredame/alex1961_2472450296.jpg],5[notredame/stevecadman_768093446.jpg],5[notredame/alex1961_2472453180.jpg],2[notredame/mpd01605_2237750470.jpg],
